"address","lon","lat"
"187 MacQuarie St, Sydney NSW 2000",151.2120706,-33.8669778
"Level 2 'Park House' 187 Macquarie St, Sydney NSW 2000",151.2122081,-33.8669701
"Level 7 Park House 187 Macquarie St, Sydney NSW 2000",151.212056,-33.866961
"Cnr King and Castlereagh Sts, Sydney NSW 2000",151.2096632,-33.8690495
"Level 4 / 195 Macquarie St, Sydney NSW 2000",151.2120209,-33.8671673
"Lower Mezzanine Level 301 George St, Sydney NSW 2000",151.2069442,-33.8702062
"Park House Lvl 4 187 Macquarie St, Sydney NSW 2000",151.2122081,-33.8669701
"Level 13 187 Macquarie St, Sydney NSW 2000",151.2120706,-33.8669778
"Suite 2 Grnd Flr 187 Macquarie St, Sydney NSW 2000",151.2120706,-33.8669778
"Level 4/ 187 Macquarie St, Sydney NSW 2000",151.2120706,-33.8669778
"Level 5/ 187 Macquarie St, Sydney NSW 2000",151.2120706,-33.8669778
"149 Macquarie Street, Sydney NSW 2000",151.2123512,-33.8648653
"149 Macquarie St, Sydney NSW 2000",151.2123512,-33.8648653
"2 2 Martin Pl, Sydney NSW 2000",151.2073383,-33.8674615
"Level 2 193 Macquarie St, Sydney NSW 2000",151.2120445,-33.8670835
"Suites 10-11 2nd Flr 193 Macquarie St, Sydney NSW 2000",151.2121821,-33.8658526
"Level 8 193 Macquarie St, Sydney NSW 2000",151.2120445,-33.8670835
"Level 1, Aap Centre, Cnr George and Jamison Sts, Sydney NSW 2000",151.105148,-33.9795433
"Level 1 AAP Centre 259 George St, Sydney NSW 2000",151.2071112,-33.8640279
"139 Macquarie St, Sydney NSW 2000",151.2124013,-33.8644407
"Level 13 139 Macquarie St, Sydney NSW 2000",151.2124013,-33.8644407
"Ste 2 Lvl 3 139 Macquarie St, Sydney NSW 2000",151.2124013,-33.8644407
"14/ 52 Phillip St, Sydney NSW 2000",151.212034,-33.8640425
"135 Macquarie St, Sydney NSW 2000",151.2124146,-33.8642583
"Suite 804/ 135 Macquarie St, Sydney NSW 2000",151.2124146,-33.8642583
"suite 801 BMA House 135 Macquarie St, Sydney NSW 2000",151.2124146,-33.8642583
"Ground Floor 139-141 Macquarie St, Sydney NSW 2000",151.2123835,-33.8644787
"Level 2/ 139 Macquarie St, Sydney NSW 2000",151.2124013,-33.8644407
"Lvl 2 2 Martin Pl, Sydney NSW 2000",151.0788156,-33.9699687
"Suite 2 level 3 139 Macquarie St, Sydney NSW 2000",151.2124013,-33.8644407
"Suite 204 Lvl 2 135 Macquarie St, Sydney NSW 2000",151.2124146,-33.8642583
"Suite 401 135 Macquarie St, Sydney NSW 2000",151.2124146,-33.8642583
"Ste 701 135 Macquarie St, Sydney NSW 2000",151.2124146,-33.8642583
"Suite 801, Bma House, 135 Macquarie St, Sydney NSW 2000",151.2124146,-33.8642583
"Suite 203 135 Macquarie St, Sydney NSW 2000",151.2124146,-33.8642583
"Suite 902 Level 9 Macquarie St, Sydney NSW 2000",151.2120179,-33.8695152
"234 George St, Sydney NSW 2000",151.2076941,-33.8634356
"174 Phillip St, Sydney NSW 2000",151.2114301,-33.868577
"Grnd Flr 225 Macquarie St, Sydney NSW 2000",151.211837,-33.8684356
"169 Phillip St, Sydney NSW 2000",151.2108817,-33.8688081
"15 Young St, Sydney NSW 2000",151.2109094,-33.8629907
"Level 9/ 231 Macquarie St, Sydney NSW 2000",151.2118099,-33.8685791
"Suite 5 Level 10/ 229 Macquarie St, Sydney NSW 2000",151.2118558,-33.8685664
"229 Macquarie St, Sydney NSW 2000",151.2118192,-33.8685722
"Ste 12/ Level 10 229 Macquarie St, Sydney NSW 2000",151.2118558,-33.8685664
"Suite 805, Level 8 The William Bland Centre 229 Macquarie St,, Sydney NSW 2000",151.2117693,-33.868715
"180 Phillip St, Sydney NSW 2000",151.2113914,-33.8686564
"2/ 180 Phillip St, Sydney NSW 2000",151.2113914,-33.8686564
"Sydney Eye Hospital Macquarie St, Sydney NSW 2000",151.2122224,-33.8681622
"Shop 2 9- 13 Young St, Sydney NSW 2000",151.2109273,-33.8627629
"Lvl 8/ 235 Macquarie St, Sydney NSW 2000",151.211798,-33.8687646
"Level 7 235 Macquarie St, Sydney NSW 2000",151.211798,-33.8687646
"235 Macquarie St, Sydney NSW 2000",151.211798,-33.8687646
"67 Castlereagh St, Sydney NSW 2000",151.2094191,-33.8692158
"Suite 1011 155 King St, Sydney NSW 2000",151.2099254,-33.8693082
"47 York St, Sydney NSW 2000",151.2056032,-33.8668742
"2 Barrack St, Sydney NSW 2000",151.2053721,-33.8675108
"8 Clarence St, Sydney NSW 2000",151.2048291,-33.8648685
"Suite 101, 2nd Floor Strand Arcade 412 George St, Sydney NSW 2000",151.2076775,-33.8694348
"412 George St, Sydney NSW 2000",151.2076269,-33.8694166
"76 Erskine St, Sydney NSW 2000",151.2046299,-33.8665859
"428 George St, Sydney NSW 2000",151.2073756,-33.8699387
"50 York St, Sydney NSW 2000",151.2063698,-33.869621
"Hcf Building Level 9, 403 George Street, Sydney NSW 2000",151.2068101,-33.870099
"Level 2 321 Kent St, Sydney NSW 2000",151.203803,-33.867668
"26/ 44 Market St, Sydney NSW 2000",151.2058498,-33.8704806
"198 Pitt St, Sydney NSW 2000",151.2084921,-33.8711815
"Townhall Medical Shop 41 Townhall Sq, Sydney NSW 2000",151.2053581,-33.8741394
"Lvl 9/ 189 Kent St, Sydney NSW 2000",151.203614,-33.863227
"377 Kent St, Sydney NSW 2000",151.2043277,-33.8695551
"Level 3 362 Kent St, Sydney NSW 2000",151.1767418,-33.901552
"31 Market St, Sydney NSW 2000",151.2059112,-33.8711566
"Ste 403, St James Trust Building, 185 Elizabeth St, Sydney NSW 2000",151.2095679,-33.8723096
"Castlereagh St, Sydney NSW 2000",151.2091725,-33.8733438
"Suite A Level 6 204 Clarence St, Sydney NSW 2000",151.2058413,-33.8716897
"Level 8/ 60 Park St, Sydney NSW 2000",151.2096951,-33.8730607
"27 Park St, Sydney NSW 2000",151.208802,-33.8735457
"Level 4/ 307 Pitt St, Sydney NSW 2000",151.207848,-33.873658
"41 Town Hall Square, George Steet,, Sydney NSW 2000",151.2053651,-33.8738198
"Ste 4/ Lvl 10/ 276 Pitt St, Sydney NSW 2000",150.9975432,-33.8160816
"44 Town Hall Arc, Sydney NSW 2000",151.2070838,-33.8735656
