POA_NAME16,n_hospitals,n_schools,n_supermarkets,n_shoppingCentres,n_publicTransports,normalised_n_hospitals,normalised_n_schools,normalised_n_supermarkets,normalised_n_shoppingCentres,normalised_n_publicTransports,scaled_n_hospitals,scaled_n_schools,scaled_n_supermarkets,scaled_n_shoppingCentres,scaled_n_publicTransports,scaled_normalised_n_hospitals,scaled_normalised_n_schools,scaled_normalised_n_supermarkets,scaled_normalised_n_shoppingCentres,scaled_normalised_n_publicTransports
2000,1,14,21,13,14,0.0010869565217391304,0.014752370916754479,0.525,1,0.34146341463414637,-0.06130036564138463,0.05370349526766338,4.132186710451651,12.412784968420796,4.103264003572196,-0.061300365641384635,0.05370349526766339,4.132186710451652,12.412784968420796,4.103264003572196
2006,1,0,0,0,0,0.0010869565217391304,0,0,0,0,-0.06130036564138463,-0.16037883055411187,-0.7157596868143999,-0.2755283345134789,-0.3883747822311132,-0.061300365641384635,-0.16037883055411192,-0.7157596868143999,-0.27552833451347897,-0.3883747822311132
2010,5,9,10,0,0,0.005434782608695652,0.009483667017913594,0.25,0,0,0.0015795186238884414,-0.022754478240113497,1.5927862166456244,-0.2755283345134789,-0.3883747822311132,0.001579518623888431,-0.022754478240113504,1.5927862166456246,-0.27552833451347897,-0.3883747822311132
2011,1,3,4,0,1,0.0010869565217391304,0.003161222339304531,0.1,0,0.024390243902439025,-0.06130036564138463,-0.11450404644944576,0.2076586745696098,-0.2755283345134789,-0.06754344038801968,-0.061300365641384635,-0.11450404644944578,0.20765867456960985,-0.27552833451347897,-0.06754344038801968
2024,2,9,1,0,0,0.002173913043478261,0.009483667017913594,0.025,0,0,-0.04558039457506636,-0.022754478240113497,-0.48490509646839747,-0.2755283345134789,-0.3883747822311132,-0.045580394575066366,-0.022754478240113504,-0.4849050964683975,-0.27552833451347897,-0.3883747822311132
2025,1,3,0,0,0,0.0010869565217391304,0.003161222339304531,0,0,0,-0.06130036564138463,-0.11450404644944576,-0.7157596868143999,-0.2755283345134789,-0.3883747822311132,-0.061300365641384635,-0.11450404644944578,-0.7157596868143999,-0.27552833451347897,-0.3883747822311132
2031,5,14,8,0,0,0.005434782608695652,0.014752370916754479,0.2,0,0,0.0015795186238884414,0.05370349526766338,1.1310770359536195,-0.2755283345134789,-0.3883747822311132,0.001579518623888431,0.05370349526766339,1.1310770359536197,-0.27552833451347897,-0.3883747822311132
2036,1,8,3,1,0,0.0010869565217391304,0.008429926238145416,0.075,0.07692307692307693,0,-0.06130036564138463,-0.038046072941668875,-0.02319591577639263,0.7004957657122345,-0.3883747822311132,-0.061300365641384635,-0.038046072941668896,-0.023195915776392684,0.7004957657122347,-0.3883747822311132
2041,1,4,3,0,0,0.0010869565217391304,0.004214963119072708,0.075,0,0,-0.06130036564138463,-0.09921245174789038,-0.02319591577639263,-0.2755283345134789,-0.3883747822311132,-0.061300365641384635,-0.09921245174789041,-0.023195915776392684,-0.27552833451347897,-0.3883747822311132
2046,1,6,7,0,0,0.0010869565217391304,0.006322444678609062,0.175,0,0,-0.06130036564138463,-0.06862926234477962,0.900222445607617,-0.2755283345134789,-0.3883747822311132,-0.061300365641384635,-0.06862926234477965,0.900222445607617,-0.27552833451347897,-0.3883747822311132
2049,1,6,2,0,3,0.0010869565217391304,0.006322444678609062,0.05,0,0.07317073170731707,-0.06130036564138463,-0.06862926234477962,-0.25405050612239505,-0.2755283345134789,0.5741192432981673,-0.061300365641384635,-0.06862926234477965,-0.2540505061223951,-0.27552833451347897,0.5741192432981673
