,Couple family without children,Couple family with children,One parent family,Other family,Total families,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),Total families (%)
San Remo,331.0,485.0,243.0,17.0,1076.0,30.8,45.1,22.6,1.6,--
Sandringham,140.0,121.0,38.0,10.0,309.0,45.3,39.2,12.3,3.2,--
Sans Souci,1015.0,1110.0,375.0,49.0,2549.0,39.8,43.5,14.7,1.9,--
Saratoga,472.0,452.0,143.0,13.0,1080.0,43.7,41.9,13.2,1.2,--
Scarborough,38.0,42.0,16.0,0.0,96.0,39.6,43.8,16.7,0.0,--
Schofields,270.0,452.0,112.0,11.0,845.0,32.0,53.5,13.3,1.3,--
Scotland Island,74.0,115.0,14.0,0.0,203.0,36.5,56.7,6.9,0.0,--
Seaforth,493.0,978.0,203.0,23.0,1697.0,29.1,57.6,12.0,1.4,--
Sefton,362.0,723.0,243.0,23.0,1351.0,26.8,53.5,18.0,1.7,--
Seven Hills,1494.0,2586.0,810.0,73.0,4963.0,30.1,52.1,16.3,1.5,--
Shalvey,164.0,452.0,330.0,9.0,955.0,17.2,47.3,34.6,0.9,--
Shell Cove,145.0,204.0,22.0,3.0,374.0,38.8,54.5,5.9,0.8,--
Shellharbour,320.0,482.0,144.0,8.0,954.0,33.5,50.5,15.1,0.8,--
Shelly Beach,173.0,142.0,59.0,6.0,380.0,45.5,37.4,15.5,1.6,--
Shortland,400.0,380.0,192.0,11.0,983.0,40.7,38.7,19.5,1.1,--
Silverwater,60.0,143.0,49.0,7.0,259.0,23.2,55.2,18.9,2.7,--
Smithfield,778.0,1415.0,491.0,60.0,2744.0,28.4,51.6,17.9,2.2,--
South Coogee,399.0,537.0,254.0,26.0,1216.0,32.8,44.2,20.9,2.1,--
South Granville,198.0,481.0,129.0,14.0,822.0,24.1,58.5,15.7,1.7,--
South Hurstville,345.0,597.0,187.0,14.0,1143.0,30.2,52.2,16.4,1.2,--
South Penrith,990.0,1779.0,607.0,44.0,3420.0,28.9,52.0,17.7,1.3,--
South Turramurra,290.0,457.0,110.0,7.0,864.0,33.6,52.9,12.7,0.8,--
South Wentworthville,383.0,622.0,234.0,22.0,1261.0,30.4,49.3,18.6,1.7,--
Speers Point,358.0,364.0,159.0,12.0,893.0,40.1,40.8,17.8,1.3,--
Springfield,300.0,545.0,241.0,15.0,1101.0,27.2,49.5,21.9,1.4,--
Springwood,752.0,1020.0,307.0,16.0,2095.0,35.9,48.7,14.7,0.8,--
St Andrews,299.0,1064.0,246.0,19.0,1628.0,18.4,65.4,15.1,1.2,--
St Clair,1075.0,3659.0,801.0,41.0,5576.0,19.3,65.6,14.4,0.7,--
St Helens Park,339.0,905.0,288.0,10.0,1542.0,22.0,58.7,18.7,0.6,--
St Huberts Island,211.0,122.0,25.0,0.0,358.0,58.9,34.1,7.0,0.0,--
St Ives,1298.0,2387.0,256.0,46.0,3987.0,32.6,59.9,6.4,1.2,--
St Ives Chase,275.0,549.0,73.0,9.0,906.0,30.4,60.6,8.1,1.0,--
St Johns Park,311.0,965.0,157.0,16.0,1449.0,21.5,66.6,10.8,1.1,--
St Leonards,243.0,150.0,55.0,35.0,483.0,50.3,31.1,11.4,7.2,--
St Marys,722.0,1050.0,595.0,60.0,2427.0,29.7,43.3,24.5,2.5,--
