,Couple family without children,Couple family with children,One parent family,Other family,Total families,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),Total families (%)
The Entrance North,125.0,88.0,63.0,5.0,281.0,44.5,31.3,22.4,1.8,--
The Hill,174.0,126.0,56.0,15.0,371.0,46.9,34.0,15.1,4.0,--
The Junction,120.0,96.0,61.0,12.0,289.0,41.5,33.2,21.1,4.2,--
Thirroul,561.0,747.0,215.0,26.0,1549.0,36.2,48.2,13.9,1.7,--
Thornleigh,634.0,1240.0,273.0,33.0,2180.0,29.1,56.9,12.5,1.5,--
Tighes Hill,135.0,115.0,122.0,9.0,381.0,35.4,30.2,32.0,2.4,--
Tingira Heights,262.0,439.0,114.0,6.0,821.0,31.9,53.5,13.9,0.7,--
Toongabbie,1009.0,1841.0,645.0,69.0,3564.0,28.3,51.7,18.1,1.9,--
Toowoon Bay,65.0,37.0,13.0,3.0,118.0,55.1,31.4,11.0,2.5,--
Toronto,598.0,507.0,302.0,22.0,1429.0,41.8,35.5,21.1,1.5,--
Toukley,499.0,316.0,218.0,18.0,1051.0,47.5,30.1,20.7,1.7,--
Towradgi,279.0,338.0,128.0,17.0,762.0,36.6,44.4,16.8,2.2,--
Tregear,224.0,377.0,378.0,17.0,996.0,22.5,37.9,38.0,1.7,--
Tuggerah,83.0,130.0,49.0,3.0,265.0,31.3,49.1,18.5,1.1,--
Tuggerawong,115.0,156.0,62.0,5.0,338.0,34.0,46.2,18.3,1.5,--
Tumbi Umbi,345.0,470.0,155.0,10.0,980.0,35.2,48.0,15.8,1.0,--
Turramurra,872.0,1596.0,296.0,32.0,2796.0,31.2,57.1,10.6,1.1,--
Turrella,100.0,201.0,51.0,7.0,359.0,27.9,56.0,14.2,1.9,--
Ultimo,345.0,162.0,111.0,64.0,682.0,50.6,23.8,16.3,9.4,--
Umina Beach,1674.0,1658.0,822.0,70.0,4224.0,39.6,39.3,19.5,1.7,--
Unanderra,544.0,734.0,330.0,22.0,1630.0,33.4,45.0,20.2,1.3,--
Valentine,572.0,842.0,130.0,7.0,1551.0,36.9,54.3,8.4,0.5,--
Valley Heights,128.0,221.0,36.0,3.0,388.0,33.0,57.0,9.3,0.8,--
Vaucluse,840.0,1210.0,296.0,32.0,2378.0,35.3,50.9,12.4,1.3,--
Villawood,374.0,753.0,523.0,44.0,1694.0,22.1,44.5,30.9,2.6,--
Voyager Point,78.0,144.0,9.0,0.0,231.0,33.8,62.3,3.9,0.0,--
Wahroonga,1259.0,2145.0,376.0,54.0,3834.0,32.8,55.9,9.8,1.4,--
Waitara,125.0,178.0,88.0,7.0,398.0,31.4,44.7,22.1,1.8,--
Wakeley,289.0,827.0,192.0,19.0,1327.0,21.8,62.3,14.5,1.4,--
Wallsend,1175.0,1333.0,611.0,63.0,3182.0,36.9,41.9,19.2,2.0,--
Wamberal,605.0,698.0,209.0,20.0,1532.0,39.5,45.6,13.6,1.3,--
Warabrook,196.0,238.0,71.0,7.0,512.0,38.3,46.5,13.9,1.4,--
Waratah,345.0,335.0,227.0,33.0,940.0,36.7,35.6,24.1,3.5,--
Waratah West,302.0,296.0,145.0,15.0,758.0,39.8,39.1,19.1,2.0,--
Wareemba,173.0,165.0,55.0,9.0,402.0,43.0,41.0,13.7,2.2,--
Warilla,523.0,616.0,377.0,27.0,1543.0,33.9,39.9,24.4,1.7,--
Warners Bay,805.0,774.0,343.0,22.0,1944.0,41.4,39.8,17.6,1.1,--
Warrawee,211.0,425.0,43.0,7.0,686.0,30.8,62.0,6.3,1.0,--
Warrawong,473.0,496.0,287.0,9.0,1265.0,37.4,39.2,22.7,0.7,--
Warriewood,279.0,424.0,129.0,14.0,846.0,33.0,50.1,15.2,1.7,--
Warrimoo,206.0,335.0,91.0,5.0,637.0,32.3,52.6,14.3,0.8,--
Warwick Farm,259.0,450.0,290.0,23.0,1022.0,25.3,44.0,28.4,2.3,--
Watanobbi,260.0,405.0,230.0,11.0,906.0,28.7,44.7,25.4,1.2,--
Waterloo,361.0,199.0,518.0,43.0,1121.0,32.2,17.8,46.2,3.8,--
Watsons Bay,62.0,68.0,21.0,3.0,154.0,40.3,44.2,13.6,1.9,--
Wattle Grove,694.0,1698.0,227.0,10.0,2629.0,26.4,64.6,8.6,0.4,--
Waverley,304.0,294.0,128.0,18.0,744.0,40.9,39.5,17.2,2.4,--
Waverton,440.0,249.0,86.0,30.0,805.0,54.7,30.9,10.7,3.7,--
Wentworthville,732.0,1142.0,441.0,73.0,2388.0,30.7,47.8,18.5,3.1,--
Werrington,224.0,393.0,246.0,10.0,873.0,25.7,45.0,28.2,1.1,--
Werrington County,269.0,695.0,164.0,7.0,1135.0,23.7,61.2,14.4,0.6,--
Werrington Downs,194.0,632.0,115.0,9.0,950.0,20.4,66.5,12.1,0.9,--
West Gosford,197.0,149.0,69.0,9.0,424.0,46.5,35.1,16.3,2.1,--
West Hoxton,289.0,878.0,106.0,8.0,1281.0,22.6,68.5,8.3,0.6,--
West Pennant Hills,985.0,2895.0,315.0,44.0,4239.0,23.2,68.3,7.4,1.0,--
West Pymble,439.0,751.0,136.0,11.0,1337.0,32.8,56.2,10.2,0.8,--
West Ryde,1028.0,1366.0,358.0,72.0,2824.0,36.4,48.4,12.7,2.5,--
West Wallsend,147.0,225.0,77.0,7.0,456.0,32.2,49.3,16.9,1.5,--
West Wollongong,484.0,538.0,183.0,18.0,1223.0,39.6,44.0,15.0,1.5,--
Westleigh,361.0,719.0,106.0,15.0,1201.0,30.1,59.9,8.8,1.2,--
Westmead,711.0,949.0,325.0,87.0,2072.0,34.3,45.8,15.7,4.2,--
Wetherill Park,362.0,1126.0,191.0,29.0,1708.0,21.2,65.9,11.2,1.7,--
Whalan,344.0,623.0,485.0,32.0,1484.0,23.2,42.0,32.7,2.2,--
Whitebridge,219.0,385.0,78.0,5.0,687.0,31.9,56.0,11.4,0.7,--
Wickham,46.0,29.0,60.0,5.0,140.0,32.9,20.7,42.9,3.6,--
Wiley Park,440.0,1165.0,370.0,57.0,2032.0,21.7,57.3,18.2,2.8,--
Willmot,156.0,267.0,243.0,11.0,677.0,23.0,39.4,35.9,1.6,--
Willoughby,484.0,685.0,203.0,31.0,1403.0,34.5,48.8,14.5,2.2,--
Willoughby East,136.0,264.0,60.0,10.0,470.0,28.9,56.2,12.8,2.1,--
Windale,203.0,257.0,287.0,18.0,765.0,26.5,33.6,37.5,2.4,--
Windang,344.0,237.0,80.0,11.0,672.0,51.2,35.3,11.9,1.6,--
Winmalee,522.0,1014.0,214.0,8.0,1758.0,29.7,57.7,12.2,0.5,--
Winston Hills,842.0,1435.0,280.0,27.0,2584.0,32.6,55.5,10.8,1.0,--
Wollongong,1427.0,874.0,519.0,110.0,2930.0,48.7,29.8,17.7,3.8,--
Wollstonecraft,1124.0,425.0,216.0,87.0,1852.0,60.7,22.9,11.7,4.7,--
Wombarra,73.0,111.0,27.0,3.0,214.0,34.1,51.9,12.6,1.4,--
Woodbine,179.0,452.0,93.0,6.0,730.0,24.5,61.9,12.7,0.8,--
Woodcroft,271.0,899.0,118.0,18.0,1306.0,20.8,68.8,9.0,1.4,--
Woodpark,108.0,193.0,56.0,7.0,364.0,29.7,53.0,15.4,1.9,--
Woodrising,114.0,233.0,60.0,4.0,411.0,27.7,56.7,14.6,1.0,--
Woollahra,765.0,567.0,201.0,47.0,1580.0,48.4,35.9,12.7,3.0,--
Woolloomooloo,294.0,119.0,172.0,20.0,605.0,48.6,19.7,28.4,3.3,--
Woolooware,640.0,1097.0,198.0,45.0,1980.0,32.3,55.4,10.0,2.3,--
Woolwich,97.0,107.0,13.0,0.0,217.0,44.7,49.3,6.0,0.0,--
Woonona,934.0,1260.0,445.0,33.0,2672.0,35.0,47.2,16.7,1.2,--
Woronora,155.0,310.0,43.0,6.0,514.0,30.2,60.3,8.4,1.2,--
Woronora Heights,91.0,646.0,43.0,3.0,783.0,11.6,82.5,5.5,0.4,--
Woy Woy,1102.0,920.0,555.0,38.0,2615.0,42.1,35.2,21.2,1.5,--
Woy Woy Bay,59.0,67.0,15.0,3.0,144.0,41.0,46.5,10.4,2.1,--
Wyoming,799.0,1139.0,488.0,25.0,2451.0,32.6,46.5,19.9,1.0,--
Wyong,337.0,307.0,197.0,19.0,860.0,39.2,35.7,22.9,2.2,--
Wyongah,169.0,236.0,80.0,4.0,489.0,34.6,48.3,16.4,0.8,--
Yagoona,1083.0,2035.0,573.0,71.0,3762.0,28.8,54.1,15.2,1.9,--
Yarrawarrah,71.0,297.0,35.0,3.0,406.0,17.5,73.2,8.6,0.7,--
Yattalunga,54.0,70.0,18.0,3.0,145.0,37.2,48.3,12.4,2.1,--
Yennora,77.0,148.0,69.0,8.0,302.0,25.5,49.0,22.8,2.6,--
Yowie Bay,374.0,574.0,82.0,10.0,1040.0,36.0,55.2,7.9,1.0,--
Zetland,62.0,55.0,17.0,3.0,137.0,45.3,40.1,12.4,2.2,--
