,"Both employed, worked full-time","Both employed, worked part-time","One employed full-time, one part-time","One employed full-time, other not working","One employed part-time, other not working",Both not working,Other,Labour force status not stated,"Both employed, worked full-time (%)","Both employed, worked part-time (%)","One employed full-time, one part-time (%)","One employed full-time, other not working (%)","One employed part-time, other not working (%)",Both not working (%),Other (%),Labour force status not stated (%)
Springwood (NSW),398.0,86.0,484.0,271.0,95.0,354.0,110.0,97.0,21.0,4.5,25.5,14.3,5.0,18.7,5.8,5.1
St Andrews (NSW),321.0,27.0,255.0,263.0,65.0,167.0,97.0,55.0,25.7,2.2,20.4,21.0,5.2,13.4,7.8,4.4
St Clair (Penrith - NSW),1285.0,105.0,1023.0,933.0,168.0,493.0,335.0,196.0,28.3,2.3,22.5,20.6,3.7,10.9,7.4,4.3
St Helens Park,336.0,29.0,280.0,277.0,64.0,131.0,113.0,80.0,25.6,2.2,21.4,21.1,4.9,10.0,8.6,6.1
St Huberts Island,34.0,15.0,45.0,26.0,23.0,112.0,8.0,19.0,12.1,5.3,16.0,9.2,8.2,39.7,2.8,6.7
St Ives (NSW),699.0,168.0,941.0,746.0,228.0,812.0,154.0,249.0,17.5,4.2,23.5,18.7,5.7,20.3,3.9,6.2
St Ives Chase,162.0,28.0,206.0,122.0,43.0,181.0,37.0,52.0,19.5,3.4,24.8,14.7,5.2,21.8,4.5,6.3
St Johns Park,223.0,38.0,155.0,249.0,106.0,397.0,63.0,73.0,17.1,2.9,11.9,19.1,8.1,30.4,4.8,5.6
St Leonards (NSW),427.0,20.0,135.0,211.0,29.0,66.0,61.0,64.0,42.2,2.0,13.3,20.8,2.9,6.5,6.0,6.3
St Marys (NSW),414.0,45.0,275.0,422.0,114.0,411.0,123.0,114.0,21.6,2.3,14.3,22.0,5.9,21.4,6.4,5.9
St Peters (NSW),217.0,24.0,106.0,72.0,17.0,56.0,42.0,29.0,38.5,4.3,18.8,12.8,3.0,9.9,7.5,5.2
Stanhope Gardens,648.0,38.0,425.0,333.0,52.0,133.0,140.0,93.0,34.8,2.0,22.8,17.9,2.8,7.1,7.5,5.0
