,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Australian citizenship (%),People born overseas (%),Overseas visitors (excluded from people counts) (%)
Abbotsbury,3943.0,1383.0,10.0,94.1,33.0,0.2
Australia,17095569.0,4416037.0,206358.0,86.1,22.2,1.0
Abbotsford,4089.0,1401.0,47.0,82.7,28.3,1.0
Acacia Gardens,2732.0,1062.0,13.0,87.8,34.1,0.4
Adamstown,4780.0,538.0,18.0,90.8,10.2,0.3
Adamstown Heights,4855.0,656.0,29.0,93.5,12.6,0.6
Airds,3052.0,660.0,3.0,81.6,17.6,0.1
Albion Park,10328.0,1511.0,14.0,91.7,13.4,0.1
Albion Park Rail,6206.0,1116.0,20.0,89.5,16.1,0.3
Alexandria,4386.0,1522.0,54.0,74.9,26.0,0.9
Alfords Point,3201.0,724.0,6.0,94.8,21.4,0.2
Allambie Heights,5839.0,1605.0,54.0,89.3,24.5,0.8
Allawah,3693.0,2567.0,59.0,75.0,52.1,1.2
Ambarvale,6340.0,1667.0,13.0,86.3,22.7,0.2
Annandale,6778.0,1988.0,80.0,81.8,24.0,1.0
Argenton,1227.0,135.0,4.0,91.8,10.1,0.3
Arncliffe,7189.0,3489.0,119.0,84.5,41.0,1.4
Artarmon,6380.0,3415.0,116.0,76.3,40.8,1.4
Ashbury,2812.0,1055.0,20.0,86.7,32.5,0.6
Ashcroft,2599.0,1013.0,14.0,84.1,32.8,0.5
Ashfield,14642.0,10585.0,305.0,68.9,49.8,1.4
Asquith,2742.0,829.0,8.0,88.7,26.8,0.3
Auburn,20583.0,16909.0,258.0,68.7,56.4,0.9
Austinmer,2021.0,335.0,14.0,91.4,15.2,0.6
Avoca Beach,3778.0,591.0,23.0,90.0,14.1,0.5
Balgowlah,5393.0,1627.0,61.0,84.1,25.4,1.0
Balgowlah Heights,2693.0,846.0,23.0,84.4,26.5,0.7
Balgownie,5131.0,1163.0,26.0,92.0,20.9,0.5
Balmain,7402.0,2718.0,109.0,78.7,28.9,1.2
Balmain East,1352.0,466.0,31.0,80.1,27.6,1.8
Bangor,4827.0,819.0,15.0,93.0,15.8,0.3
Banksia,2533.0,1319.0,11.0,85.7,44.6,0.4
Bankstown,20222.0,13417.0,200.0,76.5,50.7,0.8
Bar Beach,1199.0,149.0,11.0,90.7,11.3,0.8
Barden Ridge,3964.0,649.0,7.0,94.6,15.5,0.2
Bardwell Park,2117.0,818.0,20.0,88.7,34.3,0.8
Bardwell Valley,1751.0,662.0,15.0,89.1,33.7,0.8
Barnsley,1707.0,109.0,4.0,94.9,6.1,0.2
Barrack Heights,5495.0,1407.0,6.0,89.2,22.8,0.1
Barrack Point,492.0,74.0,0.0,89.6,13.5,0.0
Bass Hill,6270.0,2349.0,31.0,86.8,32.5,0.4
Bateau Bay,10393.0,1236.0,15.0,89.6,10.7,0.1
Baulkham Hills,30772.0,9965.0,232.0,89.2,28.9,0.7
Bayview,2723.0,699.0,19.0,88.1,22.6,0.6
Beacon Hill,5498.0,1647.0,54.0,89.5,26.8,0.9
Beaconsfield,465.0,187.0,6.0,69.5,28.0,0.9
Beecroft,7912.0,2327.0,85.0,91.9,27.0,1.0
Belfield,4890.0,2249.0,30.0,85.7,39.4,0.5
Bella Vista,5631.0,2439.0,60.0,88.3,38.2,0.9
Bellambi,3657.0,734.0,15.0,87.7,17.6,0.4
Bellevue Hill,7471.0,3089.0,170.0,79.1,32.7,1.8
Belmont,5969.0,550.0,12.0,92.2,8.5,0.2
Belmont North,5226.0,424.0,5.0,93.7,7.6,0.1
Belmont South,1089.0,74.0,5.0,93.4,6.3,0.4
Belmore,9387.0,5696.0,79.0,77.4,47.0,0.7
Belrose,7470.0,2160.0,62.0,88.8,25.7,0.7
Bensville,2569.0,310.0,5.0,91.2,11.0,0.2
Berala,6194.0,4071.0,46.0,78.5,51.6,0.6
Berkeley,6394.0,1693.0,14.0,86.2,22.8,0.2
Berkeley Vale,7274.0,845.0,10.0,91.2,10.6,0.1
Berowra,3901.0,925.0,22.0,91.1,21.6,0.5
Berowra Heights,4667.0,933.0,19.0,90.1,18.0,0.4
Beverley Park,1763.0,652.0,16.0,88.0,32.6,0.8
Beverly Hills,6904.0,3206.0,50.0,85.7,39.8,0.6
Bexley,14955.0,7056.0,116.0,83.5,39.4,0.6
Bexley North,3358.0,1379.0,6.0,89.2,36.6,0.2
Bidwill,3484.0,913.0,0.0,80.6,21.1,0.0
Birchgrove,2790.0,895.0,41.0,79.3,25.4,1.2
Birmingham Gardens,1529.0,262.0,21.0,82.8,14.2,1.1
Birrong,1712.0,778.0,10.0,86.3,39.2,0.5
Blackalls Park,2575.0,250.0,4.0,92.9,9.0,0.1
Blackbutt,2747.0,733.0,15.0,88.4,23.6,0.5
Blackett,2622.0,732.0,6.0,81.7,22.8,0.2
