,Greek,Macedonian,Gaelic (Scotland,Irish,Welsh,&nbsp;,English only spoken at home,Households where a non English language is spoken,"Celtic, nec",German,Punjabi,French,Cantonese,Serbian,Tagalog,Spanish,Italian,Dutch,Croatian,Hindi,Nepali,Bengali,Mandarin,Telugu,Vietnamese,Polish,Afrikaans,Key Word Sign Australia,Arabic,Finnish,Portuguese,Czech,Japanese,Malayalam,Korean,Hakka,Burmese,Thai,Maltese,Sinhalese,Russian,Danish,Turkish,Swedish,Indonesian,Filipino,Urdu,Slovak,Hebrew,Hungarian,"Non-verbal, so described",Ukrainian,Bisaya,Maori (Cook Island,Tok Pisin (Neomelanesian,Persian (excluding Dari,Auslan,Norwegian,Khmer,Samoan,Tongan,Invented Languages,Min Nan,Marathi,Fijian,Bislama,Maori (New Zealand,Shona,Lao,Dari,Tamil,Kurdish,Gujarati,"Aboriginal English, so described",Wiradjuri,Romanian,Malay,Estonian,Latin,Bosnian,"Swiss, so described","Other Australian Indigenous Languages, nec",Gumbaynggir,Chin Haka,Dinka,Slovene,Hazaraghi,Cebuano,Dhanggatti,"African Languages, nec",Kuuku-Ya'u,Yoruba,Latvian,Kirundi (Rundi,Assyrian Neo-Aramaic,Yankunytjatjara,"Serbo-Croatian/Yugoslavian, so described",Norf'k-Pitcairn,Gilbertese,Armenian,Paakantyi,Catalan,IIokano,Akan,Swahili,Bandjalang,Githabul,Gamilaraay,Rohingya,Pashto,Somali,Luritja,Krio,"Burmese and Related Languages, nec",Bulgarian,Tibetan,Chaldean Neo-Aramaic,Dharawal,Mongolian,Tokelauan,Karen,Greek (%),Macedonian (%),Gaelic (Scotland (%),Irish (%),Welsh (%),&nbsp; (%),English only spoken at home (%),Households where a non English language is spoken (%),"Celtic, nec (%)",German (%),Punjabi (%),French (%),Cantonese (%),Serbian (%),Tagalog (%),Spanish (%),Italian (%),Dutch (%),Croatian (%),Hindi (%),Nepali (%),Bengali (%),Mandarin (%),Telugu (%),Vietnamese (%),Polish (%),Afrikaans (%),Key Word Sign Australia (%),Arabic (%),Finnish (%),Portuguese (%),Czech (%),Japanese (%),Malayalam (%),Korean (%),Hakka (%),Burmese (%),Thai (%),Maltese (%),Sinhalese (%),Russian (%),Danish (%),Turkish (%),Swedish (%),Indonesian (%),Filipino (%),Urdu (%),Slovak (%),Hebrew (%),Hungarian (%),"Non-verbal, so described (%)",Ukrainian (%),Bisaya (%),Maori (Cook Island (%),Tok Pisin (Neomelanesian (%),Persian (excluding Dari (%),Auslan (%),Norwegian (%),Khmer (%),Samoan (%),Tongan (%),Invented Languages (%),Min Nan (%),Marathi (%),Fijian (%),Bislama (%),Maori (New Zealand (%),Shona (%),Lao (%),Dari (%),Tamil (%),Kurdish (%),Gujarati (%),"Aboriginal English, so described (%)",Wiradjuri (%),Romanian (%),Malay (%),Estonian (%),Latin (%),Bosnian (%),"Swiss, so described (%)","Other Australian Indigenous Languages, nec (%)",Gumbaynggir (%),Chin Haka (%),Dinka (%),Slovene (%),Hazaraghi (%),Cebuano (%),Dhanggatti (%),"African Languages, nec (%)",Kuuku-Ya'u (%),Yoruba (%),Latvian (%),Kirundi (Rundi (%),Assyrian Neo-Aramaic (%),Yankunytjatjara (%),"Serbo-Croatian/Yugoslavian, so described (%)",Norf'k-Pitcairn (%),Gilbertese (%),Armenian (%),Paakantyi (%),Catalan (%),IIokano (%),Akan (%),Swahili (%),Bandjalang (%),Githabul (%),Gamilaraay (%),Rohingya (%),Pashto (%),Somali (%),Luritja (%),Krio (%),"Burmese and Related Languages, nec (%)",Bulgarian (%),Tibetan (%),Chaldean Neo-Aramaic (%),Dharawal (%),Mongolian (%),Tokelauan (%),Karen (%),SSC_CODE
Good Hope,,,0,0,0,&nbsp;,146,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,90.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11700
Wallaroo (NSW),,,,,,&nbsp;,586,31,,5,,,,8,,,4,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,82.7,12.9,,0.7,,,,1.1,,,0.6,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14112
Murrumbateman,,,,,,&nbsp;,"2,927",79,,20,,,,,,10,10,,14,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,91.4,7.7,,0.6,,,,,,0.3,0.3,,0.4,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12860
Springrange,,,0,0,,&nbsp;,256,6,,,,,,,,,,,4,,,,3,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,&nbsp;,88.3,6.5,,,,,,,,,,,1.4,,,,1.0,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13625
Jeir,,,0,0,0,&nbsp;,235,3,0,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,92.5,3.7,0.0,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004
Marchmont,,,0,0,0,&nbsp;,217,5,0,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,96.4,6.3,0.0,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12487
Nanima,,,0,0,0,&nbsp;,152,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,95.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12891
Young,,,,,,&nbsp;,"9,199",193,,,,,,19,22,,21,,,,,,25,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,89.5,4.7,,,,,,0.2,0.2,,0.2,,,,,,0.2,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14518
Kingsvale,,,0,,,&nbsp;,143,8,,,,,,,,,3,,,,,,,,,,,,7,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,&nbsp;,86.1,11.0,,,,,,,,,1.8,,,,,,,,,,,,4.2,,,,,,,,,,1.8,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12161
Burrangong,,,0,0,,&nbsp;,202,10,,,,,,,,,7,7,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,&nbsp;,84.2,11.2,,,,,,,,,2.9,2.9,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10706
Wyangala,,,0,0,0,&nbsp;,158,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,88.3,3.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14434
Wombat,,,0,0,0,&nbsp;,206,3,0,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,92.8,3.4,0.0,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14364
Cunningar,,,0,0,0,&nbsp;,132,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,96.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11164
Harden,,,,,,&nbsp;,"1,868",36,,,,,7,9,,,6,,,,,,,,,,,,4,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,91.9,4.0,,,,,0.3,0.4,,,0.3,,,,,,,,,,,,0.2,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11851
Boorowa,,,0,0,,&nbsp;,"1,485",23,,,,,3,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,&nbsp;,91.4,3.2,,,,,0.2,,,0.2,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10503
Murrumburrah,,,0,0,0,&nbsp;,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,91.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12863
Frogmore,,,0,0,0,&nbsp;,122,0,0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,91.7,0.0,0.0,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11571
Maimuru,,,0,0,0,&nbsp;,124,5,0,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,86.7,9.6,0.0,,,,,,,,,,,,,,,,,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12444
Bendick Murrell,,,0,0,0,&nbsp;,135,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,89.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10290
Koorawatha,3,,0,0,,&nbsp;,363,6,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.0,0.0,,&nbsp;,86.2,3.1,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12192
Monteagle,,,0,0,0,&nbsp;,194,4,0,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,94.2,4.9,0.0,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12683
Murringo,,,0,0,0,&nbsp;,340,4,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,95.0,2.7,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12858
Thuddungra,,,0,0,0,&nbsp;,111,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,94.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13853
Bribbaree,,,0,0,0,&nbsp;,126,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,94.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10566
Avoca Beach,,,,,,&nbsp;,"4,162",116,,29,,28,,,,18,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,90.9,7.2,,0.6,,0.6,,,,0.4,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10114
Copacabana,,,,,,&nbsp;,"2,450",95,,34,,10,,,,18,26,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,89.8,9.7,,1.2,,0.4,,,,0.7,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11056
Killcare Heights,,,,,,&nbsp;,703,21,,4,,3,,,,,3,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,95.3,7.3,,0.5,,0.4,,,,,0.4,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12134
Macmasters Beach,,,,,,&nbsp;,"1,207",27,,6,,10,,,,,,,7,,,,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,92.9,5.7,,0.5,,0.8,,,,,,,0.5,,,,0.4,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12432
Empire Bay,,,,,4,&nbsp;,"2,212",49,,6,,,,,5,,9,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,&nbsp;,93.1,5.6,,0.3,,,,,0.2,,0.4,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11415
Wagstaffe,,,0,0,0,&nbsp;,207,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,93.7,3.1,0.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14084
St Huberts Island,,,,,,&nbsp;,961,37,,4,,6,,,,,7,,,,,,7,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,91.3,8.5,,0.4,,0.6,,,,,0.7,,,,,,0.7,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13638
Killcare,3,,,,,&nbsp;,410,11,,3,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,&nbsp;,86.7,5.6,,0.6,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12133
Bensville,,,,,,&nbsp;,"2,385",52,,9,,7,,,,12,15,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,93.8,6.4,,0.4,,0.3,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10297
Daleys Point,4,,,,,&nbsp;,595,24,,4,,,,,,6,,,,,,,,,,,,,,,,,,,6,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,&nbsp;,87.8,7.3,,0.6,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.9,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11189
Pretty Beach (Central Coast - NSW),,,,,,&nbsp;,308,8,,,,3,,,,7,,,,3,,,,,,,,,3,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,87.0,5.6,,,,0.8,,,,2.0,,,,0.8,,,,,,,,,0.8,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13261
Hardys Bay,,,0,0,0,&nbsp;,207,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,91.6,4.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11852
Kincumber South,,,0,,,&nbsp;,625,22,,,,3,,,,,3,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,&nbsp;,92.9,5.1,,,,0.4,,,,,0.4,,,,,,,,,0.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12142
Somersby,14,,,,,&nbsp;,902,36,,,,,,,,,,,,,,,11,,,,,,,6,,,,,,,,,11,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,&nbsp;,85.3,9.9,,,,,,,,,,,,,,,1.0,,,,,,,0.6,,,,,,,,,1.0,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13571
Calga,3,,0,0,,&nbsp;,112,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,0.0,0.0,,&nbsp;,85.5,8.5,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10752
Woy Woy,,,,,,&nbsp;,"9,188",455,,34,,,45,,,79,,,,,,,139,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,86.5,9.7,,0.3,,,0.4,,,0.7,,,,,,,1.3,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14425
Patonga,,,0,0,0,&nbsp;,177,6,0,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,88.5,5.6,0.0,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13160
