,Couple family without children,Couple family with children,One parent family,Other family,Total families,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),Total families (%)
Russell Vale,132.0,159.0,59.0,6.0,356.0,37.1,44.7,16.6,1.7,--
Rydalmere,103.0,166.0,49.0,8.0,326.0,31.6,50.9,15.0,2.5,--
Ryde,1805.0,2608.0,815.0,112.0,5340.0,33.8,48.8,15.3,2.1,--
Sadleir,184.0,304.0,221.0,23.0,732.0,25.1,41.5,30.2,3.1,--
San Remo,345.0,464.0,280.0,11.0,1100.0,31.4,42.2,25.5,1.0,--
Sandringham,142.0,161.0,36.0,8.0,347.0,40.9,46.4,10.4,2.3,--
Sans Souci,964.0,1011.0,347.0,39.0,2361.0,40.8,42.8,14.7,1.7,--
Saratoga,396.0,445.0,146.0,11.0,998.0,39.7,44.6,14.6,1.1,--
Scarborough,33.0,46.0,15.0,0.0,94.0,35.1,48.9,16.0,0.0,--
Schofields,320.0,586.0,159.0,20.0,1085.0,29.5,54.0,14.7,1.8,--
Scotland Island,65.0,97.0,17.0,0.0,179.0,36.3,54.2,9.5,0.0,--
Seaforth,502.0,1005.0,187.0,19.0,1713.0,29.3,58.7,10.9,1.1,--
Sefton,350.0,724.0,273.0,25.0,1372.0,25.5,52.8,19.9,1.8,--
Seven Hills,1547.0,2525.0,882.0,87.0,5041.0,30.7,50.1,17.5,1.7,--
Shalvey,173.0,432.0,350.0,14.0,969.0,17.9,44.6,36.1,1.4,--
Shell Cove,293.0,459.0,68.0,3.0,823.0,35.6,55.8,8.3,0.4,--
Shellharbour,331.0,422.0,147.0,5.0,905.0,36.6,46.6,16.2,0.6,--
Shelly Beach,174.0,149.0,52.0,6.0,381.0,45.7,39.1,13.6,1.6,--
Shortland,394.0,349.0,211.0,20.0,974.0,40.5,35.8,21.7,2.1,--
Silverwater (Auburn),54.0,121.0,44.0,11.0,230.0,23.5,52.6,19.1,4.8,--
Smithfield,894.0,1466.0,621.0,60.0,3041.0,29.4,48.2,20.4,2.0,--
South Coogee,386.0,550.0,230.0,17.0,1183.0,32.6,46.5,19.4,1.4,--
South Granville,164.0,480.0,141.0,16.0,801.0,20.5,59.9,17.6,2.0,--
South Hurstville,324.0,632.0,208.0,29.0,1193.0,27.2,53.0,17.4,2.4,--
South Penrith,1126.0,1574.0,614.0,41.0,3355.0,33.6,46.9,18.3,1.2,--
South Turramurra,268.0,489.0,92.0,3.0,852.0,31.5,57.4,10.8,0.4,--
South Wentworthville,413.0,671.0,255.0,27.0,1366.0,30.2,49.1,18.7,2.0,--
Speers Point,372.0,356.0,155.0,11.0,894.0,41.6,39.8,17.3,1.2,--
Springfield (Gosford),288.0,537.0,217.0,14.0,1056.0,27.3,50.9,20.5,1.3,--
Springwood,829.0,1031.0,327.0,21.0,2208.0,37.5,46.7,14.8,1.0,--
St Andrews,353.0,945.0,295.0,18.0,1611.0,21.9,58.7,18.3,1.1,--
St Clair (Penrith),1269.0,3306.0,905.0,53.0,5533.0,22.9,59.8,16.4,1.0,--
St Helens Park,406.0,876.0,324.0,13.0,1619.0,25.1,54.1,20.0,0.8,--
