,Couple family without children,Couple family with children,One parent family,Other family,Total families,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),Total families (%)
Teralba,150.0,160.0,81.0,0.0,391.0,38.4,40.9,20.7,0.0,--
Terrey Hills,205.0,444.0,77.0,3.0,729.0,28.1,60.9,10.6,0.4,--
Terrigal,1050.0,1159.0,414.0,37.0,2660.0,39.5,43.6,15.6,1.4,--
The Entrance,295.0,124.0,176.0,19.0,614.0,48.0,20.2,28.7,3.1,--
The Entrance North,134.0,91.0,64.0,3.0,292.0,45.9,31.2,21.9,1.0,--
The Hill,208.0,130.0,55.0,6.0,399.0,52.1,32.6,13.8,1.5,--
The Junction,125.0,96.0,58.0,8.0,287.0,43.6,33.4,20.2,2.8,--
Thirroul,549.0,709.0,236.0,22.0,1516.0,36.2,46.8,15.6,1.5,--
Thornleigh,641.0,1192.0,286.0,26.0,2145.0,29.9,55.6,13.3,1.2,--
Tighes Hill,138.0,123.0,121.0,11.0,393.0,35.1,31.3,30.8,2.8,--
Tingira Heights,243.0,447.0,125.0,3.0,818.0,29.7,54.6,15.3,0.4,--
Toongabbie,1032.0,1776.0,548.0,57.0,3413.0,30.2,52.0,16.1,1.7,--
Toowoon Bay,50.0,38.0,27.0,0.0,115.0,43.5,33.0,23.5,0.0,--
Toronto,600.0,468.0,299.0,18.0,1385.0,43.3,33.8,21.6,1.3,--
Toukley,523.0,300.0,234.0,23.0,1080.0,48.4,27.8,21.7,2.1,--
Towradgi,273.0,355.0,151.0,11.0,790.0,34.6,44.9,19.1,1.4,--
Tregear,219.0,342.0,356.0,22.0,939.0,23.3,36.4,37.9,2.3,--
Tuggerah,88.0,107.0,60.0,5.0,260.0,33.8,41.2,23.1,1.9,--
Tuggerawong,111.0,128.0,61.0,0.0,300.0,37.0,42.7,20.3,0.0,--
Tumbi Umbi,461.0,575.0,194.0,5.0,1235.0,37.3,46.6,15.7,0.4,--
Turramurra,944.0,1562.0,297.0,26.0,2829.0,33.4,55.2,10.5,0.9,--
Turrella,76.0,143.0,27.0,4.0,250.0,30.4,57.2,10.8,1.6,--
Ultimo,467.0,167.0,96.0,81.0,811.0,57.6,20.6,11.8,10.0,--
Umina Beach,1555.0,1477.0,824.0,72.0,3928.0,39.6,37.6,21.0,1.8,--
Unanderra,542.0,622.0,346.0,28.0,1538.0,35.2,40.4,22.5,1.8,--
Valentine,639.0,855.0,154.0,6.0,1654.0,38.6,51.7,9.3,0.4,--
Valley Heights,136.0,208.0,49.0,0.0,393.0,34.6,52.9,12.5,0.0,--
Vaucluse,747.0,1135.0,233.0,39.0,2154.0,34.7,52.7,10.8,1.8,--
Villawood,277.0,512.0,392.0,24.0,1205.0,23.0,42.5,32.5,2.0,--
Voyager Point,86.0,248.0,19.0,3.0,356.0,24.2,69.7,5.3,0.8,--
Wahroonga,1177.0,2122.0,380.0,44.0,3723.0,31.6,57.0,10.2,1.2,--
Waitara,585.0,480.0,206.0,38.0,1309.0,44.7,36.7,15.7,2.9,--
Wakeley,306.0,774.0,219.0,20.0,1319.0,23.2,58.7,16.6,1.5,--
Wallsend,1220.0,1264.0,698.0,64.0,3246.0,37.6,38.9,21.5,2.0,--
Wamberal,561.0,708.0,242.0,18.0,1529.0,36.7,46.3,15.8,1.2,--
Warabrook,214.0,245.0,79.0,4.0,542.0,39.5,45.2,14.6,0.7,--
Waratah,338.0,324.0,228.0,29.0,919.0,36.8,35.3,24.8,3.2,--
Waratah West,273.0,248.0,157.0,10.0,688.0,39.7,36.0,22.8,1.5,--
Wareemba,177.0,171.0,44.0,11.0,403.0,43.9,42.4,10.9,2.7,--
Warilla,549.0,551.0,385.0,34.0,1519.0,36.1,36.3,25.3,2.2,--
Warners Bay,837.0,803.0,348.0,30.0,2018.0,41.5,39.8,17.2,1.5,--
Warrawee,195.0,419.0,50.0,7.0,671.0,29.1,62.4,7.5,1.0,--
Warrawong,472.0,479.0,359.0,20.0,1330.0,35.5,36.0,27.0,1.5,--
Warriewood,411.0,753.0,217.0,21.0,1402.0,29.3,53.7,15.5,1.5,--
Warrimoo,210.0,331.0,95.0,10.0,646.0,32.5,51.2,14.7,1.5,--
Warwick Farm,248.0,359.0,295.0,24.0,926.0,26.8,38.8,31.9,2.6,--
Watanobbi,258.0,417.0,283.0,7.0,965.0,26.7,43.2,29.3,0.7,--
Waterloo,802.0,245.0,428.0,120.0,1595.0,50.3,15.4,26.8,7.5,--
Watsons Bay,60.0,77.0,19.0,0.0,156.0,38.5,49.4,12.2,0.0,--
Wattle Grove,483.0,1191.0,212.0,5.0,1891.0,25.5,63.0,11.2,0.3,--
Waverley,346.0,361.0,135.0,16.0,858.0,40.3,42.1,15.7,1.9,--
Waverton,428.0,271.0,77.0,23.0,799.0,53.6,33.9,9.6,2.9,--
Wentworthville,838.0,1364.0,417.0,75.0,2694.0,31.1,50.6,15.5,2.8,--
Werrington,283.0,367.0,260.0,16.0,926.0,30.6,39.6,28.1,1.7,--
Werrington County,323.0,573.0,182.0,14.0,1092.0,29.6,52.5,16.7,1.3,--
Werrington Downs,201.0,567.0,141.0,8.0,917.0,21.9,61.8,15.4,0.9,--
West Gosford,197.0,139.0,74.0,14.0,424.0,46.5,32.8,17.5,3.3,--
West Hoxton,378.0,1400.0,236.0,13.0,2027.0,18.6,69.1,11.6,0.6,--
West Pennant Hills,1177.0,2967.0,364.0,48.0,4556.0,25.8,65.1,8.0,1.1,--
West Pymble,379.0,777.0,136.0,8.0,1300.0,29.2,59.8,10.5,0.6,--
West Ryde,1081.0,1356.0,446.0,96.0,2979.0,36.3,45.5,15.0,3.2,--
West Wallsend,154.0,195.0,109.0,10.0,468.0,32.9,41.7,23.3,2.1,--
West Wollongong,439.0,468.0,199.0,11.0,1117.0,39.3,41.9,17.8,1.0,--
Westleigh,412.0,785.0,106.0,13.0,1316.0,31.3,59.7,8.1,1.0,--
Westmead,823.0,1081.0,329.0,80.0,2313.0,35.6,46.7,14.2,3.5,--
Wetherill Park,432.0,1002.0,273.0,23.0,1730.0,25.0,57.9,15.8,1.3,--
Whalan,318.0,532.0,521.0,40.0,1411.0,22.5,37.7,36.9,2.8,--
Whitebridge,234.0,372.0,95.0,3.0,704.0,33.2,52.8,13.5,0.4,--
Wickham,88.0,42.0,48.0,11.0,189.0,46.6,22.2,25.4,5.8,--
Wiley Park,507.0,1140.0,431.0,59.0,2137.0,23.7,53.3,20.2,2.8,--
Willmot,140.0,225.0,219.0,9.0,593.0,23.6,37.9,36.9,1.5,--
Willoughby,471.0,737.0,213.0,23.0,1444.0,32.6,51.0,14.8,1.6,--
Willoughby East,113.0,281.0,60.0,4.0,458.0,24.7,61.4,13.1,0.9,--
Windale,209.0,218.0,319.0,10.0,756.0,27.6,28.8,42.2,1.3,--
Windang,344.0,211.0,94.0,12.0,661.0,52.0,31.9,14.2,1.8,--
Winmalee,572.0,950.0,238.0,5.0,1765.0,32.4,53.8,13.5,0.3,--
Winston Hills,887.0,1339.0,275.0,27.0,2528.0,35.1,53.0,10.9,1.1,--
Wollongong,1523.0,913.0,573.0,122.0,3131.0,48.6,29.2,18.3,3.9,--
Wollstonecraft,1135.0,497.0,195.0,88.0,1915.0,59.3,26.0,10.2,4.6,--
Wombarra,71.0,121.0,34.0,7.0,233.0,30.5,51.9,14.6,3.0,--
Woodbine,191.0,414.0,115.0,9.0,729.0,26.2,56.8,15.8,1.2,--
Woodcroft,252.0,1025.0,136.0,14.0,1427.0,17.7,71.8,9.5,1.0,--
Woodpark,113.0,183.0,54.0,6.0,356.0,31.7,51.4,15.2,1.7,--
Woodrising,117.0,238.0,81.0,3.0,439.0,26.7,54.2,18.5,0.7,--
Woollahra,755.0,625.0,201.0,50.0,1631.0,46.3,38.3,12.3,3.1,--
Woolloomooloo,359.0,100.0,161.0,19.0,639.0,56.2,15.6,25.2,3.0,--
Woolooware,617.0,1062.0,196.0,22.0,1897.0,32.5,56.0,10.3,1.2,--
Woolwich,104.0,85.0,16.0,0.0,205.0,50.7,41.5,7.8,0.0,--
Woonona,1042.0,1354.0,512.0,34.0,2942.0,35.4,46.0,17.4,1.2,--
Woronora,187.0,361.0,51.0,0.0,599.0,31.2,60.3,8.5,0.0,--
Woronora Heights,128.0,630.0,46.0,5.0,809.0,15.8,77.9,5.7,0.6,--
Woy Woy,1100.0,838.0,570.0,44.0,2552.0,43.1,32.8,22.3,1.7,--
Woy Woy Bay,83.0,90.0,15.0,0.0,188.0,44.1,47.9,8.0,0.0,--
Wyoming,821.0,1078.0,508.0,29.0,2436.0,33.7,44.3,20.9,1.2,--
Wyong,316.0,276.0,208.0,12.0,812.0,38.9,34.0,25.6,1.5,--
Wyongah,168.0,222.0,104.0,4.0,498.0,33.7,44.6,20.9,0.8,--
Yagoona,964.0,2080.0,685.0,65.0,3794.0,25.4,54.8,18.1,1.7,--
Yarrawarrah,86.0,277.0,26.0,9.0,398.0,21.6,69.6,6.5,2.3,--
Yattalunga,52.0,58.0,24.0,0.0,134.0,38.8,43.3,17.9,0.0,--
Yennora,71.0,147.0,69.0,9.0,296.0,24.0,49.7,23.3,3.0,--
Yowie Bay,382.0,573.0,93.0,9.0,1057.0,36.1,54.2,8.8,0.9,--
Zetland,358.0,173.0,58.0,40.0,629.0,56.9,27.5,9.2,6.4,--
