,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%),SSC_CODE
Beacon Hill,3400.0,110.0,360.0,238.0,1770.0,57.8,1.9,6.1,4.0,30.1,10238
Narraweena,2688.0,126.0,480.0,430.0,1617.0,50.3,2.4,9.0,8.1,30.3,12910
Cromer (NSW),3326.0,128.0,453.0,412.0,1676.0,55.5,2.1,7.6,6.9,28.0,11118
Oxford Falls,64.0,0.0,7.0,11.0,35.0,54.7,0.0,6.0,9.4,29.9,13106
Dee Why,7959.0,560.0,2029.0,687.0,6823.0,44.1,3.1,11.2,3.8,37.8,11227
North Curl Curl,1739.0,66.0,206.0,111.0,957.0,56.5,2.1,6.7,3.6,31.1,12988
Forestville (NSW),3779.0,108.0,464.0,428.0,1653.0,58.8,1.7,7.2,6.7,25.7,11548
Killarney Heights,2113.0,51.0,171.0,147.0,922.0,62.1,1.5,5.0,4.3,27.1,12130
Frenchs Forest,6359.0,168.0,563.0,408.0,2802.0,61.7,1.6,5.5,4.0,27.2,11568
Belrose,4169.0,114.0,449.0,690.0,1640.0,59.0,1.6,6.4,9.8,23.2,10283
Davidson,1468.0,42.0,114.0,79.0,569.0,64.6,1.8,5.0,3.5,25.0,11219
Curl Curl,1016.0,28.0,130.0,55.0,606.0,55.4,1.5,7.1,3.0,33.0,11167
Freshwater (NSW),3221.0,185.0,595.0,207.0,2828.0,45.8,2.6,8.5,2.9,40.2,11569
Manly Vale,2274.0,149.0,478.0,248.0,1819.0,45.8,3.0,9.6,5.0,36.6,12476
North Manly,1282.0,61.0,147.0,106.0,736.0,55.0,2.6,6.3,4.5,31.6,12997
Queenscliff (NSW),1122.0,69.0,265.0,64.0,1416.0,38.2,2.4,9.0,2.2,48.2,13296
Brookvale,1073.0,84.0,295.0,126.0,1122.0,39.7,3.1,10.9,4.7,41.6,10601
Allambie Heights,3060.0,109.0,384.0,366.0,1526.0,56.2,2.0,7.1,6.7,28.0,10036
North Balgowlah,1607.0,46.0,141.0,83.0,691.0,62.6,1.8,5.5,3.2,26.9,12981
Narrabeen,3044.0,232.0,876.0,861.0,2142.0,42.5,3.2,12.2,12.0,29.9,12902
Collaroy (NSW),3247.0,189.0,563.0,356.0,2231.0,49.3,2.9,8.5,5.4,33.9,10970
Collaroy Plateau,2091.0,86.0,237.0,165.0,1061.0,57.4,2.4,6.5,4.5,29.1,10971
Wheeler Heights,1338.0,45.0,150.0,87.0,629.0,59.5,2.0,6.7,3.9,28.0,14268
Terrey Hills,1423.0,48.0,142.0,126.0,680.0,58.8,2.0,5.9,5.2,28.1,13804
Duffys Forest,239.0,7.0,20.0,8.0,117.0,61.1,1.8,5.1,2.0,29.9,11301
Ellis Lane,413.0,19.0,45.0,24.0,175.0,61.1,2.8,6.7,3.6,25.9,11405
Grasmere,913.0,25.0,91.0,346.0,336.0,53.4,1.5,5.3,20.2,19.6,11739
Camden,1127.0,105.0,326.0,302.0,804.0,42.3,3.9,12.2,11.3,30.2,10770
Camden Park (NSW),1070.0,20.0,89.0,39.0,429.0,65.0,1.2,5.4,2.4,26.0,10772
Cawdor (NSW),215.0,8.0,28.0,22.0,95.0,58.4,2.2,7.6,6.0,25.8,10863
Camden South,2053.0,104.0,267.0,171.0,964.0,57.7,2.9,7.5,4.8,27.1,10773
Harrington Park,4780.0,207.0,410.0,210.0,2228.0,61.0,2.6,5.2,2.7,28.4,11859
Elderslie (Camden - NSW),2468.0,136.0,392.0,165.0,1396.0,54.2,3.0,8.6,3.6,30.6,11391
Narellan,1374.0,122.0,277.0,129.0,1003.0,47.3,4.2,9.5,4.4,34.5,12896
Kirkham,341.0,12.0,17.0,14.0,176.0,60.9,2.1,3.0,2.5,31.4,12171
Mount Annan,4914.0,282.0,588.0,233.0,2694.0,56.4,3.2,6.8,2.7,30.9,12745
Currans Hill,1861.0,169.0,353.0,91.0,1418.0,47.8,4.3,9.1,2.3,36.4,11175
Gregory Hills,2232.0,91.0,183.0,54.0,1122.0,60.6,2.5,5.0,1.5,30.5,11774
Narellan Vale,2865.0,193.0,431.0,157.0,1877.0,51.9,3.5,7.8,2.8,34.0,12897
Spring Farm (NSW),1749.0,129.0,217.0,73.0,972.0,55.7,4.1,6.9,2.3,31.0,13612
Airds,477.0,134.0,248.0,139.0,1155.0,22.2,6.2,11.5,6.5,53.6,10022
Bradbury (NSW),3069.0,343.0,629.0,335.0,2518.0,44.5,5.0,9.1,4.9,36.5,10543
St Helens Park,2268.0,223.0,394.0,176.0,1910.0,45.6,4.5,7.9,3.5,38.4,13637
Wedderburn (NSW),254.0,15.0,37.0,27.0,167.0,50.8,3.0,7.4,5.4,33.4,14209
Woodbine (NSW),1139.0,93.0,150.0,94.0,666.0,53.2,4.3,7.0,4.4,31.1,14378
Campbelltown (NSW),4226.0,486.0,1019.0,740.0,3867.0,40.9,4.7,9.9,7.2,37.4,10780
Leumeah,3636.0,334.0,722.0,361.0,2813.0,46.2,4.2,9.2,4.6,35.8,12308
Blair Athol (NSW),1210.0,66.0,123.0,49.0,786.0,54.2,3.0,5.5,2.2,35.2,10400
Raby,2410.0,181.0,400.0,151.0,1582.0,51.0,3.8,8.5,3.2,33.5,13303
Eagle Vale,2079.0,207.0,392.0,143.0,1770.0,45.3,4.5,8.5,3.1,38.6,11341
Eschol Park,980.0,90.0,188.0,49.0,753.0,47.6,4.4,9.1,2.4,36.6,11441
Blairmount,151.0,11.0,25.0,6.0,120.0,48.2,3.5,8.0,1.9,38.3,10401
Kearns,1119.0,80.0,151.0,57.0,790.0,50.9,3.6,6.9,2.6,36.0,12079
Claymore,359.0,94.0,183.0,73.0,1058.0,20.3,5.3,10.4,4.1,59.9,10924
Holsworthy,2097.0,116.0,224.0,73.0,1741.0,49.3,2.7,5.3,1.7,41.0,11926
Ingleburn,5913.0,445.0,1081.0,577.0,3930.0,49.5,3.7,9.0,4.8,32.9,11978
Macquarie Links,635.0,18.0,49.0,28.0,337.0,59.5,1.7,4.6,2.6,31.6,12435
Denham Court,988.0,25.0,63.0,65.0,570.0,57.7,1.5,3.7,3.8,33.3,11235
Bardia,691.0,47.0,56.0,15.0,341.0,60.1,4.1,4.9,1.3,29.7,10194
Edmondson Park,1080.0,20.0,67.0,44.0,443.0,65.3,1.2,4.1,2.7,26.8,11383
Ruse,2207.0,179.0,394.0,178.0,1519.0,49.3,4.0,8.8,4.0,33.9,13443
Kentlyn,306.0,22.0,32.0,36.0,190.0,52.2,3.8,5.5,6.1,32.4,12101
Minto Heights,182.0,4.0,13.0,13.0,100.0,58.3,1.3,4.2,4.2,32.1,12643
Macquarie Fields,4856.0,447.0,976.0,491.0,3808.0,45.9,4.2,9.2,4.6,36.0,12433
Glenfield (NSW),4048.0,226.0,554.0,461.0,2253.0,53.7,3.0,7.3,6.1,29.9,11664
Long Point (Campbelltown - NSW),100.0,0.0,10.0,9.0,54.0,57.8,0.0,5.8,5.2,31.2,12381
St Andrews (NSW),2243.0,155.0,345.0,156.0,1630.0,49.5,3.4,7.6,3.4,36.0,13631
Bow Bowing,644.0,54.0,95.0,36.0,443.0,50.6,4.2,7.5,2.8,34.8,10526
Minto,4956.0,341.0,726.0,436.0,3241.0,51.1,3.5,7.5,4.5,33.4,12642
Rosemeadow,2667.0,270.0,545.0,207.0,2334.0,44.3,4.5,9.0,3.4,38.8,13410
Ambarvale,2326.0,294.0,483.0,195.0,2354.0,41.2,5.2,8.5,3.5,41.6,10049
Menangle Park,84.0,8.0,21.0,13.0,73.0,42.2,4.0,10.6,6.5,36.7,12569
Gilead,228.0,3.0,49.0,91.0,30.0,56.9,0.7,12.2,22.7,7.5,11617
Glen Alpine,2273.0,85.0,178.0,98.0,1122.0,60.5,2.3,4.7,2.6,29.9,11645
Englorie Park,148.0,16.0,22.0,18.0,118.0,46.0,5.0,6.8,5.6,36.6,11423
Yanderra,256.0,20.0,34.0,12.0,194.0,49.6,3.9,6.6,2.3,37.6,14461
Douglas Park,606.0,48.0,90.0,38.0,320.0,55.0,4.4,8.2,3.4,29.0,11283
Razorback,512.0,22.0,38.0,21.0,238.0,61.6,2.6,4.6,2.5,28.6,13328
Appin (NSW),1096.0,60.0,131.0,56.0,617.0,55.9,3.1,6.7,2.9,31.5,10063
Menangle,594.0,10.0,40.0,132.0,222.0,59.5,1.0,4.0,13.2,22.2,12568
Picton (NSW),2052.0,134.0,303.0,148.0,1187.0,53.7,3.5,7.9,3.9,31.0,13200
Tahmoor,1787.0,163.0,392.0,219.0,1404.0,45.1,4.1,9.9,5.5,35.4,13727
Buxton (NSW),754.0,68.0,132.0,39.0,526.0,49.6,4.5,8.7,2.6,34.6,10726
Thirlmere,1697.0,106.0,252.0,222.0,953.0,52.5,3.3,7.8,6.9,29.5,13847
Couridjah,118.0,12.0,29.0,3.0,86.0,47.6,4.8,11.7,1.2,34.7,11093
Lakesland,210.0,8.0,11.0,11.0,110.0,60.0,2.3,3.1,3.1,31.4,12258
The Oaks,1116.0,49.0,139.0,67.0,592.0,56.9,2.5,7.1,3.4,30.2,13831
Werombi,455.0,7.0,38.0,23.0,204.0,62.6,1.0,5.2,3.2,28.1,14232
Orangeville,594.0,15.0,56.0,15.0,269.0,62.6,1.6,5.9,1.6,28.3,13094
Belimbla Park,271.0,15.0,32.0,11.0,132.0,58.8,3.3,6.9,2.4,28.6,10261
Mount Hunter,347.0,14.0,37.0,15.0,164.0,60.1,2.4,6.4,2.6,28.4,12765
Brownlow Hill,175.0,12.0,13.0,9.0,130.0,51.6,3.5,3.8,2.7,38.3,10609
Theresa Park,275.0,7.0,10.0,23.0,133.0,61.4,1.6,2.2,5.1,29.7,13845
Silverdale (NSW),1676.0,67.0,153.0,96.0,871.0,58.5,2.3,5.3,3.4,30.4,13544
Oakdale (NSW),726.0,44.0,135.0,49.0,485.0,50.5,3.1,9.4,3.4,33.7,13054
Blackheath,1613.0,151.0,500.0,220.0,1221.0,43.5,4.1,13.5,5.9,33.0,10393
Mount Victoria,316.0,28.0,136.0,53.0,313.0,37.4,3.3,16.1,6.3,37.0,12797
Glenbrook,2344.0,73.0,291.0,191.0,1168.0,57.6,1.8,7.2,4.7,28.7,11656
Blaxland (NSW),3295.0,170.0,513.0,263.0,1703.0,55.4,2.9,8.6,4.4,28.7,10407
Warrimoo,1054.0,54.0,142.0,62.0,634.0,54.2,2.8,7.3,3.2,32.6,14174
Lapstone,460.0,19.0,49.0,36.0,214.0,59.1,2.4,6.3,4.6,27.5,12276
Mount Riverview,1403.0,63.0,202.0,100.0,623.0,58.7,2.6,8.4,4.2,26.1,12788
Yarramundi,358.0,19.0,53.0,22.0,211.0,54.0,2.9,8.0,3.3,31.8,14477
Katoomba,2233.0,304.0,1011.0,345.0,2832.0,33.2,4.5,15.0,5.1,42.1,12077
Leura,1646.0,122.0,497.0,318.0,1499.0,40.3,3.0,12.2,7.8,36.7,12309
Medlow Bath,228.0,19.0,74.0,12.0,201.0,42.7,3.6,13.9,2.2,37.6,12553
Linden (NSW),206.0,11.0,46.0,14.0,143.0,49.0,2.6,11.0,3.3,34.0,12335
Woodford (NSW),835.0,57.0,171.0,53.0,486.0,52.1,3.6,10.7,3.3,30.3,14383
Hazelbrook,1912.0,138.0,401.0,177.0,1263.0,49.1,3.5,10.3,4.5,32.5,11881
Lawson (NSW),907.0,92.0,273.0,99.0,759.0,42.6,4.3,12.8,4.6,35.6,12289
Bullaburra,453.0,21.0,120.0,26.0,369.0,45.8,2.1,12.1,2.6,37.3,10656
Faulconbridge,1674.0,85.0,293.0,134.0,1001.0,52.5,2.7,9.2,4.2,31.4,11496
Winmalee,2762.0,136.0,400.0,199.0,1391.0,56.5,2.8,8.2,4.1,28.5,14334
Hawkesbury Heights,193.0,6.0,45.0,11.0,103.0,53.9,1.7,12.6,3.1,28.8,11872
Yellow Rock (Blue Mountains - NSW),512.0,17.0,40.0,20.0,241.0,61.7,2.0,4.8,2.4,29.0,14502
Springwood (NSW),3502.0,198.0,698.0,678.0,1972.0,49.7,2.8,9.9,9.6,28.0,13629
Valley Heights,554.0,17.0,79.0,43.0,266.0,57.8,1.8,8.2,4.5,27.7,14069
Sun Valley (NSW),114.0,7.0,13.0,7.0,53.0,58.8,3.6,6.7,3.6,27.3,13691
Wentworth Falls,2527.0,143.0,591.0,353.0,1458.0,49.8,2.8,11.7,7.0,28.7,14226
Werrington Downs,1333.0,96.0,201.0,81.0,841.0,52.2,3.8,7.9,3.2,33.0,14237
Cambridge Park,2235.0,228.0,528.0,250.0,2073.0,42.1,4.3,9.9,4.7,39.0,10768
Werrington County,1453.0,75.0,269.0,120.0,1003.0,49.8,2.6,9.2,4.1,34.3,14236
Cambridge Gardens,792.0,52.0,136.0,59.0,537.0,50.3,3.3,8.6,3.7,34.1,10767
Cranebrook,5825.0,422.0,940.0,362.0,4561.0,48.1,3.5,7.8,3.0,37.7,11105
Llandilo,709.0,35.0,54.0,39.0,442.0,55.4,2.7,4.2,3.0,34.6,12363
Castlereagh,520.0,15.0,78.0,44.0,282.0,55.4,1.6,8.3,4.7,30.0,10850
Penrith,3801.0,543.0,1417.0,898.0,4459.0,34.2,4.9,12.7,8.1,40.1,13184
Jordan Springs,2110.0,108.0,207.0,65.0,1298.0,55.7,2.9,5.5,1.7,34.3,12042
Emu Plains,3524.0,246.0,575.0,452.0,2019.0,51.7,3.6,8.4,6.6,29.6,11418
Leonay,1226.0,44.0,124.0,76.0,514.0,61.8,2.2,6.2,3.8,25.9,12304
Emu Heights (NSW),1355.0,101.0,164.0,92.0,888.0,52.1,3.9,6.3,3.5,34.2,11417
Glenmore Park,9586.0,548.0,1169.0,400.0,5664.0,55.2,3.2,6.7,2.3,32.6,11670
Regentville,336.0,27.0,54.0,30.0,217.0,50.6,4.1,8.1,4.5,32.7,13346
Jamisontown,1821.0,225.0,478.0,277.0,1615.0,41.2,5.1,10.8,6.3,36.6,12000
South Penrith,4658.0,326.0,810.0,503.0,3017.0,50.0,3.5,8.7,5.4,32.4,13596
Kingswood (Penrith - NSW),2860.0,342.0,874.0,372.0,2920.0,38.8,4.6,11.9,5.0,39.6,12163
Caddens,550.0,16.0,50.0,115.0,420.0,47.8,1.4,4.3,10.0,36.5,10743
Werrington,1240.0,174.0,328.0,123.0,1322.0,38.9,5.5,10.3,3.9,41.5,14235
Claremont Meadows,1908.0,104.0,233.0,79.0,1252.0,53.4,2.9,6.5,2.2,35.0,10918
Wallacia,690.0,50.0,125.0,62.0,370.0,53.2,3.9,9.6,4.8,28.5,14101
Mulgoa,890.0,32.0,103.0,34.0,457.0,58.7,2.1,6.8,2.2,30.1,12814
Luddenham,809.0,30.0,73.0,50.0,435.0,57.9,2.1,5.2,3.6,31.1,12419
Badgerys Creek,72.0,15.0,23.0,9.0,51.0,42.4,8.8,13.5,5.3,30.0,10132
Orchard Hills,876.0,37.0,73.0,67.0,538.0,55.1,2.3,4.6,4.2,33.8,13095
Warragamba,373.0,48.0,134.0,59.0,372.0,37.8,4.9,13.6,6.0,37.7,14158
Richmond (NSW),1584.0,198.0,610.0,490.0,1868.0,33.3,4.2,12.8,10.3,39.3,13360
North Richmond,1869.0,145.0,439.0,262.0,1315.0,46.4,3.6,10.9,6.5,32.6,13002
Agnes Banks,378.0,21.0,41.0,32.0,229.0,53.9,3.0,5.8,4.6,32.7,10021
Hobartville (NSW),973.0,77.0,247.0,108.0,769.0,44.8,3.5,11.4,5.0,35.4,11917
South Windsor,1690.0,242.0,553.0,223.0,1974.0,36.1,5.2,11.8,4.8,42.2,13601
Windsor (NSW),599.0,62.0,202.0,129.0,598.0,37.7,3.9,12.7,8.1,37.6,14325
Bligh Park,2197.0,205.0,448.0,154.0,1830.0,45.4,4.2,9.3,3.2,37.9,10411
Windsor Downs,640.0,10.0,35.0,27.0,307.0,62.8,1.0,3.4,2.6,30.1,14326
Londonderry (NSW),1578.0,94.0,246.0,126.0,1092.0,50.3,3.0,7.8,4.0,34.8,12375
Berkshire Park,770.0,61.0,93.0,30.0,946.0,40.5,3.2,4.9,1.6,49.8,10305
Erskine Park,2640.0,148.0,311.0,136.0,1953.0,50.9,2.9,6.0,2.6,37.6,11438
St Clair (Penrith - NSW),8093.0,519.0,1157.0,513.0,5459.0,51.4,3.3,7.4,3.3,34.7,13632
Colyton,2917.0,264.0,589.0,321.0,2596.0,43.6,3.9,8.8,4.8,38.8,10987
Oxley Park,979.0,111.0,267.0,118.0,979.0,39.9,4.5,10.9,4.8,39.9,13110
St Marys (NSW),3557.0,506.0,1081.0,553.0,4022.0,36.6,5.2,11.1,5.7,41.4,13643
North St Marys,1028.0,168.0,342.0,225.0,1314.0,33.4,5.5,11.1,7.3,42.7,13007
Silverwater (Parramatta - NSW),1508.0,131.0,167.0,29.0,1833.0,41.1,3.6,4.6,0.8,50.0,13547
Newington (NSW),2770.0,106.0,259.0,98.0,1148.0,63.2,2.4,5.9,2.2,26.2,12953
Lidcombe,8524.0,368.0,1016.0,585.0,6261.0,50.9,2.2,6.1,3.5,37.4,12316
Wentworth Point,2997.0,188.0,496.0,88.0,2356.0,48.9,3.1,8.1,1.4,38.5,14227
Auburn (NSW),16476.0,872.0,1707.0,1092.0,9980.0,54.7,2.9,5.7,3.6,33.1,10106
Berala,3909.0,189.0,516.0,314.0,2511.0,52.5,2.5,6.9,4.2,33.8,10299
Regents Park (NSW),2008.0,151.0,344.0,199.0,1263.0,50.6,3.8,8.7,5.0,31.9,13345
Carlingford,11840.0,381.0,1068.0,943.0,5578.0,59.8,1.9,5.4,4.8,28.2,10818
Beecroft,4757.0,94.0,342.0,417.0,1961.0,62.8,1.2,4.5,5.5,25.9,10249
Epping (NSW),11181.0,313.0,919.0,760.0,6484.0,56.9,1.6,4.7,3.9,33.0,11428
Rydalmere,2810.0,143.0,455.0,243.0,1702.0,52.5,2.7,8.5,4.5,31.8,13453
Parramatta,11905.0,525.0,1356.0,546.0,7281.0,55.1,2.4,6.3,2.5,33.7,13156
Ermington,4469.0,230.0,655.0,452.0,2747.0,52.3,2.7,7.7,5.3,32.1,11435
Dundas (NSW),2075.0,82.0,294.0,160.0,1228.0,54.1,2.1,7.7,4.2,32.0,11312
Melrose Park (NSW),744.0,22.0,76.0,47.0,332.0,60.9,1.8,6.2,3.8,27.2,12563
Telopea,2232.0,155.0,422.0,208.0,1446.0,50.0,3.5,9.5,4.7,32.4,13782
Oatlands (NSW),2540.0,94.0,299.0,227.0,1433.0,55.3,2.0,6.5,4.9,31.2,13063
Dundas Valley,2244.0,128.0,349.0,184.0,1460.0,51.4,2.9,8.0,4.2,33.4,11313
Chester Hill,4699.0,431.0,916.0,648.0,3285.0,47.1,4.3,9.2,6.5,32.9,10899
Sefton,2234.0,157.0,365.0,238.0,1544.0,49.2,3.5,8.0,5.2,34.0,13516
Carramar (NSW),1209.0,164.0,340.0,248.0,942.0,41.6,5.6,11.7,8.5,32.4,10826
Old Guildford,993.0,75.0,129.0,68.0,658.0,51.6,3.9,6.7,3.5,34.2,13077
Fairfield East,1860.0,196.0,391.0,252.0,1459.0,44.7,4.7,9.4,6.1,35.1,11478
Yennora,556.0,69.0,100.0,174.0,441.0,41.5,5.1,7.5,13.0,32.9,14506
Fairfield (NSW),6819.0,662.0,1263.0,888.0,5009.0,46.6,4.5,8.6,6.1,34.2,11477
Merrylands,11717.0,870.0,1625.0,1091.0,8033.0,50.2,3.7,7.0,4.7,34.4,12588
Granville (NSW),6491.0,414.0,928.0,413.0,4206.0,52.1,3.3,7.5,3.3,33.8,11738
Guildford (NSW),8442.0,742.0,1290.0,838.0,5759.0,49.5,4.3,7.6,4.9,33.7,11790
Pemulwuy,2415.0,84.0,174.0,97.0,908.0,65.7,2.3,4.7,2.6,24.7,13181
Greystanes,10211.0,516.0,1187.0,1002.0,5168.0,56.5,2.9,6.6,5.5,28.6,11781
South Granville,2099.0,167.0,310.0,205.0,1324.0,51.1,4.1,7.6,5.0,32.3,13583
Merrylands West,2474.0,237.0,454.0,428.0,1735.0,46.4,4.4,8.5,8.0,32.6,12589
Guildford West,1865.0,159.0,261.0,189.0,1285.0,49.6,4.2,6.9,5.0,34.2,11791
Woodpark,612.0,59.0,66.0,44.0,361.0,53.6,5.2,5.8,3.9,31.6,14390
South Wentworthville,2535.0,161.0,352.0,260.0,1568.0,52.0,3.3,7.2,5.3,32.2,13599
Holroyd,585.0,31.0,58.0,29.0,318.0,57.3,3.0,5.7,2.8,31.1,11925
Smithfield (NSW),4458.0,415.0,794.0,682.0,3250.0,46.4,4.3,8.3,7.1,33.9,13559
North Parramatta,4912.0,345.0,1070.0,533.0,4055.0,45.0,3.2,9.8,4.9,37.2,13001
North Rocks,3929.0,112.0,338.0,322.0,1621.0,62.1,1.8,5.3,5.1,25.6,13003
Northmead,4808.0,264.0,755.0,677.0,2582.0,52.9,2.9,8.3,7.5,28.4,13023
Westmead,8174.0,207.0,702.0,613.0,2986.0,64.5,1.6,5.5,4.8,23.5,14261
Wentworthville,5276.0,243.0,565.0,381.0,2639.0,58.0,2.7,6.2,4.2,29.0,14228
Winston Hills,5498.0,180.0,609.0,610.0,2261.0,60.0,2.0,6.6,6.7,24.7,14335
Rosehill (NSW),1659.0,89.0,214.0,59.0,1135.0,52.6,2.8,6.8,1.9,36.0,13408
Harris Park,2899.0,102.0,236.0,180.0,1361.0,60.7,2.1,4.9,3.8,28.5,11860
Old Toongabbie,1364.0,71.0,164.0,133.0,744.0,55.1,2.9,6.6,5.4,30.0,13081
Constitution Hill,1534.0,111.0,263.0,163.0,1087.0,48.6,3.5,8.3,5.2,34.4,11014
Pendle Hill,3222.0,141.0,401.0,531.0,1584.0,54.8,2.4,6.8,9.0,26.9,13182
Girraween (NSW),2640.0,90.0,216.0,204.0,1050.0,62.9,2.1,5.1,4.9,25.0,11636
Mays Hill,312.0,16.0,36.0,18.0,223.0,51.6,2.6,6.0,3.0,36.9,12538
North Epping,2249.0,60.0,149.0,159.0,1005.0,62.1,1.7,4.1,4.4,27.7,12990
Cheltenham (NSW),1151.0,23.0,65.0,68.0,535.0,62.5,1.2,3.5,3.7,29.0,10896
Pennant Hills,3416.0,117.0,342.0,277.0,1807.0,57.3,2.0,5.7,4.6,30.3,13183
Denistone,1793.0,56.0,152.0,136.0,958.0,57.9,1.8,4.9,4.4,31.0,11238
Eastwood (NSW),8047.0,252.0,839.0,632.0,5383.0,53.1,1.7,5.5,4.2,35.5,11369
Denistone East,1083.0,34.0,91.0,80.0,475.0,61.4,1.9,5.2,4.5,26.9,11239
Denistone West,468.0,6.0,28.0,27.0,189.0,65.2,0.8,3.9,3.8,26.3,11240
Gladesville,4829.0,221.0,786.0,517.0,3297.0,50.0,2.3,8.1,5.4,34.2,11638
Tennyson Point,607.0,19.0,45.0,42.0,284.0,60.9,1.9,4.5,4.2,28.5,13790
Huntleys Point,81.0,0.0,3.0,5.0,35.0,65.3,0.0,2.4,4.0,28.2,11961
Henley,236.0,12.0,15.0,16.0,116.0,59.7,3.0,3.8,4.1,29.4,11891
Huntleys Cove,381.0,17.0,72.0,37.0,146.0,58.3,2.6,11.0,5.7,22.4,11960
Hunters Hill,3926.0,136.0,528.0,582.0,2464.0,51.4,1.8,6.9,7.6,32.3,11954
Macquarie Park,2783.0,108.0,398.0,218.0,3774.0,38.2,1.5,5.5,3.0,51.8,12437
Marsfield,5209.0,230.0,763.0,692.0,4558.0,45.5,2.0,6.7,6.0,39.8,12506
North Ryde,4772.0,154.0,567.0,534.0,2885.0,53.5,1.7,6.4,6.0,32.4,13005
Ryde,11147.0,525.0,1521.0,1164.0,7697.0,50.5,2.4,6.9,5.3,34.9,13454
East Ryde,1191.0,24.0,98.0,108.0,500.0,62.0,1.2,5.1,5.6,26.0,11361
Meadowbank (NSW),1972.0,94.0,237.0,59.0,1514.0,50.9,2.4,6.1,1.5,39.1,12550
West Ryde,5893.0,281.0,727.0,427.0,3847.0,52.7,2.5,6.5,3.8,34.4,14251
Putney,1918.0,58.0,158.0,183.0,982.0,58.1,1.8,4.8,5.5,29.8,13277
Busby,1257.0,184.0,291.0,221.0,1247.0,39.3,5.8,9.1,6.9,39.0,10720
Heckenberg,926.0,118.0,248.0,138.0,918.0,39.4,5.0,10.6,5.9,39.1,11887
Miller,866.0,131.0,332.0,152.0,1057.0,34.1,5.2,13.1,6.0,41.6,12617
Ashcroft,1025.0,143.0,275.0,177.0,1064.0,38.2,5.3,10.2,6.6,39.6,10097
Sadleir,905.0,139.0,228.0,189.0,908.0,38.2,5.9,9.6,8.0,38.3,13461
Austral,1236.0,75.0,169.0,238.0,821.0,48.7,3.0,6.7,9.4,32.3,10109
Rossmore (NSW),991.0,74.0,98.0,79.0,604.0,53.7,4.0,5.3,4.3,32.7,13420
Kemps Creek,976.0,57.0,118.0,117.0,607.0,52.1,3.0,6.3,6.2,32.4,12094
Bringelly,1084.0,61.0,138.0,76.0,686.0,53.0,3.0,6.7,3.7,33.5,10575
Greendale (Liverpool - NSW),141.0,6.0,17.0,10.0,98.0,51.8,2.2,6.2,3.7,36.0,11759
Cecil Park,362.0,12.0,28.0,31.0,196.0,57.6,1.9,4.5,4.9,31.2,10866
Cecil Hills,3064.0,206.0,252.0,159.0,1897.0,54.9,3.7,4.5,2.9,34.0,10865
Catherine Field,755.0,37.0,54.0,43.0,463.0,55.8,2.7,4.0,3.2,34.2,10856
Leppington,1535.0,80.0,189.0,116.0,832.0,55.8,2.9,6.9,4.2,30.2,12305
Cobbitty,1019.0,28.0,85.0,89.0,406.0,62.6,1.7,5.2,5.5,25.0,10954
Oran Park,2067.0,102.0,181.0,76.0,1019.0,60.0,3.0,5.3,2.2,29.6,13091
Green Valley (NSW),4968.0,388.0,695.0,381.0,3444.0,50.3,3.9,7.0,3.9,34.9,11756
Elizabeth Hills,1135.0,53.0,67.0,34.0,500.0,63.4,3.0,3.7,1.9,27.9,11397
Hinchinbrook (NSW),4559.0,323.0,577.0,303.0,3060.0,51.7,3.7,6.5,3.4,34.7,11915
Hoxton Park,1830.0,115.0,190.0,104.0,1043.0,55.8,3.5,5.8,3.2,31.8,11951
Carnes Hill,932.0,37.0,65.0,36.0,384.0,64.1,2.5,4.5,2.5,26.4,10820
Horningsea Park,1548.0,94.0,153.0,57.0,901.0,56.2,3.4,5.6,2.1,32.7,11935
Middleton Grange,2214.0,138.0,215.0,81.0,972.0,61.2,3.8,5.9,2.2,26.9,12607
West Hoxton,4204.0,240.0,425.0,190.0,2449.0,56.0,3.2,5.7,2.5,32.6,14246
Bonnyrigg Heights,3014.0,202.0,372.0,221.0,2079.0,51.2,3.4,6.3,3.8,35.3,10472
Bonnyrigg,3110.0,296.0,670.0,386.0,2528.0,44.5,4.2,9.6,5.5,36.2,10471
Bossley Park,6334.0,438.0,633.0,678.0,3907.0,52.8,3.7,5.3,5.7,32.6,10515
Abbotsbury,1923.0,91.0,164.0,123.0,1197.0,55.0,2.6,4.7,3.5,34.2,10002
Cabramatta,7975.0,726.0,2245.0,1045.0,5893.0,44.6,4.1,12.6,5.8,33.0,10740
Lansvale,949.0,83.0,238.0,90.0,749.0,45.0,3.9,11.3,4.3,35.5,12275
Canley Vale,3789.0,331.0,946.0,463.0,2758.0,45.7,4.0,11.4,5.6,33.3,10792
Mount Pritchard,3519.0,303.0,748.0,422.0,2835.0,45.0,3.9,9.6,5.4,36.2,12785
Cabramatta West,2590.0,208.0,625.0,335.0,2034.0,44.7,3.6,10.8,5.8,35.1,10741
Canley Heights,4004.0,336.0,879.0,450.0,3166.0,45.3,3.8,9.9,5.1,35.8,10791
Edensor Park,4230.0,269.0,482.0,309.0,2707.0,52.9,3.4,6.0,3.9,33.9,11377
Fairfield West,4468.0,362.0,751.0,487.0,3201.0,48.2,3.9,8.1,5.3,34.5,11480
