,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%),SSC_CODE
Kingsford (NSW),4490.0,211.0,614.0,419.0,8003.0,32.7,1.5,4.5,3.1,58.3,12156
Maroubra,11118.0,621.0,1942.0,1388.0,10639.0,43.2,2.4,7.6,5.4,41.4,12501
Randwick,9337.0,577.0,1793.0,1028.0,12690.0,36.7,2.3,7.1,4.0,49.9,13312
Georges Hall,3822.0,230.0,420.0,549.0,2010.0,54.4,3.3,6.0,7.8,28.6,11601
Bass Hill,3445.0,313.0,569.0,429.0,2248.0,49.2,4.5,8.1,6.1,32.1,10224
Yagoona,6955.0,586.0,1185.0,884.0,4425.0,49.6,4.2,8.4,6.3,31.5,14453
Villawood,1960.0,225.0,530.0,271.0,1824.0,40.7,4.7,11.0,5.6,37.9,14074
Greenacre,9317.0,720.0,1304.0,1094.0,6018.0,50.5,3.9,7.1,5.9,32.6,11757
Potts Hill,396.0,26.0,28.0,15.0,238.0,56.3,3.7,4.0,2.1,33.9,13255
Milperra,1790.0,94.0,190.0,154.0,922.0,56.8,3.0,6.0,4.9,29.3,12625
Revesby,5672.0,355.0,972.0,827.0,3735.0,49.1,3.1,8.4,7.2,32.3,13355
Condell Park,4704.0,336.0,598.0,414.0,2801.0,53.1,3.8,6.8,4.7,31.6,11001
Bankstown,12797.0,967.0,2579.0,1120.0,7588.0,51.1,3.9,10.3,4.5,30.3,10180
Mount Lewis,474.0,37.0,62.0,50.0,342.0,49.1,3.8,6.4,5.2,35.4,12774
Punchbowl (Canterbury-Bankstown - NSW),7934.0,553.0,1080.0,737.0,5359.0,50.7,3.5,6.9,4.7,34.2,13273
Padstow,5612.0,339.0,922.0,654.0,3513.0,50.8,3.1,8.4,5.9,31.8,13120
Padstow Heights,1513.0,72.0,226.0,327.0,817.0,51.2,2.4,7.6,11.1,27.6,13121
Panania,5184.0,303.0,755.0,585.0,3065.0,52.4,3.1,7.6,5.9,31.0,13144
East Hills,1268.0,100.0,241.0,166.0,877.0,47.8,3.8,9.1,6.3,33.1,11351
Picnic Point,2843.0,106.0,309.0,249.0,1325.0,58.8,2.2,6.4,5.2,27.4,13199
Revesby Heights,708.0,28.0,73.0,69.0,386.0,56.0,2.2,5.8,5.5,30.5,13356
Birrong,1213.0,76.0,216.0,127.0,861.0,48.7,3.0,8.7,5.1,34.5,10379
Belmore,5068.0,392.0,913.0,600.0,3492.0,48.4,3.7,8.7,5.7,33.4,10279
Belfield,2586.0,186.0,389.0,322.0,1559.0,51.3,3.7,7.7,6.4,30.9,10257
Campsie,10971.0,629.0,1736.0,780.0,6676.0,52.8,3.0,8.3,3.8,32.1,10782
Canterbury (NSW),2927.0,179.0,466.0,215.0,2334.0,47.8,2.9,7.6,3.5,38.1,10797
Clemton Park,705.0,38.0,96.0,140.0,353.0,52.9,2.9,7.2,10.5,26.5,10928
Earlwood,7671.0,396.0,942.0,831.0,4657.0,52.9,2.7,6.5,5.7,32.1,11343
