,Italian,Assyrian (incl. Aramaic,Croatian,Arabic (incl. Lebanese,Spanish,&nbsp;,English only spoken at home,Greek,Cantonese,Tagalog (Filipino,Punjabi,Maltese,Macedonian,Serbian,Mandarin,Sinhalese,Samoan,Tongan,Vietnamese,German,Netherlandic,French,Hindi,Polish,Japanese,Korean,Turkish,Persian,Latvian,Thai,Hungarian,Armenian,Indonesian,Malay,Tamil,Maori (Cook Island,Hebrew,Norwegian,Afrikaans,Portuguese,Khmer,Russian,Fijian,Lao,Gujarati,Ukrainian,Maori (New Zealand,Irish,Urdu,Swedish,Estonian,Finnish,Bengali,Czech,Bosnian,Danish,Gaelic (Scotland,Burmese,Albanian,"Sign Languages, nec","Oceanian Pidgins and Creoles, nec (incl. Bislama,Pitcairnese,Solomon Islands Pidgin",Slovak,Lithuanian,Auslan,Bulgarian,"African Languages (excl. North Africa, nec (incl. Bemba, Fante, Malagasy",Nepali,Italian (%),Assyrian (incl. Aramaic (%),Croatian (%),Arabic (incl. Lebanese (%),Spanish (%),&nbsp; (%),English only spoken at home (%),Greek (%),Cantonese (%),Tagalog (Filipino (%),Punjabi (%),Maltese (%),Macedonian (%),Serbian (%),Mandarin (%),Sinhalese (%),Samoan (%),Tongan (%),Vietnamese (%),German (%),Netherlandic (%),French (%),Hindi (%),Polish (%),Japanese (%),Korean (%),Turkish (%),Persian (%),Latvian (%),Thai (%),Hungarian (%),Armenian (%),Indonesian (%),Malay (%),Tamil (%),Maori (Cook Island (%),Hebrew (%),Norwegian (%),Afrikaans (%),Portuguese (%),Khmer (%),Russian (%),Fijian (%),Lao (%),Gujarati (%),Ukrainian (%),Maori (New Zealand (%),Irish (%),Urdu (%),Swedish (%),Estonian (%),Finnish (%),Bengali (%),Czech (%),Bosnian (%),Danish (%),Gaelic (Scotland (%),Burmese (%),Albanian (%),"Sign Languages, nec (%)","Oceanian Pidgins and Creoles, nec (incl. Bislama,Pitcairnese,Solomon Islands Pidgin (%)",Slovak (%),Lithuanian (%),Auslan (%),Bulgarian (%),"African Languages (excl. North Africa, nec (incl. Bemba, Fante, Malagasy (%)",Nepali (%)
Bateau Bay,38,,,,17,&nbsp;,"10,398",21,,,,19,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,0.2,&nbsp;,93.3,0.2,,,,0.2,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baulkham Hills,424,,,687,,&nbsp;,"25,855",,"1,069",,,,,,389,,,,,,,,,,,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,2.1,,&nbsp;,77.3,,3.2,,,,,,1.2,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayview,9,,,,,&nbsp;,"2,814",,,,,,,,16,,,,,31,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,&nbsp;,89.8,,,,,,,,0.5,,,,,1.0,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Hill,266,,,,,&nbsp;,"4,757",,103,,,,,,46,,,,,,,,,,43,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,&nbsp;,79.4,,1.7,,,,,,0.8,,,,,,,,,,0.7,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaconsfield,10,,,,9,&nbsp;,471,,32,,,,,,,,,,,,,,,,,,,,,,,,37,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,1.3,&nbsp;,68.4,,4.6,,,,,,,,,,,,,,,,,,,,,,,,5.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beecroft,59,,,,,&nbsp;,"7,016",,429,,,,,,101,,,,,,,,,,,88,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,&nbsp;,82.4,,5.0,,,,,,1.2,,,,,,,,,,,1.0,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belfield,500,,,741,,&nbsp;,"2,348",443,236,,,,,,,,,,,,,,,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,13.0,,&nbsp;,41.3,7.8,4.2,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bella Vista,,,,89,,&nbsp;,"3,071",78,294,87,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,&nbsp;,68.9,1.7,6.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellambi,37,,,,54,&nbsp;,"3,631",,,,,,,,,,,,32,,,,,,,,28,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,1.2,&nbsp;,83.3,,,,,,,,,,,,0.7,,,,,,,,0.6,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellevue Hill,99,,,,,&nbsp;,"7,387",134,181,,,,,,,,,,,,,,,,,,,,,,177,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,&nbsp;,77.2,1.4,1.9,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,7,,,,,&nbsp;,"5,698",8,11,,,,9,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,&nbsp;,94.6,0.1,0.2,,,,0.1,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont North,9,,,7,,&nbsp;,"5,081",,28,,,,,,,,7,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.1,,&nbsp;,93.6,,0.5,,,,,,,,0.1,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont South,,,,,,&nbsp;,"1,076",,,,,,,,,,,,,,3,3,,,,3,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,95.0,,,,,,,,,,,,,,0.3,0.3,,,,0.3,,,,,,,0.3,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmore,,,,"1,708",,&nbsp;,"3,197","2,160",528,,,,,,,,,,463,,,,,,,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,,&nbsp;,25.8,17.4,4.3,,,,,,,,,,3.7,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belrose,65,,,,40,&nbsp;,"6,494",61,132,,,,,,,,,,,,,,,,,,,,,,,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.5,&nbsp;,85.6,0.8,1.7,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bensville,,,,,8,&nbsp;,"1,652",,4,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,&nbsp;,94.0,,0.2,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berala,,,305,626,,&nbsp;,"2,301",,"1,315",,,,,,410,,,,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,8.1,,&nbsp;,29.8,,17.0,,,,,,5.3,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,138,,,133,,&nbsp;,"5,564",,,,,,400,,,,,,139,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,1.8,,&nbsp;,74.4,,,,,,5.3,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley Vale,27,,,,14,&nbsp;,"7,859",,,,,,,,,,,,,12,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,0.1,&nbsp;,92.9,,,,,,,,,,,,,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berowra,18,,,,,&nbsp;,"3,847",,22,26,,,,,,,,,,24,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,&nbsp;,89.0,,0.5,0.6,,,,,,,,,,0.6,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berowra Heights,,,,,,&nbsp;,"4,792",,,25,,,,,,,,,,16,20,16,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,93.5,,,0.5,,,,,,,,,,0.3,0.4,0.3,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverley Park,45,,,96,,&nbsp;,"1,226",326,46,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,4.6,,&nbsp;,59.1,15.7,2.2,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly Hills,256,,,394,,&nbsp;,"4,523",714,"1,229",,,,,,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,4.5,,&nbsp;,48.5,8.2,14.1,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bexley,,,,"1,721",,&nbsp;,"7,970","1,650",788,,,,"1,380",,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,&nbsp;,44.6,9.2,4.4,,,,7.7,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bexley North,104,,,253,,&nbsp;,"1,708",731,295,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,6.5,,&nbsp;,43.7,18.7,7.5,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bidwill,,,,100,98,&nbsp;,"3,252",,,,,,,,,,240,54,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.1,&nbsp;,71.2,,,,,,,,,,5.3,1.2,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birchgrove,34,,,,,&nbsp;,"2,581",22,17,,,,,,,,,,,13,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,&nbsp;,90.0,0.8,0.6,,,,,,,,,,,0.5,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birmingham Gardens,7,,,,,&nbsp;,"1,564",,,,,,8,,31,,,,,,,,,9,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,&nbsp;,88.4,,,,,,0.5,,1.8,,,,,,,,,0.5,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birrong,,,,189,,&nbsp;,"1,308",,163,,,,57,,54,,,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,&nbsp;,45.7,,5.7,,,,2.0,,1.9,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackalls Park,,,,,10,&nbsp;,"2,601",,,,,,,,,,,,,8,6,6,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,&nbsp;,94.0,,,,,,,,,,,,,0.3,0.2,0.2,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackbutt,54,,,,91,&nbsp;,"2,155",40,,,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,3.0,&nbsp;,70.7,1.3,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackett,,,,68,54,&nbsp;,"2,613",,,47,,,,,,,123,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.5,&nbsp;,74.8,,,1.3,,,,,,,3.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blacksmiths,,,,,3,&nbsp;,"1,629",,,3,,,3,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,&nbsp;,94.4,,,0.2,,,0.2,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blacktown,762,,,"1,611",,&nbsp;,"22,842",,,"1,204",,579,,,,,,,,,,,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,4.3,,&nbsp;,61.1,,,3.2,,1.5,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackwall,13,,,,7,&nbsp;,"1,532",,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.4,&nbsp;,89.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Blairmount,,,,24,,&nbsp;,452,4,,,,,,,,,,,,9,,,,,,,,7,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,&nbsp;,79.9,0.7,,,,,,,,,,,,1.6,,,,,,,,1.2,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,
Blakehurst,165,,,144,,&nbsp;,"3,406",598,301,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,2.7,,&nbsp;,63.9,11.2,5.6,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaxland,,,,20,,&nbsp;,"6,639",20,,,,,,,,,,,,27,21,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,&nbsp;,94.6,0.3,,,,,,,,,,,,0.4,0.3,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Bay,13,,,,,&nbsp;,755,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,&nbsp;,89.8,,,0.4,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,
Blue Haven,10,,,,15,&nbsp;,"4,336",,,14,,9,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.3,&nbsp;,92.4,,,0.3,,0.2,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton Point,,,,,5,&nbsp;,"2,026",,,,,,,,,,16,,,8,11,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,&nbsp;,88.4,,,,,,,,,,0.7,,,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Bondi,,,,,131,&nbsp;,"5,624",126,,,,,,,,,,,,,,,,,,,,,,,181,,,,,,133,,,,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,&nbsp;,64.3,1.4,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,1.5,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
Bondi Beach,106,,,,148,&nbsp;,"7,053",119,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.4,&nbsp;,65.5,1.1,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
Bondi Junction,,,,,,&nbsp;,"4,846",,157,,,,,,143,,,,,,,,,,115,161,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,63.4,,2.1,,,,,,1.9,,,,,,,,,,1.5,2.1,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnet Bay,,,,8,13,&nbsp;,"2,173",7,10,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.6,&nbsp;,93.4,0.3,0.4,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnyrigg,,,,386,,&nbsp;,"2,306",,531,,,,,,,,,,"2,165",,,,,,,,,,,,,,,,,,,,,,464,,,374,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,&nbsp;,26.1,,6.0,,,,,,,,,,24.5,,,,,,,,,,,,,,,,,,,,,,5.2,,,4.2,,,,,,,,,,,,,,,,,,,,,,,
Bonnyrigg Heights,377,317,,,372,&nbsp;,"1,632",,,,,,,463,,,,,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,4.5,,,5.3,&nbsp;,23.0,,,,,,,6.5,,,,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booker Bay,,,,,4,&nbsp;,"1,188",4,,,,,,5,,,,,,3,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,&nbsp;,89.7,0.3,,,,,,0.4,,,,,,0.2,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boolaroo,3,,,,,&nbsp;,"1,149",,,,,,,,,,,,,3,4,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,&nbsp;,96.7,,,,,,,,,,,,,0.3,0.3,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booragul,8,,,,,&nbsp;,"1,496",,,,,,,,,,11,,,8,7,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,&nbsp;,91.7,,,,,,,,,,0.7,,,0.5,0.4,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bossley Park,"1,220","1,212",,630,"1,192",&nbsp;,"5,419",,,,,,,,,,,,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,8.4,,4.4,8.3,&nbsp;,37.6,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botany,159,,128,,201,&nbsp;,"4,849",226,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,1.7,,2.7,&nbsp;,64.9,3.0,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bow Bowing,,,,30,59,&nbsp;,"1,048",25,,97,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,3.6,&nbsp;,64.3,1.5,,6.0,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradbury,46,,48,177,100,&nbsp;,"7,598",,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,2.0,1.1,&nbsp;,84.0,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadmeadow,24,,,,,&nbsp;,"1,217",9,14,,,,62,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,&nbsp;,83.8,0.6,1.0,,,,4.3,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronte,128,,,,63,&nbsp;,"5,368",127,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,0.9,&nbsp;,79.3,1.9,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Brookvale,309,,,,,&nbsp;,"1,572",,31,,,,,,30,,,55,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,&nbsp;,63.1,,1.2,,,,,,1.2,,,2.2,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budgewoi,,,,,,&nbsp;,"2,707",5,,7,,,,,,,,,,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,92.2,0.2,,0.2,,,,,,,,,,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,
Buff Point,7,,,,,&nbsp;,"3,191",7,,6,,,,,,,,,,,11,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,&nbsp;,93.3,0.2,,0.2,,,,,,,,,,,0.3,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulli,32,,,26,,&nbsp;,"4,893",25,,,,,,,,,,,,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.5,,&nbsp;,91.3,0.5,,,,,,,,,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burwood,522,,,444,,&nbsp;,"3,838",,"1,258",,,,,,"1,075",,,,,,,,,,,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,4.0,,&nbsp;,34.5,,11.3,,,,,,9.7,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burwood Heights,117,,12,24,,&nbsp;,615,57,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,,1.2,2.5,,&nbsp;,64.0,5.9,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Busby,,,,547,129,&nbsp;,"2,287",,,,,,,,,,49,,217,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,3.2,&nbsp;,56.6,,,,,,,,,,1.2,,5.4,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabarita,90,,,,,&nbsp;,820,,75,,,,,,17,,,,,13,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,&nbsp;,70.6,,6.5,,,,,,1.5,,,,,1.1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabramatta,,,,,,&nbsp;,"2,138",,"3,160",,,,,782,"1,038",,,,"6,071",,,,,,,,,,,,,,,,,,,,,,"1,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,11.0,,16.3,,,,,4.0,5.4,,,,31.3,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabramatta West,405,,,,,&nbsp;,"1,539",,499,,,,,278,,,,,"1,966",,,,,,,,,,,,,,,,,,,,,,373,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,&nbsp;,23.6,,7.6,,,,,4.3,,,,,30.1,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Gardens,14,,,24,11,&nbsp;,"1,947",,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,1.1,0.5,&nbsp;,89.3,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Park,33,,,31,30,&nbsp;,"5,420",45,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,0.5,&nbsp;,88.4,0.7,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camden,14,,,5,8,&nbsp;,"2,826",,,,,,,,,,,,,,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.2,0.3,&nbsp;,92.1,,,,,,,,,,,,,,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camden South,11,,,,16,&nbsp;,"4,416",,13,,,,,,,,,,,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.3,&nbsp;,94.9,,0.3,,,,,,,,,,,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cammeray,41,,,,,&nbsp;,"4,732",,116,,,,,,59,,,,,,,38,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,&nbsp;,80.0,,2.0,,,,,,1.0,,,,,,,0.6,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
