,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%),SSC_CODE
Berrara,114.0,21.0,86.0,51.6,9.5,38.9,10313
Cudmirrah,126.0,19.0,73.0,57.8,8.7,33.5,11145
Falls Creek (NSW),366.0,92.0,236.0,52.7,13.3,34.0,11487
Tomerong,429.0,99.0,234.0,56.3,13.0,30.7,13894
Wandandian,135.0,27.0,65.0,59.5,11.9,28.6,14127
Woollamia,234.0,64.0,148.0,52.5,14.3,33.2,14405
Parma,80.0,15.0,42.0,58.4,10.9,30.7,13155
Ulladulla,2400.0,456.0,2088.0,48.5,9.2,42.2,14003
Kings Point,195.0,65.0,163.0,46.1,15.4,38.5,12153
Burrill Lake,515.0,133.0,426.0,48.0,12.4,39.7,10712
Dolphin Point,65.0,18.0,53.0,47.8,13.2,39.0,11269
Milton (NSW),575.0,101.0,396.0,53.6,9.4,36.9,12630
Mollymook Beach,1106.0,175.0,588.0,59.2,9.4,31.5,12670
Narrawallee,495.0,81.0,346.0,53.7,8.8,37.5,12909
Mollymook,451.0,69.0,276.0,56.7,8.7,34.7,12669
Manyana,200.0,50.0,145.0,50.6,12.7,36.7,12482
Conjola,55.0,21.0,27.0,53.4,20.4,26.2,11011
Fishermans Paradise,136.0,54.0,130.0,42.5,16.9,40.6,11523
Lake Tabourie,254.0,42.0,191.0,52.2,8.6,39.2,12254
Conjola Park,113.0,19.0,106.0,47.5,8.0,44.5,11012
Lake Conjola,207.0,31.0,107.0,60.0,9.0,31.0,12244
Yatte Yattah,86.0,8.0,45.0,61.9,5.8,32.4,14497
Little Forest,94.0,3.0,26.0,76.4,2.4,21.1,12351
Croobyar,65.0,15.0,35.0,56.5,13.0,30.4,11121
Morton,85.0,16.0,41.0,59.9,11.3,28.9,12730
Woodstock (Shoalhaven - NSW),106.0,15.0,33.0,68.8,9.7,21.4,14396
Bawley Point,265.0,67.0,182.0,51.6,13.0,35.4,10235
Kioloa,94.0,34.0,81.0,45.0,16.3,38.8,12165
Termeil,105.0,22.0,66.0,54.4,11.4,34.2,13797
Bowral,4343.0,500.0,2810.0,56.7,6.5,36.7,10536
Burradoo,1213.0,113.0,512.0,66.0,6.1,27.9,10701
Woodlands (Wingecarribee - NSW),109.0,23.0,63.0,55.9,11.8,32.3,14388
Balmoral (Wingecarribee - NSW),179.0,67.0,97.0,52.2,19.5,28.3,10167
Hill Top (Wingecarribee - NSW),881.0,251.0,726.0,47.4,13.5,39.1,11905
Colo Vale,592.0,115.0,444.0,51.4,10.0,38.6,10985
Alpine,55.0,9.0,22.0,64.0,10.5,25.6,10044
Aylmerton,69.0,13.0,64.0,47.3,8.9,43.8,10119
Mittagong,1964.0,393.0,1703.0,48.4,9.7,41.9,12653
Willow Vale (Wingecarribee - NSW),270.0,57.0,192.0,52.0,11.0,37.0,14307
Renwick,283.0,43.0,107.0,65.4,9.9,24.7,13350
Balaclava (NSW),175.0,48.0,135.0,48.9,13.4,37.7,10143
Welby,233.0,51.0,251.0,43.6,9.5,46.9,14219
Glenquarry,91.0,9.0,46.0,62.3,6.2,31.5,11674
Braemar,164.0,50.0,92.0,53.6,16.3,30.1,10545
Moss Vale,2909.0,631.0,2501.0,48.2,10.4,41.4,12739
Sutton Forest,209.0,26.0,104.0,61.7,7.7,30.7,13703
Berrima,299.0,42.0,126.0,64.0,9.0,27.0,10320
New Berrima,160.0,70.0,190.0,38.1,16.7,45.2,12938
Robertson (NSW),733.0,128.0,423.0,57.1,10.0,32.9,13374
Kangaloon,51.0,15.0,35.0,50.5,14.9,34.7,12058
Wildes Meadow,129.0,13.0,51.0,66.8,6.7,26.4,14292
Burrawang,160.0,23.0,87.0,59.3,8.5,32.2,10708
Avoca (NSW),86.0,16.0,55.0,54.8,10.2,35.0,10113
Fitzroy Falls,93.0,3.0,44.0,66.4,2.1,31.4,11529
Bundanoon (NSW),1039.0,226.0,739.0,51.8,11.3,36.9,10670
Wingello,205.0,74.0,148.0,48.0,17.3,34.7,14330
Exeter (NSW),443.0,66.0,210.0,61.6,9.2,29.2,11475
High Range,170.0,35.0,76.0,60.5,12.5,27.0,11900
Medway,47.0,16.0,24.0,54.0,18.4,27.6,12555
Joadja,55.0,6.0,24.0,64.7,7.1,28.2,12035
Canyonleigh,150.0,39.0,100.0,51.9,13.5,34.6,10799
Penrose,93.0,22.0,69.0,50.5,12.0,37.5,13185
Baulkham Hills,16481.0,1482.0,9461.0,60.1,5.4,34.5,10233
Bella Vista,3626.0,194.0,2246.0,59.8,3.2,37.0,10263
Glenhaven,3158.0,150.0,1655.0,63.6,3.0,33.3,11667
Castle Hill (NSW),17707.0,1165.0,10739.0,59.8,3.9,36.3,10847
West Pennant Hills,7902.0,423.0,4370.0,62.2,3.3,34.4,14249
Cherrybrook,8838.0,372.0,5279.0,61.0,2.6,36.4,10898
Kellyville,12594.0,948.0,6535.0,62.7,4.7,32.5,12088
Kenthurst,2354.0,173.0,1310.0,61.4,4.5,34.1,12100
Glenorie,1434.0,162.0,940.0,56.5,6.4,37.1,11673
Maroota,225.0,35.0,164.0,53.1,8.3,38.7,12500
Canoelands,67.0,14.0,37.0,56.8,11.9,31.4,10794
Cattai,311.0,52.0,212.0,54.1,9.0,36.9,10859
South Maroota,201.0,35.0,124.0,55.8,9.7,34.4,13592
Dural (Hornsby - NSW),3168.0,241.0,2191.0,56.6,4.3,39.1,11328
Sackville North,103.0,45.0,59.0,49.8,21.7,28.5,13459
Lower Portland,211.0,48.0,141.0,52.7,12.0,35.2,12412
Middle Dural,459.0,32.0,264.0,60.8,4.2,35.0,12603
Annangrove,635.0,45.0,386.0,59.6,4.2,36.2,10062
Galston,1330.0,139.0,850.0,57.4,6.0,36.7,11582
Arcadia (NSW),603.0,73.0,368.0,57.8,7.0,35.2,10072
Fiddletown,105.0,12.0,63.0,58.3,6.7,35.0,11513
Berowra Waters,24.0,0.0,17.0,58.5,0.0,41.5,10311
Berrilee,86.0,13.0,70.0,50.9,7.7,41.4,10319
Bilpin,253.0,64.0,157.0,53.4,13.5,33.1,10358
Colo Heights,98.0,16.0,97.0,46.4,7.6,46.0,10984
Lower Macdonald,94.0,44.0,63.0,46.8,21.9,31.3,12408
Cumberland Reach,74.0,18.0,48.0,52.9,12.9,34.3,11156
St Albans (NSW),46.0,16.0,45.0,43.0,15.0,42.1,13630
Bowen Mountain,605.0,104.0,400.0,54.6,9.4,36.1,10528
Grose Vale,531.0,87.0,319.0,56.7,9.3,34.0,11785
Grose Wold,284.0,24.0,156.0,61.2,5.2,33.6,11786
Kurrajong,1320.0,162.0,772.0,58.6,7.2,34.3,12218
Kurrajong Hills,290.0,37.0,160.0,59.5,7.6,32.9,12220
Kurrajong Heights,533.0,103.0,334.0,54.9,10.6,34.4,12219
Kurmond,353.0,56.0,227.0,55.5,8.8,35.7,12215
The Slopes,132.0,17.0,95.0,54.1,7.0,38.9,13842
East Kurrajong,898.0,144.0,497.0,58.3,9.4,32.3,11356
Wilberforce (NSW),1175.0,182.0,828.0,53.8,8.3,37.9,14288
Freemans Reach,775.0,157.0,528.0,53.1,10.8,36.2,11564
Sackville,105.0,14.0,63.0,57.7,7.7,34.6,13458
Ebenezer (NSW),406.0,60.0,246.0,57.0,8.4,34.6,11371
Glossodia,1079.0,246.0,661.0,54.3,12.4,33.3,11684
Blaxlands Ridge,182.0,52.0,105.0,53.7,15.3,31.0,10409
Tennyson (NSW),163.0,37.0,88.0,56.6,12.8,30.6,13789
Vineyard,396.0,50.0,386.0,47.6,6.0,46.4,14076
McGraths Hill,956.0,189.0,719.0,51.3,10.1,38.6,12542
Maraylya,485.0,68.0,309.0,56.3,7.9,35.8,12484
Oakville,870.0,92.0,579.0,56.5,6.0,37.6,13060
Pitt Town,1361.0,177.0,606.0,63.5,8.3,28.3,13226
Pitt Town Bottoms,31.0,0.0,31.0,50.0,0.0,50.0,13227
Rouse Hill,3224.0,319.0,2007.0,58.1,5.7,36.2,13429
Beaumont Hills,4048.0,277.0,2105.0,63.0,4.3,32.7,10243
Nelson (The Hills Shire - NSW),196.0,25.0,123.0,57.0,7.3,35.8,12922
Box Hill (NSW),350.0,55.0,286.0,50.7,8.0,41.4,10539
Blacktown,17455.0,2111.0,14968.0,50.5,6.1,43.3,10397
Kings Park (NSW),1360.0,221.0,903.0,54.8,8.9,36.4,12150
Acacia Gardens,1689.0,133.0,974.0,60.4,4.8,34.8,10014
Quakers Hill,10858.0,1319.0,7505.0,55.2,6.7,38.1,13286
Marayong,2660.0,379.0,2709.0,46.3,6.6,47.1,12485
Woodcroft (NSW),2982.0,198.0,1911.0,58.6,3.9,37.5,14381
Bungarribee,1279.0,53.0,492.0,70.1,2.9,27.0,10682
Doonside,4356.0,608.0,4959.0,43.9,6.1,50.0,11275
Seven Hills (NSW),7343.0,941.0,6220.0,50.6,6.5,42.9,13518
Lalor Park,2293.0,514.0,2855.0,40.5,9.1,50.4,12261
Kings Langley,4120.0,457.0,2452.0,58.6,6.5,34.9,12149
Toongabbie (NSW),5843.0,469.0,4306.0,55.0,4.4,40.6,13907
Prospect (NSW),1928.0,185.0,1390.0,55.0,5.3,39.7,13266
Glenwood (NSW),7122.0,484.0,4345.0,59.6,4.0,36.4,11682
Parklea,1049.0,103.0,619.0,59.2,5.8,35.0,13153
Stanhope Gardens,3940.0,355.0,2217.0,60.5,5.5,34.0,13649
Kellyville Ridge,4457.0,404.0,2078.0,64.2,5.8,29.9,12089
The Ponds,5364.0,443.0,2020.0,68.5,5.7,25.8,13835
Riverstone,2391.0,510.0,2243.0,46.5,9.9,43.6,13368
Schofields,1925.0,328.0,1222.0,55.4,9.4,35.2,13502
Shanes Park,147.0,16.0,140.0,48.5,5.3,46.2,13524
Marsden Park,352.0,54.0,324.0,48.2,7.4,44.4,12505
Colebee,870.0,94.0,408.0,63.4,6.9,29.7,10965
Bidwill (NSW),714.0,281.0,1691.0,26.6,10.5,63.0,10340
Hebersham,1679.0,310.0,1931.0,42.8,7.9,49.3,11886
Dharruk,825.0,193.0,972.0,41.5,9.7,48.8,11248
Blackett,775.0,187.0,1281.0,34.6,8.3,57.1,10392
Emerton,553.0,129.0,829.0,36.6,8.5,54.9,11413
Glendenning,1978.0,252.0,1391.0,54.6,7.0,38.4,11659
Dean Park,1138.0,185.0,921.0,50.7,8.2,41.0,11224
Plumpton (NSW),3452.0,342.0,2801.0,52.3,5.2,42.5,13230
Oakhurst (NSW),2569.0,328.0,2179.0,50.6,6.5,42.9,13058
Hassall Grove,1554.0,275.0,1373.0,48.5,8.6,42.9,11866
Shalvey,860.0,220.0,1246.0,37.0,9.5,53.6,13523
Willmot,476.0,146.0,959.0,30.1,9.2,60.7,14302
Tregear,743.0,248.0,1528.0,29.5,9.8,60.7,13934
Lethbridge Park,1003.0,333.0,1826.0,31.7,10.5,57.7,12307
Ropes Crossing,2515.0,381.0,1230.0,61.0,9.2,29.8,13397
Mount Druitt,5830.0,611.0,5244.0,49.9,5.2,44.9,12756
Whalan,1328.0,387.0,2325.0,32.9,9.6,57.5,14266
Eastern Creek,254.0,72.0,249.0,44.2,12.5,43.3,11366
Minchinbury,2194.0,294.0,1746.0,51.8,6.9,41.2,12633
Rooty Hill,5348.0,638.0,4558.0,50.7,6.1,43.2,13395
Botany,3678.0,903.0,3127.0,47.7,11.7,40.6,10517
Mascot,4576.0,1518.0,5567.0,39.2,13.0,47.7,12519
Eastlakes,2363.0,296.0,2629.0,44.7,5.6,49.7,11368
Rosebery (NSW),3208.0,1049.0,3663.0,40.5,13.2,46.2,13405
Pagewood,1397.0,164.0,1283.0,49.1,5.8,45.1,13125
Daceyville,233.0,66.0,586.0,26.3,7.5,66.2,11185
Hillsdale,1733.0,389.0,1901.0,43.1,9.7,47.3,11911
Eastgardens,342.0,31.0,302.0,50.7,4.6,44.7,11367
Matraville,3385.0,607.0,3372.0,46.0,8.2,45.8,12524
Marrickville,6769.0,3244.0,9822.0,34.1,16.4,49.5,12504
Petersham,1935.0,1128.0,2827.0,32.9,19.2,48.0,13190
Dulwich Hill,3797.0,1645.0,4942.0,36.6,15.8,47.6,11303
Newtown (NSW),2681.0,2583.0,5918.0,24.0,23.1,52.9,12960
Lewisham (NSW),815.0,404.0,1093.0,35.3,17.5,47.3,12313
Stanmore (NSW),1954.0,1025.0,2861.0,33.5,17.6,49.0,13650
Camperdown (NSW),1580.0,1656.0,4013.0,21.8,22.8,55.4,10781
Enmore (Inner West - NSW),750.0,608.0,1545.0,25.8,20.9,53.2,11425
St Peters (NSW),681.0,577.0,1175.0,28.0,23.7,48.3,13644
Sydenham (NSW),286.0,126.0,495.0,31.5,13.9,54.6,13714
Tempe,1067.0,370.0,1235.0,39.9,13.8,46.2,13785
Darlinghurst,1704.0,2091.0,4366.0,20.9,25.6,53.5,11212
Erskineville,1617.0,1856.0,2779.0,25.9,29.7,44.4,11439
Alexandria,1799.0,1776.0,2952.0,27.6,27.2,45.2,10030
Glebe (NSW),2361.0,1314.0,4906.0,27.5,15.3,57.2,11641
Forest Lodge,1037.0,713.0,1868.0,28.7,19.7,51.6,11546
Annandale (NSW),2558.0,1215.0,2905.0,38.3,18.2,43.5,10061
Darlington (Sydney - NSW),297.0,348.0,1721.0,12.6,14.7,72.7,11214
Potts Point,902.0,1340.0,2997.0,17.2,25.6,57.2,13256
Elizabeth Bay,846.0,1019.0,2197.0,20.8,25.1,54.1,11395
Sydney,3306.0,1657.0,8252.0,25.0,12.5,62.4,13715
Woolloomooloo,627.0,535.0,1795.0,21.2,18.1,60.7,14406
Rushcutters Bay,408.0,427.0,1016.0,22.0,23.1,54.9,13444
Pyrmont,3502.0,1605.0,5095.0,34.3,15.7,49.9,13284
Ultimo,1116.0,742.0,4433.0,17.7,11.8,70.5,14006
Redfern,2139.0,2047.0,6096.0,20.8,19.9,59.3,13339
Eveleigh,110.0,70.0,290.0,23.4,14.9,61.7,11471
Chippendale,953.0,1193.0,4229.0,14.9,18.7,66.3,10907
Surry Hills,2337.0,3128.0,7032.0,18.7,25.0,56.3,13699
Haymarket,1173.0,450.0,3960.0,21.0,8.1,70.9,11877
Dawes Point,132.0,50.0,90.0,48.5,18.4,33.1,11222
Millers Point,547.0,142.0,424.0,49.1,12.8,38.1,12619
Barangaroo,36.0,11.0,37.0,42.9,13.1,44.0,10191
Balmain East,656.0,256.0,501.0,46.4,18.1,35.5,10165
The Rocks (Sydney - NSW),187.0,52.0,182.0,44.4,12.4,43.2,13840
Waterloo (NSW),2410.0,2278.0,6888.0,20.8,19.7,59.5,14183
Zetland,2052.0,1726.0,4419.0,25.0,21.1,53.9,14524
Beaconsfield (NSW),263.0,155.0,359.0,33.8,19.9,46.2,10239
Bronte,2134.0,814.0,1778.0,45.2,17.2,37.6,10594
Tamarama,441.0,244.0,462.0,38.4,21.3,40.3,13741
Bondi,2277.0,1388.0,3800.0,30.5,18.6,50.9,10464
Bondi Beach,2213.0,1951.0,4230.0,26.4,23.2,50.4,10465
North Bondi,2722.0,956.0,2676.0,42.8,15.0,42.1,12984
Waverley (NSW),1033.0,461.0,1214.0,38.1,17.0,44.8,14200
Bondi Junction,2261.0,1101.0,3421.0,33.3,16.2,50.4,10467
Queens Park (NSW),1084.0,250.0,807.0,50.6,11.7,37.7,13294
Centennial Park (NSW),559.0,346.0,913.0,30.7,19.0,50.2,10873
Darling Point,1320.0,438.0,1355.0,42.4,14.1,43.5,11211
Edgecliff,621.0,337.0,896.0,33.5,18.2,48.3,11379
Double Bay,1357.0,503.0,1651.0,38.6,14.3,47.0,11281
Bellevue Hill,3659.0,838.0,3149.0,47.9,11.0,41.2,10271
Rose Bay (NSW),3446.0,859.0,2916.0,47.7,11.9,40.4,13398
Paddington (NSW),3309.0,1632.0,4478.0,35.1,17.3,47.5,13115
Point Piper,562.0,85.0,416.0,52.9,8.0,39.1,13233
Vaucluse,3587.0,510.0,2426.0,55.0,7.8,37.2,14071
Dover Heights,1635.0,164.0,979.0,58.9,5.9,35.2,11284
Watsons Bay,287.0,32.0,196.0,55.7,6.2,38.1,14187
Woollahra,2215.0,762.0,2290.0,42.1,14.5,43.5,14404
Clovelly,1579.0,595.0,1284.0,45.7,17.2,37.1,10938
South Coogee,1798.0,236.0,1936.0,45.3,5.9,48.8,13579
Coogee (NSW),3773.0,2205.0,5125.0,34.0,19.9,46.2,11015
La Perouse,105.0,33.0,172.0,33.9,10.6,55.5,12230
Little Bay,1535.0,375.0,1172.0,49.8,12.2,38.0,12349
Malabar,1272.0,198.0,1275.0,46.3,7.2,46.4,12453
Chifley (NSW),1166.0,185.0,1013.0,49.3,7.8,42.9,10901
Phillip Bay,269.0,38.0,231.0,50.0,7.1,42.9,13193
Kensington (NSW),3082.0,1130.0,5256.0,32.6,11.9,55.5,12099
Kingsford (NSW),3878.0,981.0,7852.0,30.5,7.7,61.8,12156
Maroubra,9826.0,2397.0,11037.0,42.2,10.3,47.5,12501
Randwick,8025.0,3570.0,10168.0,36.9,16.4,46.7,13312
Georges Hall,3486.0,261.0,2556.0,55.3,4.1,40.6,11601
Bass Hill,3120.0,304.0,3039.0,48.3,4.7,47.0,10224
Yagoona,6161.0,550.0,5970.0,48.6,4.3,47.1,14453
Villawood,1541.0,196.0,2244.0,38.7,4.9,56.4,14074
Greenacre,8282.0,590.0,7954.0,49.2,3.5,47.3,11757
Potts Hill,336.0,47.0,249.0,53.2,7.4,39.4,13255
Milperra,1681.0,184.0,1010.0,58.5,6.4,35.1,12625
Revesby,5118.0,618.0,4846.0,48.4,5.8,45.8,13355
Condell Park,4206.0,365.0,3648.0,51.2,4.4,44.4,11001
Bankstown,10731.0,971.0,10688.0,47.9,4.3,47.7,10180
Mount Lewis,438.0,34.0,426.0,48.8,3.8,47.4,12774
Punchbowl (Canterbury-Bankstown - NSW),6997.0,455.0,7050.0,48.2,3.1,48.6,13273
Padstow,5051.0,625.0,4540.0,49.4,6.1,44.4,13120
Padstow Heights,1387.0,161.0,1120.0,52.0,6.0,42.0,13121
Panania,4801.0,540.0,3994.0,51.4,5.8,42.8,13144
East Hills,1155.0,189.0,1129.0,46.7,7.6,45.7,11351
Picnic Point,2609.0,251.0,1616.0,58.3,5.6,36.1,13199
Revesby Heights,648.0,79.0,478.0,53.8,6.6,39.7,13356
Birrong,1077.0,113.0,1150.0,46.0,4.8,49.1,10379
Belmore,4414.0,471.0,4626.0,46.4,5.0,48.6,10279
Belfield,2393.0,242.0,2128.0,50.2,5.1,44.7,10257
Campsie,9073.0,1069.0,8929.0,47.6,5.6,46.8,10782
Canterbury (NSW),2517.0,557.0,2551.0,44.7,9.9,45.4,10797
Clemton Park,617.0,55.0,461.0,54.5,4.9,40.7,10928
Earlwood,6854.0,977.0,5415.0,51.7,7.4,40.9,11343
Kingsgrove,4966.0,487.0,4160.0,51.7,5.1,43.3,12158
Riverwood,4085.0,503.0,4865.0,43.2,5.3,51.5,13371
Roselands,4269.0,390.0,3657.0,51.3,4.7,44.0,13409
Beverly Hills,3925.0,437.0,3592.0,49.3,5.5,45.2,10331
Narwee,2143.0,221.0,1945.0,49.7,5.1,45.1,12912
Lakemba,6137.0,291.0,5185.0,52.8,2.5,44.6,12257
Wiley Park,3695.0,248.0,3096.0,52.5,3.5,44.0,14293
Hurstville,10824.0,1333.0,11813.0,45.2,5.6,49.3,11964
Carlton (NSW),4193.0,543.0,3593.0,50.3,6.5,43.1,10819
Penshurst (NSW),5021.0,530.0,4331.0,50.8,5.4,43.8,13186
Oatley,4483.0,499.0,2938.0,56.6,6.3,37.1,13064
Mortdale,3905.0,640.0,3327.0,49.6,8.1,42.3,12728
Peakhurst,3961.0,436.0,3295.0,51.5,5.7,42.8,13168
Hurstville Grove,1144.0,87.0,885.0,54.1,4.1,41.8,11965
Lugarno,2653.0,205.0,1548.0,60.2,4.7,35.1,12421
Peakhurst Heights,1089.0,80.0,671.0,59.2,4.3,36.5,13169
South Hurstville,1878.0,220.0,1767.0,48.6,5.7,45.7,13587
Blakehurst,2556.0,186.0,1883.0,55.3,4.0,40.7,10403
Kyle Bay,461.0,52.0,281.0,58.1,6.5,35.4,12227
Connells Point,1267.0,76.0,839.0,58.1,3.5,38.5,11013
Carss Park,570.0,33.0,354.0,59.6,3.4,37.0,10837
Arncliffe,3416.0,736.0,3844.0,42.7,9.2,48.1,10086
Wolli Creek,1653.0,1012.0,2639.0,31.2,19.1,49.8,14353
Turrella,811.0,220.0,899.0,42.0,11.4,46.6,13982
Bardwell Valley,882.0,132.0,735.0,50.4,7.5,42.0,10196
Bardwell Park,948.0,121.0,657.0,54.9,7.0,38.1,10195
Bexley,7126.0,871.0,5953.0,51.1,6.2,42.7,10334
Kogarah,5813.0,761.0,5116.0,49.7,6.5,43.8,12181
Bexley North,1630.0,171.0,1294.0,52.7,5.5,41.8,10335
Allawah,2229.0,262.0,2102.0,48.5,5.7,45.8,10038
Beverley Park,985.0,109.0,688.0,55.3,6.1,38.6,10330
Kogarah Bay,867.0,62.0,606.0,56.5,4.0,39.5,12182
Kyeemagh,379.0,25.0,279.0,55.5,3.7,40.8,12226
Brighton-le-Sands,2730.0,512.0,3007.0,43.7,8.2,48.1,10569
Rockdale,5681.0,839.0,5778.0,46.2,6.8,47.0,13379
Monterey,1676.0,248.0,1485.0,49.2,7.3,43.6,12686
Banksia,1294.0,173.0,1116.0,50.1,6.7,43.2,10178
Sandringham (NSW),516.0,74.0,381.0,53.1,7.6,39.2,13478
Dolls Point,531.0,134.0,632.0,40.9,10.3,48.7,11267
Sans Souci,3935.0,567.0,3335.0,50.2,7.2,42.6,13489
Ramsgate,423.0,69.0,354.0,50.0,8.2,41.8,13309
Ramsgate Beach,521.0,86.0,637.0,41.9,6.9,51.2,13310
Concord,5999.0,591.0,4368.0,54.7,5.4,39.9,10999
Breakfast Point,1876.0,354.0,1031.0,57.5,10.9,31.6,10557
Cabarita (NSW),938.0,113.0,479.0,61.3,7.4,31.3,10736
Mortlake (NSW),393.0,102.0,269.0,51.4,13.4,35.2,12729
North Strathfield,1605.0,325.0,1631.0,45.1,9.1,45.8,13009
Concord West,2380.0,245.0,1772.0,54.1,5.6,40.3,11000
Sydney Olympic Park,554.0,165.0,496.0,45.6,13.6,40.8,13716
Liberty Grove,901.0,120.0,605.0,55.4,7.4,37.2,12315
Rhodes,4074.0,1303.0,4399.0,41.7,13.3,45.0,13358
Drummoyne,4071.0,1046.0,3579.0,46.8,12.0,41.2,11293
Russell Lea,1947.0,280.0,1415.0,53.5,7.7,38.9,13447
Rodd Point,594.0,84.0,364.0,57.0,8.1,34.9,13391
Abbotsford (NSW),2080.0,410.0,1623.0,50.6,10.0,39.5,10003
Chiswick,959.0,318.0,875.0,44.6,14.8,40.7,10910
Five Dock,3429.0,668.0,2788.0,49.8,9.7,40.5,11530
Canada Bay,473.0,77.0,380.0,50.9,8.3,40.9,10785
Wareemba,627.0,85.0,445.0,54.2,7.3,38.5,14148
Balmain,3271.0,1137.0,3058.0,43.8,15.2,41.0,10164
Birchgrove,1153.0,396.0,784.0,49.4,17.0,33.6,10374
Woolwich,347.0,53.0,212.0,56.7,8.7,34.6,14412
Leichhardt (NSW),4247.0,1740.0,4288.0,41.3,16.9,41.7,12297
Lilyfield,2395.0,701.0,2168.0,45.5,13.3,41.2,12325
Rozelle,2765.0,1213.0,2289.0,44.1,19.4,36.5,13435
Ashfield (NSW),7377.0,1809.0,9019.0,40.5,9.9,49.5,10098
Summer Hill (Inner West - NSW),2102.0,850.0,2392.0,39.3,15.9,44.8,13687
Hurlstone Park,1644.0,409.0,1579.0,45.3,11.3,43.5,11963
Ashbury,1396.0,141.0,967.0,55.8,5.6,38.6,10093
Burwood (NSW),4659.0,853.0,7539.0,35.7,6.5,57.8,10718
Croydon (NSW),3885.0,548.0,3518.0,48.9,6.9,44.2,11134
Strathfield (NSW),9069.0,851.0,10586.0,44.2,4.2,51.6,13675
Croydon Park (NSW),4210.0,568.0,3662.0,49.9,6.7,43.4,11135
Enfield (NSW),1003.0,161.0,1061.0,45.1,7.2,47.7,11421
Burwood Heights,359.0,34.0,314.0,50.8,4.8,44.4,10719
Haberfield,2489.0,358.0,1977.0,51.6,7.4,41.0,11828
Homebush West,3023.0,390.0,2856.0,48.2,6.2,45.6,11930
Homebush (NSW),2540.0,290.0,2505.0,47.6,5.4,47.0,11929
Strathfield South,1364.0,151.0,1195.0,50.3,5.6,44.1,13676
Chatswood,9195.0,1267.0,8298.0,49.0,6.8,44.2,10892
North Willoughby,1625.0,215.0,1161.0,54.1,7.2,38.7,13016
Willoughby (NSW),2518.0,379.0,1646.0,55.4,8.3,36.2,14303
Artarmon,3526.0,664.0,2889.0,49.8,9.4,40.8,10090
Roseville,4291.0,365.0,2599.0,59.1,5.0,35.8,13412
Lane Cove North,4121.0,1070.0,3386.0,48.0,12.5,39.5,12267
Chatswood West,645.0,99.0,395.0,56.6,8.7,34.7,10893
Lane Cove West,1098.0,160.0,651.0,57.5,8.4,34.1,12268
Lane Cove,3972.0,888.0,3081.0,50.0,11.2,38.8,12266
Riverview (NSW),1405.0,83.0,745.0,62.9,3.7,33.4,13370
Greenwich,2083.0,393.0,1647.0,50.5,9.5,39.9,11770
Northwood (NSW),437.0,47.0,208.0,63.2,6.8,30.1,13024
Longueville,986.0,56.0,512.0,63.4,3.6,32.9,12385
Linley Point,147.0,28.0,96.0,54.2,10.3,35.4,12341
St Leonards (NSW),1768.0,786.0,1795.0,40.7,18.1,41.3,13642
Naremburn,2163.0,505.0,1601.0,50.7,11.8,37.5,12898
Cammeray,2338.0,783.0,2045.0,45.3,15.2,39.6,10778
Castle Cove,1173.0,89.0,639.0,61.7,4.7,33.6,10845
Castlecrag,1322.0,105.0,674.0,62.9,5.0,32.1,10849
Northbridge (NSW),2707.0,264.0,1447.0,61.3,6.0,32.8,13022
Middle Cove,596.0,51.0,331.0,60.9,5.2,33.8,12602
Willoughby East,776.0,74.0,377.0,63.2,6.0,30.7,14304
Hornsby Heights,2779.0,288.0,1579.0,59.8,6.2,34.0,11937
Mount Colah,3070.0,386.0,1873.0,57.6,7.2,35.1,12750
Asquith,1445.0,113.0,911.0,58.5,4.6,36.9,10103
Hornsby,8874.0,1072.0,6796.0,53.0,6.4,40.6,11936
Mount Kuring-Gai,735.0,74.0,448.0,58.5,5.9,35.6,12772
Cowan,263.0,42.0,166.0,55.8,8.9,35.2,11097
Berowra,2105.0,231.0,1132.0,60.7,6.7,32.6,10308
Brooklyn (NSW),255.0,56.0,251.0,45.4,10.0,44.7,10599
Berowra Heights,2309.0,308.0,1224.0,60.1,8.0,31.9,10310
Dangar Island,99.0,32.0,72.0,48.8,15.8,35.5,11199
Normanhurst,2121.0,200.0,1433.0,56.5,5.3,38.2,12976
Thornleigh,3576.0,314.0,2297.0,57.8,5.1,37.1,13850
Westleigh,2142.0,134.0,1094.0,63.6,4.0,32.5,14260
Wahroonga,7335.0,516.0,4341.0,60.2,4.2,35.6,14085
Waitara,2523.0,252.0,1581.0,57.9,5.8,36.3,14086
East Killara,1352.0,61.0,892.0,58.7,2.6,38.7,11355
Killara (NSW),4561.0,345.0,2964.0,58.0,4.4,37.7,12129
Lindfield,4152.0,354.0,2728.0,57.4,4.9,37.7,12339
Gordon (NSW),3298.0,258.0,2171.0,57.6,4.5,37.9,11718
East Lindfield,1598.0,113.0,981.0,59.4,4.2,36.4,11357
Roseville Chase,730.0,46.0,415.0,61.3,3.9,34.8,13413
Pymble,5046.0,338.0,2719.0,62.3,4.2,33.6,13281
West Pymble,2382.0,136.0,1297.0,62.4,3.6,34.0,14250
St Ives (NSW),8128.0,553.0,4240.0,62.9,4.3,32.8,13639
St Ives Chase,1548.0,93.0,702.0,66.1,4.0,30.0,13640
Turramurra,5284.0,410.0,3137.0,59.8,4.6,35.5,13980
