,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%),SSC_CODE
Backmede,68.0,8.0,31.0,63.6,7.5,29.0,10130
Stratheden,94.0,26.0,47.0,56.3,15.6,28.1,13674
Woodview,67.0,0.0,38.0,63.8,0.0,36.2,14397
Bentley (NSW),87.0,21.0,45.0,56.9,13.7,29.4,10298
Spring Grove,179.0,39.0,87.0,58.7,12.8,28.5,13614
Greenridge,52.0,11.0,27.0,57.8,12.2,30.0,11768
McKees Hill,133.0,31.0,86.0,53.2,12.4,34.4,12543
Tatham,91.0,14.0,46.0,60.3,9.3,30.5,13773
West Coraki,48.0,9.0,29.0,55.8,10.5,33.7,14243
Ellangowan (NSW),97.0,22.0,105.0,43.3,9.8,46.9,11400
Leeville,89.0,23.0,62.0,51.1,13.2,35.6,12295
Shannon Brook,51.0,14.0,57.0,41.8,11.5,46.7,13525
Rappville,52.0,21.0,49.0,42.6,17.2,40.2,13318
Goonellabah,4061.0,964.0,4134.0,44.3,10.5,45.1,11711
Chilcotts Grass,93.0,15.0,63.0,54.4,8.8,36.8,10903
Eden Creek,62.0,6.0,49.0,53.0,5.1,41.9,11376
West Wiangaree,43.0,8.0,29.0,53.8,10.0,36.2,14254
Wiangaree,34.0,8.0,39.0,42.0,9.9,48.1,14283
Doubtful Creek,66.0,7.0,34.0,61.7,6.5,31.8,11282
Ettrick (NSW),50.0,11.0,39.0,50.0,11.0,39.0,11448
Kyogle,568.0,151.0,782.0,37.8,10.1,52.1,12229
Cedar Point,87.0,6.0,45.0,63.0,4.3,32.6,10871
Geneva,267.0,50.0,199.0,51.7,9.7,38.6,11599
Upper Horseshoe Creek,31.0,8.0,32.0,43.7,11.3,45.1,14028
Barkers Vale,29.0,31.0,45.0,27.6,29.5,42.9,10201
Wadeville,25.0,35.0,67.0,19.7,27.6,52.8,14082
Lillian Rock,35.0,34.0,70.0,25.2,24.5,50.4,12323
Fawcetts Plain,68.0,8.0,28.0,65.4,7.7,26.9,11498
New Park,53.0,9.0,47.0,48.6,8.3,43.1,12945
Homeleigh,34.0,10.0,26.0,48.6,14.3,37.1,11931
Cawongla,54.0,25.0,65.0,37.5,17.4,45.1,10864
Green Pigeon,55.0,15.0,39.0,50.5,13.8,35.8,11752
Collins Creek,37.0,25.0,21.0,44.6,30.1,25.3,10978
East Lismore,1212.0,358.0,1782.0,36.2,10.7,53.2,11358
Lismore (NSW),680.0,277.0,1447.0,28.3,11.5,60.2,12344
Lismore Heights,595.0,228.0,750.0,37.8,14.5,47.7,12345
South Lismore,355.0,166.0,769.0,27.5,12.9,59.6,13589
Girards Hill,303.0,121.0,546.0,31.2,12.5,56.3,11631
Monaltrie,75.0,17.0,86.0,42.1,9.6,48.3,12674
North Lismore,188.0,48.0,303.0,34.9,8.9,56.2,12994
Loftville,37.0,10.0,126.0,21.4,5.8,72.8,12372
Modanville,243.0,54.0,143.0,55.2,12.3,32.5,12655
Clunes (NSW),298.0,120.0,213.0,47.2,19.0,33.8,10939
Terania Creek,45.0,33.0,60.0,32.6,23.9,43.5,13794
The Channon,114.0,41.0,108.0,43.3,15.6,41.1,13816
Koonorigan,118.0,32.0,85.0,50.2,13.6,36.2,12188
Rosebank,127.0,52.0,112.0,43.6,17.9,38.5,13401
Corndale (NSW),133.0,32.0,82.0,53.8,13.0,33.2,11076
East Coraki,102.0,0.0,66.0,60.7,0.0,39.3,11347
Tregeagle,190.0,29.0,113.0,57.2,8.7,34.0,13933
Wyrallah,183.0,37.0,99.0,57.4,11.6,31.0,14449
South Gundurimba,117.0,35.0,82.0,50.0,15.0,35.0,13585
Caniaba,280.0,26.0,139.0,62.9,5.8,31.2,10790
Blakebrook,60.0,6.0,38.0,57.7,5.8,36.5,10402
Booerie Creek,59.0,11.0,41.0,53.2,9.9,36.9,10475
Goolmangar,56.0,28.0,51.0,41.5,20.7,37.8,11708
Keerrong,32.0,22.0,43.0,33.0,22.7,44.3,12083
Tullera,115.0,28.0,61.0,56.4,13.7,29.9,13956
Bexhill,185.0,53.0,113.0,52.7,15.1,32.2,10333
Richmond Hill (NSW),394.0,46.0,178.0,63.8,7.4,28.8,13361
Boat Harbour (Lismore - NSW),52.0,17.0,40.0,47.7,15.6,36.7,10424
McLeans Ridges,233.0,47.0,94.0,62.3,12.6,25.1,12545
Eltham (NSW),142.0,46.0,69.0,55.3,17.9,26.8,11409
Lindendale,98.0,19.0,60.0,55.4,10.7,33.9,12336
Nimbin,251.0,122.0,625.0,25.2,12.2,62.6,12965
Stony Chute,49.0,13.0,53.0,42.6,11.3,46.1,13667
Blue Knob,41.0,24.0,85.0,27.3,16.0,56.7,10416
Tuntable Creek,30.0,32.0,79.0,21.3,22.7,56.0,13971
Coffee Camp,68.0,20.0,70.0,43.0,12.7,44.3,10958
Tucki Tucki,55.0,20.0,35.0,50.0,18.2,31.8,13946
Larnook,99.0,25.0,113.0,41.8,10.5,47.7,12279
Georgica,74.0,37.0,60.0,43.3,21.6,35.1,11604
Jiggi,136.0,33.0,98.0,50.9,12.4,36.7,12026
Rock Valley,107.0,29.0,64.0,53.5,14.5,32.0,13378
Leycester,63.0,7.0,41.0,56.8,6.3,36.9,12314
Dunoon,220.0,68.0,216.0,43.7,13.5,42.9,11325
Dorroughby,55.0,7.0,37.0,55.6,7.1,37.4,11280
Numulgi,77.0,20.0,54.0,51.0,13.2,35.8,13041
