,Preschool,Primary - Government,Primary - Catholic,Primary - other non Government,Secondary - Government,Secondary - Catholic,Secondary - other non Government,Technical or further education institution,University or tertiary institution,Other,Not stated,Preschool (%),Primary - Government (%),Primary - Catholic (%),Primary - other non Government (%),Secondary - Government (%),Secondary - Catholic (%),Secondary - other non Government (%),Technical or further education institution (%),University or tertiary institution (%),Other (%),Not stated (%),SSC_CODE
Lowanna,4.0,26.0,0.0,0.0,16.0,0.0,3.0,6.0,3.0,0.0,69.0,3.1,20.5,0.0,0.0,12.6,0.0,2.4,4.7,2.4,0.0,54.3,12398
Dorrigo,15.0,44.0,21.0,0.0,65.0,3.0,3.0,21.0,12.0,4.0,89.0,5.4,15.9,7.6,0.0,23.5,1.1,1.1,7.6,4.3,1.4,32.1,11278
Deer Vale,5.0,16.0,4.0,0.0,9.0,0.0,0.0,5.0,3.0,0.0,17.0,8.5,27.1,6.8,0.0,15.3,0.0,0.0,8.5,5.1,0.0,28.8,11232
Fernbrook,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,23.1,0.0,0.0,0.0,23.1,0.0,0.0,0.0,23.1,0.0,30.8,11506
Hernani,0.0,13.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,31.7,9.8,0.0,9.8,0.0,0.0,0.0,0.0,0.0,48.8,11896
Bostobrick,3.0,10.0,10.0,0.0,14.0,0.0,0.0,3.0,4.0,0.0,3.0,6.4,21.3,21.3,0.0,29.8,0.0,0.0,6.4,8.5,0.0,6.4,10516
North Dorrigo,3.0,6.0,3.0,0.0,11.0,3.0,3.0,0.0,0.0,3.0,17.0,6.1,12.2,6.1,0.0,22.4,6.1,6.1,0.0,0.0,6.1,34.7,12989
Sapphire Beach,50.0,97.0,49.0,34.0,48.0,37.0,41.0,26.0,42.0,11.0,132.0,8.8,17.1,8.6,6.0,8.5,6.5,7.2,4.6,7.4,1.9,23.3,13491
Emerald Beach,50.0,149.0,51.0,19.0,93.0,36.0,33.0,42.0,46.0,21.0,103.0,7.8,23.2,7.9,3.0,14.5,5.6,5.1,6.5,7.2,3.3,16.0,11411
Korora,53.0,155.0,36.0,26.0,68.0,45.0,55.0,44.0,70.0,8.0,171.0,7.3,21.2,4.9,3.6,9.3,6.2,7.5,6.0,9.6,1.1,23.4,12197
Moonee Beach,49.0,152.0,32.0,40.0,76.0,26.0,20.0,39.0,44.0,10.0,113.0,8.2,25.3,5.3,6.7,12.6,4.3,3.3,6.5,7.3,1.7,18.8,12703
Toormina,129.0,402.0,101.0,48.0,269.0,50.0,56.0,128.0,114.0,42.0,469.0,7.1,22.2,5.6,2.7,14.9,2.8,3.1,7.1,6.3,2.3,25.9,13912
Boambee East,110.0,310.0,98.0,60.0,211.0,98.0,88.0,132.0,118.0,33.0,295.0,7.1,20.0,6.3,3.9,13.6,6.3,5.7,8.5,7.6,2.1,19.0,10422
Boambee,25.0,83.0,35.0,39.0,45.0,30.0,62.0,33.0,53.0,6.0,108.0,4.8,16.0,6.7,7.5,8.7,5.8,11.9,6.4,10.2,1.2,20.8,10421
Sawtell,70.0,187.0,71.0,35.0,77.0,69.0,55.0,82.0,108.0,15.0,200.0,7.2,19.3,7.3,3.6,7.9,7.1,5.7,8.5,11.1,1.5,20.6,13498
Bonville,53.0,116.0,64.0,58.0,93.0,48.0,65.0,48.0,52.0,14.0,149.0,7.0,15.3,8.4,7.6,12.2,6.3,8.6,6.3,6.8,1.8,19.6,10474
Bundagen,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,10.0,19.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,0.0,15.4,25.6,48.7,10669
Mylestom,3.0,9.0,3.0,0.0,23.0,0.0,3.0,3.0,8.0,0.0,20.0,4.2,12.5,4.2,0.0,31.9,0.0,4.2,4.2,11.1,0.0,27.8,12875
Raleigh,5.0,19.0,6.0,13.0,31.0,3.0,14.0,16.0,15.0,3.0,38.0,3.1,11.7,3.7,8.0,19.0,1.8,8.6,9.8,9.2,1.8,23.3,13307
Urunga,43.0,138.0,28.0,17.0,95.0,28.0,20.0,45.0,64.0,7.0,268.0,5.7,18.3,3.7,2.3,12.6,3.7,2.7,6.0,8.5,0.9,35.6,14061
Repton,19.0,44.0,9.0,9.0,34.0,6.0,15.0,9.0,16.0,5.0,42.0,9.1,21.2,4.3,4.3,16.3,2.9,7.2,4.3,7.7,2.4,20.2,13352
Valla,16.0,56.0,21.0,16.0,47.0,7.0,19.0,15.0,17.0,5.0,87.0,5.2,18.3,6.9,5.2,15.4,2.3,6.2,4.9,5.6,1.6,28.4,14067
Woolgoolga,84.0,251.0,76.0,9.0,246.0,36.0,13.0,104.0,99.0,42.0,531.0,5.6,16.8,5.1,0.6,16.5,2.4,0.9,7.0,6.6,2.8,35.6,14402
Safety Beach (NSW),20.0,55.0,21.0,5.0,33.0,10.0,5.0,14.0,17.0,3.0,35.0,9.2,25.2,9.6,2.3,15.1,4.6,2.3,6.4,7.8,1.4,16.1,13462
Sandy Beach,65.0,186.0,28.0,8.0,126.0,11.0,9.0,55.0,61.0,17.0,160.0,9.0,25.6,3.9,1.1,17.4,1.5,1.2,7.6,8.4,2.3,22.0,13479
Upper Corindi,6.0,3.0,0.0,0.0,8.0,3.0,0.0,3.0,0.0,3.0,14.0,15.0,7.5,0.0,0.0,20.0,7.5,0.0,7.5,0.0,7.5,35.0,14020
Corindi Beach,35.0,122.0,37.0,9.0,97.0,13.0,7.0,34.0,42.0,7.0,98.0,7.0,24.4,7.4,1.8,19.4,2.6,1.4,6.8,8.4,1.4,19.6,11073
Red Rock,7.0,45.0,3.0,0.0,22.0,0.0,0.0,6.0,9.0,3.0,36.0,5.3,34.4,2.3,0.0,16.8,0.0,0.0,4.6,6.9,2.3,27.5,13334
Arrawarra,6.0,10.0,3.0,0.0,9.0,0.0,0.0,3.0,3.0,3.0,74.0,5.4,9.0,2.7,0.0,8.1,0.0,0.0,2.7,2.7,2.7,66.7,10088
Arrawarra Headland,13.0,29.0,4.0,0.0,42.0,0.0,3.0,8.0,5.0,4.0,40.0,8.8,19.6,2.7,0.0,28.4,0.0,2.0,5.4,3.4,2.7,27.0,10089
Mullaway,13.0,43.0,5.0,0.0,26.0,3.0,5.0,8.0,11.0,5.0,57.0,7.4,24.4,2.8,0.0,14.8,1.7,2.8,4.5,6.2,2.8,32.4,12822
Bourke,34.0,125.0,45.0,7.0,66.0,10.0,7.0,26.0,33.0,6.0,359.0,4.7,17.4,6.3,1.0,9.2,1.4,1.0,3.6,4.6,0.8,50.0,10522
Wanaaring,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,51.0,0.0,21.7,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,73.9,14126
North Bourke,11.0,13.0,13.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,60.0,10.3,12.1,12.1,0.0,6.5,0.0,0.0,0.0,2.8,0.0,56.1,12985
Enngonia,7.0,18.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,18.0,14.3,36.7,0.0,0.0,6.1,0.0,0.0,6.1,0.0,0.0,36.7,11426
Brewarrina,26.0,74.0,46.0,0.0,47.0,6.0,0.0,15.0,16.0,6.0,158.0,6.6,18.8,11.7,0.0,11.9,1.5,0.0,3.8,4.1,1.5,40.1,10563
Cobar,71.0,188.0,146.0,6.0,213.0,3.0,6.0,84.0,57.0,22.0,525.0,5.4,14.2,11.1,0.5,16.1,0.2,0.5,6.4,4.3,1.7,39.7,10949
Coonamble,57.0,120.0,86.0,0.0,130.0,5.0,10.0,44.0,26.0,4.0,471.0,6.0,12.6,9.0,0.0,13.6,0.5,1.0,4.6,2.7,0.4,49.4,11044
Gulargambone,14.0,37.0,16.0,0.0,27.0,0.0,0.0,8.0,6.0,0.0,105.0,6.6,17.4,7.5,0.0,12.7,0.0,0.0,3.8,2.8,0.0,49.3,11792
Quambone,0.0,17.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,33.3,0.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0,54.9,13287
Nyngan,44.0,85.0,104.0,0.0,114.0,0.0,3.0,41.0,31.0,4.0,241.0,6.6,12.7,15.6,0.0,17.1,0.0,0.4,6.1,4.6,0.6,36.1,13049
Nevertire,4.0,4.0,6.0,0.0,8.0,3.0,3.0,0.0,3.0,0.0,20.0,7.8,7.8,11.8,0.0,15.7,5.9,5.9,0.0,5.9,0.0,39.2,12936
Warren,42.0,67.0,64.0,3.0,64.0,0.0,3.0,12.0,17.0,0.0,153.0,9.9,15.8,15.1,0.7,15.1,0.0,0.7,2.8,4.0,0.0,36.0,14171
Hermidale,0.0,12.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,23.0,0.0,25.5,6.4,0.0,6.4,0.0,0.0,6.4,6.4,0.0,48.9,11894
Ravenswood (NSW),8.0,19.0,12.0,0.0,21.0,0.0,0.0,15.0,7.0,0.0,89.0,4.7,11.1,7.0,0.0,12.3,0.0,0.0,8.8,4.1,0.0,52.0,13321
Cumborah,0.0,11.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,11.3,3.1,0.0,11.3,0.0,0.0,0.0,0.0,0.0,74.2,11158
Goodooga,11.0,25.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,17.0,15.3,34.7,0.0,0.0,20.8,5.6,0.0,0.0,0.0,0.0,23.6,11702
Carinda,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,15.0,0.0,36.4,0.0,0.0,0.0,0.0,0.0,9.1,9.1,0.0,45.5,10814
Pilliga,6.0,17.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,35.0,9.4,26.6,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,54.7,13205
Come By Chance,7.0,5.0,3.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,11.0,20.0,14.3,8.6,0.0,8.6,0.0,0.0,17.1,0.0,0.0,31.4,10993
Walgett,68.0,92.0,128.0,6.0,56.0,7.0,9.0,27.0,23.0,6.0,333.0,9.0,12.2,17.0,0.8,7.4,0.9,1.2,3.6,3.0,0.8,44.1,14096
Burren Junction,7.0,30.0,0.0,0.0,7.0,0.0,4.0,0.0,3.0,0.0,25.0,9.2,39.5,0.0,0.0,9.2,0.0,5.3,0.0,3.9,0.0,32.9,10710
Lightning Ridge,35.0,136.0,0.0,4.0,95.0,0.0,6.0,49.0,19.0,8.0,333.0,5.1,19.9,0.0,0.6,13.9,0.0,0.9,7.2,2.8,1.2,48.6,12320
Collarenebri,18.0,52.0,13.0,10.0,19.0,0.0,8.0,3.0,5.0,0.0,55.0,9.8,28.4,7.1,5.5,10.4,0.0,4.4,1.6,2.7,0.0,30.1,10969
Rowena,3.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,29.0,5.8,26.9,0.0,0.0,0.0,0.0,5.8,0.0,5.8,0.0,55.8,13431
Broken Hill,311.0,1141.0,97.0,13.0,942.0,3.0,27.0,419.0,259.0,95.0,1634.0,6.3,23.1,2.0,0.3,19.1,0.1,0.5,8.5,5.2,1.9,33.1,10592
White Cliffs,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.8,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,14274
Menindee,11.0,31.0,0.0,0.0,33.0,0.0,3.0,0.0,9.0,0.0,92.0,6.1,17.3,0.0,0.0,18.4,0.0,1.7,0.0,5.0,0.0,51.4,12571
Wilcannia,14.0,40.0,6.0,3.0,21.0,0.0,8.0,12.0,9.0,7.0,100.0,6.4,18.2,2.7,1.4,9.5,0.0,3.6,5.5,4.1,3.2,45.5,14290
Tibooburra,4.0,6.0,0.0,0.0,5.0,0.0,0.0,6.0,3.0,0.0,15.0,10.3,15.4,0.0,0.0,12.8,0.0,0.0,15.4,7.7,0.0,38.5,13860
Pooncarie,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,33.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,6.2,6.2,8.3,68.8,13242
Ivanhoe (NSW),4.0,16.0,0.0,0.0,8.0,0.0,0.0,3.0,3.0,0.0,112.0,2.7,11.0,0.0,0.0,5.5,0.0,0.0,2.1,2.1,0.0,76.7,11991
Baradine,15.0,33.0,24.0,0.0,43.0,0.0,0.0,12.0,10.0,0.0,74.0,7.1,15.6,11.4,0.0,20.4,0.0,0.0,5.7,4.7,0.0,35.1,10190
Coonabarabran,47.0,190.0,73.0,3.0,194.0,0.0,3.0,51.0,53.0,14.0,365.0,4.7,19.1,7.4,0.3,19.5,0.0,0.3,5.1,5.3,1.4,36.8,11043
Binnaway,11.0,21.0,0.0,0.0,46.0,0.0,3.0,10.0,7.0,0.0,74.0,6.4,12.2,0.0,0.0,26.7,0.0,1.7,5.8,4.1,0.0,43.0,10372
Mendooran,7.0,45.0,13.0,0.0,17.0,4.0,0.0,10.0,10.0,0.0,48.0,4.5,29.2,8.4,0.0,11.0,2.6,0.0,6.5,6.5,0.0,31.2,12570
Coolah,19.0,89.0,28.0,0.0,79.0,0.0,11.0,19.0,21.0,8.0,167.0,4.3,20.2,6.3,0.0,17.9,0.0,2.5,4.3,4.8,1.8,37.9,11024
Bugaldie,4.0,4.0,3.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,13.0,10.3,10.3,7.7,0.0,30.8,0.0,0.0,7.7,0.0,0.0,33.3,10646
Ulamambri,0.0,14.0,4.0,0.0,11.0,0.0,0.0,3.0,4.0,3.0,21.0,0.0,23.3,6.7,0.0,18.3,0.0,0.0,5.0,6.7,5.0,35.0,14001
Tambar Springs,0.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,38.0,0.0,21.7,8.3,0.0,0.0,0.0,0.0,0.0,6.7,0.0,63.3,13743
Merrygoen,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,18.0,0.0,27.3,0.0,0.0,9.1,0.0,0.0,0.0,9.1,0.0,54.5,12587
Dubbo,878.0,2039.0,1049.0,471.0,1276.0,796.0,364.0,973.0,842.0,201.0,3024.0,7.4,17.1,8.8,4.0,10.7,6.7,3.1,8.2,7.1,1.7,25.4,11296
Terramungamine,3.0,19.0,12.0,4.0,5.0,11.0,0.0,9.0,10.0,0.0,21.0,3.2,20.2,12.8,4.3,5.3,11.7,0.0,9.6,10.6,0.0,22.3,13801
Brocklehurst,5.0,23.0,5.0,7.0,23.0,12.0,3.0,6.0,4.0,0.0,40.0,3.9,18.0,3.9,5.5,18.0,9.4,2.3,4.7,3.1,0.0,31.2,10583
Wongarbon,15.0,53.0,31.0,3.0,29.0,9.0,7.0,30.0,5.0,7.0,70.0,5.8,20.5,12.0,1.2,11.2,3.5,2.7,11.6,1.9,2.7,27.0,14373
Elong Elong,3.0,0.0,3.0,3.0,5.0,3.0,0.0,0.0,3.0,0.0,8.0,10.7,0.0,10.7,10.7,17.9,10.7,0.0,0.0,10.7,0.0,28.6,11406
Gollan,5.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,34.0,10.2,6.1,8.2,0.0,6.1,0.0,0.0,0.0,0.0,0.0,69.4,11694
Eumungerie,0.0,12.0,3.0,3.0,11.0,0.0,3.0,4.0,10.0,0.0,44.0,0.0,13.3,3.3,3.3,12.2,0.0,3.3,4.4,11.1,0.0,48.9,11456
Minore,0.0,5.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,3.0,10.0,0.0,17.2,0.0,0.0,24.1,0.0,0.0,13.8,0.0,10.3,34.5,12641
Ballimore,3.0,14.0,0.0,0.0,6.0,4.0,3.0,8.0,7.0,0.0,36.0,3.7,17.3,0.0,0.0,7.4,4.9,3.7,9.9,8.6,0.0,44.4,10161
Gilgandra,74.0,131.0,116.0,0.0,165.0,3.0,10.0,43.0,31.0,3.0,328.0,8.2,14.5,12.8,0.0,18.3,0.3,1.1,4.8,3.4,0.3,36.3,11619
Collie (NSW),8.0,4.0,9.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,18.0,15.7,7.8,17.6,0.0,17.6,0.0,0.0,0.0,5.9,0.0,35.3,10975
Armatree,9.0,12.0,15.0,0.0,3.0,0.0,3.0,0.0,5.0,0.0,17.0,14.1,18.8,23.4,0.0,4.7,0.0,4.7,0.0,7.8,0.0,26.6,10084
Curban,0.0,0.0,9.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,17.0,0.0,0.0,24.3,0.0,8.1,0.0,0.0,8.1,13.5,0.0,45.9,11166
Tooraweenah,7.0,9.0,8.0,0.0,10.0,0.0,0.0,3.0,3.0,9.0,15.0,10.9,14.1,12.5,0.0,15.6,0.0,0.0,4.7,4.7,14.1,23.4,13911
Narromine,94.0,235.0,127.0,95.0,189.0,60.0,61.0,77.0,61.0,11.0,484.0,6.3,15.7,8.5,6.4,12.7,4.0,4.1,5.2,4.1,0.7,32.4,12911
Burroway,3.0,3.0,0.0,5.0,0.0,3.0,4.0,4.0,0.0,0.0,16.0,7.9,7.9,0.0,13.2,0.0,7.9,10.5,10.5,0.0,0.0,42.1,10715
Trangie,18.0,66.0,26.0,0.0,47.0,12.0,11.0,19.0,20.0,4.0,147.0,4.9,17.8,7.0,0.0,12.7,3.2,3.0,5.1,5.4,1.1,39.7,13932
Tomingley,10.0,13.0,3.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,45.0,11.9,15.5,3.6,0.0,9.5,6.0,0.0,0.0,0.0,0.0,53.6,13896
Wellington (NSW),71.0,240.0,33.0,19.0,203.0,15.0,24.0,89.0,50.0,7.0,521.0,5.6,18.9,2.6,1.5,16.0,1.2,1.9,7.0,3.9,0.6,41.0,14221
Mumbil,3.0,20.0,0.0,3.0,15.0,4.0,0.0,8.0,5.0,0.0,41.0,3.0,20.2,0.0,3.0,15.2,4.0,0.0,8.1,5.1,0.0,41.4,12832
Stuart Town,3.0,7.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,30.0,5.7,13.2,5.7,0.0,18.9,0.0,0.0,0.0,0.0,0.0,56.6,13680
Euchareena,8.0,9.0,13.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,33.0,10.3,11.5,16.7,0.0,3.8,3.8,0.0,3.8,7.7,0.0,42.3,11452
Neurea,3.0,7.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,17.0,7.7,17.9,7.7,0.0,23.1,0.0,0.0,0.0,0.0,0.0,43.6,12933
Mount Arthur,3.0,8.0,0.0,0.0,5.0,4.0,7.0,3.0,3.0,0.0,13.0,6.5,17.4,0.0,0.0,10.9,8.7,15.2,6.5,6.5,0.0,28.3,12747
Maryvale (NSW),0.0,13.0,3.0,0.0,8.0,7.0,3.0,3.0,0.0,0.0,23.0,0.0,21.7,5.0,0.0,13.3,11.7,5.0,5.0,0.0,0.0,38.3,12517
Geurie,9.0,59.0,14.0,5.0,23.0,19.0,12.0,5.0,6.0,7.0,71.0,3.9,25.7,6.1,2.2,10.0,8.3,5.2,2.2,2.6,3.0,30.9,11608
Montefiores,13.0,33.0,13.0,4.0,24.0,11.0,3.0,7.0,15.0,3.0,80.0,6.3,16.0,6.3,1.9,11.7,5.3,1.5,3.4,7.3,1.5,38.8,12685
Greta (NSW),62.0,213.0,87.0,32.0,121.0,56.0,10.0,55.0,44.0,13.0,152.0,7.3,25.2,10.3,3.8,14.3,6.6,1.2,6.5,5.2,1.5,18.0,11778
Lower Belford,5.0,18.0,8.0,3.0,11.0,7.0,19.0,3.0,10.0,0.0,25.0,4.6,16.5,7.3,2.8,10.1,6.4,17.4,2.8,9.2,0.0,22.9,12401
Belford,3.0,12.0,4.0,0.0,0.0,3.0,3.0,8.0,4.0,0.0,18.0,5.5,21.8,7.3,0.0,0.0,5.5,5.5,14.5,7.3,0.0,32.7,10258
Branxton,45.0,109.0,68.0,36.0,46.0,74.0,44.0,33.0,42.0,5.0,114.0,7.3,17.7,11.0,5.8,7.5,12.0,7.1,5.4,6.8,0.8,18.5,10549
Pokolbin,18.0,18.0,5.0,36.0,7.0,4.0,39.0,12.0,28.0,3.0,142.0,5.8,5.8,1.6,11.5,2.2,1.3,12.5,3.8,9.0,1.0,45.5,13236
Keinbah,4.0,5.0,4.0,0.0,0.0,3.0,0.0,3.0,5.0,3.0,0.0,14.8,18.5,14.8,0.0,0.0,11.1,0.0,11.1,18.5,11.1,0.0,12084
Lovedale,6.0,22.0,0.0,16.0,6.0,8.0,11.0,8.0,13.0,4.0,30.0,4.8,17.7,0.0,12.9,4.8,6.5,8.9,6.5,10.5,3.2,24.2,12396
East Branxton,52.0,141.0,56.0,16.0,64.0,37.0,14.0,41.0,38.0,9.0,136.0,8.6,23.3,9.3,2.6,10.6,6.1,2.3,6.8,6.3,1.5,22.5,11346
North Rothbury,32.0,66.0,23.0,12.0,37.0,18.0,8.0,17.0,16.0,0.0,70.0,10.7,22.1,7.7,4.0,12.4,6.0,2.7,5.7,5.4,0.0,23.4,13004
Leconfield,3.0,4.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,8.0,11.1,14.8,11.1,0.0,0.0,11.1,11.1,0.0,11.1,0.0,29.6,12291
Cessnock,270.0,950.0,183.0,103.0,611.0,89.0,97.0,255.0,225.0,88.0,1882.0,5.7,20.0,3.9,2.2,12.9,1.9,2.0,5.4,4.7,1.9,39.6,10878
Nulkaba,16.0,41.0,7.0,26.0,12.0,9.0,32.0,9.0,21.0,3.0,46.0,7.2,18.5,3.2,11.7,5.4,4.1,14.4,4.1,9.5,1.4,20.7,13031
Aberdare,54.0,138.0,28.0,23.0,121.0,26.0,25.0,50.0,46.0,15.0,186.0,7.6,19.4,3.9,3.2,17.0,3.7,3.5,7.0,6.5,2.1,26.1,10006
Kearsley,17.0,84.0,5.0,9.0,56.0,13.0,11.0,21.0,13.0,9.0,56.0,5.8,28.6,1.7,3.1,19.0,4.4,3.7,7.1,4.4,3.1,19.0,12080
Bellbird,50.0,144.0,32.0,7.0,91.0,10.0,8.0,35.0,33.0,6.0,149.0,8.8,25.5,5.7,1.2,16.1,1.8,1.4,6.2,5.8,1.1,26.4,10268
Bellbird Heights,13.0,58.0,22.0,12.0,15.0,7.0,4.0,13.0,23.0,3.0,48.0,6.0,26.6,10.1,5.5,6.9,3.2,1.8,6.0,10.6,1.4,22.0,10269
Ellalong,17.0,81.0,14.0,11.0,60.0,7.0,21.0,23.0,25.0,9.0,107.0,4.5,21.6,3.7,2.9,16.0,1.9,5.6,6.1,6.7,2.4,28.5,11398
Kitchener,8.0,36.0,3.0,7.0,27.0,0.0,12.0,11.0,4.0,0.0,36.0,5.6,25.0,2.1,4.9,18.8,0.0,8.3,7.6,2.8,0.0,25.0,12174
Abernethy,6.0,28.0,3.0,0.0,19.0,0.0,5.0,4.0,4.0,7.0,76.0,3.9,18.4,2.0,0.0,12.5,0.0,3.3,2.6,2.6,4.6,50.0,10011
Mulbring,5.0,37.0,7.0,16.0,32.0,5.0,15.0,8.0,12.0,3.0,44.0,2.7,20.1,3.8,8.7,17.4,2.7,8.2,4.3,6.5,1.6,23.9,12813
Buchanan (NSW),0.0,19.0,0.0,3.0,10.0,0.0,6.0,7.0,10.0,0.0,23.0,0.0,24.4,0.0,3.8,12.8,0.0,7.7,9.0,12.8,0.0,29.5,10628
Millfield,22.0,57.0,9.0,15.0,44.0,9.0,9.0,17.0,16.0,4.0,156.0,6.1,15.9,2.5,4.2,12.3,2.5,2.5,4.7,4.5,1.1,43.6,12620
Paxton,30.0,65.0,18.0,13.0,37.0,7.0,8.0,17.0,16.0,3.0,82.0,10.1,22.0,6.1,4.4,12.5,2.4,2.7,5.7,5.4,1.0,27.7,13162
Black Hill (NSW),7.0,28.0,4.0,25.0,17.0,3.0,18.0,3.0,16.0,3.0,52.0,4.0,15.9,2.3,14.2,9.7,1.7,10.2,1.7,9.1,1.7,29.5,10385
Mount Vincent,7.0,16.0,0.0,4.0,7.0,3.0,8.0,6.0,12.0,3.0,42.0,6.5,14.8,0.0,3.7,6.5,2.8,7.4,5.6,11.1,2.8,38.9,12799
Brunkerville,0.0,0.0,0.0,5.0,3.0,0.0,12.0,0.0,12.0,0.0,8.0,0.0,0.0,0.0,12.5,7.5,0.0,30.0,0.0,30.0,0.0,20.0,10620
Quorrobolong,7.0,17.0,6.0,22.0,11.0,10.0,9.0,9.0,15.0,0.0,58.0,4.3,10.4,3.7,13.4,6.7,6.1,5.5,5.5,9.1,0.0,35.4,13302
Congewai,0.0,12.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,3.0,15.0,0.0,30.0,0.0,0.0,17.5,0.0,0.0,7.5,0.0,7.5,37.5,11007
Mount View,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,5.7,0.0,7.5,0.0,0.0,0.0,86.8,12798
Paynes Crossing,3.0,5.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,50.0,4.7,7.8,0.0,4.7,0.0,0.0,4.7,0.0,0.0,0.0,78.1,13163
Laguna,4.0,12.0,0.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,36.0,6.1,18.2,0.0,4.5,4.5,0.0,7.6,4.5,0.0,0.0,54.5,12237
Wollombi,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,27.0,0.0,19.6,0.0,6.5,0.0,0.0,0.0,0.0,8.7,6.5,58.7,14355
Watagan,3.0,8.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,7.0,12.5,33.3,0.0,0.0,12.5,0.0,12.5,0.0,0.0,0.0,29.2,14180
Murrays Run,0.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,11.0,0.0,32.1,0.0,0.0,14.3,0.0,0.0,0.0,14.3,0.0,39.3,12855
Bucketty,0.0,11.0,0.0,3.0,13.0,0.0,3.0,5.0,9.0,0.0,31.0,0.0,14.7,0.0,4.0,17.3,0.0,4.0,6.7,12.0,0.0,41.3,10634
Clarence Town,46.0,136.0,17.0,4.0,106.0,9.0,14.0,37.0,46.0,6.0,146.0,8.1,24.0,3.0,0.7,18.7,1.6,2.5,6.5,8.1,1.1,25.7,10920
Dungog,28.0,122.0,21.0,0.0,125.0,3.0,0.0,30.0,34.0,7.0,193.0,5.0,21.7,3.7,0.0,22.2,0.5,0.0,5.3,6.0,1.2,34.3,11320
Bendolba,3.0,15.0,4.0,0.0,11.0,3.0,0.0,0.0,7.0,0.0,28.0,4.2,21.1,5.6,0.0,15.5,4.2,0.0,0.0,9.9,0.0,39.4,10291
Paterson (NSW),23.0,67.0,9.0,14.0,33.0,20.0,16.0,14.0,23.0,3.0,61.0,8.1,23.7,3.2,4.9,11.7,7.1,5.7,4.9,8.1,1.1,21.6,13159
Martins Creek,9.0,26.0,0.0,0.0,18.0,3.0,6.0,7.0,9.0,0.0,46.0,7.3,21.0,0.0,0.0,14.5,2.4,4.8,5.6,7.3,0.0,37.1,12511
Torryburn (Dungog - NSW),0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,56.2,13920
Vacy,20.0,63.0,5.0,5.0,39.0,3.0,5.0,11.0,11.0,7.0,19.0,10.6,33.5,2.7,2.7,20.7,1.6,2.7,5.9,5.9,3.7,10.1,14063
East Gresford,8.0,28.0,3.0,0.0,20.0,0.0,0.0,3.0,9.0,3.0,6.0,10.0,35.0,3.8,0.0,25.0,0.0,0.0,3.8,11.2,3.8,7.5,11350
