,Preschool,Primary - Government,Primary - Catholic,Primary - other non Government,Secondary - Government,Secondary - Catholic,Secondary - other non Government,Technical or further education institution,University or tertiary institution,Other,Not stated,Preschool (%),Primary - Government (%),Primary - Catholic (%),Primary - other non Government (%),Secondary - Government (%),Secondary - Catholic (%),Secondary - other non Government (%),Technical or further education institution (%),University or tertiary institution (%),Other (%),Not stated (%),SSC_CODE
Tantawangalo,3.0,10.0,0.0,3.0,9.0,3.0,0.0,3.0,0.0,3.0,24.0,5.2,17.2,0.0,5.2,15.5,5.2,0.0,5.2,0.0,5.2,41.4,13753
Bemboka,6.0,35.0,0.0,8.0,24.0,4.0,7.0,7.0,4.0,0.0,55.0,4.0,23.3,0.0,5.3,16.0,2.7,4.7,4.7,2.7,0.0,36.7,10284
Quaama,7.0,12.0,0.0,0.0,22.0,0.0,0.0,12.0,3.0,0.0,25.0,8.6,14.8,0.0,0.0,27.2,0.0,0.0,14.8,3.7,0.0,30.9,13285
Cobargo,7.0,44.0,0.0,15.0,37.0,0.0,10.0,21.0,4.0,3.0,73.0,3.3,20.6,0.0,7.0,17.3,0.0,4.7,9.8,1.9,1.4,34.1,10951
Yowrie,0.0,10.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,8.0,0.0,37.0,0.0,0.0,0.0,0.0,11.1,11.1,11.1,0.0,29.6,14520
Wandella (NSW),0.0,5.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,23.8,0.0,14.3,28.6,0.0,0.0,0.0,0.0,0.0,33.3,14128
Angledale,0.0,3.0,0.0,3.0,4.0,0.0,3.0,4.0,0.0,0.0,17.0,0.0,8.8,0.0,8.8,11.8,0.0,8.8,11.8,0.0,0.0,50.0,10056
Verona,6.0,23.0,0.0,6.0,8.0,0.0,3.0,5.0,3.0,4.0,21.0,7.6,29.1,0.0,7.6,10.1,0.0,3.8,6.3,3.8,5.1,26.6,14073
Tanja,0.0,6.0,0.0,5.0,3.0,6.0,0.0,0.0,3.0,0.0,16.0,0.0,15.4,0.0,12.8,7.7,15.4,0.0,0.0,7.7,0.0,41.0,13749
Coolagolite,0.0,17.0,0.0,4.0,10.0,0.0,3.0,4.0,0.0,0.0,12.0,0.0,34.0,0.0,8.0,20.0,0.0,6.0,8.0,0.0,0.0,24.0,11023
Brogo,4.0,19.0,0.0,8.0,22.0,0.0,5.0,5.0,3.0,0.0,36.0,3.9,18.6,0.0,7.8,21.6,0.0,4.9,4.9,2.9,0.0,35.3,10589
Coopers Gully,0.0,6.0,3.0,3.0,13.0,0.0,0.0,4.0,0.0,0.0,20.0,0.0,12.2,6.1,6.1,26.5,0.0,0.0,8.2,0.0,0.0,40.8,11048
Stony Creek (Bega Valley - NSW),4.0,4.0,3.0,3.0,9.0,0.0,6.0,3.0,0.0,0.0,13.0,8.9,8.9,6.7,6.7,20.0,0.0,13.3,6.7,0.0,0.0,28.9,13668
Numbugga,5.0,0.0,6.0,10.0,7.0,0.0,3.0,0.0,5.0,0.0,9.0,11.1,0.0,13.3,22.2,15.6,0.0,6.7,0.0,11.1,0.0,20.0,13038
Buckajo,8.0,11.0,0.0,5.0,14.0,3.0,0.0,9.0,11.0,0.0,20.0,9.9,13.6,0.0,6.2,17.3,3.7,0.0,11.1,13.6,0.0,24.7,10629
Kameruka,0.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,25.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,37.5,12054
Greigs Flat,6.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,8.0,14.0,46.5,0.0,0.0,7.0,0.0,0.0,0.0,7.0,7.0,18.6,11775
Broulee,16.0,104.0,14.0,24.0,62.0,49.0,25.0,24.0,35.0,5.0,123.0,3.3,21.6,2.9,5.0,12.9,10.2,5.2,5.0,7.3,1.0,25.6,10608
Tomakin,12.0,36.0,15.0,8.0,23.0,12.0,3.0,15.0,15.0,3.0,118.0,4.6,13.8,5.8,3.1,8.8,4.6,1.2,5.8,5.8,1.2,45.4,13890
Mossy Point,9.0,30.0,12.0,13.0,12.0,26.0,8.0,4.0,9.0,3.0,28.0,5.8,19.5,7.8,8.4,7.8,16.9,5.2,2.6,5.8,1.9,18.2,12741
Bodalla,8.0,45.0,8.0,0.0,26.0,3.0,7.0,14.0,13.0,3.0,47.0,4.6,25.9,4.6,0.0,14.9,1.7,4.0,8.0,7.5,1.7,27.0,10434
Narooma,38.0,119.0,0.0,6.0,100.0,3.0,8.0,33.0,20.0,10.0,276.0,6.2,19.4,0.0,1.0,16.3,0.5,1.3,5.4,3.3,1.6,45.0,12900
Eden,39.0,201.0,6.0,5.0,154.0,20.0,0.0,59.0,23.0,11.0,315.0,4.7,24.1,0.7,0.6,18.5,2.4,0.0,7.1,2.8,1.3,37.8,11375
South Durras,0.0,12.0,7.0,0.0,16.0,3.0,10.0,12.0,0.0,6.0,46.0,0.0,10.7,6.2,0.0,14.3,2.7,8.9,10.7,0.0,5.4,41.1,13580
Mogo (Eurobodalla - NSW),7.0,26.0,4.0,0.0,20.0,0.0,0.0,0.0,3.0,0.0,37.0,7.2,26.8,4.1,0.0,20.6,0.0,0.0,0.0,3.1,0.0,38.1,12660
Jeremadra,3.0,9.0,3.0,3.0,14.0,5.0,0.0,3.0,3.0,0.0,6.0,6.1,18.4,6.1,6.1,28.6,10.2,0.0,6.1,6.1,0.0,12.2,12012
Mogendoura,0.0,7.0,3.0,0.0,8.0,4.0,3.0,3.0,3.0,0.0,5.0,0.0,19.4,8.3,0.0,22.2,11.1,8.3,8.3,8.3,0.0,13.9,12657
Turlinjah,0.0,9.0,0.0,0.0,8.0,4.0,8.0,3.0,5.0,3.0,9.0,0.0,18.4,0.0,0.0,16.3,8.2,16.3,6.1,10.2,6.1,18.4,13975
Potato Point,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,13253
Kianga (NSW),8.0,35.0,0.0,0.0,23.0,0.0,0.0,8.0,5.0,8.0,90.0,4.5,19.8,0.0,0.0,13.0,0.0,0.0,4.5,2.8,4.5,50.8,12119
Tuross Head,16.0,61.0,33.0,3.0,63.0,21.0,11.0,29.0,29.0,12.0,149.0,3.7,14.3,7.7,0.7,14.8,4.9,2.6,6.8,6.8,2.8,34.9,13979
Pambula Beach,6.0,32.0,14.0,0.0,18.0,33.0,0.0,3.0,7.0,10.0,40.0,3.7,19.6,8.6,0.0,11.0,20.2,0.0,1.8,4.3,6.1,24.5,13141
Merimbula,46.0,131.0,28.0,0.0,82.0,64.0,4.0,49.0,66.0,7.0,368.0,5.4,15.5,3.3,0.0,9.7,7.6,0.5,5.8,7.8,0.8,43.6,12575
Tura Beach,39.0,145.0,46.0,5.0,53.0,85.0,3.0,34.0,43.0,8.0,248.0,5.5,20.5,6.5,0.7,7.5,12.0,0.4,4.8,6.1,1.1,35.0,13973
South Pambula,9.0,39.0,3.0,0.0,26.0,13.0,0.0,8.0,10.0,0.0,35.0,6.3,27.3,2.1,0.0,18.2,9.1,0.0,5.6,7.0,0.0,24.5,13595
Pambula,19.0,76.0,6.0,0.0,39.0,23.0,0.0,10.0,17.0,3.0,72.0,7.2,28.7,2.3,0.0,14.7,8.7,0.0,3.8,6.4,1.1,27.2,13140
Broadwater (Bega Valley - NSW),3.0,12.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,9.0,8.8,35.3,8.8,0.0,8.8,11.8,0.0,0.0,0.0,0.0,26.5,10579
Bald Hills (NSW),4.0,21.0,10.0,0.0,10.0,14.0,0.0,0.0,3.0,0.0,14.0,5.3,27.6,13.2,0.0,13.2,18.4,0.0,0.0,3.9,0.0,18.4,10147
Millingandi,5.0,14.0,4.0,0.0,8.0,8.0,4.0,5.0,0.0,0.0,42.0,5.6,15.6,4.4,0.0,8.9,8.9,4.4,5.6,0.0,0.0,46.7,12622
Mirador,8.0,23.0,3.0,0.0,13.0,8.0,3.0,6.0,4.0,0.0,17.0,9.4,27.1,3.5,0.0,15.3,9.4,3.5,7.1,4.7,0.0,20.0,12644
Berrambool,6.0,15.0,10.0,3.0,22.0,5.0,3.0,14.0,4.0,3.0,36.0,5.0,12.4,8.3,2.5,18.2,4.1,2.5,11.6,3.3,2.5,29.8,10312
Moruya,51.0,179.0,78.0,12.0,134.0,60.0,14.0,67.0,38.0,12.0,380.0,5.0,17.5,7.6,1.2,13.1,5.9,1.4,6.5,3.7,1.2,37.1,12734
Moruya Heads,14.0,44.0,23.0,6.0,44.0,21.0,8.0,16.0,18.0,3.0,74.0,5.2,16.2,8.5,2.2,16.2,7.7,3.0,5.9,6.6,1.1,27.3,12735
Bergalia,4.0,9.0,7.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,17.0,9.3,20.9,16.3,0.0,7.0,0.0,7.0,0.0,0.0,0.0,39.5,10302
Congo,3.0,17.0,5.0,0.0,15.0,0.0,0.0,4.0,4.0,3.0,31.0,3.7,20.7,6.1,0.0,18.3,0.0,0.0,4.9,4.9,3.7,37.8,11008
Bingie,0.0,10.0,0.0,0.0,9.0,5.0,0.0,5.0,5.0,0.0,22.0,0.0,17.9,0.0,0.0,16.1,8.9,0.0,8.9,8.9,0.0,39.3,10367
Bermagui,22.0,94.0,0.0,11.0,60.0,0.0,10.0,27.0,23.0,4.0,118.0,6.0,25.5,0.0,3.0,16.3,0.0,2.7,7.3,6.2,1.1,32.0,10307
Dalmeny,30.0,131.0,0.0,4.0,69.0,0.0,10.0,24.0,26.0,4.0,165.0,6.5,28.3,0.0,0.9,14.9,0.0,2.2,5.2,5.6,0.9,35.6,11191
Wallaga Lake,5.0,27.0,0.0,0.0,12.0,3.0,3.0,3.0,4.0,0.0,56.0,4.4,23.9,0.0,0.0,10.6,2.7,2.7,2.7,3.5,0.0,49.6,14102
Central Tilba,3.0,13.0,0.0,0.0,8.0,0.0,0.0,4.0,3.0,0.0,47.0,3.8,16.7,0.0,0.0,10.3,0.0,0.0,5.1,3.8,0.0,60.3,10877
North Narooma,11.0,31.0,0.0,6.0,14.0,6.0,0.0,8.0,8.0,0.0,42.0,8.7,24.6,0.0,4.8,11.1,4.8,0.0,6.3,6.3,0.0,33.3,12998
Akolele,3.0,11.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,47.0,3.9,14.5,0.0,0.0,15.8,0.0,3.9,0.0,0.0,0.0,61.8,10023
Mystery Bay,0.0,7.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,17.5,0.0,0.0,32.5,0.0,0.0,0.0,0.0,0.0,50.0,12883
Goulburn,409.0,1372.0,353.0,40.0,944.0,276.0,43.0,481.0,495.0,128.0,2281.0,6.0,20.1,5.2,0.6,13.8,4.0,0.6,7.1,7.3,1.9,33.4,11725
Run-o-Waters,9.0,24.0,20.0,0.0,21.0,19.0,0.0,4.0,8.0,3.0,28.0,6.6,17.6,14.7,0.0,15.4,14.0,0.0,2.9,5.9,2.2,20.6,13440
Marulan,28.0,109.0,12.0,3.0,46.0,7.0,5.0,22.0,13.0,0.0,94.0,8.3,32.2,3.5,0.9,13.6,2.1,1.5,6.5,3.8,0.0,27.7,12513
Windellama,6.0,12.0,8.0,0.0,23.0,6.0,0.0,5.0,4.0,0.0,42.0,5.7,11.3,7.5,0.0,21.7,5.7,0.0,4.7,3.8,0.0,39.6,14318
Bigga,0.0,16.0,5.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,44.0,0.0,21.3,6.7,0.0,9.3,0.0,0.0,4.0,0.0,0.0,58.7,10346
Tirrannaville,3.0,10.0,13.0,0.0,6.0,3.0,3.0,9.0,0.0,0.0,23.0,4.3,14.3,18.6,0.0,8.6,4.3,4.3,12.9,0.0,0.0,32.9,13883
Lake Bathurst,6.0,9.0,3.0,0.0,3.0,3.0,0.0,3.0,10.0,18.0,35.0,6.7,10.0,3.3,0.0,3.3,3.3,0.0,3.3,11.1,20.0,38.9,12239
Quialigo,3.0,16.0,4.0,0.0,9.0,6.0,0.0,0.0,0.0,6.0,11.0,5.5,29.1,7.3,0.0,16.4,10.9,0.0,0.0,0.0,10.9,20.0,13297
Laggan,5.0,25.0,12.0,0.0,27.0,3.0,0.0,10.0,4.0,3.0,21.0,4.5,22.7,10.9,0.0,24.5,2.7,0.0,9.1,3.6,2.7,19.1,12235
Grabben Gullen,0.0,4.0,0.0,3.0,16.0,0.0,0.0,5.0,0.0,0.0,52.0,0.0,5.0,0.0,3.8,20.0,0.0,0.0,6.2,0.0,0.0,65.0,11731
Parkesbourne,0.0,9.0,0.0,3.0,7.0,3.0,0.0,9.0,3.0,4.0,11.0,0.0,18.4,0.0,6.1,14.3,6.1,0.0,18.4,6.1,8.2,22.4,13152
Yarra,0.0,11.0,0.0,0.0,7.0,4.0,0.0,9.0,0.0,0.0,13.0,0.0,25.0,0.0,0.0,15.9,9.1,0.0,20.5,0.0,0.0,29.5,14468
Crookwell,39.0,135.0,60.0,0.0,98.0,23.0,3.0,49.0,46.0,7.0,211.0,5.8,20.1,8.9,0.0,14.6,3.4,0.4,7.3,6.9,1.0,31.4,11123
Bungonia,3.0,21.0,6.0,0.0,21.0,6.0,0.0,0.0,7.0,3.0,22.0,3.4,23.6,6.7,0.0,23.6,6.7,0.0,0.0,7.9,3.4,24.7,10685
Collector,14.0,34.0,4.0,9.0,7.0,9.0,0.0,5.0,3.0,0.0,23.0,13.0,31.5,3.7,8.3,6.5,8.3,0.0,4.6,2.8,0.0,21.3,10972
Middle Arm,3.0,18.0,3.0,0.0,15.0,14.0,0.0,9.0,4.0,3.0,16.0,3.5,21.2,3.5,0.0,17.6,16.5,0.0,10.6,4.7,3.5,18.8,12599
Taralga,10.0,29.0,0.0,8.0,26.0,5.0,0.0,6.0,13.0,3.0,47.0,6.8,19.7,0.0,5.4,17.7,3.4,0.0,4.1,8.8,2.0,32.0,13759
Tarlo,0.0,8.0,3.0,0.0,5.0,5.0,0.0,3.0,3.0,0.0,13.0,0.0,20.0,7.5,0.0,12.5,12.5,0.0,7.5,7.5,0.0,32.5,13767
Wayo,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,13.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.2,14204
Kingsdale,0.0,13.0,10.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,27.1,20.8,0.0,12.5,6.2,0.0,0.0,0.0,0.0,33.3,12155
Bannister (NSW),7.0,11.0,9.0,0.0,5.0,3.0,0.0,3.0,3.0,0.0,6.0,14.9,23.4,19.1,0.0,10.6,6.4,0.0,6.4,6.4,0.0,12.8,10183
Brayton,0.0,3.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,3.0,24.0,0.0,7.3,0.0,0.0,19.5,7.3,0.0,0.0,0.0,7.3,58.5,10554
Greenwich Park,0.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,11.5,0.0,11.5,15.4,0.0,0.0,0.0,11.5,0.0,50.0,11771
Tallong,10.0,77.0,8.0,7.0,26.0,14.0,0.0,14.0,14.0,5.0,52.0,4.4,33.9,3.5,3.1,11.5,6.2,0.0,6.2,6.2,2.2,22.9,13733
Carrick (NSW),5.0,9.0,8.0,3.0,4.0,0.0,0.0,9.0,4.0,0.0,13.0,9.1,16.4,14.5,5.5,7.3,0.0,0.0,16.4,7.3,0.0,23.6,10828
Brisbane Grove,3.0,3.0,5.0,0.0,3.0,5.0,0.0,9.0,5.0,0.0,11.0,6.8,6.8,11.4,0.0,6.8,11.4,0.0,20.5,11.4,0.0,25.0,10577
Binda,4.0,15.0,5.0,0.0,6.0,3.0,0.0,5.0,4.0,0.0,54.0,4.2,15.6,5.2,0.0,6.2,3.1,0.0,5.2,4.2,0.0,56.2,10363
Towrang,7.0,8.0,0.0,0.0,6.0,0.0,3.0,3.0,0.0,0.0,19.0,15.2,17.4,0.0,0.0,13.0,0.0,6.5,6.5,0.0,0.0,41.3,13930
Mummel,0.0,10.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,25.6,0.0,0.0,35.9,7.7,0.0,0.0,0.0,0.0,30.8,12835
Baw Baw (NSW),4.0,14.0,8.0,0.0,8.0,7.0,0.0,3.0,5.0,3.0,29.0,4.9,17.3,9.9,0.0,9.9,8.6,0.0,3.7,6.2,3.7,35.8,10234
Boxers Creek,5.0,19.0,5.0,0.0,7.0,4.0,0.0,6.0,3.0,0.0,16.0,7.7,29.2,7.7,0.0,10.8,6.2,0.0,9.2,4.6,0.0,24.6,10541
Gundary,6.0,20.0,12.0,0.0,9.0,6.0,0.0,5.0,6.0,0.0,15.0,7.6,25.3,15.2,0.0,11.4,7.6,0.0,6.3,7.6,0.0,19.0,11806
Yass,134.0,402.0,170.0,11.0,310.0,65.0,37.0,140.0,185.0,39.0,605.0,6.4,19.2,8.1,0.5,14.8,3.1,1.8,6.7,8.8,1.9,28.8,14493
Bookham,6.0,10.0,0.0,0.0,6.0,0.0,0.0,4.0,4.0,0.0,16.0,13.0,21.7,0.0,0.0,13.0,0.0,0.0,8.7,8.7,0.0,34.8,10478
Binalong,10.0,42.0,16.0,0.0,17.0,0.0,0.0,12.0,15.0,3.0,42.0,6.4,26.8,10.2,0.0,10.8,0.0,0.0,7.6,9.6,1.9,26.8,10362
Jugiong,4.0,7.0,0.0,0.0,6.0,0.0,0.0,3.0,3.0,0.0,27.0,8.0,14.0,0.0,0.0,12.0,0.0,0.0,6.0,6.0,0.0,54.0,12044
Galong,9.0,14.0,10.0,0.0,10.0,4.0,0.0,3.0,3.0,0.0,20.0,12.3,19.2,13.7,0.0,13.7,5.5,0.0,4.1,4.1,0.0,27.4,11580
Manton (NSW),13.0,11.0,14.0,4.0,15.0,0.0,4.0,4.0,12.0,0.0,22.0,13.1,11.1,14.1,4.0,15.2,0.0,4.0,4.0,12.1,0.0,22.2,12481
Yass River,3.0,19.0,16.0,0.0,19.0,11.0,6.0,5.0,4.0,6.0,22.0,2.7,17.1,14.4,0.0,17.1,9.9,5.4,4.5,3.6,5.4,19.8,14494
Rye Park,5.0,16.0,0.0,0.0,24.0,4.0,0.0,3.0,0.0,0.0,31.0,6.0,19.3,0.0,0.0,28.9,4.8,0.0,3.6,0.0,0.0,37.3,13455
Dalton,3.0,10.0,0.0,0.0,11.0,0.0,0.0,7.0,0.0,0.0,11.0,7.1,23.8,0.0,0.0,26.2,0.0,0.0,16.7,0.0,0.0,26.2,11194
Gundaroo,23.0,106.0,18.0,18.0,44.0,24.0,22.0,18.0,46.0,5.0,84.0,5.6,26.0,4.4,4.4,10.8,5.9,5.4,4.4,11.3,1.2,20.6,11805
Bowning,10.0,22.0,16.0,0.0,32.0,5.0,0.0,8.0,9.0,0.0,48.0,6.7,14.7,10.7,0.0,21.3,3.3,0.0,5.3,6.0,0.0,32.0,10535
Bellmount Forest,0.0,9.0,0.0,3.0,5.0,0.0,7.0,4.0,6.0,0.0,3.0,0.0,24.3,0.0,8.1,13.5,0.0,18.9,10.8,16.2,0.0,8.1,10274
Gunning,16.0,57.0,0.0,0.0,28.0,4.0,0.0,12.0,14.0,0.0,38.0,9.5,33.7,0.0,0.0,16.6,2.4,0.0,7.1,8.3,0.0,22.5,11813
Lade Vale,0.0,9.0,0.0,0.0,0.0,3.0,3.0,3.0,6.0,0.0,5.0,0.0,31.0,0.0,0.0,0.0,10.3,10.3,10.3,20.7,0.0,17.2,12232
Good Hope,4.0,9.0,8.0,0.0,11.0,0.0,0.0,3.0,4.0,0.0,21.0,6.7,15.0,13.3,0.0,18.3,0.0,0.0,5.0,6.7,0.0,35.0,11700
Wallaroo (NSW),5.0,19.0,12.0,10.0,28.0,17.0,18.0,15.0,36.0,7.0,68.0,2.1,8.1,5.1,4.3,11.9,7.2,7.7,6.4,15.3,3.0,28.9,14112
Murrumbateman,72.0,183.0,116.0,69.0,123.0,128.0,63.0,52.0,115.0,26.0,146.0,6.6,16.7,10.6,6.3,11.3,11.7,5.8,4.8,10.5,2.4,13.4,12860
Springrange,3.0,8.0,13.0,11.0,8.0,9.0,6.0,4.0,12.0,0.0,23.0,3.1,8.2,13.4,11.3,8.2,9.3,6.2,4.1,12.4,0.0,23.7,13625
Jeir,6.0,10.0,12.0,9.0,8.0,9.0,4.0,3.0,17.0,0.0,22.0,6.0,10.0,12.0,9.0,8.0,9.0,4.0,3.0,17.0,0.0,22.0,12004
