,School Education,"Cafes, Restaurants and Takeaway Food Services",Building Installation Services,Road Freight Transport,Residential Building Construction,Legal and Accounting Services,Depository Financial Intermediation,Auxiliary Finance and Investment Services,Hospitals,Public Order and Safety Services,Defence,"Architectural, Engineering and Technical Services",Tertiary Education,"Building Cleaning, Pest Control and Gardening Services",Residential Care Services,Basic Ferrous Metal Manufacturing,Supermarket and Grocery Stores,Computer System Design and Related Services,"Clothing, Footwear and Personal Accessory Retailing",Coal Mining,Allied Health Services,Management and Related Consulting Services,State Government Administration,Building Completion Services,Accommodation,Other Machinery and Equipment Wholesaling,Medical Services,Pharmaceutical and Other Store-Based Retailing,Other Social Assistance Services,Child Care Services,Furniture Manufacturing,Specialised Food Retailing,Advertising Services,Air and Space Transport,Meat and Meat Product Manufacturing,Personal Care Services,Converted Paper Product Manufacturing,Real Estate Services,Printing and Printing Support Services,"Newspaper, Periodical, Book and Directory Publishing",Employment Services,"Furniture, Floor Covering and Other Goods Wholesaling",Automotive Repair and Maintenance,Veterinary Services,Road Passenger Transport,Local Government Administration,"Cement, Lime, Plaster and Concrete Product Manufacturing",Telecommunications Services,Specialised Machinery and Equipment Manufacturing,Recreational Goods Retailing,"Adult, Community and Other Education",Property Operators,Building Structure Services,Fruit and Vegetable Processing,Fertiliser and Pesticide Manufacturing,Polymer Product Manufacturing,Other Goods and Equipment Rental and Hiring,Sports and Physical Recreation Activities,Postal and Courier Pick-up and Delivery Services,Horse and Dog Racing Activities,"Pubs, Taverns and Bars",Rail Passenger Transport,School Education (%),"Cafes, Restaurants and Takeaway Food Services (%)",Building Installation Services (%),Road Freight Transport (%),Residential Building Construction (%),Legal and Accounting Services (%),Depository Financial Intermediation (%),Auxiliary Finance and Investment Services (%),Hospitals (%),Public Order and Safety Services (%),Defence (%),"Architectural, Engineering and Technical Services (%)",Tertiary Education (%),"Building Cleaning, Pest Control and Gardening Services (%)",Residential Care Services (%),Basic Ferrous Metal Manufacturing (%),Supermarket and Grocery Stores (%),Computer System Design and Related Services (%),"Clothing, Footwear and Personal Accessory Retailing (%)",Coal Mining (%),Allied Health Services (%),Management and Related Consulting Services (%),State Government Administration (%),Building Completion Services (%),Accommodation (%),Other Machinery and Equipment Wholesaling (%),Medical Services (%),Pharmaceutical and Other Store-Based Retailing (%),Other Social Assistance Services (%),Child Care Services (%),Furniture Manufacturing (%),Specialised Food Retailing (%),Advertising Services (%),Air and Space Transport (%),Meat and Meat Product Manufacturing (%),Personal Care Services (%),Converted Paper Product Manufacturing (%),Real Estate Services (%),Printing and Printing Support Services (%),"Newspaper, Periodical, Book and Directory Publishing (%)",Employment Services (%),"Furniture, Floor Covering and Other Goods Wholesaling (%)",Automotive Repair and Maintenance (%),Veterinary Services (%),Road Passenger Transport (%),Local Government Administration (%),"Cement, Lime, Plaster and Concrete Product Manufacturing (%)",Telecommunications Services (%),Specialised Machinery and Equipment Manufacturing (%),Recreational Goods Retailing (%),"Adult, Community and Other Education (%)",Property Operators (%),Building Structure Services (%),Fruit and Vegetable Processing (%),Fertiliser and Pesticide Manufacturing (%),Polymer Product Manufacturing (%),Other Goods and Equipment Rental and Hiring (%),Sports and Physical Recreation Activities (%),Postal and Courier Pick-up and Delivery Services (%),Horse and Dog Racing Activities (%),"Pubs, Taverns and Bars (%)",Rail Passenger Transport (%)
Baulkham Hills,989,515,,,,,442,,640,,,,,,,,,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,3.0,,,,,2.5,,3.7,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayview,50,36,,,38,36,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,2.8,,,3.0,2.8,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Hill,131,139,,,,113,,,,,,,,,,,,113,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.0,,,,3.2,,,,,,,,,,,,3.2,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaconsfield,,28,,,,,,,18,,,,17,,,,,,,,,17,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,3.4,,,,3.2,,,,,,,,,3.2,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beecroft,268,,,,,214,,,172,,,,162,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,4.9,,,3.9,,,,3.7,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belfield,94,132,,,71,,63,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,5.3,,,2.8,,2.5,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bella Vista,160,201,,,,123,124,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,4.9,,,,3.0,3.0,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellambi,64,73,,,,,,,49,,,,,,56,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,5.1,,,,,,,3.4,,,,,,3.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellevue Hill,180,178,,,,297,,216,,,,,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.4,,,,5.7,,4.2,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,107,133,,,76,,,,113,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,5.1,,,2.9,,,,4.3,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont North,136,109,98,,,,,,124,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,3.8,3.4,,,,,,4.3,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont South,,32,16,,,,,,19,,,,,,18,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,3.3,,,,,,3.9,,,,,,3.7,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmore,149,278,,,,,127,,109,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.7,,,,,2.6,,2.2,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belrose,173,111,,,,121,,,,,,,,,,,,125,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,3.0,,,,3.3,,,,,,,,,,,,3.4,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bensville,71,60,38,,,,,,51,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,4.7,3.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berala,90,166,,,,,,,98,,,,,92,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,4.9,,,,,,,2.9,,,,,2.7,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,,131,,,,,,,84,,,,,77,100,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,3.0,,,,,2.7,3.5,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley Vale,165,161,,,,,,,122,,,,,,124,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,4.2,,,,,,,3.1,,,,,,3.2,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berowra,134,76,,,,,65,,117,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,3.1,,,,,2.7,,4.8,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berowra Heights,166,67,78,,,,,,123,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,2.5,2.9,,,,,,4.5,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverley Park,32,33,34,,,,,,43,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.4,3.5,,,,,,4.5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly Hills,162,230,,,,122,129,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,5.4,,,,2.9,3.0,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bexley,313,384,,197,,,247,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.6,,2.3,,,2.9,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bexley North,65,88,,,,,52,,50,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,5.3,,,,,3.2,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bidwill,30,54,,42,,,,,,,,,,,32,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.4,,4.2,,,,,,,,,,,3.2,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birchgrove,,,,,,101,,72,,,,,86,,,,,60,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,4.0,,,,,4.8,,,,,3.3,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birmingham Gardens,26,57,,,,,,,43,,,,29,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,6.8,,,,,,,5.1,,,,3.5,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birrong,31,40,26,,,,,,29,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.7,2.4,,,,,,2.6,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackalls Park,62,66,,,,,,,38,,,,,,48,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,5.5,,,,,,,3.2,,,,,,4.0,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackbutt,64,72,,,,,,,60,,,,,,,92,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,4.9,,,,,,,4.0,,,,,,,6.2,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackett,,44,,69,,,,,,,,,,,20,,41,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,6.9,,,,,,,,,,,2.0,,4.1,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blacksmiths,24,27,31,,,,,,,,,,,,,,30,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.8,4.3,,,,,,,,,,,,,,4.2,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blacktown,569,763,,518,,,,,679,,,,,,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,2.7,,,,,3.6,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackwall,,22,,,,,,,22,,,,,,24,,23,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,3.3,,,,,,3.6,,3.5,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blairmount,19,15,,7,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,7.3,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blakehurst,134,120,,,,152,,,,,,,,,,,,,,,68,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.1,,,,5.2,,,,,,,,,,,,,,,2.3,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaxland,386,125,,,,92,,,162,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,3.3,,,,2.5,,,4.3,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Bay,21,22,,,12,,,,,,,,,,16,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,5.4,,,3.0,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Haven,67,107,,,,,,,70,,,,,,83,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,4.4,,,,,,,2.9,,,,,,3.4,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton Point,32,44,,24,,,,,21,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,5.9,,3.2,,,,,2.8,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bondi,166,244,,,,218,,163,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,4.6,,,,4.1,,3.1,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bondi Beach,,321,,,,233,,226,,,,,,,,,,209,,,,,,,,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,3.6,,3.5,,,,,,,,,,3.2,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bondi Junction,,224,,,,220,133,175,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,4.9,3.0,3.9,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnet Bay,69,,,,,37,43,,,,,47,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,3.1,3.6,,,,,4.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnyrigg,59,118,,78,,,58,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,4.2,,2.8,,,2.1,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnyrigg Heights,83,122,,83,,,87,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,3.9,,2.6,,,2.8,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booker Bay,16,,14,,,,,,19,,,,,,16,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,3.5,,,,,,4.8,,,,,,4.0,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boolaroo,,13,,12,,,,,23,,,,,,14,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,2.9,,,,,5.6,,,,,,3.4,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booragul,18,16,,,,,,,18,,,,,,18,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,3.4,,,,,,,3.9,,,,,,3.9,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bossley Park,226,235,,182,,,150,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,3.8,,3.0,,,2.5,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botany,162,143,100,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,3.3,2.3,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bow Bowing,,36,21,23,,,,,20,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,2.6,2.9,,,,,2.5,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradbury,199,114,,136,,,,,141,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,3.0,,3.6,,,,,3.7,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadmeadow,35,43,,,,,,,34,,,25,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,5.4,,,,,,,4.3,,,3.1,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronte,125,110,,,,157,,155,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.1,,,,4.4,,4.3,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookvale,44,64,,,,,39,,,,,,,38,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,4.6,,,,,2.8,,,,,,,2.7,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budgewoi,52,48,,,,,,,38,,,,,,34,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,4.0,,,,,,,3.2,,,,,,2.8,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buff Point,61,70,,,36,,,,,,,,,,43,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,5.4,,,2.8,,,,,,,,,,3.3,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulli,203,99,,,,,,,105,85,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,3.7,,,,,,,3.9,3.1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burwood,,475,,,,179,157,,189,,,,,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,3.1,2.8,,3.3,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burwood Heights,20,,,11,,13,12,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,3.0,,3.6,3.3,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Busby,,54,,40,,,,,30,,,,,,,,50,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,3.4,,,,,2.6,,,,,,,,4.3,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabarita,53,37,,,,53,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,3.7,,,,5.4,2.8,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabramatta,,339,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,162,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,2.5,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabramatta West,,104,,66,46,,,,,,,,,,,,44,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,3.0,2.1,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Gardens,46,46,,46,,,,,40,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.2,,4.2,,,,,3.6,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Park,110,100,,126,,,,,91,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.5,,4.4,,,,,3.2,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camden,117,46,,,49,,,,,,,,56,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,3.0,,,3.2,,,,,,,,3.7,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camden South,196,64,,66,,,,,63,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,2.8,,2.9,,,,,2.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cammeray,,,,,,210,168,184,,,,138,,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,4.1,4.5,,,,3.4,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campbelltown,179,181,,107,,,,,155,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.3,,2.5,,,,,3.6,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camperdown,175,196,,,,207,,,282,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.0,,,,4.3,,,5.8,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campsie,,730,,,213,,,,219,,,,,277,,,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,2.4,,,,2.5,,,,,3.2,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada Bay,27,,,,,18,28,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,2.7,4.2,3.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canley Heights,,158,,117,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,89,68,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,3.2,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,2.5,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Canley Vale,,136,,69,62,,,,,,,,,,,,,,,,,,,,,,,62,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,2.3,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canterbury,118,144,,,,,72,,81,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,5.0,,,,,2.5,,2.8,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canton Beach,,9,,,,,,,,,,,,,14,,10,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,6.1,,4.4,,,,,,,3.9,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiff,112,115,,,,,,,140,,,,,,76,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,4.4,,,,,,,5.3,,,,,,2.9,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiff Heights,38,28,,,,,,,53,,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,5.0,,,,,,,9.5,,,3.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiff South,56,80,,,,,,,50,,,,,,43,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,5.5,,,,,,,3.4,,,,,,2.9,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
