,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%)
Saratoga,53.0,43.0,31.0,--,--,--
Scarborough (NSW),47.0,33.0,37.0,--,--,--
Schofields,48.0,37.0,29.0,--,--,--
Scotland Island,48.0,45.0,39.0,--,--,--
Seaforth (NSW),49.0,44.0,26.0,--,--,--
Sefton,49.0,38.0,31.0,--,--,--
Shell Cove,45.0,38.0,21.0,--,--,--
Shellharbour,52.0,34.0,31.0,--,--,--
Shelly Beach (NSW),57.0,35.0,42.0,--,--,--
Shortland,53.0,30.0,35.0,--,--,--
Silverwater (Lake Macquarie - NSW),59.0,36.0,39.0,--,--,--
Smithfield (NSW),50.0,38.0,34.0,--,--,--
South Coogee,50.0,39.0,44.0,--,--,--
South Granville,46.0,40.0,31.0,--,--,--
South Hurstville,48.0,36.0,31.0,--,--,--
South Penrith,51.0,34.0,32.0,--,--,--
South Turramurra,49.0,46.0,30.0,--,--,--
South Wentworthville,46.0,38.0,33.0,--,--,--
Springfield (Gosford - NSW),47.0,40.0,37.0,--,--,--
Springwood (NSW),52.0,40.0,41.0,--,--,--
St Andrews (NSW),49.0,35.0,26.0,--,--,--
St Clair (Penrith - NSW),49.0,35.0,25.0,--,--,--
St Helens Park,43.0,33.0,28.0,--,--,--
St Huberts Island,62.0,46.0,47.0,--,--,--
St Ives (NSW),53.0,44.0,25.0,--,--,--
St Ives Chase,53.0,49.0,22.0,--,--,--
St Johns Park,54.0,40.0,28.0,--,--,--
St Leonards (NSW),36.0,30.0,31.0,--,--,--
St Marys (NSW),48.0,33.0,39.0,--,--,--
St Peters (NSW),42.0,36.0,35.0,--,--,--
Stanhope Gardens,39.0,34.0,28.0,--,--,--
Strathfield (NSW),48.0,29.0,26.0,--,--,--
Strathfield South,49.0,35.0,28.0,--,--,--
Summer Hill (Ashfield - NSW),42.0,34.0,35.0,--,--,--
Surry Hills,38.0,32.0,33.0,--,--,--
Sutherland (NSW),41.0,30.0,40.0,--,--,--
Swansea (NSW),60.0,41.0,49.0,--,--,--
Swansea Heads,54.0,40.0,34.0,--,--,--
Sydenham (NSW),44.0,40.0,33.0,--,--,--
Sydney,35.0,29.0,27.0,--,--,--
Sylvania,54.0,38.0,39.0,--,--,--
Sylvania Waters,52.0,41.0,28.0,--,--,--
Tacoma,49.0,41.0,23.0,--,--,--
Tacoma South,50.0,42.0,25.0,--,--,--
Taren Point,64.0,41.0,56.0,--,--,--
Tascott,53.0,44.0,40.0,--,--,--
Tempe,47.0,40.0,38.0,--,--,--
Teralba,53.0,38.0,43.0,--,--,--
Terrey Hills,52.0,41.0,25.0,--,--,--
Terrigal,54.0,39.0,33.0,--,--,--
The Entrance,63.0,31.0,45.0,--,--,--
The Entrance North,58.0,33.0,37.0,--,--,--
The Hill,53.0,27.0,28.0,--,--,--
The Junction,53.0,36.0,35.0,--,--,--
Thornleigh,48.0,42.0,29.0,--,--,--
Tighes Hill,47.0,39.0,44.0,--,--,--
Tingira Heights,48.0,37.0,28.0,--,--,--
Toongabbie (NSW),47.0,37.0,30.0,--,--,--
Toowoon Bay,61.0,27.0,51.0,--,--,--
Toronto,58.0,36.0,43.0,--,--,--
Toukley,60.0,36.0,50.0,--,--,--
Tregear,52.0,35.0,33.0,--,--,--
Tuggerawong,53.0,38.0,39.0,--,--,--
Tumbi Umbi,53.0,39.0,36.0,--,--,--
Turramurra,51.0,42.0,27.0,--,--,--
Ultimo,36.0,29.0,26.0,--,--,--
Umina Beach,54.0,37.0,45.0,--,--,--
Unanderra,54.0,35.0,41.0,--,--,--
Valentine (NSW),53.0,43.0,25.0,--,--,--
Valley Heights,53.0,42.0,32.0,--,--,--
Vaucluse,51.0,38.0,31.0,--,--,--
Villawood,50.0,40.0,39.0,--,--,--
Voyager Point,47.0,41.0,22.0,--,--,--
Wahroonga,51.0,41.0,26.0,--,--,--
Waitara,39.0,31.0,39.0,--,--,--
Wakeley,51.0,38.0,28.0,--,--,--
Wallsend,52.0,32.0,40.0,--,--,--
Warabrook,52.0,32.0,32.0,--,--,--
Waratah (NSW),48.0,32.0,38.0,--,--,--
Waratah West,53.0,29.0,26.0,--,--,--
Wareemba,50.0,39.0,42.0,--,--,--
Warilla,55.0,39.0,44.0,--,--,--
Warners Bay,55.0,38.0,42.0,--,--,--
Warrawee,52.0,40.0,23.0,--,--,--
Warriewood,47.0,40.0,34.0,--,--,--
Warwick Farm,44.0,34.0,40.0,--,--,--
Watanobbi,50.0,37.0,34.0,--,--,--
Waterloo (NSW),39.0,31.0,33.0,--,--,--
Watsons Bay,50.0,41.0,38.0,--,--,--
Wattle Grove (NSW),43.0,32.0,24.0,--,--,--
Waverley (NSW),45.0,34.0,40.0,--,--,--
Wentworthville,43.0,37.0,33.0,--,--,--
Werrington,46.0,29.0,35.0,--,--,--
Werrington County,52.0,32.0,28.0,--,--,--
Werrington Downs,49.0,33.0,25.0,--,--,--
West Gosford,58.0,29.0,48.0,--,--,--
West Hoxton,42.0,39.0,23.0,--,--,--
West Pennant Hills,53.0,44.0,23.0,--,--,--
West Ryde,45.0,33.0,33.0,--,--,--
West Wallsend,50.0,36.0,38.0,--,--,--
West Wollongong,48.0,31.0,33.0,--,--,--
Westleigh,52.0,47.0,24.0,--,--,--
Westmead,35.0,31.0,31.0,--,--,--
Wetherill Park,54.0,42.0,27.0,--,--,--
Whitebridge,52.0,36.0,30.0,--,--,--
Wickham (NSW),51.0,31.0,30.0,--,--,--
Wiley Park,39.0,36.0,30.0,--,--,--
Willoughby (NSW),45.0,39.0,38.0,--,--,--
Willoughby East,47.0,48.0,25.0,--,--,--
Windale,57.0,40.0,42.0,--,--,--
Windang,63.0,44.0,51.0,--,--,--
Winston Hills,50.0,37.0,32.0,--,--,--
Wollongong,52.0,28.0,29.0,--,--,--
Wollstonecraft,44.0,31.0,35.0,--,--,--
Wombarra,51.0,45.0,41.0,--,--,--
Woodcroft (NSW),47.0,32.0,24.0,--,--,--
Woodrising,48.0,32.0,27.0,--,--,--
Woollahra,51.0,37.0,41.0,--,--,--
Woolloomooloo,49.0,32.0,38.0,--,--,--
Woolooware,51.0,36.0,33.0,--,--,--
Woolwich,58.0,47.0,32.0,--,--,--
Woonona,51.0,37.0,39.0,--,--,--
Woronora Heights,50.0,37.0,20.0,--,--,--
Woy Woy,57.0,40.0,51.0,--,--,--
Woy Woy Bay,56.0,45.0,30.0,--,--,--
Wyoming,53.0,37.0,43.0,--,--,--
Wyong,57.0,39.0,47.0,--,--,--
Yagoona,48.0,39.0,31.0,--,--,--
Yattalunga (NSW),51.0,39.0,31.0,--,--,--
Yennora,49.0,31.0,39.0,--,--,--
Yowie Bay,54.0,47.0,26.0,--,--,--
Zetland,36.0,31.0,29.0,--,--,--
