,Worked full-time,Worked part-time,Away from work,Unemployed,Worked full-time (%),Worked part-time (%),Away from work (%),Unemployed (%),SSC_CODE
Carrick (NSW),32.0,28.0,3.0,4.0,47.8,41.8,4.5,6.0,10828
Brisbane Grove,38.0,28.0,0.0,8.0,51.4,37.8,0.0,10.8,10577
Binda,56.0,40.0,9.0,6.0,50.5,36.0,8.1,5.4,10363
Towrang,50.0,18.0,3.0,4.0,66.7,24.0,4.0,5.3,13930
Mummel,38.0,13.0,3.0,3.0,66.7,22.8,5.3,5.3,12835
Baw Baw (NSW),72.0,43.0,0.0,0.0,62.6,37.4,0.0,0.0,10234
Boxers Creek,67.0,27.0,10.0,4.0,62.0,25.0,9.3,3.7,10541
Gundary,72.0,42.0,3.0,6.0,58.5,34.1,2.4,4.9,11806
Yass,1835.0,920.0,205.0,110.0,59.8,30.0,6.7,3.6,14493
Bookham,54.0,17.0,11.0,3.0,63.5,20.0,12.9,3.5,10478
Binalong,148.0,79.0,10.0,9.0,60.2,32.1,4.1,3.7,10362
Jugiong,78.0,26.0,11.0,3.0,66.1,22.0,9.3,2.5,12044
Galong,51.0,31.0,3.0,7.0,55.4,33.7,3.3,7.6,11580
Manton (NSW),94.0,43.0,12.0,3.0,61.8,28.3,7.9,2.0,12481
Yass River,136.0,54.0,12.0,4.0,66.0,26.2,5.8,1.9,14494
Rye Park,60.0,36.0,8.0,6.0,54.5,32.7,7.3,5.5,13455
Dalton,62.0,36.0,3.0,4.0,59.0,34.3,2.9,3.8,11194
Gundaroo,392.0,175.0,34.0,12.0,63.9,28.5,5.5,2.0,11805
Bowning,175.0,94.0,12.0,11.0,59.9,32.2,4.1,3.8,10535
Bellmount Forest,50.0,18.0,5.0,3.0,65.8,23.7,6.6,3.9,10274
Gunning,182.0,92.0,23.0,17.0,58.0,29.3,7.3,5.4,11813
Lade Vale,48.0,26.0,5.0,0.0,60.8,32.9,6.3,0.0,12232
Good Hope,59.0,20.0,5.0,3.0,67.8,23.0,5.7,3.4,11700
Wallaroo (NSW),223.0,114.0,30.0,4.0,60.1,30.7,8.1,1.1,14112
Murrumbateman,1144.0,496.0,104.0,55.0,63.6,27.6,5.8,3.1,12860
Springrange,97.0,50.0,16.0,4.0,58.1,29.9,9.6,2.4,13625
Jeir,95.0,36.0,17.0,0.0,64.2,24.3,11.5,0.0,12004
Marchmont,78.0,37.0,8.0,0.0,63.4,30.1,6.5,0.0,12487
Nanima,60.0,40.0,8.0,0.0,55.6,37.0,7.4,0.0,12891
Young,2332.0,1449.0,253.0,268.0,54.2,33.7,5.9,6.2,14518
Kingsvale,42.0,22.0,3.0,7.0,56.8,29.7,4.1,9.5,12161
Burrangong,60.0,47.0,6.0,4.0,51.3,40.2,5.1,3.4,10706
Wyangala,42.0,12.0,6.0,4.0,65.6,18.8,9.4,6.2,14434
Wombat,67.0,24.0,9.0,7.0,62.6,22.4,8.4,6.5,14364
Cunningar,54.0,24.0,4.0,0.0,65.9,29.3,4.9,0.0,11164
Harden,434.0,231.0,36.0,40.0,58.6,31.2,4.9,5.4,11851
Boorowa,427.0,223.0,49.0,35.0,58.2,30.4,6.7,4.8,10503
Murrumburrah,38.0,16.0,3.0,0.0,66.7,28.1,5.3,0.0,12863
Frogmore,47.0,10.0,4.0,3.0,73.4,15.6,6.2,4.7,11571
Maimuru,36.0,28.0,10.0,3.0,46.8,36.4,13.0,3.9,12444
Bendick Murrell,40.0,24.0,4.0,3.0,56.3,33.8,5.6,4.2,10290
Koorawatha,81.0,51.0,6.0,10.0,54.7,34.5,4.1,6.8,12192
Monteagle,65.0,42.0,0.0,6.0,57.5,37.2,0.0,5.3,12683
Murringo,103.0,56.0,4.0,15.0,57.9,31.5,2.2,8.4,12858
Thuddungra,54.0,17.0,7.0,0.0,69.2,21.8,9.0,0.0,13853
Bribbaree,37.0,13.0,6.0,5.0,60.7,21.3,9.8,8.2,10566
Avoca Beach,1299.0,859.0,101.0,117.0,54.7,36.2,4.3,4.9,10114
Copacabana,779.0,524.0,64.0,93.0,53.4,35.9,4.4,6.4,11056
Killcare Heights,186.0,132.0,16.0,17.0,53.0,37.6,4.6,4.8,12134
Macmasters Beach,327.0,255.0,26.0,24.0,51.7,40.3,4.1,3.8,12432
Empire Bay,596.0,395.0,73.0,63.0,52.9,35.0,6.5,5.6,11415
Wagstaffe,49.0,32.0,9.0,3.0,52.7,34.4,9.7,3.2,14084
St Huberts Island,277.0,158.0,30.0,14.0,57.8,33.0,6.3,2.9,13638
Killcare,94.0,101.0,8.0,12.0,43.7,47.0,3.7,5.6,12133
Bensville,771.0,493.0,61.0,60.0,55.7,35.6,4.4,4.3,10297
Daleys Point,130.0,85.0,6.0,15.0,55.1,36.0,2.5,6.4,11189
Pretty Beach (Central Coast - NSW),76.0,63.0,5.0,4.0,51.4,42.6,3.4,2.7,13261
Hardys Bay,45.0,49.0,6.0,3.0,43.7,47.6,5.8,2.9,11852
Kincumber South,85.0,68.0,14.0,11.0,47.8,38.2,7.9,6.2,12142
Somersby,318.0,176.0,19.0,25.0,59.1,32.7,3.5,4.6,13571
Calga,39.0,18.0,7.0,9.0,53.4,24.7,9.6,12.3,10752
Woy Woy,2262.0,1320.0,237.0,367.0,54.0,31.5,5.7,8.8,14425
Patonga,34.0,33.0,3.0,4.0,45.9,44.6,4.1,5.4,13160
Mooney Mooney,105.0,60.0,3.0,7.0,60.0,34.3,1.7,4.0,12704
Kariong,2021.0,1002.0,133.0,215.0,60.0,29.7,3.9,6.4,12074
Peats Ridge,127.0,51.0,11.0,10.0,63.8,25.6,5.5,5.0,13172
Central Mangrove,99.0,57.0,9.0,7.0,57.6,33.1,5.2,4.1,10876
Mangrove Mountain,235.0,100.0,26.0,3.0,64.6,27.5,7.1,0.8,12472
Kulnura,195.0,82.0,26.0,10.0,62.3,26.2,8.3,3.2,12206
Mount White,58.0,30.0,5.0,3.0,60.4,31.2,5.2,3.1,12803
Wendoree Park,44.0,28.0,3.0,0.0,58.7,37.3,4.0,0.0,14224
Wisemans Ferry,63.0,38.0,3.0,4.0,58.3,35.2,2.8,3.7,14344
Gunderman,47.0,11.0,4.0,4.0,71.2,16.7,6.1,6.1,11808
Spencer,53.0,27.0,12.0,5.0,54.6,27.8,12.4,5.2,13607
Erina,878.0,600.0,59.0,82.0,54.2,37.1,3.6,5.1,11433
Green Point (Central Coast - NSW),1652.0,1040.0,152.0,180.0,54.6,34.4,5.0,6.0,11753
Matcham,248.0,201.0,16.0,12.0,52.0,42.1,3.4,2.5,12520
Holgate,264.0,184.0,17.0,16.0,54.9,38.3,3.5,3.3,11921
Lisarow,1539.0,863.0,118.0,139.0,57.9,32.5,4.4,5.2,12343
Erina Heights,118.0,67.0,16.0,10.0,55.9,31.8,7.6,4.7,11434
Terrigal,3306.0,1936.0,272.0,302.0,56.8,33.3,4.7,5.2,13805
Springfield (Central Coast - NSW),1133.0,720.0,94.0,132.0,54.5,34.6,4.5,6.3,13623
North Gosford,1029.0,572.0,69.0,144.0,56.7,31.5,3.8,7.9,12991
West Gosford,342.0,149.0,32.0,44.0,60.3,26.3,5.6,7.8,14244
Gosford,1189.0,481.0,75.0,189.0,61.5,24.9,3.9,9.8,11722
East Gosford,1049.0,607.0,97.0,117.0,56.1,32.5,5.2,6.3,11349
Point Frederick,509.0,294.0,41.0,63.0,56.1,32.4,4.5,6.9,13232
Kincumber,1636.0,1027.0,175.0,184.0,54.1,34.0,5.8,6.1,12141
Picketts Valley,53.0,47.0,5.0,0.0,50.5,44.8,4.8,0.0,13198
Narara,2353.0,1361.0,210.0,253.0,56.3,32.6,5.0,6.1,12895
Niagara Park,799.0,453.0,69.0,90.0,56.6,32.1,4.9,6.4,12961
Mount Elliot (NSW),48.0,35.0,7.0,3.0,51.6,37.6,7.5,3.2,12757
Point Clare,956.0,590.0,86.0,108.0,54.9,33.9,4.9,6.2,13231
Tascott,483.0,251.0,37.0,51.0,58.8,30.5,4.5,6.2,13772
Koolewong,249.0,144.0,21.0,29.0,56.2,32.5,4.7,6.5,12185
Saratoga,1097.0,709.0,87.0,89.0,55.3,35.8,4.4,4.5,13492
Davistown,622.0,342.0,58.0,62.0,57.4,31.5,5.4,5.7,11221
Yattalunga (NSW),152.0,109.0,6.0,10.0,54.9,39.4,2.2,3.6,14496
North Avoca,707.0,392.0,55.0,52.0,58.6,32.5,4.6,4.3,12980
Umina Beach,3981.0,2420.0,401.0,559.0,54.1,32.9,5.4,7.6,14007
Booker Bay,277.0,181.0,31.0,32.0,53.2,34.7,6.0,6.1,10477
Ettalong Beach,956.0,599.0,110.0,168.0,52.2,32.7,6.0,9.2,11445
Pearl Beach,79.0,77.0,6.0,10.0,45.9,44.8,3.5,5.8,13171
Wamberal,1863.0,1174.0,169.0,127.0,55.9,35.2,5.1,3.8,14122
Forresters Beach,722.0,516.0,99.0,60.0,51.7,36.9,7.1,4.3,11549
Tumbi Umbi,1329.0,787.0,101.0,147.0,56.2,33.3,4.3,6.2,13962
Horsfield Bay,166.0,91.0,14.0,15.0,58.0,31.8,4.9,5.2,11941
Phegans Bay,125.0,79.0,21.0,14.0,52.3,33.1,8.8,5.9,13192
Woy Woy Bay,117.0,81.0,13.0,14.0,52.0,36.0,5.8,6.2,14426
Blackwall (NSW),446.0,267.0,49.0,63.0,54.1,32.4,5.9,7.6,10399
Wyoming,2429.0,1402.0,226.0,328.0,55.4,32.0,5.2,7.5,14445
Bateau Bay,2959.0,1885.0,292.0,309.0,54.3,34.6,5.4,5.7,10227
Killarney Vale,1775.0,1063.0,178.0,225.0,54.8,32.8,5.5,6.9,12131
Blue Haven,1587.0,913.0,176.0,265.0,54.0,31.0,6.0,9.0,10415
San Remo (NSW),996.0,640.0,90.0,191.0,52.0,33.4,4.7,10.0,13470
Doyalson,80.0,56.0,8.0,10.0,51.9,36.4,5.2,6.5,11286
Buff Point,772.0,489.0,87.0,126.0,52.4,33.2,5.9,8.5,10645
Budgewoi,798.0,456.0,84.0,120.0,54.7,31.3,5.8,8.2,10642
Halekulani,491.0,346.0,66.0,101.0,48.9,34.5,6.6,10.1,11830
Glenning Valley,660.0,361.0,34.0,45.0,60.0,32.8,3.1,4.1,11672
Berkeley Vale,2407.0,1296.0,216.0,270.0,57.5,30.9,5.2,6.4,10304
Chittaway Point,277.0,160.0,33.0,30.0,55.4,32.0,6.6,6.0,10912
Chittaway Bay,543.0,359.0,49.0,67.0,53.3,35.3,4.8,6.6,10911
Kanwal,838.0,536.0,75.0,149.0,52.4,33.5,4.7,9.3,12067
Wyongah,566.0,325.0,61.0,53.0,56.3,32.3,6.1,5.3,14448
Tuggerawong,326.0,198.0,29.0,52.0,53.9,32.7,4.8,8.6,13951
Rocky Point (NSW),79.0,34.0,0.0,14.0,62.2,26.8,0.0,11.0,13388
Gorokan,1818.0,1028.0,205.0,314.0,54.0,30.5,6.1,9.3,11721
Charmhaven,611.0,355.0,47.0,112.0,54.3,31.6,4.2,10.0,10889
Lake Haven,683.0,396.0,79.0,137.0,52.7,30.6,6.1,10.6,12247
Jilliby,476.0,312.0,52.0,21.0,55.3,36.2,6.0,2.4,12027
Yarramalong,105.0,67.0,15.0,11.0,53.0,33.8,7.6,5.6,14475
Cedar Brush Creek,31.0,18.0,0.0,5.0,57.4,33.3,0.0,9.3,10867
Wyong Creek,127.0,95.0,9.0,0.0,55.0,41.1,3.9,0.0,14447
Dooralong,97.0,42.0,16.0,11.0,58.4,25.3,9.6,6.6,11276
Lake Munmorah,1184.0,728.0,87.0,162.0,54.8,33.7,4.0,7.5,12253
Chain Valley Bay,440.0,287.0,58.0,56.0,52.3,34.1,6.9,6.7,10880
Kingfisher Shores,46.0,23.0,3.0,5.0,59.7,29.9,3.9,6.5,12146
Mannering Park,600.0,369.0,72.0,94.0,52.9,32.5,6.3,8.3,12477
Doyalson North,30.0,30.0,0.0,3.0,47.6,47.6,0.0,4.8,11287
Ourimbah,1242.0,664.0,103.0,113.0,58.5,31.3,4.9,5.3,13103
Fountaindale,217.0,124.0,17.0,13.0,58.5,33.4,4.6,3.5,11554
Palm Grove (NSW),29.0,19.0,0.0,4.0,55.8,36.5,0.0,7.7,13133
Gwandalan,862.0,458.0,65.0,101.0,58.0,30.8,4.4,6.8,11824
Summerland Point,569.0,342.0,50.0,102.0,53.5,32.2,4.7,9.6,13690
Long Jetty,1458.0,964.0,145.0,218.0,52.4,34.6,5.2,7.8,12378
Shelly Beach (NSW),330.0,201.0,27.0,24.0,56.7,34.5,4.6,4.1,13535
Blue Bay,243.0,182.0,24.0,25.0,51.3,38.4,5.1,5.3,10414
Toowoon Bay,111.0,69.0,21.0,15.0,51.4,31.9,9.7,6.9,13916
The Entrance North,367.0,213.0,27.0,49.0,55.9,32.5,4.1,7.5,13819
Magenta (NSW),66.0,21.0,0.0,3.0,73.3,23.3,0.0,3.3,12441
The Entrance,765.0,511.0,81.0,183.0,49.7,33.2,5.3,11.9,13818
Toukley,817.0,533.0,98.0,149.0,51.2,33.4,6.1,9.3,13925
Canton Beach,154.0,84.0,18.0,29.0,54.0,29.5,6.3,10.2,10798
Noraville,672.0,497.0,78.0,88.0,50.3,37.2,5.8,6.6,12974
Norah Head,309.0,186.0,17.0,31.0,56.9,34.3,3.1,5.7,12973
Kangy Angy,73.0,57.0,3.0,14.0,49.7,38.8,2.0,9.5,12064
Tuggerah,293.0,131.0,19.0,27.0,62.3,27.9,4.0,5.7,13950
Wyong,863.0,530.0,93.0,172.0,52.1,32.0,5.6,10.4,14446
Mardi,1028.0,539.0,71.0,118.0,58.5,30.7,4.0,6.7,12488
Tacoma South,88.0,36.0,7.0,3.0,65.7,26.9,5.2,2.2,13725
Hamlyn Terrace,1564.0,860.0,112.0,176.0,57.7,31.7,4.1,6.5,11843
Woongarrah,1518.0,717.0,123.0,122.0,61.2,28.9,5.0,4.9,14415
Warnervale,195.0,112.0,18.0,17.0,57.0,32.7,5.3,5.0,14154
Wallarah,84.0,63.0,7.0,10.0,51.2,38.4,4.3,6.1,14109
Wadalba,813.0,393.0,81.0,99.0,58.7,28.4,5.8,7.1,14080
Watanobbi,947.0,533.0,75.0,176.0,54.7,30.8,4.3,10.2,14181
Tacoma,157.0,117.0,16.0,15.0,51.5,38.4,5.2,4.9,13724
Llanarth (NSW),733.0,344.0,48.0,37.0,63.1,29.6,4.1,3.2,12362
South Bathurst,404.0,203.0,28.0,51.0,58.9,29.6,4.1,7.4,13577
Bathurst,1893.0,1099.0,172.0,273.0,55.1,32.0,5.0,7.9,10231
Robin Hill,331.0,134.0,23.0,16.0,65.7,26.6,4.6,3.2,13375
West Bathurst,914.0,469.0,109.0,120.0,56.7,29.1,6.8,7.4,14241
Mitchell (NSW),42.0,162.0,40.0,65.0,13.6,52.4,12.9,21.0,12650
Gormans Hill,163.0,92.0,12.0,24.0,56.0,31.6,4.1,8.2,11720
Abercrombie,354.0,188.0,23.0,21.0,60.4,32.1,3.9,3.6,10004
Eglinton (NSW),675.0,366.0,69.0,43.0,58.5,31.7,6.0,3.7,11386
Windradyne,828.0,404.0,71.0,84.0,59.7,29.1,5.1,6.1,14324
Raglan (NSW),345.0,178.0,32.0,43.0,57.7,29.8,5.4,7.2,13304
White Rock (NSW),210.0,121.0,17.0,12.0,58.3,33.6,4.7,3.3,14275
Kelso (NSW),2469.0,1196.0,225.0,256.0,59.6,28.8,5.4,6.2,12090
O'Connell (NSW),176.0,97.0,10.0,7.0,60.7,33.4,3.4,2.4,13052
Brewongle,39.0,12.0,3.0,0.0,72.2,22.2,5.6,0.0,10564
Trunkey Creek,23.0,21.0,6.0,0.0,46.0,42.0,12.0,0.0,13942
Perthville,190.0,100.0,24.0,16.0,57.6,30.3,7.3,4.8,13189
Sofala,17.0,16.0,0.0,3.0,47.2,44.4,0.0,8.3,13569
Wattle Flat (NSW),41.0,44.0,0.0,11.0,42.7,45.8,0.0,11.5,14191
Peel,81.0,45.0,16.0,3.0,55.9,31.0,11.0,2.1,13174
Limekilns,35.0,23.0,0.0,0.0,60.3,39.7,0.0,0.0,12330
Clear Creek,37.0,31.0,5.0,3.0,48.7,40.8,6.6,3.9,10925
Rockley,46.0,29.0,3.0,11.0,51.7,32.6,3.4,12.4,13380
Georges Plains,53.0,42.0,3.0,8.0,50.0,39.6,2.8,7.5,11602
Duramana,74.0,37.0,3.0,6.0,61.7,30.8,2.5,5.0,11330
Billywillinga,44.0,34.0,3.0,9.0,48.9,37.8,3.3,10.0,10357
Mount Rankin,122.0,65.0,6.0,3.0,62.2,33.2,3.1,1.5,12786
Rock Forest,59.0,29.0,11.0,3.0,57.8,28.4,10.8,2.9,13377
Evans Plains,57.0,27.0,4.0,5.0,61.3,29.0,4.3,5.4,11470
The Lagoon,65.0,27.0,7.0,9.0,60.2,25.0,6.5,8.3,13828
Wisemans Creek,36.0,12.0,3.0,4.0,65.5,21.8,5.5,7.3,14343
Yetholme,70.0,32.0,9.0,5.0,60.3,27.6,7.8,4.3,14513
Meadow Flat,94.0,45.0,11.0,0.0,62.7,30.0,7.3,0.0,12549
Tarana,58.0,26.0,3.0,0.0,66.7,29.9,3.4,0.0,13760
Glanmire (NSW),58.0,26.0,3.0,8.0,61.1,27.4,3.2,8.4,11640
Napoleon Reef,36.0,25.0,4.0,0.0,55.4,38.5,6.2,0.0,12893
Oberon,840.0,411.0,92.0,107.0,57.9,28.3,6.3,7.4,13068
Black Springs (NSW),54.0,24.0,3.0,5.0,62.8,27.9,3.5,5.8,10389
Condobolin,858.0,408.0,112.0,122.0,57.2,27.2,7.5,8.1,11002
Tullamore,135.0,54.0,11.0,6.0,65.5,26.2,5.3,2.9,13954
Lake Cargelligo,320.0,178.0,46.0,42.0,54.6,30.4,7.8,7.2,12242
Tullibigeal,81.0,25.0,8.0,0.0,71.1,21.9,7.0,0.0,13957
Ungarie,134.0,64.0,15.0,12.0,59.6,28.4,6.7,5.3,14011
Euabalong,53.0,17.0,4.0,5.0,67.1,21.5,5.1,6.3,11449
Fifield,38.0,11.0,3.0,4.0,67.9,19.6,5.4,7.1,11514
Tottenham (NSW),120.0,40.0,16.0,8.0,65.2,21.7,8.7,4.3,13923
Cowra,2263.0,1349.0,224.0,274.0,55.1,32.8,5.5,6.7,11099
Canowindra,540.0,340.0,53.0,52.0,54.8,34.5,5.4,5.3,10796
Woodstock (Cowra - NSW),170.0,62.0,16.0,26.0,62.0,22.6,5.8,9.5,14394
Gooloogong,89.0,60.0,4.0,4.0,56.7,38.2,2.5,2.5,11709
Mandurama,96.0,39.0,10.0,10.0,61.9,25.2,6.5,6.5,12467
Wattamondara,58.0,27.0,8.0,5.0,59.2,27.6,8.2,5.1,14190
Darbys Falls,50.0,31.0,14.0,12.0,46.7,29.0,13.1,11.2,11205
Billimari,35.0,16.0,0.0,3.0,64.8,29.6,0.0,5.6,10354
Moorbel,44.0,35.0,5.0,5.0,49.4,39.3,5.6,5.6,12709
Forbes (NSW),2081.0,1031.0,233.0,213.0,58.5,29.0,6.5,6.0,11536
Eugowra,221.0,96.0,22.0,13.0,62.8,27.3,6.2,3.7,11454
Warroo (NSW),56.0,15.0,4.0,0.0,74.7,20.0,5.3,0.0,14175
Bedgerabong,45.0,19.0,11.0,7.0,54.9,23.2,13.4,8.5,10247
Grenfell,590.0,309.0,70.0,60.0,57.3,30.0,6.8,5.8,11776
Greenethorpe,41.0,35.0,5.0,6.0,47.1,40.2,5.7,6.9,11760
Quandialla,52.0,18.0,0.0,3.0,71.2,24.7,0.0,4.1,13290
Caragabal,45.0,36.0,6.0,0.0,51.7,41.4,6.9,0.0,10806
Parkes (NSW),2864.0,1423.0,301.0,354.0,58.0,28.8,6.1,7.2,13151
Cookamidgera,48.0,14.0,4.0,4.0,68.6,20.0,5.7,5.7,11016
Peak Hill (NSW),221.0,124.0,20.0,54.0,52.7,29.6,4.8,12.9,13166
Trundle,148.0,80.0,25.0,20.0,54.2,29.3,9.2,7.3,13940
Bogan Gate,65.0,24.0,4.0,9.0,63.7,23.5,3.9,8.8,10438
Alectown,49.0,21.0,6.0,3.0,62.0,26.6,7.6,3.8,10029
West Wyalong,812.0,429.0,84.0,46.0,59.2,31.3,6.1,3.4,14256
Wyalong,186.0,106.0,21.0,12.0,57.2,32.6,6.5,3.7,14431
Weethalle,80.0,26.0,13.0,3.0,65.6,21.3,10.7,2.5,14215
Tallimba,57.0,19.0,6.0,0.0,69.5,23.2,7.3,0.0,13732
Barellan,157.0,56.0,11.0,5.0,68.6,24.5,4.8,2.2,10197
Ardlethan,94.0,60.0,9.0,15.0,52.8,33.7,5.1,8.4,10076
Ariah Park,117.0,60.0,17.0,4.0,59.1,30.3,8.6,2.0,10081
Barmedman,89.0,45.0,4.0,19.0,56.7,28.7,2.5,12.1,10202
Beckom,38.0,12.0,7.0,4.0,62.3,19.7,11.5,6.6,10244
South Bowenfels,308.0,161.0,25.0,13.0,60.7,31.8,4.9,2.6,13578
Marrangaroo,153.0,73.0,20.0,7.0,60.5,28.9,7.9,2.8,12502
Lithgow,1134.0,649.0,114.0,176.0,54.7,31.3,5.5,8.5,12347
Bowenfels,294.0,203.0,42.0,98.0,46.2,31.9,6.6,15.4,10529
Rydal,49.0,22.0,6.0,3.0,61.2,27.5,7.5,3.8,13452
Pottery Estate,24.0,17.0,0.0,6.0,51.1,36.2,0.0,12.8,13254
Oakey Park,85.0,44.0,3.0,11.0,59.4,30.8,2.1,7.7,13055
Morts Estate,123.0,94.0,15.0,29.0,47.1,36.0,5.7,11.1,12732
Hermitage Flat,57.0,48.0,8.0,19.0,43.2,36.4,6.1,14.4,11895
McKellars Park,57.0,30.0,12.0,6.0,54.3,28.6,11.4,5.7,12544
South Littleton,74.0,42.0,3.0,11.0,56.9,32.3,2.3,8.5,13590
Littleton,202.0,123.0,31.0,14.0,54.6,33.2,8.4,3.8,12360
Vale Of Clwydd,89.0,71.0,7.0,25.0,46.4,37.0,3.6,13.0,14064
Portland (NSW),486.0,290.0,60.0,92.0,52.4,31.2,6.5,9.9,13250
Lidsdale,106.0,69.0,8.0,9.0,55.2,35.9,4.2,4.7,12318
Wallerawang,454.0,245.0,43.0,61.0,56.5,30.5,5.4,7.6,14114
Little Hartley,150.0,95.0,18.0,11.0,54.7,34.7,6.6,4.0,12352
Hartley (NSW),127.0,63.0,21.0,13.0,56.7,28.1,9.4,5.8,11861
Clarence,48.0,29.0,3.0,4.0,57.1,34.5,3.6,4.8,10919
Glen Davis,23.0,9.0,0.0,0.0,71.9,28.1,0.0,0.0,11646
Cullen Bullen,49.0,25.0,11.0,9.0,52.1,26.6,11.7,9.6,11148
Megalong Valley,33.0,29.0,3.0,4.0,47.8,42.0,4.3,5.8,12557
Kanimbla (NSW),41.0,15.0,3.0,4.0,65.1,23.8,4.8,6.3,12065
Capertee,28.0,23.0,8.0,3.0,45.2,37.1,12.9,4.8,10802
Running Stream,33.0,25.0,0.0,4.0,53.2,40.3,0.0,6.5,13441
Mudgee,2895.0,1500.0,251.0,285.0,58.7,30.4,5.1,5.8,12812
Putta Bucca,58.0,40.0,4.0,3.0,55.2,38.1,3.8,2.9,13278
Bombira,114.0,49.0,9.0,3.0,65.1,28.0,5.1,1.7,10457
Burrundulla,51.0,19.0,0.0,0.0,72.9,27.1,0.0,0.0,10717
Spring Flat,54.0,30.0,3.0,4.0,59.3,33.0,3.3,4.4,13613
Kandos,159.0,130.0,22.0,61.0,42.7,34.9,5.9,16.4,12057
Rylstone,209.0,113.0,15.0,30.0,56.9,30.8,4.1,8.2,13457
Ilford,30.0,28.0,6.0,6.0,42.9,40.0,8.6,8.6,11971
Clandulla,30.0,19.0,5.0,5.0,50.8,32.2,8.5,8.5,10916
Charbon,21.0,11.0,0.0,9.0,51.2,26.8,0.0,22.0,10883
Lue,45.0,34.0,3.0,4.0,52.3,39.5,3.5,4.7,12420
Gulgong,553.0,334.0,52.0,89.0,53.8,32.5,5.1,8.7,11794
Dunedoo,246.0,128.0,31.0,38.0,55.5,28.9,7.0,8.6,11316
Leadville,22.0,17.0,4.0,7.0,44.0,34.0,8.0,14.0,12290
Cassilis (NSW),97.0,46.0,7.0,6.0,62.2,29.5,4.5,3.8,10844
Tallawang,36.0,23.0,3.0,0.0,58.1,37.1,4.8,0.0,13731
Beryl,28.0,12.0,0.0,7.0,59.6,25.5,0.0,14.9,10327
Stubbo,60.0,25.0,4.0,3.0,65.2,27.2,4.3,3.3,13682
Cope,22.0,12.0,6.0,3.0,51.2,27.9,14.0,7.0,11057
Yarrawonga (NSW),90.0,39.0,16.0,15.0,56.2,24.4,10.0,9.4,14486
Piambong,48.0,29.0,4.0,0.0,59.3,35.8,4.9,0.0,13197
Cooks Gap,120.0,67.0,15.0,9.0,56.9,31.8,7.1,4.3,11018
Frog Rock,35.0,21.0,14.0,3.0,47.9,28.8,19.2,4.1,11570
Cooyal,28.0,21.0,3.0,3.0,50.9,38.2,5.5,5.5,11055
St Fillans,61.0,37.0,3.0,4.0,58.1,35.2,2.9,3.8,13634
Eurunderee,60.0,29.0,7.0,3.0,60.6,29.3,7.1,3.0,11467
Budgee Budgee (NSW),54.0,28.0,9.0,3.0,57.4,29.8,9.6,3.2,10641
Kains Flat,23.0,25.0,3.0,7.0,39.7,43.1,5.2,12.1,12049
Menah,42.0,24.0,3.0,0.0,60.9,34.8,4.3,0.0,12566
Grattai,74.0,52.0,13.0,12.0,49.0,34.4,8.6,7.9,11741
Hargraves,49.0,34.0,4.0,4.0,53.8,37.4,4.4,4.4,11854
Windeyer (NSW),26.0,21.0,0.0,15.0,41.9,33.9,0.0,24.2,14322
Bocoble,24.0,17.0,3.0,7.0,47.1,33.3,5.9,13.7,10432
Mount Frome,47.0,19.0,0.0,4.0,67.1,27.1,0.0,5.7,12760
Buckaroo,36.0,24.0,6.0,3.0,52.2,34.8,8.7,4.3,10630
Blayney,881.0,446.0,74.0,121.0,57.9,29.3,4.9,8.0,10410
Millthorpe,357.0,191.0,35.0,24.0,58.8,31.5,5.8,4.0,12623
Carcoar,69.0,36.0,9.0,8.0,56.6,29.5,7.4,6.6,10808
Lyndhurst (Blayney - NSW),99.0,52.0,10.0,11.0,57.6,30.2,5.8,6.4,12426
Forest Reefs,147.0,83.0,9.0,15.0,57.9,32.7,3.5,5.9,11547
Neville,78.0,41.0,6.0,6.0,59.5,31.3,4.6,4.6,12937
Barry (Blayney - NSW),39.0,22.0,4.0,3.0,57.4,32.4,5.9,4.4,10218
Newbridge (NSW),40.0,33.0,3.0,7.0,48.2,39.8,3.6,8.4,12948
Orange,10624.0,5105.0,906.0,1161.0,59.7,28.7,5.1,6.5,13092
Clifton Grove,263.0,144.0,21.0,21.0,58.6,32.1,4.7,4.7,10934
Cumnock,108.0,63.0,14.0,18.0,53.2,31.0,6.9,8.9,11159
Cudal,160.0,69.0,20.0,11.0,61.5,26.5,7.7,4.2,11140
Molong,692.0,329.0,57.0,44.0,61.7,29.3,5.1,3.9,12671
Manildra,210.0,99.0,26.0,19.0,59.3,28.0,7.3,5.4,12473
Cargo,187.0,76.0,9.0,10.0,66.3,27.0,3.2,3.5,10813
Spring Terrace,33.0,23.0,5.0,4.0,50.8,35.4,7.7,6.2,13620
Springside (NSW),100.0,55.0,7.0,8.0,58.8,32.4,4.1,4.7,13626
Spring Hill (Cabonne - NSW),149.0,64.0,16.0,4.0,63.9,27.5,6.9,1.7,13615
Guyong,32.0,22.0,4.0,3.0,52.5,36.1,6.6,4.9,11821
Emu Swamp,60.0,21.0,11.0,3.0,63.2,22.1,11.6,3.2,11419
Lewis Ponds,49.0,19.0,10.0,3.0,60.5,23.5,12.3,3.7,12312
Lucknow (NSW),98.0,56.0,9.0,3.0,59.0,33.7,5.4,1.8,12418
Spring Creek (NSW),50.0,10.0,10.0,0.0,71.4,14.3,14.3,0.0,13611
