,Worked full-time,Worked part-time,Away from work,Unemployed,Worked full-time (%),Worked part-time (%),Away from work (%),Unemployed (%),SSC_CODE
Lansvale,634.0,301.0,54.0,99.0,58.3,27.7,5.0,9.1,12275
Canley Vale,2175.0,1184.0,160.0,562.0,53.3,29.0,3.9,13.8,10792
Mount Pritchard,2294.0,1099.0,212.0,438.0,56.7,27.2,5.2,10.8,12785
Cabramatta West,1614.0,783.0,148.0,350.0,55.8,27.0,5.1,12.1,10741
Canley Heights,2515.0,1236.0,260.0,534.0,55.3,27.2,5.7,11.7,10791
Edensor Park,2657.0,1307.0,211.0,362.0,58.6,28.8,4.7,8.0,11377
Fairfield West,2606.0,1346.0,233.0,455.0,56.2,29.0,5.0,9.8,11480
Fairfield Heights,1327.0,730.0,130.0,292.0,53.5,29.4,5.2,11.8,11479
Greenfield Park,1194.0,608.0,120.0,179.0,56.8,28.9,5.7,8.5,11761
Prairiewood,777.0,368.0,61.0,110.0,59.0,28.0,4.6,8.4,13258
Horsley Park,528.0,249.0,54.0,30.0,61.3,28.9,6.3,3.5,11943
Mount Vernon,382.0,189.0,48.0,18.0,60.0,29.7,7.5,2.8,12796
Wetherill Park,1692.0,710.0,120.0,195.0,62.3,26.1,4.4,7.2,14264
Wakeley,1247.0,525.0,91.0,158.0,61.7,26.0,4.5,7.8,14089
St Johns Park,1590.0,662.0,123.0,223.0,61.2,25.5,4.7,8.6,13641
Casula,4249.0,1963.0,387.0,535.0,59.6,27.5,5.4,7.5,10852
Moorebank,3125.0,1166.0,237.0,240.0,65.5,24.5,5.0,5.0,12712
Chipping Norton,2861.0,1205.0,196.0,228.0,63.7,26.8,4.4,5.1,10908
Voyager Point,646.0,221.0,46.0,37.0,68.0,23.3,4.8,3.9,14079
Wattle Grove (NSW),3234.0,1322.0,220.0,196.0,65.0,26.6,4.4,3.9,14192
Hammondville,1005.0,393.0,73.0,78.0,64.9,25.4,4.7,5.0,11844
Sandy Point (NSW),224.0,95.0,9.0,16.0,65.1,27.6,2.6,4.7,13487
Pleasure Point,213.0,70.0,18.0,5.0,69.6,22.9,5.9,1.6,13229
Liverpool,5504.0,2485.0,506.0,1099.0,57.4,25.9,5.3,11.5,12361
Warwick Farm,1299.0,524.0,132.0,314.0,57.2,23.1,5.8,13.8,14177
Cartwright,349.0,206.0,58.0,107.0,48.5,28.6,8.1,14.9,10838
Lurnea,1772.0,834.0,206.0,349.0,56.1,26.4,6.5,11.0,12422
Prestons,4784.0,1830.0,331.0,460.0,64.6,24.7,4.5,6.2,13260
Gymea Bay,2128.0,1268.0,169.0,110.0,57.9,34.5,4.6,3.0,11827
Gymea,2640.0,1144.0,195.0,160.0,63.8,27.6,4.7,3.9,11826
Grays Point,1033.0,595.0,75.0,58.0,58.7,33.8,4.3,3.3,11743
