,Personal,Family,Household,Personal (%),Family (%),Household (%)
Miranda (NSW),630.0,1609.0,1294.0,--,--,--
Mona Vale,719.0,2018.0,1686.0,--,--,--
Monterey,602.0,1586.0,1294.0,--,--,--
Moorebank,630.0,1542.0,1434.0,--,--,--
Mortdale,673.0,1695.0,1392.0,--,--,--
Mortlake (NSW),1059.0,2379.0,2050.0,--,--,--
Mosman,1117.0,2838.0,2465.0,--,--,--
Mount Annan,784.0,2053.0,1984.0,--,--,--
Mount Colah,710.0,2192.0,1994.0,--,--,--
Mount Druitt,428.0,1099.0,1049.0,--,--,--
Mount Hutton (NSW),500.0,1315.0,1013.0,--,--,--
Mount Keira,648.0,2009.0,1630.0,--,--,--
Mount Kembla,678.0,2095.0,1781.0,--,--,--
Mount Lewis,347.0,1024.0,979.0,--,--,--
Mount Ousley,569.0,1685.0,1530.0,--,--,--
Mount Pleasant (NSW),728.0,2220.0,1865.0,--,--,--
Mount Pritchard,389.0,1056.0,966.0,--,--,--
Mount Riverview,696.0,1896.0,1720.0,--,--,--
Mount Saint Thomas,524.0,1644.0,1173.0,--,--,--
Mount Warrigal,405.0,1163.0,1019.0,--,--,--
Narara,558.0,1456.0,1294.0,--,--,--
Narellan,600.0,1582.0,1373.0,--,--,--
Narellan Vale,723.0,1839.0,1768.0,--,--,--
Naremburn,1165.0,2795.0,2524.0,--,--,--
Narrabeen,774.0,1846.0,1331.0,--,--,--
Narraweena,542.0,1617.0,1224.0,--,--,--
Narwee,456.0,1247.0,1013.0,--,--,--
Neutral Bay,1213.0,2701.0,2073.0,--,--,--
New Lambton,613.0,1704.0,1206.0,--,--,--
New Lambton Heights,798.0,2388.0,2120.0,--,--,--
Newcastle,940.0,2173.0,1750.0,--,--,--
Newcastle East,636.0,2074.0,1168.0,--,--,--
Newcastle West,778.0,1600.0,1200.0,--,--,--
Newington (NSW),941.0,2254.0,2184.0,--,--,--
Newport (NSW),788.0,2190.0,1778.0,--,--,--
Newtown (NSW),933.0,2368.0,1753.0,--,--,--
Niagara Park,550.0,1419.0,1231.0,--,--,--
Norah Head,493.0,1297.0,1062.0,--,--,--
Noraville,477.0,1151.0,902.0,--,--,--
Normanhurst,637.0,2274.0,1775.0,--,--,--
North Avoca,783.0,2089.0,1791.0,--,--,--
North Balgowlah,788.0,2625.0,2438.0,--,--,--
North Bondi,1028.0,2608.0,2119.0,--,--,--
North Curl Curl,772.0,2458.0,2234.0,--,--,--
North Epping,698.0,2484.0,2038.0,--,--,--
North Gosford,536.0,1333.0,1053.0,--,--,--
North Lambton,460.0,1300.0,1061.0,--,--,--
North Manly,727.0,2203.0,1904.0,--,--,--
North Narrabeen,729.0,1966.0,1793.0,--,--,--
North Parramatta,611.0,1494.0,1277.0,--,--,--
North Rocks,678.0,2004.0,1891.0,--,--,--
North Ryde,579.0,1917.0,1604.0,--,--,--
North St Marys,406.0,1039.0,944.0,--,--,--
North Strathfield,717.0,1779.0,1590.0,--,--,--
North Sydney,1146.0,2635.0,1926.0,--,--,--
North Turramurra,710.0,2179.0,1632.0,--,--,--
North Wahroonga,796.0,2669.0,2519.0,--,--,--
North Willoughby,752.0,2224.0,1742.0,--,--,--
North Wollongong,345.0,1491.0,1028.0,--,--,--
Northbridge (NSW),1040.0,2840.0,2628.0,--,--,--
Northmead,702.0,1747.0,1389.0,--,--,--
Northwood (NSW),1100.0,3100.0,2918.0,--,--,--
Oak Flats,474.0,1304.0,1091.0,--,--,--
Oakhurst (NSW),631.0,1593.0,1596.0,--,--,--
Oatlands (NSW),623.0,1862.0,1666.0,--,--,--
Oatley,744.0,2199.0,1825.0,--,--,--
Old Guildford,366.0,1035.0,1076.0,--,--,--
Old Toongabbie,655.0,1786.0,1595.0,--,--,--
Ourimbah,589.0,1583.0,1341.0,--,--,--
Oxley Park,513.0,1220.0,1108.0,--,--,--
Oyster Bay,753.0,2396.0,2176.0,--,--,--
Paddington (NSW),1225.0,2895.0,2290.0,--,--,--
Padstow,553.0,1501.0,1272.0,--,--,--
Padstow Heights,572.0,1677.0,1415.0,--,--,--
Pagewood,579.0,1878.0,1472.0,--,--,--
Palm Beach (NSW),890.0,2224.0,1865.0,--,--,--
