,Median rent,Households where rent payments are less than 30% of household income,Households with rent payments greater than or equal to 30% of household income,Median rent (%),Households where rent payments are less than 30% of household income (%),Households with rent payments greater than or equal to 30% of household income (%),SSC_CODE
Bucca (NSW),333.0,--,--,--,91.7,8.3,10625
Karangi,275.0,--,--,--,90.0,10.0,12072
Ulong,240.0,--,--,--,90.5,9.5,14005
Lowanna,200.0,--,--,--,96.9,3.1,12398
Dorrigo,225.0,--,--,--,89.3,10.7,11278
Deer Vale,245.0,--,--,--,86.2,13.8,11232
Fernbrook,243.0,--,--,--,100.0,0.0,11506
Hernani,12.0,--,--,--,100.0,0.0,11896
Bostobrick,200.0,--,--,--,87.5,12.5,10516
Sapphire Beach,410.0,--,--,--,90.1,9.9,13491
Emerald Beach,360.0,--,--,--,92.9,7.1,11411
Korora,375.0,--,--,--,89.7,10.3,12197
Moonee Beach,375.0,--,--,--,93.5,6.5,12703
Toormina,280.0,--,--,--,82.2,17.8,13912
Boambee East,350.0,--,--,--,89.0,11.0,10422
Boambee,255.0,--,--,--,93.6,6.4,10421
Sawtell,320.0,--,--,--,83.9,16.1,13498
Bonville,370.0,--,--,--,95.7,4.3,10474
Bundagen,33.0,--,--,--,93.5,6.5,10669
Raleigh,280.0,--,--,--,94.0,6.0,13307
Urunga,273.0,--,--,--,86.5,13.5,14061
Repton,318.0,--,--,--,95.3,4.7,13352
Valla,270.0,--,--,--,97.3,2.7,14067
Woolgoolga,300.0,--,--,--,85.7,14.3,14402
Safety Beach (NSW),380.0,--,--,--,94.9,5.1,13462
Sandy Beach,335.0,--,--,--,88.6,11.4,13479
Red Rock,270.0,--,--,--,85.8,14.2,13334
Arrawarra,220.0,--,--,--,93.4,6.6,10088
Arrawarra Headland,320.0,--,--,--,90.5,9.5,10089
Mullaway,320.0,--,--,--,86.4,13.6,12822
Wanaaring,45.0,--,--,--,100.0,0.0,14126
North Bourke,99.0,--,--,--,100.0,0.0,12985
Brewarrina,90.0,--,--,--,91.4,8.6,10563
Cobar,170.0,--,--,--,93.8,6.2,10949
Coonamble,178.0,--,--,--,92.1,7.9,11044
Gulargambone,141.0,--,--,--,89.0,11.0,11792
Quambone,5.0,--,--,--,100.0,0.0,13287
Nyngan,175.0,--,--,--,93.3,6.7,13049
Ravenswood (NSW),150.0,--,--,--,88.7,11.3,13321
Goodooga,120.0,--,--,--,79.7,20.3,11702
Pilliga,160.0,--,--,--,87.3,12.7,13205
Come By Chance,13.0,--,--,--,100.0,0.0,10993
Walgett,150.0,--,--,--,88.4,11.6,14096
Burren Junction,9.0,--,--,--,100.0,0.0,10710
Lightning Ridge,150.0,--,--,--,91.1,8.9,12320
Collarenebri,132.0,--,--,--,91.4,8.6,10969
Broken Hill,189.0,--,--,--,93.1,6.9,10592
Menindee,100.0,--,--,--,93.6,6.4,12571
Wilcannia,110.0,--,--,--,95.4,4.6,14290
Ivanhoe (NSW),40.0,--,--,--,96.2,3.8,11991
Baradine,140.0,--,--,--,94.7,5.3,10190
Coonabarabran,180.0,--,--,--,90.9,9.1,11043
Binnaway,125.0,--,--,--,97.0,3.0,10372
Mendooran,150.0,--,--,--,97.0,3.0,12570
Coolah,150.0,--,--,--,94.0,6.0,11024
Tambar Springs,120.0,--,--,--,95.7,4.3,13743
Dubbo,265.0,--,--,--,89.4,10.6,11296
Brocklehurst,230.0,--,--,--,96.3,3.7,10583
Wongarbon,260.0,--,--,--,95.2,4.8,14373
Elong Elong,205.0,--,--,--,100.0,0.0,11406
Eumungerie,130.0,--,--,--,96.6,3.4,11456
Gilgandra,174.0,--,--,--,91.0,9.0,11619
Narromine,210.0,--,--,--,89.5,10.5,12911
Tomingley,116.0,--,--,--,100.0,0.0,13896
Wellington (NSW),180.0,--,--,--,87.1,12.9,14221
Mumbil,120.0,--,--,--,94.8,5.2,12832
Stuart Town,38.0,--,--,--,100.0,0.0,13680
Euchareena,163.0,--,--,--,92.5,7.5,11452
Mount Arthur,265.0,--,--,--,93.1,6.9,12747
Maryvale (NSW),220.0,--,--,--,95.2,4.8,12517
Montefiores,250.0,--,--,--,93.8,6.2,12685
Greta (NSW),320.0,--,--,--,91.7,8.3,11778
Branxton,300.0,--,--,--,92.6,7.4,10549
Lovedale,340.0,--,--,--,97.4,2.6,12396
East Branxton,330.0,--,--,--,88.9,11.1,11346
North Rothbury,340.0,--,--,--,92.0,8.0,13004
Leconfield,254.0,--,--,--,100.0,0.0,12291
Cessnock,280.0,--,--,--,83.8,16.2,10878
Nulkaba,330.0,--,--,--,96.0,4.0,13031
Aberdare,270.0,--,--,--,84.6,15.4,10006
Kearsley,280.0,--,--,--,92.6,7.4,12080
Bellbird Heights,310.0,--,--,--,93.2,6.8,10269
Ellalong,300.0,--,--,--,92.8,7.2,11398
Kitchener,290.0,--,--,--,95.2,4.8,12174
Abernethy,300.0,--,--,--,95.3,4.7,10011
Mulbring,300.0,--,--,--,98.5,1.5,12813
Buchanan (NSW),200.0,--,--,--,95.0,5.0,10628
Millfield,270.0,--,--,--,97.0,3.0,12620
Paxton,273.0,--,--,--,92.4,7.6,13162
Black Hill (NSW),350.0,--,--,--,96.9,3.1,10385
Mount Vincent,198.0,--,--,--,97.5,2.5,12799
Brunkerville,236.0,--,--,--,88.2,11.8,10620
Quorrobolong,320.0,--,--,--,98.1,1.9,13302
Laguna,275.0,--,--,--,95.4,4.6,12237
Wollombi,235.0,--,--,--,95.7,4.3,14355
Clarence Town,280.0,--,--,--,96.2,3.8,10920
Dungog,241.0,--,--,--,89.1,10.9,11320
Bendolba,258.0,--,--,--,80.9,19.1,10291
Paterson (NSW),270.0,--,--,--,97.2,2.8,13159
Martins Creek,280.0,--,--,--,93.2,6.8,12511
Vacy,210.0,--,--,--,97.6,2.4,14063
East Gresford,200.0,--,--,--,89.1,10.9,11350
Gresford,205.0,--,--,--,96.8,3.2,11777
Glen Oak,110.0,--,--,--,97.0,3.0,11652
Glen William,230.0,--,--,--,92.3,7.7,11654
Brookfield (NSW),103.0,--,--,--,95.5,4.5,10596
Abermain,280.0,--,--,--,91.9,8.1,10010
Weston (NSW),240.0,--,--,--,89.3,10.7,14262
Stanford Merthyr,270.0,--,--,--,95.1,4.9,13647
Pelaw Main,260.0,--,--,--,85.5,14.5,13177
Neath,220.0,--,--,--,93.1,6.9,12917
Cliftleigh,380.0,--,--,--,74.3,25.7,10932
Sawyers Gully,430.0,--,--,--,97.3,2.7,13499
Hunterview,320.0,--,--,--,92.5,7.5,11955
Redbournberry,330.0,--,--,--,100.0,0.0,13337
Singleton (NSW),260.0,--,--,--,88.6,11.4,13549
Whittingham,180.0,--,--,--,97.5,2.5,14279
Glenridding,185.0,--,--,--,95.6,4.4,11676
Singleton Heights,280.0,--,--,--,88.0,12.0,13550
Wattle Ponds,450.0,--,--,--,99.1,0.9,14193
McDougalls Hill,213.0,--,--,--,94.5,5.5,12541
Darlington (Singleton - NSW),270.0,--,--,--,91.2,8.8,11213
Broke (NSW),350.0,--,--,--,94.8,5.2,10590
Bulga (NSW),325.0,--,--,--,92.5,7.5,10651
Jerrys Plains,113.0,--,--,--,95.2,4.8,12021
Maison Dieu,260.0,--,--,--,93.8,6.2,12448
Bridgman,351.0,--,--,--,100.0,0.0,10567
Reedy Creek (NSW),201.0,--,--,--,100.0,0.0,13342
Glendon,250.0,--,--,--,91.7,8.3,11660
Elderslie (Singleton - NSW),108.0,--,--,--,100.0,0.0,11392
Lambs Valley (Singleton - NSW),350.0,--,--,--,96.2,3.8,12263
Stanhope (NSW),303.0,--,--,--,100.0,0.0,13648
Glendon Brook,225.0,--,--,--,96.1,3.9,11661
Maitland (NSW),280.0,--,--,--,81.5,18.5,12449
South Maitland,200.0,--,--,--,82.5,17.5,13591
Gillieston Heights,395.0,--,--,--,90.5,9.5,11624
Metford,300.0,--,--,--,86.1,13.9,12592
Tenambit,260.0,--,--,--,88.0,12.0,13787
Raworth,400.0,--,--,--,90.0,10.0,13325
Morpeth,310.0,--,--,--,92.4,7.6,12727
Ashtonfield,380.0,--,--,--,93.1,6.9,10102
Chisholm (NSW),463.0,--,--,--,96.2,3.8,10909
Bolwarra Heights,390.0,--,--,--,96.2,3.8,10451
Lorn,320.0,--,--,--,93.0,7.0,12389
Bolwarra (NSW),350.0,--,--,--,94.7,5.3,10450
Woodville (NSW),240.0,--,--,--,97.2,2.8,14398
Rutherford,310.0,--,--,--,84.0,16.0,13449
Aberglasslyn,380.0,--,--,--,90.1,9.9,10009
Luskintyre,90.0,--,--,--,94.7,5.3,12423
Lochinvar,290.0,--,--,--,94.3,5.7,12368
Telarah,263.0,--,--,--,84.5,15.5,13780
Farley,335.0,--,--,--,93.9,6.1,11490
Thornton (NSW),330.0,--,--,--,94.1,5.9,13851
Millers Forest,320.0,--,--,--,95.5,4.5,12618
Anna Bay,350.0,--,--,--,90.7,9.3,10060
Boat Harbour (Port Stephens - NSW),400.0,--,--,--,91.1,8.9,10425
Bobs Farm,235.0,--,--,--,100.0,0.0,10429
One Mile (NSW),300.0,--,--,--,97.2,2.8,13085
Lemon Tree Passage,325.0,--,--,--,86.1,13.9,12300
Mallabula,300.0,--,--,--,86.3,13.7,12455
Tanilba Bay,320.0,--,--,--,86.3,13.7,13748
Salamander Bay,340.0,--,--,--,88.4,11.6,13463
Soldiers Point,350.0,--,--,--,88.1,11.9,13570
Taylors Beach (NSW),300.0,--,--,--,90.2,9.8,13777
Nelson Bay (NSW),320.0,--,--,--,84.3,15.7,12923
Fingal Bay,335.0,--,--,--,87.0,13.0,11518
Shoal Bay (NSW),300.0,--,--,--,82.0,18.0,13539
Raymond Terrace,270.0,--,--,--,83.6,16.4,13327
Tomago,221.0,--,--,--,84.8,15.2,13889
Heatherbrae,268.0,--,--,--,88.4,11.6,11884
Duns Creek,350.0,--,--,--,97.6,2.4,11326
Seaham,400.0,--,--,--,96.3,3.7,13510
Wallalong,340.0,--,--,--,99.0,1.0,14104
Hinton,300.0,--,--,--,97.9,2.1,11916
Butterwick,0.0,--,--,--,93.5,6.5,10725
Tea Gardens,300.0,--,--,--,93.1,6.9,13779
North Arm Cove,300.0,--,--,--,93.0,7.0,12979
Bundabah,285.0,--,--,--,87.8,12.2,10668
Pindimar,310.0,--,--,--,94.6,5.4,13211
Hawks Nest,280.0,--,--,--,80.5,19.5,11873
Karuah,240.0,--,--,--,91.8,8.2,12076
Medowie,350.0,--,--,--,93.9,6.1,12554
Salt Ash,300.0,--,--,--,96.2,3.8,13467
Williamtown,243.0,--,--,--,92.5,7.5,14299
Twelve Mile Creek,225.0,--,--,--,77.3,22.7,13988
Muswellbrook,250.0,--,--,--,85.0,15.0,12868
Denman,260.0,--,--,--,91.8,8.2,11241
Martindale,220.0,--,--,--,94.2,5.8,12510
Castle Rock,230.0,--,--,--,94.0,6.0,10848
Aberdeen (NSW),240.0,--,--,--,92.1,7.9,10007
Wybong,210.0,--,--,--,80.0,20.0,14436
Sandy Hollow,205.0,--,--,--,87.5,12.5,13486
Scone,250.0,--,--,--,90.4,9.6,13503
Middle Brook,302.0,--,--,--,100.0,0.0,12600
Murrurundi,190.0,--,--,--,91.5,8.5,12864
Blandford,80.0,--,--,--,96.2,3.8,10406
Wingen,235.0,--,--,--,92.2,7.8,14331
Parkville (NSW),250.0,--,--,--,97.0,3.0,13154
Merriwa (NSW),175.0,--,--,--,92.6,7.4,12585
Dapto,340.0,--,--,--,89.6,10.4,11202
Kanahooka,378.0,--,--,--,95.6,4.4,12055
Koonawarra,300.0,--,--,--,83.5,16.5,12187
Avondale (NSW),212.0,--,--,--,89.8,10.2,10116
Marshall Mount,250.0,--,--,--,93.0,7.0,12507
Haywards Bay,520.0,--,--,--,99.0,1.0,11880
Brownsville,265.0,--,--,--,76.5,23.5,10612
Horsley,410.0,--,--,--,93.9,6.1,11942
Kembla Grange,346.0,--,--,--,92.2,7.8,12092
Port Kembla,270.0,--,--,--,85.3,14.7,13245
Coniston,295.0,--,--,--,82.8,17.2,11010
Unanderra,217.0,--,--,--,84.7,15.3,14008
Mount Kembla,400.0,--,--,--,97.9,2.1,12769
Kembla Heights,300.0,--,--,--,71.9,28.1,12093
Cordeaux Heights,450.0,--,--,--,97.6,2.4,11070
Farmborough Heights,380.0,--,--,--,95.7,4.3,11491
Berkeley,230.0,--,--,--,86.0,14.0,10303
Lake Heights,323.0,--,--,--,86.4,13.6,12248
Warrawong,215.0,--,--,--,75.9,24.1,14167
Windang,270.0,--,--,--,88.4,11.6,14316
Primbee,263.0,--,--,--,86.9,13.1,13264
Mount Keira,320.0,--,--,--,94.2,5.8,12768
Bulli,318.0,--,--,--,91.5,8.5,10662
Bargo,360.0,--,--,--,93.4,6.6,10198
Yerrinbool,370.0,--,--,--,93.7,6.3,14510
Wilton (NSW),550.0,--,--,--,96.8,3.2,14311
Pheasants Nest,488.0,--,--,--,95.2,4.8,13191
Albion Park,385.0,--,--,--,93.2,6.8,10025
Calderwood,250.0,--,--,--,94.2,5.8,10750
Tullimbar,450.0,--,--,--,92.6,7.4,13958
Yellow Rock (Shellharbour - NSW),503.0,--,--,--,100.0,0.0,14503
Albion Park Rail,320.0,--,--,--,88.6,11.4,10026
Kiama,388.0,--,--,--,89.5,10.5,12116
Kiama Heights,420.0,--,--,--,92.1,7.9,12118
Bombo,365.0,--,--,--,76.7,23.3,10458
Kiama Downs,400.0,--,--,--,94.4,5.6,12117
Minnamurra,390.0,--,--,--,93.5,6.5,12639
Gerringong,410.0,--,--,--,92.9,7.1,11606
Jamberoo,312.0,--,--,--,96.4,3.6,11998
Werri Beach,365.0,--,--,--,91.3,8.7,14233
Gerroa,410.0,--,--,--,89.4,10.6,11607
Toolijooa,490.0,--,--,--,100.0,0.0,13903
Foxground,335.0,--,--,--,94.3,5.7,11558
Flinders (NSW),435.0,--,--,--,91.0,9.0,11534
Shellharbour,350.0,--,--,--,85.2,14.8,13533
Shell Cove,550.0,--,--,--,94.6,5.4,13532
Barrack Point,340.0,--,--,--,89.9,10.1,10208
Oak Flats,350.0,--,--,--,90.3,9.7,13053
Blackbutt (NSW),370.0,--,--,--,87.6,12.4,10391
Shellharbour City Centre,108.0,--,--,--,95.4,4.6,13534
Warilla,265.0,--,--,--,81.8,18.2,14151
Lake Illawarra,280.0,--,--,--,75.4,24.6,12250
Barrack Heights,320.0,--,--,--,85.4,14.6,10207
Mount Warrigal,350.0,--,--,--,89.6,10.4,12801
Fairy Meadow,340.0,--,--,--,79.7,20.3,11484
Balgownie,375.0,--,--,--,93.1,6.9,10155
Gwynneville,310.0,--,--,--,68.3,31.7,11825
North Wollongong,350.0,--,--,--,72.8,27.2,13017
Mount Ousley,420.0,--,--,--,95.3,4.7,12782
Mount Pleasant (NSW),530.0,--,--,--,97.8,2.2,12784
Tarrawanna,258.0,--,--,--,88.3,11.7,13769
Corrimal,310.0,--,--,--,86.8,13.2,11082
Towradgi,293.0,--,--,--,87.6,12.4,13929
Fernhill,168.0,--,--,--,77.3,22.7,11507
East Corrimal,300.0,--,--,--,82.6,17.4,11348
Bellambi,215.0,--,--,--,77.9,22.1,10264
West Wollongong,325.0,--,--,--,82.3,17.7,14255
Keiraville,355.0,--,--,--,82.3,17.7,12085
Helensburgh,475.0,--,--,--,95.2,4.8,11890
Otford,490.0,--,--,--,97.3,2.7,13101
Stanwell Park,445.0,--,--,--,95.7,4.3,13653
Stanwell Tops,400.0,--,--,--,97.3,2.7,13654
Thirroul,433.0,--,--,--,93.8,6.2,13848
Austinmer,473.0,--,--,--,92.8,7.2,10108
Coledale,500.0,--,--,--,93.0,7.0,10966
Wombarra,495.0,--,--,--,95.0,5.0,14363
Scarborough (NSW),430.0,--,--,--,94.6,5.4,13500
Coalcliff,460.0,--,--,--,100.0,0.0,10944
Woonona,320.0,--,--,--,90.0,10.0,14416
Russell Vale,350.0,--,--,--,92.1,7.9,13448
Wollongong,350.0,--,--,--,74.7,25.3,14358
Mount Saint Thomas,225.0,--,--,--,92.4,7.6,12791
Mangerton,285.0,--,--,--,88.1,11.9,12468
Bulahdelah,220.0,--,--,--,91.2,8.8,10649
Wards River,230.0,--,--,--,83.3,16.7,14147
Stroud Road,205.0,--,--,--,91.9,8.1,13679
Nerong,245.0,--,--,--,94.1,5.9,12929
Allworth,230.0,--,--,--,95.2,4.8,10041
Bunyah,160.0,--,--,--,94.3,5.7,10690
Markwell,140.0,--,--,--,100.0,0.0,12493
Limeburners Creek (Mid-Coast - NSW),200.0,--,--,--,97.2,2.8,12328
Forster (NSW),280.0,--,--,--,85.5,14.5,11550
Darawank,285.0,--,--,--,94.1,5.9,11203
Tarbuck Bay,225.0,--,--,--,95.9,4.1,13762
Nabiac,288.0,--,--,--,90.3,9.7,12885
Failford,310.0,--,--,--,94.2,5.8,11476
Smiths Lake,300.0,--,--,--,90.4,9.6,13563
Bungwahl,205.0,--,--,--,94.3,5.7,10687
Charlotte Bay,305.0,--,--,--,93.9,6.1,10887
Wootton,250.0,--,--,--,93.3,6.7,14417
Coolongolook,245.0,--,--,--,93.1,6.9,11032
Minimbah,150.0,--,--,--,95.2,4.8,12636
Blueys Beach,315.0,--,--,--,88.1,11.9,10420
Tuncurry,250.0,--,--,--,84.8,15.2,13969
South Kempsey,220.0,--,--,--,87.6,12.4,13588
West Kempsey,230.0,--,--,--,80.4,19.6,14247
Kempsey,213.0,--,--,--,73.9,26.1,12095
Frederickton,250.0,--,--,--,88.5,11.5,11561
Aldavilla,250.0,--,--,--,98.4,1.6,10028
Dondingalong,280.0,--,--,--,97.5,2.5,11272
Greenhill (NSW),210.0,--,--,--,83.9,16.1,11763
East Kempsey,260.0,--,--,--,84.4,15.6,11354
Verges Creek,240.0,--,--,--,94.7,5.3,14072
Yarravel,245.0,--,--,--,96.3,3.7,14483
Stuarts Point,220.0,--,--,--,84.9,15.1,13681
Yarrahapinni,230.0,--,--,--,93.8,6.2,14474
Hat Head,230.0,--,--,--,89.1,10.9,11869
Kinchela,228.0,--,--,--,95.8,4.2,12140
Gladstone (NSW),290.0,--,--,--,93.2,6.8,11639
Smithtown,260.0,--,--,--,91.5,8.5,13564
Temagog,200.0,--,--,--,96.8,3.2,13783
Millbank (NSW),110.0,--,--,--,92.9,7.1,12616
Austral Eden,285.0,--,--,--,93.8,6.2,10110
Crescent Head,250.0,--,--,--,88.6,11.4,11114
Fishermans Reach,200.0,--,--,--,82.3,17.7,11524
Bellimbopinni,245.0,--,--,--,100.0,0.0,10272
Sherwood (Kempsey - NSW),178.0,--,--,--,100.0,0.0,13537
Bellbrook,150.0,--,--,--,88.2,11.8,10270
North Macksville,253.0,--,--,--,93.9,6.1,12995
Scotts Head,275.0,--,--,--,87.8,12.2,13508
Gumma,290.0,--,--,--,98.0,2.0,11801
Nambucca Heads,240.0,--,--,--,82.9,17.1,12887
Hyland Park,300.0,--,--,--,84.6,15.4,11968
Bowraville,210.0,--,--,--,87.7,12.3,10537
Valla Beach,315.0,--,--,--,91.8,8.2,14068
South Arm (Nambucca - NSW),150.0,--,--,--,89.4,10.6,13575
Congarinni North,230.0,--,--,--,97.4,2.6,11006
Talarm,225.0,--,--,--,96.4,3.6,13728
Warrell Creek,175.0,--,--,--,95.3,4.7,14170
Eungai Creek,250.0,--,--,--,95.7,4.3,11458
Eungai Rail,260.0,--,--,--,90.9,9.1,11459
Yarranbella,145.0,--,--,--,94.1,5.9,14478
Argents Hill,175.0,--,--,--,94.1,5.9,10079
South West Rocks,275.0,--,--,--,87.4,12.6,13600
Lord Howe Island,220.0,--,--,--,94.9,5.1,12387
Lake Cathie,330.0,--,--,--,89.7,10.3,12243
Bonny Hills,375.0,--,--,--,92.9,7.1,10470
North Haven (NSW),263.0,--,--,--,81.1,18.9,12992
Kendall,311.0,--,--,--,92.9,7.1,12096
West Haven,340.0,--,--,--,95.7,4.3,14245
Laurieton,250.0,--,--,--,86.4,13.6,12283
Herons Creek,200.0,--,--,--,89.0,11.0,11897
Upsalls Creek,285.0,--,--,--,100.0,0.0,14049
Lakewood,328.0,--,--,--,90.8,9.2,12259
Dunbogan,290.0,--,--,--,91.7,8.3,11310
Camden Head,340.0,--,--,--,85.7,14.3,10771
Port Macquarie,325.0,--,--,--,86.2,13.8,13246
Lake Innes,395.0,--,--,--,89.4,10.6,12251
Fernbank Creek,221.0,--,--,--,90.9,9.1,11505
North Shore (NSW),350.0,--,--,--,89.1,10.9,13006
Telegraph Point,310.0,--,--,--,93.6,6.4,13781
Blackmans Point,227.0,--,--,--,93.7,6.3,10395
Cooperabung,225.0,--,--,--,95.5,4.5,11046
Pembrooke,320.0,--,--,--,91.9,8.1,13180
Frazers Creek,50.0,--,--,--,95.3,4.7,11560
Mortons Creek,280.0,--,--,--,96.6,3.4,12731
Long Flat (NSW),278.0,--,--,--,89.1,10.9,12377
Byabarra,200.0,--,--,--,96.2,3.8,10727
Ellenborough,250.0,--,--,--,92.5,7.5,11401
Comboyne,200.0,--,--,--,93.1,6.9,10992
Wauchope,290.0,--,--,--,84.5,15.5,14197
Yippin Creek,300.0,--,--,--,95.6,4.4,14515
Rosewood (Port Macquarie-Hastings - NSW),275.0,--,--,--,95.7,4.3,13414
Beechwood,270.0,--,--,--,92.8,7.2,10248
Redbank (NSW),250.0,--,--,--,97.5,2.5,13336
Crosslands,380.0,--,--,--,90.6,9.4,11127
King Creek,368.0,--,--,--,99.0,1.0,12145
Sancrox,220.0,--,--,--,96.8,3.2,13471
Gloucester,240.0,--,--,--,88.2,11.8,11685
Craven,205.0,--,--,--,92.5,7.5,11107
Forbesdale,265.0,--,--,--,92.3,7.7,11539
Barrington (NSW),233.0,--,--,--,96.4,3.6,10216
Diamond Beach,298.0,--,--,--,87.0,13.0,11251
Manning Point,150.0,--,--,--,91.3,8.7,12478
Mitchells Island,241.0,--,--,--,93.6,6.4,12652
Oxley Island,200.0,--,--,--,93.8,6.2,13109
Old Bar,294.0,--,--,--,86.6,13.4,13073
Black Head,300.0,--,--,--,94.2,5.8,10384
Red Head,360.0,--,--,--,91.8,8.2,13329
Rainbow Flat,400.0,--,--,--,95.7,4.3,13305
Hallidays Point,245.0,--,--,--,97.9,2.1,11832
Wallabi Point,350.0,--,--,--,92.9,7.1,14099
Tallwoods Village,380.0,--,--,--,95.9,4.1,13737
Taree,240.0,--,--,--,80.7,19.3,13764
Cundletown,285.0,--,--,--,90.1,9.9,11161
Taree South,220.0,--,--,--,90.8,9.2,13765
Pampoolah,255.0,--,--,--,92.4,7.6,13142
Glenthorne,305.0,--,--,--,89.5,10.5,11680
Tinonee,255.0,--,--,--,91.8,8.2,13876
Harrington,280.0,--,--,--,87.7,12.3,11858
Wherrol Flat,205.0,--,--,--,94.2,5.8,14271
Moorland (NSW),200.0,--,--,--,94.8,5.2,12714
Cedar Party,190.0,--,--,--,96.9,3.1,10870
Marlee,183.0,--,--,--,100.0,0.0,12494
Elands,110.0,--,--,--,91.7,8.3,11388
Bobin,142.0,--,--,--,92.9,7.1,10427
Mount George (NSW),210.0,--,--,--,90.3,9.7,12761
Burrell Creek,290.0,--,--,--,91.4,8.6,10709
Bootawa,100.0,--,--,--,94.9,5.1,10504
Mondrook,160.0,--,--,--,100.0,0.0,12676
Belbora,220.0,--,--,--,90.2,9.8,10256
Possum Brush,260.0,--,--,--,81.4,18.6,13251
Firefly,270.0,--,--,--,92.2,7.8,11521
Coralville,200.0,--,--,--,92.9,7.1,11064
East Albury,250.0,--,--,--,89.5,10.5,11344
Wirlinga,228.0,--,--,--,100.0,0.0,14337
North Albury,205.0,--,--,--,85.0,15.0,12977
Lavington,210.0,--,--,--,83.4,16.6,12287
Glenroy (Albury - NSW),288.0,--,--,--,92.6,7.4,11678
Hamilton Valley,315.0,--,--,--,88.0,12.0,11842
Albury,240.0,--,--,--,88.1,11.9,10027
South Albury,167.0,--,--,--,79.8,20.2,13573
West Albury,230.0,--,--,--,88.3,11.7,14239
Jindera,275.0,--,--,--,96.1,3.9,12032
Holbrook,180.0,--,--,--,92.3,7.7,11920
Table Top,200.0,--,--,--,99.3,0.7,13722
Gerogery,185.0,--,--,--,98.3,1.7,11605
Brocklesby,100.0,--,--,--,95.2,4.8,10584
Walla Walla,160.0,--,--,--,95.5,4.5,14097
Burrumbuttock,150.0,--,--,--,97.5,2.5,10716
Walbundrie,0.0,--,--,--,94.4,5.6,14092
Morven (Greater Hume Shire - NSW),155.0,--,--,--,100.0,0.0,12737
Culcairn,180.0,--,--,--,96.6,3.4,11147
Henty (NSW),150.0,--,--,--,92.8,7.2,11892
Springdale Heights,230.0,--,--,--,85.5,14.5,13622
Hay (NSW),150.0,--,--,--,91.7,8.3,11874
Hay South,139.0,--,--,--,93.9,6.1,11875
Gol Gol,205.0,--,--,--,94.7,5.3,11693
Buronga,190.0,--,--,--,91.1,8.9,10696
Wentworth (NSW),170.0,--,--,--,90.7,9.3,14225
Coomealla,130.0,--,--,--,94.4,5.6,11041
Dareton,150.0,--,--,--,87.5,12.5,11206
Curlwaa,155.0,--,--,--,94.0,6.0,11170
Euston,200.0,--,--,--,98.3,1.7,11468
Pomona (NSW),148.0,--,--,--,94.2,5.8,13240
Tooleybuc,150.0,--,--,--,95.7,4.3,13902
Balranald,150.0,--,--,--,91.4,8.6,10168
Corowa,200.0,--,--,--,92.3,7.7,11080
Oaklands,57.0,--,--,--,97.5,2.5,13059
Howlong,235.0,--,--,--,93.0,7.0,11950
Urana,80.0,--,--,--,94.6,5.4,14052
Deniliquin,195.0,--,--,--,90.2,9.8,11237
Mathoura,130.0,--,--,--,96.4,3.6,12522
Wakool,100.0,--,--,--,97.5,2.5,14090
Moulamein,110.0,--,--,--,96.6,3.4,12743
Koraleigh,125.0,--,--,--,97.2,2.8,12195
Moama,270.0,--,--,--,92.7,7.3,12654
Barooga,215.0,--,--,--,93.4,6.6,10205
Finley,145.0,--,--,--,96.6,3.4,11520
Berrigan,134.0,--,--,--,94.2,5.8,10318
Jerilderie,130.0,--,--,--,96.2,3.8,12014
Armidale,260.0,--,--,--,83.8,16.2,10085
Guyra,220.0,--,--,--,89.4,10.6,11822
South Guyra,240.0,--,--,--,92.4,7.6,13586
Llangothlin,170.0,--,--,--,78.6,21.4,12364
Ben Lomond (NSW),128.0,--,--,--,95.2,4.8,10286
Ebor,40.0,--,--,--,94.9,5.1,11372
Uralla (NSW),220.0,--,--,--,89.2,10.8,14051
Invergowrie,300.0,--,--,--,96.6,3.4,11983
Arding,150.0,--,--,--,91.0,9.0,10075
Castle Doyle,335.0,--,--,--,100.0,0.0,10846
Dangarsleigh,195.0,--,--,--,100.0,0.0,11200
Kentucky,7.0,--,--,--,95.5,4.5,12102
Kentucky South,110.0,--,--,--,94.0,6.0,12103
Rocky River (Uralla - NSW),193.0,--,--,--,96.2,3.8,13390
Walcha,152.0,--,--,--,93.5,6.5,14093
Yarrowitch,37.0,--,--,--,95.2,4.8,14491
Glen Innes,200.0,--,--,--,86.8,13.2,11649
Emmaville,133.0,--,--,--,97.6,2.4,11414
Deepwater (NSW),155.0,--,--,--,92.4,7.6,11231
Red Range,170.0,--,--,--,95.3,4.7,13333
Shannon Vale,200.0,--,--,--,92.6,7.4,13526
Glencoe (NSW),145.0,--,--,--,95.4,4.6,11657
Inverell,230.0,--,--,--,86.5,13.5,11981
Tingha,155.0,--,--,--,96.9,3.1,13874
Gilgai,220.0,--,--,--,97.3,2.7,11618
Bukkulla,85.0,--,--,--,93.0,7.0,10648
Bingara,165.0,--,--,--,93.9,6.1,10365
Delungra,175.0,--,--,--,94.4,5.6,11234
Warialda,150.0,--,--,--,92.7,7.3,14149
Yallaroi,29.0,--,--,--,100.0,0.0,14456
Warialda Rail,130.0,--,--,--,93.3,6.7,14150
Tabulam,130.0,--,--,--,90.8,9.2,13723
Tenterfield,195.0,--,--,--,89.1,10.9,13792
