,Median rent,Households where rent payments are less than 30% of household income,Households with rent payments greater than or equal to 30% of household income,Median rent (%),Households where rent payments are less than 30% of household income (%),Households with rent payments greater than or equal to 30% of household income (%),SSC_CODE
Tomakin,264.0,--,--,--,92.3,7.7,13890
Mossy Point,300.0,--,--,--,92.9,7.1,12741
Bodalla,173.0,--,--,--,93.8,6.2,10434
Narooma,210.0,--,--,--,86.0,14.0,12900
Eden,230.0,--,--,--,84.4,15.6,11375
South Durras,200.0,--,--,--,97.3,2.7,13580
Mogo (Eurobodalla - NSW),160.0,--,--,--,95.2,4.8,12660
Jeremadra,130.0,--,--,--,100.0,0.0,12012
Mogendoura,230.0,--,--,--,88.6,11.4,12657
Turlinjah,150.0,--,--,--,100.0,0.0,13975
Kianga (NSW),270.0,--,--,--,94.1,5.9,12119
Tuross Head,270.0,--,--,--,91.1,8.9,13979
Pambula Beach,310.0,--,--,--,92.0,8.0,13141
Merimbula,250.0,--,--,--,84.3,15.7,12575
Tura Beach,330.0,--,--,--,95.6,4.4,13973
South Pambula,270.0,--,--,--,94.7,5.3,13595
Pambula,255.0,--,--,--,86.6,13.4,13140
Bald Hills (NSW),350.0,--,--,--,96.3,3.7,10147
Millingandi,200.0,--,--,--,96.6,3.4,12622
Mirador,405.0,--,--,--,100.0,0.0,12644
Berrambool,260.0,--,--,--,89.2,10.8,10312
Moruya,230.0,--,--,--,88.0,12.0,12734
Moruya Heads,280.0,--,--,--,88.6,11.4,12735
Congo,295.0,--,--,--,89.7,10.3,11008
Bingie,195.0,--,--,--,94.1,5.9,10367
Bermagui,235.0,--,--,--,89.0,11.0,10307
Dalmeny,240.0,--,--,--,91.7,8.3,11191
Wallaga Lake,236.0,--,--,--,91.2,8.8,14102
Central Tilba,200.0,--,--,--,91.0,9.0,10877
North Narooma,250.0,--,--,--,91.6,8.4,12998
Akolele,165.0,--,--,--,80.5,19.5,10023
Goulburn,260.0,--,--,--,87.6,12.4,11725
Run-o-Waters,263.0,--,--,--,97.4,2.6,13440
Marulan,280.0,--,--,--,92.2,7.8,12513
Windellama,75.0,--,--,--,97.7,2.3,14318
Bigga,50.0,--,--,--,100.0,0.0,10346
Tirrannaville,180.0,--,--,--,93.9,6.1,13883
Lake Bathurst,300.0,--,--,--,95.5,4.5,12239
Quialigo,298.0,--,--,--,96.2,3.8,13297
Laggan,205.0,--,--,--,96.4,3.6,12235
Grabben Gullen,150.0,--,--,--,95.0,5.0,11731
Parkesbourne,213.0,--,--,--,100.0,0.0,13152
Yarra,165.0,--,--,--,100.0,0.0,14468
Crookwell,220.0,--,--,--,91.4,8.6,11123
Collector,285.0,--,--,--,97.1,2.9,10972
Middle Arm,250.0,--,--,--,100.0,0.0,12599
Taralga,135.0,--,--,--,94.0,6.0,13759
Tarlo,191.0,--,--,--,100.0,0.0,13767
Kingsdale,320.0,--,--,--,100.0,0.0,12155
Bannister (NSW),190.0,--,--,--,100.0,0.0,10183
Brayton,70.0,--,--,--,94.7,5.3,10554
Greenwich Park,275.0,--,--,--,91.4,8.6,11771
Tallong,250.0,--,--,--,96.8,3.2,13733
Carrick (NSW),200.0,--,--,--,93.3,6.7,10828
Brisbane Grove,260.0,--,--,--,100.0,0.0,10577
Towrang,231.0,--,--,--,92.1,7.9,13930
Baw Baw (NSW),350.0,--,--,--,95.2,4.8,10234
Boxers Creek,260.0,--,--,--,95.8,4.2,10541
Gundary,275.0,--,--,--,96.5,3.5,11806
Bookham,60.0,--,--,--,100.0,0.0,10478
Binalong,198.0,--,--,--,94.9,5.1,10362
Galong,115.0,--,--,--,93.9,6.1,11580
Manton (NSW),300.0,--,--,--,100.0,0.0,12481
Yass River,300.0,--,--,--,95.7,4.3,14494
Rye Park,148.0,--,--,--,96.6,3.4,13455
Gundaroo,375.0,--,--,--,96.7,3.3,11805
Bowning,200.0,--,--,--,95.6,4.4,10535
Bellmount Forest,390.0,--,--,--,100.0,0.0,10274
Gunning,231.0,--,--,--,96.0,4.0,11813
Lade Vale,475.0,--,--,--,100.0,0.0,12232
Good Hope,240.0,--,--,--,100.0,0.0,11700
Wallaroo (NSW),348.0,--,--,--,92.2,7.8,14112
Murrumbateman,351.0,--,--,--,98.8,1.2,12860
Springrange,215.0,--,--,--,100.0,0.0,13625
Marchmont,190.0,--,--,--,96.2,3.8,12487
Nanima,420.0,--,--,--,100.0,0.0,12891
Young,225.0,--,--,--,87.1,12.9,14518
Kingsvale,170.0,--,--,--,93.5,6.5,12161
Burrangong,200.0,--,--,--,95.1,4.9,10706
Harden,180.0,--,--,--,94.3,5.7,11851
Boorowa,180.0,--,--,--,94.1,5.9,10503
Murrumburrah,150.0,--,--,--,93.0,7.0,12863
Maimuru,120.0,--,--,--,93.6,6.4,12444
Bendick Murrell,200.0,--,--,--,94.7,5.3,10290
Koorawatha,120.0,--,--,--,98.1,1.9,12192
Murringo,150.0,--,--,--,97.8,2.2,12858
Thuddungra,125.0,--,--,--,100.0,0.0,13853
Avoca Beach,440.0,--,--,--,93.2,6.8,10114
Copacabana,413.0,--,--,--,89.3,10.7,11056
Killcare Heights,370.0,--,--,--,95.1,4.9,12134
Macmasters Beach,433.0,--,--,--,91.9,8.1,12432
Empire Bay,350.0,--,--,--,91.8,8.2,11415
Wagstaffe,300.0,--,--,--,95.4,4.6,14084
St Huberts Island,480.0,--,--,--,97.0,3.0,13638
Killcare,379.0,--,--,--,92.5,7.5,12133
Bensville,400.0,--,--,--,97.5,2.5,10297
Daleys Point,395.0,--,--,--,91.2,8.8,11189
Pretty Beach (Central Coast - NSW),430.0,--,--,--,96.0,4.0,13261
Hardys Bay,350.0,--,--,--,91.2,8.8,11852
Kincumber South,200.0,--,--,--,96.5,3.5,12142
Somersby,240.0,--,--,--,94.0,6.0,13571
Calga,345.0,--,--,--,88.4,11.6,10752
Woy Woy,335.0,--,--,--,83.1,16.9,14425
Patonga,293.0,--,--,--,87.9,12.1,13160
Mooney Mooney,300.0,--,--,--,89.2,10.8,12704
Kariong,400.0,--,--,--,92.6,7.4,12074
Peats Ridge,250.0,--,--,--,84.2,15.8,13172
Central Mangrove,300.0,--,--,--,89.5,10.5,10876
Mangrove Mountain,220.0,--,--,--,93.0,7.0,12472
Kulnura,230.0,--,--,--,95.8,4.2,12206
Mount White,210.0,--,--,--,89.9,10.1,12803
