,Aboriginal and Torres Strait Islander,Male,Female,Median age,Aboriginal and Torres Strait Islander (%),Male (%),Female (%),Median age (%)
Toukley,196.0,103.0,93.0,22.0,--,52.6,47.4,--
Towradgi,68.0,42.0,26.0,20.0,--,61.8,38.2,--
Tregear,402.0,188.0,214.0,15.0,--,46.8,53.2,--
Tuggerah,38.0,22.0,16.0,25.0,--,57.9,42.1,--
Tuggerawong,37.0,19.0,18.0,17.0,--,51.4,48.6,--
Tumbi Umbi,158.0,76.0,82.0,22.0,--,48.1,51.9,--
Turramurra,22.0,13.0,9.0,45.0,--,59.1,40.9,--
Turrella,13.0,5.0,8.0,15.0,--,38.5,61.5,--
Ultimo,52.0,29.0,23.0,27.0,--,55.8,44.2,--
Umina Beach,529.0,252.0,277.0,22.0,--,47.6,52.4,--
Unanderra,185.0,86.0,99.0,21.0,--,46.5,53.5,--
Valentine (NSW),52.0,26.0,26.0,18.0,--,50.0,50.0,--
Valley Heights,29.0,16.0,13.0,26.0,--,55.2,44.8,--
Vaucluse,28.0,4.0,24.0,16.0,--,14.3,85.7,--
Villawood,66.0,28.0,38.0,43.0,--,42.4,57.6,--
Wahroonga,38.0,8.0,30.0,24.0,--,21.1,78.9,--
Waitara,28.0,15.0,13.0,32.0,--,53.6,46.4,--
Wakeley,15.0,3.0,12.0,25.0,--,20.0,80.0,--
Wallsend,464.0,237.0,227.0,20.0,--,51.1,48.9,--
Wamberal,85.0,43.0,42.0,23.0,--,50.6,49.4,--
Warabrook,35.0,21.0,14.0,48.0,--,60.0,40.0,--
Waratah (NSW),157.0,81.0,76.0,20.0,--,51.6,48.4,--
Waratah West,88.0,34.0,54.0,21.0,--,38.6,61.4,--
Wareemba,7.0,4.0,3.0,22.0,--,57.1,42.9,--
Warilla,269.0,151.0,118.0,17.0,--,56.1,43.9,--
Warners Bay,130.0,53.0,77.0,22.0,--,40.8,59.2,--
Warrawee,8.0,8.0,0.0,14.0,--,100.0,0.0,--
Warrawong,200.0,97.0,103.0,18.0,--,48.5,51.5,--
Warriewood,32.0,20.0,12.0,24.0,--,62.5,37.5,--
Warrimoo,47.0,26.0,21.0,22.0,--,55.3,44.7,--
Warwick Farm,72.0,34.0,38.0,34.0,--,47.2,52.8,--
Watanobbi,216.0,100.0,116.0,20.0,--,46.3,53.7,--
Waterloo (NSW),386.0,197.0,189.0,27.0,--,51.0,49.0,--
Wattle Grove (NSW),129.0,64.0,65.0,15.0,--,49.6,50.4,--
Waverley (NSW),32.0,9.0,23.0,16.0,--,28.1,71.9,--
Waverton,6.0,3.0,3.0,34.0,--,50.0,50.0,--
Wentworthville,88.0,43.0,45.0,30.0,--,48.9,51.1,--
Werrington,135.0,70.0,65.0,17.0,--,51.9,48.1,--
Werrington County,126.0,72.0,54.0,23.0,--,57.1,42.9,--
Werrington Downs,91.0,54.0,37.0,21.0,--,59.3,40.7,--
West Gosford,38.0,23.0,15.0,16.0,--,60.5,39.5,--
West Hoxton,69.0,28.0,41.0,21.0,--,40.6,59.4,--
West Pennant Hills,21.0,10.0,11.0,24.0,--,47.6,52.4,--
West Pymble,9.0,5.0,4.0,32.0,--,55.6,44.4,--
West Ryde,38.0,17.0,21.0,34.0,--,44.7,55.3,--
West Wallsend,43.0,24.0,19.0,27.0,--,55.8,44.2,--
West Wollongong,61.0,32.0,29.0,19.0,--,52.5,47.5,--
Westleigh,3.0,3.0,0.0,49.0,--,100.0,0.0,--
Westmead,91.0,31.0,60.0,23.0,--,34.1,65.9,--
Wetherill Park,35.0,19.0,16.0,49.0,--,54.3,45.7,--
Whalan,416.0,205.0,211.0,17.0,--,49.3,50.7,--
Whitebridge,32.0,19.0,13.0,57.0,--,59.4,40.6,--
Wickham (NSW),24.0,10.0,14.0,21.0,--,41.7,58.3,--
Wiley Park,21.0,7.0,14.0,39.0,--,33.3,66.7,--
Willmot,268.0,148.0,120.0,19.0,--,55.2,44.8,--
Willoughby (NSW),12.0,9.0,3.0,16.0,--,75.0,25.0,--
Windale,372.0,179.0,193.0,17.0,--,48.1,51.9,--
Windang,80.0,36.0,44.0,23.0,--,45.0,55.0,--
Winmalee,98.0,42.0,56.0,21.0,--,42.9,57.1,--
Winston Hills,46.0,21.0,25.0,17.0,--,45.7,54.3,--
Wollongong,230.0,122.0,108.0,24.0,--,53.0,47.0,--
Wollstonecraft,22.0,15.0,7.0,31.0,--,68.2,31.8,--
Wombarra,8.0,5.0,3.0,46.0,--,62.5,37.5,--
Woodbine (NSW),76.0,36.0,40.0,17.0,--,47.4,52.6,--
Woodcroft (NSW),43.0,19.0,24.0,27.0,--,44.2,55.8,--
Woodpark,20.0,10.0,10.0,9.0,--,50.0,50.0,--
Woollahra,8.0,0.0,8.0,38.0,--,0.0,100.0,--
Woolloomooloo,101.0,53.0,48.0,24.0,--,52.5,47.5,--
Woolooware,24.0,12.0,12.0,35.0,--,50.0,50.0,--
Woonona,204.0,96.0,108.0,22.0,--,47.1,52.9,--
Woronora,20.0,15.0,5.0,15.0,--,75.0,25.0,--
Woronora Heights,25.0,12.0,13.0,18.0,--,48.0,52.0,--
Woy Woy,349.0,177.0,172.0,25.0,--,50.7,49.3,--
Woy Woy Bay,15.0,9.0,6.0,5.0,--,60.0,40.0,--
Wyoming,233.0,111.0,122.0,22.0,--,47.6,52.4,--
Wyong,174.0,87.0,87.0,28.0,--,50.0,50.0,--
Wyongah,50.0,26.0,24.0,18.0,--,52.0,48.0,--
Yagoona,131.0,57.0,74.0,22.0,--,43.5,56.5,--
Yarrawarrah,30.0,13.0,17.0,26.0,--,43.3,56.7,--
Yattalunga (NSW),15.0,3.0,12.0,21.0,--,20.0,80.0,--
Yennora,9.0,5.0,4.0,0.0,--,55.6,44.4,--
Yowie Bay,14.0,5.0,9.0,36.0,--,35.7,64.3,--
Zetland,32.0,16.0,16.0,10.0,--,50.0,50.0,--
