,Aboriginal and Torres Strait Islander,Male,Female,Median age,Aboriginal and Torres Strait Islander (%),Male (%),Female (%),Median age (%)
Rozelle,55.0,23.0,32.0,24.0,--,41.8,58.2,--
Ruse,177.0,89.0,88.0,23.0,--,50.3,49.7,--
Rushcutters Bay,12.0,8.0,4.0,30.0,--,66.7,33.3,--
Russell Lea,14.0,4.0,10.0,27.0,--,28.6,71.4,--
Russell Vale,49.0,28.0,21.0,16.0,--,57.1,42.9,--
Rydalmere,62.0,30.0,32.0,20.0,--,48.4,51.6,--
Ryde,85.0,42.0,43.0,28.0,--,49.4,50.6,--
Sadleir,100.0,51.0,49.0,17.0,--,51.0,49.0,--
San Remo (NSW),235.0,110.0,125.0,16.0,--,46.8,53.2,--
Sandringham (NSW),9.0,5.0,4.0,24.0,--,55.6,44.4,--
Sans Souci,77.0,37.0,40.0,30.0,--,48.1,51.9,--
Saratoga,66.0,27.0,39.0,18.0,--,40.9,59.1,--
Schofields,73.0,31.0,42.0,20.0,--,42.5,57.5,--
Seaforth (NSW),16.0,8.0,8.0,21.0,--,50.0,50.0,--
Sefton,13.0,7.0,6.0,18.0,--,53.8,46.2,--
Seven Hills (NSW),329.0,168.0,161.0,24.0,--,51.1,48.9,--
Shalvey,307.0,152.0,155.0,20.0,--,49.5,50.5,--
Shell Cove,47.0,28.0,19.0,20.0,--,59.6,40.4,--
Shellharbour,89.0,48.0,41.0,23.0,--,53.9,46.1,--
Shelly Beach (NSW),46.0,24.0,22.0,30.0,--,52.2,47.8,--
Shortland,138.0,65.0,73.0,23.0,--,47.1,52.9,--
Silverwater (Lake Macquarie - NSW),10.0,5.0,5.0,5.0,--,50.0,50.0,--
Smithfield (NSW),139.0,70.0,69.0,20.0,--,50.4,49.6,--
South Coogee,79.0,32.0,47.0,27.0,--,40.5,59.5,--
South Granville,57.0,24.0,33.0,25.0,--,42.1,57.9,--
South Hurstville,26.0,10.0,16.0,28.0,--,38.5,61.5,--
South Penrith,329.0,160.0,169.0,19.0,--,48.6,51.4,--
South Turramurra,3.0,3.0,0.0,44.0,--,100.0,0.0,--
South Wentworthville,68.0,43.0,25.0,26.0,--,63.2,36.8,--
Speers Point,55.0,32.0,23.0,20.0,--,58.2,41.8,--
Springfield (Gosford - NSW),105.0,47.0,58.0,14.0,--,44.8,55.2,--
Springwood (NSW),145.0,69.0,76.0,20.0,--,47.6,52.4,--
St Andrews (NSW),204.0,97.0,107.0,17.0,--,47.5,52.5,--
St Clair (Penrith - NSW),507.0,249.0,258.0,17.0,--,49.1,50.9,--
St Helens Park,208.0,99.0,109.0,16.0,--,47.6,52.4,--
St Huberts Island,12.0,7.0,5.0,33.0,--,58.3,41.7,--
St Ives (NSW),17.0,9.0,8.0,42.0,--,52.9,47.1,--
St Ives Chase,8.0,5.0,3.0,32.0,--,62.5,37.5,--
St Johns Park,21.0,9.0,12.0,35.0,--,42.9,57.1,--
St Leonards (NSW),0.0,0.0,0.0,20.0,--,0.0,0.0,--
St Marys (NSW),442.0,214.0,228.0,24.0,--,48.4,51.6,--
St Peters (NSW),34.0,18.0,16.0,28.0,--,52.9,47.1,--
Stanhope Gardens,40.0,20.0,20.0,9.0,--,50.0,50.0,--
Stanmore (NSW),49.0,24.0,25.0,39.0,--,49.0,51.0,--
Stockton (NSW),149.0,83.0,66.0,24.0,--,55.7,44.3,--
Strathfield (NSW),41.0,28.0,13.0,26.0,--,68.3,31.7,--
Strathfield South,14.0,8.0,6.0,56.0,--,57.1,42.9,--
Summer Hill (Ashfield - NSW),45.0,19.0,26.0,20.0,--,42.2,57.8,--
Surry Hills,147.0,83.0,64.0,34.0,--,56.5,43.5,--
Sutherland (NSW),144.0,71.0,73.0,30.0,--,49.3,50.7,--
Swansea (NSW),206.0,91.0,115.0,21.0,--,44.2,55.8,--
Swansea Heads,23.0,11.0,12.0,27.0,--,47.8,52.2,--
Sydenham (NSW),20.0,14.0,6.0,29.0,--,70.0,30.0,--
Sydney,13.0,9.0,4.0,30.0,--,69.2,30.8,--
Sylvania,99.0,52.0,47.0,17.0,--,52.5,47.5,--
Sylvania Waters,19.0,8.0,11.0,28.0,--,42.1,57.9,--
Tacoma,27.0,12.0,15.0,39.0,--,44.4,55.6,--
Tacoma South,12.0,8.0,4.0,53.0,--,66.7,33.3,--
Tamarama,3.0,0.0,3.0,46.0,--,0.0,100.0,--
Taren Point,10.0,4.0,6.0,2.0,--,40.0,60.0,--
Tarrawanna,22.0,12.0,10.0,18.0,--,54.5,45.5,--
Tascott,19.0,11.0,8.0,25.0,--,57.9,42.1,--
Tempe,65.0,33.0,32.0,27.0,--,50.8,49.2,--
Teralba,51.0,24.0,27.0,22.0,--,47.1,52.9,--
Terrey Hills,10.0,7.0,3.0,59.0,--,70.0,30.0,--
Terrigal,108.0,52.0,56.0,20.0,--,48.1,51.9,--
The Entrance,190.0,95.0,95.0,22.0,--,50.0,50.0,--
The Entrance North,55.0,31.0,24.0,25.0,--,56.4,43.6,--
The Hill,20.0,8.0,12.0,26.0,--,40.0,60.0,--
The Junction,31.0,13.0,18.0,21.0,--,41.9,58.1,--
Thirroul,74.0,34.0,40.0,26.0,--,45.9,54.1,--
Thornleigh,30.0,17.0,13.0,28.0,--,56.7,43.3,--
Tighes Hill,42.0,19.0,23.0,33.0,--,45.2,54.8,--
Tingira Heights,49.0,18.0,31.0,22.0,--,36.7,63.3,--
Toongabbie (NSW),209.0,104.0,105.0,22.0,--,49.8,50.2,--
Toowoon Bay,6.0,6.0,0.0,14.0,--,100.0,0.0,--
Toronto,275.0,141.0,134.0,22.0,--,51.3,48.7,--
