,Families without children,Families with children,Families without children (%),Families with children (%)
Towradgi,2100.0,2461.0,--,--
Tregear,1833.0,1852.0,--,--
Tuggerah,1650.0,1957.0,--,--
Tuggerawong,1536.0,2236.0,--,--
Tumbi Umbi,1956.0,2330.0,--,--
Turramurra,2965.0,3339.0,--,--
Turrella,1908.0,2388.0,--,--
Ultimo,2398.0,2714.0,--,--
Umina Beach,1986.0,2098.0,--,--
Unanderra,1855.0,1990.0,--,--
Valentine (NSW),2320.0,2766.0,--,--
Valley Heights,2109.0,2422.0,--,--
Vaucluse,3118.0,3291.0,--,--
Villawood,1535.0,1987.0,--,--
Voyager Point,2571.0,3007.0,--,--
Wahroonga,2905.0,3343.0,--,--
Waitara,2342.0,2476.0,--,--
Wakeley,1750.0,2086.0,--,--
Wallsend,1898.0,2137.0,--,--
Wamberal,2188.0,2447.0,--,--
Warabrook,2181.0,2346.0,--,--
Waratah (NSW),2058.0,2222.0,--,--
Waratah West,2141.0,1981.0,--,--
Wareemba,2528.0,3010.0,--,--
Warilla,1776.0,1977.0,--,--
Warners Bay,2127.0,2356.0,--,--
Warrawee,3097.0,3552.0,--,--
Warrawong,1715.0,1821.0,--,--
Warriewood,2325.0,2848.0,--,--
Warrimoo,2282.0,2443.0,--,--
Warwick Farm,1592.0,1730.0,--,--
Watanobbi,1912.0,1907.0,--,--
Waterloo (NSW),2743.0,2823.0,--,--
Watsons Bay,3083.0,3575.0,--,--
Wattle Grove (NSW),2225.0,2440.0,--,--
Waverley (NSW),2989.0,3180.0,--,--
Waverton,3192.0,3408.0,--,--
Wentworthville,1964.0,2354.0,--,--
Werrington,1877.0,1932.0,--,--
Werrington County,1896.0,2301.0,--,--
Werrington Downs,2122.0,2253.0,--,--
West Gosford,2111.0,2035.0,--,--
West Hoxton,2191.0,2292.0,--,--
West Pennant Hills,2699.0,3255.0,--,--
West Pymble,2881.0,3251.0,--,--
West Ryde,2232.0,2483.0,--,--
West Wallsend,1711.0,2166.0,--,--
West Wollongong,2056.0,2303.0,--,--
Westleigh,2781.0,3088.0,--,--
Westmead,2102.0,2313.0,--,--
Wetherill Park,1870.0,2240.0,--,--
Whalan,1538.0,1802.0,--,--
Whitebridge,2352.0,2588.0,--,--
Wickham (NSW),2200.0,2083.0,--,--
Wiley Park,1478.0,1815.0,--,--
Willmot,1654.0,1750.0,--,--
Willoughby (NSW),3020.0,3333.0,--,--
Willoughby East,3111.0,3823.0,--,--
Windale,1874.0,1666.0,--,--
Windang,2200.0,2155.0,--,--
Winmalee,2136.0,2575.0,--,--
Winston Hills,2359.0,2625.0,--,--
Wollongong,2163.0,2361.0,--,--
Wollstonecraft,3193.0,3352.0,--,--
Wombarra,2550.0,2823.0,--,--
Woodbine (NSW),2011.0,2371.0,--,--
Woodcroft (NSW),2239.0,2490.0,--,--
Woodpark,2055.0,2183.0,--,--
Woodrising,1949.0,1797.0,--,--
Woollahra,3225.0,3507.0,--,--
Woolloomooloo,3233.0,2750.0,--,--
Woolooware,2340.0,2804.0,--,--
Woolwich,3274.0,3562.0,--,--
Woonona,2274.0,2576.0,--,--
Woronora,2646.0,2741.0,--,--
Woronora Heights,2392.0,2888.0,--,--
Woy Woy,1816.0,1924.0,--,--
Woy Woy Bay,3285.0,2700.0,--,--
Wyoming,1946.0,2033.0,--,--
Wyong,1526.0,1966.0,--,--
Wyongah,1715.0,2007.0,--,--
Yagoona,1779.0,2048.0,--,--
Yarrawarrah,2383.0,2750.0,--,--
Yattalunga (NSW),1821.0,2125.0,--,--
Yennora,1791.0,1750.0,--,--
Yowie Bay,2692.0,3192.0,--,--
Zetland,2849.0,2926.0,--,--
