,Families without children,Families with children,Families without children (%),Families with children (%)
Chiswick,3031.0,3220.0,--,--
Chittaway Bay,1806.0,2008.0,--,--
Chittaway Point,1524.0,2214.0,--,--
Church Point,2799.0,3457.0,--,--
Claremont Meadows,2064.0,2279.0,--,--
Claymore,1833.0,1478.0,--,--
Clontarf (NSW),3050.0,3520.0,--,--
Clovelly,3203.0,3505.0,--,--
Coal Point,2343.0,2983.0,--,--
Coledale,2957.0,2538.0,--,--
Collaroy (NSW),2362.0,2803.0,--,--
Colyton,1872.0,2033.0,--,--
Como (NSW),2736.0,3100.0,--,--
Concord,2352.0,2958.0,--,--
Concord West,2318.0,2888.0,--,--
Condell Park,1922.0,2040.0,--,--
Coniston,1839.0,2462.0,--,--
Connells Point,2865.0,3076.0,--,--
Coogee (NSW),2927.0,3254.0,--,--
Cooks Hill,2431.0,3098.0,--,--
Copacabana,2287.0,2272.0,--,--
Cordeaux Heights,2357.0,2659.0,--,--
Corrimal,2090.0,2225.0,--,--
Cranebrook,2060.0,2250.0,--,--
Cremorne (NSW),3224.0,3407.0,--,--
Cremorne Point,3333.0,3525.0,--,--
Cringila,1333.0,1718.0,--,--
Cromer (NSW),2355.0,2603.0,--,--
Cronulla,2386.0,2756.0,--,--
Croudace Bay,2150.0,2666.0,--,--
Crows Nest (NSW),3129.0,3312.0,--,--
Croydon (NSW),2448.0,2762.0,--,--
Croydon Park (NSW),2224.0,2408.0,--,--
Curl Curl,3071.0,3168.0,--,--
Currans Hill,2128.0,2193.0,--,--
Daceyville,1424.0,3250.0,--,--
Daleys Point,1700.0,2531.0,--,--
Dapto,1819.0,2042.0,--,--
Darling Point,3466.0,3783.0,--,--
Darlinghurst,3062.0,3374.0,--,--
Darlington (Sydney - NSW),3030.0,3272.0,--,--
Davidson,2597.0,3205.0,--,--
Davistown,1723.0,2146.0,--,--
Dawes Point,4071.0,3937.0,--,--
Dean Park,1937.0,2111.0,--,--
Dee Why,2178.0,2291.0,--,--
Denistone,2374.0,3008.0,--,--
Denistone East,3154.0,2870.0,--,--
Denistone West,2694.0,3083.0,--,--
Dharruk,1791.0,2198.0,--,--
Dolans Bay,2250.0,3416.0,--,--
Dolls Point,2384.0,2143.0,--,--
Doonside,1831.0,2089.0,--,--
Double Bay,3261.0,3409.0,--,--
Dover Heights,3018.0,3329.0,--,--
Drummoyne,3034.0,3349.0,--,--
Dudley,2727.0,2770.0,--,--
Dulwich Hill,2407.0,2778.0,--,--
Dundas (NSW),2280.0,2395.0,--,--
Dundas Valley,2185.0,2481.0,--,--
Dural (Hornsby - NSW),2532.0,3033.0,--,--
Eagle Vale,1916.0,2144.0,--,--
Earlwood,2203.0,2488.0,--,--
East Gosford,1982.0,2141.0,--,--
East Hills,2312.0,2511.0,--,--
East Killara,3200.0,3166.0,--,--
East Lindfield,3083.0,3548.0,--,--
East Ryde,2542.0,3116.0,--,--
Eastern Creek,1571.0,1980.0,--,--
Eastlakes,1784.0,1926.0,--,--
Eastwood (NSW),2178.0,2822.0,--,--
Edensor Park,1945.0,2274.0,--,--
Edgecliff,3129.0,3345.0,--,--
Edgeworth,1837.0,1911.0,--,--
Elanora Heights,2419.0,2861.0,--,--
Elderslie (Camden - NSW),2288.0,2463.0,--,--
Eleebana,2446.0,2774.0,--,--
Elermore Vale,2043.0,2419.0,--,--
Elizabeth Bay,3054.0,3175.0,--,--
Emerton,1375.0,2083.0,--,--
Empire Bay,1812.0,2257.0,--,--
Emu Heights (NSW),2274.0,2417.0,--,--
Emu Plains,2290.0,2423.0,--,--
Enfield (NSW),1926.0,2259.0,--,--
Engadine,2267.0,2416.0,--,--
Enmore (Marrickville - NSW),2485.0,3062.0,--,--
Epping (NSW),2428.0,3049.0,--,--
Erina,1856.0,2333.0,--,--
Ermington,2217.0,2361.0,--,--
Erskine Park,2027.0,2406.0,--,--
Erskineville,3058.0,3141.0,--,--
Eschol Park,2037.0,2274.0,--,--
Ettalong Beach,1652.0,1905.0,--,--
Fairfield (NSW),1643.0,1900.0,--,--
Fairfield East,1458.0,1837.0,--,--
Fairfield Heights,1868.0,2017.0,--,--
Fairfield West,1651.0,2021.0,--,--
Fairlight,2966.0,3311.0,--,--
Fairy Meadow,2087.0,2225.0,--,--
Farmborough Heights,2446.0,2334.0,--,--
Faulconbridge,2250.0,2393.0,--,--
Fennell Bay,1847.0,2374.0,--,--
Figtree,2320.0,2544.0,--,--
Five Dock,2794.0,2941.0,--,--
Fletcher (NSW),2264.0,2549.0,--,--
Flinders (NSW),2237.0,2265.0,--,--
Floraville,2600.0,2617.0,--,--
Forest Lodge,3176.0,3566.0,--,--
Forestville (NSW),2450.0,2935.0,--,--
Forresters Beach,2007.0,2364.0,--,--
Frenchs Forest,2625.0,2997.0,--,--
Garden Suburb,2355.0,2779.0,--,--
Gateshead,1455.0,1804.0,--,--
Georges Hall,2024.0,2303.0,--,--
Georgetown (NSW),1965.0,2291.0,--,--
Girraween (NSW),1863.0,2307.0,--,--
