,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%)
Lake Illawarra,55.0,59.0,56.0,78.0,27.0,--,--,--,--,--
Lakelands (NSW),52.0,46.0,56.0,71.0,20.0,--,--,--,--,--
Lakemba,39.0,48.0,51.0,79.0,25.0,--,--,--,--,--
Lalor Park,46.0,50.0,54.0,77.0,27.0,--,--,--,--,--
Lane Cove,46.0,54.0,57.0,83.0,29.0,--,--,--,--,--
Lane Cove North,43.0,49.0,55.0,83.0,29.0,--,--,--,--,--
Lane Cove West,47.0,53.0,56.0,77.0,26.0,--,--,--,--,--
Lansvale,50.0,47.0,54.0,74.0,26.0,--,--,--,--,--
Lapstone,56.0,84.0,55.0,80.0,26.0,--,--,--,--,--
Lavender Bay,54.0,49.0,58.0,79.0,29.0,--,--,--,--,--
Leichhardt (NSW),41.0,49.0,54.0,78.0,32.0,--,--,--,--,--
Leonay,53.0,40.0,55.0,66.0,23.0,--,--,--,--,--
Lethbridge Park,51.0,47.0,56.0,71.0,27.0,--,--,--,--,--
Leumeah,51.0,48.0,54.0,71.0,26.0,--,--,--,--,--
Lewisham (NSW),47.0,48.0,56.0,80.0,32.0,--,--,--,--,--
Liberty Grove,39.0,43.0,48.0,66.0,26.0,--,--,--,--,--
Lidcombe,45.0,48.0,52.0,78.0,25.0,--,--,--,--,--
Lilli Pilli (Sutherland - NSW),55.0,49.0,54.0,80.0,20.0,--,--,--,--,--
Lilyfield,44.0,54.0,55.0,79.0,34.0,--,--,--,--,--
Lindfield,50.0,52.0,56.0,82.0,22.0,--,--,--,--,--
Linley Point,54.0,55.0,62.0,81.0,21.0,--,--,--,--,--
Lisarow,48.0,50.0,52.0,77.0,22.0,--,--,--,--,--
Little Bay,51.0,52.0,62.0,84.0,28.0,--,--,--,--,--
Liverpool,44.0,46.0,51.0,74.0,25.0,--,--,--,--,--
Loftus,49.0,49.0,54.0,77.0,23.0,--,--,--,--,--
Long Jetty,57.0,47.0,58.0,79.0,28.0,--,--,--,--,--
Long Point (Campbelltown - NSW),60.0,61.0,50.0,72.0,20.0,--,--,--,--,--
Longueville,54.0,55.0,59.0,76.0,21.0,--,--,--,--,--
Lugarno,54.0,49.0,56.0,78.0,22.0,--,--,--,--,--
Lurnea,47.0,46.0,53.0,76.0,24.0,--,--,--,--,--
Macquarie Fields,48.0,49.0,55.0,70.0,24.0,--,--,--,--,--
Macquarie Hills,48.0,44.0,53.0,71.0,23.0,--,--,--,--,--
Macquarie Links,47.0,54.0,54.0,51.0,21.0,--,--,--,--,--
Macquarie Park,37.0,51.0,57.0,86.0,24.0,--,--,--,--,--
Malabar,51.0,50.0,55.0,79.0,30.0,--,--,--,--,--
Mangerton,49.0,45.0,53.0,81.0,26.0,--,--,--,--,--
Manly (NSW),46.0,50.0,55.0,81.0,30.0,--,--,--,--,--
Manly Vale,44.0,49.0,55.0,83.0,29.0,--,--,--,--,--
Marayong,50.0,47.0,55.0,80.0,25.0,--,--,--,--,--
Mardi,49.0,46.0,52.0,74.0,24.0,--,--,--,--,--
Marks Point,58.0,52.0,56.0,81.0,28.0,--,--,--,--,--
Marmong Point,52.0,50.0,54.0,81.0,23.0,--,--,--,--,--
Maroubra,49.0,52.0,55.0,80.0,27.0,--,--,--,--,--
Marrickville,46.0,50.0,52.0,77.0,31.0,--,--,--,--,--
Marsfield,47.0,50.0,57.0,81.0,24.0,--,--,--,--,--
Maryland (Newcastle - NSW),48.0,46.0,51.0,72.0,23.0,--,--,--,--,--
Maryville,47.0,54.0,54.0,80.0,29.0,--,--,--,--,--
Mascot,46.0,49.0,54.0,75.0,27.0,--,--,--,--,--
Matraville,51.0,52.0,56.0,78.0,26.0,--,--,--,--,--
Mayfield (Newcastle - NSW),48.0,53.0,54.0,80.0,29.0,--,--,--,--,--
Mayfield East,46.0,50.0,54.0,80.0,28.0,--,--,--,--,--
Mayfield West,49.0,54.0,56.0,78.0,28.0,--,--,--,--,--
Mays Hill,42.0,51.0,50.0,79.0,25.0,--,--,--,--,--
McMahons Point,50.0,54.0,58.0,72.0,31.0,--,--,--,--,--
Meadowbank (NSW),34.0,47.0,54.0,69.0,28.0,--,--,--,--,--
Melrose Park (NSW),47.0,47.0,54.0,81.0,27.0,--,--,--,--,--
Menai,48.0,48.0,51.0,72.0,21.0,--,--,--,--,--
Merewether,51.0,50.0,55.0,80.0,25.0,--,--,--,--,--
Merewether Heights,54.0,56.0,59.0,82.0,24.0,--,--,--,--,--
Merrylands,44.0,45.0,52.0,75.0,24.0,--,--,--,--,--
Merrylands West,47.0,47.0,53.0,81.0,24.0,--,--,--,--,--
Middle Cove,51.0,72.0,55.0,80.0,22.0,--,--,--,--,--
Miller,50.0,48.0,55.0,72.0,26.0,--,--,--,--,--
Millers Point,54.0,55.0,56.0,74.0,31.0,--,--,--,--,--
Milperra,53.0,48.0,53.0,69.0,23.0,--,--,--,--,--
Milsons Point,52.0,46.0,49.0,74.0,30.0,--,--,--,--,--
Minchinbury,47.0,47.0,52.0,66.0,22.0,--,--,--,--,--
Minmi,48.0,49.0,49.0,66.0,21.0,--,--,--,--,--
Minto,47.0,49.0,54.0,73.0,24.0,--,--,--,--,--
Miranda (NSW),50.0,50.0,54.0,81.0,27.0,--,--,--,--,--
Mona Vale,53.0,50.0,56.0,83.0,25.0,--,--,--,--,--
Monterey,50.0,46.0,55.0,81.0,28.0,--,--,--,--,--
Moorebank,49.0,48.0,50.0,71.0,25.0,--,--,--,--,--
Mortdale,45.0,49.0,54.0,81.0,27.0,--,--,--,--,--
Mortlake (NSW),42.0,45.0,53.0,65.0,30.0,--,--,--,--,--
Mosman,50.0,49.0,56.0,82.0,28.0,--,--,--,--,--
Mount Annan,43.0,44.0,50.0,71.0,21.0,--,--,--,--,--
Mount Colah,49.0,46.0,54.0,76.0,22.0,--,--,--,--,--
Mount Druitt,43.0,47.0,51.0,71.0,24.0,--,--,--,--,--
Mount Hutton (NSW),51.0,48.0,57.0,84.0,25.0,--,--,--,--,--
Mount Keira,49.0,56.0,52.0,80.0,23.0,--,--,--,--,--
Mount Kembla,52.0,47.0,56.0,75.0,22.0,--,--,--,--,--
Mount Lewis,53.0,41.0,56.0,80.0,23.0,--,--,--,--,--
Mount Ousley,54.0,49.0,56.0,79.0,24.0,--,--,--,--,--
Mount Pleasant (NSW),53.0,46.0,56.0,78.0,22.0,--,--,--,--,--
Mount Pritchard,50.0,48.0,52.0,74.0,24.0,--,--,--,--,--
Mount Riverview,54.0,51.0,55.0,73.0,23.0,--,--,--,--,--
Mount Saint Thomas,47.0,56.0,53.0,79.0,27.0,--,--,--,--,--
Mount Warrigal,56.0,49.0,54.0,72.0,24.0,--,--,--,--,--
Narara,50.0,49.0,54.0,73.0,23.0,--,--,--,--,--
Narellan,49.0,52.0,54.0,77.0,24.0,--,--,--,--,--
Narellan Vale,44.0,44.0,49.0,74.0,21.0,--,--,--,--,--
Naremburn,43.0,51.0,54.0,73.0,29.0,--,--,--,--,--
Narrabeen,51.0,52.0,57.0,86.0,29.0,--,--,--,--,--
Narraweena,51.0,55.0,54.0,81.0,25.0,--,--,--,--,--
Narwee,49.0,51.0,56.0,81.0,26.0,--,--,--,--,--
Neutral Bay,43.0,49.0,55.0,82.0,30.0,--,--,--,--,--
New Lambton,49.0,50.0,55.0,81.0,26.0,--,--,--,--,--
New Lambton Heights,53.0,51.0,53.0,73.0,21.0,--,--,--,--,--
Newcastle,54.0,52.0,53.0,72.0,26.0,--,--,--,--,--
Newcastle East,54.0,52.0,56.0,79.0,27.0,--,--,--,--,--
Newcastle West,46.0,30.0,55.0,58.0,27.0,--,--,--,--,--
Newington (NSW),41.0,42.0,53.0,72.0,26.0,--,--,--,--,--
Newport (NSW),51.0,51.0,56.0,79.0,25.0,--,--,--,--,--
Newtown (NSW),41.0,49.0,52.0,71.0,30.0,--,--,--,--,--
Niagara Park,50.0,48.0,54.0,69.0,25.0,--,--,--,--,--
Norah Head,57.0,48.0,53.0,84.0,24.0,--,--,--,--,--
Noraville,55.0,50.0,56.0,81.0,26.0,--,--,--,--,--
Normanhurst,50.0,56.0,60.0,84.0,22.0,--,--,--,--,--
North Avoca,53.0,53.0,54.0,68.0,25.0,--,--,--,--,--
North Balgowlah,46.0,50.0,53.0,77.0,23.0,--,--,--,--,--
North Bondi,44.0,50.0,51.0,78.0,30.0,--,--,--,--,--
North Curl Curl,48.0,47.0,52.0,81.0,25.0,--,--,--,--,--
North Epping,51.0,53.0,57.0,79.0,21.0,--,--,--,--,--
North Gosford,50.0,53.0,55.0,70.0,26.0,--,--,--,--,--
North Lambton,51.0,49.0,56.0,79.0,24.0,--,--,--,--,--
North Manly,48.0,44.0,54.0,79.0,26.0,--,--,--,--,--
North Narrabeen,48.0,50.0,54.0,80.0,26.0,--,--,--,--,--
North Parramatta,40.0,46.0,52.0,81.0,27.0,--,--,--,--,--
North Rocks,52.0,52.0,54.0,77.0,23.0,--,--,--,--,--
North Ryde,50.0,53.0,55.0,81.0,26.0,--,--,--,--,--
North St Marys,51.0,47.0,52.0,74.0,25.0,--,--,--,--,--
North Strathfield,41.0,45.0,51.0,73.0,25.0,--,--,--,--,--
North Sydney,43.0,48.0,55.0,83.0,29.0,--,--,--,--,--
North Turramurra,60.0,54.0,64.0,85.0,22.0,--,--,--,--,--
North Wahroonga,54.0,44.0,55.0,77.0,21.0,--,--,--,--,--
North Willoughby,47.0,52.0,53.0,77.0,28.0,--,--,--,--,--
North Wollongong,53.0,51.0,53.0,84.0,22.0,--,--,--,--,--
Northbridge (NSW),51.0,50.0,55.0,80.0,23.0,--,--,--,--,--
Northmead,48.0,50.0,53.0,80.0,26.0,--,--,--,--,--
Northwood (NSW),53.0,43.0,48.0,76.0,22.0,--,--,--,--,--
Oak Flats,53.0,46.0,55.0,75.0,24.0,--,--,--,--,--
Oakhurst (NSW),44.0,46.0,52.0,66.0,22.0,--,--,--,--,--
Oatlands (NSW),50.0,57.0,55.0,77.0,22.0,--,--,--,--,--
Oatley,52.0,51.0,55.0,82.0,24.0,--,--,--,--,--
Old Guildford,45.0,38.0,54.0,81.0,22.0,--,--,--,--,--
Old Toongabbie,49.0,52.0,52.0,73.0,25.0,--,--,--,--,--
Ourimbah,49.0,46.0,53.0,74.0,23.0,--,--,--,--,--
Oxley Park,48.0,48.0,53.0,71.0,26.0,--,--,--,--,--
Oyster Bay,50.0,47.0,55.0,80.0,22.0,--,--,--,--,--
Paddington (NSW),45.0,48.0,55.0,78.0,30.0,--,--,--,--,--
Padstow,50.0,51.0,55.0,80.0,25.0,--,--,--,--,--
Padstow Heights,52.0,47.0,53.0,84.0,23.0,--,--,--,--,--
Pagewood,51.0,55.0,57.0,78.0,25.0,--,--,--,--,--
Palm Beach (NSW),62.0,57.0,59.0,78.0,28.0,--,--,--,--,--
Panania,49.0,52.0,56.0,79.0,24.0,--,--,--,--,--
Parramatta,34.0,47.0,51.0,78.0,26.0,--,--,--,--,--
Peakhurst,50.0,48.0,57.0,83.0,24.0,--,--,--,--,--
Peakhurst Heights,55.0,58.0,55.0,76.0,22.0,--,--,--,--,--
Pearl Beach,66.0,65.0,64.0,84.0,39.0,--,--,--,--,--
Pelican (NSW),57.0,52.0,52.0,76.0,27.0,--,--,--,--,--
Pendle Hill,42.0,52.0,55.0,82.0,25.0,--,--,--,--,--
Pennant Hills,51.0,53.0,56.0,83.0,23.0,--,--,--,--,--
Penrith,49.0,50.0,55.0,81.0,27.0,--,--,--,--,--
Penrose (Wollongong - NSW),51.0,48.0,53.0,76.0,26.0,--,--,--,--,--
Penshurst (NSW),47.0,51.0,53.0,80.0,26.0,--,--,--,--,--
Petersham,44.0,50.0,53.0,74.0,31.0,--,--,--,--,--
Phillip Bay,53.0,63.0,62.0,81.0,26.0,--,--,--,--,--
Picnic Point,50.0,55.0,53.0,78.0,22.0,--,--,--,--,--
Plumpton (NSW),45.0,46.0,51.0,74.0,22.0,--,--,--,--,--
Point Clare,52.0,59.0,61.0,82.0,25.0,--,--,--,--,--
Point Frederick,56.0,51.0,57.0,82.0,26.0,--,--,--,--,--
Point Piper,58.0,45.0,60.0,82.0,28.0,--,--,--,--,--
Port Kembla,54.0,52.0,53.0,79.0,27.0,--,--,--,--,--
Potts Point,41.0,49.0,54.0,73.0,31.0,--,--,--,--,--
Prairiewood,55.0,51.0,53.0,74.0,24.0,--,--,--,--,--
Prestons,43.0,45.0,48.0,75.0,22.0,--,--,--,--,--
Primbee,55.0,42.0,55.0,77.0,29.0,--,--,--,--,--
Prospect (NSW),49.0,47.0,50.0,71.0,24.0,--,--,--,--,--
Punchbowl (Canterbury - NSW),46.0,46.0,51.0,75.0,23.0,--,--,--,--,--
Putney,50.0,46.0,52.0,78.0,23.0,--,--,--,--,--
Pymble,51.0,50.0,54.0,81.0,21.0,--,--,--,--,--
Pyrmont,41.0,46.0,51.0,71.0,29.0,--,--,--,--,--
Quakers Hill,44.0,46.0,50.0,73.0,23.0,--,--,--,--,--
Queens Park (NSW),48.0,51.0,57.0,79.0,30.0,--,--,--,--,--
Raby,49.0,49.0,53.0,68.0,23.0,--,--,--,--,--
Ramsgate,52.0,61.0,52.0,74.0,27.0,--,--,--,--,--
Ramsgate Beach,51.0,48.0,56.0,83.0,33.0,--,--,--,--,--
Randwick,44.0,50.0,54.0,82.0,29.0,--,--,--,--,--
Rankin Park,55.0,47.0,54.0,72.0,25.0,--,--,--,--,--
Redfern,44.0,53.0,56.0,76.0,31.0,--,--,--,--,--
Redhead,53.0,55.0,57.0,80.0,23.0,--,--,--,--,--
Regents Park (NSW),47.0,49.0,54.0,74.0,24.0,--,--,--,--,--
Regentville,49.0,31.0,57.0,73.0,23.0,--,--,--,--,--
Revesby,49.0,47.0,54.0,80.0,25.0,--,--,--,--,--
Revesby Heights,48.0,50.0,55.0,82.0,23.0,--,--,--,--,--
Rhodes,34.0,38.0,46.0,79.0,25.0,--,--,--,--,--
Riverstone,49.0,47.0,55.0,76.0,25.0,--,--,--,--,--
Riverview (Lane Cove - NSW),50.0,54.0,54.0,83.0,20.0,--,--,--,--,--
Riverwood,50.0,52.0,56.0,76.0,26.0,--,--,--,--,--
Rockdale,39.0,45.0,51.0,78.0,26.0,--,--,--,--,--
Rocky Point (NSW),46.0,42.0,44.0,69.0,22.0,--,--,--,--,--
Rodd Point,51.0,47.0,59.0,82.0,24.0,--,--,--,--,--
Rooty Hill,48.0,49.0,53.0,79.0,23.0,--,--,--,--,--
Rose Bay (NSW),48.0,52.0,57.0,80.0,29.0,--,--,--,--,--
Rosebery (NSW),48.0,47.0,52.0,74.0,27.0,--,--,--,--,--
Roselands,47.0,47.0,52.0,79.0,24.0,--,--,--,--,--
Rosemeadow,48.0,49.0,52.0,68.0,23.0,--,--,--,--,--
Roseville,50.0,52.0,58.0,81.0,23.0,--,--,--,--,--
Roseville Chase,50.0,43.0,53.0,81.0,21.0,--,--,--,--,--
Rouse Hill,43.0,43.0,48.0,75.0,22.0,--,--,--,--,--
Rozelle,42.0,51.0,52.0,73.0,32.0,--,--,--,--,--
Ruse,54.0,47.0,53.0,72.0,25.0,--,--,--,--,--
Rushcutters Bay,42.0,59.0,55.0,85.0,33.0,--,--,--,--,--
Russell Lea,50.0,49.0,52.0,79.0,27.0,--,--,--,--,--
Russell Vale,51.0,51.0,54.0,77.0,24.0,--,--,--,--,--
Rydalmere,47.0,49.0,53.0,76.0,26.0,--,--,--,--,--
Ryde,47.0,50.0,55.0,80.0,27.0,--,--,--,--,--
Sadleir,49.0,46.0,54.0,75.0,25.0,--,--,--,--,--
San Remo (NSW),50.0,44.0,52.0,75.0,25.0,--,--,--,--,--
Sandringham (NSW),52.0,52.0,55.0,79.0,31.0,--,--,--,--,--
Sans Souci,52.0,53.0,55.0,80.0,27.0,--,--,--,--,--
Saratoga,53.0,47.0,53.0,77.0,23.0,--,--,--,--,--
Scarborough (NSW),47.0,50.0,55.0,39.0,30.0,--,--,--,--,--
Schofields,48.0,48.0,52.0,72.0,24.0,--,--,--,--,--
Scotland Island,49.0,48.0,54.0,62.0,27.0,--,--,--,--,--
Seaforth (NSW),49.0,46.0,56.0,78.0,22.0,--,--,--,--,--
Sefton,49.0,46.0,53.0,80.0,23.0,--,--,--,--,--
Seven Hills (NSW),48.0,49.0,54.0,76.0,25.0,--,--,--,--,--
Shalvey,51.0,48.0,51.0,64.0,24.0,--,--,--,--,--
Shell Cove,46.0,42.0,47.0,74.0,20.0,--,--,--,--,--
Shellharbour,52.0,49.0,52.0,78.0,23.0,--,--,--,--,--
Shelly Beach (NSW),58.0,40.0,53.0,79.0,25.0,--,--,--,--,--
Shortland,53.0,50.0,56.0,79.0,24.0,--,--,--,--,--
Silverwater (Lake Macquarie - NSW),59.0,46.0,69.0,85.0,21.0,--,--,--,--,--
Smithfield (NSW),50.0,48.0,54.0,75.0,25.0,--,--,--,--,--
South Coogee,49.0,52.0,60.0,79.0,29.0,--,--,--,--,--
South Granville,46.0,43.0,55.0,77.0,24.0,--,--,--,--,--
South Hurstville,48.0,51.0,53.0,80.0,24.0,--,--,--,--,--
South Penrith,51.0,49.0,53.0,73.0,25.0,--,--,--,--,--
South Turramurra,50.0,53.0,55.0,77.0,21.0,--,--,--,--,--
South Wentworthville,45.0,51.0,53.0,77.0,25.0,--,--,--,--,--
Speers Point,54.0,52.0,55.0,77.0,26.0,--,--,--,--,--
Springfield (Gosford - NSW),47.0,53.0,52.0,72.0,25.0,--,--,--,--,--
Springwood (NSW),53.0,50.0,56.0,84.0,25.0,--,--,--,--,--
St Andrews (NSW),50.0,44.0,53.0,67.0,23.0,--,--,--,--,--
St Clair (Penrith - NSW),49.0,47.0,51.0,69.0,23.0,--,--,--,--,--
St Helens Park,43.0,44.0,50.0,69.0,24.0,--,--,--,--,--
St Huberts Island,63.0,52.0,56.0,79.0,23.0,--,--,--,--,--
St Ives (NSW),53.0,49.0,57.0,80.0,21.0,--,--,--,--,--
St Ives Chase,53.0,50.0,53.0,78.0,20.0,--,--,--,--,--
St Johns Park,54.0,49.0,51.0,79.0,24.0,--,--,--,--,--
St Leonards (NSW),37.0,47.0,49.0,72.0,28.0,--,--,--,--,--
St Marys (NSW),48.0,49.0,55.0,78.0,27.0,--,--,--,--,--
St Peters (NSW),40.0,49.0,52.0,70.0,32.0,--,--,--,--,--
Stanhope Gardens,40.0,47.0,52.0,72.0,23.0,--,--,--,--,--
Stanmore (NSW),44.0,49.0,53.0,76.0,30.0,--,--,--,--,--
Stockton (NSW),56.0,50.0,56.0,82.0,35.0,--,--,--,--,--
Strathfield (NSW),48.0,51.0,54.0,81.0,24.0,--,--,--,--,--
Strathfield South,49.0,45.0,54.0,78.0,25.0,--,--,--,--,--
Summer Hill (Ashfield - NSW),42.0,51.0,53.0,80.0,31.0,--,--,--,--,--
Surry Hills,38.0,48.0,53.0,79.0,31.0,--,--,--,--,--
Sutherland (NSW),42.0,50.0,55.0,81.0,28.0,--,--,--,--,--
Swansea (NSW),60.0,52.0,58.0,79.0,27.0,--,--,--,--,--
Swansea Heads,54.0,49.0,53.0,71.0,23.0,--,--,--,--,--
Sydenham (NSW),45.0,48.0,59.0,68.0,30.0,--,--,--,--,--
Sydney,35.0,41.0,50.0,75.0,26.0,--,--,--,--,--
Sylvania,55.0,51.0,55.0,82.0,25.0,--,--,--,--,--
Sylvania Waters,52.0,49.0,53.0,76.0,23.0,--,--,--,--,--
Tacoma,49.0,48.0,54.0,47.0,22.0,--,--,--,--,--
Tacoma South,50.0,58.0,52.0,60.0,22.0,--,--,--,--,--
Tamarama,44.0,45.0,51.0,85.0,32.0,--,--,--,--,--
Taren Point,65.0,42.0,61.0,84.0,26.0,--,--,--,--,--
Tarrawanna,52.0,49.0,58.0,80.0,22.0,--,--,--,--,--
Tascott,52.0,52.0,57.0,79.0,25.0,--,--,--,--,--
Tempe,47.0,53.0,53.0,75.0,32.0,--,--,--,--,--
Teralba,55.0,49.0,56.0,82.0,26.0,--,--,--,--,--
Terrey Hills,53.0,50.0,56.0,80.0,22.0,--,--,--,--,--
Terrigal,54.0,50.0,55.0,76.0,24.0,--,--,--,--,--
The Entrance,61.0,51.0,54.0,77.0,29.0,--,--,--,--,--
The Entrance North,57.0,48.0,54.0,79.0,27.0,--,--,--,--,--
The Hill,51.0,53.0,56.0,73.0,26.0,--,--,--,--,--
The Junction,52.0,51.0,57.0,82.0,27.0,--,--,--,--,--
Thirroul,51.0,52.0,54.0,80.0,26.0,--,--,--,--,--
Thornleigh,48.0,50.0,54.0,79.0,23.0,--,--,--,--,--
Tighes Hill,47.0,54.0,54.0,77.0,30.0,--,--,--,--,--
Tingira Heights,49.0,40.0,56.0,76.0,23.0,--,--,--,--,--
Toongabbie (NSW),47.0,47.0,54.0,75.0,25.0,--,--,--,--,--
Toowoon Bay,62.0,51.0,57.0,81.0,26.0,--,--,--,--,--
Toronto,59.0,49.0,58.0,81.0,26.0,--,--,--,--,--
Toukley,61.0,50.0,58.0,81.0,28.0,--,--,--,--,--
Towradgi,51.0,52.0,56.0,82.0,26.0,--,--,--,--,--
Tregear,51.0,47.0,54.0,69.0,25.0,--,--,--,--,--
Tuggerah,47.0,51.0,50.0,75.0,25.0,--,--,--,--,--
Tuggerawong,53.0,50.0,54.0,75.0,24.0,--,--,--,--,--
Tumbi Umbi,54.0,49.0,53.0,77.0,23.0,--,--,--,--,--
Turramurra,51.0,52.0,56.0,82.0,22.0,--,--,--,--,--
Turrella,47.0,42.0,52.0,76.0,26.0,--,--,--,--,--
Ultimo,35.0,50.0,45.0,76.0,25.0,--,--,--,--,--
Umina Beach,54.0,52.0,57.0,80.0,28.0,--,--,--,--,--
Unanderra,55.0,46.0,54.0,81.0,26.0,--,--,--,--,--
Valentine (NSW),53.0,50.0,52.0,75.0,21.0,--,--,--,--,--
Valley Heights,53.0,45.0,57.0,86.0,24.0,--,--,--,--,--
Vaucluse,51.0,51.0,55.0,83.0,24.0,--,--,--,--,--
Villawood,48.0,50.0,53.0,77.0,25.0,--,--,--,--,--
Voyager Point,47.0,42.0,50.0,81.0,21.0,--,--,--,--,--
Wahroonga,52.0,52.0,57.0,82.0,22.0,--,--,--,--,--
Waitara,39.0,50.0,54.0,83.0,28.0,--,--,--,--,--
Wakeley,50.0,46.0,50.0,71.0,23.0,--,--,--,--,--
Wallsend,53.0,48.0,55.0,81.0,26.0,--,--,--,--,--
Wamberal,52.0,51.0,53.0,79.0,23.0,--,--,--,--,--
Warabrook,53.0,52.0,54.0,83.0,25.0,--,--,--,--,--
Waratah (NSW),51.0,47.0,55.0,86.0,27.0,--,--,--,--,--
Waratah West,53.0,44.0,53.0,78.0,24.0,--,--,--,--,--
Wareemba,49.0,59.0,52.0,79.0,29.0,--,--,--,--,--
Warilla,56.0,50.0,55.0,76.0,26.0,--,--,--,--,--
Warners Bay,55.0,49.0,56.0,78.0,26.0,--,--,--,--,--
Warrawee,53.0,50.0,53.0,81.0,21.0,--,--,--,--,--
Warrawong,57.0,47.0,55.0,78.0,29.0,--,--,--,--,--
Warriewood,48.0,51.0,55.0,83.0,25.0,--,--,--,--,--
Warrimoo,49.0,55.0,52.0,76.0,24.0,--,--,--,--,--
Warwick Farm,44.0,51.0,54.0,72.0,27.0,--,--,--,--,--
Watanobbi,50.0,45.0,54.0,70.0,24.0,--,--,--,--,--
Waterloo (NSW),39.0,55.0,57.0,76.0,28.0,--,--,--,--,--
Watsons Bay,50.0,52.0,53.0,82.0,23.0,--,--,--,--,--
Wattle Grove (NSW),43.0,47.0,48.0,70.0,22.0,--,--,--,--,--
Waverley (NSW),45.0,55.0,59.0,85.0,32.0,--,--,--,--,--
Waverton,48.0,52.0,55.0,77.0,30.0,--,--,--,--,--
Wentworthville,43.0,50.0,55.0,79.0,25.0,--,--,--,--,--
Werrington,46.0,45.0,53.0,71.0,26.0,--,--,--,--,--
Werrington County,53.0,43.0,53.0,68.0,24.0,--,--,--,--,--
Werrington Downs,49.0,45.0,52.0,65.0,24.0,--,--,--,--,--
West Gosford,57.0,47.0,55.0,86.0,28.0,--,--,--,--,--
West Hoxton,42.0,43.0,49.0,67.0,21.0,--,--,--,--,--
West Pennant Hills,53.0,49.0,54.0,79.0,22.0,--,--,--,--,--
West Pymble,50.0,46.0,54.0,82.0,22.0,--,--,--,--,--
West Ryde,45.0,49.0,53.0,77.0,27.0,--,--,--,--,--
West Wallsend,52.0,43.0,52.0,75.0,26.0,--,--,--,--,--
West Wollongong,49.0,49.0,55.0,77.0,25.0,--,--,--,--,--
Westleigh,53.0,48.0,56.0,74.0,21.0,--,--,--,--,--
Westmead,35.0,49.0,52.0,80.0,27.0,--,--,--,--,--
Wetherill Park,53.0,46.0,52.0,73.0,23.0,--,--,--,--,--
Whalan,53.0,53.0,53.0,72.0,26.0,--,--,--,--,--
Whitebridge,52.0,53.0,50.0,76.0,23.0,--,--,--,--,--
Wickham (NSW),53.0,51.0,52.0,79.0,27.0,--,--,--,--,--
Wiley Park,39.0,44.0,49.0,71.0,25.0,--,--,--,--,--
Willmot,53.0,42.0,55.0,69.0,26.0,--,--,--,--,--
Willoughby (NSW),45.0,51.0,56.0,82.0,29.0,--,--,--,--,--
Willoughby East,47.0,39.0,59.0,79.0,23.0,--,--,--,--,--
Windale,57.0,51.0,56.0,74.0,29.0,--,--,--,--,--
Windang,63.0,58.0,62.0,75.0,26.0,--,--,--,--,--
Winmalee,50.0,50.0,55.0,74.0,22.0,--,--,--,--,--
Winston Hills,50.0,49.0,55.0,81.0,24.0,--,--,--,--,--
Wollongong,52.0,49.0,55.0,80.0,25.0,--,--,--,--,--
Wollstonecraft,44.0,50.0,53.0,78.0,30.0,--,--,--,--,--
Wombarra,51.0,53.0,57.0,69.0,33.0,--,--,--,--,--
Woodbine (NSW),52.0,44.0,52.0,67.0,23.0,--,--,--,--,--
Woodcroft (NSW),47.0,48.0,52.0,73.0,22.0,--,--,--,--,--
Woodpark,48.0,42.0,45.0,75.0,24.0,--,--,--,--,--
Woodrising,48.0,49.0,50.0,64.0,23.0,--,--,--,--,--
Woollahra,51.0,55.0,58.0,82.0,30.0,--,--,--,--,--
Woolloomooloo,50.0,54.0,55.0,70.0,32.0,--,--,--,--,--
Woolwich,57.0,51.0,55.0,82.0,26.0,--,--,--,--,--
Woonona,51.0,52.0,53.0,81.0,25.0,--,--,--,--,--
Woronora,50.0,51.0,52.0,78.0,22.0,--,--,--,--,--
Woronora Heights,50.0,51.0,49.0,69.0,20.0,--,--,--,--,--
Woy Woy,58.0,57.0,60.0,80.0,30.0,--,--,--,--,--
Woy Woy Bay,55.0,60.0,52.0,75.0,26.0,--,--,--,--,--
Wyong,57.0,52.0,58.0,77.0,28.0,--,--,--,--,--
Wyongah,51.0,48.0,53.0,82.0,23.0,--,--,--,--,--
Yagoona,48.0,46.0,51.0,80.0,23.0,--,--,--,--,--
Yarrawarrah,52.0,53.0,55.0,70.0,23.0,--,--,--,--,--
Yattalunga (NSW),52.0,44.0,52.0,67.0,27.0,--,--,--,--,--
Yennora,48.0,52.0,59.0,84.0,25.0,--,--,--,--,--
Yowie Bay,54.0,47.0,52.0,80.0,22.0,--,--,--,--,--
Zetland,36.0,48.0,49.0,69.0,28.0,--,--,--,--,--
