,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%)
Bondi Beach,41.0,45.0,51.0,79.0,30.0,--,--,--,--,--
Bondi Junction,46.0,48.0,56.0,80.0,29.0,--,--,--,--,--
Bonnet Bay,54.0,53.0,60.0,74.0,22.0,--,--,--,--,--
Bonnyrigg,50.0,47.0,49.0,72.0,23.0,--,--,--,--,--
Bonnyrigg Heights,49.0,46.0,47.0,72.0,22.0,--,--,--,--,--
Booker Bay,64.0,40.0,54.0,79.0,29.0,--,--,--,--,--
Boolaroo,53.0,52.0,55.0,82.0,26.0,--,--,--,--,--
Booragul,59.0,47.0,54.0,85.0,26.0,--,--,--,--,--
Bossley Park,51.0,49.0,51.0,76.0,23.0,--,--,--,--,--
Botany,46.0,49.0,54.0,78.0,28.0,--,--,--,--,--
Bow Bowing,46.0,44.0,54.0,71.0,22.0,--,--,--,--,--
Bradbury (NSW),53.0,47.0,54.0,72.0,25.0,--,--,--,--,--
Broadmeadow,47.0,52.0,54.0,76.0,28.0,--,--,--,--,--
Bronte,48.0,51.0,54.0,80.0,31.0,--,--,--,--,--
Brookvale,43.0,46.0,54.0,83.0,29.0,--,--,--,--,--
Budgewoi,57.0,50.0,56.0,79.0,27.0,--,--,--,--,--
Buff Point,56.0,53.0,58.0,77.0,25.0,--,--,--,--,--
Bulli,49.0,48.0,54.0,79.0,25.0,--,--,--,--,--
Burwood (NSW),47.0,47.0,52.0,81.0,25.0,--,--,--,--,--
Burwood Heights,56.0,43.0,58.0,80.0,25.0,--,--,--,--,--
Busby,49.0,46.0,54.0,72.0,23.0,--,--,--,--,--
Cabarita (NSW),55.0,48.0,52.0,81.0,25.0,--,--,--,--,--
Cabramatta,47.0,47.0,48.0,77.0,25.0,--,--,--,--,--
Cabramatta West,49.0,47.0,49.0,76.0,24.0,--,--,--,--,--
Cambridge Gardens,50.0,44.0,54.0,76.0,24.0,--,--,--,--,--
Cambridge Park,50.0,48.0,52.0,73.0,26.0,--,--,--,--,--
Camden,51.0,50.0,54.0,83.0,26.0,--,--,--,--,--
Camden South,52.0,48.0,52.0,75.0,23.0,--,--,--,--,--
Cammeray,43.0,51.0,54.0,77.0,31.0,--,--,--,--,--
Campbelltown (NSW),50.0,45.0,54.0,78.0,25.0,--,--,--,--,--
Camperdown (NSW),37.0,46.0,51.0,74.0,27.0,--,--,--,--,--
Campsie,44.0,48.0,51.0,76.0,25.0,--,--,--,--,--
Canada Bay,48.0,39.0,51.0,81.0,28.0,--,--,--,--,--
Canley Heights,48.0,48.0,48.0,73.0,24.0,--,--,--,--,--
Canley Vale,47.0,48.0,50.0,78.0,25.0,--,--,--,--,--
Canterbury (NSW),47.0,51.0,51.0,75.0,27.0,--,--,--,--,--
Canton Beach,66.0,57.0,64.0,80.0,31.0,--,--,--,--,--
Cardiff (NSW),52.0,44.0,53.0,80.0,27.0,--,--,--,--,--
Cardiff Heights,55.0,50.0,54.0,85.0,23.0,--,--,--,--,--
Cardiff South,50.0,47.0,52.0,77.0,25.0,--,--,--,--,--
Caringbah,46.0,50.0,56.0,81.0,28.0,--,--,--,--,--
Carlingford,51.0,49.0,54.0,79.0,23.0,--,--,--,--,--
Carlton (NSW),47.0,52.0,53.0,78.0,26.0,--,--,--,--,--
Carramar (NSW),46.0,53.0,53.0,79.0,26.0,--,--,--,--,--
Carrington (Newcastle - NSW),42.0,53.0,58.0,79.0,28.0,--,--,--,--,--
Carss Park,52.0,53.0,62.0,81.0,23.0,--,--,--,--,--
Cartwright,47.0,51.0,55.0,74.0,28.0,--,--,--,--,--
Castle Cove,54.0,50.0,59.0,82.0,22.0,--,--,--,--,--
Castle Hill (NSW),51.0,49.0,54.0,83.0,22.0,--,--,--,--,--
Castlecrag,52.0,49.0,54.0,82.0,22.0,--,--,--,--,--
Casula,46.0,46.0,51.0,76.0,23.0,--,--,--,--,--
Caves Beach,56.0,47.0,53.0,74.0,22.0,--,--,--,--,--
Cecil Hills,48.0,46.0,49.0,71.0,21.0,--,--,--,--,--
Centennial Park (NSW),47.0,42.0,59.0,74.0,30.0,--,--,--,--,--
Charlestown (NSW),52.0,49.0,54.0,79.0,25.0,--,--,--,--,--
Charmhaven,52.0,49.0,56.0,80.0,24.0,--,--,--,--,--
Chatswood,45.0,51.0,54.0,81.0,25.0,--,--,--,--,--
Chatswood West,50.0,48.0,55.0,81.0,24.0,--,--,--,--,--
Cheltenham (NSW),53.0,50.0,54.0,73.0,21.0,--,--,--,--,--
Cherrybrook,51.0,49.0,55.0,82.0,21.0,--,--,--,--,--
Chester Hill,49.0,48.0,54.0,79.0,23.0,--,--,--,--,--
Chifley (NSW),51.0,54.0,56.0,79.0,25.0,--,--,--,--,--
Chippendale,35.0,42.0,54.0,73.0,27.0,--,--,--,--,--
Chipping Norton,52.0,46.0,50.0,75.0,24.0,--,--,--,--,--
Chiswick,42.0,52.0,49.0,78.0,30.0,--,--,--,--,--
Chittaway Bay,51.0,48.0,53.0,76.0,24.0,--,--,--,--,--
Chittaway Point,52.0,48.0,56.0,80.0,24.0,--,--,--,--,--
Church Point,57.0,53.0,61.0,79.0,23.0,--,--,--,--,--
Claremont Meadows,42.0,44.0,51.0,65.0,23.0,--,--,--,--,--
Claymore,48.0,46.0,52.0,63.0,25.0,--,--,--,--,--
Clontarf (NSW),52.0,59.0,60.0,78.0,20.0,--,--,--,--,--
Clovelly,46.0,46.0,51.0,79.0,32.0,--,--,--,--,--
Coal Point,58.0,49.0,55.0,80.0,22.0,--,--,--,--,--
Coledale,50.0,51.0,57.0,76.0,29.0,--,--,--,--,--
Collaroy (NSW),49.0,49.0,55.0,79.0,26.0,--,--,--,--,--
Colyton,50.0,47.0,51.0,70.0,25.0,--,--,--,--,--
Como (NSW),49.0,50.0,54.0,80.0,22.0,--,--,--,--,--
Concord,50.0,50.0,54.0,79.0,25.0,--,--,--,--,--
Concord West,50.0,49.0,55.0,75.0,25.0,--,--,--,--,--
Condell Park,49.0,44.0,51.0,78.0,23.0,--,--,--,--,--
Coniston,53.0,48.0,53.0,79.0,27.0,--,--,--,--,--
Connells Point,53.0,52.0,59.0,78.0,22.0,--,--,--,--,--
Coogee (NSW),44.0,50.0,54.0,79.0,30.0,--,--,--,--,--
Cooks Hill,50.0,50.0,55.0,73.0,27.0,--,--,--,--,--
Copacabana,49.0,52.0,53.0,75.0,23.0,--,--,--,--,--
Cordeaux Heights,49.0,49.0,54.0,75.0,20.0,--,--,--,--,--
Corrimal,52.0,50.0,55.0,80.0,26.0,--,--,--,--,--
Cranebrook,45.0,46.0,51.0,70.0,23.0,--,--,--,--,--
Cremorne (NSW),44.0,52.0,57.0,77.0,30.0,--,--,--,--,--
Cremorne Point,52.0,43.0,58.0,71.0,31.0,--,--,--,--,--
Cringila,52.0,44.0,51.0,73.0,27.0,--,--,--,--,--
Cromer (NSW),49.0,49.0,58.0,81.0,24.0,--,--,--,--,--
