,Less than 5 hours per week,5 to 14 hours per week,15 to 29 hours per week,30 hours or more per week,Less than 5 hours per week (%),5 to 14 hours per week (%),15 to 29 hours per week (%),30 hours or more per week (%),SSC_CODE
North Bondi,2339.0,1808.0,652.0,430.0,32.2,24.9,9.0,5.9,12984
Waverley (NSW),959.0,856.0,325.0,164.0,26.2,23.4,8.9,4.5,14200
Bondi Junction,2460.0,1875.0,533.0,346.0,29.8,22.7,6.5,4.2,10467
Queens Park (NSW),741.0,708.0,254.0,156.0,30.7,29.4,10.5,6.5,13294
Centennial Park (NSW),740.0,553.0,140.0,86.0,35.2,26.3,6.7,4.1,10873
Darling Point,1113.0,918.0,298.0,180.0,29.6,24.4,7.9,4.8,11211
Edgecliff,711.0,586.0,168.0,95.0,30.9,25.4,7.3,4.1,11379
Double Bay,1349.0,1023.0,307.0,210.0,32.8,24.9,7.5,5.1,11281
Bellevue Hill,2741.0,2224.0,801.0,520.0,31.2,25.3,9.1,5.9,10271
Rose Bay (NSW),2489.0,2096.0,774.0,461.0,30.2,25.5,9.4,5.6,13398
Paddington (NSW),3825.0,2992.0,888.0,516.0,34.2,26.7,7.9,4.6,13115
Point Piper,354.0,270.0,93.0,90.0,28.7,21.9,7.5,7.3,13233
Vaucluse,2005.0,1830.0,768.0,527.0,27.4,25.0,10.5,7.2,14071
Dover Heights,838.0,801.0,335.0,222.0,28.0,26.7,11.2,7.4,11284
Watsons Bay,190.0,167.0,62.0,47.0,27.4,24.1,8.9,6.8,14187
Woollahra,1908.0,1671.0,567.0,346.0,30.2,26.5,9.0,5.5,14404
Clovelly,1222.0,1163.0,393.0,240.0,32.2,30.7,10.4,6.3,10938
South Coogee,1097.0,1076.0,487.0,330.0,25.0,24.5,11.1,7.5,13579
Coogee (NSW),4487.0,3413.0,1002.0,569.0,34.3,26.1,7.7,4.4,11015
La Perouse,55.0,62.0,47.0,28.0,16.2,18.2,13.8,8.2,12230
Little Bay,837.0,919.0,379.0,244.0,22.8,25.0,10.3,6.6,12349
Malabar,712.0,779.0,372.0,220.0,14.9,16.3,7.8,4.6,12453
Chifley (NSW),574.0,682.0,272.0,209.0,22.1,26.2,10.5,8.0,10901
Phillip Bay,129.0,127.0,61.0,61.0,22.6,22.2,10.7,10.7,13193
Kensington (NSW),3911.0,2820.0,828.0,501.0,28.9,20.9,6.1,3.7,12099
Kingsford (NSW),3520.0,2812.0,989.0,627.0,25.6,20.5,7.2,4.6,12156
Maroubra,6495.0,6347.0,2431.0,1718.0,25.3,24.7,9.5,6.7,12501
Randwick,7714.0,6854.0,2029.0,1233.0,30.3,27.0,8.0,4.8,13312
Georges Hall,1407.0,1514.0,709.0,712.0,20.0,21.5,10.1,10.1,11601
Bass Hill,1390.0,1356.0,623.0,641.0,19.8,19.4,8.9,9.1,10224
Yagoona,2750.0,2617.0,1176.0,1281.0,19.6,18.6,8.4,9.1,14453
Villawood,688.0,651.0,316.0,400.0,14.3,13.5,6.6,8.3,14074
Greenacre,3435.0,3217.0,1495.0,1796.0,18.6,17.4,8.1,9.7,11757
Potts Hill,160.0,157.0,65.0,52.0,22.8,22.4,9.3,7.4,13255
Milperra,717.0,882.0,409.0,316.0,22.7,28.0,13.0,10.0,12625
Revesby,2478.0,2637.0,1188.0,977.0,21.4,22.8,10.3,8.5,13355
Condell Park,1772.0,1688.0,807.0,845.0,20.0,19.0,9.1,9.5,11001
Bankstown,4534.0,4463.0,1988.0,2109.0,18.1,17.8,7.9,8.4,10180
Mount Lewis,182.0,199.0,82.0,97.0,18.9,20.6,8.5,10.1,12774
Punchbowl (Canterbury-Bankstown - NSW),2870.0,2744.0,1227.0,1472.0,18.3,17.5,7.8,9.4,13273
Padstow,2592.0,2556.0,1210.0,912.0,23.5,23.2,11.0,8.3,13120
Padstow Heights,622.0,731.0,362.0,261.0,21.1,24.7,12.3,8.8,13121
Panania,2220.0,2449.0,1168.0,961.0,22.5,24.8,11.8,9.7,13144
East Hills,612.0,632.0,305.0,218.0,23.0,23.8,11.5,8.2,11351
Picnic Point,1142.0,1247.0,629.0,487.0,23.6,25.8,13.0,10.1,13199
Revesby Heights,315.0,345.0,139.0,136.0,24.8,27.2,10.9,10.7,13356
Birrong,551.0,516.0,249.0,234.0,22.1,20.7,10.0,9.4,10379
Belmore,2167.0,2138.0,955.0,866.0,20.7,20.4,9.1,8.3,10279
Belfield,1168.0,1126.0,514.0,433.0,23.1,22.3,10.2,8.6,10257
Campsie,4468.0,3957.0,1669.0,1525.0,21.5,19.0,8.0,7.3,10782
Canterbury (NSW),1440.0,1481.0,566.0,433.0,23.5,24.2,9.2,7.1,10797
Clemton Park,278.0,277.0,153.0,90.0,20.6,20.6,11.4,6.7,10928
Earlwood,3358.0,3564.0,1661.0,1219.0,23.2,24.6,11.5,8.4,11343
Kingsgrove,2395.0,2325.0,1074.0,897.0,23.5,22.8,10.5,8.8,12158
Riverwood,2097.0,2064.0,908.0,805.0,20.6,20.3,8.9,7.9,13371
Roselands,1901.0,1894.0,890.0,810.0,21.0,20.9,9.8,9.0,13409
Beverly Hills,1945.0,1966.0,905.0,738.0,23.0,23.2,10.7,8.7,10331
Narwee,1002.0,971.0,466.0,365.0,21.8,21.1,10.1,7.9,12912
Lakemba,2250.0,2281.0,1010.0,1346.0,17.7,17.9,7.9,10.6,12257
Wiley Park,1400.0,1350.0,674.0,743.0,18.3,17.6,8.8,9.7,14293
Hurstville,5555.0,5175.0,2203.0,1692.0,21.7,20.2,8.6,6.6,11964
Carlton (NSW),2025.0,2074.0,899.0,707.0,22.7,23.3,10.1,7.9,10819
Penshurst (NSW),2538.0,2632.0,1097.0,845.0,23.8,24.6,10.3,7.9,13186
Oatley,2148.0,2423.0,1194.0,786.0,25.3,28.5,14.1,9.2,13064
Mortdale,2111.0,2282.0,912.0,629.0,24.5,26.5,10.6,7.3,12728
Peakhurst,1864.0,1994.0,953.0,770.0,21.7,23.2,11.1,9.0,13168
Hurstville Grove,564.0,539.0,301.0,195.0,25.4,24.2,13.5,8.8,11965
Lugarno,1141.0,1228.0,654.0,480.0,24.7,26.5,14.1,10.4,12421
Peakhurst Heights,453.0,505.0,273.0,222.0,23.4,26.1,14.1,11.5,13169
South Hurstville,977.0,931.0,387.0,362.0,23.2,22.1,9.2,8.6,13587
Blakehurst,1238.0,1132.0,605.0,437.0,24.5,22.4,12.0,8.6,10403
Kyle Bay,218.0,212.0,92.0,87.0,25.6,24.9,10.8,10.2,12227
Connells Point,563.0,581.0,318.0,233.0,24.4,25.2,13.8,10.1,11013
Carss Park,219.0,273.0,117.0,105.0,21.6,27.0,11.6,10.4,10837
Arncliffe,2008.0,1932.0,664.0,593.0,22.6,21.7,7.5,6.7,10086
Wolli Creek,1618.0,1232.0,283.0,173.0,27.4,20.9,4.8,2.9,14353
Turrella,523.0,426.0,176.0,134.0,25.1,20.5,8.5,6.4,13982
Bardwell Valley,408.0,480.0,221.0,151.0,21.7,25.5,11.7,8.0,10196
Bardwell Park,459.0,483.0,220.0,175.0,25.2,26.5,12.1,9.6,10195
Bexley,3295.0,3533.0,1501.0,1262.0,20.4,21.9,9.3,7.8,10334
Kogarah,2907.0,2939.0,1212.0,865.0,22.9,23.1,9.5,6.8,12181
Bexley North,752.0,837.0,411.0,288.0,22.4,24.9,12.2,8.6,10335
Allawah,1078.0,1110.0,473.0,329.0,22.2,22.8,9.7,6.8,10038
Beverley Park,450.0,483.0,191.0,182.0,23.3,25.0,9.9,9.4,10330
Kogarah Bay,411.0,390.0,193.0,144.0,25.1,23.8,11.8,8.8,12182
Kyeemagh,143.0,167.0,74.0,72.0,18.8,21.9,9.7,9.4,12226
Brighton-le-Sands,1575.0,1603.0,588.0,475.0,22.2,22.6,8.3,6.7,10569
Rockdale,3078.0,2739.0,986.0,795.0,22.9,20.3,7.3,5.9,13379
Monterey,868.0,902.0,374.0,299.0,23.3,24.2,10.1,8.0,12686
Banksia,618.0,656.0,289.0,206.0,22.1,23.5,10.3,7.4,10178
Sandringham (NSW),244.0,275.0,117.0,76.0,23.6,26.6,11.3,7.4,13478
Dolls Point,381.0,361.0,116.0,79.0,27.2,25.8,8.3,5.6,11267
Sans Souci,1895.0,2151.0,947.0,691.0,22.2,25.2,11.1,8.1,13489
Ramsgate,224.0,255.0,78.0,70.0,24.2,27.5,8.4,7.6,13309
Ramsgate Beach,288.0,345.0,110.0,113.0,20.5,24.5,7.8,8.0,13310
Concord,2878.0,3051.0,1373.0,993.0,24.3,25.7,11.6,8.4,10999
Breakfast Point,973.0,1017.0,391.0,236.0,27.0,28.2,10.8,6.5,10557
Cabarita (NSW),413.0,462.0,223.0,150.0,25.0,28.0,13.5,9.1,10736
Mortlake (NSW),220.0,252.0,89.0,63.0,24.8,28.4,10.0,7.1,12729
North Strathfield,1056.0,922.0,375.0,252.0,26.2,22.9,9.3,6.3,13009
Concord West,1153.0,1216.0,574.0,432.0,24.1,25.4,12.0,9.0,11000
Sydney Olympic Park,389.0,310.0,92.0,56.0,24.7,19.7,5.8,3.6,13716
Liberty Grove,462.0,447.0,200.0,138.0,26.2,25.4,11.4,7.8,12315
Rhodes,2500.0,2207.0,647.0,499.0,23.5,20.8,6.1,4.7,13358
Drummoyne,2817.0,2796.0,1009.0,659.0,28.1,27.8,10.0,6.6,11293
Russell Lea,1033.0,1115.0,478.0,337.0,25.7,27.7,11.9,8.4,13447
Rodd Point,262.0,318.0,143.0,94.0,24.1,29.3,13.2,8.6,13391
Abbotsford (NSW),1192.0,1248.0,505.0,326.0,26.2,27.4,11.1,7.2,10003
Chiswick,708.0,720.0,194.0,135.0,28.2,28.7,7.7,5.4,10910
Five Dock,1962.0,2026.0,812.0,629.0,25.8,26.6,10.7,8.3,11530
Canada Bay,245.0,266.0,127.0,86.0,24.4,26.4,12.6,8.5,10785
Wareemba,338.0,351.0,160.0,115.0,26.9,27.9,12.7,9.2,14148
Balmain,2600.0,2682.0,810.0,468.0,30.0,31.0,9.4,5.4,10164
Birchgrove,747.0,872.0,325.0,186.0,28.1,32.8,12.2,7.0,10374
Woolwich,193.0,199.0,78.0,40.0,27.4,28.3,11.1,5.7,14412
Leichhardt (NSW),3379.0,3534.0,1223.0,711.0,28.7,30.0,10.4,6.0,12297
Lilyfield,1510.0,1868.0,696.0,408.0,25.2,31.2,11.6,6.8,12325
Rozelle,2235.0,2253.0,675.0,377.0,31.0,31.2,9.4,5.2,13435
Ashfield (NSW),5040.0,4977.0,1792.0,1188.0,24.1,23.8,8.6,5.7,10098
Summer Hill (Inner West - NSW),1794.0,1844.0,563.0,343.0,29.0,29.8,9.1,5.5,13687
Hurlstone Park,929.0,1169.0,442.0,259.0,23.5,29.6,11.2,6.6,11963
Ashbury,636.0,761.0,353.0,228.0,23.9,28.5,13.2,8.6,10093
Burwood (NSW),3226.0,2631.0,1125.0,794.0,22.3,18.2,7.8,5.5,10718
Croydon (NSW),2229.0,2248.0,909.0,669.0,25.2,25.4,10.3,7.6,11134
Strathfield (NSW),5314.0,4579.0,2002.0,1521.0,23.6,20.3,8.9,6.7,13675
Croydon Park (NSW),2213.0,2242.0,923.0,746.0,24.6,24.9,10.3,8.3,11135
Enfield (NSW),611.0,576.0,221.0,192.0,25.6,24.1,9.2,8.0,11421
Burwood Heights,178.0,191.0,75.0,59.0,21.7,23.3,9.1,7.2,10719
Haberfield,1302.0,1449.0,677.0,437.0,24.8,27.6,12.9,8.3,11828
Homebush West,1521.0,1484.0,572.0,478.0,21.1,20.5,7.9,6.6,11930
Homebush (NSW),1433.0,1278.0,517.0,384.0,23.9,21.3,8.6,6.4,11929
Strathfield South,720.0,695.0,311.0,252.0,24.7,23.9,10.7,8.6,13676
Chatswood,5196.0,4843.0,2049.0,1490.0,24.9,23.2,9.8,7.1,10892
North Willoughby,791.0,885.0,436.0,298.0,24.4,27.3,13.4,9.2,13016
Willoughby (NSW),1286.0,1475.0,633.0,409.0,25.7,29.5,12.7,8.2,14303
Artarmon,2164.0,2184.0,767.0,568.0,28.1,28.4,10.0,7.4,10090
Roseville,2079.0,2218.0,1116.0,727.0,26.3,28.1,14.1,9.2,13412
Lane Cove North,2822.0,2806.0,853.0,616.0,29.8,29.6,9.0,6.5,12267
Chatswood West,297.0,371.0,189.0,100.0,24.4,30.5,15.5,8.2,10893
Lane Cove West,533.0,626.0,252.0,174.0,26.4,31.0,12.5,8.6,12268
Lane Cove,2475.0,2701.0,987.0,608.0,28.2,30.8,11.2,6.9,12266
Riverview (NSW),683.0,673.0,381.0,227.0,26.7,26.3,14.9,8.9,13370
Greenwich,1297.0,1342.0,560.0,345.0,27.7,28.7,12.0,7.4,11770
Northwood (NSW),198.0,205.0,117.0,68.0,25.4,26.3,15.0,8.7,13024
Longueville,437.0,447.0,268.0,177.0,26.3,26.9,16.2,10.7,12385
Linley Point,71.0,77.0,34.0,25.0,25.2,27.3,12.1,8.9,12341
St Leonards (NSW),1594.0,1411.0,332.0,220.0,32.1,28.4,6.7,4.4,13642
Naremburn,1347.0,1486.0,563.0,296.0,28.7,31.6,12.0,6.3,12898
Cammeray,1795.0,1851.0,596.0,347.0,31.4,32.3,10.4,6.1,10778
Castle Cove,474.0,587.0,295.0,193.0,23.4,28.9,14.5,9.5,10845
Castlecrag,609.0,637.0,324.0,232.0,26.7,27.9,14.2,10.2,10849
Northbridge (NSW),1296.0,1371.0,696.0,461.0,26.3,27.8,14.1,9.3,13022
Middle Cove,256.0,321.0,153.0,102.0,24.2,30.4,14.5,9.7,12602
Willoughby East,363.0,399.0,193.0,134.0,27.6,30.3,14.7,10.2,14304
Hornsby Heights,1219.0,1519.0,766.0,475.0,24.9,31.0,15.6,9.7,11937
Mount Colah,1418.0,1714.0,821.0,501.0,25.2,30.5,14.6,8.9,12750
Asquith,645.0,735.0,393.0,271.0,24.2,27.6,14.7,10.2,10103
Hornsby,4297.0,4949.0,2060.0,1559.0,23.8,27.4,11.4,8.6,11936
Mount Kuring-Gai,328.0,423.0,183.0,123.0,24.4,31.4,13.6,9.1,12772
Cowan,124.0,137.0,69.0,52.0,24.6,27.1,13.7,10.3,11097
Berowra,975.0,1153.0,544.0,364.0,26.4,31.2,14.7,9.9,10308
Brooklyn (NSW),148.0,187.0,82.0,48.0,23.2,29.4,12.9,7.5,10599
Berowra Heights,962.0,1368.0,592.0,433.0,23.9,33.9,14.7,10.7,10310
Dangar Island,51.0,84.0,39.0,21.0,20.6,33.9,15.7,8.5,11199
Normanhurst,1020.0,1210.0,602.0,377.0,24.1,28.6,14.2,8.9,12976
Thornleigh,1693.0,1951.0,919.0,657.0,25.4,29.3,13.8,9.9,13850
Westleigh,893.0,1090.0,576.0,354.0,25.0,30.5,16.1,9.9,14260
Wahroonga,3494.0,3709.0,1881.0,1271.0,25.1,26.6,13.5,9.1,14085
Waitara,1124.0,1274.0,485.0,423.0,23.7,26.8,10.2,8.9,14086
East Killara,613.0,607.0,336.0,256.0,25.1,24.9,13.8,10.5,11355
Killara (NSW),2162.0,2285.0,1119.0,831.0,25.3,26.7,13.1,9.7,12129
Lindfield,2104.0,2130.0,1062.0,727.0,26.9,27.3,13.6,9.3,12339
Gordon (NSW),1630.0,1715.0,798.0,593.0,26.0,27.3,12.7,9.4,11718
East Lindfield,778.0,806.0,453.0,285.0,27.0,28.0,15.7,9.9,11357
Roseville Chase,324.0,359.0,183.0,119.0,26.0,28.8,14.7,9.5,13413
Pymble,2243.0,2462.0,1264.0,867.0,25.8,28.3,14.5,10.0,13281
West Pymble,1061.0,1185.0,614.0,398.0,26.3,29.4,15.2,9.9,14250
St Ives (NSW),3420.0,3842.0,1996.0,1330.0,24.9,28.0,14.6,9.7,13639
St Ives Chase,612.0,724.0,399.0,232.0,24.9,29.4,16.2,9.4,13640
Turramurra,2311.0,2813.0,1391.0,978.0,24.3,29.6,14.6,10.3,13980
South Turramurra,599.0,696.0,356.0,261.0,25.5,29.6,15.1,11.1,13598
North Turramurra,775.0,951.0,453.0,355.0,21.2,26.0,12.4,9.7,13013
Warrawee,642.0,676.0,364.0,261.0,26.3,27.7,14.9,10.7,14165
North Wahroonga,412.0,465.0,248.0,178.0,25.9,29.2,15.6,11.2,13015
Cremorne Point,643.0,636.0,208.0,123.0,30.9,30.5,10.0,5.9,11113
Cremorne (NSW),3110.0,2871.0,877.0,533.0,32.6,30.1,9.2,5.6,11112
Neutral Bay,3072.0,2618.0,701.0,380.0,33.5,28.5,7.6,4.1,12934
Crows Nest (NSW),1392.0,1216.0,358.0,202.0,33.4,29.2,8.6,4.8,11131
Wollstonecraft,2404.0,2347.0,664.0,321.0,33.4,32.6,9.2,4.5,14359
Waverton,814.0,842.0,280.0,156.0,30.5,31.6,10.5,5.8,14202
North Sydney,2199.0,1922.0,523.0,260.0,31.8,27.8,7.6,3.8,13010
Mosman,6590.0,6574.0,2632.0,1716.0,28.1,28.0,11.2,7.3,12738
Kirribilli,1193.0,938.0,265.0,137.0,33.6,26.5,7.5,3.9,12173
Kurraba Point,443.0,399.0,123.0,88.0,33.2,29.9,9.2,6.6,12217
Milsons Point,584.0,560.0,165.0,102.0,29.5,28.3,8.3,5.2,12629
McMahons Point,699.0,638.0,172.0,73.0,33.5,30.6,8.2,3.5,12547
Lavender Bay,256.0,253.0,67.0,36.0,29.7,29.4,7.8,4.2,12285
Seaforth (NSW),1383.0,1548.0,747.0,548.0,25.9,29.0,14.0,10.3,13509
Balgowlah Heights,642.0,704.0,360.0,279.0,26.2,28.7,14.7,11.4,10154
Clontarf (NSW),337.0,388.0,199.0,125.0,24.5,28.3,14.5,9.1,10935
Balgowlah,1679.0,1946.0,729.0,498.0,26.8,31.1,11.7,8.0,10153
Manly (NSW),4446.0,3609.0,1150.0,654.0,32.2,26.1,8.3,4.7,12475
Fairlight,1434.0,1452.0,578.0,318.0,29.8,30.1,12.0,6.6,11482
Avalon Beach,2008.0,2422.0,1152.0,690.0,25.3,30.5,14.5,8.7,10111
Palm Beach (NSW),307.0,394.0,212.0,128.0,21.8,28.0,15.1,9.1,13132
Whale Beach,45.0,66.0,24.0,25.0,20.5,30.0,10.9,11.4,14267
Clareville,139.0,209.0,124.0,54.0,21.3,32.0,19.0,8.3,10923
Scotland Island,121.0,151.0,65.0,38.0,26.5,33.1,14.3,8.3,13505
Elanora Heights,845.0,976.0,493.0,351.0,25.5,29.5,14.9,10.6,11389
Ingleside,191.0,242.0,92.0,74.0,23.4,29.7,11.3,9.1,11979
Bayview (NSW),650.0,810.0,423.0,290.0,20.8,25.9,13.5,9.3,10237
Church Point,191.0,253.0,145.0,80.0,22.4,29.7,17.0,9.4,10915
Lovett Bay,13.0,26.0,10.0,18.0,10.2,20.3,7.8,14.1,12397
Mona Vale,2215.0,2552.0,1114.0,687.0,25.2,29.1,12.7,7.8,12672
Newport (NSW),2027.0,2258.0,1050.0,611.0,26.8,29.9,13.9,8.1,12956
Bilgola Plateau,714.0,887.0,393.0,284.0,26.0,32.3,14.3,10.3,10351
Bilgola Beach,47.0,72.0,35.0,14.0,23.3,35.6,17.3,6.9,10350
Warriewood,1457.0,1717.0,752.0,470.0,25.2,29.6,13.0,8.1,14173
North Narrabeen,1160.0,1399.0,566.0,390.0,25.6,30.9,12.5,8.6,12999
Beacon Hill,1490.0,1692.0,805.0,464.0,25.3,28.8,13.7,7.9,10238
Narraweena,1206.0,1363.0,581.0,444.0,22.5,25.5,10.9,8.3,12910
Cromer (NSW),1454.0,1746.0,801.0,454.0,24.3,29.1,13.4,7.6,11118
Oxford Falls,24.0,23.0,21.0,14.0,20.3,19.5,17.8,11.9,13106
Dee Why,5099.0,4842.0,1621.0,992.0,28.2,26.8,9.0,5.5,11227
North Curl Curl,855.0,820.0,391.0,308.0,27.8,26.7,12.7,10.0,12988
Forestville (NSW),1562.0,1874.0,908.0,587.0,24.3,29.1,14.1,9.1,11548
Killarney Heights,888.0,969.0,513.0,337.0,26.0,28.4,15.0,9.9,12130
Frenchs Forest,2624.0,3006.0,1522.0,918.0,25.5,29.2,14.8,8.9,11568
Belrose,1645.0,1999.0,926.0,591.0,23.3,28.3,13.1,8.4,10283
Davidson,569.0,704.0,353.0,184.0,25.0,30.9,15.5,8.1,11219
Curl Curl,467.0,499.0,233.0,152.0,25.6,27.4,12.8,8.3,11167
Freshwater (NSW),2108.0,2122.0,672.0,470.0,30.0,30.2,9.6,6.7,11569
Manly Vale,1393.0,1368.0,489.0,345.0,28.0,27.5,9.8,6.9,12476
North Manly,598.0,690.0,292.0,195.0,25.6,29.5,12.5,8.3,12997
Queenscliff (NSW),1050.0,827.0,231.0,118.0,35.8,28.2,7.9,4.0,13296
Brookvale,794.0,736.0,237.0,137.0,29.5,27.3,8.8,5.1,10601
Allambie Heights,1330.0,1578.0,716.0,521.0,24.5,29.0,13.2,9.6,10036
North Balgowlah,700.0,738.0,380.0,252.0,27.4,28.9,14.9,9.9,12981
Narrabeen,1908.0,1868.0,659.0,423.0,26.6,26.1,9.2,5.9,12902
Collaroy (NSW),1851.0,1838.0,687.0,476.0,28.2,28.0,10.5,7.2,10970
Collaroy Plateau,912.0,1029.0,496.0,325.0,25.0,28.2,13.6,8.9,10971
Wheeler Heights,601.0,666.0,300.0,197.0,26.7,29.6,13.3,8.8,14268
Terrey Hills,605.0,705.0,319.0,204.0,24.9,29.1,13.2,8.4,13804
Duffys Forest,91.0,85.0,58.0,49.0,23.5,22.0,15.0,12.7,11301
Ellis Lane,151.0,196.0,110.0,91.0,22.2,28.9,16.2,13.4,11405
Grasmere,299.0,369.0,169.0,132.0,17.4,21.5,9.8,7.7,11739
Camden,627.0,698.0,282.0,217.0,23.6,26.3,10.6,8.2,10770
Camden Park (NSW),426.0,488.0,234.0,159.0,25.7,29.4,14.1,9.6,10772
Cawdor (NSW),88.0,105.0,40.0,39.0,23.9,28.5,10.9,10.6,10863
Camden South,820.0,1042.0,568.0,386.0,23.0,29.2,15.9,10.8,10773
Harrington Park,2015.0,2218.0,993.0,732.0,25.7,28.3,12.7,9.4,11859
Elderslie (Camden - NSW),1088.0,1316.0,562.0,428.0,24.0,29.0,12.4,9.4,11391
Narellan,718.0,735.0,342.0,285.0,24.7,25.3,11.8,9.8,12896
Kirkham,147.0,139.0,93.0,52.0,26.5,25.0,16.8,9.4,12171
Mount Annan,2275.0,2417.0,1112.0,805.0,26.1,27.8,12.8,9.2,12745
Currans Hill,960.0,1104.0,428.0,355.0,24.7,28.4,11.0,9.1,11175
Gregory Hills,925.0,1001.0,372.0,330.0,25.1,27.2,10.1,9.0,11774
Narellan Vale,1362.0,1581.0,700.0,464.0,24.7,28.6,12.7,8.4,12897
Spring Farm (NSW),788.0,1011.0,363.0,269.0,25.0,32.1,11.5,8.5,13612
Airds,303.0,313.0,176.0,250.0,14.1,14.6,8.2,11.7,10022
Bradbury (NSW),1482.0,1717.0,825.0,697.0,21.5,24.9,12.0,10.1,10543
St Helens Park,1120.0,1304.0,526.0,476.0,22.5,26.2,10.6,9.6,13637
Wedderburn (NSW),84.0,150.0,68.0,57.0,16.8,30.1,13.6,11.4,14209
Woodbine (NSW),455.0,532.0,235.0,212.0,21.1,24.7,10.9,9.8,14378
Campbelltown (NSW),2214.0,2471.0,958.0,895.0,21.4,23.9,9.3,8.7,10780
Leumeah,1659.0,1940.0,838.0,733.0,21.1,24.7,10.7,9.3,12308
Blair Athol (NSW),534.0,559.0,206.0,189.0,23.8,25.0,9.2,8.4,10400
Raby,1063.0,1275.0,521.0,436.0,22.6,27.1,11.1,9.3,13303
Eagle Vale,1068.0,1117.0,462.0,424.0,23.2,24.3,10.0,9.2,11341
Eschol Park,490.0,543.0,227.0,215.0,23.9,26.5,11.1,10.5,11441
Blairmount,76.0,74.0,23.0,16.0,24.2,23.6,7.3,5.1,10401
Kearns,540.0,611.0,244.0,169.0,24.5,27.8,11.1,7.7,12079
Claymore,237.0,203.0,100.0,173.0,13.5,11.5,5.7,9.8,10924
Holsworthy,1045.0,1104.0,449.0,330.0,24.6,26.0,10.6,7.8,11926
Ingleburn,2543.0,2784.0,1321.0,1200.0,21.3,23.3,11.1,10.0,11978
Macquarie Links,298.0,287.0,127.0,90.0,27.8,26.8,11.8,8.4,12435
Denham Court,429.0,421.0,146.0,134.0,25.1,24.7,8.6,7.9,11235
Bardia,263.0,318.0,124.0,83.0,22.8,27.6,10.8,7.2,10194
Edmondson Park,347.0,427.0,180.0,176.0,20.9,25.7,10.8,10.6,11383
Ruse,963.0,1196.0,580.0,421.0,21.5,26.7,13.0,9.4,13443
Kentlyn,128.0,144.0,86.0,74.0,21.6,24.3,14.5,12.5,12101
Minto Heights,79.0,70.0,30.0,44.0,24.2,21.4,9.2,13.5,12643
Macquarie Fields,2015.0,2203.0,1030.0,1038.0,19.0,20.8,9.7,9.8,12433
Glenfield (NSW),1530.0,1899.0,797.0,695.0,20.3,25.2,10.6,9.2,11664
Long Point (Campbelltown - NSW),40.0,49.0,20.0,16.0,23.1,28.3,11.6,9.2,12381
St Andrews (NSW),1017.0,1130.0,460.0,462.0,22.4,24.9,10.2,10.2,13631
Bow Bowing,301.0,348.0,139.0,104.0,23.7,27.4,11.0,8.2,10526
Minto,1883.0,2169.0,962.0,961.0,19.4,22.4,9.9,9.9,12642
Rosemeadow,1271.0,1375.0,666.0,573.0,21.0,22.8,11.0,9.5,13410
Ambarvale,1142.0,1269.0,575.0,586.0,20.2,22.4,10.2,10.4,10049
Menangle Park,42.0,54.0,22.0,18.0,20.8,26.7,10.9,8.9,12569
Gilead,37.0,79.0,39.0,25.0,9.2,19.7,9.7,6.2,11617
Glen Alpine,976.0,1043.0,479.0,332.0,26.0,27.7,12.7,8.8,11645
Englorie Park,67.0,73.0,29.0,31.0,21.4,23.3,9.3,9.9,11423
Yanderra,115.0,131.0,58.0,58.0,22.2,25.3,11.2,11.2,14461
Douglas Park,229.0,286.0,146.0,133.0,21.0,26.3,13.4,12.2,11283
Razorback,200.0,216.0,110.0,89.0,24.1,26.0,13.3,10.7,13328
Appin (NSW),448.0,547.0,252.0,195.0,23.0,28.0,12.9,10.0,10063
Menangle,204.0,237.0,106.0,110.0,20.4,23.7,10.6,11.0,12568
Picton (NSW),901.0,1071.0,515.0,407.0,23.6,28.1,13.5,10.7,13200
Tahmoor,846.0,995.0,492.0,459.0,21.3,25.0,12.4,11.5,13727
Buxton (NSW),349.0,414.0,196.0,172.0,22.7,27.0,12.8,11.2,10726
Thirlmere,662.0,800.0,411.0,368.0,20.5,24.8,12.7,11.4,13847
Couridjah,55.0,63.0,22.0,23.0,22.4,25.7,9.0,9.4,11093
Lakesland,73.0,100.0,51.0,43.0,20.8,28.5,14.5,12.3,12258
The Oaks,441.0,548.0,267.0,227.0,22.4,27.9,13.6,11.5,13831
Werombi,150.0,190.0,101.0,84.0,20.7,26.2,13.9,11.6,14232
Orangeville,202.0,271.0,156.0,122.0,21.2,28.5,16.4,12.8,13094
Belimbla Park,101.0,124.0,62.0,50.0,22.2,27.3,13.7,11.0,10261
Mount Hunter,145.0,166.0,61.0,68.0,25.5,29.2,10.7,12.0,12765
Brownlow Hill,81.0,82.0,39.0,34.0,24.5,24.8,11.8,10.3,10609
Theresa Park,102.0,109.0,65.0,61.0,23.0,24.6,14.7,13.8,13845
Silverdale (NSW),631.0,776.0,402.0,340.0,22.1,27.2,14.1,11.9,13544
Oakdale (NSW),291.0,383.0,196.0,174.0,20.2,26.6,13.6,12.1,13054
Blackheath,773.0,1166.0,541.0,391.0,20.8,31.4,14.6,10.5,10393
Mount Victoria,174.0,228.0,120.0,82.0,20.8,27.2,14.3,9.8,12797
Glenbrook,948.0,1316.0,622.0,411.0,23.3,32.4,15.3,10.1,11656
Blaxland (NSW),1432.0,1847.0,901.0,636.0,24.1,31.1,15.2,10.7,10407
