,Less than 5 hours per week,5 to 14 hours per week,15 to 29 hours per week,30 hours or more per week,Less than 5 hours per week (%),5 to 14 hours per week (%),15 to 29 hours per week (%),30 hours or more per week (%),SSC_CODE
Vincentia,547.0,809.0,461.0,288.0,19.5,28.8,16.4,10.3,14075
Hyams Beach,27.0,25.0,28.0,18.0,24.1,22.3,25.0,16.1,11967
Bomaderry,1053.0,1378.0,701.0,597.0,19.0,24.9,12.7,10.8,10453
Cambewarra,41.0,45.0,35.0,33.0,20.8,22.8,17.8,16.8,10763
North Nowra,903.0,1230.0,646.0,501.0,19.4,26.4,13.9,10.8,13000
Bangalee (NSW),121.0,160.0,108.0,70.0,21.6,28.6,19.3,12.5,10173
Meroo Meadow,79.0,112.0,58.0,61.0,20.5,29.1,15.1,15.8,12579
Cambewarra Village,223.0,276.0,141.0,112.0,24.5,30.4,15.5,12.3,10764
Tapitallee,96.0,164.0,93.0,63.0,18.1,31.0,17.6,11.9,13755
Worrigee,807.0,1063.0,527.0,418.0,21.3,28.0,13.9,11.0,14423
Nowra,1184.0,1694.0,835.0,783.0,15.8,22.6,11.2,10.5,13028
Nowra Hill,261.0,307.0,137.0,115.0,13.9,16.3,7.3,6.1,13029
West Nowra,238.0,295.0,129.0,115.0,21.6,26.8,11.7,10.5,14248
Terara,28.0,50.0,42.0,20.0,13.3,23.7,19.9,9.5,13795
South Nowra,258.0,410.0,149.0,165.0,17.6,28.0,10.2,11.3,13594
St Georges Basin,396.0,626.0,321.0,295.0,16.2,25.7,13.2,12.1,13636
Worrowing Heights,44.0,94.0,69.0,43.0,9.1,19.4,14.2,8.9,14424
Basin View,225.0,329.0,152.0,145.0,17.7,25.9,12.0,11.4,10223
Sanctuary Point,996.0,1480.0,786.0,720.0,16.6,24.7,13.1,12.0,13472
Erowal Bay,116.0,132.0,65.0,71.0,21.8,24.9,12.2,13.4,11436
Wrights Beach,19.0,26.0,17.0,7.0,17.6,24.1,15.7,6.5,14428
Old Erowal Bay,137.0,218.0,112.0,105.0,16.9,26.9,13.8,13.0,13075
Sussex Inlet,493.0,724.0,462.0,389.0,15.4,22.6,14.5,12.2,13700
Swanhaven,35.0,26.0,19.0,31.0,20.2,15.0,11.0,17.9,13709
Berrara,40.0,65.0,46.0,38.0,15.1,24.5,17.4,14.3,10313
Cudmirrah,41.0,61.0,30.0,37.0,17.7,26.3,12.9,15.9,11145
Falls Creek (NSW),151.0,208.0,132.0,82.0,18.9,26.0,16.5,10.2,11487
Tomerong,165.0,270.0,144.0,100.0,19.2,31.4,16.7,11.6,13894
Wandandian,53.0,90.0,40.0,28.0,19.9,33.7,15.0,10.5,14127
Woollamia,101.0,139.0,89.0,61.0,20.7,28.5,18.2,12.5,14405
Parma,33.0,37.0,26.0,20.0,23.9,26.8,18.8,14.5,13155
Ulladulla,958.0,1350.0,732.0,693.0,17.2,24.2,13.1,12.4,14003
Kings Point,73.0,131.0,81.0,58.0,16.0,28.8,17.8,12.7,12153
Burrill Lake,209.0,323.0,161.0,154.0,16.9,26.1,13.0,12.5,10712
Dolphin Point,20.0,44.0,21.0,20.0,11.9,26.2,12.5,11.9,11269
Milton (NSW),207.0,341.0,211.0,156.0,14.8,24.3,15.0,11.1,12630
Mollymook Beach,361.0,595.0,350.0,242.0,17.3,28.5,16.7,11.6,12670
Narrawallee,181.0,308.0,181.0,132.0,17.2,29.3,17.2,12.5,12909
Mollymook,178.0,255.0,148.0,89.0,19.2,27.5,16.0,9.6,12669
Manyana,76.0,129.0,77.0,40.0,16.5,28.0,16.7,8.7,12482
Conjola,15.0,42.0,24.0,17.0,11.6,32.6,18.6,13.2,11011
Fishermans Paradise,54.0,109.0,56.0,46.0,13.6,27.4,14.1,11.6,11523
Lake Tabourie,91.0,158.0,85.0,69.0,16.6,28.8,15.5,12.6,12254
Conjola Park,32.0,81.0,43.0,40.0,11.4,28.9,15.4,14.3,11012
Lake Conjola,54.0,106.0,61.0,60.0,13.7,26.8,15.4,15.2,12244
Yatte Yattah,25.0,42.0,32.0,15.0,15.6,26.2,20.0,9.4,14497
Little Forest,17.0,52.0,23.0,25.0,12.1,36.9,16.3,17.7,12351
Croobyar,30.0,32.0,19.0,22.0,21.1,22.5,13.4,15.5,11121
Morton,36.0,48.0,28.0,17.0,20.2,27.0,15.7,9.6,12730
Woodstock (Shoalhaven - NSW),35.0,32.0,44.0,27.0,16.5,15.1,20.8,12.7,14396
Bawley Point,118.0,153.0,114.0,72.0,19.8,25.7,19.1,12.1,10235
Kioloa,42.0,45.0,33.0,29.0,18.0,19.3,14.2,12.4,12165
Termeil,30.0,55.0,34.0,42.0,13.6,24.9,15.4,19.0,13797
Bowral,1760.0,2428.0,1327.0,939.0,20.2,27.9,15.3,10.8,10536
Burradoo,396.0,581.0,368.0,298.0,17.5,25.7,16.3,13.2,10701
Woodlands (Wingecarribee - NSW),56.0,62.0,41.0,20.0,24.3,27.0,17.8,8.7,14388
Balmoral (Wingecarribee - NSW),71.0,108.0,58.0,42.0,20.0,30.4,16.3,11.8,10167
Hill Top (Wingecarribee - NSW),439.0,528.0,260.0,235.0,21.6,26.0,12.8,11.6,11905
Colo Vale,292.0,324.0,163.0,181.0,22.8,25.3,12.7,14.1,10985
Alpine,18.0,36.0,15.0,13.0,17.5,35.0,14.6,12.6,10044
Aylmerton,40.0,47.0,27.0,19.0,23.3,27.3,15.7,11.0,10119
Mittagong,1073.0,1297.0,631.0,478.0,22.1,26.7,13.0,9.8,12653
Willow Vale (Wingecarribee - NSW),136.0,169.0,78.0,64.0,23.1,28.7,13.2,10.9,14307
Renwick,97.0,162.0,68.0,46.0,20.9,34.8,14.6,9.9,13350
Balaclava (NSW),74.0,97.0,60.0,45.0,18.3,24.0,14.9,11.1,10143
Welby,109.0,166.0,62.0,56.0,17.7,27.0,10.1,9.1,14219
Glenquarry,39.0,51.0,28.0,15.0,22.5,29.5,16.2,8.7,11674
Braemar,62.0,125.0,49.0,37.0,18.3,37.0,14.5,10.9,10545
Moss Vale,1414.0,1880.0,905.0,702.0,20.3,26.9,13.0,10.1,12739
Sutton Forest,93.0,107.0,52.0,41.0,24.2,27.8,13.5,10.6,13703
Berrima,106.0,175.0,78.0,64.0,18.8,31.1,13.9,11.4,10320
New Berrima,118.0,111.0,58.0,39.0,26.3,24.7,12.9,8.7,12938
Robertson (NSW),271.0,416.0,242.0,193.0,18.3,28.1,16.3,13.0,13374
Kangaloon,22.0,28.0,16.0,21.0,17.3,22.0,12.6,16.5,12058
Wildes Meadow,43.0,59.0,35.0,23.0,19.0,26.1,15.5,10.2,14292
Burrawang,47.0,89.0,57.0,41.0,15.7,29.8,19.1,13.7,10708
Avoca (NSW),16.0,43.0,38.0,18.0,10.2,27.4,24.2,11.5,10113
Fitzroy Falls,32.0,54.0,22.0,16.0,19.0,32.1,13.1,9.5,11529
Bundanoon (NSW),384.0,646.0,420.0,303.0,16.3,27.5,17.9,12.9,10670
Wingello,81.0,127.0,70.0,60.0,17.4,27.3,15.0,12.9,14330
Exeter (NSW),130.0,246.0,158.0,116.0,16.2,30.7,19.7,14.5,11475
High Range,60.0,97.0,40.0,48.0,19.0,30.7,12.7,15.2,11900
Medway,22.0,30.0,16.0,7.0,23.7,32.3,17.2,7.5,12555
Joadja,26.0,26.0,14.0,12.0,25.5,25.5,13.7,11.8,12035
Canyonleigh,72.0,94.0,45.0,28.0,22.2,28.9,13.8,8.6,10799
Penrose,39.0,47.0,32.0,35.0,18.9,22.8,15.5,17.0,13185
Baulkham Hills,7148.0,8188.0,3868.0,2992.0,24.6,28.2,13.3,10.3,10233
Bella Vista,1670.0,1678.0,779.0,585.0,26.0,26.1,12.1,9.1,10263
Glenhaven,1305.0,1438.0,762.0,582.0,24.6,27.1,14.4,11.0,11667
Castle Hill (NSW),7882.0,8639.0,4184.0,2955.0,24.7,27.1,13.1,9.3,10847
West Pennant Hills,3410.0,3725.0,1851.0,1384.0,25.5,27.9,13.9,10.4,14249
Cherrybrook,3837.0,4254.0,2120.0,1453.0,25.0,27.7,13.8,9.5,10898
Kellyville,5517.0,5906.0,2621.0,2047.0,26.1,27.9,12.4,9.7,12088
Kenthurst,997.0,1128.0,562.0,501.0,24.6,27.8,13.8,12.3,12100
Glenorie,621.0,711.0,364.0,352.0,22.2,25.4,13.0,12.6,11673
Maroota,90.0,116.0,57.0,56.0,18.9,24.4,12.0,11.8,12500
Canoelands,26.0,34.0,25.0,11.0,19.5,25.6,18.8,8.3,10794
Cattai,144.0,192.0,96.0,51.0,22.7,30.2,15.1,8.0,10859
South Maroota,94.0,117.0,49.0,53.0,21.9,27.3,11.4,12.4,13592
Dural (Hornsby - NSW),1483.0,1606.0,840.0,618.0,23.9,25.9,13.6,10.0,11328
Sackville North,54.0,61.0,30.0,19.0,22.5,25.4,12.5,7.9,13459
Lower Portland,96.0,123.0,59.0,54.0,20.1,25.8,12.4,11.3,12412
Middle Dural,173.0,215.0,127.0,97.0,21.2,26.3,15.5,11.9,12603
Annangrove,287.0,300.0,161.0,126.0,24.7,25.8,13.8,10.8,10062
Galston,537.0,725.0,372.0,313.0,21.2,28.6,14.7,12.3,11582
Arcadia (NSW),247.0,310.0,174.0,148.0,22.5,28.2,15.8,13.5,10072
Fiddletown,53.0,59.0,27.0,24.0,26.0,28.9,13.2,11.8,11513
Berowra Waters,9.0,12.0,7.0,6.0,9.0,12.0,7.0,6.0,10311
Berrilee,39.0,45.0,30.0,26.0,20.1,23.2,15.5,13.4,10319
Bilpin,99.0,160.0,72.0,70.0,18.2,29.4,13.2,12.9,10358
Colo Heights,53.0,69.0,25.0,36.0,20.2,26.2,9.5,13.7,10984
Lower Macdonald,48.0,70.0,28.0,18.0,22.2,32.4,13.0,8.3,12408
Cumberland Reach,28.0,42.0,16.0,19.0,20.0,30.0,11.4,13.6,11156
St Albans (NSW),18.0,37.0,17.0,13.0,12.2,25.0,11.5,8.8,13630
Bowen Mountain,267.0,389.0,171.0,114.0,22.1,32.2,14.2,9.4,10528
Grose Vale,251.0,286.0,156.0,121.0,24.3,27.7,15.1,11.7,11785
Grose Wold,126.0,135.0,76.0,66.0,24.0,25.8,14.5,12.6,11786
Kurrajong,524.0,736.0,360.0,330.0,20.8,29.2,14.3,13.1,12218
Kurrajong Hills,122.0,166.0,78.0,65.0,22.3,30.4,14.3,11.9,12220
Kurrajong Heights,259.0,312.0,151.0,114.0,23.8,28.6,13.9,10.5,12219
Kurmond,149.0,205.0,87.0,91.0,21.7,29.8,12.6,13.2,12215
The Slopes,71.0,79.0,41.0,29.0,25.4,28.2,14.6,10.4,13842
East Kurrajong,323.0,498.0,254.0,192.0,19.0,29.2,14.9,11.3,11356
Wilberforce (NSW),542.0,649.0,348.0,246.0,22.5,27.0,14.5,10.2,14288
Freemans Reach,351.0,409.0,191.0,174.0,22.4,26.1,12.2,11.1,11564
Sackville,48.0,51.0,28.0,30.0,18.3,19.4,10.6,11.4,13458
Ebenezer (NSW),173.0,221.0,97.0,83.0,22.0,28.2,12.4,10.6,11371
Glossodia,527.0,621.0,255.0,234.0,24.5,28.9,11.9,10.9,11684
Blaxlands Ridge,81.0,111.0,46.0,50.0,20.6,28.2,11.7,12.7,10409
Tennyson (NSW),69.0,94.0,49.0,37.0,21.4,29.1,15.2,11.5,13789
Vineyard,183.0,228.0,114.0,97.0,18.9,23.5,11.8,10.0,14076
McGraths Hill,514.0,531.0,250.0,188.0,26.1,27.0,12.7,9.5,12542
Maraylya,198.0,273.0,153.0,85.0,20.8,28.6,16.1,8.9,12484
Oakville,379.0,396.0,230.0,195.0,23.5,24.6,14.3,12.1,13060
Pitt Town,537.0,656.0,333.0,222.0,23.5,28.7,14.6,9.7,13226
Pitt Town Bottoms,9.0,15.0,11.0,3.0,10.5,17.4,12.8,3.5,13227
Rouse Hill,1532.0,1604.0,760.0,496.0,26.1,27.3,12.9,8.4,13429
Beaumont Hills,1729.0,1847.0,877.0,625.0,25.7,27.4,13.0,9.3,10243
Nelson (The Hills Shire - NSW),73.0,103.0,58.0,48.0,19.0,26.8,15.1,12.5,12922
Box Hill (NSW),152.0,155.0,98.0,108.0,20.3,20.7,13.1,14.5,10539
Blacktown,7705.0,8397.0,3609.0,3424.0,20.5,22.4,9.6,9.1,10397
Kings Park (NSW),638.0,671.0,377.0,286.0,24.2,25.4,14.3,10.8,12150
Acacia Gardens,728.0,819.0,358.0,259.0,25.0,28.1,12.3,8.9,10014
Quakers Hill,4902.0,5569.0,2385.0,1965.0,23.5,26.7,11.5,9.4,13286
Marayong,1268.0,1426.0,602.0,565.0,20.5,23.0,9.7,9.1,12485
Woodcroft (NSW),1274.0,1380.0,548.0,436.0,24.3,26.3,10.5,8.3,14381
Bungarribee,378.0,521.0,218.0,193.0,20.1,27.7,11.6,10.3,10682
Doonside,2155.0,2295.0,951.0,959.0,20.1,21.4,8.9,8.9,11275
Seven Hills (NSW),3398.0,3759.0,1637.0,1519.0,21.8,24.1,10.5,9.7,13518
Lalor Park,1332.0,1510.0,570.0,522.0,21.5,24.4,9.2,8.4,12261
Kings Langley,1792.0,2165.0,1042.0,698.0,24.1,29.1,14.0,9.4,12149
Toongabbie (NSW),2459.0,2751.0,1285.0,1103.0,21.5,24.1,11.2,9.7,13907
Prospect (NSW),802.0,882.0,435.0,352.0,21.1,23.2,11.4,9.3,13266
Glenwood (NSW),3157.0,3336.0,1492.0,1146.0,25.5,26.9,12.0,9.3,11682
Parklea,472.0,560.0,179.0,149.0,16.4,19.4,6.2,5.2,13153
Stanhope Gardens,1663.0,1920.0,803.0,629.0,24.4,28.1,11.8,9.2,13649
Kellyville Ridge,1864.0,2194.0,893.0,688.0,25.3,29.7,12.1,9.3,12089
The Ponds,2024.0,2408.0,1040.0,795.0,24.4,29.0,12.5,9.6,13835
Riverstone,1217.0,1516.0,610.0,516.0,21.4,26.6,10.7,9.1,13368
Schofields,877.0,1037.0,439.0,388.0,23.3,27.6,11.7,10.3,13502
Shanes Park,63.0,72.0,27.0,30.0,18.8,21.5,8.1,9.0,13524
Marsden Park,153.0,166.0,92.0,70.0,18.1,19.6,10.9,8.3,12505
Colebee,350.0,415.0,185.0,135.0,24.0,28.5,12.7,9.3,10965
Bidwill (NSW),433.0,502.0,233.0,291.0,13.9,16.1,7.5,9.3,10340
Hebersham,764.0,867.0,361.0,418.0,17.7,20.1,8.4,9.7,11886
Dharruk,381.0,400.0,224.0,213.0,17.9,18.8,10.5,10.0,11248
Blackett,409.0,462.0,189.0,277.0,16.0,18.1,7.4,10.9,10392
Emerton,305.0,305.0,114.0,157.0,18.1,18.1,6.8,9.3,11413
Glendenning,855.0,904.0,388.0,354.0,22.6,23.9,10.3,9.4,11659
Dean Park,513.0,554.0,212.0,224.0,20.5,22.2,8.5,9.0,11224
Plumpton (NSW),1642.0,1538.0,626.0,642.0,23.2,21.8,8.9,9.1,13230
Oakhurst (NSW),1181.0,1176.0,476.0,464.0,21.9,21.8,8.8,8.6,13058
Hassall Grove,715.0,775.0,345.0,311.0,20.9,22.6,10.1,9.1,11866
Shalvey,425.0,490.0,209.0,260.0,16.4,18.9,8.1,10.1,13523
Willmot,281.0,300.0,134.0,179.0,15.6,16.6,7.4,9.9,14302
Tregear,419.0,496.0,211.0,257.0,14.7,17.4,7.4,9.0,13934
Lethbridge Park,563.0,631.0,314.0,323.0,15.7,17.6,8.7,9.0,12307
Ropes Crossing,968.0,1151.0,494.0,419.0,22.2,26.3,11.3,9.6,13397
Mount Druitt,2383.0,2378.0,1037.0,1253.0,19.1,19.0,8.3,10.0,12756
Whalan,777.0,755.0,379.0,459.0,17.1,16.6,8.3,10.1,14266
Eastern Creek,115.0,176.0,63.0,60.0,18.7,28.7,10.3,9.8,11366
Minchinbury,988.0,1082.0,443.0,384.0,22.4,24.5,10.0,8.7,12633
Rooty Hill,2411.0,2506.0,1095.0,1028.0,20.5,21.3,9.3,8.7,13395
Botany,2208.0,2251.0,848.0,524.0,25.7,26.2,9.9,6.1,10517
Mascot,3325.0,2883.0,929.0,661.0,26.0,22.5,7.3,5.2,12519
Eastlakes,1164.0,1261.0,514.0,417.0,20.5,22.2,9.1,7.4,11368
Rosebery (NSW),2396.0,2036.0,683.0,488.0,27.3,23.2,7.8,5.6,13405
Pagewood,768.0,749.0,366.0,255.0,25.0,24.3,11.9,8.3,13125
Daceyville,183.0,180.0,76.0,77.0,17.2,16.9,7.1,7.2,11185
Hillsdale,1058.0,988.0,340.0,310.0,23.4,21.9,7.5,6.9,11911
Eastgardens,169.0,159.0,69.0,76.0,23.5,22.1,9.6,10.6,11367
Matraville,1856.0,1955.0,843.0,576.0,23.0,24.3,10.5,7.1,12524
Marrickville,6492.0,6048.0,1967.0,1270.0,28.5,26.5,8.6,5.6,12504
Petersham,2146.0,1968.0,651.0,298.0,30.7,28.1,9.3,4.3,13190
Dulwich Hill,3383.0,3256.0,1132.0,637.0,29.3,28.2,9.8,5.5,11303
Newtown (NSW),4806.0,3865.0,922.0,427.0,35.4,28.4,6.8,3.1,12960
Lewisham (NSW),895.0,794.0,221.0,128.0,32.5,28.9,8.0,4.7,12313
Stanmore (NSW),2234.0,1986.0,567.0,306.0,32.7,29.1,8.3,4.5,13650
Camperdown (NSW),3216.0,2391.0,479.0,231.0,33.4,24.8,5.0,2.4,10781
Enmore (Inner West - NSW),1171.0,990.0,253.0,131.0,34.0,28.8,7.4,3.8,11425
St Peters (NSW),900.0,833.0,184.0,130.0,32.6,30.2,6.7,4.7,13644
Sydenham (NSW),306.0,262.0,85.0,51.0,29.9,25.6,8.3,5.0,13714
Tempe,743.0,769.0,313.0,191.0,25.6,26.5,10.8,6.6,13785
Darlinghurst,3642.0,2464.0,460.0,206.0,33.8,22.9,4.3,1.9,11212
Erskineville,2621.0,2217.0,479.0,213.0,36.8,31.1,6.7,3.0,11439
Alexandria,2633.0,2330.0,472.0,220.0,35.6,31.5,6.4,3.0,10030
Glebe (NSW),3208.0,2612.0,817.0,445.0,30.6,25.0,7.8,4.3,11641
Forest Lodge,1446.0,1082.0,274.0,123.0,35.2,26.3,6.7,3.0,11546
Annandale (NSW),2393.0,2456.0,733.0,378.0,30.4,31.2,9.3,4.8,10061
Darlington (Sydney - NSW),957.0,609.0,94.0,56.0,32.6,20.7,3.2,1.9,11214
Potts Point,2467.0,1603.0,279.0,120.0,26.8,17.4,3.0,1.3,13256
Elizabeth Bay,1755.0,1192.0,277.0,108.0,35.1,23.8,5.5,2.2,11395
Sydney,3881.0,2580.0,698.0,389.0,23.6,15.7,4.2,2.4,13715
Woolloomooloo,1141.0,874.0,178.0,111.0,30.1,23.0,4.7,2.9,14406
Rushcutters Bay,827.0,584.0,96.0,54.0,34.4,24.3,4.0,2.2,13444
Pyrmont,3604.0,2708.0,665.0,446.0,31.0,23.3,5.7,3.8,13284
Ultimo,1964.0,1328.0,280.0,154.0,23.2,15.7,3.3,1.8,14006
Redfern,4147.0,2894.0,654.0,339.0,33.7,23.5,5.3,2.8,13339
Eveleigh,157.0,127.0,42.0,22.0,28.4,23.0,7.6,4.0,11471
Chippendale,2139.0,1455.0,252.0,124.0,25.6,17.4,3.0,1.5,10907
Surry Hills,5450.0,3439.0,663.0,315.0,34.9,22.0,4.2,2.0,13699
Haymarket,1340.0,732.0,204.0,125.0,19.0,10.4,2.9,1.8,11877
Dawes Point,105.0,107.0,33.0,10.0,31.6,32.2,9.9,3.0,11222
Millers Point,366.0,344.0,119.0,58.0,26.1,24.6,8.5,4.1,12619
Barangaroo,34.0,26.0,6.0,3.0,20.1,15.4,3.6,1.8,10191
Balmain East,476.0,492.0,199.0,75.0,29.3,30.3,12.3,4.6,10165
The Rocks (Sydney - NSW),167.0,115.0,39.0,25.0,23.0,15.9,5.4,3.4,13840
Waterloo (NSW),3919.0,2814.0,639.0,400.0,28.8,20.7,4.7,2.9,14183
Zetland,2643.0,1914.0,415.0,247.0,28.6,20.7,4.5,2.7,14524
Beaconsfield (NSW),294.0,254.0,47.0,30.0,34.3,29.6,5.5,3.5,10239
Bronte,1644.0,1541.0,575.0,335.0,30.5,28.6,10.7,6.2,10594
Tamarama,444.0,365.0,96.0,69.0,32.0,26.3,6.9,5.0,13741
Bondi,2901.0,2026.0,514.0,303.0,32.9,23.0,5.8,3.4,10464
Bondi Beach,3590.0,2249.0,575.0,346.0,34.6,21.7,5.5,3.3,10465
