,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%),SSC_CODE
Kyeemagh,455.0,194.0,107.0,66.0,59.8,25.8,14.1,8.7,12226
Brighton-le-Sands,4241.0,1580.0,825.0,807.0,59.8,22.3,11.6,11.4,10569
Rockdale,7604.0,2784.0,1147.0,1291.0,56.5,20.7,8.5,9.6,13379
Monterey,2444.0,1026.0,498.0,464.0,65.7,27.5,13.4,12.5,12686
Banksia,1768.0,712.0,307.0,333.0,63.3,25.5,11.0,12.0,10178
Sandringham (NSW),712.0,288.0,154.0,152.0,69.0,27.8,15.0,14.8,13478
Dolls Point,943.0,356.0,175.0,182.0,67.0,25.3,12.5,12.9,11267
Sans Souci,5687.0,2322.0,1167.0,1111.0,66.5,27.1,13.6,13.0,13489
Ramsgate,619.0,243.0,119.0,126.0,67.4,26.4,12.9,13.7,13309
Ramsgate Beach,860.0,337.0,164.0,152.0,60.9,23.7,11.6,10.8,13310
Concord,8296.0,3435.0,1585.0,2057.0,70.0,29.0,13.4,17.3,10999
Breakfast Point,2619.0,992.0,398.0,621.0,72.6,27.5,11.0,17.2,10557
Cabarita (NSW),1250.0,492.0,221.0,354.0,75.7,29.8,13.3,21.5,10736
Mortlake (NSW),630.0,238.0,91.0,153.0,70.6,26.7,10.3,17.2,12729
North Strathfield,2605.0,908.0,344.0,598.0,64.7,22.6,8.5,14.9,13009
Concord West,3378.0,1300.0,641.0,910.0,70.7,27.2,13.4,19.0,11000
Sydney Olympic Park,845.0,246.0,82.0,174.0,53.8,15.6,5.2,11.1,13716
Liberty Grove,1247.0,554.0,137.0,308.0,70.8,31.5,7.8,17.4,12315
Rhodes,5852.0,1900.0,611.0,1227.0,55.1,17.9,5.8,11.6,13358
Drummoyne,7278.0,2539.0,1061.0,2034.0,72.5,25.3,10.6,20.3,11293
Russell Lea,2961.0,1204.0,496.0,754.0,73.7,30.0,12.3,18.7,13447
Rodd Point,814.0,395.0,169.0,210.0,75.1,36.6,15.6,19.5,13391
Abbotsford (NSW),3267.0,1233.0,606.0,831.0,71.8,27.1,13.3,18.3,10003
Chiswick,1762.0,617.0,240.0,365.0,70.1,24.6,9.6,14.5,10910
Five Dock,5424.0,2219.0,943.0,1280.0,71.3,29.1,12.4,16.8,11530
Canada Bay,723.0,276.0,126.0,160.0,71.9,27.6,12.5,16.0,10785
Wareemba,959.0,381.0,155.0,207.0,76.7,30.2,12.3,16.5,14148
