,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%),SSC_CODE
Douglas Park,797.0,355.0,161.0,221.0,73.1,32.5,14.8,20.4,11283
Razorback,618.0,299.0,101.0,215.0,74.2,36.4,12.2,26.1,13328
Appin (NSW),1443.0,757.0,229.0,323.0,73.9,38.7,11.7,16.5,10063
Menangle,657.0,226.0,135.0,216.0,65.7,22.5,13.6,21.7,12568
Picton (NSW),2902.0,1261.0,484.0,818.0,76.0,33.1,12.7,21.4,13200
Tahmoor,2794.0,1183.0,458.0,653.0,70.3,29.7,11.5,16.4,13727
Buxton (NSW),1129.0,546.0,210.0,246.0,73.6,35.6,13.7,16.1,10726
Thirlmere,2248.0,949.0,404.0,593.0,69.5,29.3,12.5,18.3,13847
Couridjah,166.0,78.0,30.0,37.0,66.9,32.8,12.4,15.2,11093
Lakesland,269.0,105.0,51.0,92.0,76.2,29.9,14.6,26.5,12258
The Oaks,1478.0,653.0,267.0,423.0,75.4,33.3,13.6,21.6,13831
Werombi,524.0,219.0,91.0,129.0,72.3,30.5,12.7,17.8,14232
Orangeville,753.0,327.0,117.0,209.0,78.9,34.4,12.4,21.9,13094
Belimbla Park,340.0,143.0,58.0,65.0,74.4,31.2,12.6,14.1,10261
Mount Hunter,439.0,182.0,66.0,120.0,77.3,31.8,11.5,20.9,12765
Brownlow Hill,236.0,99.0,41.0,94.0,71.5,29.6,12.2,28.4,10609
Theresa Park,334.0,133.0,65.0,103.0,75.9,30.2,14.7,23.0,13845
Silverdale (NSW),2147.0,941.0,315.0,427.0,75.2,33.0,11.0,15.0,13544
Oakdale (NSW),1039.0,479.0,164.0,274.0,72.4,33.2,11.3,19.1,13054
Blackheath,2874.0,940.0,526.0,992.0,77.3,25.3,14.2,26.7,10393
Mount Victoria,608.0,222.0,95.0,196.0,72.2,26.3,11.3,23.2,12797
Glenbrook,3296.0,1316.0,587.0,1149.0,81.1,32.4,14.4,28.3,11656
Blaxland (NSW),4821.0,2054.0,849.0,1571.0,81.1,34.6,14.3,26.4,10407
Warrimoo,1601.0,679.0,263.0,540.0,82.6,35.0,13.5,27.9,14174
Lapstone,634.0,260.0,120.0,234.0,81.6,33.3,15.3,29.8,12276
Mount Riverview,1975.0,870.0,364.0,656.0,83.1,36.5,15.3,27.5,12788
Yarramundi,484.0,199.0,77.0,145.0,74.0,30.1,11.7,21.9,14477
Katoomba,4952.0,1671.0,916.0,1533.0,73.6,24.8,13.6,22.8,12077
Leura,2746.0,828.0,481.0,1000.0,67.6,20.4,11.8,24.5,12309
Medlow Bath,411.0,125.0,83.0,119.0,76.3,23.4,15.4,22.0,12553
Linden (NSW),352.0,116.0,81.0,113.0,82.6,27.4,19.1,27.1,12335
Woodford (NSW),1285.0,469.0,227.0,404.0,81.0,29.5,14.2,25.4,14383
Hazelbrook,3137.0,1353.0,573.0,981.0,81.0,34.8,14.8,25.3,11881
Lawson (NSW),1664.0,591.0,290.0,530.0,78.0,27.7,13.6,24.8,12289
Bullaburra,815.0,322.0,141.0,255.0,81.7,32.3,14.2,25.6,10656
Faulconbridge,2615.0,1132.0,478.0,748.0,81.8,35.6,15.0,23.4,11496
Winmalee,3943.0,1724.0,683.0,1184.0,80.7,35.3,14.0,24.3,14334
Hawkesbury Heights,288.0,133.0,34.0,66.0,83.0,37.7,9.7,18.8,11872
Yellow Rock (Blue Mountains - NSW),655.0,263.0,97.0,160.0,80.0,32.0,11.9,19.3,14502
Springwood (NSW),5395.0,2134.0,949.0,1816.0,76.6,30.3,13.5,25.8,13629
Valley Heights,773.0,316.0,141.0,263.0,80.4,33.1,14.7,27.4,14069
Sun Valley (NSW),154.0,60.0,24.0,48.0,81.5,32.4,13.1,26.7,13691
Wentworth Falls,3837.0,1332.0,672.0,1239.0,75.6,26.3,13.2,24.5,14226
Werrington Downs,1914.0,881.0,317.0,325.0,75.0,34.6,12.4,12.8,14237
Cambridge Park,3647.0,1666.0,656.0,643.0,68.6,31.4,12.3,12.1,10768
Werrington County,2131.0,966.0,348.0,351.0,73.0,33.1,11.9,12.0,14236
Cambridge Gardens,1199.0,554.0,208.0,200.0,75.9,35.1,13.2,12.7,10767
Cranebrook,8775.0,4218.0,1498.0,1808.0,72.4,34.8,12.4,14.9,11105
Llandilo,823.0,363.0,151.0,147.0,64.4,28.4,11.8,11.5,12363
Castlereagh,649.0,292.0,129.0,139.0,68.9,30.9,13.7,14.8,10850
Penrith,7050.0,2700.0,1131.0,1378.0,63.5,24.3,10.2,12.4,13184
Jordan Springs,2801.0,1570.0,314.0,457.0,74.0,41.5,8.3,12.1,12042
Emu Plains,4765.0,2166.0,862.0,1151.0,69.9,31.8,12.6,16.9,11418
Leonay,1555.0,734.0,219.0,385.0,78.4,37.1,11.0,19.4,12304
Emu Heights (NSW),2025.0,881.0,319.0,504.0,78.0,34.0,12.3,19.4,11417
Glenmore Park,13105.0,6437.0,1915.0,2637.0,75.4,37.1,11.0,15.2,11670
Regentville,474.0,222.0,83.0,111.0,73.5,34.3,12.8,17.0,13346
Jamisontown,2996.0,1271.0,452.0,509.0,68.1,28.8,10.3,11.6,12000
South Penrith,6710.0,3050.0,1113.0,1371.0,72.1,32.8,12.0,14.7,13596
Kingswood (Penrith - NSW),4729.0,2143.0,763.0,1025.0,64.2,29.1,10.4,13.9,12163
Caddens,763.0,335.0,75.0,185.0,65.9,28.9,6.5,15.9,10743
Werrington,2051.0,933.0,345.0,351.0,64.3,29.2,10.8,11.0,14235
Claremont Meadows,2561.0,1298.0,381.0,535.0,71.6,36.2,10.6,14.9,10918
Wallacia,877.0,400.0,138.0,186.0,67.2,30.7,10.6,14.3,14101
Mulgoa,1118.0,476.0,211.0,283.0,73.9,31.4,13.9,18.7,12814
Luddenham,989.0,439.0,146.0,202.0,70.3,31.3,10.5,14.4,12419
Badgerys Creek,100.0,37.0,25.0,6.0,56.5,22.8,14.5,3.6,10132
Orchard Hills,1094.0,424.0,215.0,311.0,68.9,26.5,13.5,19.5,13095
Warragamba,728.0,301.0,112.0,143.0,73.0,30.5,11.3,14.5,14158
Richmond (NSW),3030.0,1026.0,488.0,842.0,63.8,21.6,10.3,17.7,13360
North Richmond,2921.0,1183.0,509.0,707.0,72.7,29.4,12.7,17.6,13002
Agnes Banks,510.0,238.0,93.0,103.0,72.9,34.2,13.4,14.8,10021
Hobartville (NSW),1572.0,697.0,277.0,415.0,72.5,32.3,12.8,19.2,11917
South Windsor,3160.0,1287.0,536.0,673.0,67.5,27.5,11.4,14.4,13601
Windsor (NSW),1096.0,408.0,185.0,297.0,69.1,25.7,11.7,18.7,14325
Bligh Park,3656.0,1774.0,564.0,799.0,75.6,36.7,11.7,16.5,10411
Windsor Downs,746.0,245.0,121.0,209.0,73.5,24.2,11.9,20.6,14326
Londonderry (NSW),2107.0,869.0,360.0,389.0,67.1,27.7,11.5,12.4,12375
Berkshire Park,606.0,303.0,114.0,110.0,31.9,15.9,6.0,5.8,10305
Erskine Park,3730.0,1567.0,605.0,642.0,71.9,30.2,11.7,12.4,11438
St Clair (Penrith - NSW),10868.0,4911.0,1794.0,1965.0,69.0,31.2,11.4,12.5,13632
Colyton,4155.0,1848.0,821.0,661.0,62.1,27.6,12.3,9.9,10987
Oxley Park,1518.0,701.0,251.0,288.0,62.0,28.6,10.3,11.8,13110
St Marys (NSW),5703.0,2502.0,1056.0,1039.0,58.7,25.7,10.9,10.7,13643
North St Marys,1738.0,762.0,387.0,280.0,56.5,24.8,12.6,9.1,13007
Silverwater (Parramatta - NSW),1189.0,517.0,210.0,230.0,32.4,14.1,5.7,6.3,13547
Newington (NSW),3290.0,1628.0,424.0,823.0,75.0,37.1,9.7,18.8,12953
Lidcombe,9575.0,3481.0,1664.0,2115.0,57.2,20.8,9.9,12.6,12316
Wentworth Point,4011.0,1314.0,432.0,770.0,65.5,21.5,7.1,12.6,14227
Auburn (NSW),14794.0,6586.0,3010.0,2550.0,49.1,21.9,10.0,8.5,10106
Berala,4273.0,1756.0,837.0,864.0,57.3,23.6,11.2,11.6,10299
Regents Park (NSW),2348.0,1019.0,505.0,503.0,59.4,25.8,12.8,12.7,13345
Carlingford,14058.0,6269.0,2388.0,4036.0,71.0,31.6,12.1,20.4,10818
Beecroft,5929.0,2500.0,1023.0,2210.0,78.3,33.0,13.5,29.1,10249
Epping (NSW),13960.0,5515.0,2160.0,4517.0,71.0,28.0,11.0,23.0,11428
Rydalmere,3675.0,1533.0,638.0,894.0,68.7,28.7,11.9,16.7,13453
Parramatta,12720.0,5205.0,1599.0,2375.0,58.9,24.1,7.4,11.0,13156
Ermington,5698.0,2546.0,1025.0,1334.0,66.6,29.8,12.0,15.6,11435
Dundas (NSW),2483.0,1045.0,403.0,749.0,64.8,27.2,10.5,19.5,11312
Melrose Park (NSW),938.0,420.0,164.0,306.0,77.2,34.7,13.6,25.0,12563
Telopea,2903.0,1213.0,560.0,786.0,65.1,27.2,12.6,17.6,13782
Oatlands (NSW),3257.0,1346.0,646.0,1029.0,71.1,29.4,14.1,22.5,13063
Dundas Valley,2871.0,1219.0,472.0,720.0,65.8,28.0,10.8,16.5,11313
Chester Hill,5552.0,2416.0,1249.0,1079.0,55.6,24.2,12.5,10.8,10899
Sefton,2630.0,1123.0,607.0,573.0,58.1,24.8,13.4,12.6,13516
Carramar (NSW),1431.0,577.0,291.0,334.0,49.4,19.9,10.1,11.5,10826
Old Guildford,1039.0,497.0,255.0,164.0,54.2,25.9,13.3,8.5,13077
Fairfield East,2012.0,858.0,531.0,324.0,48.3,20.6,12.8,7.8,11478
Yennora,561.0,254.0,156.0,116.0,42.1,19.1,11.6,8.7,14506
Fairfield (NSW),6873.0,2919.0,1904.0,1101.0,47.0,19.9,13.0,7.5,11477
Merrylands,12713.0,5734.0,2703.0,2214.0,54.5,24.6,11.6,9.5,12588
Granville (NSW),6855.0,2975.0,1230.0,1308.0,55.0,23.9,9.9,10.5,11738
Guildford (NSW),8778.0,4245.0,2052.0,1522.0,51.4,24.9,12.0,8.9,11790
Pemulwuy,2607.0,1454.0,384.0,532.0,71.0,39.7,10.5,14.5,13181
Greystanes,11996.0,5466.0,2284.0,2431.0,66.3,30.2,12.6,13.4,11781
South Granville,1966.0,1012.0,529.0,392.0,47.8,24.6,12.9,9.5,13583
Merrylands West,2920.0,1274.0,596.0,587.0,54.9,23.9,11.2,11.0,12589
Guildford West,2195.0,1081.0,515.0,401.0,58.4,28.8,13.7,10.6,11791
Woodpark,724.0,376.0,142.0,120.0,64.1,33.2,12.5,10.5,14390
South Wentworthville,2990.0,1373.0,572.0,577.0,61.4,28.1,11.7,11.8,13599
Holroyd,643.0,286.0,102.0,107.0,64.0,28.3,10.1,10.6,11925
Smithfield (NSW),5128.0,2207.0,1214.0,867.0,53.4,23.0,12.6,9.0,13559
North Parramatta,6822.0,2734.0,1040.0,1572.0,62.6,25.1,9.5,14.4,13001
North Rocks,4851.0,2163.0,815.0,1473.0,76.6,34.1,12.9,23.3,13003
Northmead,6549.0,2606.0,1036.0,1748.0,72.0,28.6,11.4,19.2,13023
Westmead,7851.0,4120.0,1171.0,1614.0,61.9,32.5,9.2,12.7,14261
Wentworthville,5750.0,2643.0,970.0,1314.0,63.2,29.0,10.7,14.4,14228
Winston Hills,6866.0,3112.0,1102.0,1877.0,75.0,34.0,12.0,20.5,14335
Rosehill (NSW),1822.0,760.0,266.0,423.0,57.7,24.0,8.4,13.4,13408
Harris Park,2437.0,1190.0,394.0,437.0,51.0,24.9,8.2,9.1,11860
Old Toongabbie,1822.0,783.0,302.0,541.0,73.5,31.6,12.2,21.8,13081
Constitution Hill,2149.0,862.0,410.0,531.0,68.0,27.3,13.0,16.8,11014
Pendle Hill,3408.0,1556.0,661.0,740.0,58.1,26.5,11.3,12.6,13182
Girraween (NSW),2706.0,1432.0,494.0,671.0,64.5,34.1,11.8,16.0,11636
Mays Hill,372.0,160.0,78.0,98.0,61.8,26.5,12.9,16.1,12538
North Epping,2913.0,1179.0,447.0,1130.0,80.4,32.6,12.3,31.2,12990
Cheltenham (NSW),1493.0,586.0,265.0,599.0,81.2,31.8,14.4,32.5,10896
Pennant Hills,4625.0,1780.0,672.0,1699.0,77.6,29.8,11.3,28.4,13183
Denistone,2337.0,949.0,411.0,806.0,75.1,30.5,13.2,26.0,11238
Eastwood (NSW),10180.0,3860.0,1692.0,2951.0,67.2,25.5,11.2,19.5,11369
Denistone East,1281.0,582.0,220.0,387.0,72.8,33.1,12.5,22.1,11239
Denistone West,546.0,230.0,89.0,170.0,76.2,32.0,12.5,23.8,11240
Gladesville,7124.0,2687.0,1102.0,2053.0,73.8,27.8,11.4,21.3,11638
Tennyson Point,753.0,280.0,149.0,219.0,75.8,28.3,14.9,22.1,13790
Huntleys Point,91.0,22.0,20.0,33.0,71.1,17.5,15.2,24.8,11961
Henley,291.0,121.0,53.0,103.0,72.8,30.3,13.4,25.6,11891
Huntleys Cove,521.0,196.0,83.0,170.0,79.8,29.9,12.6,26.4,11960
Hunters Hill,5198.0,2269.0,908.0,1997.0,68.2,29.8,11.9,26.2,11954
Macquarie Park,4544.0,1272.0,436.0,1430.0,62.5,17.5,6.0,19.7,12437
Marsfield,7343.0,2626.0,1114.0,2061.0,64.1,22.9,9.7,18.0,12506
North Ryde,6273.0,2487.0,1037.0,1698.0,70.4,27.9,11.6,19.1,13005
Ryde,14825.0,5747.0,2383.0,3669.0,67.2,26.1,10.8,16.6,13454
East Ryde,1562.0,709.0,292.0,490.0,80.8,36.8,15.1,25.4,11361
Meadowbank (NSW),2765.0,837.0,304.0,644.0,71.4,21.6,7.8,16.6,12550
West Ryde,7757.0,3001.0,1229.0,1900.0,69.4,26.9,11.0,17.0,14251
Putney,2500.0,976.0,464.0,691.0,75.8,29.5,14.1,20.9,13277
Busby,1604.0,781.0,454.0,263.0,50.0,24.3,14.1,8.2,10720
Heckenberg,1150.0,521.0,322.0,194.0,48.9,22.1,13.6,8.2,11887
Miller,1129.0,508.0,303.0,195.0,44.5,20.1,12.0,7.7,12617
Ashcroft,1251.0,618.0,316.0,181.0,46.7,23.1,11.8,6.8,10097
Sadleir,1132.0,541.0,358.0,173.0,48.0,22.9,15.2,7.3,13461
Austral,1354.0,503.0,255.0,213.0,53.7,19.9,10.1,8.4,10109
Rossmore (NSW),1105.0,487.0,228.0,161.0,60.1,26.5,12.4,8.7,13420
Kemps Creek,1114.0,409.0,206.0,171.0,59.5,21.8,11.0,9.1,12094
Bringelly,1388.0,562.0,286.0,251.0,67.7,27.4,14.0,12.3,10575
Greendale (Liverpool - NSW),178.0,82.0,35.0,21.0,66.4,30.7,13.2,8.0,11759
Cecil Park,405.0,151.0,77.0,73.0,64.8,23.8,12.2,11.6,10866
Cecil Hills,3448.0,1468.0,677.0,612.0,61.8,26.3,12.1,11.0,10865
Catherine Field,863.0,309.0,148.0,158.0,63.8,22.8,10.9,11.7,10856
Leppington,1739.0,805.0,329.0,327.0,62.9,29.1,11.9,11.8,12305
Cobbitty,1208.0,533.0,161.0,315.0,74.3,32.8,9.9,19.3,10954
Oran Park,2492.0,1404.0,318.0,378.0,72.3,40.6,9.2,10.9,13091
Green Valley (NSW),5564.0,2547.0,1186.0,953.0,56.4,25.8,12.0,9.7,11756
Elizabeth Hills,1090.0,651.0,197.0,125.0,61.2,36.4,11.1,7.0,11397
Hinchinbrook (NSW),5177.0,2271.0,1043.0,891.0,58.6,25.7,11.8,10.1,11915
Hoxton Park,1934.0,1023.0,386.0,334.0,58.6,31.0,11.7,10.1,11951
Carnes Hill,990.0,577.0,145.0,123.0,68.1,39.8,10.0,8.5,10820
Horningsea Park,1817.0,936.0,290.0,348.0,65.9,33.9,10.5,12.6,11935
Middleton Grange,2335.0,1453.0,406.0,334.0,64.3,40.0,11.2,9.2,12607
West Hoxton,4819.0,2449.0,855.0,871.0,64.1,32.5,11.4,11.6,14246
Bonnyrigg Heights,3510.0,1447.0,748.0,577.0,59.6,24.5,12.7,9.8,10472
Bonnyrigg,3819.0,1676.0,921.0,613.0,54.7,24.0,13.2,8.8,10471
Bossley Park,6722.0,2742.0,1696.0,1119.0,56.0,22.9,14.1,9.3,10515
Abbotsbury,2346.0,884.0,507.0,439.0,67.0,25.2,14.5,12.5,10002
Cabramatta,8696.0,3857.0,1875.0,1534.0,48.6,21.6,10.5,8.6,10740
Lansvale,1174.0,483.0,244.0,227.0,55.8,23.0,11.6,10.8,12275
Canley Vale,4308.0,1870.0,877.0,744.0,52.0,22.5,10.6,9.0,10792
Mount Pritchard,4451.0,2028.0,961.0,825.0,56.9,25.9,12.3,10.5,12785
Cabramatta West,3098.0,1408.0,736.0,436.0,53.5,24.3,12.7,7.5,10741
Canley Heights,4753.0,2077.0,994.0,744.0,53.8,23.5,11.3,8.4,10791
Edensor Park,4523.0,1919.0,1081.0,753.0,56.5,24.0,13.5,9.4,11377
Fairfield West,5061.0,2158.0,1111.0,742.0,54.6,23.3,12.0,8.0,11480
Fairfield Heights,2782.0,1262.0,816.0,462.0,46.8,21.2,13.7,7.8,11479
Greenfield Park,2267.0,938.0,578.0,359.0,55.3,22.9,14.1,8.8,11761
Prairiewood,1548.0,639.0,419.0,235.0,58.4,24.0,15.8,8.9,13258
Horsley Park,983.0,395.0,233.0,205.0,64.5,26.0,15.4,13.4,11943
Mount Vernon,642.0,237.0,93.0,107.0,66.0,24.2,9.6,10.9,12796
Wetherill Park,3086.0,1285.0,769.0,464.0,61.3,25.5,15.2,9.2,14264
Wakeley,2135.0,912.0,510.0,316.0,55.3,23.7,13.2,8.2,14089
St Johns Park,2894.0,1209.0,646.0,466.0,56.0,23.4,12.5,9.0,13641
Casula,7523.0,3346.0,1616.0,1379.0,61.2,27.2,13.1,11.2,10852
Moorebank,5172.0,2680.0,896.0,927.0,70.2,36.4,12.2,12.6,12712
Chipping Norton,4786.0,2047.0,896.0,974.0,66.1,28.3,12.4,13.5,10908
Voyager Point,975.0,434.0,146.0,290.0,75.7,33.6,11.3,22.5,14079
Wattle Grove (NSW),5161.0,2360.0,729.0,1258.0,75.6,34.6,10.7,18.4,14192
Hammondville,1805.0,826.0,350.0,385.0,64.9,29.6,12.5,13.8,11844
Sandy Point (NSW),358.0,151.0,71.0,128.0,74.7,31.3,14.6,26.8,13487
Pleasure Point,288.0,146.0,49.0,65.0,74.2,38.0,12.5,16.8,13229
Liverpool,10279.0,4860.0,2531.0,1752.0,48.1,22.7,11.8,8.2,12361
Warwick Farm,2327.0,986.0,470.0,426.0,48.5,20.5,9.8,8.9,14177
Cartwright,881.0,402.0,247.0,161.0,47.2,21.6,13.2,8.7,10838
Lurnea,3531.0,1762.0,1000.0,581.0,49.9,24.9,14.1,8.2,12422
Prestons,7214.0,3812.0,1304.0,1504.0,63.3,33.5,11.5,13.2,13260
Gymea Bay,4178.0,1888.0,648.0,1289.0,77.8,35.1,12.1,24.0,11827
Gymea,4666.0,1957.0,669.0,1122.0,74.8,31.4,10.7,18.0,11826
Grays Point,2001.0,868.0,357.0,595.0,80.0,34.7,14.3,23.8,11743
Miranda (NSW),8523.0,3600.0,1350.0,1815.0,68.2,28.8,10.8,14.5,12645
Yowie Bay,1917.0,754.0,332.0,549.0,76.0,30.0,13.2,21.9,14519
Taren Point,973.0,302.0,171.0,258.0,63.7,19.8,11.2,17.0,13766
Caringbah,6735.0,2892.0,996.0,1419.0,70.9,30.5,10.5,15.0,10815
Sylvania Waters,1737.0,762.0,299.0,327.0,67.2,29.5,11.5,12.7,13718
Sylvania,5814.0,2519.0,1001.0,1286.0,67.8,29.4,11.7,15.0,13717
Kangaroo Point (NSW),343.0,140.0,63.0,85.0,71.6,29.4,13.4,18.0,12060
Caringbah South,7448.0,3320.0,1335.0,1970.0,76.5,34.1,13.7,20.2,10816
Dolans Bay,408.0,150.0,61.0,102.0,81.4,29.6,12.2,20.1,11266
Kurnell,1273.0,610.0,230.0,254.0,74.9,35.9,13.6,15.0,12216
Greenhills Beach,461.0,239.0,51.0,114.0,78.0,40.5,8.6,19.4,11764
Cronulla,11408.0,3876.0,1687.0,2637.0,72.0,24.5,10.6,16.6,11119
Bundeena,1270.0,495.0,222.0,441.0,80.3,31.5,14.1,27.9,10672
Maianbar,336.0,136.0,58.0,118.0,80.4,33.1,13.8,28.8,12443
Woolooware,2430.0,1028.0,389.0,607.0,76.5,32.4,12.2,19.1,14410
Lilli Pilli (Sutherland Shire - NSW),859.0,376.0,163.0,265.0,77.5,33.8,14.6,23.9,12322
Port Hacking,680.0,293.0,132.0,196.0,78.8,34.3,15.2,22.7,13244
Burraneer,2212.0,943.0,377.0,631.0,76.6,32.6,13.1,21.9,10705
Heathcote (NSW),3671.0,1579.0,647.0,1224.0,75.6,32.6,13.3,25.2,11883
Waterfall,311.0,142.0,50.0,92.0,81.4,37.2,13.1,24.2,14182
Illawong,4530.0,1859.0,848.0,1146.0,74.7,30.6,14.0,18.9,11974
Alfords Point,1922.0,718.0,342.0,484.0,74.3,27.8,13.2,18.6,10031
Barden Ridge,2640.0,1041.0,383.0,709.0,75.6,29.8,11.0,20.3,10193
Menai,6186.0,2624.0,1047.0,1536.0,75.3,31.9,12.7,18.7,12567
Bangor (NSW),3425.0,1541.0,628.0,906.0,75.2,33.9,13.8,19.9,10177
Woronora,1374.0,595.0,231.0,387.0,77.1,33.3,12.9,21.7,14420
Bonnet Bay,1509.0,665.0,253.0,438.0,82.2,36.2,13.7,23.8,10469
Jannali,3597.0,1566.0,595.0,927.0,73.9,32.1,12.2,19.0,12001
Oyster Bay,3405.0,1622.0,537.0,953.0,81.4,38.8,12.9,22.8,13112
Como (NSW),2427.0,1184.0,394.0,792.0,80.7,39.4,13.1,26.4,10996
Kareela,2122.0,1016.0,341.0,514.0,77.4,37.0,12.4,18.7,12073
Kirrawee,5447.0,2356.0,932.0,1405.0,72.9,31.5,12.5,18.8,12172
Sutherland (NSW),6641.0,2493.0,908.0,1573.0,73.4,27.6,10.0,17.4,13701
Loftus,2539.0,1167.0,452.0,803.0,79.1,36.4,14.1,25.1,12371
Engadine,10329.0,5239.0,1691.0,2781.0,77.7,39.4,12.7,20.9,11422
Yarrawarrah,1777.0,789.0,306.0,467.0,81.2,36.0,14.0,21.3,14485
Woronora Heights,1872.0,735.0,313.0,511.0,79.9,31.4,13.4,21.9,14422
