,Median mortgage repayments,Households where mortgage payments are less than 30% of household income,"Households where mortgage payments are 30%, or greater, of household income",Median mortgage repayments (%),Households where mortgage payments are less than 30% of household income (%),"Households where mortgage payments are 30%, or greater, of household income (%)"
Edgecliff,2817.0,--,--,--,92.2,7.8
Edgeworth,1623.0,--,--,--,88.0,12.0
Elanora Heights,3000.0,--,--,--,84.9,15.1
Elderslie (Camden - NSW),2253.0,--,--,--,84.7,15.3
Eleebana,1950.0,--,--,--,92.5,7.5
Elermore Vale,1733.0,--,--,--,91.7,8.3
Elizabeth Bay,2200.0,--,--,--,94.0,6.0
Emerton,1517.0,--,--,--,90.9,9.1
Empire Bay,2114.0,--,--,--,87.7,12.3
Emu Heights (NSW),2079.0,--,--,--,85.9,14.1
Emu Plains,2126.0,--,--,--,89.9,10.1
Enfield (NSW),2300.0,--,--,--,86.6,13.4
Engadine,2427.0,--,--,--,84.5,15.5
Enmore (Marrickville - NSW),2600.0,--,--,--,90.6,9.4
Epping (NSW),2286.0,--,--,--,91.3,8.7
Erina,1800.0,--,--,--,92.6,7.4
Ermington,2500.0,--,--,--,86.9,13.1
Erskine Park,2000.0,--,--,--,84.3,15.7
Erskineville,2600.0,--,--,--,90.7,9.3
Eschol Park,1770.0,--,--,--,84.9,15.1
Ettalong Beach,1600.0,--,--,--,95.4,4.6
Fairfield (NSW),1647.0,--,--,--,89.1,10.9
Fairfield East,1842.0,--,--,--,86.6,13.4
Fairfield Heights,2011.0,--,--,--,88.3,11.7
Fairfield West,1879.0,--,--,--,84.7,15.3
Fairlight,3000.0,--,--,--,89.6,10.4
Fairy Meadow,1800.0,--,--,--,93.7,6.3
Farmborough Heights,1863.0,--,--,--,89.0,11.0
Faulconbridge,1950.0,--,--,--,88.9,11.1
Fennell Bay,1733.0,--,--,--,92.2,7.8
Figtree,2000.0,--,--,--,91.7,8.3
Five Dock,2800.0,--,--,--,90.1,9.9
Fletcher (NSW),2250.0,--,--,--,84.0,16.0
Flinders (NSW),2167.0,--,--,--,82.7,17.3
Floraville,1820.0,--,--,--,88.9,11.1
Forest Lodge,3000.0,--,--,--,93.5,6.5
Forestville (NSW),2800.0,--,--,--,88.7,11.3
Forresters Beach,2080.0,--,--,--,86.5,13.5
Frenchs Forest,2905.0,--,--,--,85.3,14.7
Garden Suburb,1900.0,--,--,--,92.2,7.8
Gateshead,1517.0,--,--,--,92.7,7.3
Georgetown (NSW),1833.0,--,--,--,93.1,6.9
Girraween (NSW),2150.0,--,--,--,86.9,13.1
Gladesville,2500.0,--,--,--,89.3,10.7
Glebe (NSW),2817.0,--,--,--,94.5,5.5
Glenbrook,2000.0,--,--,--,91.0,9.0
Glendale (NSW),1733.0,--,--,--,89.6,10.4
Glendenning,2050.0,--,--,--,76.1,23.9
Glenfield (NSW),1965.0,--,--,--,85.5,14.5
Glenhaven,2639.0,--,--,--,87.6,12.4
Glenmore Park,2200.0,--,--,--,83.2,16.8
Glenning Valley,1950.0,--,--,--,87.5,12.5
Glenwood (NSW),2550.0,--,--,--,80.0,20.0
Gordon (NSW),3000.0,--,--,--,86.8,13.2
Gorokan,1517.0,--,--,--,90.1,9.9
Gosford,1570.0,--,--,--,94.6,5.4
Granville (NSW),1777.0,--,--,--,88.2,11.8
Grays Point,2487.0,--,--,--,87.3,12.7
Green Point (Great Lakes - NSW),1602.0,--,--,--,89.8,10.2
Green Valley (NSW),2000.0,--,--,--,81.1,18.9
Greenacre,2100.0,--,--,--,82.9,17.1
Greenfield Park,1980.0,--,--,--,82.2,17.8
Greenwich,2800.0,--,--,--,90.9,9.1
Greystanes,2167.0,--,--,--,86.5,13.5
Guildford (NSW),1880.0,--,--,--,86.6,13.4
Guildford West,2167.0,--,--,--,84.4,15.6
Gwynneville,1855.0,--,--,--,96.4,3.6
Gymea,2492.0,--,--,--,88.3,11.7
Gymea Bay,2700.0,--,--,--,86.5,13.5
Haberfield,2600.0,--,--,--,90.5,9.5
Halekulani,1717.0,--,--,--,90.6,9.4
Hamilton (NSW),1863.0,--,--,--,93.5,6.5
Hamilton East,2492.0,--,--,--,94.8,5.2
Hamilton North,1950.0,--,--,--,90.8,9.2
Hamilton South,2100.0,--,--,--,95.7,4.3
Hammondville,2167.0,--,--,--,82.1,17.9
Harrington Park,2500.0,--,--,--,77.5,22.5
Harris Park,1576.0,--,--,--,93.6,6.4
Hassall Grove,2000.0,--,--,--,77.1,22.9
Haymarket,2500.0,--,--,--,89.9,10.1
Heathcote (NSW),2357.0,--,--,--,86.7,13.3
Hebersham,1655.0,--,--,--,88.8,11.2
Heckenberg,1777.0,--,--,--,84.6,15.4
Henley,2900.0,--,--,--,84.9,15.1
Hillsborough (Lake Macquarie - NSW),1854.0,--,--,--,86.5,13.5
Hillsdale,1900.0,--,--,--,89.4,10.6
Hinchinbrook (NSW),2004.0,--,--,--,79.3,20.7
Holmesville,1625.0,--,--,--,88.8,11.2
Holsworthy,2307.0,--,--,--,80.5,19.5
Homebush (NSW),2300.0,--,--,--,87.4,12.6
Homebush West,2000.0,--,--,--,83.8,16.2
Horningsea Park,2500.0,--,--,--,69.9,30.1
Hornsby,2167.0,--,--,--,88.4,11.6
Hornsby Heights,2383.0,--,--,--,85.4,14.6
Horsley,2000.0,--,--,--,83.9,16.1
Hoxton Park,2383.0,--,--,--,74.8,25.2
Hunters Hill,3033.0,--,--,--,86.6,13.4
Hurlstone Park,2058.0,--,--,--,91.8,8.2
Hurstville Grove,2600.0,--,--,--,84.4,15.6
Illawong,2492.0,--,--,--,87.7,12.3
Ingleburn,1733.0,--,--,--,87.3,12.7
Ingleside,4000.0,--,--,--,86.1,13.9
Islington,1800.0,--,--,--,93.4,6.6
Jamisontown,1850.0,--,--,--,87.7,12.3
Jannali,2500.0,--,--,--,87.3,12.7
Jesmond,1417.0,--,--,--,96.2,3.8
Kahibah,1863.0,--,--,--,92.6,7.4
Kanahooka,1907.0,--,--,--,90.6,9.4
Kangaroo Point (NSW),4333.0,--,--,--,83.0,17.0
Kanwal,1681.0,--,--,--,90.1,9.9
Kareela,2806.0,--,--,--,86.2,13.8
Kariong,1967.0,--,--,--,83.9,16.1
Kearns,1950.0,--,--,--,85.5,14.5
Keiraville,2167.0,--,--,--,93.2,6.8
Kellyville,2600.0,--,--,--,82.3,17.7
Kembla Grange,2167.0,--,--,--,92.9,7.1
Kensington (NSW),2600.0,--,--,--,92.4,7.6
Kilaben Bay,2019.0,--,--,--,90.2,9.8
Killara (NSW),3300.0,--,--,--,88.3,11.7
Killarney Heights,3000.0,--,--,--,88.4,11.6
Killarney Vale,1733.0,--,--,--,87.8,12.2
Kincumber,1950.0,--,--,--,89.8,10.2
Kincumber South,1388.0,--,--,--,98.4,1.6
Kings Langley,2200.0,--,--,--,88.2,11.8
Kings Park (NSW),2175.0,--,--,--,81.3,18.7
Kingsford (NSW),2490.0,--,--,--,92.2,7.8
Kingswood (Tamworth - NSW),1820.0,--,--,--,91.7,8.3
Kirrawee,2496.0,--,--,--,86.9,13.1
Kirribilli,2800.0,--,--,--,95.2,4.8
Kogarah,2032.0,--,--,--,88.6,11.4
Kogarah Bay,2817.0,--,--,--,84.3,15.7
Koolewong,2040.0,--,--,--,89.1,10.9
Koonawarra,1517.0,--,--,--,91.0,9.0
Kotara,1863.0,--,--,--,91.6,8.4
Kotara South,1900.0,--,--,--,92.0,8.0
Kurnell,2600.0,--,--,--,80.1,19.9
Kyeemagh,2900.0,--,--,--,87.1,12.9
Kyle Bay,3379.0,--,--,--,87.3,12.7
La Perouse,4333.0,--,--,--,95.4,4.6
Lake Haven,1595.0,--,--,--,94.2,5.8
Lake Heights,1850.0,--,--,--,89.5,10.5
Lake Illawarra,1430.0,--,--,--,93.8,6.2
Lakelands (NSW),1800.0,--,--,--,92.7,7.3
Lakemba,1495.0,--,--,--,89.3,10.7
Lalor Park,1863.0,--,--,--,87.6,12.4
Lambton,1733.0,--,--,--,94.1,5.9
Lane Cove,2600.0,--,--,--,89.6,10.4
Lane Cove North,2500.0,--,--,--,89.1,10.9
Lane Cove West,3467.0,--,--,--,85.9,14.1
Lansvale,1850.0,--,--,--,82.9,17.1
Lapstone,2167.0,--,--,--,93.6,6.4
Lavender Bay,3000.0,--,--,--,91.5,8.5
Leichhardt (NSW),2817.0,--,--,--,89.2,10.8
Leonay,2167.0,--,--,--,90.1,9.9
Lethbridge Park,1517.0,--,--,--,92.6,7.4
Lewisham (NSW),2600.0,--,--,--,92.3,7.7
Liberty Grove,2400.0,--,--,--,85.4,14.6
Lidcombe,2000.0,--,--,--,85.6,14.4
Lilli Pilli (Sutherland - NSW),3033.0,--,--,--,83.1,16.9
Lilyfield,3111.0,--,--,--,89.7,10.3
Lindfield,3000.0,--,--,--,89.4,10.6
Linley Point,5000.0,--,--,--,76.1,23.9
Lisarow,1842.0,--,--,--,87.1,12.9
Little Bay,2999.0,--,--,--,87.8,12.2
Liverpool,1600.0,--,--,--,90.0,10.0
Loftus,2492.0,--,--,--,85.9,14.1
Long Jetty,1740.0,--,--,--,92.4,7.6
Long Point (Campbelltown - NSW),1517.0,--,--,--,90.0,10.0
Longueville,3900.0,--,--,--,84.7,15.3
Lugarno,2500.0,--,--,--,87.9,12.1
Lurnea,1733.0,--,--,--,84.4,15.6
Macquarie Fields,1690.0,--,--,--,87.5,12.5
Macquarie Hills,1950.0,--,--,--,85.4,14.6
Macquarie Links,2734.0,--,--,--,80.2,19.8
Macquarie Park,2000.0,--,--,--,94.0,6.0
Malabar,2600.0,--,--,--,92.0,8.0
Mangerton,1840.0,--,--,--,91.1,8.9
Manly Vale,2383.0,--,--,--,86.8,13.2
Marayong,1950.0,--,--,--,88.7,11.3
Mardi,1997.0,--,--,--,87.7,12.3
Marks Point,1650.0,--,--,--,93.2,6.8
Marmong Point,1950.0,--,--,--,92.1,7.9
Maroubra,2600.0,--,--,--,91.1,8.9
Marrickville,2324.0,--,--,--,90.9,9.1
Marsfield,2300.0,--,--,--,89.9,10.1
Maryland (Newcastle - NSW),1796.0,--,--,--,88.0,12.0
Mascot,2600.0,--,--,--,85.0,15.0
Matraville,2600.0,--,--,--,88.8,11.2
Mayfield (Newcastle - NSW),1733.0,--,--,--,91.0,9.0
Mayfield East,1690.0,--,--,--,89.6,10.4
Mayfield West,1647.0,--,--,--,90.3,9.7
McMahons Point,3000.0,--,--,--,94.2,5.8
Melrose Park (NSW),2383.0,--,--,--,84.5,15.5
Menai,2350.0,--,--,--,85.6,14.4
Merewether,2167.0,--,--,--,92.7,7.3
Merewether Heights,2167.0,--,--,--,89.6,10.4
Merrylands,1998.0,--,--,--,87.4,12.6
Merrylands West,1900.0,--,--,--,87.6,12.4
Middle Cove,4000.0,--,--,--,86.4,13.6
Miller,1517.0,--,--,--,90.8,9.2
Millers Point,3600.0,--,--,--,92.3,7.7
Milperra,2200.0,--,--,--,84.4,15.6
Milsons Point,3000.0,--,--,--,91.7,8.3
Minchinbury,2167.0,--,--,--,81.3,18.7
Minmi,1500.0,--,--,--,89.7,10.3
Minto,1738.0,--,--,--,84.3,15.7
Miranda (NSW),2275.0,--,--,--,88.6,11.4
Mona Vale,2600.0,--,--,--,87.3,12.7
Monterey,2400.0,--,--,--,89.5,10.5
Moorebank,2300.0,--,--,--,81.5,18.5
Mortdale,2100.0,--,--,--,88.3,11.7
Mortlake (NSW),3033.0,--,--,--,88.0,12.0
Mosman,3033.0,--,--,--,88.8,11.2
Mount Annan,2200.0,--,--,--,79.3,20.7
Mount Colah,2492.0,--,--,--,85.7,14.3
Mount Druitt,1700.0,--,--,--,86.8,13.2
Mount Hutton (NSW),1840.0,--,--,--,89.6,10.4
Mount Keira,2167.0,--,--,--,91.7,8.3
Mount Kembla,2383.0,--,--,--,89.5,10.5
Mount Lewis,2500.0,--,--,--,88.2,11.8
Mount Ousley,2000.0,--,--,--,92.1,7.9
Mount Pleasant (NSW),2143.0,--,--,--,89.8,10.2
Mount Pritchard,1863.0,--,--,--,85.2,14.8
Mount Riverview,2058.0,--,--,--,88.7,11.3
Mount Saint Thomas,1975.0,--,--,--,89.9,10.1
Mount Warrigal,1863.0,--,--,--,89.4,10.6
Narara,1794.0,--,--,--,84.9,15.1
Narellan,2000.0,--,--,--,87.8,12.2
Naremburn,3000.0,--,--,--,88.3,11.7
Narraweena,2817.0,--,--,--,88.3,11.7
Narwee,2167.0,--,--,--,87.1,12.9
Neutral Bay,2557.0,--,--,--,92.8,7.2
New Lambton,1814.0,--,--,--,92.4,7.6
Newcastle,2249.0,--,--,--,92.9,7.1
Newcastle East,2375.0,--,--,--,96.4,3.6
Newcastle West,1950.0,--,--,--,94.0,6.0
Newington (NSW),2600.0,--,--,--,84.1,15.9
Newport (NSW),2850.0,--,--,--,86.6,13.4
Newtown (NSW),2600.0,--,--,--,93.0,7.0
Norah Head,2000.0,--,--,--,94.3,5.7
Noraville,1733.0,--,--,--,91.9,8.1
Normanhurst,2531.0,--,--,--,88.5,11.5
North Avoca,2297.0,--,--,--,85.2,14.8
North Balgowlah,3000.0,--,--,--,82.9,17.1
North Bondi,3250.0,--,--,--,88.6,11.4
North Curl Curl,2809.0,--,--,--,85.7,14.3
North Epping,2600.0,--,--,--,90.8,9.2
North Gosford,1717.0,--,--,--,91.6,8.4
North Lambton,1733.0,--,--,--,93.6,6.4
North Manly,3467.0,--,--,--,83.9,16.1
North Narrabeen,2934.0,--,--,--,82.6,17.4
North Parramatta,1961.0,--,--,--,89.8,10.2
North Rocks,2500.0,--,--,--,87.0,13.0
North St Marys,1746.0,--,--,--,90.2,9.8
North Strathfield,2400.0,--,--,--,87.8,12.2
North Sydney,2600.0,--,--,--,93.3,6.7
North Turramurra,2895.0,--,--,--,90.5,9.5
North Wahroonga,3360.0,--,--,--,86.9,13.1
North Willoughby,2900.0,--,--,--,89.0,11.0
North Wollongong,1970.0,--,--,--,94.6,5.4
Northbridge (NSW),3250.0,--,--,--,88.7,11.3
Northmead,2300.0,--,--,--,89.7,10.3
Northwood (NSW),4333.0,--,--,--,86.9,13.1
Oak Flats,1733.0,--,--,--,89.8,10.2
Oakhurst (NSW),2000.0,--,--,--,78.6,21.4
Oatlands (NSW),2500.0,--,--,--,86.8,13.2
Oatley,2500.0,--,--,--,90.7,9.3
Old Toongabbie,2000.0,--,--,--,86.7,13.3
Ourimbah,1950.0,--,--,--,86.8,13.2
Oxley Park,1800.0,--,--,--,86.9,13.1
Oyster Bay,2880.0,--,--,--,85.1,14.9
Paddington (NSW),3467.0,--,--,--,89.9,10.1
Padstow,2167.0,--,--,--,87.9,12.1
Padstow Heights,2207.0,--,--,--,86.6,13.4
Pagewood,3000.0,--,--,--,88.5,11.5
Palm Beach (NSW),3000.0,--,--,--,89.9,10.1
Panania,2200.0,--,--,--,88.4,11.6
Parramatta,1950.0,--,--,--,90.7,9.3
Peakhurst,2383.0,--,--,--,88.3,11.7
Peakhurst Heights,2383.0,--,--,--,89.2,10.8
Pearl Beach,2925.0,--,--,--,96.0,4.0
Pelican (NSW),2000.0,--,--,--,92.2,7.8
Pendle Hill,2020.0,--,--,--,89.3,10.7
Pennant Hills,2400.0,--,--,--,90.0,10.0
Penrose (Wollongong - NSW),1650.0,--,--,--,88.2,11.8
Petersham,2600.0,--,--,--,91.6,8.4
Phillip Bay,2167.0,--,--,--,88.6,11.4
Picnic Point,2232.0,--,--,--,88.0,12.0
Plumpton (NSW),2100.0,--,--,--,79.6,20.4
Point Clare,2000.0,--,--,--,89.7,10.3
Point Frederick,1926.0,--,--,--,93.8,6.2
Point Piper,4067.0,--,--,--,90.3,9.7
Port Kembla,1733.0,--,--,--,93.2,6.8
Potts Point,2167.0,--,--,--,93.1,6.9
Prairiewood,2167.0,--,--,--,89.2,10.8
Prestons,2401.0,--,--,--,72.1,27.9
Primbee,1733.0,--,--,--,93.3,6.7
Prospect (NSW),2082.0,--,--,--,85.5,14.5
Punchbowl (Canterbury - NSW),1950.0,--,--,--,83.7,16.3
Putney,3000.0,--,--,--,86.9,13.1
Pymble,3215.0,--,--,--,86.9,13.1
