,Separate house,"Semi-detached, row or terrace house, townhouse etc","Flat, unit or apartment",Other dwelling,Dwelling type not stated,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)","Flat, unit or apartment (%)",Other dwelling (%),Dwelling type not stated (%)
Abbotsbury,1021.0,7.0,0.0,0.0,5.0,98.8,0.7,0.0,0.0,0.5
Australia,5327309.0,632176.0,923139.0,134274.0,55304.0,75.3,8.9,13.1,1.9,0.8
Abbotsford,701.0,335.0,1064.0,16.0,28.0,32.7,15.6,49.6,0.7,1.3
Acacia Gardens,474.0,45.0,0.0,0.0,3.0,90.8,8.6,0.0,0.0,0.6
Adamstown,1558.0,259.0,367.0,16.0,5.0,70.7,11.7,16.6,0.7,0.2
Adamstown Heights,1911.0,46.0,25.0,5.0,3.0,96.0,2.3,1.3,0.3,0.2
Airds,773.0,411.0,28.0,0.0,15.0,63.0,33.5,2.3,0.0,1.2
Albion Park,3045.0,210.0,32.0,11.0,7.0,92.1,6.4,1.0,0.3,0.2
Albion Park Rail,2031.0,224.0,210.0,0.0,14.0,81.9,9.0,8.5,0.0,0.6
Alexandria,121.0,1144.0,783.0,16.0,15.0,5.8,55.0,37.7,0.8,0.7
Alfords Point,919.0,7.0,0.0,0.0,0.0,99.2,0.8,0.0,0.0,0.0
Allambie Heights,2047.0,29.0,294.0,4.0,12.0,85.8,1.2,12.3,0.2,0.5
Allawah,222.0,64.0,1497.0,12.0,8.0,12.3,3.5,83.0,0.7,0.4
Ambarvale,1958.0,308.0,10.0,0.0,5.0,85.8,13.5,0.4,0.0,0.2
Annandale,1003.0,1539.0,1008.0,85.0,17.0,27.5,42.1,27.6,2.3,0.5
Argenton,488.0,22.0,30.0,3.0,3.0,89.4,4.0,5.5,0.5,0.5
Arncliffe,1799.0,380.0,856.0,36.0,10.0,58.4,12.3,27.8,1.2,0.3
Artarmon,842.0,357.0,2280.0,11.0,94.0,23.5,10.0,63.6,0.3,2.6
Ashbury,1007.0,37.0,0.0,15.0,10.0,94.2,3.5,0.0,1.4,0.9
Ashcroft,825.0,29.0,228.0,0.0,3.0,76.0,2.7,21.0,0.0,0.3
Ashfield,2185.0,799.0,4856.0,48.0,284.0,26.7,9.8,59.4,0.6,3.5
Asquith,1009.0,32.0,35.0,17.0,19.0,90.7,2.9,3.1,1.5,1.7
Auburn,4563.0,624.0,2803.0,21.0,73.0,56.4,7.7,34.7,0.3,0.9
Austinmer,697.0,57.0,44.0,5.0,8.0,85.9,7.0,5.4,0.6,1.0
Avoca Beach,1221.0,73.0,69.0,139.0,12.0,80.6,4.8,4.6,9.2,0.8
Balgowlah,1079.0,512.0,1031.0,33.0,7.0,40.5,19.2,38.7,1.2,0.3
Balgowlah Heights,1039.0,10.0,17.0,4.0,3.0,96.8,0.9,1.6,0.4,0.3
Balgownie,1772.0,327.0,129.0,7.0,4.0,79.1,14.6,5.8,0.3,0.2
Balmain,1077.0,1761.0,1352.0,89.0,33.0,25.0,40.8,31.4,2.1,0.8
Balmain East,196.0,260.0,391.0,4.0,5.0,22.9,30.4,45.7,0.5,0.6
