,Bachelor Degree level and above,Advanced Diploma and Diploma level,Certificate level IV,Certificate level III,Year 12,Year 11,Year 10,Certificate level II,Certificate level I,Year 9 or below,No educational attainment,Not stated,Bachelor Degree level and above (%),Advanced Diploma and Diploma level (%),Certificate level IV (%),Certificate level III (%),Year 12 (%),Year 11 (%),Year 10 (%),Certificate level II (%),Certificate level I (%),Year 9 or below (%),No educational attainment (%),Not stated (%),SSC_CODE
Marrangaroo,41.0,35.0,9.0,85.0,42.0,23.0,71.0,0.0,0.0,33.0,3.0,470.0,4.9,4.2,1.1,10.2,5.0,2.8,8.5,0.0,0.0,4.0,0.4,56.3,12502
Lithgow,419.0,277.0,137.0,731.0,490.0,158.0,864.0,14.0,0.0,605.0,10.0,583.0,9.5,6.3,3.1,16.5,11.1,3.6,19.5,0.3,0.0,13.7,0.2,13.2,12347
Bowenfels,78.0,72.0,42.0,249.0,133.0,75.0,332.0,7.0,0.0,273.0,12.0,301.0,4.9,4.5,2.6,15.6,8.3,4.7,20.8,0.4,0.0,17.1,0.8,18.8,10529
Rydal,21.0,11.0,5.0,27.0,12.0,3.0,32.0,0.0,0.0,14.0,0.0,46.0,12.3,6.4,2.9,15.8,7.0,1.8,18.7,0.0,0.0,8.2,0.0,26.9,13452
Pottery Estate,13.0,3.0,3.0,14.0,13.0,3.0,23.0,0.0,0.0,9.0,0.0,25.0,11.2,2.6,2.6,12.1,11.2,2.6,19.8,0.0,0.0,7.8,0.0,21.6,13254
Oakey Park,14.0,16.0,9.0,55.0,36.0,6.0,53.0,0.0,0.0,47.0,0.0,29.0,5.0,5.7,3.2,19.7,12.9,2.2,19.0,0.0,0.0,16.8,0.0,10.4,13055
Morts Estate,29.0,35.0,13.0,85.0,55.0,13.0,113.0,0.0,0.0,74.0,0.0,63.0,6.0,7.2,2.7,17.5,11.3,2.7,23.3,0.0,0.0,15.3,0.0,13.0,12732
Hermitage Flat,23.0,13.0,12.0,56.0,18.0,12.0,57.0,0.0,0.0,37.0,0.0,47.0,7.7,4.3,4.0,18.7,6.0,4.0,19.1,0.0,0.0,12.4,0.0,15.7,11895
McKellars Park,24.0,11.0,4.0,43.0,21.0,5.0,35.0,0.0,0.0,19.0,0.0,19.0,13.1,6.0,2.2,23.5,11.5,2.7,19.1,0.0,0.0,10.4,0.0,10.4,12544
South Littleton,15.0,17.0,6.0,49.0,31.0,4.0,43.0,0.0,0.0,24.0,3.0,34.0,6.6,7.5,2.6,21.5,13.6,1.8,18.9,0.0,0.0,10.5,1.3,14.9,13590
Littleton,48.0,41.0,34.0,142.0,76.0,35.0,132.0,0.0,0.0,83.0,0.0,60.0,7.2,6.1,5.1,21.2,11.3,5.2,19.7,0.0,0.0,12.4,0.0,9.0,12360
Vale Of Clwydd,30.0,28.0,6.0,62.0,44.0,18.0,74.0,0.0,0.0,43.0,0.0,59.0,7.9,7.4,1.6,16.4,11.6,4.8,19.6,0.0,0.0,11.4,0.0,15.6,14064
Portland (NSW),119.0,117.0,64.0,353.0,193.0,86.0,363.0,5.0,0.0,277.0,3.0,363.0,5.9,5.8,3.2,17.5,9.6,4.3,18.0,0.2,0.0,13.7,0.1,18.0,13250
Lidsdale,6.0,14.0,10.0,67.0,30.0,23.0,68.0,0.0,0.0,41.0,0.0,79.0,1.7,4.0,2.9,19.4,8.7,6.6,19.7,0.0,0.0,11.8,0.0,22.8,12318
Wallerawang,98.0,89.0,49.0,306.0,131.0,64.0,279.0,0.0,0.0,222.0,3.0,258.0,6.4,5.8,3.2,19.9,8.5,4.2,18.2,0.0,0.0,14.5,0.2,16.8,14114
Little Hartley,84.0,51.0,17.0,83.0,45.0,9.0,57.0,0.0,0.0,22.0,0.0,45.0,19.7,12.0,4.0,19.5,10.6,2.1,13.4,0.0,0.0,5.2,0.0,10.6,12352
Hartley (NSW),57.0,37.0,14.0,78.0,31.0,7.0,51.0,0.0,0.0,22.0,0.0,42.0,16.1,10.5,4.0,22.0,8.8,2.0,14.4,0.0,0.0,6.2,0.0,11.9,11861
Clarence,18.0,25.0,4.0,33.0,17.0,5.0,24.0,0.0,0.0,18.0,0.0,25.0,11.4,15.8,2.5,20.9,10.8,3.2,15.2,0.0,0.0,11.4,0.0,15.8,10919
Glen Davis,8.0,6.0,0.0,20.0,10.0,0.0,14.0,0.0,0.0,6.0,0.0,20.0,9.8,7.3,0.0,24.4,12.2,0.0,17.1,0.0,0.0,7.3,0.0,24.4,11646
Cullen Bullen,8.0,9.0,3.0,31.0,22.0,5.0,33.0,0.0,0.0,38.0,0.0,83.0,3.4,3.8,1.3,13.0,9.2,2.1,13.9,0.0,0.0,16.0,0.0,34.9,11148
Megalong Valley,34.0,8.0,0.0,22.0,19.0,3.0,15.0,0.0,0.0,9.0,0.0,24.0,26.8,6.3,0.0,17.3,15.0,2.4,11.8,0.0,0.0,7.1,0.0,18.9,12557
Kanimbla (NSW),24.0,15.0,5.0,16.0,16.0,4.0,14.0,0.0,0.0,8.0,0.0,9.0,18.5,11.5,3.8,12.3,12.3,3.1,10.8,0.0,0.0,6.2,0.0,6.9,12065
Capertee,3.0,13.0,6.0,17.0,10.0,4.0,17.0,0.0,0.0,22.0,0.0,24.0,2.7,11.5,5.3,15.0,8.8,3.5,15.0,0.0,0.0,19.5,0.0,21.2,10802
Running Stream,8.0,12.0,3.0,22.0,7.0,8.0,19.0,0.0,0.0,10.0,0.0,20.0,6.7,10.1,2.5,18.5,5.9,6.7,16.0,0.0,0.0,8.4,0.0,16.8,13441
Mudgee,1035.0,587.0,310.0,1559.0,964.0,343.0,1401.0,9.0,3.0,853.0,15.0,1162.0,12.2,6.9,3.6,18.3,11.3,4.0,16.5,0.1,0.0,10.0,0.2,13.7,12812
Putta Bucca,29.0,21.0,3.0,20.0,18.0,6.0,26.0,0.0,0.0,17.0,0.0,26.0,16.0,11.6,1.7,11.0,9.9,3.3,14.4,0.0,0.0,9.4,0.0,14.4,13278
Bombira,71.0,29.0,8.0,35.0,26.0,13.0,34.0,0.0,0.0,16.0,0.0,34.0,26.8,10.9,3.0,13.2,9.8,4.9,12.8,0.0,0.0,6.0,0.0,12.8,10457
Burrundulla,18.0,14.0,4.0,15.0,6.0,4.0,18.0,0.0,0.0,8.0,0.0,16.0,18.0,14.0,4.0,15.0,6.0,4.0,18.0,0.0,0.0,8.0,0.0,16.0,10717
Spring Flat,22.0,21.0,3.0,23.0,18.0,8.0,23.0,0.0,0.0,11.0,0.0,25.0,13.3,12.7,1.8,13.9,10.8,4.8,13.9,0.0,0.0,6.6,0.0,15.1,13613
Kandos,51.0,49.0,19.0,179.0,92.0,48.0,209.0,3.0,0.0,225.0,4.0,214.0,4.5,4.3,1.7,15.9,8.2,4.3,18.5,0.3,0.0,19.9,0.4,19.0,12057
Rylstone,86.0,56.0,25.0,140.0,68.0,41.0,135.0,0.0,0.0,95.0,0.0,114.0,11.1,7.2,3.2,18.0,8.8,5.3,17.4,0.0,0.0,12.2,0.0,14.7,13457
Ilford,14.0,9.0,10.0,31.0,9.0,5.0,26.0,0.0,0.0,9.0,0.0,31.0,9.5,6.1,6.8,21.1,6.1,3.4,17.7,0.0,0.0,6.1,0.0,21.1,11971
Clandulla,6.0,8.0,6.0,29.0,16.0,6.0,39.0,0.0,0.0,27.0,0.0,30.0,3.9,5.2,3.9,18.7,10.3,3.9,25.2,0.0,0.0,17.4,0.0,19.4,10916
Charbon,3.0,3.0,0.0,15.0,14.0,3.0,32.0,0.0,0.0,19.0,0.0,10.0,2.9,2.9,0.0,14.3,13.3,2.9,30.5,0.0,0.0,18.1,0.0,9.5,10883
Lue,12.0,10.0,8.0,19.0,9.0,9.0,33.0,0.0,0.0,21.0,0.0,28.0,7.7,6.4,5.1,12.2,5.8,5.8,21.2,0.0,0.0,13.5,0.0,17.9,12420
Gulgong,131.0,115.0,63.0,353.0,192.0,63.0,382.0,3.0,0.0,281.0,3.0,328.0,6.7,5.8,3.2,17.9,9.8,3.2,19.4,0.2,0.0,14.3,0.2,16.7,11794
Dunedoo,75.0,55.0,21.0,118.0,127.0,27.0,157.0,3.0,0.0,157.0,0.0,222.0,7.6,5.6,2.1,12.0,12.9,2.7,16.0,0.3,0.0,16.0,0.0,22.6,11316
Leadville,11.0,6.0,0.0,16.0,9.0,4.0,20.0,0.0,0.0,14.0,0.0,46.0,8.9,4.8,0.0,12.9,7.3,3.2,16.1,0.0,0.0,11.3,0.0,37.1,12290
Cassilis (NSW),23.0,18.0,11.0,36.0,44.0,13.0,37.0,0.0,0.0,29.0,0.0,22.0,9.6,7.5,4.6,15.1,18.4,5.4,15.5,0.0,0.0,12.1,0.0,9.2,10844
Tallawang,8.0,9.0,0.0,20.0,15.0,0.0,31.0,0.0,0.0,7.0,0.0,40.0,5.8,6.6,0.0,14.6,10.9,0.0,22.6,0.0,0.0,5.1,0.0,29.2,13731
Beryl,12.0,10.0,0.0,19.0,11.0,0.0,19.0,0.0,0.0,18.0,0.0,15.0,11.9,9.9,0.0,18.8,10.9,0.0,18.8,0.0,0.0,17.8,0.0,14.9,10327
Stubbo,13.0,15.0,5.0,41.0,14.0,0.0,36.0,0.0,0.0,18.0,0.0,33.0,7.2,8.3,2.8,22.7,7.7,0.0,19.9,0.0,0.0,9.9,0.0,18.2,13682
Cope,5.0,3.0,0.0,23.0,15.0,0.0,13.0,0.0,0.0,13.0,0.0,18.0,5.1,3.1,0.0,23.5,15.3,0.0,13.3,0.0,0.0,13.3,0.0,18.4,11057
Yarrawonga (NSW),21.0,8.0,8.0,72.0,38.0,17.0,61.0,0.0,0.0,46.0,0.0,60.0,6.2,2.4,2.4,21.2,11.2,5.0,17.9,0.0,0.0,13.5,0.0,17.6,14486
Piambong,21.0,4.0,3.0,31.0,8.0,9.0,15.0,0.0,0.0,7.0,0.0,16.0,18.3,3.5,2.6,27.0,7.0,7.8,13.0,0.0,0.0,6.1,0.0,13.9,13197
Cooks Gap,28.0,22.0,13.0,93.0,47.0,15.0,73.0,0.0,0.0,55.0,3.0,79.0,6.5,5.1,3.0,21.5,10.9,3.5,16.9,0.0,0.0,12.7,0.7,18.2,11018
Frog Rock,6.0,10.0,4.0,31.0,13.0,3.0,21.0,0.0,0.0,18.0,0.0,15.0,5.4,8.9,3.6,27.7,11.6,2.7,18.8,0.0,0.0,16.1,0.0,13.4,11570
Cooyal,11.0,4.0,4.0,16.0,13.0,3.0,14.0,0.0,0.0,9.0,0.0,16.0,11.6,4.2,4.2,16.8,13.7,3.2,14.7,0.0,0.0,9.5,0.0,16.8,11055
St Fillans,13.0,10.0,14.0,43.0,21.0,6.0,35.0,0.0,0.0,30.0,0.0,19.0,6.3,4.8,6.8,20.8,10.1,2.9,16.9,0.0,0.0,14.5,0.0,9.2,13634
Eurunderee,40.0,15.0,3.0,14.0,16.0,0.0,11.0,0.0,0.0,3.0,0.0,13.0,32.0,12.0,2.4,11.2,12.8,0.0,8.8,0.0,0.0,2.4,0.0,10.4,11467
Budgee Budgee (NSW),19.0,15.0,5.0,40.0,16.0,10.0,23.0,0.0,0.0,8.0,0.0,15.0,12.6,9.9,3.3,26.5,10.6,6.6,15.2,0.0,0.0,5.3,0.0,9.9,10641
Kains Flat,13.0,13.0,0.0,40.0,12.0,0.0,31.0,0.0,0.0,13.0,0.0,14.0,9.9,9.9,0.0,30.5,9.2,0.0,23.7,0.0,0.0,9.9,0.0,10.7,12049
Menah,20.0,12.0,3.0,21.0,10.0,3.0,13.0,0.0,0.0,8.0,0.0,11.0,19.6,11.8,2.9,20.6,9.8,2.9,12.7,0.0,0.0,7.8,0.0,10.8,12566
Grattai,37.0,21.0,3.0,61.0,20.0,11.0,39.0,0.0,0.0,36.0,0.0,25.0,14.1,8.0,1.1,23.3,7.6,4.2,14.9,0.0,0.0,13.7,0.0,9.5,11741
Hargraves,12.0,17.0,13.0,21.0,24.0,13.0,36.0,0.0,0.0,35.0,0.0,32.0,5.5,7.8,6.0,9.6,11.0,6.0,16.5,0.0,0.0,16.1,0.0,14.7,11854
Windeyer (NSW),12.0,18.0,6.0,24.0,15.0,5.0,31.0,0.0,0.0,16.0,0.0,29.0,7.1,10.7,3.6,14.3,8.9,3.0,18.5,0.0,0.0,9.5,0.0,17.3,14322
Bocoble,12.0,9.0,8.0,19.0,8.0,3.0,16.0,0.0,0.0,19.0,0.0,27.0,9.4,7.0,6.2,14.8,6.2,2.3,12.5,0.0,0.0,14.8,0.0,21.1,10432
Mount Frome,20.0,10.0,3.0,15.0,9.0,0.0,10.0,0.0,0.0,3.0,0.0,20.0,19.0,9.5,2.9,14.3,8.6,0.0,9.5,0.0,0.0,2.9,0.0,19.0,12760
Buckaroo,28.0,10.0,3.0,16.0,12.0,5.0,13.0,0.0,0.0,9.0,0.0,14.0,29.5,10.5,3.2,16.8,12.6,5.3,13.7,0.0,0.0,9.5,0.0,14.7,10630
Blayney,216.0,161.0,90.0,470.0,267.0,106.0,517.0,3.0,0.0,392.0,6.0,364.0,8.0,6.0,3.3,17.5,9.9,3.9,19.2,0.1,0.0,14.6,0.2,13.5,10410
Millthorpe,227.0,92.0,46.0,132.0,119.0,29.0,105.0,0.0,0.0,68.0,0.0,98.0,24.3,9.8,4.9,14.1,12.7,3.1,11.2,0.0,0.0,7.3,0.0,10.5,12623
Carcoar,33.0,13.0,8.0,39.0,26.0,9.0,51.0,0.0,0.0,35.0,0.0,39.0,12.5,4.9,3.0,14.8,9.9,3.4,19.4,0.0,0.0,13.3,0.0,14.8,10808
Lyndhurst (Blayney - NSW),15.0,27.0,17.0,53.0,37.0,6.0,66.0,0.0,0.0,32.0,0.0,35.0,5.1,9.1,5.7,17.9,12.5,2.0,22.3,0.0,0.0,10.8,0.0,11.8,12426
Forest Reefs,91.0,32.0,7.0,62.0,28.0,12.0,50.0,0.0,0.0,30.0,0.0,34.0,24.5,8.6,1.9,16.7,7.5,3.2,13.5,0.0,0.0,8.1,0.0,9.2,11547
Neville,23.0,16.0,5.0,46.0,15.0,3.0,32.0,0.0,0.0,25.0,0.0,33.0,11.7,8.1,2.5,23.4,7.6,1.5,16.2,0.0,0.0,12.7,0.0,16.8,12937
Barry (Blayney - NSW),8.0,11.0,7.0,25.0,15.0,7.0,26.0,0.0,0.0,11.0,0.0,13.0,6.4,8.8,5.6,20.0,12.0,5.6,20.8,0.0,0.0,8.8,0.0,10.4,10218
Newbridge (NSW),24.0,9.0,12.0,20.0,11.0,12.0,21.0,0.0,0.0,12.0,0.0,29.0,14.1,5.3,7.1,11.8,6.5,7.1,12.4,0.0,0.0,7.1,0.0,17.1,12948
Orange,5138.0,2492.0,1209.0,4460.0,3313.0,1067.0,4571.0,46.0,7.0,3223.0,125.0,3379.0,17.1,8.3,4.0,14.9,11.1,3.6,15.3,0.2,0.0,10.8,0.4,11.3,13092
Clifton Grove,177.0,83.0,25.0,104.0,63.0,22.0,87.0,0.0,0.0,50.0,0.0,42.0,26.3,12.3,3.7,15.5,9.4,3.3,12.9,0.0,0.0,7.4,0.0,6.2,10934
Cumnock,36.0,27.0,7.0,52.0,37.0,15.0,71.0,0.0,0.0,41.0,4.0,40.0,10.4,7.8,2.0,15.0,10.7,4.3,20.5,0.0,0.0,11.8,1.2,11.6,11159
Cudal,50.0,40.0,13.0,73.0,45.0,21.0,78.0,0.0,0.0,59.0,0.0,42.0,11.3,9.0,2.9,16.5,10.2,4.7,17.6,0.0,0.0,13.3,0.0,9.5,11140
Molong,233.0,164.0,57.0,333.0,241.0,78.0,323.0,4.0,0.0,261.0,0.0,229.0,11.7,8.2,2.9,16.8,12.1,3.9,16.2,0.2,0.0,13.1,0.0,11.5,12671
Manildra,34.0,32.0,24.0,106.0,67.0,28.0,125.0,0.0,0.0,86.0,0.0,98.0,5.6,5.2,3.9,17.3,11.0,4.6,20.5,0.0,0.0,14.1,0.0,16.0,12473
Cargo,44.0,45.0,22.0,86.0,41.0,16.0,84.0,0.0,0.0,46.0,0.0,44.0,9.9,10.2,5.0,19.4,9.3,3.6,19.0,0.0,0.0,10.4,0.0,9.9,10813
Spring Terrace,21.0,13.0,3.0,16.0,12.0,3.0,13.0,0.0,0.0,4.0,0.0,13.0,19.8,12.3,2.8,15.1,11.3,2.8,12.3,0.0,0.0,3.8,0.0,12.3,13620
Springside (NSW),66.0,31.0,4.0,50.0,31.0,5.0,24.0,0.0,0.0,17.0,0.0,12.0,27.6,13.0,1.7,20.9,13.0,2.1,10.0,0.0,0.0,7.1,0.0,5.0,13626
Spring Hill (Cabonne - NSW),45.0,34.0,12.0,60.0,37.0,12.0,67.0,0.0,0.0,42.0,0.0,46.0,12.5,9.5,3.3,16.7,10.3,3.3,18.7,0.0,0.0,11.7,0.0,12.8,13615
Guyong,26.0,3.0,0.0,15.0,6.0,0.0,8.0,0.0,0.0,3.0,0.0,20.0,28.9,3.3,0.0,16.7,6.7,0.0,8.9,0.0,0.0,3.3,0.0,22.2,11821
Emu Swamp,43.0,21.0,4.0,19.0,21.0,3.0,3.0,0.0,0.0,4.0,0.0,16.0,32.1,15.7,3.0,14.2,15.7,2.2,2.2,0.0,0.0,3.0,0.0,11.9,11419
Lewis Ponds,10.0,16.0,4.0,26.0,13.0,3.0,14.0,0.0,0.0,10.0,0.0,23.0,8.0,12.8,3.2,20.8,10.4,2.4,11.2,0.0,0.0,8.0,0.0,18.4,12312
Lucknow (NSW),31.0,19.0,0.0,48.0,31.0,10.0,42.0,0.0,0.0,18.0,0.0,22.0,12.9,7.9,0.0,19.9,12.9,4.1,17.4,0.0,0.0,7.5,0.0,9.1,12418
Spring Creek (NSW),15.0,4.0,6.0,18.0,13.0,4.0,15.0,0.0,0.0,5.0,0.0,19.0,14.2,3.8,5.7,17.0,12.3,3.8,14.2,0.0,0.0,4.7,0.0,17.9,13611
Huntley (Orange - NSW),27.0,15.0,0.0,28.0,14.0,4.0,13.0,0.0,0.0,8.0,0.0,17.0,20.9,11.6,0.0,21.7,10.9,3.1,10.1,0.0,0.0,6.2,0.0,13.2,11958
Canobolas,117.0,41.0,10.0,54.0,38.0,9.0,52.0,0.0,0.0,32.0,0.0,37.0,28.4,10.0,2.4,13.1,9.2,2.2,12.6,0.0,0.0,7.8,0.0,9.0,10793
Clergate,22.0,8.0,6.0,31.0,20.0,9.0,36.0,0.0,0.0,17.0,0.0,15.0,13.6,4.9,3.7,19.1,12.3,5.6,22.2,0.0,0.0,10.5,0.0,9.3,10929
March,15.0,8.0,4.0,15.0,11.0,3.0,12.0,0.0,0.0,14.0,0.0,5.0,18.5,9.9,4.9,18.5,13.6,3.7,14.8,0.0,0.0,17.3,0.0,6.2,12486
Summer Hill Creek,43.0,15.0,9.0,26.0,11.0,5.0,17.0,0.0,0.0,11.0,3.0,20.0,27.7,9.7,5.8,16.8,7.1,3.2,11.0,0.0,0.0,7.1,1.9,12.9,13688
Mullion Creek,64.0,25.0,25.0,90.0,50.0,16.0,57.0,0.0,0.0,36.0,0.0,39.0,15.8,6.2,6.2,22.3,12.4,4.0,14.1,0.0,0.0,8.9,0.0,9.7,12826
Nashdale,75.0,33.0,6.0,46.0,36.0,7.0,37.0,0.0,0.0,24.0,0.0,35.0,24.6,10.8,2.0,15.1,11.8,2.3,12.1,0.0,0.0,7.9,0.0,11.5,12913
Windera (NSW),69.0,29.0,6.0,30.0,23.0,8.0,24.0,0.0,0.0,18.0,0.0,7.0,33.8,14.2,2.9,14.7,11.3,3.9,11.8,0.0,0.0,8.8,0.0,3.4,14319
Lidster,70.0,33.0,10.0,41.0,26.0,9.0,15.0,0.0,0.0,9.0,0.0,29.0,28.5,13.4,4.1,16.7,10.6,3.7,6.1,0.0,0.0,3.7,0.0,11.8,12319
Borenore,94.0,33.0,10.0,61.0,39.0,13.0,39.0,0.0,0.0,27.0,0.0,46.0,25.1,8.8,2.7,16.3,10.4,3.5,10.4,0.0,0.0,7.2,0.0,12.3,10513
Yeoval,16.0,19.0,8.0,47.0,43.0,12.0,70.0,0.0,0.0,83.0,4.0,44.0,4.5,5.4,2.3,13.3,12.1,3.4,19.8,0.0,0.0,23.4,1.1,12.4,14507
Grafton,864.0,571.0,364.0,1286.0,874.0,329.0,1478.0,17.0,0.0,1059.0,25.0,1373.0,10.2,6.7,4.3,15.1,10.3,3.9,17.4,0.2,0.0,12.4,0.3,16.1,11733
Rushforth,16.0,10.0,15.0,44.0,19.0,3.0,34.0,0.0,0.0,14.0,0.0,15.0,9.1,5.7,8.6,25.1,10.9,1.7,19.4,0.0,0.0,8.0,0.0,8.6,13446
Great Marlow,25.0,12.0,7.0,27.0,21.0,3.0,18.0,0.0,0.0,14.0,0.0,14.0,17.0,8.2,4.8,18.4,14.3,2.0,12.2,0.0,0.0,9.5,0.0,9.5,11745
South Grafton,305.0,267.0,161.0,764.0,482.0,207.0,1019.0,15.0,0.0,789.0,16.0,684.0,6.3,5.5,3.3,15.7,9.9,4.3,21.0,0.3,0.0,16.2,0.3,14.1,13582
Junction Hill,158.0,101.0,60.0,164.0,127.0,29.0,234.0,3.0,0.0,120.0,0.0,108.0,13.9,8.9,5.3,14.5,11.2,2.6,20.6,0.3,0.0,10.6,0.0,9.5,12045
Carrs Creek,4.0,4.0,3.0,18.0,14.0,3.0,22.0,0.0,0.0,13.0,0.0,12.0,3.7,3.7,2.8,16.7,13.0,2.8,20.4,0.0,0.0,12.0,0.0,11.1,10834
Tucabia,26.0,15.0,6.0,52.0,28.0,17.0,73.0,0.0,0.0,49.0,0.0,38.0,8.3,4.8,1.9,16.6,8.9,5.4,23.2,0.0,0.0,15.6,0.0,12.1,13945
Ulmarra,33.0,50.0,34.0,105.0,64.0,26.0,116.0,0.0,0.0,111.0,3.0,92.0,5.1,7.7,5.2,16.2,9.8,4.0,17.8,0.0,0.0,17.1,0.5,14.2,14004
Ramornie,11.0,15.0,6.0,32.0,13.0,3.0,25.0,0.0,0.0,22.0,0.0,32.0,6.7,9.2,3.7,19.6,8.0,1.8,15.3,0.0,0.0,13.5,0.0,19.6,13308
Nymboida,30.0,30.0,11.0,43.0,21.0,11.0,47.0,0.0,0.0,25.0,3.0,34.0,11.5,11.5,4.2,16.5,8.0,4.2,18.0,0.0,0.0,9.6,1.1,13.0,13048
Blaxlands Creek,11.0,14.0,6.0,21.0,16.0,3.0,16.0,0.0,0.0,7.0,0.0,14.0,10.0,12.7,5.5,19.1,14.5,2.7,14.5,0.0,0.0,6.4,0.0,12.7,10408
Glenreagh,58.0,51.0,21.0,143.0,53.0,37.0,120.0,0.0,0.0,97.0,3.0,95.0,8.4,7.4,3.0,20.6,7.6,5.3,17.3,0.0,0.0,14.0,0.4,13.7,11675
Wells Crossing,5.0,6.0,0.0,26.0,15.0,6.0,25.0,0.0,0.0,21.0,4.0,21.0,3.7,4.4,0.0,19.1,11.0,4.4,18.4,0.0,0.0,15.4,2.9,15.4,14223
Kungala,10.0,19.0,6.0,26.0,3.0,7.0,31.0,0.0,0.0,8.0,0.0,20.0,7.7,14.6,4.6,20.0,2.3,5.4,23.8,0.0,0.0,6.2,0.0,15.4,12212
Wooli,43.0,28.0,7.0,66.0,30.0,10.0,70.0,0.0,0.0,57.0,0.0,41.0,12.0,7.8,1.9,18.4,8.4,2.8,19.5,0.0,0.0,15.9,0.0,11.4,14403
Halfway Creek,15.0,9.0,10.0,47.0,16.0,12.0,43.0,0.0,0.0,19.0,0.0,26.0,7.5,4.5,5.0,23.5,8.0,6.0,21.5,0.0,0.0,9.5,0.0,13.0,11831
Copmanhurst,6.0,31.0,9.0,42.0,21.0,9.0,45.0,0.0,0.0,40.0,0.0,36.0,2.4,12.3,3.6,16.7,8.3,3.6,17.9,0.0,0.0,15.9,0.0,14.3,11060
Whiteman Creek,18.0,4.0,12.0,15.0,3.0,9.0,26.0,0.0,0.0,22.0,0.0,29.0,12.7,2.8,8.5,10.6,2.1,6.3,18.3,0.0,0.0,15.5,0.0,20.4,14277
The Whiteman,20.0,5.0,5.0,20.0,12.0,4.0,23.0,0.0,0.0,20.0,0.0,3.0,17.4,4.3,4.3,17.4,10.4,3.5,20.0,0.0,0.0,17.4,0.0,2.6,13843
Waterview Heights,108.0,83.0,40.0,211.0,114.0,47.0,191.0,0.0,0.0,141.0,7.0,96.0,10.1,7.8,3.7,19.8,10.7,4.4,17.9,0.0,0.0,13.2,0.7,9.0,14186
Lawrence (NSW),80.0,54.0,37.0,168.0,68.0,28.0,158.0,0.0,0.0,128.0,0.0,147.0,8.9,6.0,4.1,18.8,7.6,3.1,17.6,0.0,0.0,14.3,0.0,16.4,12288
Eatonsville,14.0,18.0,9.0,23.0,11.0,9.0,35.0,0.0,0.0,30.0,0.0,12.0,8.4,10.8,5.4,13.9,6.6,5.4,21.1,0.0,0.0,18.1,0.0,7.2,11370
Seelands,32.0,30.0,17.0,71.0,41.0,17.0,62.0,0.0,0.0,32.0,0.0,50.0,9.1,8.5,4.8,20.2,11.7,4.8,17.7,0.0,0.0,9.1,0.0,14.2,13515
Mountain View (NSW),11.0,6.0,8.0,20.0,11.0,3.0,38.0,0.0,0.0,14.0,0.0,19.0,7.7,4.2,5.6,14.1,7.7,2.1,26.8,0.0,0.0,9.9,0.0,13.4,12808
Southgate,23.0,16.0,10.0,32.0,14.0,5.0,23.0,0.0,0.0,22.0,0.0,26.0,14.0,9.8,6.1,19.5,8.5,3.0,14.0,0.0,0.0,13.4,0.0,15.9,13604
Lower Southgate,14.0,14.0,3.0,22.0,11.0,3.0,16.0,0.0,0.0,15.0,0.0,10.0,15.2,15.2,3.3,23.9,12.0,3.3,17.4,0.0,0.0,16.3,0.0,10.9,12413
Ashby Heights,14.0,23.0,12.0,37.0,22.0,8.0,29.0,0.0,0.0,18.0,0.0,23.0,7.4,12.2,6.3,19.6,11.6,4.2,15.3,0.0,0.0,9.5,0.0,12.2,10095
Tullymorgan,12.0,11.0,6.0,18.0,4.0,9.0,15.0,0.0,0.0,13.0,0.0,20.0,10.8,9.9,5.4,16.2,3.6,8.1,13.5,0.0,0.0,11.7,0.0,18.0,13960
Ashby (NSW),46.0,29.0,10.0,56.0,27.0,11.0,34.0,0.0,0.0,28.0,0.0,40.0,15.1,9.5,3.3,18.4,8.9,3.6,11.2,0.0,0.0,9.2,0.0,13.2,10094
South Arm (Clarence Valley - NSW),17.0,15.0,6.0,46.0,19.0,3.0,38.0,0.0,0.0,28.0,0.0,21.0,8.5,7.5,3.0,22.9,9.5,1.5,18.9,0.0,0.0,13.9,0.0,10.4,13574
Woodford Island,16.0,11.0,8.0,40.0,25.0,5.0,37.0,0.0,0.0,24.0,0.0,25.0,8.3,5.7,4.2,20.8,13.0,2.6,19.3,0.0,0.0,12.5,0.0,13.0,14384
Brushgrove,22.0,8.0,5.0,33.0,11.0,0.0,36.0,0.0,0.0,18.0,0.0,20.0,13.7,5.0,3.1,20.5,6.8,0.0,22.4,0.0,0.0,11.2,0.0,12.4,10622
Elland,35.0,18.0,4.0,53.0,30.0,17.0,45.0,0.0,0.0,34.0,0.0,34.0,12.5,6.4,1.4,18.9,10.7,6.0,16.0,0.0,0.0,12.1,0.0,12.1,11399
Coutts Crossing,45.0,56.0,43.0,151.0,88.0,46.0,165.0,0.0,0.0,107.0,0.0,88.0,5.5,6.9,5.3,18.6,10.8,5.7,20.3,0.0,0.0,13.1,0.0,10.8,11094
Kremnos,19.0,13.0,6.0,38.0,11.0,3.0,13.0,0.0,0.0,20.0,6.0,20.0,12.8,8.7,4.0,25.5,7.4,2.0,8.7,0.0,0.0,13.4,4.0,13.4,12204
Lanitza,17.0,14.0,6.0,42.0,37.0,9.0,45.0,0.0,0.0,37.0,0.0,40.0,6.7,5.6,2.4,16.7,14.7,3.6,17.9,0.0,0.0,14.7,0.0,15.9,12270
