,Bachelor Degree level and above,Advanced Diploma and Diploma level,Certificate level IV,Certificate level III,Year 12,Year 11,Year 10,Certificate level II,Certificate level I,Year 9 or below,No educational attainment,Not stated,Bachelor Degree level and above (%),Advanced Diploma and Diploma level (%),Certificate level IV (%),Certificate level III (%),Year 12 (%),Year 11 (%),Year 10 (%),Certificate level II (%),Certificate level I (%),Year 9 or below (%),No educational attainment (%),Not stated (%),SSC_CODE
Mystery Bay,28.0,14.0,8.0,25.0,6.0,3.0,21.0,0.0,0.0,18.0,0.0,26.0,17.7,8.9,5.1,15.8,3.8,1.9,13.3,0.0,0.0,11.4,0.0,16.5,12883
Goulburn,1972.0,1527.0,736.0,2821.0,2087.0,670.0,2995.0,23.0,3.0,2041.0,88.0,2859.0,10.7,8.3,4.0,15.4,11.4,3.7,16.3,0.1,0.0,11.1,0.5,15.6,11725
Run-o-Waters,59.0,43.0,17.0,83.0,40.0,5.0,49.0,0.0,0.0,45.0,0.0,30.0,15.1,11.0,4.3,21.2,10.2,1.3,12.5,0.0,0.0,11.5,0.0,7.7,13440
Marulan,75.0,60.0,23.0,198.0,98.0,38.0,177.0,0.0,0.0,120.0,5.0,99.0,8.3,6.6,2.5,21.9,10.8,4.2,19.6,0.0,0.0,13.3,0.6,10.9,12513
Windellama,39.0,26.0,16.0,52.0,21.0,17.0,49.0,0.0,0.0,34.0,3.0,51.0,12.4,8.3,5.1,16.6,6.7,5.4,15.6,0.0,0.0,10.8,1.0,16.2,14318
Bigga,21.0,10.0,4.0,21.0,20.0,5.0,41.0,0.0,0.0,35.0,0.0,50.0,10.7,5.1,2.0,10.7,10.2,2.6,20.9,0.0,0.0,17.9,0.0,25.5,10346
Tirrannaville,35.0,17.0,4.0,35.0,21.0,4.0,33.0,0.0,0.0,7.0,0.0,30.0,18.4,8.9,2.1,18.4,11.1,2.1,17.4,0.0,0.0,3.7,0.0,15.8,13883
Lake Bathurst,43.0,13.0,3.0,28.0,24.0,3.0,24.0,0.0,0.0,20.0,0.0,36.0,20.8,6.3,1.4,13.5,11.6,1.4,11.6,0.0,0.0,9.7,0.0,17.4,12239
Quialigo,23.0,20.0,11.0,38.0,16.0,7.0,32.0,0.0,0.0,20.0,0.0,32.0,11.3,9.8,5.4,18.6,7.8,3.4,15.7,0.0,0.0,9.8,0.0,15.7,13297
Laggan,37.0,25.0,3.0,43.0,38.0,12.0,45.0,0.0,0.0,31.0,0.0,33.0,12.8,8.6,1.0,14.8,13.1,4.1,15.5,0.0,0.0,10.7,0.0,11.4,12235
Grabben Gullen,14.0,15.0,8.0,39.0,17.0,8.0,24.0,0.0,0.0,22.0,0.0,56.0,6.4,6.9,3.7,17.9,7.8,3.7,11.0,0.0,0.0,10.1,0.0,25.7,11731
Parkesbourne,37.0,10.0,5.0,28.0,15.0,4.0,19.0,0.0,0.0,20.0,0.0,13.0,26.6,7.2,3.6,20.1,10.8,2.9,13.7,0.0,0.0,14.4,0.0,9.4,13152
Yarra,24.0,19.0,6.0,19.0,19.0,0.0,16.0,0.0,0.0,20.0,0.0,17.0,15.5,12.3,3.9,12.3,12.3,0.0,10.3,0.0,0.0,12.9,0.0,11.0,14468
Crookwell,188.0,170.0,72.0,393.0,258.0,80.0,389.0,3.0,0.0,287.0,9.0,305.0,8.5,7.7,3.2,17.7,11.6,3.6,17.5,0.1,0.0,12.9,0.4,13.7,11123
Bungonia,38.0,19.0,13.0,47.0,35.0,5.0,49.0,0.0,0.0,45.0,3.0,45.0,12.6,6.3,4.3,15.6,11.6,1.7,16.3,0.0,0.0,15.0,1.0,15.0,10685
Collector,42.0,32.0,8.0,43.0,24.0,4.0,25.0,0.0,0.0,12.0,0.0,17.0,19.4,14.7,3.7,19.8,11.1,1.8,11.5,0.0,0.0,5.5,0.0,7.8,10972
Middle Arm,50.0,31.0,5.0,74.0,31.0,9.0,52.0,0.0,0.0,28.0,0.0,16.0,16.9,10.5,1.7,25.0,10.5,3.0,17.6,0.0,0.0,9.5,0.0,5.4,12599
Taralga,38.0,21.0,10.0,58.0,34.0,15.0,60.0,0.0,0.0,52.0,0.0,83.0,9.9,5.5,2.6,15.2,8.9,3.9,15.7,0.0,0.0,13.6,0.0,21.7,13759
Tarlo,31.0,10.0,4.0,24.0,7.0,4.0,19.0,0.0,0.0,9.0,0.0,15.0,23.0,7.4,3.0,17.8,5.2,3.0,14.1,0.0,0.0,6.7,0.0,11.1,13767
Wayo,15.0,10.0,0.0,20.0,18.0,3.0,10.0,0.0,0.0,8.0,0.0,12.0,15.0,10.0,0.0,20.0,18.0,3.0,10.0,0.0,0.0,8.0,0.0,12.0,14204
Kingsdale,31.0,16.0,7.0,24.0,13.0,4.0,14.0,0.0,0.0,12.0,0.0,15.0,20.9,10.8,4.7,16.2,8.8,2.7,9.5,0.0,0.0,8.1,0.0,10.1,12155
Bannister (NSW),20.0,9.0,5.0,16.0,5.0,0.0,15.0,0.0,0.0,11.0,0.0,11.0,22.0,9.9,5.5,17.6,5.5,0.0,16.5,0.0,0.0,12.1,0.0,12.1,10183
