,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%),SSC_CODE
Wayo,17.0,17.0,4.0,0.0,0.0,44.7,44.7,10.5,0.0,0.0,14204
Kingsdale,28.0,19.0,6.0,0.0,0.0,52.8,35.8,11.3,0.0,0.0,12155
Bannister (NSW),22.0,16.0,3.0,0.0,0.0,53.7,39.0,7.3,0.0,0.0,10183
Brayton,28.0,21.0,9.0,0.0,0.0,48.3,36.2,15.5,0.0,0.0,10554
Greenwich Park,21.0,11.0,6.0,0.0,3.0,51.2,26.8,14.6,0.0,7.3,11771
Tallong,115.0,133.0,33.0,3.0,6.0,39.7,45.9,11.4,1.0,2.1,13733
Carrick (NSW),15.0,13.0,18.0,0.0,0.0,32.6,28.3,39.1,0.0,0.0,10828
Brisbane Grove,16.0,13.0,10.0,0.0,0.0,41.0,33.3,25.6,0.0,0.0,10577
Binda,59.0,21.0,8.0,0.0,4.0,64.1,22.8,8.7,0.0,4.3,10363
Towrang,22.0,25.0,17.0,0.0,0.0,34.4,39.1,26.6,0.0,0.0,13930
Mummel,16.0,14.0,3.0,0.0,0.0,48.5,42.4,9.1,0.0,0.0,12835
Baw Baw (NSW),38.0,35.0,12.0,0.0,0.0,44.7,41.2,14.1,0.0,0.0,10234
Boxers Creek,37.0,26.0,12.0,0.0,5.0,46.2,32.5,15.0,0.0,6.2,10541
Gundary,41.0,30.0,7.0,0.0,0.0,52.6,38.5,9.0,0.0,0.0,11806
Yass,804.0,909.0,561.0,32.0,54.0,34.1,38.5,23.8,1.4,2.3,14493
Bookham,24.0,12.0,20.0,3.0,0.0,40.7,20.3,33.9,5.1,0.0,10478
Binalong,89.0,77.0,51.0,0.0,0.0,41.0,35.5,23.5,0.0,0.0,10362
Jugiong,38.0,27.0,19.0,0.0,3.0,43.7,31.0,21.8,0.0,3.4,12044
Galong,44.0,12.0,25.0,0.0,7.0,50.0,13.6,28.4,0.0,8.0,11580
Manton (NSW),29.0,54.0,5.0,0.0,0.0,33.0,61.4,5.7,0.0,0.0,12481
Yass River,32.0,69.0,10.0,0.0,3.0,28.1,60.5,8.8,0.0,2.6,14494
Rye Park,40.0,29.0,10.0,3.0,0.0,48.8,35.4,12.2,3.7,0.0,13455
Dalton,42.0,27.0,5.0,0.0,0.0,56.8,36.5,6.8,0.0,0.0,11194
Gundaroo,111.0,198.0,54.0,3.0,3.0,30.1,53.7,14.6,0.8,0.8,11805
Bowning,74.0,95.0,32.0,3.0,7.0,35.1,45.0,15.2,1.4,3.3,10535
Bellmount Forest,21.0,17.0,4.0,0.0,0.0,50.0,40.5,9.5,0.0,0.0,10274
Gunning,81.0,121.0,50.0,3.0,7.0,30.9,46.2,19.1,1.1,2.7,11813
Lade Vale,21.0,24.0,6.0,0.0,0.0,41.2,47.1,11.8,0.0,0.0,12232
Good Hope,20.0,18.0,11.0,0.0,3.0,38.5,34.6,21.2,0.0,5.8,11700
Wallaroo (NSW),96.0,69.0,39.0,0.0,3.0,46.4,33.3,18.8,0.0,1.4,14112
Murrumbateman,276.0,631.0,82.0,3.0,16.0,27.4,62.6,8.1,0.3,1.6,12860
