,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%),SSC_CODE
Rock Forest,32.0,32.0,6.0,0.0,0.0,45.7,45.7,8.6,0.0,0.0,13377
Evans Plains,18.0,23.0,10.0,5.0,0.0,32.1,41.1,17.9,8.9,0.0,11470
The Lagoon,36.0,22.0,11.0,0.0,0.0,52.2,31.9,15.9,0.0,0.0,13828
Wisemans Creek,17.0,21.0,4.0,0.0,0.0,40.5,50.0,9.5,0.0,0.0,14343
Yetholme,29.0,36.0,11.0,0.0,3.0,36.7,45.6,13.9,0.0,3.8,14513
Meadow Flat,47.0,41.0,13.0,3.0,7.0,42.3,36.9,11.7,2.7,6.3,12549
Tarana,32.0,25.0,7.0,0.0,0.0,50.0,39.1,10.9,0.0,0.0,13760
Glanmire (NSW),26.0,19.0,10.0,0.0,0.0,47.3,34.5,18.2,0.0,0.0,11640
Napoleon Reef,27.0,22.0,5.0,0.0,0.0,50.0,40.7,9.3,0.0,0.0,12893
Oberon,454.0,381.0,334.0,4.0,43.0,37.3,31.3,27.5,0.3,3.5,13068
Black Springs (NSW),38.0,25.0,13.0,0.0,0.0,50.0,32.9,17.1,0.0,0.0,10389
Condobolin,458.0,311.0,414.0,8.0,59.0,36.6,24.9,33.1,0.6,4.7,11002
Tullamore,84.0,37.0,24.0,4.0,6.0,54.2,23.9,15.5,2.6,3.9,13954
Lake Cargelligo,207.0,105.0,170.0,0.0,21.0,41.2,20.9,33.8,0.0,4.2,12242
Tullibigeal,54.0,14.0,14.0,0.0,0.0,65.9,17.1,17.1,0.0,0.0,13957
Ungarie,125.0,34.0,41.0,0.0,6.0,60.7,16.5,19.9,0.0,2.9,14011
Euabalong,35.0,18.0,15.0,0.0,0.0,51.5,26.5,22.1,0.0,0.0,11449
Fifield,25.0,9.0,7.0,0.0,3.0,56.8,20.5,15.9,0.0,6.8,11514
Tottenham (NSW),87.0,39.0,41.0,0.0,5.0,50.6,22.7,23.8,0.0,2.9,13923
Cowra,1568.0,1032.0,1120.0,23.0,138.0,40.4,26.6,28.9,0.6,3.6,11099
Canowindra,398.0,248.0,225.0,8.0,29.0,43.8,27.3,24.8,0.9,3.2,10796
Woodstock (Cowra - NSW),151.0,66.0,42.0,0.0,12.0,55.7,24.4,15.5,0.0,4.4,14394
Gooloogong,80.0,47.0,19.0,0.0,8.0,51.9,30.5,12.3,0.0,5.2,11709
Mandurama,64.0,46.0,26.0,0.0,3.0,46.0,33.1,18.7,0.0,2.2,12467
Wattamondara,29.0,38.0,12.0,3.0,5.0,33.3,43.7,13.8,3.4,5.7,14190
Darbys Falls,50.0,35.0,7.0,0.0,3.0,52.6,36.8,7.4,0.0,3.2,11205
Billimari,23.0,13.0,6.0,0.0,7.0,46.9,26.5,12.2,0.0,14.3,10354
Moorbel,44.0,25.0,10.0,0.0,0.0,55.7,31.6,12.7,0.0,0.0,12709
Forbes (NSW),1178.0,951.0,862.0,19.0,109.0,37.8,30.5,27.6,0.6,3.5,11536
Eugowra,149.0,87.0,54.0,5.0,7.0,49.3,28.8,17.9,1.7,2.3,11454
Warroo (NSW),15.0,17.0,11.0,3.0,3.0,30.6,34.7,22.4,6.1,6.1,14175
Bedgerabong,17.0,16.0,16.0,0.0,0.0,34.7,32.7,32.7,0.0,0.0,10247
Grenfell,527.0,267.0,239.0,12.0,42.0,48.5,24.6,22.0,1.1,3.9,11776
Greenethorpe,43.0,24.0,9.0,0.0,3.0,54.4,30.4,11.4,0.0,3.8,11760
Quandialla,41.0,10.0,17.0,0.0,4.0,56.9,13.9,23.6,0.0,5.6,13290
Caragabal,28.0,21.0,10.0,4.0,0.0,44.4,33.3,15.9,6.3,0.0,10806
Parkes (NSW),1387.0,1263.0,1273.0,32.0,137.0,33.9,30.9,31.1,0.8,3.3,13151
Cookamidgera,29.0,21.0,8.0,3.0,0.0,47.5,34.4,13.1,4.9,0.0,11016
Peak Hill (NSW),211.0,80.0,126.0,9.0,19.0,47.4,18.0,28.3,2.0,4.3,13166
Trundle,119.0,66.0,60.0,0.0,13.0,46.1,25.6,23.3,0.0,5.0,13940
Bogan Gate,45.0,23.0,11.0,0.0,3.0,54.9,28.0,13.4,0.0,3.7,10438
Alectown,35.0,20.0,14.0,0.0,0.0,50.7,29.0,20.3,0.0,0.0,10029
West Wyalong,485.0,333.0,284.0,3.0,56.0,41.8,28.7,24.5,0.3,4.8,14256
Wyalong,102.0,86.0,61.0,0.0,11.0,39.2,33.1,23.5,0.0,4.2,14431
Weethalle,60.0,22.0,13.0,0.0,12.0,56.1,20.6,12.1,0.0,11.2,14215
Tallimba,34.0,11.0,11.0,0.0,0.0,60.7,19.6,19.6,0.0,0.0,13732
Barellan,104.0,59.0,26.0,0.0,8.0,52.8,29.9,13.2,0.0,4.1,10197
Ardlethan,124.0,25.0,44.0,0.0,10.0,61.1,12.3,21.7,0.0,4.9,10076
Ariah Park,112.0,26.0,30.0,0.0,5.0,64.7,15.0,17.3,0.0,2.9,10081
Barmedman,91.0,41.0,26.0,3.0,3.0,55.5,25.0,15.9,1.8,1.8,10202
Beckom,18.0,11.0,7.0,3.0,0.0,46.2,28.2,17.9,7.7,0.0,10244
South Bowenfels,182.0,152.0,34.0,29.0,11.0,44.6,37.3,8.3,7.1,2.7,13578
Marrangaroo,74.0,67.0,12.0,0.0,0.0,48.4,43.8,7.8,0.0,0.0,12502
Lithgow,903.0,497.0,759.0,4.0,91.0,40.1,22.0,33.7,0.2,4.0,12347
Bowenfels,214.0,167.0,336.0,5.0,21.0,28.8,22.5,45.2,0.7,2.8,10529
Rydal,28.0,22.0,9.0,3.0,3.0,43.1,33.8,13.8,4.6,4.6,13452
Pottery Estate,16.0,13.0,21.0,0.0,3.0,30.2,24.5,39.6,0.0,5.7,13254
Oakey Park,58.0,48.0,23.0,0.0,3.0,43.9,36.4,17.4,0.0,2.3,13055
Morts Estate,97.0,68.0,62.0,3.0,9.0,40.6,28.5,25.9,1.3,3.8,12732
Hermitage Flat,71.0,29.0,43.0,0.0,12.0,45.8,18.7,27.7,0.0,7.7,11895
McKellars Park,34.0,29.0,22.0,0.0,0.0,40.0,34.1,25.9,0.0,0.0,12544
South Littleton,43.0,34.0,29.0,0.0,5.0,38.7,30.6,26.1,0.0,4.5,13590
Littleton,143.0,117.0,62.0,0.0,8.0,43.3,35.5,18.8,0.0,2.4,12360
Vale Of Clwydd,68.0,44.0,77.0,0.0,7.0,34.7,22.4,39.3,0.0,3.6,14064
Portland (NSW),413.0,296.0,119.0,9.0,33.0,47.5,34.0,13.7,1.0,3.8,13250
Lidsdale,46.0,63.0,15.0,0.0,3.0,36.2,49.6,11.8,0.0,2.4,12318
Wallerawang,233.0,241.0,171.0,0.0,21.0,35.0,36.2,25.7,0.0,3.2,14114
Little Hartley,80.0,90.0,13.0,0.0,6.0,42.3,47.6,6.9,0.0,3.2,12352
Hartley (NSW),58.0,69.0,11.0,3.0,10.0,38.4,45.7,7.3,2.0,6.6,11861
Clarence,34.0,29.0,4.0,0.0,0.0,50.7,43.3,6.0,0.0,0.0,10919
Glen Davis,26.0,13.0,3.0,0.0,0.0,61.9,31.0,7.1,0.0,0.0,11646
Cullen Bullen,44.0,20.0,12.0,0.0,0.0,57.9,26.3,15.8,0.0,0.0,11148
Megalong Valley,25.0,12.0,14.0,0.0,4.0,45.5,21.8,25.5,0.0,7.3,12557
Kanimbla (NSW),37.0,15.0,8.0,0.0,0.0,61.7,25.0,13.3,0.0,0.0,12065
Capertee,32.0,11.0,10.0,3.0,0.0,57.1,19.6,17.9,5.4,0.0,10802
Running Stream,25.0,14.0,12.0,0.0,0.0,49.0,27.5,23.5,0.0,0.0,13441
Mudgee,1125.0,1255.0,1455.0,13.0,137.0,28.2,31.5,36.5,0.3,3.4,12812
Putta Bucca,42.0,23.0,3.0,0.0,0.0,61.8,33.8,4.4,0.0,0.0,13278
Bombira,59.0,53.0,5.0,0.0,4.0,48.8,43.8,4.1,0.0,3.3,10457
Burrundulla,19.0,16.0,11.0,0.0,0.0,41.3,34.8,23.9,0.0,0.0,10717
Spring Flat,37.0,20.0,13.0,0.0,0.0,52.9,28.6,18.6,0.0,0.0,13613
Kandos,273.0,107.0,168.0,3.0,22.0,47.6,18.7,29.3,0.5,3.8,12057
Rylstone,186.0,96.0,94.0,0.0,14.0,47.7,24.6,24.1,0.0,3.6,13457
Ilford,43.0,11.0,8.0,4.0,5.0,60.6,15.5,11.3,5.6,7.0,11971
Clandulla,34.0,21.0,7.0,0.0,0.0,54.8,33.9,11.3,0.0,0.0,10916
Charbon,19.0,14.0,19.0,0.0,3.0,34.5,25.5,34.5,0.0,5.5,10883
Lue,33.0,27.0,5.0,0.0,0.0,50.8,41.5,7.7,0.0,0.0,12420
Gulgong,338.0,277.0,256.0,6.0,43.0,36.7,30.1,27.8,0.7,4.7,11794
Dunedoo,211.0,91.0,123.0,5.0,8.0,48.2,20.8,28.1,1.1,1.8,11316
Leadville,23.0,12.0,8.0,3.0,3.0,46.9,24.5,16.3,6.1,6.1,12290
Cassilis (NSW),59.0,18.0,36.0,0.0,9.0,48.4,14.8,29.5,0.0,7.4,10844
Tallawang,20.0,19.0,10.0,0.0,4.0,37.7,35.8,18.9,0.0,7.5,13731
Beryl,15.0,9.0,10.0,0.0,0.0,44.1,26.5,29.4,0.0,0.0,10327
Stubbo,37.0,33.0,11.0,0.0,3.0,44.0,39.3,13.1,0.0,3.6,13682
Cope,23.0,14.0,0.0,0.0,3.0,57.5,35.0,0.0,0.0,7.5,11057
Yarrawonga (NSW),74.0,53.0,14.0,0.0,3.0,51.4,36.8,9.7,0.0,2.1,14486
Piambong,19.0,15.0,6.0,0.0,0.0,47.5,37.5,15.0,0.0,0.0,13197
Cooks Gap,74.0,79.0,28.0,0.0,9.0,38.9,41.6,14.7,0.0,4.7,11018
Frog Rock,21.0,29.0,6.0,0.0,0.0,37.5,51.8,10.7,0.0,0.0,11570
Cooyal,23.0,13.0,3.0,0.0,0.0,59.0,33.3,7.7,0.0,0.0,11055
St Fillans,43.0,34.0,6.0,0.0,3.0,50.0,39.5,7.0,0.0,3.5,13634
Eurunderee,27.0,19.0,18.0,0.0,0.0,42.2,29.7,28.1,0.0,0.0,11467
Budgee Budgee (NSW),31.0,33.0,8.0,0.0,0.0,43.1,45.8,11.1,0.0,0.0,10641
Kains Flat,34.0,24.0,5.0,0.0,7.0,48.6,34.3,7.1,0.0,10.0,12049
Menah,19.0,18.0,15.0,0.0,3.0,34.5,32.7,27.3,0.0,5.5,12566
Grattai,52.0,50.0,8.0,3.0,0.0,46.0,44.2,7.1,2.7,0.0,11741
Hargraves,54.0,28.0,16.0,0.0,0.0,55.1,28.6,16.3,0.0,0.0,11854
Windeyer (NSW),40.0,19.0,3.0,0.0,12.0,54.1,25.7,4.1,0.0,16.2,14322
Bocoble,32.0,17.0,0.0,0.0,0.0,65.3,34.7,0.0,0.0,0.0,10432
Mount Frome,20.0,9.0,6.0,0.0,0.0,57.1,25.7,17.1,0.0,0.0,12760
Buckaroo,27.0,18.0,7.0,0.0,0.0,51.9,34.6,13.5,0.0,0.0,10630
Blayney,409.0,394.0,370.0,8.0,69.0,32.7,31.5,29.6,0.6,5.5,10410
Millthorpe,157.0,188.0,72.0,3.0,8.0,36.7,43.9,16.8,0.7,1.9,12623
Carcoar,59.0,31.0,19.0,0.0,3.0,52.7,27.7,17.0,0.0,2.7,10808
Lyndhurst (Blayney - NSW),54.0,60.0,18.0,0.0,7.0,38.8,43.2,12.9,0.0,5.0,12426
Forest Reefs,61.0,77.0,24.0,0.0,3.0,37.0,46.7,14.5,0.0,1.8,11547
Neville,37.0,29.0,15.0,0.0,6.0,42.5,33.3,17.2,0.0,6.9,12937
Barry (Blayney - NSW),24.0,21.0,8.0,0.0,0.0,45.3,39.6,15.1,0.0,0.0,10218
Newbridge (NSW),41.0,19.0,7.0,3.0,3.0,56.2,26.0,9.6,4.1,4.1,12948
Orange,4159.0,4467.0,4794.0,72.0,479.0,29.8,32.0,34.3,0.5,3.4,13092
Clifton Grove,139.0,116.0,4.0,0.0,3.0,53.1,44.3,1.5,0.0,1.1,10934
Cumnock,82.0,55.0,25.0,4.0,5.0,48.0,32.2,14.6,2.3,2.9,11159
Cudal,100.0,70.0,31.0,0.0,12.0,46.9,32.9,14.6,0.0,5.6,11140
Molong,343.0,312.0,210.0,22.0,35.0,37.2,33.8,22.8,2.4,3.8,12671
Manildra,112.0,97.0,53.0,0.0,13.0,40.7,35.3,19.3,0.0,4.7,12473
Cargo,72.0,100.0,27.0,0.0,4.0,35.5,49.3,13.3,0.0,2.0,10813
Spring Terrace,22.0,18.0,4.0,0.0,0.0,50.0,40.9,9.1,0.0,0.0,13620
Springside (NSW),42.0,41.0,14.0,0.0,0.0,43.3,42.3,14.4,0.0,0.0,13626
Spring Hill (Cabonne - NSW),56.0,79.0,21.0,3.0,3.0,34.6,48.8,13.0,1.9,1.9,13615
Guyong,12.0,12.0,9.0,0.0,0.0,36.4,36.4,27.3,0.0,0.0,11821
Emu Swamp,24.0,25.0,11.0,0.0,0.0,40.0,41.7,18.3,0.0,0.0,11419
Lewis Ponds,25.0,17.0,0.0,0.0,0.0,59.5,40.5,0.0,0.0,0.0,12312
Lucknow (NSW),45.0,40.0,13.0,0.0,0.0,45.9,40.8,13.3,0.0,0.0,12418
Spring Creek (NSW),18.0,17.0,13.0,0.0,5.0,34.0,32.1,24.5,0.0,9.4,13611
Huntley (Orange - NSW),23.0,20.0,6.0,0.0,0.0,46.9,40.8,12.2,0.0,0.0,11958
Canobolas,82.0,60.0,18.0,0.0,3.0,50.3,36.8,11.0,0.0,1.8,10793
Clergate,28.0,27.0,12.0,0.0,0.0,41.8,40.3,17.9,0.0,0.0,10929
March,20.0,10.0,12.0,0.0,0.0,47.6,23.8,28.6,0.0,0.0,12486
Summer Hill Creek,31.0,35.0,4.0,0.0,0.0,44.3,50.0,5.7,0.0,0.0,13688
Mullion Creek,58.0,86.0,10.0,0.0,4.0,36.7,54.4,6.3,0.0,2.5,12826
Nashdale,53.0,39.0,29.0,0.0,3.0,42.7,31.5,23.4,0.0,2.4,12913
Windera (NSW),16.0,68.0,0.0,0.0,0.0,19.0,81.0,0.0,0.0,0.0,14319
Lidster,44.0,43.0,12.0,0.0,0.0,44.4,43.4,12.1,0.0,0.0,12319
Borenore,73.0,58.0,16.0,0.0,0.0,49.7,39.5,10.9,0.0,0.0,10513
Yeoval,72.0,24.0,46.0,3.0,8.0,47.1,15.7,30.1,2.0,5.2,14507
Grafton,1403.0,1062.0,1370.0,32.0,136.0,35.0,26.5,34.2,0.8,3.4,11733
Rushforth,41.0,31.0,12.0,0.0,3.0,47.1,35.6,13.8,0.0,3.4,13446
Great Marlow,31.0,24.0,10.0,0.0,0.0,47.7,36.9,15.4,0.0,0.0,11745
South Grafton,800.0,605.0,815.0,11.0,82.0,34.6,26.2,35.2,0.5,3.5,13582
Junction Hill,282.0,145.0,97.0,0.0,12.0,52.6,27.1,18.1,0.0,2.2,12045
Carrs Creek,24.0,15.0,6.0,0.0,4.0,49.0,30.6,12.2,0.0,8.2,10834
Tucabia,71.0,65.0,6.0,0.0,6.0,48.0,43.9,4.1,0.0,4.1,13945
Ulmarra,120.0,65.0,95.0,3.0,3.0,42.0,22.7,33.2,1.0,1.0,14004
Ramornie,43.0,17.0,13.0,0.0,3.0,56.6,22.4,17.1,0.0,3.9,13308
Nymboida,62.0,35.0,11.0,0.0,3.0,55.9,31.5,9.9,0.0,2.7,13048
Glenreagh,109.0,119.0,48.0,0.0,13.0,37.7,41.2,16.6,0.0,4.5,11675
Wells Crossing,20.0,28.0,11.0,3.0,0.0,32.3,45.2,17.7,4.8,0.0,14223
Kungala,29.0,21.0,6.0,0.0,0.0,51.8,37.5,10.7,0.0,0.0,12212
Wooli,116.0,41.0,34.0,0.0,9.0,58.0,20.5,17.0,0.0,4.5,14403
Halfway Creek,39.0,27.0,17.0,0.0,3.0,45.3,31.4,19.8,0.0,3.5,11831
Copmanhurst,52.0,40.0,27.0,3.0,3.0,41.6,32.0,21.6,2.4,2.4,11060
Whiteman Creek,19.0,27.0,0.0,0.0,5.0,37.3,52.9,0.0,0.0,9.8,14277
The Whiteman,23.0,26.0,4.0,0.0,0.0,43.4,49.1,7.5,0.0,0.0,13843
Waterview Heights,216.0,199.0,35.0,4.0,10.0,46.6,42.9,7.5,0.9,2.2,14186
Lawrence (NSW),213.0,132.0,44.0,0.0,19.0,52.2,32.4,10.8,0.0,4.7,12288
Eatonsville,31.0,34.0,10.0,0.0,0.0,41.3,45.3,13.3,0.0,0.0,11370
Seelands,62.0,57.0,14.0,0.0,0.0,46.6,42.9,10.5,0.0,0.0,13515
Mountain View (NSW),25.0,23.0,8.0,0.0,5.0,41.0,37.7,13.1,0.0,8.2,12808
Southgate,21.0,31.0,17.0,0.0,3.0,29.2,43.1,23.6,0.0,4.2,13604
Lower Southgate,19.0,16.0,8.0,0.0,3.0,41.3,34.8,17.4,0.0,6.5,12413
Ashby Heights,34.0,38.0,9.0,0.0,4.0,40.0,44.7,10.6,0.0,4.7,10095
Tullymorgan,13.0,18.0,7.0,0.0,3.0,31.7,43.9,17.1,0.0,7.3,13960
Ashby (NSW),78.0,46.0,16.0,0.0,0.0,55.7,32.9,11.4,0.0,0.0,10094
South Arm (Clarence Valley - NSW),43.0,25.0,13.0,0.0,3.0,51.2,29.8,15.5,0.0,3.6,13574
Woodford Island,39.0,25.0,15.0,0.0,0.0,49.4,31.6,19.0,0.0,0.0,14384
Brushgrove,39.0,19.0,18.0,0.0,4.0,48.8,23.8,22.5,0.0,5.0,10622
Elland,56.0,48.0,9.0,0.0,3.0,48.3,41.4,7.8,0.0,2.6,11399
Coutts Crossing,159.0,134.0,53.0,6.0,11.0,43.8,36.9,14.6,1.7,3.0,11094
Kremnos,36.0,29.0,5.0,0.0,0.0,51.4,41.4,7.1,0.0,0.0,12204
Lanitza,49.0,43.0,13.0,0.0,3.0,45.4,39.8,12.0,0.0,2.8,12270
Braunstone,41.0,32.0,19.0,0.0,0.0,44.6,34.8,20.7,0.0,0.0,10550
Glenugie,23.0,32.0,10.0,0.0,5.0,32.9,45.7,14.3,0.0,7.1,11681
Clarenza,79.0,71.0,21.0,0.0,5.0,44.9,40.3,11.9,0.0,2.8,10922
Swan Creek (NSW),18.0,9.0,12.0,0.0,0.0,46.2,23.1,30.8,0.0,0.0,13706
Pillar Valley,64.0,39.0,15.0,0.0,0.0,54.2,33.1,12.7,0.0,0.0,13204
Minnie Water,58.0,22.0,20.0,0.0,4.0,55.8,21.2,19.2,0.0,3.8,12640
Tyndale,29.0,19.0,16.0,0.0,0.0,45.3,29.7,25.0,0.0,0.0,13997
Ilarwill,44.0,36.0,12.0,0.0,0.0,47.8,39.1,13.0,0.0,0.0,11970
Yamba (NSW),1296.0,475.0,748.0,4.0,105.0,49.3,18.1,28.5,0.2,4.0,14458
Gulmarrad,305.0,216.0,48.0,3.0,12.0,52.2,37.0,8.2,0.5,2.1,11795
Angourie,42.0,16.0,27.0,0.0,0.0,49.4,18.8,31.8,0.0,0.0,10059
Brooms Head,64.0,17.0,29.0,0.0,0.0,58.2,15.5,26.4,0.0,0.0,10603
Wooloweyah,63.0,60.0,27.0,0.0,6.0,40.4,38.5,17.3,0.0,3.8,14411
Woombah,203.0,86.0,48.0,4.0,7.0,58.3,24.7,13.8,1.1,2.0,14414
Maclean,467.0,184.0,358.0,13.0,43.0,43.8,17.3,33.6,1.2,4.0,12431
Iluka (NSW),431.0,94.0,255.0,4.0,20.0,53.6,11.7,31.7,0.5,2.5,11975
Harwood,51.0,40.0,25.0,0.0,5.0,42.1,33.1,20.7,0.0,4.1,11865
Chatsworth (NSW),37.0,12.0,13.0,0.0,0.0,59.7,19.4,21.0,0.0,0.0,10894
Townsend,135.0,87.0,101.0,3.0,12.0,39.9,25.7,29.9,0.9,3.6,13928
Palmers Channel,28.0,18.0,3.0,0.0,0.0,57.1,36.7,6.1,0.0,0.0,13135
James Creek,40.0,25.0,0.0,0.0,0.0,61.5,38.5,0.0,0.0,0.0,11999
Palmers Island,75.0,54.0,24.0,0.0,3.0,48.1,34.6,15.4,0.0,1.9,13136
Bellingen,514.0,435.0,405.0,11.0,36.0,36.7,31.0,28.9,0.8,2.6,10273
Brierfield,58.0,44.0,15.0,0.0,3.0,48.3,36.7,12.5,0.0,2.5,10568
Fernmount,61.0,46.0,25.0,0.0,6.0,44.2,33.3,18.1,0.0,4.3,11509
Darkwood,40.0,11.0,11.0,3.0,0.0,61.5,16.9,16.9,4.6,0.0,11210
Thora,67.0,17.0,25.0,3.0,5.0,57.3,14.5,21.4,2.6,4.3,13849
Gleniffer,76.0,33.0,33.0,0.0,4.0,52.1,22.6,22.6,0.0,2.7,11668
Valery,21.0,12.0,7.0,0.0,0.0,52.5,30.0,17.5,0.0,0.0,14066
Kalang,45.0,22.0,12.0,0.0,3.0,54.9,26.8,14.6,0.0,3.7,12050
Coffs Harbour,3229.0,2311.0,3991.0,49.0,316.0,32.6,23.4,40.3,0.5,3.2,10959
North Boambee Valley,298.0,226.0,119.0,28.0,20.0,43.1,32.7,17.2,4.1,2.9,12983
Coramba,122.0,119.0,33.0,0.0,6.0,43.6,42.5,11.8,0.0,2.1,11065
Nana Glen,127.0,173.0,66.0,0.0,10.0,33.8,46.0,17.6,0.0,2.7,12889
Upper Orara,109.0,94.0,45.0,4.0,8.0,41.9,36.2,17.3,1.5,3.1,14041
Bucca (NSW),71.0,65.0,36.0,0.0,9.0,39.2,35.9,19.9,0.0,5.0,10625
Karangi,65.0,72.0,41.0,5.0,4.0,34.8,38.5,21.9,2.7,2.1,12072
Megan,32.0,16.0,9.0,0.0,0.0,56.1,28.1,15.8,0.0,0.0,12558
Ulong,28.0,18.0,24.0,0.0,3.0,38.4,24.7,32.9,0.0,4.1,14005
Lowanna,54.0,49.0,22.0,0.0,0.0,43.2,39.2,17.6,0.0,0.0,12398
Dorrigo,268.0,116.0,118.0,3.0,18.0,51.2,22.2,22.6,0.6,3.4,11278
Deer Vale,31.0,15.0,13.0,0.0,0.0,52.5,25.4,22.0,0.0,0.0,11232
Fernbrook,29.0,9.0,13.0,0.0,0.0,56.9,17.6,25.5,0.0,0.0,11506
Hernani,22.0,7.0,18.0,0.0,0.0,46.8,14.9,38.3,0.0,0.0,11896
Bostobrick,22.0,18.0,9.0,0.0,3.0,42.3,34.6,17.3,0.0,5.8,10516
North Dorrigo,39.0,18.0,9.0,0.0,0.0,59.1,27.3,13.6,0.0,0.0,12989
Sapphire Beach,302.0,265.0,188.0,0.0,11.0,39.4,34.6,24.5,0.0,1.4,13491
Emerald Beach,286.0,316.0,152.0,9.0,25.0,36.3,40.1,19.3,1.1,3.2,11411
Korora,349.0,288.0,230.0,0.0,19.0,39.4,32.5,26.0,0.0,2.1,12197
Moonee Beach,229.0,268.0,109.0,0.0,11.0,37.1,43.4,17.7,0.0,1.8,12703
Toormina,725.0,633.0,888.0,137.0,83.0,29.4,25.7,36.0,5.6,3.4,13912
Boambee East,650.0,721.0,505.0,12.0,48.0,33.6,37.2,26.1,0.6,2.5,10422
Boambee,256.0,214.0,67.0,3.0,17.0,46.0,38.4,12.0,0.5,3.1,10421
Sawtell,606.0,357.0,504.0,8.0,44.0,39.9,23.5,33.2,0.5,2.9,13498
Bonville,382.0,309.0,133.0,6.0,16.0,45.2,36.5,15.7,0.7,1.9,10474
Bundagen,37.0,0.0,14.0,11.0,5.0,55.2,0.0,20.9,16.4,7.5,10669
Mylestom,78.0,26.0,38.0,4.0,7.0,51.0,17.0,24.8,2.6,4.6,12875
Raleigh,104.0,61.0,39.0,0.0,3.0,50.2,29.5,18.8,0.0,1.4,13307
Urunga,585.0,274.0,383.0,6.0,39.0,45.5,21.3,29.8,0.5,3.0,14061
Repton,94.0,112.0,33.0,0.0,5.0,38.5,45.9,13.5,0.0,2.0,13352
Valla,127.0,130.0,46.0,4.0,0.0,41.4,42.3,15.0,1.3,0.0,14067
Woolgoolga,879.0,385.0,577.0,17.0,85.0,45.2,19.8,29.7,0.9,4.4,14402
Safety Beach (NSW),165.0,118.0,54.0,4.0,0.0,48.4,34.6,15.8,1.2,0.0,13462
Sandy Beach,249.0,307.0,195.0,7.0,26.0,31.8,39.2,24.9,0.9,3.3,13479
Upper Corindi,28.0,15.0,9.0,0.0,3.0,50.9,27.3,16.4,0.0,5.5,14020
Corindi Beach,170.0,228.0,166.0,0.0,19.0,29.2,39.1,28.5,0.0,3.3,11073
Red Rock,77.0,43.0,42.0,0.0,3.0,46.7,26.1,25.5,0.0,1.8,13334
Arrawarra,199.0,11.0,40.0,0.0,16.0,74.8,4.1,15.0,0.0,6.0,10088
Arrawarra Headland,90.0,67.0,35.0,0.0,8.0,45.0,33.5,17.5,0.0,4.0,10089
Mullaway,66.0,72.0,45.0,3.0,5.0,34.6,37.7,23.6,1.6,2.6,12822
Bourke,149.0,152.0,268.0,9.0,32.0,24.4,24.9,43.9,1.5,5.2,10522
Wanaaring,8.0,10.0,8.0,3.0,3.0,25.0,31.2,25.0,9.4,9.4,14126
North Bourke,43.0,18.0,21.0,3.0,3.0,48.9,20.5,23.9,3.4,3.4,12985
Enngonia,9.0,9.0,22.0,0.0,3.0,20.9,20.9,51.2,0.0,7.0,11426
Brewarrina,87.0,30.0,220.0,3.0,27.0,23.7,8.2,59.9,0.8,7.4,10563
Cobar,428.0,361.0,559.0,10.0,64.0,30.1,25.4,39.3,0.7,4.5,10949
Coonamble,372.0,225.0,295.0,10.0,47.0,39.2,23.7,31.1,1.1,5.0,11044
Gulargambone,89.0,37.0,78.0,4.0,14.0,40.1,16.7,35.1,1.8,6.3,11792
Quambone,31.0,13.0,17.0,0.0,0.0,50.8,21.3,27.9,0.0,0.0,13287
Nyngan,314.0,176.0,284.0,4.0,36.0,38.6,21.6,34.9,0.5,4.4,13049
Nevertire,39.0,16.0,14.0,0.0,0.0,56.5,23.2,20.3,0.0,0.0,12936
Warren,216.0,147.0,159.0,5.0,24.0,39.2,26.7,28.9,0.9,4.4,14171
Hermidale,10.0,12.0,10.0,0.0,4.0,27.8,33.3,27.8,0.0,11.1,11894
Ravenswood (NSW),80.0,28.0,60.0,0.0,7.0,45.7,16.0,34.3,0.0,4.0,13321
Cumborah,59.0,3.0,8.0,9.0,12.0,64.8,3.3,8.8,9.9,13.2,11158
Goodooga,19.0,3.0,61.0,0.0,0.0,22.9,3.6,73.5,0.0,0.0,11702
Carinda,31.0,12.0,22.0,4.0,6.0,41.3,16.0,29.3,5.3,8.0,10814
Pilliga,40.0,13.0,20.0,0.0,0.0,54.8,17.8,27.4,0.0,0.0,13205
Come By Chance,18.0,8.0,18.0,0.0,0.0,40.9,18.2,40.9,0.0,0.0,10993
Walgett,163.0,105.0,352.0,18.0,42.0,24.0,15.4,51.8,2.6,6.2,14096
Burren Junction,48.0,18.0,33.0,0.0,9.0,44.4,16.7,30.6,0.0,8.3,10710
Lightning Ridge,440.0,108.0,342.0,30.0,71.0,44.4,10.9,34.5,3.0,7.2,12320
Collarenebri,77.0,31.0,110.0,4.0,11.0,33.0,13.3,47.2,1.7,4.7,10969
Rowena,18.0,11.0,20.0,7.0,0.0,32.1,19.6,35.7,12.5,0.0,13431
Broken Hill,3051.0,2136.0,1704.0,40.0,293.0,42.2,29.6,23.6,0.6,4.1,10592
White Cliffs,18.0,10.0,7.0,8.0,3.0,39.1,21.7,15.2,17.4,6.5,14274
Menindee,83.0,20.0,84.0,0.0,15.0,41.1,9.9,41.6,0.0,7.4,12571
Wilcannia,77.0,14.0,126.0,9.0,5.0,33.3,6.1,54.5,3.9,2.2,14290
