,Separate house,"Semi-detached, row or terrace house, townhouse etc","Flat, unit or apartment",Other dwelling,Dwelling type not stated,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)","Flat, unit or apartment (%)",Other dwelling (%),Dwelling type not stated (%)
Greystanes,6378.0,318.0,41.0,9.0,0.0,94.5,4.7,0.6,0.1,0.0
Guildford,2508.0,303.0,1057.0,39.0,0.0,64.2,7.8,27.1,1.0,0.0
Guildford West,1217.0,185.0,4.0,8.0,0.0,86.1,13.1,0.3,0.6,0.0
Gwynneville,601.0,89.0,364.0,3.0,0.0,56.9,8.4,34.4,0.3,0.0
Gymea,1449.0,558.0,813.0,14.0,0.0,51.1,19.7,28.7,0.5,0.0
Gymea Bay,2240.0,145.0,3.0,7.0,0.0,93.5,6.1,0.1,0.3,0.0
Haberfield,1815.0,261.0,244.0,26.0,0.0,77.4,11.1,10.4,1.1,0.0
Halekulani,765.0,4.0,21.0,241.0,3.0,74.0,0.4,2.0,23.3,0.3
Hamilton,1113.0,222.0,343.0,7.0,0.0,66.1,13.2,20.4,0.4,0.0
Hamilton East,359.0,6.0,29.0,0.0,0.0,91.1,1.5,7.4,0.0,0.0
Hamilton North,335.0,26.0,13.0,3.0,0.0,88.9,6.9,3.4,0.8,0.0
Hamilton South,973.0,218.0,569.0,50.0,0.0,53.8,12.0,31.4,2.8,0.0
Hammondville,753.0,186.0,6.0,5.0,0.0,79.3,19.6,0.6,0.5,0.0
Harrington Park,1792.0,0.0,0.0,4.0,0.0,99.8,0.0,0.0,0.2,0.0
Harris Park,498.0,221.0,2016.0,22.0,0.0,18.1,8.0,73.1,0.8,0.0
Hassall Grove,1226.0,4.0,0.0,0.0,0.0,99.7,0.3,0.0,0.0,0.0
Haymarket,207.0,74.0,1180.0,29.0,28.0,13.6,4.9,77.7,1.9,1.8
Heathcote,1590.0,183.0,175.0,21.0,0.0,80.8,9.3,8.9,1.1,0.0
Hebersham,1530.0,124.0,102.0,3.0,0.0,87.0,7.0,5.8,0.2,0.0
Heckenberg,818.0,67.0,11.0,0.0,0.0,91.3,7.5,1.2,0.0,0.0
Henley,127.0,8.0,23.0,5.0,0.0,77.9,4.9,14.1,3.1,0.0
Highfields,248.0,12.0,10.0,0.0,0.0,91.9,4.4,3.7,0.0,0.0
Hillsborough (Lake Macquarie),225.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hillsdale,144.0,143.0,1537.0,0.0,0.0,7.9,7.8,84.3,0.0,0.0
Hinchinbrook,2578.0,309.0,21.0,11.0,0.0,88.3,10.6,0.7,0.4,0.0
Holmesville,527.0,0.0,7.0,0.0,0.0,98.7,0.0,1.3,0.0,0.0
Holsworthy,1143.0,95.0,0.0,0.0,0.0,92.3,7.7,0.0,0.0,0.0
Homebush,776.0,159.0,1494.0,17.0,0.0,31.7,6.5,61.1,0.7,0.0
Homebush West,146.0,41.0,1564.0,10.0,0.0,8.3,2.3,88.8,0.6,0.0
Horningsea Park,996.0,10.0,0.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0
Hornsby,3176.0,522.0,3877.0,20.0,0.0,41.8,6.9,51.0,0.3,0.0
Hornsby Heights,1863.0,85.0,3.0,3.0,0.0,95.3,4.4,0.2,0.2,0.0
Horsley,2012.0,95.0,8.0,4.0,0.0,95.0,4.5,0.4,0.2,0.0
Hoxton Park,932.0,103.0,3.0,0.0,0.0,89.8,9.9,0.3,0.0,0.0
Hunters Hill,2002.0,290.0,625.0,11.0,0.0,68.4,9.9,21.3,0.4,0.0
Huntleys Point,49.0,3.0,4.0,0.0,0.0,87.5,5.4,7.1,0.0,0.0
Hurlstone Park,1085.0,365.0,342.0,40.0,0.0,59.2,19.9,18.7,2.2,0.0
Hurstville,3324.0,739.0,4242.0,9.0,0.0,40.0,8.9,51.0,0.1,0.0
Hurstville Grove,705.0,49.0,3.0,0.0,0.0,93.1,6.5,0.4,0.0,0.0
Illawong,2108.0,85.0,0.0,4.0,0.0,95.9,3.9,0.0,0.2,0.0
Ingleburn,3545.0,1303.0,115.0,0.0,5.0,71.4,26.2,2.3,0.0,0.1
Ingleside,83.0,5.0,0.0,3.0,0.0,91.2,5.5,0.0,3.3,0.0
Islington,628.0,31.0,70.0,3.0,0.0,85.8,4.2,9.6,0.4,0.0
Jamisontown,1276.0,160.0,331.0,112.0,0.0,67.9,8.5,17.6,6.0,0.0
Jannali,1557.0,216.0,379.0,7.0,0.0,72.1,10.0,17.6,0.3,0.0
Jesmond,558.0,313.0,204.0,0.0,0.0,51.9,29.1,19.0,0.0,0.0
Jewells,873.0,24.0,0.0,0.0,0.0,97.3,2.7,0.0,0.0,0.0
Kahibah,819.0,161.0,60.0,0.0,0.0,78.8,15.5,5.8,0.0,0.0
Kanahooka,1682.0,116.0,54.0,0.0,0.0,90.8,6.3,2.9,0.0,0.0
Kangaroo Point,194.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Kanwal,1257.0,42.0,21.0,73.0,0.0,90.2,3.0,1.5,5.2,0.0
Kareela,834.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Kariong,1809.0,176.0,4.0,0.0,0.0,91.0,8.8,0.2,0.0,0.0
Kearns,829.0,14.0,8.0,0.0,0.0,97.4,1.6,0.9,0.0,0.0
Keiraville,790.0,143.0,268.0,3.0,0.0,65.6,11.9,22.3,0.2,0.0
Kellyville,5182.0,191.0,13.0,3.0,0.0,96.2,3.5,0.2,0.1,0.0
Kembla Grange,48.0,0.0,0.0,5.0,0.0,90.6,0.0,0.0,9.4,0.0
Kensington,1449.0,214.0,2371.0,21.0,0.0,35.7,5.3,58.5,0.5,0.0
Kilaben Bay,433.0,3.0,12.0,4.0,0.0,95.8,0.7,2.7,0.9,0.0
Killara,2307.0,39.0,701.0,8.0,6.0,75.4,1.3,22.9,0.3,0.2
Killarney Heights,1287.0,25.0,36.0,0.0,0.0,95.5,1.9,2.7,0.0,0.0
Killarney Vale,2328.0,192.0,124.0,0.0,4.0,87.9,7.3,4.7,0.0,0.2
Kincumber,1818.0,673.0,293.0,5.0,0.0,65.2,24.1,10.5,0.2,0.0
Kincumber South,371.0,3.0,0.0,0.0,10.0,96.6,0.8,0.0,0.0,2.6
Kings Langley,2881.0,89.0,63.0,0.0,0.0,95.0,2.9,2.1,0.0,0.0
Kings Park,1100.0,66.0,0.0,4.0,0.0,94.0,5.6,0.0,0.3,0.0
Kingsford,2074.0,928.0,2531.0,33.0,7.0,37.2,16.7,45.4,0.6,0.1
Kingsgrove,3397.0,183.0,205.0,39.0,3.0,88.8,4.8,5.4,1.0,0.1
Kingswood (Penrith),1842.0,848.0,632.0,19.0,0.0,55.1,25.4,18.9,0.6,0.0
Kirrawee,2215.0,482.0,769.0,12.0,0.0,63.7,13.9,22.1,0.3,0.0
Kirribilli,83.0,170.0,1736.0,0.0,0.0,4.2,8.5,87.3,0.0,0.0
Kogarah,1478.0,349.0,2762.0,26.0,6.0,32.0,7.6,59.8,0.6,0.1
Kogarah Bay,611.0,26.0,6.0,0.0,0.0,95.0,4.0,0.9,0.0,0.0
Koolewong,334.0,11.0,9.0,0.0,0.0,94.4,3.1,2.5,0.0,0.0
Koonawarra,1199.0,40.0,28.0,0.0,3.0,94.4,3.1,2.2,0.0,0.2
Kotara,1417.0,102.0,30.0,0.0,0.0,91.5,6.6,1.9,0.0,0.0
Kotara South,442.0,7.0,5.0,0.0,0.0,97.4,1.5,1.1,0.0,0.0
Kurnell,710.0,3.0,5.0,7.0,0.0,97.9,0.4,0.7,1.0,0.0
Kyeemagh,262.0,25.0,0.0,4.0,0.0,90.0,8.6,0.0,1.4,0.0
Kyle Bay,403.0,4.0,4.0,3.0,0.0,97.3,1.0,1.0,0.7,0.0
La Perouse,122.0,0.0,6.0,0.0,0.0,95.3,0.0,4.7,0.0,0.0
Lake Haven,1132.0,148.0,195.0,0.0,0.0,76.7,10.0,13.2,0.0,0.0
Lake Heights,1040.0,16.0,106.0,0.0,0.0,89.5,1.4,9.1,0.0,0.0
Lake Illawarra,772.0,166.0,448.0,0.0,0.0,55.7,12.0,32.3,0.0,0.0
Lakelands,447.0,47.0,0.0,0.0,0.0,90.5,9.5,0.0,0.0,0.0
Lakemba,1295.0,220.0,3547.0,32.0,3.0,25.4,4.3,69.6,0.6,0.1
Lalor Park,2553.0,45.0,284.0,0.0,0.0,88.6,1.6,9.9,0.0,0.0
Lambton,1537.0,89.0,294.0,11.0,0.0,79.6,4.6,15.2,0.6,0.0
Lane Cove,1517.0,359.0,1964.0,53.0,20.0,38.8,9.2,50.2,1.4,0.5
Lane Cove North,1253.0,265.0,2437.0,4.0,6.0,31.6,6.7,61.5,0.1,0.2
Lane Cove West,641.0,27.0,143.0,0.0,0.0,79.0,3.3,17.6,0.0,0.0
Lansvale,739.0,22.0,0.0,6.0,0.0,96.3,2.9,0.0,0.8,0.0
Lapstone,322.0,0.0,8.0,0.0,0.0,97.6,0.0,2.4,0.0,0.0
Lavender Bay,29.0,124.0,364.0,11.0,0.0,5.5,23.5,68.9,2.1,0.0
Leichhardt,2266.0,1948.0,1172.0,47.0,0.0,41.7,35.9,21.6,0.9,0.0
Leonay,836.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Lethbridge Park,1477.0,7.0,158.0,0.0,0.0,90.0,0.4,9.6,0.0,0.0
Leumeah,2728.0,340.0,146.0,5.0,3.0,84.7,10.6,4.5,0.2,0.1
Lewisham,572.0,168.0,377.0,5.0,3.0,50.8,14.9,33.5,0.4,0.3
Liberty Grove,77.0,245.0,441.0,0.0,0.0,10.1,32.1,57.8,0.0,0.0
Lidcombe,3035.0,598.0,973.0,49.0,0.0,65.2,12.8,20.9,1.1,0.0
Lilli Pilli (Sutherland Shire),652.0,27.0,0.0,0.0,0.0,96.0,4.0,0.0,0.0,0.0
Lilyfield,1600.0,654.0,607.0,10.0,0.0,55.7,22.8,21.1,0.3,0.0
Lindfield,1847.0,55.0,672.0,12.0,0.0,71.4,2.1,26.0,0.5,0.0
Linley Point,120.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Lisarow,1435.0,114.0,101.0,3.0,0.0,86.8,6.9,6.1,0.2,0.0
Little Bay,440.0,133.0,124.0,6.0,0.0,62.6,18.9,17.6,0.9,0.0
Liverpool,2938.0,812.0,4027.0,21.0,16.0,37.6,10.4,51.5,0.3,0.2
Loftus,1247.0,120.0,17.0,5.0,0.0,89.8,8.6,1.2,0.4,0.0
Long Jetty,1429.0,480.0,431.0,26.0,0.0,60.4,20.3,18.2,1.1,0.0
Long Point (Campbelltown),95.0,17.0,0.0,0.0,0.0,84.8,15.2,0.0,0.0,0.0
Longueville,627.0,0.0,8.0,0.0,0.0,98.7,0.0,1.3,0.0,0.0
Lugarno,1810.0,77.0,37.0,3.0,0.0,93.9,4.0,1.9,0.2,0.0
Lurnea,2036.0,444.0,42.0,0.0,0.0,80.7,17.6,1.7,0.0,0.0
Macquarie Fields,3081.0,1275.0,124.0,9.0,0.0,68.6,28.4,2.8,0.2,0.0
Macquarie Hills,641.0,16.0,6.0,0.0,0.0,96.7,2.4,0.9,0.0,0.0
Macquarie Links,241.0,14.0,5.0,0.0,0.0,92.7,5.4,1.9,0.0,0.0
Macquarie Park,41.0,573.0,1911.0,64.0,0.0,1.6,22.1,73.8,2.5,0.0
Malabar,572.0,429.0,381.0,9.0,11.0,40.8,30.6,27.2,0.6,0.8
Mangerton,694.0,76.0,342.0,0.0,0.0,62.4,6.8,30.8,0.0,0.0
Manly,1027.0,644.0,4757.0,53.0,8.0,15.8,9.9,73.3,0.8,0.1
Manly Vale,838.0,98.0,1244.0,7.0,0.0,38.3,4.5,56.9,0.3,0.0
Marayong,1727.0,569.0,97.0,9.0,0.0,71.9,23.7,4.0,0.4,0.0
Mardi,680.0,300.0,11.0,0.0,0.0,68.6,30.3,1.1,0.0,0.0
Marks Point,445.0,209.0,112.0,7.0,0.0,57.6,27.0,14.5,0.9,0.0
Marmong Point,148.0,0.0,29.0,5.0,0.0,81.3,0.0,15.9,2.7,0.0
Maroubra,3912.0,1980.0,4910.0,100.0,4.0,35.9,18.2,45.0,0.9,0.0
Marrickville,3785.0,1626.0,3739.0,85.0,7.0,41.0,17.6,40.5,0.9,0.1
Marsfield,1709.0,1873.0,1289.0,0.0,0.0,35.1,38.5,26.5,0.0,0.0
Maryland (Newcastle),2402.0,130.0,58.0,0.0,0.0,92.7,5.0,2.2,0.0,0.0
Maryville,270.0,161.0,33.0,157.0,6.0,43.1,25.7,5.3,25.0,1.0
Mascot,1673.0,398.0,1060.0,28.0,0.0,53.0,12.6,33.6,0.9,0.0
Matraville,1981.0,720.0,465.0,5.0,0.0,62.5,22.7,14.7,0.2,0.0
Mayfield (Newcastle),3087.0,233.0,622.0,34.0,0.0,77.6,5.9,15.6,0.9,0.0
Mayfield East,550.0,20.0,103.0,0.0,0.0,81.7,3.0,15.3,0.0,0.0
Mayfield West,583.0,28.0,114.0,3.0,0.0,80.1,3.8,15.7,0.4,0.0
Mays Hill,185.0,54.0,17.0,0.0,0.0,72.3,21.1,6.6,0.0,0.0
McMahons Point,139.0,207.0,796.0,0.0,0.0,12.2,18.1,69.7,0.0,0.0
Meadowbank,205.0,25.0,1203.0,8.0,0.0,14.2,1.7,83.5,0.6,0.0
Melrose Park,655.0,23.0,10.0,3.0,0.0,94.8,3.3,1.4,0.4,0.0
Menai,2608.0,557.0,222.0,0.0,0.0,77.0,16.4,6.6,0.0,0.0
Merewether,2736.0,610.0,1048.0,7.0,0.0,62.2,13.9,23.8,0.2,0.0
Merewether Heights,509.0,11.0,0.0,0.0,0.0,97.9,2.1,0.0,0.0,0.0
Merrylands,4322.0,514.0,2600.0,9.0,0.0,58.1,6.9,34.9,0.1,0.0
Merrylands West,1155.0,344.0,589.0,17.0,45.0,53.7,16.0,27.4,0.8,2.1
Middle Cove,345.0,3.0,5.0,0.0,0.0,97.7,0.8,1.4,0.0,0.0
Miller,747.0,53.0,317.0,0.0,0.0,66.9,4.7,28.4,0.0,0.0
Millers Point,8.0,272.0,786.0,10.0,0.0,0.7,25.3,73.0,0.9,0.0
Milperra,1258.0,27.0,3.0,3.0,0.0,97.4,2.1,0.2,0.2,0.0
Milsons Point,0.0,4.0,900.0,0.0,0.0,0.0,0.4,99.6,0.0,0.0
Minchinbury,1491.0,35.0,4.0,0.0,0.0,97.5,2.3,0.3,0.0,0.0
Minmi,220.0,0.0,6.0,0.0,0.0,97.3,0.0,2.7,0.0,0.0
Minto,2653.0,812.0,123.0,3.0,3.0,73.8,22.6,3.4,0.1,0.1
Miranda,2597.0,903.0,1884.0,40.0,0.0,47.9,16.6,34.7,0.7,0.0
Mona Vale,2079.0,692.0,792.0,18.0,0.0,58.1,19.3,22.1,0.5,0.0
Monterey,812.0,143.0,800.0,5.0,0.0,46.1,8.1,45.5,0.3,0.0
Moorebank,2264.0,250.0,50.0,5.0,0.0,88.1,9.7,1.9,0.2,0.0
Mortdale,1851.0,486.0,1530.0,34.0,0.0,47.4,12.5,39.2,0.9,0.0
Mortlake,52.0,57.0,100.0,3.0,0.0,24.5,26.9,47.2,1.4,0.0
Mosman,4343.0,1260.0,5567.0,110.0,0.0,38.5,11.2,49.4,1.0,0.0
Mount Annan,2525.0,18.0,6.0,0.0,3.0,98.9,0.7,0.2,0.0,0.1
Mount Colah,2172.0,93.0,29.0,6.0,0.0,94.4,4.0,1.3,0.3,0.0
Mount Druitt,2605.0,877.0,1092.0,0.0,0.0,57.0,19.2,23.9,0.0,0.0
Mount Hutton,928.0,267.0,10.0,0.0,0.0,77.0,22.2,0.8,0.0,0.0
Mount Keira,468.0,15.0,18.0,0.0,0.0,93.4,3.0,3.6,0.0,0.0
Mount Kembla,309.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Mount Lewis,335.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Mount Ousley,622.0,4.0,9.0,0.0,0.0,98.0,0.6,1.4,0.0,0.0
Mount Pleasant,313.0,5.0,5.0,0.0,0.0,96.9,1.5,1.5,0.0,0.0
Mount Pritchard,2654.0,199.0,72.0,3.0,10.0,90.3,6.8,2.5,0.1,0.3
Mount Riverview,1048.0,3.0,3.0,0.0,0.0,99.4,0.3,0.3,0.0,0.0
Mount Saint Thomas,571.0,6.0,17.0,0.0,0.0,96.1,1.0,2.9,0.0,0.0
Mount Warrigal,1797.0,14.0,9.0,0.0,0.0,98.7,0.8,0.5,0.0,0.0
Narara,2439.0,275.0,32.0,5.0,0.0,88.7,10.0,1.2,0.2,0.0
Narellan,1221.0,19.0,0.0,0.0,0.0,98.5,1.5,0.0,0.0,0.0
Narellan Vale,2255.0,84.0,0.0,0.0,0.0,96.4,3.6,0.0,0.0,0.0
Naremburn,947.0,388.0,777.0,3.0,0.0,44.8,18.3,36.7,0.1,0.0
Narrabeen,574.0,508.0,1874.0,16.0,0.0,19.3,17.1,63.1,0.5,0.0
Narraweena,1516.0,133.0,406.0,12.0,0.0,73.3,6.4,19.6,0.6,0.0
Narwee,1062.0,237.0,619.0,9.0,0.0,55.1,12.3,32.1,0.5,0.0
Neutral Bay,774.0,927.0,3672.0,33.0,6.0,14.3,17.1,67.8,0.6,0.1
New Lambton,3093.0,395.0,469.0,16.0,0.0,77.9,9.9,11.8,0.4,0.0
New Lambton Heights,567.0,3.0,10.0,0.0,0.0,97.8,0.5,1.7,0.0,0.0
Newcastle,38.0,103.0,757.0,6.0,0.0,4.2,11.4,83.7,0.7,0.0
Newcastle East,41.0,163.0,289.0,8.0,4.0,8.1,32.3,57.2,1.6,0.8
Newcastle West,4.0,10.0,182.0,14.0,0.0,1.9,4.8,86.7,6.7,0.0
Newington,680.0,297.0,744.0,4.0,110.0,37.1,16.2,40.5,0.2,6.0
Newport,2455.0,135.0,950.0,22.0,0.0,68.9,3.8,26.7,0.6,0.0
Newtown,380.0,3421.0,2415.0,165.0,10.0,5.9,53.5,37.8,2.6,0.2
Niagara Park,731.0,94.0,4.0,3.0,0.0,87.9,11.3,0.5,0.4,0.0
Norah Head,362.0,12.0,22.0,17.0,0.0,87.7,2.9,5.3,4.1,0.0
Noraville,918.0,26.0,66.0,5.0,0.0,90.4,2.6,6.5,0.5,0.0
Normanhurst,1080.0,198.0,253.0,59.0,0.0,67.9,12.5,15.9,3.7,0.0
North Avoca,743.0,28.0,41.0,0.0,0.0,91.5,3.4,5.0,0.0,0.0
North Balgowlah,1002.0,58.0,51.0,3.0,0.0,89.9,5.2,4.6,0.3,0.0
North Bondi,824.0,902.0,1965.0,0.0,6.0,22.3,24.4,53.2,0.0,0.2
North Curl Curl,995.0,70.0,49.0,6.0,0.0,88.8,6.3,4.4,0.5,0.0
North Epping,1356.0,79.0,4.0,3.0,0.0,94.0,5.5,0.3,0.2,0.0
North Gosford,874.0,371.0,122.0,3.0,0.0,63.8,27.1,8.9,0.2,0.0
North Lambton,1083.0,116.0,36.0,0.0,0.0,87.7,9.4,2.9,0.0,0.0
North Manly,810.0,52.0,42.0,0.0,0.0,89.6,5.8,4.6,0.0,0.0
North Narrabeen,1611.0,41.0,82.0,136.0,6.0,85.9,2.2,4.4,7.2,0.3
North Parramatta,732.0,224.0,2567.0,10.0,0.0,20.7,6.3,72.7,0.3,0.0
North Rocks,2235.0,168.0,13.0,9.0,0.0,92.2,6.9,0.5,0.4,0.0
North Ryde,3044.0,355.0,148.0,7.0,0.0,85.6,10.0,4.2,0.2,0.0
North St Marys,1253.0,14.0,3.0,11.0,0.0,97.8,1.1,0.2,0.9,0.0
North Strathfield,552.0,68.0,630.0,30.0,0.0,43.1,5.3,49.2,2.3,0.0
North Sydney,393.0,384.0,2303.0,30.0,0.0,12.6,12.3,74.1,1.0,0.0
North Turramurra,1013.0,72.0,292.0,3.0,0.0,73.4,5.2,21.2,0.2,0.0
North Wahroonga,681.0,31.0,4.0,0.0,0.0,95.1,4.3,0.6,0.0,0.0
North Willoughby,894.0,184.0,408.0,4.0,0.0,60.0,12.3,27.4,0.3,0.0
North Wollongong,183.0,99.0,538.0,4.0,0.0,22.2,12.0,65.3,0.5,0.0
Northbridge,1643.0,159.0,264.0,33.0,0.0,78.3,7.6,12.6,1.6,0.0
Northmead,1946.0,488.0,269.0,3.0,0.0,71.9,18.0,9.9,0.1,0.0
Northwood,300.0,3.0,0.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0
Oak Flats,2058.0,143.0,124.0,15.0,0.0,87.9,6.1,5.3,0.6,0.0
Oakhurst,1823.0,37.0,5.0,0.0,0.0,97.7,2.0,0.3,0.0,0.0
Oatlands,1117.0,649.0,39.0,8.0,0.0,61.6,35.8,2.2,0.4,0.0
Oatley,2611.0,258.0,586.0,22.0,15.0,74.8,7.4,16.8,0.6,0.4
Old Guildford,624.0,25.0,7.0,0.0,0.0,95.1,3.8,1.1,0.0,0.0
Old Toongabbie,1102.0,500.0,325.0,3.0,0.0,57.1,25.9,16.8,0.2,0.0
Ourimbah,761.0,312.0,5.0,4.0,0.0,70.3,28.8,0.5,0.4,0.0
Oxley Park,707.0,213.0,5.0,4.0,0.0,76.1,22.9,0.5,0.4,0.0
Oyster Bay,1573.0,88.0,4.0,0.0,0.0,94.5,5.3,0.2,0.0,0.0
Paddington,133.0,3570.0,1904.0,85.0,13.0,2.3,62.6,33.4,1.5,0.2
Padstow,3132.0,848.0,249.0,31.0,0.0,73.5,19.9,5.8,0.7,0.0
Padstow Heights,991.0,107.0,142.0,8.0,0.0,79.4,8.6,11.4,0.6,0.0
Pagewood,839.0,107.0,92.0,4.0,0.0,80.5,10.3,8.8,0.4,0.0
Palm Beach,597.0,14.0,29.0,7.0,0.0,92.3,2.2,4.5,1.1,0.0
Panania,3249.0,551.0,230.0,10.0,0.0,80.4,13.6,5.7,0.2,0.0
Parramatta,1245.0,802.0,5604.0,82.0,33.0,16.0,10.3,72.2,1.1,0.4
Peakhurst,2741.0,450.0,180.0,13.0,6.0,80.9,13.3,5.3,0.4,0.2
Peakhurst Heights,771.0,23.0,19.0,3.0,0.0,94.5,2.8,2.3,0.4,0.0
Pearl Beach,215.0,0.0,3.0,4.0,0.0,96.8,0.0,1.4,1.8,0.0
Pelican,306.0,10.0,6.0,0.0,0.0,95.0,3.1,1.9,0.0,0.0
Pendle Hill,2358.0,615.0,735.0,14.0,0.0,63.4,16.5,19.7,0.4,0.0
Pennant Hills,1809.0,337.0,268.0,9.0,0.0,74.7,13.9,11.1,0.4,0.0
Penrith,2491.0,1037.0,1468.0,42.0,3.0,49.4,20.6,29.1,0.8,0.1
Penrose (Wollongong),426.0,26.0,102.0,3.0,0.0,76.5,4.7,18.3,0.5,0.0
Penshurst,1937.0,790.0,1652.0,5.0,4.0,44.1,18.0,37.6,0.1,0.1
Petersham,1170.0,642.0,1376.0,77.0,5.0,35.8,19.6,42.1,2.4,0.2
Phillip Bay,197.0,10.0,17.0,4.0,0.0,86.4,4.4,7.5,1.8,0.0
Picnic Point,1741.0,319.0,25.0,4.0,0.0,83.3,15.3,1.2,0.2,0.0
Plumpton,1969.0,234.0,0.0,0.0,0.0,89.4,10.6,0.0,0.0,0.0
Point Clare,1010.0,106.0,114.0,5.0,0.0,81.8,8.6,9.2,0.4,0.0
Point Frederick,334.0,184.0,309.0,0.0,0.0,40.4,22.2,37.4,0.0,0.0
Point Piper,185.0,31.0,400.0,0.0,17.0,29.2,4.9,63.2,0.0,2.7
Port Kembla,1443.0,59.0,203.0,28.0,0.0,83.3,3.4,11.7,1.6,0.0
Potts Point,111.0,248.0,3704.0,35.0,8.0,2.7,6.0,90.2,0.9,0.2
Prairiewood,712.0,154.0,14.0,0.0,0.0,80.9,17.5,1.6,0.0,0.0
Prestons,3141.0,557.0,15.0,0.0,0.0,84.6,15.0,0.4,0.0,0.0
Primbee,537.0,56.0,31.0,37.0,3.0,80.9,8.4,4.7,5.6,0.5
Prospect,1161.0,179.0,4.0,3.0,0.0,86.2,13.3,0.3,0.2,0.0
Punchbowl (Canterbury and Bankstown),3507.0,481.0,1365.0,21.0,5.0,65.2,8.9,25.4,0.4,0.1
Putney,907.0,123.0,15.0,5.0,0.0,86.4,11.7,1.4,0.5,0.0
Pymble,2747.0,74.0,209.0,0.0,0.0,90.7,2.4,6.9,0.0,0.0
Pyrmont,15.0,273.0,5273.0,4.0,0.0,0.3,4.9,94.8,0.1,0.0
Quakers Hill,6682.0,1250.0,40.0,5.0,0.0,83.8,15.7,0.5,0.1,0.0
Queens Park,470.0,329.0,319.0,6.0,0.0,41.8,29.3,28.4,0.5,0.0
Raby,1826.0,98.0,0.0,3.0,0.0,94.8,5.1,0.0,0.2,0.0
Ramsgate,301.0,73.0,24.0,10.0,0.0,73.8,17.9,5.9,2.5,0.0
Ramsgate Beach,137.0,217.0,368.0,0.0,0.0,19.0,30.1,51.0,0.0,0.0
Randwick,2053.0,1482.0,7768.0,106.0,40.0,17.9,12.9,67.8,0.9,0.3
Rankin Park,897.0,0.0,6.0,0.0,0.0,99.3,0.0,0.7,0.0,0.0
Redfern,80.0,1797.0,3903.0,79.0,21.0,1.4,30.6,66.4,1.3,0.4
Redhead,1225.0,52.0,11.0,30.0,0.0,92.9,3.9,0.8,2.3,0.0
Regents Park,1242.0,55.0,390.0,26.0,3.0,72.4,3.2,22.7,1.5,0.2
Regentville,240.0,7.0,0.0,0.0,0.0,97.2,2.8,0.0,0.0,0.0
Revesby,3328.0,694.0,243.0,26.0,0.0,77.6,16.2,5.7,0.6,0.0
Revesby Heights,445.0,21.0,6.0,0.0,0.0,94.3,4.4,1.3,0.0,0.0
Rhodes,166.0,99.0,413.0,0.0,0.0,24.5,14.6,60.9,0.0,0.0
Riverstone,2043.0,31.0,5.0,35.0,0.0,96.6,1.5,0.2,1.7,0.0
Riverview (Lane Cove),962.0,11.0,11.0,0.0,0.0,97.8,1.1,1.1,0.0,0.0
Riverwood,1910.0,420.0,1690.0,6.0,0.0,47.4,10.4,42.0,0.1,0.0
Rockdale,1647.0,257.0,3204.0,95.0,15.0,31.6,4.9,61.4,1.8,0.3
Rocky Point,97.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Rodd Point,450.0,31.0,0.0,7.0,0.0,92.2,6.4,0.0,1.4,0.0
Rooty Hill,3383.0,256.0,54.0,10.0,6.0,91.2,6.9,1.5,0.3,0.2
Rose Bay,1008.0,289.0,2529.0,22.0,5.0,26.2,7.5,65.6,0.6,0.1
Rosebery,1285.0,265.0,1213.0,12.0,0.0,46.3,9.5,43.7,0.4,0.0
Roselands,2562.0,315.0,693.0,6.0,0.0,71.6,8.8,19.4,0.2,0.0
Rosemeadow,1745.0,564.0,3.0,0.0,0.0,75.5,24.4,0.1,0.0,0.0
Roseville,2217.0,67.0,503.0,10.0,0.0,79.3,2.4,18.0,0.4,0.0
Roseville Chase,509.0,0.0,5.0,0.0,0.0,99.0,0.0,1.0,0.0,0.0
Rouse Hill,1846.0,20.0,0.0,90.0,0.0,94.4,1.0,0.0,4.6,0.0
Rozelle,969.0,1072.0,1049.0,82.0,0.0,30.5,33.8,33.1,2.6,0.0
Ruse,1879.0,17.0,19.0,4.0,0.0,97.9,0.9,1.0,0.2,0.0
Rushcutters Bay,14.0,40.0,1312.0,5.0,38.0,1.0,2.8,93.1,0.4,2.7
Russell Lea,1329.0,191.0,472.0,6.0,0.0,66.5,9.6,23.6,0.3,0.0
Russell Vale,319.0,123.0,36.0,0.0,0.0,66.7,25.7,7.5,0.0,0.0
Rydalmere,344.0,97.0,52.0,4.0,0.0,69.2,19.5,10.5,0.8,0.0
Ryde,4562.0,911.0,2443.0,13.0,0.0,57.5,11.5,30.8,0.2,0.0
