,"No Religion, so described",Catholic,Not stated,Anglican,"Christian, nfd",Buddhism,Uniting Church,Eastern Orthodox,Pentecostal,Islam,Presbyterian and Reformed,Baptist,Seventh-day Adventist,Jehovah's Witnesses,Salvation Army,Lutheran,Other Protestant,Latter-day Saints,Hinduism,Brethren,Other Spiritual Beliefs,Sikhism,Australian Aboriginal Traditional Religions,Oriental Orthodox,Nature Religions,Judaism,Other Christian,Secular Beliefs,Japanese Religions,Assyrian Apostolic,Miscellaneous Religions,"No Religion, so described (%)",Catholic (%),Not stated (%),Anglican (%),"Christian, nfd (%)",Buddhism (%),Uniting Church (%),Eastern Orthodox (%),Pentecostal (%),Islam (%),Presbyterian and Reformed (%),Baptist (%),Seventh-day Adventist (%),Jehovah's Witnesses (%),Salvation Army (%),Lutheran (%),Other Protestant (%),Latter-day Saints (%),Hinduism (%),Brethren (%),Other Spiritual Beliefs (%),Sikhism (%),Australian Aboriginal Traditional Religions (%),Oriental Orthodox (%),Nature Religions (%),Judaism (%),Other Christian (%),Secular Beliefs (%),Japanese Religions (%),Assyrian Apostolic (%),Miscellaneous Religions (%),SSC_CODE
Whittingham,58,118,23,118,,,17,,,,,,,,,,,,,,,,,,,,,,,,,16.2,33.1,6.4,33.1,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,14279
Gowrie (Singleton - NSW),92,87,11,83,,,24,,,,,,,,,,,,,,,,,,,,,,,,,28.4,26.9,3.4,25.6,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,11729
Glenridding,53,49,24,91,,,,,,,9,,,,,,,,,,,,,,,,,,,,,21.1,19.5,9.6,36.3,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,11676
Singleton Heights,"1,145","1,057",384,"1,385",,,199,,,,,,,,,,,,,,,,,,,,,,,,,24.3,22.5,8.2,29.4,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,13550
Wattle Ponds,247,305,77,317,,,74,,,,,,,,,,,,,,,,,,,,,,,,,22.0,27.2,6.9,28.3,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,14193
McDougalls Hill,22,49,,52,,,8,,,,7,,,,,,,,,,,,,,,,,,,,,15.2,33.8,,35.9,,,5.5,,,,4.8,,,,,,,,,,,,,,,,,,,,,12541
Darlington (Singleton - NSW),88,99,32,97,,,19,,,,,,,,,,,,,,,,,,,,,,,,,24.2,27.2,8.8,26.6,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,11213
Broke (NSW),132,139,88,155,22,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,24.0,15.2,26.7,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,10590
Putty,22,15,80,24,,,,,,,,,,,,,,,,,,,,8,,,,,,,,13.7,9.3,49.7,14.9,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,13279
Howes Valley,29,7,58,22,,,,,,,5,,,,,,,,,,,,,,,,,,,,,24.0,5.8,47.9,18.2,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,11948
Bulga (NSW),73,72,52,97,,,16,,,,,,,,,,,,,,,,,,,,,,,,,20.8,20.5,14.8,27.6,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,10651
Jerrys Plains,78,103,49,113,,,13,,,,,,,,,,,,,,,,,,,,,,,,,20.7,27.4,13.0,30.1,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,12021
Maison Dieu,33,32,36,41,,,,,,,,16,,,,,,,,,,,,,,,,,,,,18.4,17.9,20.1,22.9,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,12448
Bridgman,35,45,,82,,,16,,7,,,,,,,,,,,,,,,,,,,,,,,17.4,22.4,,40.8,,,8.0,,3.5,,,,,,,,,,,,,,,,,,,,,,,10567
Mount Olive (Singleton - NSW),30,30,,50,,,15,,9,,,,,,,,,,,,,,,,,,,,,,,20.8,20.8,,34.7,,,10.4,,6.2,,,,,,,,,,,,,,,,,,,,,,,12781
Westbrook (NSW),19,33,18,55,,,10,,,,,,,,,,,,,,,,,,,,,,,,,13.5,23.4,12.8,39.0,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,14257
Reedy Creek (NSW),29,38,28,59,,,7,,,,,,,,,,,,,,,,,,,,,,,,,16.5,21.6,15.9,33.5,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,13342
Sedgefield,26,50,16,42,,,,,14,,,,,,,,,,,,,,,,,,,,,,,14.4,27.8,8.9,23.3,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,13514
Mitchells Flat,38,57,12,77,,,15,,,,,,,,,,,,,,,,,,,,,,,,,18.5,27.8,5.9,37.6,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,12651
Glendon,17,34,9,31,,,13,,,,,,,,,,,,,,,,,,,,,,,,,15.0,30.1,8.0,27.4,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,11660
Elderslie (Singleton - NSW),25,35,14,33,,,13,,,,,,,,,,,,,,,,,,,,,,,,,19.5,27.3,10.9,25.8,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,11392
Lambs Valley (Singleton - NSW),81,84,42,97,,,16,,,,,,,,,,,,,,,,,,,,,,,,,23.0,23.9,11.9,27.6,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,12263
Stanhope (NSW),34,39,27,34,,,,,,,,,,,,,,,,,,,,,6,,,,,,,23.3,26.7,18.5,23.3,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,13648
Glendon Brook,49,55,23,94,,,25,,,,,,,,,,,,,,,,,,,,,,,,,18.6,20.9,8.7,35.7,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,11661
Maitland (NSW),473,429,245,427,,,,,,,55,,,,,,,,,,,,,,,,,,,,,25.2,22.9,13.1,22.8,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,12449
South Maitland,114,89,103,112,,,,,,,,10,,,,,,,,,,,,,,,,,,,,24.6,19.2,22.2,24.2,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,13591
Gillieston Heights,865,790,211,782,,,133,,,,,,,,,,,,,,,,,,,,,,,,,27.4,25.1,6.7,24.8,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,11624
Louth Park,130,187,39,159,,,48,,,,,,,,,,,,,,,,,,,,,,,,,20.0,28.8,6.0,24.5,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,12395
Horseshoe Bend,121,86,40,67,,,,,,,13,,,,,,,,,,,,,,,,,,,,,32.2,22.9,10.6,17.8,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,11939
Oakhampton,19,60,19,49,,,13,,,,,,,,,,,,,,,,,,,,,,,,,10.4,33.0,10.4,26.9,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,13056
East Maitland,"2,895","3,058",958,"2,675",,,603,,,,,,,,,,,,,,,,,,,,,,,,,24.6,26.0,8.1,22.7,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,11360
Metford,"1,156","1,117",354,"1,094",,,251,,,,,,,,,,,,,,,,,,,,,,,,,24.2,23.4,7.4,22.9,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,12592
Tenambit,725,717,202,688,,,149,,,,,,,,,,,,,,,,,,,,,,,,,24.9,24.7,6.9,23.7,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,13787
Raworth,391,549,105,440,,,107,,,,,,,,,,,,,,,,,,,,,,,,,21.8,30.7,5.9,24.6,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,13325
Morpeth,315,362,77,356,,,109,,,,,,,,,,,,,,,,,,,,,,,,,22.3,25.7,5.5,25.2,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,12727
Ashtonfield,"1,053","1,114",318,"1,144",,,231,,,,,,,,,,,,,,,,,,,,,,,,,22.7,24.0,6.9,24.7,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,10102
Chisholm (NSW),325,470,62,355,,,58,,,,,,,,,,,,,,,,,,,,,,,,,22.2,32.2,4.2,24.3,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,10909
Largs,387,553,164,511,,,99,,,,,,,,,,,,,,,,,,,,,,,,,19.9,28.5,8.5,26.3,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,12278
Bolwarra Heights,686,869,180,675,,,209,,,,,,,,,,,,,,,,,,,,,,,,,23.0,29.2,6.0,22.7,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,10451
Lorn,359,379,102,254,,,71,,,,,,,,,,,,,,,,,,,,,,,,,26.8,28.3,7.6,18.9,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,12389
Bolwarra (NSW),264,259,65,214,,,69,,,,,,,,,,,,,,,,,,,,,,,,,26.7,26.2,6.6,21.7,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,10450
Woodville (NSW),77,140,30,84,,,44,,,,,,,,,,,,,,,,,,,,,,,,,18.5,33.6,7.2,20.1,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,14398
Maitland Vale,32,30,24,28,7,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,24.2,19.4,22.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,12451
Rutherford,"2,993","3,179",985,"2,788",,,513,,,,,,,,,,,,,,,,,,,,,,,,,25.2,26.7,8.3,23.5,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,13449
Aberglasslyn,"1,267","1,627",305,"1,384",,,226,,,,,,,,,,,,,,,,,,,,,,,,,23.5,30.2,5.7,25.7,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,10009
Luskintyre,21,52,20,59,,,7,,,,,,,,,,,,,,,,,,,,,,,,,12.1,30.1,11.6,34.1,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,12423
Lochinvar,142,290,63,190,,,29,,,,,,,,,,,,,,,,,,,,,,,,,18.0,36.7,8.0,24.1,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,12368
Windella,113,235,48,193,,,55,,,,,,,,,,,,,,,,,,,,,,,,,15.5,32.2,6.6,26.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,14317
Telarah,621,688,171,543,,,,,,,73,,,,,,,,,,,,,,,,,,,,,26.8,29.7,7.4,23.4,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,13780
Farley,58,68,,58,10,,,,,,9,,,,,,,,,,,,,,,,,,,,,27.8,32.5,,27.8,4.8,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,11490
Bishops Bridge,52,61,38,56,,,16,,,,,,,,,,,,,,,,,,,,,,,,,21.6,25.3,15.8,23.2,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,10380
Thornton (NSW),"1,825","2,130",413,"2,195",,,460,,,,,,,,,,,,,,,,,,,,,,,,,22.6,26.4,5.1,27.2,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,13851
Millers Forest,58,120,15,77,,,22,,,,,,,,,,,,,,,,,,,,,,,,,17.0,35.2,4.4,22.6,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,12618
Berry Park,22,47,16,20,,,9,,,,,,,,,,,,,,,,,,,,,,,,,16.5,35.3,12.0,15.0,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,10325
Anna Bay,"1,016",793,480,838,,,182,,,,,,,,,,,,,,,,,,,,,,,,,26.4,20.6,12.5,21.8,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,10060
Boat Harbour (Port Stephens - NSW),323,214,61,211,,,,,,,61,,,,,,,,,,,,,,,,,,,,,33.7,22.3,6.4,22.0,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,10425
Bobs Farm,116,64,38,149,,,,,20,,,,,,,,,,,,,,,,,,,,,,,25.7,14.2,8.4,33.0,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,10429
One Mile (NSW),117,82,,85,,,36,,,,27,,,,,,,,,,,,,,,,,,,,,28.6,20.0,,20.8,,,8.8,,,,6.6,,,,,,,,,,,,,,,,,,,,,13085
Lemon Tree Passage,721,517,244,684,,,126,,,,,,,,,,,,,,,,,,,,,,,,,27.9,20.0,9.4,26.5,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,12300
Mallabula,263,173,91,253,,,33,,,,,,,,,,,,,,,,,,,,,,,,,28.7,18.9,9.9,27.6,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,12455
Tanilba Bay,855,661,258,816,,,139,,,,,,,,,,,,,,,,,,,,,,,,,27.1,20.9,8.2,25.9,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,13748
Salamander Bay,"1,151","1,030",416,"1,265",,,299,,,,,,,,,,,,,,,,,,,,,,,,,24.0,21.4,8.7,26.3,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,13463
Soldiers Point,426,279,110,366,,,66,,,,,,,,,,,,,,,,,,,,,,,,,29.8,19.5,7.7,25.6,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,13570
Corlette,"1,399","1,291",324,"1,286",,,294,,,,,,,,,,,,,,,,,,,,,,,,,26.2,24.2,6.1,24.1,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,11075
Taylors Beach (NSW),33,8,6,46,,,10,,,,,,,,,,,,,,,,,,,,,,,,,29.5,7.1,5.4,41.1,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,13777
Nelson Bay (NSW),"1,640","1,411",492,"1,289",,,231,,,,,,,,,,,,,,,,,,,,,,,,,28.2,24.3,8.5,22.2,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,12923
Fingal Bay,328,362,251,413,,,71,,,,,,,,,,,,,,,,,,,,,,,,,20.2,22.3,15.5,25.5,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,11518
Shoal Bay (NSW),430,361,382,409,,,69,,,,,,,,,,,,,,,,,,,,,,,,,23.1,19.4,20.5,22.0,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,13539
Raymond Terrace,"3,390","2,819","1,202","3,157",,,624,,,,,,,,,,,,,,,,,,,,,,,,,26.4,22.0,9.4,24.6,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,13327
Tomago,62,60,52,68,,,,,,,10,,,,,,,,,,,,,,,,,,,,,23.0,22.2,19.3,25.2,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,13889
Heatherbrae,109,97,61,133,,,23,,,,,,,,,,,,,,,,,,,,,,,,,21.4,19.0,12.0,26.1,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,11884
Eagleton,63,38,17,59,12,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,18.4,8.2,28.5,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,11342
Duns Creek,152,138,46,126,,,25,,,,,,,,,,,,,,,,,,,,,,,,,28.2,25.6,8.5,23.4,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,11326
Seaham,233,258,79,281,,,63,,,,,,,,,,,,,,,,,,,,,,,,,23.1,25.6,7.8,27.9,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,13510
Wallalong,211,266,73,310,43,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,26.1,7.2,30.4,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,14104
Brandy Hill,155,166,56,149,,,46,,,,,,,,,,,,,,,,,,,,,,,,,23.3,25.0,8.4,22.4,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,10548
Hinton,73,149,36,128,,,18,,,,,,,,,,,,,,,,,,,,,,,,,16.4,33.5,8.1,28.8,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,11916
Butterwick,24,26,9,54,,,10,,,,,,,,,,,,,,,,,,,,,,,,,18.6,20.2,7.0,41.9,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,10725
East Seaham,95,54,41,77,,,,,,,15,,,,,,,,,,,,,,,,,,,,,29.1,16.6,12.6,23.6,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,11362
Nelsons Plains,68,102,27,113,,,21,,,,,,,,,,,,,,,,,,,,,,,,,18.9,28.3,7.5,31.4,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,12924
Osterley (NSW),13,38,,31,,,,,,,13,8,,,,,,,,,,,,,,,,,,,,11.3,33.0,,27.0,,,,,,,11.3,7.0,,,,,,,,,,,,,,,,,,,,13099
Tea Gardens,545,616,204,"1,003",,,195,,,,,,,,,,,,,,,,,,,,,,,,,18.9,21.4,7.1,34.9,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,13779
North Arm Cove,129,76,40,119,,,21,,,,,,,,,,,,,,,,,,,,,,,,,28.7,16.9,8.9,26.5,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,12979
Bundabah,41,20,8,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,18.7,7.5,23.4,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,10668
Pindimar,85,70,30,93,,,17,,,,,,,,,,,,,,,,,,,,,,,,,25.1,20.7,8.9,27.5,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,13211
Hawks Nest,315,253,90,365,,,59,,,,,,,,,,,,,,,,,,,,,,,,,25.9,20.8,7.4,30.0,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,11873
Karuah,353,281,159,377,,,91,,,,,,,,,,,,,,,,,,,,,,,,,25.0,19.9,11.3,26.7,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,12076
Medowie,"2,575","1,925",857,"2,382",,,437,,,,,,,,,,,,,,,,,,,,,,,,,26.9,20.1,9.0,24.9,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,12554
Salt Ash,275,251,116,298,,,49,,,,,,,,,,,,,,,,,,,,,,,,,24.4,22.2,10.3,26.4,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,13467
Williamtown,173,169,185,201,,,58,,,,,,,,,,,,,,,,,,,,,,,,,19.6,19.2,21.0,22.8,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,14299
Twelve Mile Creek,29,31,41,32,,,13,,,,,,,,,,,,,,,,,,,,,,,,,18.5,19.7,26.1,20.4,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,13988
Swan Bay (Port Stephens - NSW),76,62,41,88,,,22,,,,,,,,,,,,,,,,,,,,,,,,,24.3,19.8,13.1,28.1,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,13704
Muswellbrook,"2,841","2,958","1,270","3,365",,,377,,,,,,,,,,,,,,,,,,,,,,,,,23.5,24.5,10.5,27.8,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,12868
Denman,302,455,133,725,,,,,,,51,,,,,,,,,,,,,,,,,,,,,16.9,25.5,7.5,40.7,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,11241
Gungal,45,85,35,85,,,,,,,10,,,,,,,,,,,,,,,,,,,,,16.7,31.5,13.0,31.5,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,11810
Martindale,33,34,26,57,,,,,,,6,,,,,,,,,,,,,,,,,,,,,20.0,20.6,15.8,34.5,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,12510
Castle Rock,29,44,28,61,9,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,24.4,15.6,33.9,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10848
Aberdeen (NSW),381,580,183,719,,,63,,,,,,,,,,,,,,,,,,,,,,,,,18.3,27.9,8.8,34.6,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,10007
Wybong,50,24,14,29,,,,,,,4,,,,,,,,,,,,,,,,,,,,,41.3,19.8,11.6,24.0,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,14436
Sandy Hollow,34,34,30,51,,,5,,,,,,,,,,,,,,,,,,,,,,,,,20.9,20.9,18.4,31.3,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,13486
Muscle Creek,67,77,23,115,,,11,,,,,,,,,,,,,,,,,,,,,,,,,21.3,24.4,7.3,36.5,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,12867
McCullys Gap,44,71,22,79,,,18,,,,,,,,,,,,,,,,,,,,,,,,,17.6,28.4,8.8,31.6,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,12540
Scone,925,"1,526",490,"1,929",,,281,,,,,,,,,,,,,,,,,,,,,,,,,16.4,27.1,8.7,34.3,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,13503
Middle Brook,32,51,21,85,,,19,,,,,,,,,,,,,,,,,,,,,,,,,14.7,23.5,9.7,39.2,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,12600
Dartbrook,23,38,4,38,,,4,,,,,,,,,,,,,,,,,,,,,,,,,20.9,34.5,3.6,34.5,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,11217
Segenhoe,41,55,29,74,,,12,,,,,,,,,,,,,,,,,,,,,,,,,18.7,25.1,13.2,33.8,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,13517
Rouchel,17,31,19,48,,,21,,,,,,,,,,,,,,,,,,,,,,,,,11.7,21.4,13.1,33.1,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,13422
Murrurundi,192,211,120,368,,,,,,,36,,,,,,,,,,,,,,,,,,,,,18.8,20.7,11.8,36.1,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,12864
Blandford,36,31,13,91,,,,,,,8,,,,,,,,,,,,,,,,,,,,,19.5,16.8,7.0,49.2,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,10406
Wingen,60,82,81,82,,,11,,,,,,,,,,,,,,,,,,,,,,,,,18.5,25.3,25.0,25.3,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,14331
Parkville (NSW),65,67,20,120,,,15,,,,,,,,,,,,,,,,,,,,,,,,,21.9,22.6,6.7,40.4,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,13154
Upper Dartbrook,20,16,20,81,,3,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,11.2,14.0,56.6,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,14022
Gundy,43,41,36,70,,,9,,,,,,,,,,,,,,,,,,,,,,,,,20.6,19.6,17.2,33.5,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,11809
Moonan Flat,13,32,31,38,,,13,,,,,,,,,,,,,,,,,,,,,,,,,9.7,23.9,23.1,28.4,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,12697
Niangala,33,30,9,34,,,,,,,7,,,,,,,,,,,,,,,,,,,,,27.5,25.0,7.5,28.3,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,12962
Merriwa (NSW),258,548,202,589,,,75,,,,,,,,,,,,,,,,,,,,,,,,,14.8,31.4,11.6,33.7,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,12585
Moobi,31,29,7,67,,,,,,,12,,,,,,,,,,,,,,,,,,,,,20.3,19.0,4.6,43.8,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,12688
Dapto,"2,787","2,806",724,"2,561",,,483,,,,,,,,,,,,,,,,,,,,,,,,,26.0,26.1,6.7,23.9,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,11202
Kanahooka,"1,246","1,533",330,"1,436",,,279,,,,,,,,,,,,,,,,,,,,,,,,,22.3,27.5,5.9,25.7,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,12055
Koonawarra,"1,083",867,242,979,,,94,,,,,,,,,,,,,,,,,,,,,,,,,29.6,23.7,6.6,26.8,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,12187
Avondale (NSW),420,391,145,389,,,92,,,,,,,,,,,,,,,,,,,,,,,,,25.5,23.8,8.8,23.7,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,10116
Marshall Mount,33,42,,14,17,,,,13,,,,,,,,,,,,,,,,,,,,,,,23.4,29.8,,9.9,12.1,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,12507
Haywards Bay,214,316,45,234,39,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,31.2,4.4,23.1,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,11880
Brownsville,134,117,52,155,,,22,,,,,,,,,,,,,,,,,,,,,,,,,25.1,21.9,9.7,29.0,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,10612
Horsley,"2,049","2,285",453,"1,895",,,338,,,,,,,,,,,,,,,,,,,,,,,,,24.9,27.8,5.5,23.0,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,11942
Wongawilli,24,40,11,28,,,,10,,,,,,,,,,,,,,,,,,,,,,,,18.2,30.3,8.3,21.2,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,14374
Kembla Grange,53,85,23,58,8,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,34.6,9.3,23.6,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,12092
Dombarton,32,40,,21,,,,,,,6,,,12,,,,,,,,,,,,,,,,,,24.4,30.5,,16.0,,,,,,,4.6,,,9.2,,,,,,,,,,,,,,,,,,11270
Port Kembla,"1,078","1,342",430,523,,,,746,,,,,,,,,,,,,,,,,,,,,,,,21.5,26.8,8.6,10.4,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,13245
Coniston,591,414,206,212,,,,339,,,,,,,,,,,,,,,,,,,,,,,,26.2,18.4,9.1,9.4,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,11010
Unanderra,"1,315","1,428",623,904,,,216,,,,,,,,,,,,,,,,,,,,,,,,,24.2,26.3,11.5,16.6,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,14008
Mount Kembla,354,275,66,205,,,37,,,,,,,,,,,,,,,,,,,,,,,,,33.4,25.9,6.2,19.3,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,12769
Kembla Heights,56,8,13,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,6.6,10.7,12.3,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,12093
Cordeaux Heights,984,"1,108",,738,224,,,531,,,,,,,,,,,,,,,,,,,,,,,,21.6,24.3,,16.2,4.9,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,11070
Farmborough Heights,"1,035","1,209",290,720,,,,213,,,,,,,,,,,,,,,,,,,,,,,,24.7,28.8,6.9,17.2,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,11491
Berkeley,"1,762","2,148",621,"1,211",,,,420,,,,,,,,,,,,,,,,,,,,,,,,23.2,28.2,8.2,15.9,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,10303
Cringila,307,368,,,179,,,328,,517,,,,,,,,,,,,,,,,,,,,,,14.0,16.7,,,8.1,,,14.9,,23.5,,,,,,,,,,,,,,,,,,,,,,11116
Lake Heights,653,"1,311",270,421,,,,363,,,,,,,,,,,,,,,,,,,,,,,,17.0,34.1,7.0,11.0,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,12248
Warrawong,999,"1,559",432,496,,,,434,,,,,,,,,,,,,,,,,,,,,,,,21.0,32.8,9.1,10.4,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,14167
Windang,690,762,180,641,,,114,,,,,,,,,,,,,,,,,,,,,,,,,26.0,28.7,6.8,24.1,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,14316
Primbee,377,500,158,249,,,,131,,,,,,,,,,,,,,,,,,,,,,,,23.0,30.5,9.6,15.2,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,13264
Mount Keira,470,453,121,234,,,,111,,,,,,,,,,,,,,,,,,,,,,,,28.3,27.3,7.3,14.1,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,12768
