,"No Religion, so described",Catholic,Not stated,Anglican,"Christian, nfd",Buddhism,Uniting Church,Eastern Orthodox,Pentecostal,Islam,Presbyterian and Reformed,Baptist,Seventh-day Adventist,Jehovah's Witnesses,Salvation Army,Lutheran,Other Protestant,Latter-day Saints,Hinduism,Brethren,Other Spiritual Beliefs,Sikhism,Australian Aboriginal Traditional Religions,Oriental Orthodox,Nature Religions,Judaism,Other Christian,Secular Beliefs,Japanese Religions,Assyrian Apostolic,Miscellaneous Religions,"No Religion, so described (%)",Catholic (%),Not stated (%),Anglican (%),"Christian, nfd (%)",Buddhism (%),Uniting Church (%),Eastern Orthodox (%),Pentecostal (%),Islam (%),Presbyterian and Reformed (%),Baptist (%),Seventh-day Adventist (%),Jehovah's Witnesses (%),Salvation Army (%),Lutheran (%),Other Protestant (%),Latter-day Saints (%),Hinduism (%),Brethren (%),Other Spiritual Beliefs (%),Sikhism (%),Australian Aboriginal Traditional Religions (%),Oriental Orthodox (%),Nature Religions (%),Judaism (%),Other Christian (%),Secular Beliefs (%),Japanese Religions (%),Assyrian Apostolic (%),Miscellaneous Religions (%),SSC_CODE
Primrose Valley,60,20,12,41,,5,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,13.5,8.1,27.7,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,13265
Urila,40,34,38,14,,,,,6,,,,,,,,,,,,,,,,,,,,,,,30.3,25.8,28.8,10.6,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,14059
Tarago,110,82,65,98,,,,,,,,17,,,,,,,,,,,,,,,,,,,,25.6,19.1,15.1,22.8,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,13758
Currawang,36,36,43,36,15,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,20.2,24.2,20.2,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,11177
Googong,684,842,282,408,85,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,31.5,10.5,15.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,11704
Wamboin,640,325,200,295,,,66,,,,,,,,,,,,,,,,,,,,,,,,,37.3,18.9,11.7,17.2,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,14123
Bywong,483,329,123,194,,,,,,,43,,,,,,,,,,,,,,,,,,,,,36.9,25.1,9.4,14.8,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,10735
Michelago,176,134,62,127,19,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,23.9,11.1,22.7,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,12598
Jerrabomberra,"2,553","3,014",556,"1,618",,,310,,,,,,,,,,,,,,,,,,,,,,,,,26.8,31.7,5.8,17.0,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,12016
Queanbeyan West,861,904,298,550,,,,,,,83,,,,,,,,,,,,,,,,,,,,,27.6,29.0,9.5,17.6,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,13293
Delegate,79,90,40,99,,,,,,,23,,,,,,,,,,,,,,,,,,,,,22.5,25.6,11.4,28.2,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,11233
