,Average number of people per household,Average number of persons per bedroom,Median weekly household income,Average number of people per household (%),Average number of persons per bedroom (%),Median weekly household income (%),SSC_CODE
Kanwal,3.1,1.0,1111.0,--,--,--,12067
Wyongah,3.3,1.0,1199.0,--,--,--,14448
Tuggerawong,3.0,0.9,1124.0,--,--,--,13951
Rocky Point (NSW),3.0,1.0,1625.0,--,--,--,13388
Gorokan,3.3,1.0,1274.0,--,--,--,11721
Lake Haven,3.0,0.9,837.0,--,--,--,12247
Jilliby,0.0,0.0,1625.0,--,--,--,12027
Wyong Creek,1.5,0.8,1375.0,--,--,--,14447
Lake Munmorah,3.1,1.0,1325.0,--,--,--,12253
Chain Valley Bay,2.8,1.0,1375.0,--,--,--,10880
Kingfisher Shores,4.0,1.2,1625.0,--,--,--,12146
Mannering Park,3.3,0.9,1350.0,--,--,--,12477
Ourimbah,2.8,0.9,1625.0,--,--,--,13103
Gwandalan,3.2,1.0,1305.0,--,--,--,11824
Summerland Point,3.1,0.9,1350.0,--,--,--,13690
Long Jetty,2.9,1.0,1116.0,--,--,--,12378
Shelly Beach (NSW),3.1,0.8,1812.0,--,--,--,13535
Blue Bay,2.8,0.8,1624.0,--,--,--,10414
Toowoon Bay,0.0,0.0,762.0,--,--,--,13916
The Entrance North,2.4,1.1,966.0,--,--,--,13819
Magenta (NSW),1.0,1.0,1416.0,--,--,--,12441
The Entrance,2.9,1.2,883.0,--,--,--,13818
Toukley,2.8,1.0,971.0,--,--,--,13925
Canton Beach,2.3,1.0,1042.0,--,--,--,10798
Noraville,3.2,1.0,1312.0,--,--,--,12974
Norah Head,2.2,0.7,1625.0,--,--,--,12973
Tuggerah,2.8,0.5,1375.0,--,--,--,13950
Wyong,2.9,1.1,924.0,--,--,--,14446
Mardi,3.4,0.9,1774.0,--,--,--,12488
Tacoma South,3.0,0.0,2374.0,--,--,--,13725
Hamlyn Terrace,4.2,1.0,1645.0,--,--,--,11843
Woongarrah,3.9,1.0,2211.0,--,--,--,14415
Warnervale,4.4,0.9,1374.0,--,--,--,14154
Wallarah,4.0,1.5,2125.0,--,--,--,14109
Wadalba,3.2,0.9,1671.0,--,--,--,14080
Watanobbi,3.3,1.0,955.0,--,--,--,14181
Tacoma,3.8,0.8,949.0,--,--,--,13724
Llanarth (NSW),3.7,0.9,2562.0,--,--,--,12362
South Bathurst,3.0,1.0,900.0,--,--,--,13577
Bathurst,2.6,1.0,1040.0,--,--,--,10231
Robin Hill,4.0,1.0,1624.0,--,--,--,13375
West Bathurst,3.0,0.9,962.0,--,--,--,14241
Mitchell (NSW),1.6,1.0,412.0,--,--,--,12650
Gormans Hill,2.8,1.1,860.0,--,--,--,11720
Abercrombie,3.1,0.9,2083.0,--,--,--,10004
Eglinton (NSW),3.5,0.9,1312.0,--,--,--,11386
Windradyne,2.9,0.9,1218.0,--,--,--,14324
Kelso (NSW),3.3,1.0,1175.0,--,--,--,12090
O'Connell (NSW),1.5,0.6,1499.0,--,--,--,13052
Perthville,1.5,0.7,1062.0,--,--,--,13189
Sofala,1.0,0.0,899.0,--,--,--,13569
Wattle Flat (NSW),0.0,1.2,1024.0,--,--,--,14191
Billywillinga,3.0,0.0,1374.0,--,--,--,10357
Rock Forest,2.0,0.5,0.0,--,--,--,13377
Yetholme,5.0,1.1,1874.0,--,--,--,14513
Glanmire (NSW),2.9,1.0,1749.0,--,--,--,11640
Oberon,2.5,0.9,1166.0,--,--,--,13068
Condobolin,3.0,1.0,925.0,--,--,--,11002
Tullamore,2.8,1.0,725.0,--,--,--,13954
Lake Cargelligo,3.1,1.0,850.0,--,--,--,12242
Tullibigeal,0.0,0.0,1999.0,--,--,--,13957
Ungarie,4.0,1.0,850.0,--,--,--,14011
Euabalong,1.7,0.9,875.0,--,--,--,11449
Fifield,2.6,1.0,725.0,--,--,--,11514
Tottenham (NSW),2.0,0.9,612.0,--,--,--,13923
Cowra,3.0,0.9,895.0,--,--,--,11099
Canowindra,2.1,0.7,1041.0,--,--,--,10796
Woodstock (Cowra - NSW),3.2,0.9,762.0,--,--,--,14394
Gooloogong,2.4,0.8,1375.0,--,--,--,11709
Mandurama,2.0,1.0,725.0,--,--,--,12467
Wattamondara,1.0,0.3,574.0,--,--,--,14190
Darbys Falls,3.0,1.0,1124.0,--,--,--,11205
Forbes (NSW),2.9,0.9,1016.0,--,--,--,11536
Eugowra,2.7,1.0,1124.0,--,--,--,11454
Grenfell,3.1,0.9,1093.0,--,--,--,11776
Greenethorpe,0.0,1.0,949.0,--,--,--,11760
Quandialla,2.0,0.0,824.0,--,--,--,13290
Parkes (NSW),3.2,1.0,977.0,--,--,--,13151
Cookamidgera,0.0,0.7,0.0,--,--,--,11016
Peak Hill (NSW),2.8,0.9,662.0,--,--,--,13166
Trundle,2.7,0.6,1062.0,--,--,--,13940
Bogan Gate,1.5,0.6,649.0,--,--,--,10438
Alectown,2.0,0.0,1125.0,--,--,--,10029
West Wyalong,3.0,0.9,1079.0,--,--,--,14256
Weethalle,2.0,0.6,949.0,--,--,--,14215
Barellan,2.7,0.9,974.0,--,--,--,10197
Barmedman,4.5,1.2,1124.0,--,--,--,10202
South Bowenfels,5.0,1.1,4249.0,--,--,--,13578
Marrangaroo,3.9,1.1,1999.0,--,--,--,12502
Lithgow,2.5,0.9,1079.0,--,--,--,12347
Bowenfels,3.0,0.9,792.0,--,--,--,10529
Rydal,5.0,1.6,0.0,--,--,--,13452
Pottery Estate,2.0,0.0,900.0,--,--,--,13254
Oakey Park,1.9,0.8,1874.0,--,--,--,13055
Morts Estate,3.0,1.3,1166.0,--,--,--,12732
Hermitage Flat,2.0,0.8,900.0,--,--,--,11895
McKellars Park,2.5,0.7,899.0,--,--,--,12544
South Littleton,2.9,0.0,725.0,--,--,--,13590
Littleton,3.0,1.3,1125.0,--,--,--,12360
Vale Of Clwydd,2.0,0.7,850.0,--,--,--,14064
Portland (NSW),3.1,0.9,1013.0,--,--,--,13250
Lidsdale,3.1,1.0,2249.0,--,--,--,12318
Wallerawang,3.2,1.0,900.0,--,--,--,14114
Hartley (NSW),2.9,1.1,2125.0,--,--,--,11861
Cullen Bullen,2.0,0.6,900.0,--,--,--,11148
Mudgee,3.2,1.0,1284.0,--,--,--,12812
Spring Flat,1.5,0.0,1749.0,--,--,--,13613
Kandos,2.4,1.0,741.0,--,--,--,12057
Rylstone,2.8,0.9,1374.0,--,--,--,13457
Ilford,0.0,0.0,724.0,--,--,--,11971
Clandulla,4.5,0.0,900.0,--,--,--,10916
Charbon,3.1,1.4,743.0,--,--,--,10883
Gulgong,3.0,0.9,1125.0,--,--,--,11794
Dunedoo,3.1,1.0,1031.0,--,--,--,11316
Cassilis (NSW),2.5,1.0,849.0,--,--,--,10844
Stubbo,4.0,0.0,1999.0,--,--,--,13682
Yarrawonga (NSW),4.3,1.0,1375.0,--,--,--,14486
Cooks Gap,3.1,1.0,1437.0,--,--,--,11018
Frog Rock,4.0,1.0,2749.0,--,--,--,11570
Cooyal,3.0,0.6,2249.0,--,--,--,11055
St Fillans,4.0,1.0,0.0,--,--,--,13634
Hargraves,2.0,0.0,575.0,--,--,--,11854
Buckaroo,2.0,0.0,949.0,--,--,--,10630
Blayney,3.4,0.9,1156.0,--,--,--,10410
Millthorpe,3.0,1.0,1125.0,--,--,--,12623
Lyndhurst (Blayney - NSW),1.6,0.5,1562.0,--,--,--,12426
Forest Reefs,0.0,1.0,1375.0,--,--,--,11547
Neville,0.0,0.0,599.0,--,--,--,12937
Orange,3.1,1.0,1157.0,--,--,--,13092
Clifton Grove,2.7,0.8,2166.0,--,--,--,10934
Cumnock,2.0,1.0,1012.0,--,--,--,11159
Molong,3.1,0.9,1233.0,--,--,--,12671
Manildra,4.0,0.0,1624.0,--,--,--,12473
Cargo,3.0,0.9,1437.0,--,--,--,10813
Spring Hill (Cabonne - NSW),4.7,1.1,2124.0,--,--,--,13615
Lucknow (NSW),3.0,1.0,1875.0,--,--,--,12418
Mullion Creek,3.5,0.9,2249.0,--,--,--,12826
Windera (NSW),4.0,1.0,2374.0,--,--,--,14319
Borenore,2.0,0.0,1124.0,--,--,--,10513
Yeoval,3.1,0.8,933.0,--,--,--,14507
Grafton,2.8,1.0,1027.0,--,--,--,11733
Rushforth,2.0,1.0,1374.0,--,--,--,13446
South Grafton,3.1,1.0,865.0,--,--,--,13582
Junction Hill,3.2,0.9,1199.0,--,--,--,12045
Tucabia,2.0,0.0,850.0,--,--,--,13945
Ulmarra,2.5,0.5,849.0,--,--,--,14004
Nymboida,0.0,0.0,824.0,--,--,--,13048
Glenreagh,3.1,1.1,1075.0,--,--,--,11675
Wells Crossing,2.8,1.1,899.0,--,--,--,14223
Wooli,1.6,0.0,450.0,--,--,--,14403
Halfway Creek,2.0,2.0,774.0,--,--,--,11831
Copmanhurst,2.9,0.6,749.0,--,--,--,11060
Waterview Heights,4.5,1.0,1375.0,--,--,--,14186
Lawrence (NSW),2.4,0.9,1125.0,--,--,--,12288
Eatonsville,3.0,1.2,1625.0,--,--,--,11370
Seelands,2.6,0.8,1437.0,--,--,--,13515
Ashby Heights,6.0,1.5,0.0,--,--,--,10095
Ashby (NSW),2.0,0.0,1625.0,--,--,--,10094
Woodford Island,2.0,1.3,900.0,--,--,--,14384
Elland,2.0,0.0,3249.0,--,--,--,11399
Coutts Crossing,4.7,1.2,1531.0,--,--,--,11094
Lanitza,1.0,0.0,1187.0,--,--,--,12270
Braunstone,2.7,0.0,900.0,--,--,--,10550
Clarenza,0.0,0.7,2624.0,--,--,--,10922
Pillar Valley,3.0,1.0,1187.0,--,--,--,13204
Tyndale,1.5,1.0,649.0,--,--,--,13997
Ilarwill,2.0,1.0,850.0,--,--,--,11970
Yamba (NSW),3.4,1.1,1153.0,--,--,--,14458
Gulmarrad,3.5,0.9,1187.0,--,--,--,11795
Woombah,3.2,1.0,1124.0,--,--,--,14414
Maclean,3.1,1.0,877.0,--,--,--,12431
Iluka (NSW),2.4,1.1,725.0,--,--,--,11975
Harwood,3.7,1.1,900.0,--,--,--,11865
Townsend,3.6,1.0,1300.0,--,--,--,13928
Bellingen,3.8,1.1,1270.0,--,--,--,10273
Fernmount,3.0,0.0,1625.0,--,--,--,11509
Kalang,0.0,1.3,2624.0,--,--,--,12050
Coffs Harbour,3.0,1.0,1023.0,--,--,--,10959
North Boambee Valley,3.5,0.9,1437.0,--,--,--,12983
Coramba,2.8,1.1,1541.0,--,--,--,11065
Nana Glen,3.4,1.1,1166.0,--,--,--,12889
Upper Orara,2.0,0.0,1562.0,--,--,--,14041
Bucca (NSW),2.3,0.0,0.0,--,--,--,10625
Karangi,3.0,0.9,1375.0,--,--,--,12072
Ulong,2.5,1.0,575.0,--,--,--,14005
Lowanna,3.3,0.0,612.0,--,--,--,12398
Dorrigo,3.1,0.8,1083.0,--,--,--,11278
Fernbrook,1.0,0.0,999.0,--,--,--,11506
Bostobrick,3.5,1.0,900.0,--,--,--,10516
Sapphire Beach,2.7,1.2,2083.0,--,--,--,13491
Emerald Beach,3.5,0.9,1463.0,--,--,--,11411
Korora,3.6,0.9,1406.0,--,--,--,12197
Moonee Beach,3.2,0.9,1833.0,--,--,--,12703
Toormina,3.2,1.0,835.0,--,--,--,13912
Boambee East,3.1,1.0,1257.0,--,--,--,10422
Boambee,3.9,0.9,1874.0,--,--,--,10421
Sawtell,3.1,1.2,1042.0,--,--,--,13498
Bonville,3.1,0.7,1812.0,--,--,--,10474
Mylestom,4.0,0.8,899.0,--,--,--,12875
Raleigh,3.0,1.0,1208.0,--,--,--,13307
Urunga,2.9,0.9,1036.0,--,--,--,14061
Repton,3.1,0.8,1125.0,--,--,--,13352
Valla,4.0,0.9,1687.0,--,--,--,14067
Woolgoolga,3.2,1.0,1034.0,--,--,--,14402
Safety Beach (NSW),2.5,0.8,1874.0,--,--,--,13462
Sandy Beach,3.3,0.9,1208.0,--,--,--,13479
Corindi Beach,4.0,1.1,1362.0,--,--,--,11073
Red Rock,2.3,0.7,724.0,--,--,--,13334
Arrawarra,2.0,0.9,575.0,--,--,--,10088
Arrawarra Headland,3.0,1.0,1375.0,--,--,--,10089
Mullaway,3.4,1.1,1437.0,--,--,--,12822
Bourke,3.0,0.9,1208.0,--,--,--,10522
Wanaaring,6.0,2.0,1124.0,--,--,--,14126
North Bourke,2.4,0.7,1458.0,--,--,--,12985
Enngonia,2.4,0.8,725.0,--,--,--,11426
Brewarrina,3.0,0.9,826.0,--,--,--,10563
Cobar,2.8,0.8,1294.0,--,--,--,10949
Coonamble,3.0,0.9,928.0,--,--,--,11044
Gulargambone,2.5,0.9,680.0,--,--,--,11792
Nyngan,3.1,1.0,963.0,--,--,--,13049
Warren,2.7,1.0,942.0,--,--,--,14171
Ravenswood (NSW),2.8,0.9,493.0,--,--,--,13321
Cumborah,2.8,0.9,450.0,--,--,--,11158
Goodooga,2.9,0.7,640.0,--,--,--,11702
Pilliga,3.4,1.1,537.0,--,--,--,13205
Come By Chance,0.0,1.0,725.0,--,--,--,10993
Walgett,3.2,1.0,789.0,--,--,--,14096
Lightning Ridge,2.6,0.9,733.0,--,--,--,12320
Collarenebri,3.1,0.9,809.0,--,--,--,10969
Rowena,1.0,0.5,1125.0,--,--,--,13431
Broken Hill,2.9,1.0,1029.0,--,--,--,10592
Menindee,2.8,0.9,835.0,--,--,--,12571
Wilcannia,3.2,1.0,982.0,--,--,--,14290
Tibooburra,1.6,0.8,1124.0,--,--,--,13860
Ivanhoe (NSW),1.6,0.4,900.0,--,--,--,11991
Baradine,2.9,0.8,966.0,--,--,--,10190
Coonabarabran,3.0,0.9,820.0,--,--,--,11043
Binnaway,1.9,0.8,1087.0,--,--,--,10372
Mendooran,3.2,0.9,725.0,--,--,--,12570
Coolah,2.8,0.7,662.0,--,--,--,11024
Bugaldie,1.6,0.0,725.0,--,--,--,10646
Ulamambri,4.3,0.5,900.0,--,--,--,14001
Merrygoen,6.0,1.2,1625.0,--,--,--,12587
Dubbo,3.2,1.0,1200.0,--,--,--,11296
Brocklehurst,4.1,1.3,1775.0,--,--,--,10583
Wongarbon,2.3,1.0,1416.0,--,--,--,14373
Eumungerie,1.5,0.7,850.0,--,--,--,11456
Ballimore,4.0,1.0,2125.0,--,--,--,10161
Gilgandra,2.9,0.9,884.0,--,--,--,11619
Tooraweenah,2.0,1.0,425.0,--,--,--,13911
Narromine,3.2,0.9,1034.0,--,--,--,12911
Burroway,2.0,0.4,1875.0,--,--,--,10715
Trangie,2.7,0.9,1038.0,--,--,--,13932
Tomingley,5.0,1.6,1125.0,--,--,--,13896
Wellington (NSW),2.9,0.9,795.0,--,--,--,14221
Mumbil,2.1,0.8,725.0,--,--,--,12832
Stuart Town,4.3,1.2,1625.0,--,--,--,13680
Neurea,0.0,0.0,2499.0,--,--,--,12933
Geurie,3.0,0.8,1125.0,--,--,--,11608
Montefiores,3.4,1.0,1781.0,--,--,--,12685
Greta (NSW),3.6,1.0,1625.0,--,--,--,11778
Lower Belford,3.0,1.0,2625.0,--,--,--,12401
Belford,3.5,0.9,3124.0,--,--,--,10258
Branxton,3.5,1.1,1343.0,--,--,--,10549
Pokolbin,3.4,0.7,1499.0,--,--,--,13236
Lovedale,0.0,0.0,2750.0,--,--,--,12396
East Branxton,2.8,0.9,1767.0,--,--,--,11346
North Rothbury,3.3,1.0,1375.0,--,--,--,13004
Leconfield,5.0,3.0,1875.0,--,--,--,12291
Cessnock,3.1,1.0,1087.0,--,--,--,10878
Nulkaba,2.8,0.8,2625.0,--,--,--,13031
Aberdare,3.2,1.0,1107.0,--,--,--,10006
Kearsley,3.0,1.0,1292.0,--,--,--,12080
Bellbird,3.0,1.0,1273.0,--,--,--,10268
Bellbird Heights,3.0,0.9,1687.0,--,--,--,10269
Ellalong,3.5,1.1,1374.0,--,--,--,11398
Kitchener,2.8,1.0,962.0,--,--,--,12174
Abernethy,3.8,1.0,1624.0,--,--,--,10011
Mulbring,3.3,1.0,2166.0,--,--,--,12813
Millfield,3.6,0.9,1375.0,--,--,--,12620
Paxton,3.3,0.9,1083.0,--,--,--,13162
Mount Vincent,2.0,0.0,2624.0,--,--,--,12799
Quorrobolong,3.0,0.0,1999.0,--,--,--,13302
Clarence Town,3.5,1.1,1562.0,--,--,--,10920
Dungog,3.1,1.0,1055.0,--,--,--,11320
Paterson (NSW),4.0,1.0,2124.0,--,--,--,13159
Martins Creek,2.1,0.5,1124.0,--,--,--,12511
Vacy,4.0,1.2,1562.0,--,--,--,14063
East Gresford,2.4,0.6,1187.0,--,--,--,11350
Gresford,4.5,1.0,2250.0,--,--,--,11777
Abermain,3.4,1.1,1357.0,--,--,--,10010
Weston (NSW),3.3,1.1,949.0,--,--,--,14262
Kurri Kurri,3.2,1.0,1256.0,--,--,--,12221
Stanford Merthyr,2.0,0.8,899.0,--,--,--,13647
Pelaw Main,3.5,1.0,1292.0,--,--,--,13177
Heddon Greta,3.5,1.0,2031.0,--,--,--,11888
Neath,3.1,1.0,1062.0,--,--,--,12917
Cliftleigh,4.1,1.2,1792.0,--,--,--,10932
Sawyers Gully,5.0,0.6,2250.0,--,--,--,13499
Hunterview,3.3,0.9,2533.0,--,--,--,11955
