,Married,Separated or divorced,Widowed,Never married,Married (%),Separated or divorced (%),Widowed (%),Never married (%)
Abbotsbury,1887.0,194.0,67.0,1066.0,58.7,6.0,2.1,33.2
Australia,7900684.0,1801979.0,936813.0,5278600.0,49.6,11.3,5.9,33.2
Abbotsford,2031.0,526.0,249.0,1406.0,48.2,12.5,5.9,33.3
Acacia Gardens,1439.0,138.0,53.0,686.0,62.2,6.0,2.3,29.6
Adamstown,1690.0,609.0,318.0,1638.0,39.7,14.3,7.5,38.5
Adamstown Heights,2572.0,347.0,243.0,1130.0,60.0,8.1,5.7,26.3
Airds,662.0,461.0,115.0,1203.0,27.1,18.9,4.7,49.3
Albion Park,4751.0,777.0,292.0,2436.0,57.5,9.4,3.5,29.5
Albion Park Rail,2736.0,638.0,314.0,1655.0,51.2,11.9,5.9,31.0
Alexandria,1425.0,486.0,103.0,3267.0,27.0,9.2,2.0,61.9
Alfords Point,1628.0,113.0,46.0,840.0,61.9,4.3,1.8,32.0
Allambie Heights,2894.0,467.0,458.0,1384.0,55.6,9.0,8.8,26.6
Allawah,1962.0,547.0,177.0,1427.0,47.7,13.3,4.3,34.7
Ambarvale,2382.0,699.0,171.0,2230.0,43.4,12.7,3.1,40.6
Annandale,2532.0,865.0,252.0,3477.0,35.5,12.1,3.5,48.8
Argenton,468.0,148.0,93.0,377.0,43.0,13.6,8.5,34.6
Arncliffe,3430.0,760.0,432.0,2204.0,50.3,11.1,6.3,32.3
Artarmon,3271.0,638.0,258.0,2871.0,46.5,9.1,3.7,40.8
Ashbury,1487.0,185.0,140.0,793.0,57.1,7.1,5.4,30.4
Ashcroft,991.0,329.0,163.0,799.0,43.5,14.4,7.2,35.1
Ashfield,7902.0,1947.0,1168.0,7234.0,43.3,10.7,6.4,39.6
Asquith,1399.0,218.0,143.0,756.0,55.7,8.7,5.7,30.1
Auburn,12148.0,1951.0,1114.0,7568.0,53.3,8.6,4.9,33.2
Austinmer,928.0,190.0,69.0,573.0,52.7,10.8,3.9,32.5
Avoca Beach,1803.0,408.0,135.0,930.0,55.0,12.4,4.1,28.4
Balgowlah,2602.0,620.0,282.0,1637.0,50.6,12.1,5.5,31.9
Balgowlah Heights,1575.0,132.0,136.0,540.0,66.0,5.5,5.7,22.6
