,Australia,Australia (%)
Abbotsbury,2668.0,63.6
New South Wales,4747372.0,68.6
Australia,15017847.0,69.8
Abbotsford (NSW),3362.0,65.8
Acacia Gardens,2218.0,60.2
Adamstown,4796.0,85.0
Adamstown Heights,4335.0,83.8
Airds,2613.0,74.5
Albion Park,10795.0,83.9
Albion Park Rail,5604.0,80.0
Alexandria,4289.0,60.9
Alfords Point,2517.0,76.2
Allambie Heights,4816.0,71.4
Allawah,1977.0,36.8
Ambarvale,4853.0,67.3
Annandale (NSW),5860.0,67.6
Argenton,1193.0,87.2
Arncliffe,4362.0,51.8
Artarmon,4384.0,50.7
Ashbury,1993.0,63.6
Ashcroft,1908.0,57.7
Ashfield (NSW),8999.0,40.6
Asquith,2324.0,66.9
Auburn (NSW),10552.0,31.9
Austinmer,1957.0,79.8
Avoca Beach,3339.0,77.3
Balgowlah,4928.0,65.8
Balgowlah Heights,2221.0,67.9
Balgownie,4082.0,75.0
Balmain,6214.0,63.5
Balmain East,1225.0,65.6
Bangor (NSW),4529.0,80.6
Banksia,1640.0,50.7
Bankstown,11687.0,38.2
Bar Beach,891.0,79.1
Barden Ridge,3347.0,82.8
Bardwell Park,1425.0,62.9
Bardwell Valley,1374.0,62.3
Barnsley,1642.0,90.5
Barrack Heights,4303.0,71.5
Barrack Point,500.0,79.6
Bass Hill,4926.0,60.3
Bateau Bay,9988.0,84.9
Baulkham Hills,22248.0,65.5
Bayview (NSW),2194.0,71.0
Beacon Hill,4774.0,69.2
Beaconsfield (NSW),494.0,54.6
Beecroft,6097.0,69.0
Belfield,3386.0,56.1
Bella Vista,4105.0,56.1
Bellambi,3132.0,78.1
Bellevue Hill,6063.0,56.3
Belmont (NSW),5556.0,86.5
Belmont North,5728.0,88.4
Belmont South,1048.0,87.0
Belmore,5330.0,42.4
Belrose,5841.0,70.5
Bensville,2145.0,82.3
Berala,3456.0,39.3
Berkeley,5364.0,72.2
Berkeley Vale,7324.0,86.3
Berowra,3451.0,74.7
Berowra Heights,4036.0,79.1
Beverley Park,1369.0,65.1
Beverly Hills,4948.0,51.2
Bexley,10034.0,52.6
Bexley North,2255.0,56.4
Bidwill (NSW),3338.0,72.7
Birchgrove,2036.0,65.6
Birmingham Gardens,1557.0,73.3
Birrong,1487.0,50.3
Blackalls Park,2413.0,87.4
Blackbutt (NSW),2320.0,73.5
Blackett,2335.0,68.4
Blacksmiths,1628.0,88.4
Blacktown,21766.0,50.2
Blackwall (NSW),1398.0,80.5
Blairmount,302.0,62.8
Blakehurst,4120.0,67.5
Blaxland (NSW),6060.0,82.7
Blue Bay,828.0,80.8
Blue Haven,5198.0,84.3
Bolton Point,2031.0,88.4
Bondi,4337.0,45.1
Bondi Beach,5085.0,47.3
Bondi Junction,3777.0,43.6
Bonnet Bay,1684.0,79.0
Bonnyrigg,3348.0,42.0
Bonnyrigg Heights,3339.0,46.3
Booker Bay,924.0,81.5
Boolaroo,844.0,90.3
Booragul,1243.0,87.8
Bossley Park,6805.0,48.5
Botany,5804.0,65.3
Bow Bowing,1011.0,63.9
Bradbury (NSW),6290.0,72.0
Broadmeadow,1239.0,79.9
Bronte,4237.0,62.1
Brookvale,1391.0,53.8
Budgewoi,2735.0,84.1
Buff Point,2748.0,83.6
Bulli,4686.0,82.6
Burwood (NSW),3785.0,30.4
Burwood Heights,467.0,57.8
Busby,2362.0,56.1
Cabarita (NSW),1171.0,60.8
Cabramatta,6106.0,29.4
Cabramatta West,2784.0,41.1
Cambridge Gardens,1644.0,80.7
Cambridge Park,4912.0,79.7
Camden,2618.0,80.7
Camden South,3652.0,84.1
Cammeray,4236.0,62.5
Campbelltown (NSW),7034.0,67.6
Camperdown (NSW),4530.0,57.6
Campsie,6107.0,28.8
Canada Bay,824.0,63.7
Canley Heights,4213.0,40.3
Canley Vale,3323.0,35.7
Canterbury (NSW),2812.0,45.6
Canton Beach,876.0,81.6
Cardiff (NSW),4985.0,86.3
Cardiff Heights,1083.0,84.6
Cardiff South,2660.0,89.8
Caringbah,8254.0,75.3
Carlingford,10814.0,50.1
Carlton (NSW),4617.0,47.1
Carramar (NSW),1345.0,39.2
Carrington (Newcastle - NSW),1553.0,82.8
Carss Park,896.0,73.6
Cartwright,1257.0,55.7
Castle Cove,1499.0,59.4
Castle Hill (NSW),23609.0,62.3
Castlecrag,1969.0,66.6
Casula,7750.0,52.7
Caves Beach,3389.0,86.1
Cecil Hills,3748.0,54.6
Centennial Park (NSW),1212.0,57.6
Charlestown (NSW),10477.0,84.4
Charmhaven,1981.0,85.2
Chatswood,7850.0,37.0
Chatswood West,883.0,61.9
Cheltenham (NSW),1448.0,70.0
Cherrybrook,10076.0,53.7
Chester Hill,6440.0,54.8
Chifley (NSW),2169.0,69.0
Chippendale,1554.0,38.3
Chipping Norton,5765.0,65.2
Chiswick,1471.0,59.5
Chittaway Bay,1634.0,85.9
Chittaway Point,755.0,84.3
Church Point,751.0,66.9
Claremont Meadows,3059.0,73.7
Claymore,2056.0,62.2
Clontarf (NSW),1148.0,67.8
Clovelly,3088.0,67.4
Coal Point,1475.0,85.3
Coledale,973.0,83.2
Collaroy (NSW),10579.0,73.5
Colyton,5563.0,69.6
Como (NSW),3166.0,83.6
Concord,9014.0,63.7
Concord West,3711.0,63.4
Condell Park,5620.0,54.0
Coniston,1331.0,61.0
Connells Point,1931.0,71.5
Coogee (NSW),8076.0,57.6
Cooks Hill,2974.0,82.1
Copacabana,2175.0,80.9
Cordeaux Heights,3687.0,78.1
Corrimal,4812.0,76.1
Cranebrook,11906.0,80.9
Cremorne (NSW),6228.0,56.4
Cremorne Point,1201.0,60.7
Cringila,1010.0,47.8
Cromer (NSW),5273.0,73.6
Cronulla,13252.0,77.8
Croudace Bay,479.0,88.1
Crows Nest (NSW),2287.0,56.5
Croydon (NSW),5696.0,54.9
Croydon Park (NSW),6078.0,56.6
Curl Curl,1863.0,77.2
Currans Hill,4078.0,81.1
Daceyville,671.0,57.6
Daleys Point,447.0,75.9
Dapto,8359.0,77.9
Darling Point,2227.0,56.8
Darlinghurst,4749.0,47.2
Darlington (Sydney - NSW),1271.0,56.7
Davidson,1684.0,69.7
Davistown,2011.0,84.0
Dawes Point,288.0,53.1
Dean Park,1846.0,59.5
Dee Why,11123.0,56.1
Denistone,2294.0,64.3
Denistone East,1270.0,60.5
Denistone West,591.0,64.7
Dharruk,1711.0,61.9
Dolans Bay,462.0,83.4
Dolls Point,1078.0,60.5
Doonside,7278.0,55.6
Double Bay,2658.0,56.7
Dover Heights,2116.0,53.7
Drummoyne,7387.0,64.9
Dudley,2011.0,88.7
Dulwich Hill,7324.0,56.4
Dundas (NSW),2172.0,56.0
Dundas Valley,2578.0,55.7
Dural (Hornsby - NSW),5076.0,69.0
Eagle Vale,3826.0,67.1
Earlwood,9859.0,58.8
East Gosford,2962.0,75.8
East Hills,2404.0,73.4
East Killara,1286.0,44.6
East Lindfield,2247.0,62.0
East Ryde,1671.0,71.5
Eastern Creek,552.0,69.3
Eastlakes,2743.0,39.6
Eastwood (NSW),7014.0,43.3
Edensor Park,4622.0,49.0
Edgecliff,1045.0,52.7
Edgeworth,5541.0,88.6
Elanora Heights,2961.0,76.9
Elderslie (Camden - NSW),3571.0,84.0
Eleebana,4652.0,84.6
Elermore Vale,4345.0,83.8
Elizabeth Bay,2640.0,51.8
Emerton,1448.0,60.5
Empire Bay,1913.0,84.1
Emu Heights (NSW),2792.0,83.0
Emu Plains,6450.0,79.7
Enfield (NSW),1375.0,50.9
Engadine,14276.0,84.6
Enmore (Marrickville - NSW),2126.0,59.6
Epping (NSW),10020.0,49.5
Erina,3532.0,76.2
Ermington,5636.0,59.5
Erskine Park,4860.0,72.9
Erskineville,4376.0,63.9
Eschol Park,1924.0,72.5
Ettalong Beach,3617.0,78.2
Fairfield (NSW),5563.0,32.7
Fairfield East,2124.0,41.8
Fairfield Heights,2348.0,35.3
Fairfield West,4785.0,44.5
Fairlight,3452.0,62.9
Fairy Meadow,4464.0,67.8
Farmborough Heights,3279.0,78.5
Faulconbridge,3239.0,81.2
Fennell Bay,1285.0,87.2
Figtree,7958.0,74.9
Five Dock,5518.0,63.1
Fletcher (NSW),2316.0,84.8
Flinders (NSW),4052.0,77.9
Floraville,1371.0,88.9
Forest Lodge,1627.0,59.8
Forestville (NSW),5242.0,66.9
Forresters Beach,2092.0,83.7
Frenchs Forest,9319.0,70.6
Garden Suburb,1643.0,85.3
Gateshead,3115.0,87.2
Georges Hall,5598.0,64.6
Georgetown (NSW),1727.0,86.3
Girraween (NSW),2094.0,44.6
Gladesville,7424.0,67.7
Glebe (NSW),6384.0,57.4
Glen Alpine,3076.0,70.8
Glenbrook,4178.0,84.5
Glendale (NSW),2865.0,87.3
Glendenning,2762.0,55.0
Glenfield (NSW),3840.0,50.8
Glenhaven,4489.0,73.6
Glenmore Park,15525.0,76.6
Glenning Valley,1740.0,84.9
Glenwood (NSW),8336.0,54.4
Gordon (NSW),3525.0,53.5
Gorokan,6410.0,83.5
Gosford,2157.0,63.6
Granville (NSW),5259.0,37.6
Grays Point,2309.0,82.7
Green Point (Great Lakes - NSW),471.0,80.4
Green Valley (NSW),5652.0,45.6
Greenacre,12641.0,54.5
Greenfield Park,2027.0,42.6
