,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Roseville,10082.0,0.485,0.515,38.0,2717.0,1.9,1.0,3581.0,3.0,2832.0,3000.0,630.0,1.7
Roseville Chase,1616.0,0.502,0.498,42.0,444.0,1.9,1.2,554.0,3.1,3029.0,3800.0,730.0,2.0
Rouse Hill,7965.0,0.503,0.49700000000000005,34.0,2081.0,2.1,1.3,2537.0,3.4,2401.0,2600.0,595.0,2.2
Rozelle,8725.0,0.478,0.522,38.0,2341.0,1.6,0.5,4144.0,2.3,2873.0,3000.0,655.0,1.3
Ruse,5584.0,0.488,0.512,37.0,1596.0,1.9,0.9,2012.0,2.9,1641.0,1800.0,400.0,2.0
Rushcutters Bay,2547.0,0.505,0.495,37.0,478.0,1.3,0.1,1680.0,1.6,1708.0,1900.0,420.0,0.6
Russell Lea,5001.0,0.47600000000000003,0.524,41.0,1321.0,1.8,0.8,2012.0,2.7,2148.0,2800.0,510.0,1.7
Russell Vale,1547.0,0.499,0.501,39.0,425.0,1.9,0.9,596.0,2.7,1452.0,1950.0,350.0,1.8
Rydalmere,6642.0,0.495,0.505,37.0,1777.0,1.8,0.9,2486.0,2.8,1553.0,2167.0,400.0,1.7
Ryde,26499.0,0.48700000000000004,0.513,36.0,7113.0,1.7,0.7,10888.0,2.6,1714.0,2200.0,465.0,1.5
Sadleir,3135.0,0.498,0.502,33.0,730.0,2.2,1.2,1099.0,3.1,861.0,1691.0,209.0,1.5
San Remo,4351.0,0.488,0.512,35.0,1176.0,2.0,0.9,1703.0,2.7,1146.0,1517.0,340.0,1.9
Sandringham,1238.0,0.479,0.521,46.0,343.0,1.9,0.7,541.0,2.5,1715.0,2383.0,470.0,1.8
Sans Souci,10304.0,0.474,0.526,44.0,2806.0,1.8,0.7,4523.0,2.5,1536.0,2393.0,460.0,1.7
Saratoga,3938.0,0.484,0.516,40.0,1115.0,1.9,0.9,1537.0,2.8,1638.0,2000.0,405.0,2.0
Scarborough,308.0,0.513,0.48700000000000004,39.0,87.0,1.8,1.0,121.0,3.1,2058.0,2500.0,430.0,2.0
Schofields,4983.0,0.504,0.49600000000000005,32.0,1358.0,1.9,1.1,1742.0,3.1,2051.0,2400.0,470.0,2.1
Scotland Island,579.0,0.514,0.48600000000000004,45.0,154.0,1.8,0.8,359.0,2.6,1800.0,2173.0,465.0,1.4
Seaforth,7139.0,0.48200000000000004,0.518,40.0,1930.0,2.0,1.2,2457.0,3.2,3384.0,3700.0,780.0,1.9
Sefton,5808.0,0.502,0.498,34.0,1419.0,2.1,1.2,1876.0,3.3,1276.0,2000.0,400.0,1.8
Seven Hills,19326.0,0.504,0.49600000000000005,36.0,5174.0,1.8,0.9,6953.0,2.9,1551.0,2058.0,380.0,1.7
Shalvey,3467.0,0.48,0.52,30.0,880.0,2.1,1.2,1142.0,3.2,1167.0,1733.0,280.0,1.6
Shell Cove,5624.0,0.49600000000000005,0.504,36.0,1581.0,2.1,1.2,1867.0,3.2,2155.0,2194.0,550.0,2.2
Shellharbour,3561.0,0.498,0.502,44.0,1011.0,1.8,0.8,1508.0,2.6,1395.0,1733.0,350.0,1.9
