,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Woronora Heights,2855.0,0.498,0.502,40.0,825.0,2.0,1.3,876.0,3.4,2843.0,2383.0,600.0,2.6
Woy Woy,10643.0,0.47100000000000003,0.529,48.0,2735.0,1.7,0.6,5151.0,2.2,947.0,1700.0,335.0,1.3
Woy Woy Bay,419.0,0.522,0.478,49.0,128.0,1.6,0.6,199.0,2.6,1864.0,2167.0,400.0,2.0
Wyoming,10134.0,0.474,0.526,42.0,2579.0,1.9,0.8,4157.0,2.5,1194.0,1733.0,350.0,1.6
Wyong,4326.0,0.493,0.507,45.0,1070.0,1.8,0.6,1970.0,2.3,918.0,1517.0,300.0,1.5
Wyongah,2020.0,0.49,0.51,36.0,563.0,1.9,0.9,780.0,2.8,1337.0,1603.0,350.0,2.0
Yagoona,18013.0,0.5,0.5,34.0,4397.0,2.1,1.1,5947.0,3.2,1203.0,2000.0,380.0,1.8
Yarrawarrah,2733.0,0.488,0.512,40.0,801.0,1.9,1.0,940.0,3.0,2288.0,2200.0,550.0,2.2
Yattalunga,551.0,0.494,0.506,38.0,155.0,1.8,0.8,212.0,2.8,1468.0,1800.0,395.0,2.0
Yennora,1615.0,0.49600000000000005,0.504,40.0,339.0,2.2,1.0,519.0,3.0,749.0,1950.0,175.0,1.3
Yowie Bay,3074.0,0.48700000000000004,0.513,44.0,858.0,2.0,1.1,1076.0,3.0,2488.0,2800.0,685.0,2.2
Zetland,10078.0,0.499,0.501,28.0,2260.0,1.3,0.2,5122.0,2.2,1758.0,2200.0,650.0,1.0
