,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Australian citizenship (%),People born overseas (%),Overseas visitors (excluded from people counts) (%)
Schofields,2671.0,616.0,13.0,89.0,20.5,0.4
Scotland Island,563.0,219.0,0.0,76.7,29.8,0.0
Seaforth,5262.0,1586.0,53.0,87.0,26.2,0.9
Sefton,4695.0,1954.0,14.0,91.6,38.1,0.3
Seven Hills,15541.0,5495.0,57.0,88.0,31.1,0.3
Shalvey,3103.0,815.0,3.0,82.7,21.7,0.1
Shell Cove,1093.0,223.0,3.0,91.5,18.7,0.3
Shellharbour,3038.0,616.0,4.0,91.2,18.5,0.1
Shelly Beach,1219.0,118.0,9.0,93.8,9.1,0.7
Shortland,3842.0,442.0,247.0,89.3,10.3,5.4
Silverwater,886.0,439.0,3.0,80.1,39.7,0.3
Smithfield,8791.0,4412.0,24.0,84.9,42.6,0.2
South Coogee,4211.0,1304.0,58.0,84.7,26.2,1.2
South Granville,2861.0,1182.0,18.0,87.2,36.0,0.5
South Hurstville,3704.0,1573.0,36.0,86.1,36.6,0.8
South Penrith,10841.0,2432.0,21.0,89.9,20.2,0.2
South Turramurra,2549.0,811.0,13.0,89.0,28.3,0.5
South Wentworthville,4134.0,1478.0,17.0,85.9,30.7,0.4
Speers Point,2826.0,328.0,7.0,93.4,10.8,0.2
Springfield,3596.0,441.0,9.0,91.7,11.2,0.2
Springwood,7297.0,1259.0,16.0,91.2,15.7,0.2
St Andrews,5581.0,1633.0,42.0,89.4,26.1,0.7
St Clair,18716.0,5274.0,60.0,88.6,25.0,0.3
St Helens Park,4984.0,1196.0,11.0,86.6,20.8,0.2
St Huberts Island,1026.0,161.0,0.0,94.0,14.8,0.0
St Ives,11842.0,5514.0,131.0,85.1,39.6,0.9
St Ives Chase,2623.0,1269.0,34.0,85.7,41.5,1.1
St Johns Park,5075.0,3084.0,14.0,88.1,53.5,0.2
St Leonards,1783.0,1092.0,83.0,67.0,41.0,3.0
St Marys,7796.0,2717.0,31.0,84.7,29.5,0.3
St Peters,1821.0,751.0,19.0,80.0,33.0,0.8
Stanhope Gardens,2322.0,751.0,27.0,85.1,27.5,1.0
Stanmore,5814.0,2175.0,78.0,83.3,31.2,1.1
Stockton,3635.0,332.0,14.0,83.5,7.6,0.3
Strathfield,15417.0,10093.0,438.0,75.0,49.1,2.1
Strathfield South,2533.0,1384.0,41.0,83.2,45.5,1.3
Summer Hill,4845.0,2301.0,75.0,77.4,36.8,1.2
Surry Hills,8778.0,5040.0,806.0,61.9,35.6,5.4
Sutherland,8032.0,1889.0,46.0,87.8,20.7,0.5
Swansea,4393.0,350.0,3.0,94.0,7.5,0.1
Swansea Heads,558.0,45.0,3.0,92.7,7.5,0.5
Sydenham,796.0,441.0,8.0,79.8,44.2,0.8
Sydney,5538.0,4754.0,5172.0,37.6,32.3,26.0
Sylvania,8208.0,1902.0,43.0,92.1,21.3,0.5
Sylvania Waters,2966.0,971.0,32.0,88.8,29.1,0.9
Tacoma,678.0,64.0,3.0,90.4,8.5,0.4
Tacoma South,234.0,30.0,0.0,75.7,9.7,0.0
Tamarama,1132.0,481.0,54.0,77.9,33.1,3.6
Taren Point,994.0,262.0,0.0,89.7,23.6,0.0
Tarrawanna,1307.0,317.0,6.0,92.2,22.4,0.4
Tascott,1525.0,248.0,3.0,91.9,14.9,0.2
Tempe,2694.0,1275.0,44.0,80.9,38.3,1.3
Teralba,1267.0,108.0,3.0,88.2,7.5,0.2
Terrey Hills,2606.0,572.0,40.0,90.0,19.7,1.4
Terrigal,8524.0,1599.0,49.0,90.6,17.0,0.5
The Entrance,2330.0,334.0,16.0,84.5,12.1,0.6
The Entrance North,958.0,110.0,6.0,90.7,10.4,0.6
The Hill,1656.0,263.0,35.0,86.1,13.7,1.8
The Junction,1171.0,134.0,12.0,92.7,10.6,0.9
Thirroul,5107.0,770.0,17.0,91.6,13.8,0.3
Thornleigh,6988.0,1977.0,64.0,91.4,25.9,0.8
Tighes Hill,1336.0,184.0,10.0,92.1,12.7,0.7
Tingira Heights,2787.0,220.0,11.0,94.7,7.5,0.4
Toongabbie,11213.0,3889.0,65.0,87.6,30.4,0.5
Toowoon Bay,461.0,60.0,0.0,88.0,11.5,0.0
Toronto,4811.0,450.0,12.0,93.8,8.8,0.2
Toukley,3759.0,525.0,9.0,91.0,12.7,0.2
Towradgi,2715.0,642.0,9.0,89.2,21.1,0.3
Tregear,3287.0,844.0,10.0,82.3,21.1,0.2
Tuggerah,837.0,152.0,3.0,90.9,16.5,0.3
Tuggerawong,1131.0,128.0,6.0,91.2,10.3,0.5
Tumbi Umbi,3106.0,392.0,7.0,91.8,11.6,0.2
Turramurra,9057.0,2821.0,106.0,88.1,27.4,1.0
Turrella,1185.0,543.0,3.0,88.0,40.3,0.2
Ultimo,1989.0,1865.0,287.0,49.1,46.0,6.6
Umina Beach,13788.0,1687.0,31.0,90.7,11.1,0.2
Unanderra,5270.0,1283.0,12.0,88.8,21.6,0.2
Valentine,4836.0,585.0,24.0,93.5,11.3,0.5
Valley Heights,1270.0,230.0,5.0,93.7,17.0,0.4
Vaucluse,7424.0,3340.0,127.0,83.2,37.4,1.4
Villawood,5958.0,3051.0,27.0,87.6,44.9,0.4
Voyager Point,679.0,233.0,6.0,89.3,30.7,0.8
Wahroonga,13142.0,4140.0,145.0,87.3,27.5,1.0
Waitara,1399.0,545.0,13.0,82.8,32.3,0.8
Wakeley,4398.0,2690.0,8.0,90.2,55.2,0.2
Wallsend,10701.0,1202.0,19.0,93.1,10.5,0.2
Wamberal,5001.0,749.0,25.0,92.0,13.8,0.5
Warabrook,1883.0,274.0,3.0,93.5,13.6,0.1
Waratah,4069.0,531.0,27.0,92.4,12.1,0.6
Waratah West,2548.0,338.0,20.0,91.1,12.1,0.7
Wareemba,1262.0,456.0,3.0,88.7,32.1,0.2
Warilla,5008.0,1269.0,7.0,86.3,21.9,0.1
Warners Bay,6197.0,778.0,18.0,94.0,11.8,0.3
Warrawee,2204.0,551.0,26.0,91.0,22.7,1.1
Warrawong,3965.0,1996.0,13.0,83.9,42.2,0.3
Warriewood,2680.0,671.0,16.0,88.9,22.3,0.5
Warrimoo,2127.0,297.0,10.0,94.2,13.2,0.4
Warwick Farm,3413.0,2114.0,26.0,74.4,46.1,0.6
Watanobbi,2875.0,461.0,3.0,89.2,14.3,0.1
Waterloo,4236.0,2230.0,36.0,82.0,43.2,0.7
Watsons Bay,589.0,157.0,16.0,90.1,24.0,2.4
Wattle Grove,8565.0,2487.0,48.0,89.3,25.9,0.5
Waverley,2897.0,1184.0,45.0,81.6,33.4,1.3
Waverton,2582.0,1064.0,47.0,81.1,33.4,1.5
Wentworthville,7359.0,3981.0,126.0,77.1,41.7,1.3
Werrington,2898.0,814.0,9.0,82.8,23.2,0.3
Werrington County,3708.0,715.0,10.0,90.3,17.4,0.2
Werrington Downs,3200.0,580.0,14.0,89.9,16.3,0.4
West Gosford,1486.0,332.0,9.0,90.7,20.3,0.5
West Hoxton,4179.0,1737.0,19.0,88.4,36.8,0.4
West Pennant Hills,13972.0,5167.0,159.0,88.1,32.6,1.0
West Pymble,4189.0,1251.0,48.0,89.1,26.6,1.0
West Ryde,8582.0,4386.0,141.0,79.9,40.8,1.3
West Wallsend,1540.0,76.0,3.0,94.2,4.6,0.2
West Wollongong,3938.0,1128.0,27.0,88.3,25.3,0.6
Westleigh,3824.0,969.0,20.0,92.7,23.5,0.5
Westmead,7088.0,4512.0,197.0,70.8,45.1,1.9
Wetherill Park,5698.0,3047.0,20.0,89.2,47.7,0.3
Whalan,4968.0,1412.0,11.0,84.8,24.1,0.2
Whitebridge,2322.0,180.0,0.0,95.6,7.4,0.0
Wickham,564.0,55.0,6.0,87.2,8.5,0.9
Wiley Park,6415.0,4803.0,92.0,74.4,55.7,1.1
Willmot,2122.0,540.0,3.0,83.8,21.3,0.1
Willoughby,4538.0,1665.0,45.0,84.2,30.9,0.8
Willoughby East,1500.0,425.0,12.0,90.0,25.5,0.7
Windale,2579.0,145.0,4.0,88.1,5.0,0.1
Windang,2107.0,405.0,0.0,89.1,17.1,0.0
Winmalee,5815.0,992.0,27.0,92.1,15.7,0.4
Winston Hills,8028.0,2213.0,33.0,90.3,24.9,0.4
Wollongong,10938.0,4209.0,271.0,80.9,31.1,2.0
Wollstonecraft,5862.0,2707.0,157.0,77.4,35.8,2.0
Wombarra,748.0,142.0,3.0,89.2,16.9,0.4
Woodbine,2427.0,756.0,10.0,89.2,27.8,0.4
Woodcroft,4200.0,2734.0,25.0,85.5,55.6,0.5
Woodpark,1106.0,342.0,3.0,87.6,27.1,0.2
Woodrising,1395.0,140.0,0.0,91.6,9.2,0.0
Woollahra,5279.0,1894.0,132.0,75.1,26.9,1.8
Woolloomooloo,2153.0,1033.0,320.0,70.9,34.0,9.5
Woolooware,6567.0,1186.0,30.0,92.3,16.7,0.4
Woolwich,695.0,169.0,12.0,86.9,21.1,1.5
Woonona,8917.0,1478.0,30.0,91.8,15.2,0.3
Woronora,1640.0,228.0,8.0,91.3,12.7,0.4
Woronora Heights,2912.0,359.0,7.0,96.0,11.8,0.2
Woy Woy,8946.0,1272.0,34.0,90.4,12.9,0.3
Woy Woy Bay,457.0,67.0,3.0,93.1,13.6,0.6
Wyoming,8042.0,1398.0,61.0,89.7,15.6,0.7
Wyong,2840.0,452.0,8.0,89.6,14.3,0.3
Wyongah,1609.0,172.0,3.0,92.6,9.9,0.2
Yagoona,12878.0,5651.0,59.0,88.8,38.9,0.4
Yarrawarrah,1456.0,138.0,9.0,95.3,9.0,0.6
Yattalunga,489.0,99.0,0.0,89.2,18.1,0.0
Yennora,1052.0,632.0,8.0,82.1,49.3,0.6
Yowie Bay,3382.0,498.0,21.0,93.5,13.8,0.6
Zetland,447.0,137.0,7.0,76.9,23.6,1.2
