,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Australian citizenship (%),People born overseas (%),Overseas visitors (excluded from people counts) (%)
Glenfield,5938.0,2122.0,30.0,85.0,30.4,0.4
Glenhaven,5104.0,1342.0,25.0,90.0,23.7,0.4
Glenmore Park,14790.0,3387.0,57.0,87.4,20.0,0.3
Glenning Valley,664.0,93.0,6.0,93.0,13.0,0.8
Glenwood,7917.0,3247.0,146.0,85.3,35.0,1.5
Gordon,5241.0,2192.0,107.0,83.5,34.9,1.7
Gorokan,6550.0,876.0,26.0,91.2,12.2,0.4
Gosford,2245.0,537.0,26.0,81.6,19.5,0.9
Granville,17303.0,8537.0,129.0,83.2,41.1,0.6
Grays Point,2583.0,409.0,12.0,93.8,14.8,0.4
Green Point,5828.0,1039.0,20.0,92.7,16.5,0.3
Green Valley,9911.0,5802.0,44.0,86.0,50.4,0.4
Greenacre,18060.0,8211.0,79.0,87.5,39.8,0.4
Greenfield Park,4784.0,2947.0,17.0,89.1,54.9,0.3
Greenwich,4484.0,1543.0,113.0,84.4,29.0,2.1
Greystanes,19451.0,6155.0,63.0,89.7,28.4,0.3
Guildford,8901.0,4133.0,65.0,84.2,39.1,0.6
Guildford West,3666.0,1200.0,13.0,88.4,28.9,0.3
Gwynneville,1546.0,603.0,105.0,78.8,30.7,5.1
Gymea,5965.0,1087.0,26.0,91.2,16.6,0.4
Gymea Bay,6048.0,741.0,29.0,94.3,11.6,0.5
Haberfield,5928.0,2268.0,53.0,88.0,33.7,0.8
Halekulani,2141.0,262.0,8.0,93.0,11.4,0.3
Hamilton,3646.0,646.0,16.0,92.1,16.3,0.4
Hamilton East,938.0,124.0,12.0,94.1,12.4,1.2
Hamilton North,783.0,76.0,3.0,92.2,9.0,0.4
Hamilton South,3358.0,482.0,3.0,90.9,13.1,0.1
Hammondville,3089.0,815.0,14.0,89.7,23.7,0.4
Harrington Park,2731.0,519.0,14.0,90.6,17.2,0.5
Harris Park,4552.0,3682.0,118.0,65.9,53.3,1.7
Hassall Grove,3895.0,1571.0,22.0,88.7,35.8,0.5
Haymarket,1088.0,2275.0,1348.0,21.4,44.7,20.9
Heathcote,5608.0,688.0,15.0,94.6,11.6,0.3
Hebersham,4826.0,1763.0,22.0,80.8,29.5,0.4
Heckenberg,2582.0,1005.0,10.0,87.6,34.1,0.3
Henley,376.0,99.0,6.0,90.4,23.8,1.4
Highfields,577.0,60.0,3.0,96.8,10.1,0.5
Hillsborough,668.0,49.0,6.0,95.4,7.0,0.8
Hillsdale,4373.0,3173.0,54.0,75.6,54.8,0.9
Hinchinbrook,8741.0,4290.0,74.0,88.3,43.3,0.7
Holmesville,1423.0,90.0,0.0,94.6,6.0,0.0
Holsworthy,2527.0,698.0,13.0,87.0,24.0,0.4
Homebush,3382.0,2205.0,33.0,77.9,50.8,0.8
Homebush West,1765.0,1779.0,53.0,66.4,66.9,2.0
Horningsea Park,2227.0,994.0,7.0,83.8,37.4,0.3
Hornsby,14563.0,6938.0,228.0,79.7,38.0,1.2
Hornsby Heights,5258.0,1469.0,23.0,88.9,24.8,0.4
Horsley,4855.0,934.0,11.0,91.1,17.5,0.2
Hoxton Park,2865.0,1488.0,19.0,85.9,44.6,0.6
Hunters Hill,7857.0,2189.0,80.0,89.2,24.8,0.9
Huntleys Point,160.0,26.0,3.0,94.7,15.4,1.7
Hurlstone Park,4190.0,2191.0,35.0,83.6,43.7,0.7
Hurstville,14846.0,10503.0,375.0,72.9,51.6,1.8
Hurstville Grove,2075.0,623.0,12.0,92.5,27.8,0.5
Illawong,7369.0,1583.0,27.0,93.3,20.0,0.3
Ingleburn,12231.0,3937.0,73.0,85.8,27.6,0.5
Ingleside,777.0,226.0,7.0,80.9,23.5,0.7
Islington,1262.0,140.0,7.0,90.3,10.0,0.5
Jamisontown,4283.0,940.0,16.0,88.3,19.4,0.3
Jannali,4520.0,859.0,26.0,90.3,17.2,0.5
Jesmond,1839.0,571.0,41.0,78.6,24.4,1.7
Jewells,2526.0,221.0,3.0,95.6,8.4,0.1
Kahibah,2271.0,230.0,5.0,95.1,9.6,0.2
Kanahooka,4064.0,964.0,9.0,89.7,21.3,0.2
Kangaroo Point,550.0,118.0,3.0,95.2,20.4,0.5
Kanwal,3386.0,463.0,3.0,91.3,12.5,0.1
Kareela,2406.0,541.0,13.0,93.4,21.0,0.5
Kariong,5412.0,1046.0,22.0,90.6,17.5,0.4
Kearns,2621.0,564.0,9.0,91.0,19.6,0.3
Keiraville,2840.0,997.0,93.0,82.3,28.9,2.6
Kellyville,11722.0,3493.0,68.0,87.5,26.1,0.5
Kembla Grange,117.0,12.0,0.0,88.0,9.0,0.0
Kensington,7350.0,4827.0,391.0,68.8,45.2,3.5
Kilaben Bay,1156.0,129.0,3.0,94.8,10.6,0.2
Killara,6808.0,2441.0,84.0,87.0,31.2,1.1
Killarney Heights,3489.0,1309.0,49.0,86.2,32.3,1.2
Killarney Vale,6608.0,695.0,18.0,92.7,9.8,0.3
Kincumber,6139.0,857.0,9.0,91.8,12.8,0.1
Kincumber South,574.0,139.0,0.0,91.3,22.1,0.0
Kings Langley,8594.0,2442.0,40.0,90.3,25.7,0.4
Kings Park,3124.0,923.0,8.0,88.6,26.2,0.2
Kingsford,9472.0,6852.0,318.0,66.3,47.9,2.2
Kingsgrove,9285.0,4283.0,43.0,86.0,39.7,0.4
Kingswood,7369.0,1956.0,49.0,85.1,22.6,0.6
Kirrawee,8786.0,1650.0,37.0,91.3,17.2,0.4
Kirribilli,2493.0,1216.0,200.0,71.9,35.1,5.5
Kogarah,7878.0,5036.0,141.0,72.7,46.4,1.3
Kogarah Bay,1655.0,535.0,12.0,88.5,28.6,0.6
Koolewong,556.0,127.0,6.0,70.6,16.1,0.8
Koonawarra,3264.0,803.0,13.0,86.8,21.4,0.3
Kotara,3606.0,366.0,9.0,94.7,9.6,0.2
Kotara South,1065.0,115.0,3.0,94.8,10.2,0.3
Kurnell,1864.0,343.0,12.0,87.3,16.1,0.6
Kyeemagh,741.0,289.0,8.0,87.9,34.3,0.9
Kyle Bay,1163.0,247.0,6.0,93.9,20.0,0.5
La Perouse,389.0,73.0,3.0,93.1,17.5,0.7
Lake Haven,3170.0,472.0,3.0,91.7,13.6,0.1
Lake Heights,3171.0,1399.0,7.0,86.0,37.9,0.2
Lake Illawarra,2872.0,685.0,0.0,88.2,21.0,0.0
Lakelands,1474.0,171.0,6.0,93.9,10.9,0.4
Lakemba,10348.0,8384.0,107.0,71.5,58.0,0.7
Lalor Park,6576.0,1522.0,14.0,88.4,20.5,0.2
Lambton,4221.0,556.0,15.0,93.0,12.2,0.3
Lane Cove,6736.0,2470.0,99.0,83.7,30.7,1.2
Lane Cove North,6958.0,2985.0,103.0,81.7,35.0,1.2
Lane Cove West,1841.0,646.0,19.0,87.5,30.7,0.9
Lansvale,2139.0,1008.0,17.0,88.2,41.6,0.7
Lapstone,846.0,141.0,3.0,94.6,15.8,0.3
Lavender Bay,829.0,322.0,70.0,77.5,30.1,6.1
Leichhardt,10467.0,3744.0,121.0,83.8,30.0,1.0
Leonay,2279.0,481.0,6.0,91.1,19.2,0.2
Lethbridge Park,4018.0,954.0,0.0,82.5,19.6,0.0
Leumeah,7928.0,2053.0,36.0,87.7,22.7,0.4
Lewisham,2455.0,946.0,19.0,83.8,32.3,0.6
Liberty Grove,1003.0,665.0,36.0,73.3,48.6,2.6
Lidcombe,10022.0,7168.0,142.0,78.6,56.3,1.1
Lilli Pilli,1982.0,271.0,9.0,92.8,12.7,0.4
Lilyfield,5888.0,1862.0,82.0,84.8,26.8,1.2
Lindfield,7122.0,2480.0,142.0,86.9,30.3,1.7
Linley Point,332.0,104.0,0.0,92.2,28.9,0.0
Lisarow,4241.0,733.0,25.0,89.6,15.5,0.5
Little Bay,1648.0,509.0,12.0,86.6,26.8,0.6
Liverpool,15167.0,11776.0,110.0,74.0,57.5,0.5
Loftus,3670.0,461.0,11.0,94.1,11.8,0.3
Long Jetty,4709.0,570.0,15.0,88.5,10.7,0.3
Long Point,319.0,70.0,0.0,89.1,19.6,0.0
Longueville,1842.0,346.0,16.0,90.6,17.0,0.8
