,Internet not accessed from dwelling,Internet accessed from dwelling,Not stated,Internet not accessed from dwelling (%),Internet accessed from dwelling (%),Not stated (%),SSC_CODE
Menangle,37.0,315.0,7.0,10.3,87.7,1.9,12568
Picton (NSW),198.0,1363.0,35.0,12.4,85.4,2.2,13200
Tahmoor,286.0,1378.0,53.0,16.7,80.3,3.1,13727
Buxton (NSW),70.0,535.0,17.0,11.3,86.0,2.7,10726
Thirlmere,175.0,1096.0,33.0,13.4,84.0,2.5,13847
Lakesland,9.0,114.0,9.0,6.8,86.4,6.8,12258
The Oaks,101.0,671.0,14.0,12.8,85.4,1.8,13831
Werombi,28.0,225.0,6.0,10.8,86.9,2.3,14232
Orangeville,26.0,320.0,8.0,7.3,90.4,2.3,13094
Belimbla Park,12.0,152.0,3.0,7.2,91.0,1.8,10261
Mount Hunter,19.0,180.0,3.0,9.4,89.1,1.5,12765
Brownlow Hill,14.0,74.0,4.0,15.2,80.4,4.3,10609
Theresa Park,14.0,134.0,6.0,9.1,87.0,3.9,13845
Silverdale (NSW),77.0,941.0,22.0,7.4,90.5,2.1,13544
Oakdale (NSW),78.0,487.0,19.0,13.4,83.4,3.3,13054
Blackheath,254.0,1624.0,39.0,13.2,84.7,2.0,10393
Mount Victoria,52.0,342.0,3.0,13.1,86.1,0.8,12797
Glenbrook,138.0,1547.0,27.0,8.1,90.4,1.6,11656
Blaxland (NSW),223.0,2323.0,40.0,8.6,89.8,1.5,10407
Warrimoo,55.0,756.0,20.0,6.6,91.0,2.4,14174
Lapstone,22.0,297.0,3.0,6.8,92.2,0.9,12276
Mount Riverview,65.0,951.0,16.0,6.3,92.2,1.6,12788
Yarramundi,8.0,206.0,9.0,3.6,92.4,4.0,14477
Katoomba,522.0,2763.0,101.0,15.4,81.6,3.0,12077
Leura,230.0,1542.0,45.0,12.7,84.9,2.5,12309
Medlow Bath,34.0,211.0,6.0,13.5,84.1,2.4,12553
Linden (NSW),11.0,160.0,4.0,6.3,91.4,2.3,12335
Woodford (NSW),60.0,635.0,14.0,8.5,89.6,2.0,14383
Hazelbrook,164.0,1627.0,33.0,9.0,89.2,1.8,11881
Lawson (NSW),126.0,863.0,13.0,12.6,86.1,1.3,12289
Bullaburra,47.0,411.0,12.0,10.0,87.4,2.6,10656
Faulconbridge,94.0,1312.0,23.0,6.6,91.8,1.6,11496
Winmalee,172.0,1920.0,27.0,8.1,90.6,1.3,14334
Hawkesbury Heights,6.0,141.0,0.0,4.1,95.9,0.0,11872
Yellow Rock (Blue Mountains - NSW),23.0,284.0,4.0,7.4,91.3,1.3,14502
Springwood (NSW),378.0,2718.0,62.0,12.0,86.1,2.0,13629
Valley Heights,37.0,377.0,4.0,8.9,90.2,1.0,14069
Sun Valley (NSW),4.0,71.0,0.0,5.3,94.7,0.0,13691
Wentworth Falls,260.0,2103.0,47.0,10.8,87.3,2.0,14226
Werrington Downs,92.0,932.0,28.0,8.7,88.6,2.7,14237
Cambridge Park,346.0,1910.0,41.0,15.1,83.2,1.8,10768
Werrington County,120.0,1045.0,33.0,10.0,87.2,2.8,14236
Cambridge Gardens,74.0,579.0,15.0,11.1,86.7,2.2,10767
Cranebrook,469.0,4373.0,92.0,9.5,88.6,1.9,11105
Llandilo,66.0,333.0,20.0,15.8,79.5,4.8,12363
Castlereagh,56.0,262.0,9.0,17.1,80.1,2.8,10850
Penrith,1068.0,4026.0,274.0,19.9,75.0,5.1,13184
Jordan Springs,82.0,1468.0,25.0,5.2,93.2,1.6,12042
Emu Plains,416.0,2417.0,65.0,14.4,83.4,2.2,11418
Leonay,54.0,751.0,11.0,6.6,92.0,1.3,12304
Emu Heights (NSW),87.0,954.0,19.0,8.2,90.0,1.8,11417
Glenmore Park,384.0,6465.0,107.0,5.5,92.9,1.5,11670
Regentville,38.0,220.0,7.0,14.3,83.0,2.6,13346
Jamisontown,336.0,1700.0,60.0,16.0,81.1,2.9,12000
South Penrith,530.0,3452.0,89.0,13.0,84.8,2.2,13596
Kingswood (Penrith - NSW),643.0,2684.0,92.0,18.8,78.5,2.7,12163
Caddens,29.0,310.0,8.0,8.4,89.3,2.3,10743
Werrington,288.0,1199.0,39.0,18.9,78.6,2.6,14235
Claremont Meadows,107.0,1302.0,26.0,7.5,90.7,1.8,10918
Wallacia,81.0,419.0,25.0,15.4,79.8,4.8,14101
Mulgoa,54.0,471.0,6.0,10.2,88.7,1.1,12814
Luddenham,49.0,411.0,13.0,10.4,86.9,2.7,12419
Badgerys Creek,11.0,52.0,3.0,16.7,78.8,4.5,10132
Orchard Hills,70.0,449.0,14.0,13.1,84.2,2.6,13095
Warragamba,94.0,355.0,15.0,20.3,76.5,3.2,14158
Richmond (NSW),490.0,1512.0,61.0,23.8,73.3,3.0,13360
North Richmond,268.0,1439.0,38.0,15.4,82.5,2.2,13002
Agnes Banks,25.0,227.0,3.0,9.8,89.0,1.2,10021
Hobartville (NSW),141.0,833.0,20.0,14.2,83.8,2.0,11917
South Windsor,416.0,1694.0,59.0,19.2,78.1,2.7,13601
Windsor (NSW),124.0,539.0,17.0,18.2,79.3,2.5,14325
Bligh Park,232.0,1884.0,38.0,10.8,87.5,1.8,10411
Windsor Downs,20.0,314.0,5.0,5.9,92.6,1.5,14326
Londonderry (NSW),135.0,892.0,29.0,12.8,84.5,2.7,12375
Berkshire Park,44.0,247.0,8.0,14.7,82.6,2.7,10305
Erskine Park,116.0,1748.0,40.0,6.1,91.8,2.1,11438
St Clair (Penrith - NSW),508.0,5386.0,144.0,8.4,89.2,2.4,13632
Colyton,496.0,2145.0,79.0,18.2,78.9,2.9,10987
Oxley Park,159.0,815.0,32.0,15.8,81.0,3.2,13110
St Marys (NSW),958.0,3157.0,178.0,22.3,73.5,4.1,13643
North St Marys,334.0,902.0,56.0,25.9,69.8,4.3,13007
Silverwater (Parramatta - NSW),74.0,678.0,21.0,9.6,87.7,2.7,13547
Newington (NSW),74.0,1785.0,21.0,3.9,94.9,1.1,12953
Lidcombe,629.0,4906.0,226.0,10.9,85.2,3.9,12316
Wentworth Point,167.0,2770.0,66.0,5.6,92.2,2.2,14227
Auburn (NSW),1320.0,8066.0,527.0,13.3,81.4,5.3,10106
Berala,416.0,2194.0,104.0,15.3,80.8,3.8,10299
Regents Park (NSW),268.0,1224.0,53.0,17.3,79.2,3.4,13345
Carlingford,598.0,7022.0,161.0,7.7,90.2,2.1,10818
Beecroft,159.0,2763.0,29.0,5.4,93.6,1.0,10249
Epping (NSW),489.0,7192.0,166.0,6.2,91.7,2.1,11428
Rydalmere,305.0,1888.0,52.0,13.6,84.1,2.3,13453
Parramatta,787.0,7848.0,279.0,8.8,88.0,3.1,13156
Ermington,481.0,2943.0,88.0,13.7,83.8,2.5,11435
Dundas (NSW),142.0,1303.0,29.0,9.6,88.4,2.0,11312
Melrose Park (NSW),48.0,454.0,3.0,9.5,89.9,0.6,12563
Telopea,360.0,1655.0,63.0,17.3,79.6,3.0,13782
Oatlands (NSW),170.0,1561.0,43.0,9.6,88.0,2.4,13063
Dundas Valley,239.0,1518.0,68.0,13.1,83.2,3.7,11313
Chester Hill,793.0,2929.0,119.0,20.6,76.3,3.1,10899
Sefton,312.0,1308.0,64.0,18.5,77.7,3.8,13516
Carramar (NSW),298.0,818.0,63.0,25.3,69.4,5.3,10826
Old Guildford,111.0,513.0,30.0,17.0,78.4,4.6,13077
Fairfield East,300.0,1057.0,64.0,21.1,74.4,4.5,11478
Yennora,170.0,269.0,15.0,37.4,59.3,3.3,14506
Fairfield (NSW),1261.0,4178.0,231.0,22.2,73.7,4.1,11477
Merrylands,1545.0,7158.0,341.0,17.1,79.1,3.8,12588
Granville (NSW),718.0,3848.0,196.0,15.1,80.8,4.1,11738
Guildford (NSW),1248.0,4970.0,263.0,19.3,76.7,4.1,11790
Pemulwuy,83.0,1415.0,23.0,5.5,93.0,1.5,13181
Greystanes,938.0,6109.0,147.0,13.0,84.9,2.0,11781
South Granville,367.0,1118.0,83.0,23.4,71.3,5.3,13583
Merrylands West,491.0,1616.0,77.0,22.5,74.0,3.5,12589
Guildford West,252.0,1154.0,41.0,17.4,79.8,2.8,11791
Woodpark,64.0,369.0,14.0,14.3,82.6,3.1,14390
South Wentworthville,315.0,1557.0,61.0,16.3,80.5,3.2,13599
Holroyd,39.0,371.0,4.0,9.4,89.6,1.0,11925
Smithfield (NSW),863.0,2710.0,133.0,23.3,73.1,3.6,13559
North Parramatta,624.0,3954.0,155.0,13.2,83.5,3.3,13001
North Rocks,163.0,2332.0,35.0,6.4,92.2,1.4,13003
Northmead,547.0,3620.0,101.0,12.8,84.8,2.4,13023
Westmead,517.0,4543.0,187.0,9.9,86.6,3.6,14261
Wentworthville,437.0,3096.0,135.0,11.9,84.4,3.7,14228
Winston Hills,427.0,3401.0,70.0,11.0,87.2,1.8,14335
Rosehill (NSW),147.0,1129.0,42.0,11.2,85.7,3.2,13408
Harris Park,196.0,1576.0,88.0,10.5,84.7,4.7,11860
Old Toongabbie,138.0,910.0,23.0,12.9,85.0,2.1,13081
Constitution Hill,147.0,1134.0,34.0,11.2,86.2,2.6,11014
Pendle Hill,392.0,1828.0,81.0,17.0,79.4,3.5,13182
Girraween (NSW),230.0,1432.0,49.0,13.4,83.7,2.9,11636
Mays Hill,25.0,185.0,10.0,11.4,84.1,4.5,12538
North Epping,86.0,1316.0,25.0,6.0,92.2,1.8,12990
Cheltenham (NSW),20.0,648.0,8.0,3.0,95.9,1.2,10896
Pennant Hills,180.0,2229.0,52.0,7.3,90.6,2.1,13183
Denistone,91.0,1075.0,27.0,7.6,90.1,2.3,11238
Eastwood (NSW),554.0,5186.0,159.0,9.4,87.9,2.7,11369
Denistone East,48.0,621.0,20.0,7.0,90.1,2.9,11239
Denistone West,23.0,259.0,9.0,7.9,89.0,3.1,11240
Gladesville,554.0,3874.0,99.0,12.2,85.6,2.2,11638
Tennyson Point,32.0,348.0,4.0,8.3,90.6,1.0,13790
Henley,9.0,144.0,3.0,5.8,92.3,1.9,11891
Huntleys Cove,14.0,295.0,7.0,4.4,93.4,2.2,11960
Hunters Hill,267.0,2561.0,53.0,9.3,88.9,1.8,11954
Macquarie Park,257.0,2720.0,60.0,8.5,89.6,2.0,12437
Marsfield,524.0,4098.0,151.0,11.0,85.9,3.2,12506
North Ryde,408.0,3036.0,69.0,11.6,86.4,2.0,13005
Ryde,1137.0,8331.0,219.0,11.7,86.0,2.3,13454
East Ryde,58.0,719.0,13.0,7.3,91.0,1.6,11361
Meadowbank (NSW),177.0,1806.0,25.0,8.8,89.9,1.2,12550
West Ryde,502.0,4276.0,103.0,10.3,87.6,2.1,14251
Putney,108.0,1168.0,26.0,8.3,89.7,2.0,13277
Busby,293.0,847.0,62.0,24.4,70.5,5.2,10720
Heckenberg,194.0,629.0,41.0,22.5,72.8,4.7,11887
Miller,354.0,666.0,40.0,33.4,62.8,3.8,12617
Ashcroft,247.0,708.0,61.0,24.3,69.7,6.0,10097
Sadleir,247.0,657.0,41.0,26.1,69.5,4.3,13461
Austral,188.0,568.0,73.0,22.7,68.5,8.8,10109
Rossmore (NSW),132.0,473.0,24.0,21.0,75.2,3.8,13420
Kemps Creek,122.0,438.0,15.0,21.2,76.2,2.6,12094
Bringelly,114.0,560.0,19.0,16.5,80.8,2.7,10575
Greendale (Liverpool - NSW),13.0,75.0,0.0,14.8,85.2,0.0,11759
Cecil Park,26.0,177.0,5.0,12.5,85.1,2.4,10866
Cecil Hills,122.0,1663.0,31.0,6.7,91.6,1.7,10865
Catherine Field,65.0,339.0,12.0,15.6,81.5,2.9,10856
Leppington,177.0,852.0,27.0,16.8,80.7,2.6,12305
Cobbitty,59.0,574.0,15.0,9.1,88.6,2.3,10954
Oran Park,85.0,1255.0,63.0,6.1,89.5,4.5,13091
Green Valley (NSW),385.0,2840.0,110.0,11.5,85.2,3.3,11756
Elizabeth Hills,39.0,623.0,24.0,5.7,90.8,3.5,11397
Hinchinbrook (NSW),258.0,2649.0,81.0,8.6,88.7,2.7,11915
Hoxton Park,125.0,984.0,46.0,10.8,85.2,4.0,11951
Carnes Hill,24.0,528.0,18.0,4.2,92.6,3.2,10820
Horningsea Park,75.0,880.0,22.0,7.7,90.1,2.3,11935
Middleton Grange,103.0,1294.0,28.0,7.2,90.8,2.0,12607
West Hoxton,184.0,2282.0,65.0,7.3,90.2,2.6,14246
Bonnyrigg Heights,194.0,1654.0,51.0,10.2,87.1,2.7,10472
Bonnyrigg,386.0,1990.0,86.0,15.7,80.8,3.5,10471
Bossley Park,573.0,3425.0,148.0,13.8,82.6,3.6,10515
Abbotsbury,91.0,1082.0,29.0,7.6,90.0,2.4,10002
Cabramatta,1493.0,4723.0,259.0,23.1,72.9,4.0,10740
Lansvale,125.0,606.0,27.0,16.5,79.9,3.6,12275
Canley Vale,640.0,2223.0,105.0,21.6,74.9,3.5,10792
Mount Pritchard,591.0,2224.0,99.0,20.3,76.3,3.4,12785
Cabramatta West,399.0,1443.0,83.0,20.7,75.0,4.3,10741
Canley Heights,554.0,2360.0,106.0,18.3,78.1,3.5,10791
Edensor Park,332.0,2301.0,69.0,12.3,85.2,2.6,11377
Fairfield West,512.0,2612.0,125.0,15.8,80.4,3.8,11480
Fairfield Heights,398.0,1645.0,87.0,18.7,77.2,4.1,11479
Greenfield Park,169.0,1152.0,39.0,12.4,84.7,2.9,11761
Prairiewood,172.0,767.0,20.0,17.9,80.0,2.1,13258
Horsley Park,111.0,394.0,18.0,21.2,75.3,3.4,11943
Mount Vernon,25.0,268.0,6.0,8.4,89.6,2.0,12796
Wetherill Park,265.0,1492.0,48.0,14.7,82.7,2.7,14264
Wakeley,188.0,1126.0,39.0,13.9,83.2,2.9,14089
St Johns Park,230.0,1386.0,45.0,13.8,83.4,2.7,13641
Casula,677.0,3735.0,166.0,14.8,81.6,3.6,10852
Moorebank,338.0,2609.0,69.0,11.2,86.5,2.3,12712
Chipping Norton,276.0,2469.0,68.0,9.8,87.8,2.4,10908
Voyager Point,12.0,463.0,9.0,2.5,95.7,1.9,14079
Wattle Grove (NSW),141.0,2552.0,46.0,5.1,93.2,1.7,14192
Hammondville,167.0,922.0,27.0,15.0,82.6,2.4,11844
Sandy Point (NSW),10.0,178.0,0.0,5.3,94.7,0.0,13487
Pleasure Point,12.0,132.0,7.0,7.9,87.4,4.6,13229
Liverpool,1682.0,6352.0,360.0,20.0,75.7,4.3,12361
Warwick Farm,541.0,1497.0,93.0,25.4,70.2,4.4,14177
Cartwright,271.0,500.0,48.0,33.1,61.1,5.9,10838
Lurnea,582.0,2027.0,131.0,21.2,74.0,4.8,12422
Prestons,329.0,3574.0,113.0,8.2,89.0,2.8,13260
Gymea Bay,145.0,1943.0,33.0,6.8,91.6,1.6,11827
Gymea,385.0,2524.0,60.0,13.0,85.0,2.0,11826
Grays Point,39.0,905.0,14.0,4.1,94.5,1.5,11743
Miranda (NSW),854.0,4661.0,147.0,15.1,82.3,2.6,12645
Yowie Bay,86.0,884.0,19.0,8.7,89.4,1.9,14519
Taren Point,118.0,509.0,21.0,18.2,78.5,3.2,13766
Caringbah,725.0,3855.0,124.0,15.4,82.0,2.6,10815
Sylvania Waters,79.0,947.0,22.0,7.5,90.4,2.1,13718
Sylvania,502.0,3114.0,72.0,13.6,84.4,2.0,13717
Kangaroo Point (NSW),11.0,164.0,4.0,6.1,91.6,2.2,12060
Caringbah South,369.0,3622.0,86.0,9.1,88.8,2.1,10816
Dolans Bay,9.0,180.0,4.0,4.7,93.3,2.1,11266
Kurnell,76.0,605.0,21.0,10.8,86.2,3.0,12216
Greenhills Beach,0.0,204.0,3.0,0.0,98.6,1.4,11764
Cronulla,927.0,6635.0,184.0,12.0,85.7,2.4,11119
Bundeena,70.0,622.0,21.0,9.8,87.2,2.9,10672
Maianbar,15.0,177.0,0.0,7.8,92.2,0.0,12443
Woolooware,144.0,1230.0,25.0,10.3,87.9,1.8,14410
Lilli Pilli (Sutherland Shire - NSW),18.0,399.0,0.0,4.3,95.7,0.0,12322
Port Hacking,18.0,320.0,3.0,5.3,93.8,0.9,13244
Burraneer,77.0,1017.0,28.0,6.9,90.6,2.5,10705
Heathcote (NSW),260.0,1727.0,50.0,12.8,84.8,2.5,11883
Waterfall,12.0,149.0,5.0,7.2,89.8,3.0,14182
Illawong,126.0,2092.0,40.0,5.6,92.6,1.8,11974
Alfords Point,41.0,851.0,12.0,4.5,94.1,1.3,10031
Barden Ridge,42.0,1145.0,13.0,3.5,95.4,1.1,10193
Menai,197.0,3049.0,59.0,6.0,92.3,1.8,12567
Bangor (NSW),124.0,1640.0,29.0,6.9,91.5,1.6,10177
Woronora,50.0,621.0,10.0,7.3,91.2,1.5,14420
Bonnet Bay,30.0,693.0,7.0,4.1,94.9,1.0,10469
Jannali,315.0,1821.0,43.0,14.5,83.6,2.0,12001
Oyster Bay,127.0,1560.0,26.0,7.4,91.1,1.5,13112
Como (NSW),76.0,1138.0,29.0,6.1,91.6,2.3,10996
Kareela,62.0,1049.0,17.0,5.5,93.0,1.5,12073
Kirrawee,436.0,2847.0,96.0,12.9,84.3,2.8,12172
Sutherland (NSW),513.0,3910.0,97.0,11.3,86.5,2.1,13701
Loftus,118.0,1225.0,20.0,8.7,89.9,1.5,12371
Engadine,509.0,5177.0,89.0,8.8,89.6,1.5,11422
Yarrawarrah,36.0,833.0,10.0,4.1,94.8,1.1,14485
Woronora Heights,17.0,814.0,12.0,2.0,96.6,1.4,14422
