,Internet not accessed from dwelling,Internet accessed from dwelling,Not stated,Internet not accessed from dwelling (%),Internet accessed from dwelling (%),Not stated (%),SSC_CODE
Little Bay,141.0,1278.0,154.0,9.0,81.2,9.8,12349
Malabar,266.0,1000.0,44.0,20.3,76.3,3.4,12453
Chifley (NSW),179.0,863.0,21.0,16.8,81.2,2.0,10901
Phillip Bay,32.0,181.0,4.0,14.7,83.4,1.8,13193
Kensington (NSW),384.0,4112.0,127.0,8.3,88.9,2.7,12099
Kingsford (NSW),649.0,4580.0,183.0,12.0,84.6,3.4,12156
Maroubra,1491.0,9470.0,392.0,13.1,83.4,3.5,12501
Randwick,1012.0,10190.0,275.0,8.8,88.8,2.4,13312
Georges Hall,358.0,2183.0,84.0,13.6,83.2,3.2,11601
Bass Hill,478.0,2098.0,100.0,17.9,78.4,3.7,10224
Yagoona,928.0,4105.0,218.0,17.7,78.2,4.2,14453
Villawood,523.0,1164.0,86.0,29.5,65.7,4.9,14074
Greenacre,1252.0,5261.0,249.0,18.5,77.8,3.7,11757
Potts Hill,15.0,227.0,3.0,6.1,92.7,1.2,13255
Milperra,128.0,1124.0,15.0,10.1,88.7,1.2,12625
Revesby,758.0,3719.0,136.0,16.4,80.6,2.9,13355
Condell Park,512.0,2619.0,97.0,15.9,81.1,3.0,11001
Bankstown,1605.0,7653.0,336.0,16.7,79.8,3.5,10180
Mount Lewis,57.0,271.0,16.0,16.6,78.8,4.7,12774
Punchbowl (Canterbury-Bankstown - NSW),1029.0,4445.0,235.0,18.0,77.9,4.1,13273
Padstow,705.0,3674.0,93.0,15.8,82.2,2.1,13120
Padstow Heights,198.0,1002.0,24.0,16.2,81.9,2.0,13121
Panania,667.0,3373.0,92.0,16.1,81.6,2.2,13144
East Hills,223.0,861.0,43.0,19.8,76.4,3.8,11351
Picnic Point,215.0,1713.0,46.0,10.9,86.8,2.3,13199
Revesby Heights,61.0,451.0,6.0,11.8,87.1,1.2,13356
Birrong,152.0,723.0,34.0,16.7,79.5,3.7,10379
Belmore,848.0,3282.0,129.0,19.9,77.1,3.0,10279
Belfield,392.0,1632.0,65.0,18.8,78.1,3.1,10257
Campsie,1088.0,6574.0,299.0,13.7,82.6,3.8,10782
Canterbury (NSW),338.0,2162.0,79.0,13.1,83.8,3.1,10797
Clemton Park,110.0,396.0,11.0,21.3,76.6,2.1,10928
Earlwood,966.0,4613.0,170.0,16.8,80.2,3.0,11343
Kingsgrove,719.0,3328.0,96.0,17.4,80.3,2.3,12158
Riverwood,990.0,3217.0,182.0,22.6,73.3,4.1,13371
Roselands,600.0,2887.0,120.0,16.6,80.0,3.3,13409
Beverly Hills,534.0,2717.0,86.0,16.0,81.4,2.6,10331
Narwee,347.0,1502.0,75.0,18.0,78.1,3.9,12912
Lakemba,807.0,3893.0,210.0,16.4,79.3,4.3,12257
Wiley Park,475.0,2481.0,133.0,15.4,80.3,4.3,14293
Hurstville,923.0,8316.0,271.0,9.7,87.4,2.8,11964
Carlton (NSW),469.0,3013.0,121.0,13.0,83.6,3.4,10819
Penshurst (NSW),544.0,3725.0,119.0,12.4,84.9,2.7,13186
Oatley,358.0,3157.0,60.0,10.0,88.3,1.7,13064
Mortdale,466.0,3200.0,88.0,12.4,85.2,2.3,12728
Peakhurst,594.0,2772.0,86.0,17.2,80.3,2.5,13168
Hurstville Grove,90.0,729.0,9.0,10.9,88.0,1.1,11965
Lugarno,177.0,1641.0,35.0,9.6,88.6,1.9,12421
Peakhurst Heights,102.0,689.0,24.0,12.5,84.5,2.9,13169
South Hurstville,226.0,1388.0,35.0,13.7,84.2,2.1,13587
