,Italian,Assyrian,Arabic,Croatian,Spanish,&nbsp;,English only spoken at home,Greek,Cantonese,Mandarin,Tagalog,Hindi,Filipino,Punjabi,Macedonian,Serbian,German,Samoan,Tongan,Polish,Maltese,Dutch,Indonesian,Thai,Korean,Japanese,Portuguese,Vietnamese,Turkish,Dari,Latvian,French,Auslan,Afrikaans,Danish,Swedish,Kannada,Armenian,Tamil,Maori (Cook Island,Hungarian,Hebrew,Russian,Norwegian,Persian,Bengali,Tswana,Khmer,Dinka,Lao,Czech,Ukrainian,Burmese,Maori (New Zealand,Teochew,Bosnian,Urdu,Sinhalese,Slovene,Malay,Zulu,Estonian,Swahili,Motu,Gujarati,"African Languages, nec",Finnish,Marathi,Albanian,"Serbo-Croatian/Yugoslavian, so described",Tokelauan,Romanian,Fijian,Hmong,Nepali,Irish,Karen,Italian (%),Assyrian (%),Arabic (%),Croatian (%),Spanish (%),&nbsp; (%),English only spoken at home (%),Greek (%),Cantonese (%),Mandarin (%),Tagalog (%),Hindi (%),Filipino (%),Punjabi (%),Macedonian (%),Serbian (%),German (%),Samoan (%),Tongan (%),Polish (%),Maltese (%),Dutch (%),Indonesian (%),Thai (%),Korean (%),Japanese (%),Portuguese (%),Vietnamese (%),Turkish (%),Dari (%),Latvian (%),French (%),Auslan (%),Afrikaans (%),Danish (%),Swedish (%),Kannada (%),Armenian (%),Tamil (%),Maori (Cook Island (%),Hungarian (%),Hebrew (%),Russian (%),Norwegian (%),Persian (%),Bengali (%),Tswana (%),Khmer (%),Dinka (%),Lao (%),Czech (%),Ukrainian (%),Burmese (%),Maori (New Zealand (%),Teochew (%),Bosnian (%),Urdu (%),Sinhalese (%),Slovene (%),Malay (%),Zulu (%),Estonian (%),Swahili (%),Motu (%),Gujarati (%),"African Languages, nec (%)",Finnish (%),Marathi (%),Albanian (%),"Serbo-Croatian/Yugoslavian, so described (%)",Tokelauan (%),Romanian (%),Fijian (%),Hmong (%),Nepali (%),Irish (%),Karen (%)
Beaconsfield,,,9,,10,&nbsp;,404,,21,15,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,1.5,&nbsp;,60.4,,3.1,2.2,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beecroft,,,,,,&nbsp;,"6,819",,476,177,,76,,,,,,,,,,,,,124,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,79.2,,5.5,2.1,,0.9,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belfield,450,,812,,,&nbsp;,"2,294",428,235,,,,,,,,,,,,,,,,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,14.2,,,&nbsp;,40.2,7.5,4.1,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bella Vista,,,135,,,&nbsp;,"4,059",,384,146,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,&nbsp;,63.6,,6.0,2.3,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellambi,45,,,,35,&nbsp;,"3,587",,,,,,,,21,,,,,,,,,,,,,37,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,0.8,&nbsp;,86.0,,,,,,,,0.5,,,,,,,,,,,,,0.9,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellevue Hill,,,,,,&nbsp;,"7,115",,147,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,140,115,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,75.3,,1.6,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,1.5,1.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,9,,,,,&nbsp;,"6,118",,11,8,,,,,,,12,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,&nbsp;,94.5,,0.2,0.1,,,,,,,0.2,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont North,9,,21,,,&nbsp;,"5,259",,33,,,,,,,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.4,,,&nbsp;,94.2,,0.6,,,,,,,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont South,,,,,3,&nbsp;,"1,118",,,,,3,,,,,,,,3,,,,,,,,,,,,,,4,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,&nbsp;,95.9,,,,,0.3,,,,,,,,0.3,,,,,,,,,,,,,,0.3,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmore,,,"1,708",,,&nbsp;,"3,085","1,999",543,,,,,,,,,,,,,,,,526,,,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,,,&nbsp;,25.4,16.5,4.5,,,,,,,,,,,,,,,,4.3,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belrose,62,,,,,&nbsp;,"6,995",,132,88,,,,,,,,,,,,,,,,66,,,,,,,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,&nbsp;,83.2,,1.6,1.0,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bensville,7,,,,13,&nbsp;,"2,659",,,,,,,,,,4,,,,,,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.5,&nbsp;,94.4,,,,,,,,,,0.1,,,,,,,,,,0.1,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berala,,,666,264,,&nbsp;,"2,066",,"1,421",583,,,,,,,,,,,,,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,3.3,,&nbsp;,26.2,,18.0,7.4,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,135,,156,,,&nbsp;,"5,361",,,,,,,,410,,,,,,,,,,,,169,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,2.1,,,&nbsp;,72.3,,,,,,,,5.5,,,,,,,,,,,,2.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley Vale,,,,,13,&nbsp;,"7,533",14,,13,,,,,,,,,,,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,&nbsp;,94.4,0.2,,0.2,,,,,,,,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berowra,20,,,,,&nbsp;,"3,876",,18,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,18,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,&nbsp;,90.5,,0.4,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berowra Heights,,,,,,&nbsp;,"4,743",,,,,,17,,,,19,,,15,,19,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,91.6,,,,,,0.3,,,,0.4,,,0.3,,0.4,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverley Park,53,,92,,,&nbsp;,"1,042",359,,53,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,4.6,,,&nbsp;,52.0,17.9,,2.6,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly Hills,232,,337,,,&nbsp;,"3,609",733,"1,218",645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,4.2,,,&nbsp;,44.8,9.1,15.1,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bexley,,,"2,159",,,&nbsp;,"7,501","1,625",853,768,,,,,"1,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,,&nbsp;,41.9,9.1,4.8,4.3,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bexley North,89,,236,,,&nbsp;,"1,689",727,291,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,6.3,,,&nbsp;,44.9,19.3,7.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bidwill,,,100,,65,&nbsp;,"3,085",,,,,,,,,,,237,74,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,1.5,&nbsp;,71.4,,,,,,,,,,,5.5,1.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birchgrove,47,,,,,&nbsp;,"2,904",28,23,,,,,,,,42,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,&nbsp;,82.5,0.8,0.7,,,,,,,,1.2,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birmingham Gardens,14,,,,,&nbsp;,"1,546",,,42,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,&nbsp;,83.7,,,2.3,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birrong,,,174,,,&nbsp;,831,,124,46,,,,,47,,,,,,,,,,,,,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,&nbsp;,41.9,,6.3,2.3,,,,,2.4,,,,,,,,,,,,,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackalls Park,,,,,10,&nbsp;,"2,641",,,,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,&nbsp;,95.2,,,,,,,,,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackbutt,40,,,45,60,&nbsp;,"2,232",,,,,,,,300,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,1.4,1.9,&nbsp;,71.9,,,,,,,,9.7,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackett,,,71,,33,&nbsp;,"2,363",,,,,30,,,,,,126,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,1.0,&nbsp;,73.6,,,,,0.9,,,,,,3.9,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blacksmiths,,,,,,&nbsp;,"1,149",,,,,,,,4,,,,,,,,,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,96.7,,,,,,,,0.3,,,,,,,,,0.3,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blacktown,652,,"2,179",,,&nbsp;,"21,560",,,674,922,"1,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,5.6,,,&nbsp;,55.4,,,1.7,2.4,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackwall,18,,,,8,&nbsp;,"1,608",8,13,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.4,&nbsp;,86.5,0.4,0.7,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blairmount,8,,27,,,&nbsp;,431,,,,,,,,,,,7,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,5.0,,,&nbsp;,79.7,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blakehurst,134,,230,,,&nbsp;,"3,229",635,334,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,4.3,,,&nbsp;,60.5,11.9,6.3,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaxland,23,,22,,,&nbsp;,"6,521",,,,,,,,,,23,,,28,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.3,,,&nbsp;,93.8,,,,,,,,,,0.3,,,0.4,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Bay,16,,,,,&nbsp;,790,6,,,,,,,,,6,,,,6,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,&nbsp;,85.7,0.7,,,,,,,,,0.7,,,,0.7,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Haven,29,,12,,15,&nbsp;,"5,497",,,,,,,,,,,,,,14,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.2,,0.3,&nbsp;,93.5,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton Point,,,,,7,&nbsp;,"2,012",6,,,,,,,,,6,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,&nbsp;,93.3,0.3,,,,,,,,,0.3,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bondi,123,,,,,&nbsp;,"5,696",119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,171,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,&nbsp;,60.9,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.8,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bondi Beach,,,,,147,&nbsp;,"6,056",97,,,,,,,,,123,,,,,,,,,,,,,,,145,,,,,,,,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,&nbsp;,58.4,0.9,,,,,,,,,1.2,,,,,,,,,,,,,,,1.4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bondi Junction,,,,,,&nbsp;,"4,590",,133,172,,,,,,,,,,,,,,,137,,,,,,,,,,,,,,,,106,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,57.4,,1.7,2.2,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,1.3,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnet Bay,,,8,,15,&nbsp;,"2,043",,9,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,0.7,&nbsp;,93.6,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnyrigg,,,396,,331,&nbsp;,"1,928",,431,,,,,,,,,,,,,,,,,,,"2,178",,,,,,,,,,,,,,,,,,,,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,4.0,&nbsp;,23.2,,5.2,,,,,,,,,,,,,,,,,,,26.2,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnyrigg Heights,323,324,393,,,&nbsp;,"1,704",,,,,,,,,457,,,,,,,,,,,,"1,059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.7,5.7,,,&nbsp;,24.5,,,,,,,,,6.6,,,,,,,,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booker Bay,,,8,,,&nbsp;,"1,223",9,,,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,&nbsp;,87.1,0.6,,,,,,,,,,,,,0.2,,,,,,,,,,0.2,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boolaroo,,,,,,&nbsp;,911,3,,,,,,,,,,,,4,,5,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,95.5,0.3,,,,,,,,,,,,0.4,,0.5,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booragul,,,,,4,&nbsp;,"1,363",,,,,,,,,,4,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,&nbsp;,95.5,,,,,,,,,,0.3,0.4,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Bossley Park,"1,107","1,555",903,,"1,040",&nbsp;,"5,098",,,,,,,,,,,,,,,,,,,,,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,11.2,6.5,,7.5,&nbsp;,36.6,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botany,135,,,120,173,&nbsp;,"5,133",185,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,1.6,2.3,&nbsp;,68.9,2.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bow Bowing,,,29,,51,&nbsp;,"1,006",,,,42,103,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,3.2,&nbsp;,62.8,,,,2.6,6.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradbury,53,,198,51,110,&nbsp;,"7,544",,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,2.1,0.6,1.2,&nbsp;,81.7,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadmeadow,35,,,,,&nbsp;,"1,471",17,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,&nbsp;,85.0,1.0,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,
Bronte,119,,,,68,&nbsp;,"4,666",101,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,1.1,&nbsp;,76.2,1.7,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookvale,250,,,,33,&nbsp;,"2,251",,34,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,1.0,&nbsp;,69.8,,1.1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budgewoi,7,,,,,&nbsp;,"2,740",,,,,,,,,,6,,,,,5,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,&nbsp;,92.7,,,,,,,,,,0.2,,,,,0.2,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,
Buff Point,8,,,,7,&nbsp;,"3,192",,8,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.2,&nbsp;,93.1,,0.2,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Bulli,34,,25,,19,&nbsp;,"4,842",22,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.5,,0.3,&nbsp;,88.8,0.4,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burwood,459,,376,,,&nbsp;,"3,367",,"1,565","2,164",,,,,,,,,,,,,,,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,3.1,,,&nbsp;,28.1,,13.1,18.1,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burwood Heights,125,,51,,,&nbsp;,548,49,36,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,5.0,,,&nbsp;,54.2,4.8,3.6,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Busby,,,668,,121,&nbsp;,"2,052",,,,,110,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,3.1,&nbsp;,52.0,,,,,2.8,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabarita,173,,,,,&nbsp;,"1,285",37,127,83,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,&nbsp;,57.6,1.7,5.7,3.7,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabramatta,,,,,,&nbsp;,"2,185",,"2,993",969,,,,,,755,,,,,,,,,,,,"6,746",,,,,,,,,,,,,,,,,,,,"1,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,11.0,,15.1,4.9,,,,,,3.8,,,,,,,,,,,,34.1,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabramatta West,308,,,,,&nbsp;,"1,369",,473,,,,,,,236,,,,,,,,,,,,"2,223",,,,,,,,,,,,,,,,,,,,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,&nbsp;,21.4,,7.4,,,,,,,3.7,,,,,,,,,,,,34.8,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Gardens,,,27,,,&nbsp;,"1,896",9,17,,11,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,&nbsp;,91.2,0.4,0.8,,0.5,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Park,30,,45,,,&nbsp;,"5,365",41,,,,,,,,35,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.8,,,&nbsp;,89.7,0.7,,,,,,,,0.6,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
