,Real estate agent,State or Territory housing authority,Other landlord type,Landlord type not stated,Real estate agent (%),State or Territory housing authority (%),Other landlord type (%),Landlord type not stated (%)
Blue Haven,411.0,30.0,96.0,7.0,75.4,5.5,17.6,1.3
Bolton Point,56.0,310.0,31.0,6.0,14.0,77.7,7.8,1.5
Bondi,1304.0,89.0,493.0,44.0,67.6,4.6,25.6,2.3
Bondi Beach,1679.0,86.0,496.0,35.0,73.1,3.7,21.6,1.5
Bondi Junction,1076.0,36.0,390.0,35.0,70.2,2.3,25.4,2.3
Bonnet Bay,23.0,0.0,11.0,0.0,65.7,0.0,31.4,0.0
Bonnyrigg,126.0,834.0,98.0,11.0,11.8,77.8,9.1,1.0
Bonnyrigg Heights,137.0,51.0,86.0,7.0,48.9,18.2,30.7,2.5
Booker Bay,176.0,9.0,46.0,6.0,74.9,3.8,19.6,2.6
Boolaroo,62.0,0.0,31.0,0.0,66.7,0.0,33.3,0.0
Booragul,40.0,85.0,37.0,7.0,23.5,50.0,21.8,4.1
Bossley Park,419.0,196.0,180.0,15.0,51.8,24.2,22.2,1.9
Botany,426.0,127.0,186.0,22.0,56.1,16.7,24.5,2.9
Bow Bowing,55.0,0.0,16.0,4.0,73.3,0.0,21.3,5.3
Bradbury,426.0,215.0,184.0,18.0,50.8,25.7,22.0,2.1
Broadmeadow,173.0,14.0,103.0,4.0,58.8,4.8,35.0,1.4
Bronte,589.0,21.0,239.0,12.0,68.3,2.4,27.7,1.4
Brookvale,258.0,61.0,92.0,12.0,60.8,14.4,21.7,2.8
Budgewoi,242.0,28.0,90.0,4.0,66.5,7.7,24.7,1.1
Buff Point,186.0,24.0,84.0,6.0,61.2,7.9,27.6,2.0
Bulli,180.0,211.0,104.0,15.0,35.2,41.2,20.3,2.9
Burwood,1353.0,155.0,294.0,28.0,73.9,8.5,16.0,1.5
Burwood Heights,35.0,0.0,13.0,5.0,68.6,0.0,25.5,9.8
Busby,83.0,369.0,69.0,12.0,15.6,69.2,12.9,2.3
Cabarita,95.0,0.0,24.0,10.0,73.1,0.0,18.5,7.7
Cabramatta,1635.0,235.0,605.0,69.0,64.2,9.2,23.8,2.7
Cabramatta West,164.0,232.0,162.0,21.0,28.2,39.9,27.9,3.6
Cambridge Gardens,52.0,11.0,42.0,4.0,46.4,9.8,37.5,3.6
Cambridge Park,306.0,52.0,159.0,4.0,58.5,9.9,30.4,0.8
Camden,212.0,87.0,85.0,11.0,53.9,22.1,21.6,2.8
Camden South,125.0,11.0,46.0,7.0,67.2,5.9,24.7,3.8
Cammeray,1051.0,40.0,271.0,20.0,76.2,2.9,19.6,1.4
Campbelltown,724.0,274.0,185.0,20.0,60.2,22.8,15.4,1.7
Camperdown,1145.0,126.0,210.0,22.0,76.1,8.4,14.0,1.5
Campsie,2480.0,228.0,574.0,52.0,74.4,6.8,17.2,1.6
Canada Bay,96.0,20.0,19.0,0.0,69.1,14.4,13.7,0.0
Canley Heights,354.0,253.0,220.0,28.0,41.5,29.7,25.8,3.3
Canley Vale,477.0,223.0,244.0,27.0,49.2,23.0,25.2,2.8
Canterbury,471.0,18.0,149.0,12.0,72.2,2.8,22.9,1.8
Canton Beach,57.0,4.0,50.0,7.0,50.4,3.5,44.2,6.2
Cardiff,262.0,27.0,188.0,12.0,53.6,5.5,38.4,2.5
Cardiff Heights,59.0,4.0,36.0,6.0,55.7,3.8,34.0,5.7
Cardiff South,108.0,12.0,80.0,5.0,52.4,5.8,38.8,2.4
Caringbah,1148.0,321.0,452.0,42.0,58.5,16.3,23.0,2.1
Carlingford,998.0,115.0,324.0,47.0,67.3,7.7,21.8,3.2
Carlton,727.0,65.0,202.0,24.0,71.3,6.4,19.8,2.4
Carramar,313.0,116.0,88.0,3.0,60.3,22.4,17.0,0.6
Carrington (Newcastle),210.0,54.0,105.0,8.0,55.7,14.3,27.9,2.1
Carss Park,25.0,47.0,16.0,7.0,26.0,49.0,16.7,7.3
Cartwright,44.0,290.0,37.0,13.0,11.5,75.7,9.7,3.4
Castle Cove,63.0,0.0,21.0,5.0,72.4,0.0,24.1,5.7
Castle Hill,1369.0,62.0,515.0,36.0,69.1,3.1,26.0,1.8
Castlecrag,90.0,0.0,25.0,0.0,76.9,0.0,21.4,0.0
Casula,630.0,226.0,219.0,21.0,57.5,20.6,20.0,1.9
Caves Beach,143.0,47.0,61.0,6.0,55.0,18.1,23.5,2.3
Cecil Hills,130.0,0.0,38.0,9.0,73.4,0.0,21.5,5.1
Centennial Park,443.0,0.0,97.0,4.0,81.1,0.0,17.8,0.7
Charlestown,667.0,54.0,302.0,22.0,63.8,5.2,28.9,2.1
Charmhaven,146.0,0.0,62.0,3.0,69.9,0.0,29.7,1.4
Chatswood,1833.0,66.0,442.0,53.0,76.6,2.8,18.5,2.2
Chatswood West,656.0,12.0,168.0,18.0,77.0,1.4,19.7,2.1
Cheltenham,32.0,0.0,18.0,0.0,59.3,0.0,33.3,0.0
Cherrybrook,529.0,8.0,159.0,17.0,74.3,1.1,22.3,2.4
Chester Hill,357.0,520.0,206.0,22.0,32.3,47.0,18.6,2.0
Chifley,104.0,154.0,43.0,0.0,34.3,50.8,14.2,0.0
Chippendale,608.0,86.0,156.0,16.0,70.4,10.0,18.1,1.9
Chipping Norton,335.0,8.0,80.0,15.0,76.3,1.8,18.2,3.4
Chiswick,456.0,0.0,93.0,10.0,81.1,0.0,16.5,1.8
Chittaway Bay,97.0,39.0,41.0,6.0,52.4,21.1,22.2,3.2
Chittaway Point,43.0,0.0,19.0,0.0,69.4,0.0,30.6,0.0
Church Point,17.0,0.0,22.0,0.0,43.6,0.0,56.4,0.0
Claremont Meadows,140.0,24.0,51.0,0.0,64.5,11.1,23.5,0.0
Claymore,5.0,787.0,32.0,13.0,0.6,94.0,3.8,1.6
Clontarf,17.0,0.0,23.0,5.0,36.2,0.0,48.9,10.6
Clovelly,475.0,21.0,174.0,6.0,70.0,3.1,25.6,0.9
Coal Point,44.0,0.0,28.0,4.0,57.9,0.0,36.8,5.3
Coledale,47.0,0.0,17.0,6.0,69.1,0.0,25.0,8.8
Collaroy,925.0,9.0,342.0,28.0,71.0,0.7,26.3,2.2
