,1-15 hours per week,16-24 hours per week,25-34 hours per week,35-39 hours per week,40 hours or more per week,1-15 hours per week (%),16-24 hours per week (%),25-34 hours per week (%),35-39 hours per week (%),40 hours or more per week (%),SSC_CODE
Captains Flat,21.0,14.0,18.0,70.0,140.0,7.4,4.9,6.4,24.7,49.5,10804
Burra (Queanbeyan-Palerang Regional - NSW),31.0,28.0,31.0,88.0,189.0,7.9,7.1,7.9,22.3,48.0,10697
Mount Fairy,17.0,6.0,13.0,13.0,49.0,16.8,5.9,12.9,12.9,48.5,12758
Mulloon,10.0,3.0,12.0,7.0,36.0,14.7,4.4,17.6,10.3,52.9,12827
Royalla,48.0,39.0,54.0,87.0,261.0,9.2,7.5,10.4,16.7,50.1,13434
Primrose Valley,6.0,3.0,5.0,4.0,40.0,9.4,4.7,7.8,6.2,62.5,13265
Urila,3.0,7.0,12.0,7.0,27.0,4.8,11.1,19.0,11.1,42.9,14059
Tarago,11.0,18.0,29.0,36.0,112.0,5.0,8.1,13.1,16.3,50.7,13758
Currawang,10.0,8.0,4.0,15.0,45.0,10.4,8.3,4.2,15.6,46.9,11177
Googong,114.0,97.0,116.0,326.0,721.0,7.7,6.6,7.8,22.0,48.7,11704
Wamboin,89.0,80.0,83.0,151.0,427.0,10.1,9.1,9.4,17.2,48.5,14123
Bywong,76.0,59.0,89.0,105.0,333.0,10.8,8.4,12.6,14.9,47.2,10735
Michelago,15.0,25.0,22.0,72.0,136.0,5.2,8.6,7.6,24.7,46.7,12598
Jerrabomberra,533.0,396.0,508.0,982.0,2799.0,9.7,7.2,9.3,17.9,51.2,12016
Queanbeyan West,136.0,109.0,123.0,425.0,761.0,8.2,6.6,7.4,25.7,46.0,13293
Delegate,25.0,17.0,9.0,25.0,64.0,16.4,11.2,5.9,16.4,42.1,11233
Bombala,69.0,58.0,66.0,101.0,292.0,11.0,9.3,10.5,16.1,46.6,10455
Cathcart (NSW),0.0,5.0,4.0,3.0,22.0,0.0,13.2,10.5,7.9,57.9,10855
Cooma (NSW),338.0,284.0,384.0,605.0,1092.0,11.8,9.9,13.4,21.1,38.1,11036
Kosciuszko National Park,11.0,19.0,29.0,32.0,217.0,3.4,5.9,9.0,9.9,67.4,12199
Adaminaby,22.0,14.0,16.0,18.0,67.0,15.0,9.5,10.9,12.2,45.6,10015
Nimmitabel,14.0,13.0,14.0,16.0,45.0,13.0,12.0,13.0,14.8,41.7,12966
Numeralla,12.0,9.0,16.0,24.0,38.0,12.1,9.1,16.2,24.2,38.4,13039
Colinton (NSW),10.0,10.0,12.0,8.0,27.0,13.7,13.7,16.4,11.0,37.0,10968
Dairymans Plains,14.0,7.0,4.0,15.0,44.0,15.6,7.8,4.4,16.7,48.9,11188
Binjura,16.0,13.0,22.0,30.0,51.0,11.3,9.2,15.6,21.3,36.2,10370
Bunyan,12.0,4.0,11.0,11.0,36.0,15.0,5.0,13.8,13.8,45.0,10691
Bredbo,25.0,5.0,17.0,41.0,81.0,13.7,2.7,9.3,22.4,44.3,10559
Berridale,59.0,54.0,78.0,95.0,238.0,10.2,9.3,13.4,16.4,41.0,10316
Kalkite,13.0,5.0,8.0,20.0,58.0,12.1,4.7,7.5,18.7,54.2,12052
Crackenback,11.0,10.0,8.0,14.0,69.0,9.6,8.7,7.0,12.2,60.0,11103
Jindabyne,144.0,131.0,192.0,275.0,801.0,8.9,8.1,11.9,17.0,49.6,12030
East Jindabyne,34.0,34.0,56.0,46.0,207.0,8.6,8.6,14.1,11.6,52.1,11352
Dalgety,16.0,14.0,12.0,18.0,36.0,15.4,13.5,11.5,17.3,34.6,11190
Moonbah,25.0,30.0,32.0,43.0,165.0,8.1,9.7,10.4,14.0,53.6,12698
Catalina,113.0,106.0,118.0,140.0,228.0,15.1,14.2,15.8,18.7,30.5,10853
Batemans Bay,67.0,55.0,70.0,75.0,119.0,15.9,13.1,16.6,17.8,28.3,10229
Nelligen,30.0,23.0,26.0,35.0,48.0,18.1,13.9,15.7,21.1,28.9,12920
Long Beach,74.0,77.0,83.0,86.0,205.0,13.3,13.9,15.0,15.5,36.9,12376
Benandarah,9.0,4.0,4.0,13.0,14.0,20.5,9.1,9.1,29.5,31.8,10287
North Batemans Bay,32.0,23.0,28.0,39.0,75.0,15.6,11.2,13.7,19.0,36.6,12982
Surfside,71.0,50.0,66.0,97.0,143.0,15.7,11.1,14.6,21.5,31.6,13698
Maloneys Beach,25.0,13.0,17.0,24.0,44.0,18.5,9.6,12.6,17.8,32.6,12460
Lilli Pilli (Eurobodalla - NSW),43.0,31.0,46.0,31.0,89.0,16.8,12.1,18.0,12.1,34.8,12321
Malua Bay,111.0,79.0,95.0,135.0,269.0,15.1,10.8,13.0,18.4,36.7,12461
Surf Beach (NSW),115.0,82.0,90.0,123.0,186.0,17.9,12.8,14.0,19.2,29.0,13697
Denhams Beach,32.0,23.0,32.0,24.0,48.0,19.2,13.8,19.2,14.4,28.7,11236
Sunshine Bay,58.0,44.0,57.0,84.0,120.0,14.5,11.0,14.3,21.1,30.1,13695
Rosedale (NSW),13.0,12.0,5.0,9.0,40.0,15.1,14.0,5.8,10.5,46.5,13407
Batehaven,103.0,78.0,91.0,114.0,169.0,17.5,13.3,15.5,19.4,28.7,10228
Bega,249.0,201.0,259.0,374.0,654.0,13.4,10.8,13.9,20.1,35.2,10253
Tathra,81.0,73.0,98.0,135.0,253.0,11.6,10.5,14.1,19.4,36.4,13774
Kalaru,32.0,33.0,53.0,66.0,96.0,10.9,11.2,18.0,22.4,32.7,12051
Wallagoot,33.0,31.0,32.0,46.0,89.0,13.6,12.8,13.2,18.9,36.6,14103
Bournda,8.0,9.0,13.0,12.0,17.0,13.6,15.3,22.0,20.3,28.8,10524
Black Range (NSW),18.0,14.0,17.0,8.0,26.0,20.7,16.1,19.5,9.2,29.9,10388
Tarraganda,19.0,18.0,17.0,29.0,63.0,12.1,11.5,10.8,18.5,40.1,13768
Kanoona,11.0,12.0,7.0,15.0,31.0,14.5,15.8,9.2,19.7,40.8,12066
Toothdale,10.0,13.0,7.0,13.0,27.0,12.8,16.7,9.0,16.7,34.6,13914
Wolumla,27.0,29.0,54.0,71.0,99.0,8.8,9.5,17.6,23.2,32.4,14362
South Wolumla,11.0,3.0,13.0,9.0,26.0,16.9,4.6,20.0,13.8,40.0,13602
Wyndham (NSW),20.0,24.0,25.0,26.0,48.0,12.6,15.1,15.7,16.4,30.2,14443
Kiah,11.0,5.0,5.0,6.0,27.0,19.3,8.8,8.8,10.5,47.4,12115
Towamba,13.0,3.0,10.0,6.0,22.0,21.7,5.0,16.7,10.0,36.7,13927
Lochiel (NSW),24.0,22.0,22.0,25.0,64.0,14.6,13.4,13.4,15.2,39.0,12367
Nethercote,25.0,12.0,32.0,24.0,60.0,15.4,7.4,19.8,14.8,37.0,12932
Candelo,43.0,43.0,38.0,50.0,114.0,14.3,14.3,12.7,16.7,38.0,10788
Tantawangalo,4.0,6.0,7.0,6.0,29.0,7.3,10.9,12.7,10.9,52.7,13753
Bemboka,27.0,21.0,39.0,31.0,93.0,11.8,9.2,17.1,13.6,40.8,10284
Quaama,25.0,15.0,9.0,15.0,47.0,21.6,12.9,7.8,12.9,40.5,13285
Cobargo,51.0,36.0,41.0,35.0,89.0,18.8,13.3,15.1,12.9,32.8,10951
Yowrie,5.0,3.0,3.0,4.0,16.0,11.9,7.1,7.1,9.5,38.1,14520
Wandella (NSW),15.0,4.0,7.0,7.0,22.0,23.4,6.2,10.9,10.9,34.4,14128
Angledale,4.0,5.0,12.0,14.0,43.0,4.7,5.8,14.0,16.3,50.0,10056
Verona,7.0,15.0,19.0,22.0,50.0,6.0,12.9,16.4,19.0,43.1,14073
Tanja,15.0,6.0,17.0,12.0,15.0,21.7,8.7,24.6,17.4,21.7,13749
Coolagolite,26.0,11.0,14.0,10.0,41.0,21.8,9.2,11.8,8.4,34.5,11023
Brogo,24.0,40.0,36.0,23.0,73.0,11.3,18.9,17.0,10.8,34.4,10589
Coopers Gully,10.0,9.0,9.0,26.0,31.0,11.4,10.2,10.2,29.5,35.2,11048
Stony Creek (Bega Valley - NSW),11.0,6.0,7.0,15.0,27.0,15.5,8.5,9.9,21.1,38.0,13668
Numbugga,11.0,6.0,11.0,4.0,21.0,20.8,11.3,20.8,7.5,39.6,13038
Buckajo,13.0,18.0,16.0,20.0,76.0,8.3,11.5,10.3,12.8,48.7,10629
Kameruka,6.0,3.0,3.0,6.0,28.0,12.2,6.1,6.1,12.2,57.1,12054
Greigs Flat,10.0,4.0,12.0,13.0,21.0,15.4,6.2,18.5,20.0,32.3,11775
Broulee,90.0,70.0,78.0,127.0,229.0,14.2,11.0,12.3,20.0,36.0,10608
Tomakin,46.0,42.0,61.0,54.0,127.0,13.5,12.4,17.9,15.9,37.4,13890
Mossy Point,36.0,29.0,40.0,51.0,83.0,14.1,11.3,15.6,19.9,32.4,12741
Bodalla,43.0,50.0,51.0,40.0,122.0,13.4,15.5,15.8,12.4,37.9,10434
Narooma,137.0,119.0,135.0,122.0,270.0,16.4,14.2,16.1,14.6,32.3,12900
Eden,175.0,112.0,177.0,179.0,415.0,15.5,9.9,15.7,15.9,36.9,11375
South Durras,22.0,15.0,16.0,19.0,47.0,17.7,12.1,12.9,15.3,37.9,13580
Mogo (Eurobodalla - NSW),19.0,17.0,13.0,24.0,45.0,15.0,13.4,10.2,18.9,35.4,12660
Jeremadra,16.0,12.0,16.0,17.0,14.0,21.3,16.0,21.3,22.7,18.7,12012
Mogendoura,7.0,10.0,15.0,11.0,32.0,8.8,12.5,18.8,13.8,40.0,12657
Turlinjah,19.0,13.0,14.0,13.0,25.0,21.8,14.9,16.1,14.9,28.7,13975
Potato Point,7.0,5.0,9.0,10.0,14.0,13.7,9.8,17.6,19.6,27.5,13253
Kianga (NSW),42.0,36.0,33.0,37.0,64.0,18.2,15.6,14.3,16.0,27.7,12119
Tuross Head,102.0,95.0,103.0,135.0,199.0,14.9,13.9,15.1,19.7,29.1,13979
Pambula Beach,46.0,40.0,41.0,34.0,100.0,16.4,14.3,14.6,12.1,35.7,13141
Merimbula,194.0,165.0,225.0,254.0,509.0,13.4,11.4,15.6,17.6,35.2,12575
Tura Beach,164.0,115.0,127.0,230.0,359.0,15.2,10.7,11.8,21.3,33.3,13973
South Pambula,36.0,19.0,40.0,38.0,77.0,16.2,8.6,18.0,17.1,34.7,13595
Pambula,66.0,42.0,51.0,62.0,115.0,18.6,11.8,14.4,17.5,32.4,13140
Broadwater (Bega Valley - NSW),3.0,6.0,6.0,8.0,24.0,6.0,12.0,12.0,16.0,48.0,10579
Bald Hills (NSW),23.0,11.0,10.0,7.0,45.0,22.3,10.7,9.7,6.8,43.7,10147
Millingandi,20.0,19.0,30.0,25.0,49.0,12.7,12.1,19.1,15.9,31.2,12622
Mirador,20.0,15.0,20.0,26.0,74.0,12.0,9.0,12.0,15.7,44.6,12644
Berrambool,25.0,17.0,32.0,39.0,58.0,13.7,9.3,17.6,21.4,31.9,10312
Moruya,226.0,181.0,209.0,278.0,472.0,15.2,12.2,14.1,18.8,31.8,12734
Moruya Heads,65.0,51.0,67.0,72.0,121.0,16.2,12.8,16.8,18.0,30.2,12735
Bergalia,15.0,4.0,19.0,15.0,25.0,17.6,4.7,22.4,17.6,29.4,10302
Congo,17.0,12.0,17.0,14.0,23.0,18.5,13.0,18.5,15.2,25.0,11008
Bingie,17.0,10.0,7.0,11.0,24.0,23.6,13.9,9.7,15.3,33.3,10367
Bermagui,94.0,69.0,72.0,82.0,162.0,18.1,13.3,13.9,15.8,31.3,10307
Dalmeny,85.0,79.0,101.0,92.0,171.0,15.3,14.3,18.2,16.6,30.9,11191
Wallaga Lake,23.0,22.0,27.0,26.0,51.0,14.3,13.7,16.8,16.1,31.7,14102
Central Tilba,22.0,23.0,16.0,20.0,37.0,17.1,17.8,12.4,15.5,28.7,10877
North Narooma,43.0,20.0,27.0,24.0,78.0,20.5,9.5,12.9,11.4,37.1,12998
Akolele,4.0,3.0,4.0,5.0,11.0,14.8,11.1,14.8,18.5,40.7,10023
Mystery Bay,9.0,4.0,11.0,7.0,21.0,17.3,7.7,21.2,13.5,40.4,12883
Goulburn,924.0,955.0,1162.0,2255.0,3639.0,9.7,10.1,12.3,23.8,38.4,11725
Run-o-Waters,34.0,23.0,30.0,47.0,92.0,14.0,9.5,12.4,19.4,38.0,13440
Marulan,57.0,53.0,52.0,85.0,222.0,11.4,10.6,10.4,17.0,44.4,12513
Windellama,16.0,13.0,15.0,27.0,59.0,11.8,9.6,11.0,19.9,43.4,14318
Bigga,11.0,3.0,4.0,11.0,56.0,12.9,3.5,4.7,12.9,65.9,10346
Tirrannaville,9.0,15.0,19.0,18.0,66.0,6.6,10.9,13.9,13.1,48.2,13883
Lake Bathurst,7.0,8.0,10.0,13.0,46.0,8.0,9.2,11.5,14.9,52.9,12239
Quialigo,8.0,10.0,5.0,21.0,50.0,8.0,10.0,5.0,21.0,50.0,13297
Laggan,17.0,26.0,17.0,27.0,89.0,9.1,14.0,9.1,14.5,47.8,12235
Grabben Gullen,13.0,14.0,19.0,21.0,37.0,11.2,12.1,16.4,18.1,31.9,11731
Parkesbourne,5.0,3.0,13.0,21.0,38.0,6.0,3.6,15.5,25.0,45.2,13152
Yarra,13.0,7.0,14.0,14.0,41.0,13.8,7.4,14.9,14.9,43.6,14468
Crookwell,107.0,133.0,155.0,210.0,439.0,9.6,11.9,13.9,18.9,39.4,11123
Bungonia,18.0,6.0,24.0,22.0,71.0,11.6,3.9,15.5,14.2,45.8,10685
Collector,10.0,8.0,21.0,30.0,79.0,6.5,5.2,13.7,19.6,51.6,10972
Middle Arm,18.0,22.0,18.0,47.0,80.0,9.4,11.5,9.4,24.6,41.9,12599
Taralga,22.0,19.0,20.0,33.0,91.0,11.1,9.5,10.1,16.6,45.7,13759
Tarlo,13.0,10.0,4.0,6.0,35.0,16.7,12.8,5.1,7.7,44.9,13767
Wayo,7.0,4.0,6.0,8.0,36.0,10.8,6.2,9.2,12.3,55.4,14204
Kingsdale,8.0,16.0,11.0,20.0,39.0,8.2,16.5,11.3,20.6,40.2,12155
Bannister (NSW),8.0,9.0,5.0,7.0,34.0,12.7,14.3,7.9,11.1,54.0,10183
Brayton,5.0,9.0,9.0,18.0,21.0,7.0,12.7,12.7,25.4,29.6,10554
Greenwich Park,5.0,3.0,8.0,4.0,20.0,11.6,7.0,18.6,9.3,46.5,11771
Tallong,44.0,35.0,47.0,43.0,140.0,13.1,10.4,13.9,12.8,41.5,13733
Carrick (NSW),12.0,7.0,8.0,12.0,26.0,18.5,10.8,12.3,18.5,40.0,10828
Brisbane Grove,10.0,9.0,15.0,7.0,26.0,14.9,13.4,22.4,10.4,38.8,10577
Binda,13.0,14.0,17.0,14.0,41.0,11.6,12.5,15.2,12.5,36.6,10363
Towrang,6.0,4.0,10.0,14.0,37.0,8.5,5.6,14.1,19.7,52.1,13930
Mummel,7.0,5.0,3.0,12.0,30.0,11.7,8.3,5.0,20.0,50.0,12835
Baw Baw (NSW),16.0,15.0,17.0,23.0,48.0,13.4,12.6,14.3,19.3,40.3,10234
Boxers Creek,12.0,7.0,12.0,18.0,48.0,11.1,6.5,11.1,16.7,44.4,10541
Gundary,12.0,15.0,17.0,18.0,56.0,9.7,12.1,13.7,14.5,45.2,11806
Yass,313.0,279.0,327.0,608.0,1223.0,10.6,9.4,11.1,20.6,41.4,14493
Bookham,3.0,6.0,10.0,9.0,41.0,3.8,7.6,12.7,11.4,51.9,10478
Binalong,28.0,29.0,25.0,33.0,110.0,11.9,12.3,10.6,14.0,46.8,10362
Jugiong,3.0,9.0,14.0,16.0,61.0,2.7,8.1,12.6,14.4,55.0,12044
Galong,9.0,8.0,13.0,8.0,43.0,10.7,9.5,15.5,9.5,51.2,11580
Manton (NSW),11.0,11.0,21.0,24.0,70.0,7.5,7.5,14.4,16.4,47.9,12481
Yass River,19.0,10.0,22.0,35.0,105.0,9.5,5.0,11.1,17.6,52.8,14494
Rye Park,17.0,12.0,6.0,19.0,41.0,16.7,11.8,5.9,18.6,40.2,13455
Dalton,18.0,15.0,9.0,11.0,49.0,17.1,14.3,8.6,10.5,46.7,11194
Gundaroo,63.0,44.0,68.0,92.0,301.0,10.5,7.3,11.3,15.3,50.0,11805
Bowning,33.0,31.0,31.0,61.0,117.0,11.6,10.9,10.9,21.5,41.2,10535
Bellmount Forest,5.0,3.0,9.0,12.0,37.0,7.2,4.3,13.0,17.4,53.6,10274
Gunning,23.0,37.0,29.0,47.0,134.0,7.9,12.7,10.0,16.2,46.0,11813
Lade Vale,11.0,5.0,11.0,17.0,36.0,12.9,5.9,12.9,20.0,42.4,12232
Good Hope,10.0,10.0,5.0,18.0,40.0,11.1,11.1,5.6,20.0,44.4,11700
Wallaroo (NSW),41.0,29.0,48.0,53.0,167.0,11.3,8.0,13.2,14.6,45.9,14112
Murrumbateman,163.0,138.0,190.0,313.0,836.0,9.3,7.9,10.9,17.9,47.9,12860
Springrange,22.0,9.0,14.0,27.0,74.0,13.8,5.7,8.8,17.0,46.5,13625
Jeir,9.0,7.0,18.0,21.0,72.0,6.2,4.8,12.4,14.5,49.7,12004
Marchmont,11.0,17.0,10.0,28.0,51.0,8.8,13.6,8.0,22.4,40.8,12487
Nanima,16.0,11.0,17.0,6.0,48.0,15.8,10.9,16.8,5.9,47.5,12891
Young,499.0,412.0,539.0,766.0,1568.0,12.3,10.2,13.3,19.0,38.8,14518
Kingsvale,4.0,7.0,13.0,11.0,37.0,5.3,9.3,17.3,14.7,49.3,12161
Burrangong,20.0,5.0,15.0,23.0,41.0,18.2,4.5,13.6,20.9,37.3,10706
Wyangala,5.0,4.0,4.0,13.0,26.0,8.6,6.9,6.9,22.4,44.8,14434
Wombat,4.0,10.0,7.0,20.0,49.0,4.1,10.3,7.2,20.6,50.5,14364
Cunningar,4.0,7.0,6.0,12.0,46.0,4.9,8.6,7.4,14.8,56.8,11164
Harden,70.0,79.0,76.0,150.0,286.0,10.0,11.3,10.9,21.5,41.0,11851
Boorowa,69.0,84.0,68.0,103.0,321.0,9.9,12.1,9.8,14.8,46.1,10503
Murrumburrah,4.0,8.0,3.0,11.0,27.0,7.0,14.0,5.3,19.3,47.4,12863
Frogmore,4.0,4.0,0.0,9.0,35.0,7.3,7.3,0.0,16.4,63.6,11571
Maimuru,9.0,12.0,12.0,7.0,30.0,11.2,15.0,15.0,8.8,37.5,12444
Bendick Murrell,8.0,3.0,11.0,8.0,28.0,13.8,5.2,19.0,13.8,48.3,10290
Koorawatha,20.0,9.0,17.0,15.0,68.0,14.8,6.7,12.6,11.1,50.4,12192
Monteagle,12.0,12.0,12.0,11.0,52.0,12.1,12.1,12.1,11.1,52.5,12683
Murringo,14.0,21.0,29.0,17.0,88.0,8.1,12.1,16.8,9.8,50.9,12858
Thuddungra,3.0,4.0,9.0,13.0,40.0,4.2,5.6,12.5,18.1,55.6,13853
Bribbaree,6.0,6.0,0.0,3.0,33.0,9.8,9.8,0.0,4.9,54.1,10566
Avoca Beach,313.0,288.0,260.0,282.0,1019.0,13.8,12.7,11.5,12.5,45.1,10114
Copacabana,204.0,161.0,165.0,191.0,588.0,14.8,11.7,12.0,13.9,42.7,11056
Killcare Heights,49.0,35.0,44.0,45.0,142.0,14.9,10.7,13.4,13.7,43.3,12134
Macmasters Beach,88.0,92.0,80.0,78.0,257.0,14.0,14.6,12.7,12.4,40.9,12432
Empire Bay,147.0,120.0,133.0,192.0,407.0,13.8,11.2,12.5,18.0,38.1,11415
Wagstaffe,18.0,9.0,6.0,12.0,37.0,20.2,10.1,6.7,13.5,41.6,14084
St Huberts Island,60.0,48.0,46.0,70.0,206.0,13.0,10.4,10.0,15.2,44.6,13638
Killcare,38.0,32.0,33.0,18.0,74.0,18.8,15.8,16.3,8.9,36.6,12133
Bensville,177.0,168.0,150.0,230.0,536.0,13.4,12.7,11.4,17.4,40.6,10297
Daleys Point,36.0,22.0,24.0,36.0,96.0,16.4,10.0,10.9,16.4,43.6,11189
Pretty Beach (Central Coast - NSW),26.0,15.0,25.0,14.0,61.0,18.4,10.6,17.7,9.9,43.3,13261
Hardys Bay,23.0,14.0,8.0,10.0,39.0,23.7,14.4,8.2,10.3,40.2,11852
Kincumber South,31.0,23.0,16.0,32.0,58.0,18.0,13.4,9.3,18.6,33.7,12142
Somersby,70.0,54.0,53.0,81.0,238.0,13.4,10.4,10.2,15.5,45.7,13571
Calga,5.0,5.0,9.0,11.0,24.0,8.8,8.8,15.8,19.3,42.1,10752
Woy Woy,417.0,426.0,471.0,814.0,1446.0,10.9,11.2,12.4,21.3,37.9,14425
Patonga,12.0,6.0,12.0,8.0,21.0,19.4,9.7,19.4,12.9,33.9,13160
Mooney Mooney,19.0,20.0,18.0,19.0,88.0,11.4,12.0,10.8,11.4,52.7,12704
Kariong,346.0,321.0,334.0,633.0,1387.0,11.0,10.2,10.6,20.1,44.0,12074
Peats Ridge,17.0,17.0,19.0,23.0,99.0,9.2,9.2,10.3,12.4,53.5,13172
Central Mangrove,24.0,14.0,18.0,13.0,83.0,15.4,9.0,11.5,8.3,53.2,10876
Mangrove Mountain,49.0,24.0,27.0,43.0,193.0,13.5,6.6,7.4,11.8,53.2,12472
Kulnura,25.0,28.0,25.0,32.0,164.0,8.4,9.4,8.4,10.7,54.8,12206
Mount White,6.0,20.0,7.0,11.0,46.0,6.2,20.6,7.2,11.3,47.4,12803
Wendoree Park,11.0,8.0,8.0,11.0,32.0,15.1,11.0,11.0,15.1,43.8,14224
Wisemans Ferry,13.0,17.0,8.0,15.0,54.0,11.8,15.5,7.3,13.6,49.1,14344
Gunderman,7.0,6.0,4.0,13.0,33.0,10.4,9.0,6.0,19.4,49.3,11808
Spencer,6.0,17.0,7.0,16.0,37.0,6.4,18.1,7.4,17.0,39.4,13607
Erina,248.0,185.0,170.0,280.0,601.0,16.0,12.0,11.0,18.1,38.9,11433
Green Point (Central Coast - NSW),401.0,304.0,344.0,530.0,1120.0,14.1,10.7,12.1,18.6,39.3,11753
Matcham,58.0,66.0,68.0,54.0,198.0,12.6,14.3,14.7,11.7,42.9,12520
Holgate,80.0,55.0,54.0,49.0,215.0,17.1,11.7,11.5,10.4,45.8,11921
Lisarow,326.0,291.0,250.0,493.0,1040.0,12.9,11.6,9.9,19.6,41.3,12343
Erina Heights,19.0,27.0,14.0,31.0,88.0,9.7,13.8,7.2,15.9,45.1,11434
Terrigal,719.0,609.0,605.0,862.0,2439.0,13.1,11.1,11.0,15.7,44.3,13805
Springfield (Central Coast - NSW),256.0,218.0,248.0,349.0,784.0,13.2,11.2,12.8,18.0,40.3,13623
North Gosford,217.0,153.0,202.0,347.0,685.0,12.9,9.1,12.0,20.7,40.8,12991
West Gosford,53.0,37.0,63.0,125.0,216.0,10.0,7.0,11.9,23.7,40.9,14244
Gosford,135.0,160.0,181.0,452.0,740.0,7.7,9.2,10.4,25.9,42.4,11722
East Gosford,190.0,222.0,201.0,339.0,701.0,10.8,12.7,11.5,19.3,40.0,11349
Point Frederick,107.0,90.0,93.0,168.0,343.0,12.6,10.6,11.0,19.8,40.4,13232
Kincumber,351.0,363.0,319.0,532.0,1105.0,12.3,12.8,11.2,18.7,38.9,12141
Picketts Valley,19.0,17.0,12.0,14.0,40.0,17.4,15.6,11.0,12.8,36.7,13198
Narara,448.0,394.0,518.0,849.0,1501.0,11.4,10.1,13.2,21.7,38.3,12895
Niagara Park,147.0,129.0,171.0,255.0,549.0,11.2,9.8,13.0,19.4,41.8,12961
Mount Elliot (NSW),9.0,12.0,11.0,16.0,30.0,10.6,14.1,12.9,18.8,35.3,12757
Point Clare,222.0,184.0,179.0,280.0,672.0,13.7,11.3,11.0,17.3,41.4,13231
Tascott,82.0,77.0,88.0,130.0,359.0,10.6,10.0,11.4,16.8,46.5,13772
Koolewong,62.0,45.0,38.0,74.0,175.0,14.9,10.8,9.2,17.8,42.2,12185
Saratoga,234.0,241.0,236.0,284.0,807.0,12.4,12.7,12.5,15.0,42.7,13492
Davistown,111.0,104.0,122.0,191.0,434.0,10.9,10.2,12.0,18.8,42.6,11221
Yattalunga (NSW),43.0,30.0,37.0,50.0,106.0,15.8,11.0,13.6,18.4,39.0,14496
North Avoca,142.0,134.0,122.0,167.0,541.0,12.2,11.5,10.5,14.3,46.4,12980
Umina Beach,825.0,773.0,824.0,1336.0,2644.0,12.1,11.4,12.1,19.6,38.8,14007
Booker Bay,67.0,45.0,64.0,97.0,177.0,14.1,9.5,13.4,20.4,37.2,10477
Ettalong Beach,195.0,210.0,193.0,339.0,622.0,11.7,12.6,11.6,20.3,37.3,11445
Pearl Beach,17.0,37.0,25.0,24.0,57.0,10.2,22.3,15.1,14.5,34.3,13171
Wamberal,460.0,334.0,381.0,460.0,1405.0,14.3,10.4,11.9,14.3,43.8,14122
Forresters Beach,176.0,167.0,175.0,196.0,524.0,13.2,12.5,13.1,14.7,39.3,11549
Tumbi Umbi,290.0,254.0,249.0,437.0,893.0,13.0,11.4,11.2,19.6,40.0,13962
Horsfield Bay,27.0,29.0,29.0,50.0,112.0,10.2,10.9,10.9,18.9,42.3,11941
Phegans Bay,27.0,22.0,29.0,28.0,100.0,12.3,10.0,13.2,12.8,45.7,13192
Woy Woy Bay,34.0,31.0,18.0,26.0,98.0,15.7,14.3,8.3,12.0,45.2,14426
Blackwall (NSW),84.0,75.0,110.0,147.0,301.0,11.0,9.8,14.4,19.3,39.4,10399
Wyoming,463.0,453.0,482.0,907.0,1522.0,11.4,11.2,11.9,22.4,37.6,14445
Bateau Bay,645.0,585.0,655.0,955.0,2001.0,12.6,11.4,12.8,18.6,39.0,10227
Killarney Vale,325.0,331.0,405.0,622.0,1156.0,10.8,11.0,13.4,20.6,38.3,12131
Blue Haven,280.0,300.0,328.0,614.0,975.0,10.5,11.2,12.3,23.0,36.5,10415
San Remo (NSW),202.0,199.0,235.0,365.0,640.0,11.6,11.5,13.5,21.0,36.8,13470
Doyalson,19.0,13.0,19.0,31.0,54.0,13.4,9.2,13.4,21.8,38.0,11286
Buff Point,170.0,147.0,169.0,251.0,526.0,12.7,10.9,12.6,18.7,39.2,10645
Budgewoi,151.0,153.0,151.0,265.0,531.0,11.3,11.4,11.3,19.8,39.7,10642
Halekulani,99.0,113.0,136.0,165.0,319.0,11.1,12.7,15.2,18.5,35.7,11830
Glenning Valley,145.0,109.0,109.0,191.0,465.0,13.8,10.4,10.4,18.1,44.2,11672
Berkeley Vale,441.0,413.0,440.0,795.0,1606.0,11.3,10.6,11.3,20.3,41.1,10304
Chittaway Point,58.0,48.0,56.0,69.0,210.0,12.2,10.1,11.8,14.5,44.1,10912
Chittaway Bay,128.0,105.0,130.0,194.0,352.0,13.3,10.9,13.6,20.2,36.7,10911
Kanwal,170.0,175.0,194.0,331.0,511.0,11.6,12.0,13.3,22.7,35.0,12067
Wyongah,96.0,109.0,119.0,189.0,379.0,10.1,11.5,12.5,19.9,39.9,14448
Tuggerawong,69.0,59.0,75.0,122.0,202.0,12.3,10.5,13.4,21.7,36.0,13951
Rocky Point (NSW),14.0,13.0,14.0,29.0,51.0,11.3,10.5,11.3,23.4,41.1,13388
Gorokan,324.0,318.0,391.0,688.0,1131.0,10.6,10.4,12.8,22.5,37.0,11721
Charmhaven,106.0,103.0,143.0,196.0,414.0,10.5,10.2,14.2,19.4,41.0,10889
Lake Haven,147.0,107.0,145.0,246.0,435.0,12.7,9.2,12.5,21.3,37.6,12247
Jilliby,120.0,104.0,89.0,129.0,351.0,14.3,12.4,10.6,15.3,41.7,12027
Yarramalong,17.0,25.0,27.0,24.0,85.0,8.8,12.9,13.9,12.4,43.8,14475
Cedar Brush Creek,6.0,5.0,4.0,18.0,16.0,12.2,10.2,8.2,36.7,32.7,10867
