,Less than $600 gross weekly income,"More than $3,000 gross weekly income",Less than $600 gross weekly income (%),"More than $3,000 gross weekly income (%)"
Homebush (NSW),--,--,18.4,14.0
Homebush West,--,--,20.2,7.6
Horningsea Park,--,--,9.1,15.6
Hornsby,--,--,19.0,13.3
Hornsby Heights,--,--,10.8,23.3
Horsley,--,--,13.9,12.4
Hoxton Park,--,--,11.2,9.6
Hunters Hill,--,--,16.7,31.3
Huntleys Point,--,--,9.5,50.0
Hurlstone Park,--,--,21.3,17.0
Hurstville,--,--,26.1,9.4
Hurstville Grove,--,--,19.2,22.5
Illawong,--,--,8.0,32.1
Ingleburn,--,--,22.0,8.0
Ingleside,--,--,15.9,22.6
Islington,--,--,24.7,6.5
Jamisontown,--,--,21.3,7.7
Jannali,--,--,21.4,16.5
Jesmond,--,--,40.8,2.8
Jewells,--,--,21.7,12.9
Kahibah,--,--,27.0,8.3
Kanahooka,--,--,30.0,8.0
Kangaroo Point (NSW),--,--,9.4,44.4
Kanwal,--,--,33.6,3.3
Kareela,--,--,12.8,24.9
Kariong,--,--,14.3,11.1
Kearns,--,--,13.1,15.0
Keiraville,--,--,29.7,10.4
Kellyville,--,--,8.6,28.9
Kembla Grange,--,--,11.6,20.3
Kensington (NSW),--,--,20.9,17.2
Kilaben Bay,--,--,20.2,17.6
Killara (NSW),--,--,12.5,32.6
Killarney Heights,--,--,10.6,29.0
Killarney Vale,--,--,29.1,3.7
Kincumber,--,--,33.6,5.7
Kincumber South,--,--,57.6,1.9
Kings Langley,--,--,12.4,21.8
Kings Park (NSW),--,--,13.0,13.2
Kingsford (NSW),--,--,28.1,14.5
Kingsgrove,--,--,24.3,12.6
Kingswood (Tamworth - NSW),--,--,14.2,14.8
Kirrawee,--,--,21.9,14.0
Kirribilli,--,--,19.8,23.6
Kogarah,--,--,21.8,9.0
Kogarah Bay,--,--,17.5,20.6
Koolewong,--,--,21.4,11.1
Koonawarra,--,--,33.9,2.6
Kotara,--,--,22.4,10.6
Kotara South,--,--,25.8,12.2
Kurnell,--,--,18.1,14.1
Kyeemagh,--,--,24.3,14.6
Kyle Bay,--,--,9.4,30.5
La Perouse,--,--,25.8,17.5
Lake Haven,--,--,43.1,3.4
Lake Heights,--,--,35.3,3.4
Lake Illawarra,--,--,43.0,2.8
Lakelands (NSW),--,--,12.0,22.4
Lakemba,--,--,32.0,2.7
Lalor Park,--,--,30.7,5.2
Lambton,--,--,29.0,9.6
Lane Cove,--,--,15.3,25.0
Lane Cove West,--,--,17.7,35.0
Lansvale,--,--,25.2,6.9
Lapstone,--,--,15.5,14.5
Lavender Bay,--,--,13.0,23.1
Leichhardt (NSW),--,--,16.3,24.9
Leonay,--,--,10.2,22.7
Lethbridge Park,--,--,37.8,2.0
Leumeah,--,--,25.5,6.8
Lewisham (NSW),--,--,19.1,22.2
Liberty Grove,--,--,10.7,24.8
Lidcombe,--,--,22.3,11.7
Lilli Pilli (Sutherland - NSW),--,--,8.1,32.7
Lilyfield,--,--,21.3,27.7
Lindfield,--,--,14.0,31.6
Linley Point,--,--,3.7,50.5
Lisarow,--,--,15.7,13.6
Little Bay,--,--,24.9,20.4
Liverpool,--,--,30.5,3.7
Loftus,--,--,17.8,17.8
Long Jetty,--,--,40.8,3.4
Long Point (Campbelltown - NSW),--,--,5.4,21.4
Longueville,--,--,8.9,50.5
Lugarno,--,--,15.1,23.4
Lurnea,--,--,32.9,4.3
Macquarie Fields,--,--,29.3,4.1
Macquarie Hills,--,--,12.6,14.5
Macquarie Links,--,--,6.5,41.5
Macquarie Park,--,--,26.0,8.9
Malabar,--,--,33.9,18.5
Mangerton,--,--,27.9,14.7
Manly (NSW),--,--,15.2,25.7
Manly Vale,--,--,16.3,16.7
Marayong,--,--,26.4,7.2
Mardi,--,--,19.7,9.2
Marks Point,--,--,35.8,5.4
Marmong Point,--,--,24.6,7.4
Maroubra,--,--,23.9,17.8
Marrickville,--,--,21.9,14.6
Marsfield,--,--,23.3,13.6
Maryland (Newcastle - NSW),--,--,17.0,9.5
Maryville,--,--,18.5,9.6
Mascot,--,--,18.1,15.5
Matraville,--,--,25.2,15.3
Mayfield (Newcastle - NSW),--,--,30.6,5.4
Mays Hill,--,--,21.6,12.5
McMahons Point,--,--,9.2,27.8
Meadowbank (NSW),--,--,18.0,10.5
Melrose Park (NSW),--,--,15.0,19.5
Menai,--,--,12.2,22.4
Merewether,--,--,20.9,19.6
Merewether Heights,--,--,12.9,20.7
Merrylands,--,--,27.4,6.8
Merrylands West,--,--,31.4,6.9
Middle Cove,--,--,7.5,41.3
Miller,--,--,50.6,1.7
Millers Point,--,--,22.1,23.2
Milperra,--,--,14.1,16.7
Milsons Point,--,--,9.1,30.5
Minchinbury,--,--,12.2,14.9
Minmi,--,--,16.8,11.4
Minto,--,--,22.9,5.9
Miranda (NSW),--,--,23.6,11.5
Mona Vale,--,--,15.9,19.6
Monterey,--,--,23.1,12.0
Moorebank,--,--,17.5,12.0
Mortdale,--,--,18.5,12.5
Mortlake (NSW),--,--,8.8,27.2
Mosman,--,--,12.4,28.8
Mount Annan,--,--,8.3,18.8
Mount Colah,--,--,11.6,22.9
Mount Druitt,--,--,24.1,4.9
Mount Hutton (NSW),--,--,31.6,5.8
Mount Keira,--,--,17.5,21.6
Mount Kembla,--,--,16.5,23.7
Mount Lewis,--,--,33.2,11.2
Mount Ousley,--,--,19.3,14.9
Mount Pleasant (NSW),--,--,12.3,25.3
Mount Pritchard,--,--,30.3,6.2
Mount Riverview,--,--,13.9,19.5
Mount Saint Thomas,--,--,31.9,9.4
Mount Warrigal,--,--,27.3,5.6
Narara,--,--,18.6,8.4
Narellan,--,--,19.6,9.7
Narellan Vale,--,--,10.2,14.1
Naremburn,--,--,12.0,32.3
Narrabeen,--,--,22.6,11.7
Narraweena,--,--,27.1,13.7
Narwee,--,--,31.2,8.4
Neutral Bay,--,--,11.7,24.1
New Lambton,--,--,25.6,11.5
New Lambton Heights,--,--,8.2,31.0
Newcastle,--,--,14.3,15.0
Newcastle East,--,--,33.3,12.7
Newcastle West,--,--,24.9,6.3
Newington (NSW),--,--,10.2,24.2
Newport (NSW),--,--,15.8,21.0
Newtown (NSW),--,--,15.4,21.0
Niagara Park,--,--,21.5,7.1
Norah Head,--,--,27.7,10.7
Noraville,--,--,30.7,5.7
Normanhurst,--,--,19.6,23.3
North Avoca,--,--,12.7,21.0
North Balgowlah,--,--,11.5,30.5
North Bondi,--,--,15.0,27.4
North Curl Curl,--,--,12.2,28.5
North Epping,--,--,14.0,29.9
North Gosford,--,--,30.2,5.5
North Lambton,--,--,28.1,6.2
North Manly,--,--,17.1,25.2
North Narrabeen,--,--,14.4,19.8
North Parramatta,--,--,22.2,10.0
North Rocks,--,--,11.4,21.1
North Ryde,--,--,21.7,21.6
North St Marys,--,--,31.6,5.0
North Strathfield,--,--,16.3,16.3
North Sydney,--,--,12.6,21.9
North Turramurra,--,--,14.8,22.8
North Wahroonga,--,--,9.5,35.3
North Willoughby,--,--,16.3,22.8
North Wollongong,--,--,31.1,7.1
Northbridge (NSW),--,--,11.0,36.1
Northmead,--,--,22.6,13.9
Northwood (NSW),--,--,6.5,47.0
Oak Flats,--,--,26.9,7.1
Oakhurst (NSW),--,--,12.0,10.7
Oatlands (NSW),--,--,15.6,20.3
Oatley,--,--,16.3,24.3
Old Guildford,--,--,23.0,6.8
Old Toongabbie,--,--,16.3,14.4
Ourimbah,--,--,19.4,10.1
Oxley Park,--,--,22.2,3.8
Oyster Bay,--,--,14.0,28.7
Paddington (NSW),--,--,13.5,29.7
Padstow,--,--,24.9,11.7
Padstow Heights,--,--,22.9,14.0
Pagewood,--,--,26.8,18.6
Palm Beach (NSW),--,--,15.4,21.3
Panania,--,--,23.6,13.5
Parramatta,--,--,18.5,8.0
Peakhurst,--,--,27.1,11.9
Peakhurst Heights,--,--,20.1,18.9
Pearl Beach,--,--,29.0,7.0
Pelican (NSW),--,--,29.4,3.9
Pendle Hill,--,--,26.9,8.7
Pennant Hills,--,--,14.3,23.4
Penrith,--,--,32.1,4.8
Penrose (Wollongong - NSW),--,--,33.7,7.4
Penshurst (NSW),--,--,20.7,11.9
Petersham,--,--,16.3,20.3
Phillip Bay,--,--,25.5,18.5
Picnic Point,--,--,16.9,21.2
Plumpton (NSW),--,--,12.4,12.1
Point Clare,--,--,29.2,9.2
Point Frederick,--,--,30.9,9.9
Point Piper,--,--,7.8,36.9
Port Kembla,--,--,37.9,4.5
Potts Point,--,--,15.5,14.4
Prairiewood,--,--,25.2,9.6
Prestons,--,--,11.6,15.6
Primbee,--,--,33.7,6.0
Prospect (NSW),--,--,14.9,14.5
Punchbowl (Canterbury - NSW),--,--,31.8,5.4
Putney,--,--,16.2,30.4
Pymble,--,--,8.3,37.7
Pyrmont,--,--,13.7,26.5
Quakers Hill,--,--,12.2,15.1
Queens Park (NSW),--,--,15.9,31.7
Raby,--,--,11.8,12.9
Ramsgate,--,--,17.1,15.2
Ramsgate Beach,--,--,30.9,8.9
Randwick,--,--,15.4,21.4
Rankin Park,--,--,14.5,16.1
Redfern,--,--,28.5,18.1
Redhead,--,--,32.0,14.1
Regents Park (NSW),--,--,29.4,5.7
Regentville,--,--,18.9,18.9
Revesby,--,--,25.6,10.8
Revesby Heights,--,--,17.6,15.9
Rhodes,--,--,21.4,17.6
Riverstone,--,--,23.8,8.9
Riverview (Lane Cove - NSW),--,--,7.8,39.8
Riverwood,--,--,38.6,5.4
Rockdale,--,--,20.3,9.0
Rocky Point (NSW),--,--,19.0,6.0
Rodd Point,--,--,18.9,26.4
Rooty Hill,--,--,18.8,10.8
Rose Bay (NSW),--,--,15.4,25.2
Rosebery (NSW),--,--,18.5,16.3
Roselands,--,--,25.5,9.1
Rosemeadow,--,--,18.4,7.4
Roseville,--,--,10.8,34.0
Roseville Chase,--,--,8.8,32.8
Rouse Hill,--,--,8.5,22.9
Rozelle,--,--,9.0,34.0
Ruse,--,--,16.6,9.7
Rushcutters Bay,--,--,19.4,15.1
Russell Lea,--,--,20.3,24.3
Russell Vale,--,--,25.5,9.8
Ryde,--,--,21.8,14.8
Sadleir,--,--,43.6,2.8
San Remo (NSW),--,--,28.9,3.2
Sandringham (NSW),--,--,22.0,17.7
Sans Souci,--,--,26.3,13.6
Saratoga,--,--,21.9,9.2
Scarborough (NSW),--,--,18.8,23.5
Schofields,--,--,18.3,12.3
Scotland Island,--,--,14.1,20.5
Seaforth (NSW),--,--,12.1,33.2
Sefton,--,--,27.3,7.6
Seven Hills (NSW),--,--,23.7,9.2
Shalvey,--,--,33.7,4.0
Shell Cove,--,--,10.5,18.8
Shellharbour,--,--,24.4,11.2
Shelly Beach (NSW),--,--,27.3,6.3
Shortland,--,--,35.4,3.5
Silverwater (Lake Macquarie - NSW),--,--,30.5,8.5
Smithfield (NSW),--,--,32.0,5.8
South Coogee,--,--,37.3,20.0
South Granville,--,--,39.7,5.5
South Hurstville,--,--,21.8,11.2
South Penrith,--,--,17.5,9.4
South Turramurra,--,--,10.0,29.9
South Wentworthville,--,--,24.3,8.8
Speers Point,--,--,27.6,10.9
Springfield (Gosford - NSW),--,--,22.9,8.1
Springwood (NSW),--,--,21.9,12.6
St Andrews (NSW),--,--,15.3,11.0
St Clair (Penrith - NSW),--,--,11.6,12.5
St Helens Park,--,--,16.1,7.5
St Huberts Island,--,--,27.0,9.6
St Ives (NSW),--,--,11.7,32.1
St Ives Chase,--,--,9.7,33.3
St Johns Park,--,--,22.8,10.1
St Leonards (NSW),--,--,10.2,24.7
St Marys (NSW),--,--,29.6,3.9
St Peters (NSW),--,--,13.6,17.8
Stanhope Gardens,--,--,12.2,25.0
Stanmore (NSW),--,--,13.1,21.2
Stockton (NSW),--,--,28.2,8.7
Strathfield (NSW),--,--,20.8,20.3
Strathfield South,--,--,18.5,15.4
Summer Hill (Ashfield - NSW),--,--,15.6,16.8
Surry Hills,--,--,20.1,20.8
Sutherland (NSW),--,--,19.9,9.1
Swansea (NSW),--,--,42.8,3.2
Swansea Heads,--,--,19.7,13.0
Sydenham (NSW),--,--,19.4,15.4
Sylvania,--,--,22.4,16.7
Sylvania Waters,--,--,13.9,21.1
Tacoma,--,--,15.2,11.7
Tacoma South,--,--,25.3,17.3
Tamarama,--,--,8.8,35.7
Taren Point,--,--,22.7,16.3
Tarrawanna,--,--,33.2,9.1
Tascott,--,--,21.5,9.0
Tempe,--,--,18.7,17.3
Teralba,--,--,31.3,5.8
Terrey Hills,--,--,11.5,25.4
Terrigal,--,--,22.2,12.6
The Entrance,--,--,42.3,2.5
The Entrance North,--,--,29.3,3.8
The Hill,--,--,17.3,14.7
The Junction,--,--,27.6,13.6
Thirroul,--,--,19.2,17.5
Thornleigh,--,--,13.8,24.0
Tighes Hill,--,--,28.2,5.3
Tingira Heights,--,--,17.3,11.9
Toongabbie (NSW),--,--,18.6,12.1
Toowoon Bay,--,--,37.9,3.1
Toronto,--,--,36.1,4.9
Toukley,--,--,43.1,3.1
Towradgi,--,--,35.1,9.0
Tregear,--,--,37.5,1.6
Tuggerah,--,--,25.1,3.8
Tuggerawong,--,--,31.1,6.9
Tumbi Umbi,--,--,25.1,10.2
Turramurra,--,--,12.6,29.7
Turrella,--,--,22.0,13.0
Ultimo,--,--,33.5,11.2
Umina Beach,--,--,31.8,5.6
Unanderra,--,--,39.9,3.5
Valentine (NSW),--,--,15.9,18.6
Valley Heights,--,--,15.5,14.2
Vaucluse,--,--,11.8,32.7
Villawood,--,--,50.6,2.9
Voyager Point,--,--,4.5,38.4
Wahroonga,--,--,11.7,31.3
Waitara,--,--,22.0,11.1
Wakeley,--,--,20.2,10.1
Wallsend,--,--,31.6,6.6
Wamberal,--,--,14.9,15.8
Warabrook,--,--,24.7,11.1
Waratah (NSW),--,--,33.8,5.6
Waratah West,--,--,29.8,5.1
Wareemba,--,--,21.9,21.7
Warilla,--,--,41.5,3.5
Warners Bay,--,--,27.1,9.3
Warrawee,--,--,10.5,37.7
Warrawong,--,--,47.4,1.8
Warriewood,--,--,11.4,22.7
Warrimoo,--,--,15.1,18.4
Warwick Farm,--,--,41.9,1.4
Watanobbi,--,--,28.6,3.8
Waterloo (NSW),--,--,40.8,12.2
Watsons Bay,--,--,14.8,28.7
Wattle Grove (NSW),--,--,8.5,16.7
Waverley (NSW),--,--,18.7,22.1
Waverton,--,--,12.9,28.6
Wentworthville,--,--,22.0,11.5
Werrington,--,--,25.5,4.3
Werrington County,--,--,13.1,11.7
Werrington Downs,--,--,11.3,13.2
West Gosford,--,--,36.7,3.5
West Hoxton,--,--,8.4,16.8
West Pennant Hills,--,--,10.9,33.8
West Pymble,--,--,11.9,31.7
West Ryde,--,--,20.1,13.7
West Wallsend,--,--,27.8,5.1
West Wollongong,--,--,28.7,8.5
Westleigh,--,--,8.9,28.7
Westmead,--,--,17.3,10.4
Wetherill Park,--,--,19.9,11.4
Whalan,--,--,36.3,2.5
Whitebridge,--,--,20.8,15.6
Wickham (NSW),--,--,24.9,8.1
Wiley Park,--,--,29.9,3.6
Willmot,--,--,36.9,2.2
Willoughby (NSW),--,--,15.5,27.9
Willoughby East,--,--,12.6,37.4
Windale,--,--,53.5,0.9
Windang,--,--,45.6,3.9
Winmalee,--,--,14.0,15.6
Winston Hills,--,--,16.2,19.0
Wollongong,--,--,32.2,7.4
Wollstonecraft,--,--,12.2,27.2
Wombarra,--,--,18.4,19.1
