,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%)
Glenwood (NSW),8335.0,4170.0,1162.0,1936.0,74.1,37.1,10.3,17.2
Gordon (NSW),3997.0,1557.0,562.0,1396.0,74.5,29.0,10.5,26.0
Gorokan,4134.0,1657.0,812.0,708.0,66.1,26.5,13.0,11.3
Gosford,2067.0,536.0,229.0,391.0,66.9,17.3,7.4,12.7
Granville (NSW),6057.0,2580.0,1129.0,1021.0,53.9,22.9,10.0,9.1
Grays Point,1759.0,736.0,297.0,469.0,78.0,32.6,13.2,20.8
Green Point (Great Lakes - NSW),361.0,127.0,64.0,100.0,75.5,26.5,13.4,20.8
Green Valley (NSW),5394.0,2642.0,1068.0,739.0,57.0,27.9,11.3,7.8
Greenacre,9377.0,4486.0,2190.0,1534.0,53.8,25.7,12.6,8.8
Greenfield Park,2159.0,938.0,458.0,313.0,57.1,24.8,12.1,8.3
Greenwich,3428.0,1145.0,497.0,1116.0,79.2,26.5,11.5,25.8
Greystanes,11697.0,5298.0,2126.0,1957.0,67.5,30.6,12.3,11.3
Guildford (NSW),8057.0,3767.0,1766.0,1188.0,52.8,24.7,11.6,7.8
Guildford West,1978.0,980.0,405.0,337.0,58.7,29.1,12.0,10.0
Gwynneville,1519.0,537.0,259.0,465.0,63.1,22.3,10.8,19.3
Gymea,4487.0,1767.0,674.0,962.0,76.0,29.9,11.4,16.3
Gymea Bay,4165.0,1969.0,718.0,1091.0,78.6,37.2,13.5,20.6
Haberfield,3799.0,1523.0,772.0,905.0,70.0,28.1,14.2,16.7
Halekulani,1380.0,508.0,268.0,239.0,67.9,25.0,13.2,11.8
Hamilton (NSW),2592.0,819.0,360.0,579.0,73.1,23.1,10.2,16.3
Hamilton East,567.0,226.0,104.0,160.0,76.3,30.5,14.1,21.6
Hamilton North,569.0,206.0,78.0,99.0,78.5,28.5,10.8,13.7
Hamilton South,2183.0,884.0,382.0,591.0,66.7,27.0,11.7,18.1
Hammondville,1583.0,724.0,258.0,299.0,61.5,28.1,10.0,11.6
Harrington Park,4153.0,2273.0,533.0,715.0,76.1,41.6,9.8,13.1
Harris Park,2247.0,971.0,392.0,394.0,53.1,22.9,9.3,9.3
Hassall Grove,2051.0,1108.0,340.0,362.0,64.8,35.0,10.7,11.4
Haymarket,1843.0,358.0,187.0,390.0,35.9,7.0,3.6,7.6
Heathcote (NSW),3642.0,1582.0,659.0,1038.0,76.1,33.1,13.8,21.7
Hebersham,2340.0,1160.0,510.0,335.0,58.0,28.8,12.6,8.3
Heckenberg,1103.0,518.0,270.0,147.0,49.9,23.4,12.2,6.6
Henley,286.0,114.0,58.0,95.0,78.1,31.1,15.8,25.8
Highfields (NSW),663.0,268.0,101.0,136.0,79.6,32.1,12.1,16.3
Hillsborough (Lake Macquarie - NSW),418.0,171.0,71.0,56.0,77.6,31.8,13.2,10.4
Hillsdale,2402.0,1023.0,389.0,369.0,58.8,25.1,9.5,9.0
Hinchinbrook (NSW),4817.0,2345.0,929.0,678.0,59.4,28.9,11.5,8.4
Holmesville,787.0,399.0,175.0,136.0,70.3,35.7,15.7,12.2
Holsworthy,2730.0,1283.0,314.0,577.0,72.0,33.9,8.3,15.2
Homebush (NSW),3070.0,1069.0,434.0,689.0,58.9,20.5,8.3,13.2
Homebush West,2859.0,1127.0,348.0,516.0,59.2,23.4,7.2,10.7
Horningsea Park,1737.0,947.0,251.0,216.0,66.2,36.1,9.6,8.2
Hornsby,11852.0,4657.0,1742.0,2944.0,72.6,28.5,10.7,18.0
Hornsby Heights,3949.0,1748.0,553.0,1114.0,81.5,36.1,11.4,23.0
Horsley,3946.0,2065.0,672.0,757.0,75.3,39.4,12.8,14.4
Hoxton Park,1946.0,990.0,326.0,235.0,61.6,31.3,10.3,7.4
Hunters Hill,4964.0,2053.0,823.0,1906.0,69.0,28.5,11.4,26.5
Huntleys Point,83.0,15.0,20.0,33.0,64.3,11.7,15.5,25.8
Hurlstone Park,2791.0,1051.0,528.0,628.0,70.7,26.6,13.4,15.9
Hurstville,12601.0,5254.0,2125.0,2191.0,57.4,23.9,9.7,10.0
Hurstville Grove,1388.0,553.0,237.0,300.0,71.4,28.4,12.2,15.4
