,People,Male,Female,Median age,Families,Average children per family,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Pennant Hills,7031.0,3443.0,3588.0,40.0,1941.0,1.9,2592.0,2.8,1842.0,2400.0,400.0,1.6
Penrith,11813.0,5652.0,6161.0,37.0,2890.0,1.7,5678.0,2.2,949.0,1700.0,250.0,1.2
Penrose,1396.0,700.0,696.0,38.0,395.0,1.8,591.0,2.5,1023.0,1650.0,200.0,1.6
Penshurst,734.0,362.0,372.0,48.0,192.0,2.3,325.0,2.4,903.0,780.0,100.0,2.0
Petersham,7529.0,3777.0,3752.0,35.0,1753.0,1.7,3421.0,2.2,1680.0,2600.0,350.0,1.1
Phillip Bay,635.0,310.0,325.0,42.0,177.0,2.1,231.0,3.0,1454.0,2167.0,231.0,1.9
Picnic Point,5608.0,2777.0,2831.0,39.0,1613.0,1.9,2030.0,2.9,1710.0,2232.0,440.0,2.0
Plumpton,418.0,222.0,196.0,36.0,115.0,2.1,144.0,3.1,1135.0,1400.0,200.0,2.6
Point Clare,3810.0,1822.0,1988.0,44.0,1003.0,1.9,1566.0,2.5,1051.0,2000.0,280.0,1.5
Point Frederick,1772.0,788.0,984.0,46.0,452.0,1.7,948.0,2.0,1033.0,1926.0,260.0,1.4
Point Piper,1404.0,674.0,730.0,48.0,313.0,1.7,727.0,2.3,2680.0,4067.0,750.0,1.8
Port Kembla,4884.0,2493.0,2391.0,43.0,1333.0,1.7,2135.0,2.4,806.0,1733.0,200.0,1.4
Potts Point,6862.0,3876.0,2986.0,35.0,1112.0,1.3,4727.0,1.5,1506.0,2167.0,400.0,0.5
Prairiewood,3009.0,1446.0,1563.0,39.0,854.0,2.0,950.0,3.3,1292.0,2167.0,220.0,1.9
Prestons,14420.0,7124.0,7296.0,31.0,3792.0,2.0,4087.0,3.6,1790.0,2401.0,400.0,2.0
Primbee,1579.0,786.0,793.0,45.0,445.0,1.7,687.0,2.4,937.0,1733.0,220.0,1.6
Prospect,1439.0,676.0,763.0,43.0,388.0,1.8,678.0,2.2,871.0,1100.0,215.0,1.7
Punchbowl,443.0,214.0,229.0,35.0,117.0,1.9,205.0,2.3,794.0,1200.0,180.0,1.5
Putney,4076.0,2004.0,2072.0,40.0,1116.0,1.9,1432.0,3.0,2154.0,3000.0,488.0,2.0
Pymble,10582.0,4897.0,5685.0,40.0,2972.0,1.9,3760.0,3.0,2671.0,3215.0,600.0,2.0
Pyrmont,11618.0,5911.0,5707.0,32.0,2870.0,1.4,6224.0,2.1,2186.0,2704.0,577.0,0.9
Quakers Hill,26166.0,13041.0,13125.0,32.0,7232.0,1.9,8577.0,3.2,1749.0,2167.0,360.0,1.8
Queens Park,5380.0,2778.0,2602.0,30.0,1322.0,1.9,2161.0,2.7,1313.0,2000.0,325.0,1.7
Raby,5985.0,2965.0,3020.0,33.0,1688.0,1.9,1968.0,3.1,1649.0,1900.0,310.0,2.0
Ramsgate,904.0,428.0,476.0,40.0,258.0,1.8,339.0,2.8,1483.0,2349.0,420.0,1.7
Ramsgate Beach,1462.0,672.0,790.0,45.0,382.0,1.5,808.0,2.0,1026.0,1900.0,360.0,1.3
Randwick,27740.0,13171.0,14569.0,35.0,6611.0,1.6,12768.0,2.3,1786.0,2600.0,460.0,1.2
Rankin Park,2451.0,1189.0,1262.0,41.0,742.0,1.8,967.0,2.7,1565.0,1800.0,363.0,1.9
Redfern,12034.0,6758.0,5276.0,36.0,2316.0,1.4,6579.0,1.9,1447.0,2522.0,380.0,0.8
Redhead,3453.0,1715.0,1738.0,45.0,951.0,1.9,1437.0,2.5,1032.0,2080.0,300.0,1.7
Regents Park,10657.0,5276.0,5381.0,30.0,2907.0,2.0,3545.0,3.1,1460.0,1820.0,340.0,2.0
Regentville,618.0,324.0,294.0,33.0,166.0,1.9,220.0,2.9,1565.0,2000.0,300.0,2.0
Revesby,12935.0,6221.0,6714.0,38.0,3421.0,1.8,4785.0,2.8,1222.0,2167.0,315.0,1.6
Revesby Heights,1368.0,642.0,726.0,36.0,371.0,1.9,483.0,2.9,1672.0,2292.0,420.0,1.9
Rhodes,5679.0,2810.0,2869.0,28.0,1455.0,1.4,2747.0,2.3,1617.0,2600.0,560.0,1.2
Riverstone,6191.0,3085.0,3106.0,35.0,1702.0,1.9,2330.0,2.8,1191.0,2000.0,295.0,1.8
Riverview,3243.0,1614.0,1629.0,33.0,758.0,2.2,1120.0,2.9,836.0,1300.0,180.0,1.4
Riverwood,10225.0,5007.0,5218.0,40.0,2606.0,1.8,4258.0,2.5,826.0,2000.0,160.0,1.2
Rockdale,14036.0,7253.0,6783.0,31.0,3536.0,1.7,5352.0,2.7,1323.0,2100.0,390.0,1.2
Rocky Point,1555.0,834.0,721.0,31.0,340.0,2.1,593.0,3.0,2335.0,2000.0,219.0,1.9
Rodd Point,1295.0,605.0,690.0,41.0,367.0,1.8,503.0,2.7,1900.0,2500.0,620.0,1.7
Rooty Hill,13377.0,6481.0,6896.0,34.0,3454.0,2.0,4057.0,3.3,1422.0,2024.0,320.0,1.7
Rose Bay,1076.0,515.0,561.0,48.0,307.0,1.7,523.0,2.2,1297.0,1755.0,265.0,1.7
Rosebery,3745.0,1904.0,1841.0,26.0,956.0,2.0,1325.0,3.0,2185.0,2698.0,450.0,2.0
Roselands,11167.0,5511.0,5656.0,36.0,2939.0,2.0,4020.0,2.9,1157.0,2167.0,310.0,1.7
Rosemeadow,7634.0,3703.0,3931.0,31.0,2015.0,2.1,2488.0,3.1,1286.0,1733.0,263.0,1.7
Roseville,9170.0,4396.0,4774.0,39.0,2450.0,2.0,3300.0,3.0,2563.0,3033.0,498.0,1.7
Roseville Chase,1595.0,787.0,808.0,40.0,442.0,1.9,537.0,3.1,2622.0,3467.0,500.0,1.9
Rouse Hill,7482.0,3776.0,3706.0,33.0,1898.0,2.1,2299.0,3.4,2132.0,2795.0,485.0,2.1
Rozelle,7919.0,3762.0,4157.0,36.0,2154.0,1.6,3783.0,2.3,2598.0,3033.0,530.0,1.3
Ruse,5502.0,2762.0,2740.0,36.0,1588.0,1.9,1995.0,2.9,1480.0,1862.0,320.0,1.9
Rushcutters Bay,2372.0,1185.0,1187.0,37.0,404.0,1.3,1685.0,1.5,1372.0,2050.0,350.0,0.6
Russell Lea,4780.0,2292.0,2488.0,39.0,1301.0,1.8,1943.0,2.6,1829.0,3000.0,430.0,1.6
Russell Vale,1518.0,761.0,757.0,38.0,425.0,1.9,585.0,2.7,1200.0,2167.0,205.0,1.7
Rydalmere,6216.0,3113.0,3103.0,37.0,1649.0,1.8,2267.0,2.8,1287.0,2275.0,300.0,1.6
Ryde,21599.0,10549.0,11050.0,37.0,5758.0,1.7,8836.0,2.6,1380.0,2300.0,360.0,1.5
Sadleir,3053.0,1503.0,1550.0,31.0,752.0,2.2,1046.0,3.0,700.0,1650.0,150.0,1.4
San Remo,884.0,435.0,449.0,44.0,272.0,1.7,460.0,2.5,1421.0,2162.0,330.0,2.0
Sandringham,9309.0,4415.0,4894.0,42.0,2415.0,1.9,3885.0,2.5,1836.0,2500.0,386.0,1.7
Sans Souci,9671.0,4567.0,5104.0,43.0,2665.0,1.8,4247.0,2.5,1248.0,2400.0,380.0,1.6
Saratoga,3715.0,1806.0,1909.0,41.0,1076.0,1.9,1515.0,2.7,1263.0,2020.0,320.0,1.8
Scarborough,14271.0,7288.0,6983.0,34.0,3407.0,1.6,7808.0,2.1,1566.0,2167.0,350.0,1.7
Schofields,3813.0,1939.0,1874.0,35.0,1020.0,2.0,1413.0,2.9,1454.0,2159.0,325.0,2.0
Scotland Island,715.0,372.0,343.0,39.0,204.0,1.8,344.0,2.8,1724.0,2817.0,380.0,1.4
Seaforth,788.0,420.0,368.0,48.0,237.0,1.8,598.0,2.4,1048.0,2000.0,270.0,1.9
Sefton,5230.0,2621.0,2609.0,36.0,1347.0,2.1,1767.0,3.1,985.0,1842.0,310.0,1.6
Seven Hills,2028.0,1015.0,1013.0,35.0,556.0,1.8,814.0,2.7,1865.0,2769.0,370.0,1.7
Shalvey,3517.0,1696.0,1821.0,29.0,915.0,2.1,1132.0,3.3,903.0,1638.0,170.0,1.5
Shell Cove,4029.0,1971.0,2058.0,35.0,1136.0,2.1,1327.0,3.3,1863.0,2253.0,430.0,2.1
Shellharbour,3327.0,1662.0,1665.0,40.0,971.0,1.8,1411.0,2.7,1208.0,1800.0,300.0,1.8
Shelly Beach,866.0,413.0,453.0,44.0,240.0,1.8,423.0,2.5,1076.0,1733.0,300.0,1.7
Shortland,3705.0,1843.0,1862.0,35.0,989.0,1.8,1632.0,2.4,878.0,1582.0,270.0,1.5
Silverwater,249.0,109.0,140.0,45.0,75.0,2.0,135.0,2.5,850.0,1500.0,295.0,1.7
Smithfield,2094.0,985.0,1109.0,34.0,546.0,1.8,871.0,2.4,747.0,1235.0,206.0,1.3
South Coogee,5076.0,2417.0,2659.0,42.0,1229.0,1.8,2295.0,2.4,1065.0,3100.0,135.0,1.2
South Granville,4853.0,2426.0,2427.0,31.0,1120.0,2.3,1605.0,3.2,768.0,1850.0,151.0,1.5
South Hurstville,4928.0,2348.0,2580.0,37.0,1320.0,1.8,1834.0,2.9,1305.0,2167.0,380.0,1.5
South Penrith,11640.0,5622.0,6018.0,36.0,3359.0,1.9,4388.0,2.8,1377.0,2000.0,300.0,1.8
South Turramurra,2974.0,1465.0,1509.0,40.0,830.0,1.9,1020.0,3.0,2343.0,2838.0,640.0,1.9
South Wentworthville,5526.0,2733.0,2793.0,34.0,1472.0,1.9,2067.0,2.9,1181.0,2156.0,345.0,1.7
Speers Point,3230.0,1591.0,1639.0,43.0,938.0,1.8,1427.0,2.5,1160.0,1733.0,280.0,1.7
Springfield,296.0,147.0,149.0,39.0,78.0,2.2,114.0,2.6,1089.0,1083.0,90.0,2.2
Springwood,8990.0,4448.0,4542.0,37.0,2569.0,1.7,3575.0,2.6,1445.0,1733.0,320.0,1.8
St Andrews,1138.0,592.0,546.0,40.0,312.0,2.0,415.0,3.0,1485.0,1800.0,250.0,2.4
St Clair,19837.0,9873.0,9964.0,32.0,5605.0,1.9,6421.0,3.2,1670.0,2000.0,330.0,2.1
St Helens Park,6323.0,3039.0,3284.0,29.0,1707.0,2.0,2105.0,3.1,1382.0,1842.0,320.0,1.8
St Huberts Island,1032.0,492.0,540.0,55.0,318.0,1.7,532.0,2.3,1044.0,2167.0,450.0,1.8
St Ives,15558.0,7502.0,8056.0,43.0,4435.0,1.9,5718.0,2.9,2478.0,3033.0,665.0,2.0
St Ives Chase,3087.0,1511.0,1576.0,42.0,899.0,1.9,1042.0,3.1,2601.0,3000.0,796.0,2.1
St Johns Park,5961.0,2905.0,3056.0,39.0,1637.0,1.9,1765.0,3.4,1172.0,2000.0,340.0,2.0
St Leonards,1924.0,938.0,986.0,37.0,525.0,1.8,760.0,2.5,960.0,1300.0,195.0,2.0
St Marys,800.0,407.0,393.0,46.0,223.0,1.7,443.0,2.2,572.0,693.0,140.0,1.7
St Peters,3202.0,1599.0,1603.0,40.0,823.0,1.9,1342.0,2.6,1680.0,2045.0,260.0,1.9
Stanhope Gardens,7671.0,3767.0,3904.0,32.0,2097.0,1.9,2493.0,3.1,2140.0,2817.0,500.0,1.8
Stanmore,481.0,238.0,243.0,39.0,137.0,1.9,201.0,2.9,993.0,1600.0,240.0,2.4
Stockton,4195.0,2092.0,2103.0,47.0,1015.0,1.7,1789.0,2.3,1072.0,1733.0,250.0,1.5
Strathfield,23639.0,11864.0,11775.0,33.0,5772.0,1.8,8430.0,2.9,1470.0,2500.0,420.0,1.5
Strathfield South,3211.0,1605.0,1606.0,36.0,866.0,1.8,1178.0,2.9,1475.0,2200.0,390.0,1.7
Summer Hill,6587.0,3167.0,3420.0,35.0,1605.0,1.6,3043.0,2.2,1570.0,2100.0,360.0,1.1
Surry Hills,15342.0,8873.0,6469.0,33.0,2950.0,1.4,8878.0,1.8,1760.0,2500.0,450.0,0.6
Sutherland,9923.0,4750.0,5173.0,36.0,2608.0,1.6,4828.0,2.1,1375.0,2132.0,360.0,1.3
Swansea,771.0,359.0,412.0,59.0,205.0,1.8,556.0,2.0,672.0,1083.0,195.0,1.7
Swansea Heads,706.0,360.0,346.0,42.0,193.0,1.9,294.0,2.8,1480.0,1733.0,395.0,1.9
Sydenham,10323.0,5153.0,5170.0,31.0,2673.0,1.9,3511.0,3.0,1419.0,1625.0,300.0,1.8
Sydney,14308.0,7355.0,6953.0,29.0,2522.0,1.3,8286.0,2.1,1488.0,2500.0,600.0,0.5
Sylvania,9728.0,4610.0,5118.0,43.0,2738.0,1.8,3982.0,2.6,1421.0,2500.0,380.0,1.8
Sylvania Waters,3125.0,1539.0,1586.0,41.0,915.0,1.8,1186.0,2.9,1660.0,2500.0,420.0,2.1
Tacoma,751.0,371.0,380.0,37.0,211.0,1.9,260.0,3.1,1375.0,1950.0,250.0,2.2
Tacoma South,265.0,134.0,131.0,40.0,79.0,1.8,100.0,2.9,1125.0,2300.0,410.0,2.3
Tamarama,1450.0,736.0,714.0,35.0,320.0,1.6,706.0,2.3,2666.0,3500.0,630.0,1.2
Taren Point,1681.0,766.0,915.0,58.0,474.0,1.7,734.0,2.3,1246.0,2255.0,480.0,1.7
Tarrawanna,1996.0,961.0,1035.0,42.0,545.0,1.9,832.0,2.5,1002.0,1733.0,202.0,1.6
Tascott,1706.0,855.0,851.0,41.0,446.0,1.8,694.0,2.6,1231.0,1889.0,340.0,1.6
Tempe,3299.0,1704.0,1595.0,38.0,863.0,1.7,1307.0,2.6,1615.0,2600.0,400.0,1.3
Teralba,1558.0,766.0,792.0,44.0,403.0,1.7,634.0,2.4,907.0,1517.0,210.0,1.7
Terrey Hills,2985.0,1521.0,1464.0,41.0,812.0,2.0,990.0,3.1,1902.0,2809.0,520.0,2.2
Terrigal,10614.0,5185.0,5429.0,41.0,2913.0,1.8,5016.0,2.5,1323.0,2167.0,360.0,1.8
The Entrance,3873.0,1860.0,2013.0,42.0,930.0,1.7,3104.0,2.0,699.0,1673.0,260.0,1.2
The Entrance North,1392.0,709.0,683.0,37.0,379.0,1.7,930.0,2.3,893.0,2000.0,280.0,1.5
The Hill,1716.0,862.0,854.0,31.0,387.0,1.6,969.0,2.0,1459.0,1993.0,273.0,1.5
The Junction,1495.0,735.0,760.0,39.0,359.0,1.8,766.0,2.1,1159.0,1733.0,260.0,1.5
Thirroul,5620.0,2768.0,2852.0,41.0,1518.0,1.9,2307.0,2.6,1625.0,2167.0,330.0,1.7
Thornleigh,8115.0,3976.0,4139.0,38.0,2266.0,1.9,2853.0,2.9,1964.0,2600.0,395.0,1.7
Tighes Hill,1615.0,818.0,797.0,36.0,398.0,1.7,739.0,2.2,996.0,1700.0,260.0,1.3
Tingira Heights,1976.0,979.0,997.0,36.0,566.0,1.9,716.0,2.9,1445.0,1820.0,300.0,2.0
Toongabbie,915.0,462.0,453.0,40.0,268.0,1.9,363.0,2.6,1239.0,1200.0,185.0,2.3
Toowoon Bay,548.0,261.0,287.0,52.0,150.0,1.4,430.0,1.9,804.0,2084.0,240.0,1.3
Toronto,5433.0,2581.0,2852.0,44.0,1452.0,1.9,2472.0,2.3,816.0,1668.0,200.0,1.5
Toukley,4139.0,1993.0,2146.0,47.0,1075.0,1.7,2194.0,2.1,710.0,1554.0,240.0,1.3
Towradgi,3123.0,1519.0,1604.0,43.0,800.0,1.8,1372.0,2.4,979.0,2000.0,230.0,1.5
Tregear,3916.0,1888.0,2028.0,28.0,979.0,2.2,1341.0,3.0,768.0,1408.0,205.0,1.2
Tuggerah,1017.0,489.0,528.0,32.0,270.0,1.9,398.0,2.7,1064.0,1580.0,290.0,1.5
Tuggerawong,1204.0,582.0,622.0,42.0,307.0,1.9,519.0,2.5,962.0,1733.0,220.0,1.7
Tumbi Umbi,4977.0,2426.0,2551.0,41.0,1399.0,2.0,1914.0,2.7,1151.0,1900.0,270.0,1.9
Turramurra,11083.0,5345.0,5738.0,42.0,3052.0,1.9,4122.0,2.8,2293.0,3000.0,510.0,1.8
Turrella,1600.0,782.0,818.0,34.0,415.0,2.2,515.0,3.4,1296.0,2383.0,450.0,1.6
Ultimo,7111.0,3644.0,3467.0,27.0,1140.0,1.4,3506.0,2.0,1098.0,2280.0,458.0,0.5
Umina Beach,16059.0,7669.0,8390.0,42.0,4396.0,1.8,7332.0,2.4,917.0,1841.0,275.0,1.4
Unanderra,5675.0,2684.0,2991.0,41.0,1508.0,1.8,2389.0,2.4,795.0,1794.0,170.0,1.4
Valentine,5555.0,2744.0,2811.0,43.0,1662.0,1.9,2146.0,2.7,1653.0,2100.0,350.0,2.0
Valley Heights,1383.0,706.0,677.0,41.0,407.0,1.8,525.0,2.7,1680.0,2000.0,310.0,1.9
Vaucluse,9051.0,4386.0,4665.0,39.0,2358.0,1.9,3577.0,2.8,2425.0,3250.0,531.0,1.8
Villawood,5304.0,2730.0,2574.0,36.0,1212.0,2.1,1913.0,2.7,586.0,1733.0,130.0,1.3
Voyager Point,1369.0,692.0,677.0,33.0,366.0,2.1,379.0,3.7,2551.0,2550.0,470.0,2.3
Wahroonga,16726.0,8001.0,8725.0,41.0,4459.0,1.9,5874.0,2.9,2381.0,3000.0,501.0,1.9
Waitara,5370.0,2584.0,2786.0,34.0,1473.0,1.5,2493.0,2.3,1413.0,2167.0,420.0,1.0
Wakeley,4671.0,2321.0,2350.0,36.0,1325.0,1.9,1420.0,3.4,1236.0,1990.0,350.0,2.0
Wallsend,12307.0,5907.0,6400.0,40.0,3270.0,1.8,5293.0,2.4,979.0,1665.0,260.0,1.6
Wamberal,6298.0,3075.0,3223.0,38.0,1756.0,1.9,2567.0,2.8,1552.0,2167.0,350.0,1.9
Warabrook,2091.0,963.0,1128.0,42.0,544.0,1.8,793.0,2.5,1233.0,1703.0,275.0,1.7
Waratah,298.0,177.0,121.0,45.0,72.0,2.3,166.0,2.1,560.0,670.0,123.0,2.5
Waratah West,2676.0,1306.0,1370.0,31.0,661.0,1.8,1129.0,2.5,954.0,1700.0,300.0,1.6
Wareemba,1474.0,696.0,778.0,41.0,424.0,1.7,636.0,2.5,1634.0,2903.0,480.0,1.5
Warilla,6408.0,3183.0,3225.0,42.0,1700.0,1.8,2792.0,2.4,730.0,1625.0,200.0,1.4
Warners Bay,7457.0,3531.0,3926.0,42.0,2136.0,1.8,3282.0,2.4,1055.0,1780.0,290.0,1.7
Warrawee,2912.0,1440.0,1472.0,40.0,796.0,1.9,1043.0,3.0,2658.0,3200.0,530.0,1.9
Warrawong,4764.0,2355.0,2409.0,41.0,1244.0,1.8,2140.0,2.4,646.0,1517.0,160.0,1.2
Warriewood,6146.0,2901.0,3245.0,38.0,1691.0,1.9,2153.0,2.9,1944.0,3000.0,570.0,1.9
Warrimoo,2346.0,1204.0,1142.0,37.0,647.0,1.9,869.0,2.8,1740.0,2000.0,330.0,1.9
Warwick Farm,4494.0,2312.0,2182.0,35.0,1044.0,1.7,2050.0,2.4,716.0,1387.0,230.0,1.0
Watanobbi,3774.0,1830.0,1944.0,34.0,1012.0,2.0,1405.0,2.7,973.0,1677.0,250.0,1.7
Waterloo,200.0,105.0,95.0,43.0,57.0,1.8,101.0,2.4,900.0,1975.0,80.0,2.6
Watsons Bay,918.0,477.0,441.0,35.0,182.0,1.9,345.0,2.4,2166.0,3100.0,400.0,1.6
Wattle Grove,4119.0,2033.0,2086.0,31.0,1143.0,1.9,1432.0,3.1,1954.0,2331.0,400.0,2.3
Waverley,1545.0,755.0,790.0,34.0,414.0,1.8,687.0,2.4,717.0,980.0,170.0,1.5
Waverton,2807.0,1333.0,1474.0,37.0,739.0,1.5,1516.0,2.0,2292.0,2500.0,490.0,1.2
Wentworthville,10588.0,5332.0,5256.0,34.0,2822.0,1.8,3993.0,2.8,1314.0,2037.0,340.0,1.4
Werrington,3849.0,1879.0,1970.0,32.0,1039.0,1.8,1600.0,2.5,1078.0,1610.0,280.0,1.4
Werrington County,3671.0,1842.0,1829.0,34.0,1054.0,1.8,1294.0,2.9,1605.0,1810.0,310.0,2.0
Werrington Downs,3264.0,1622.0,1642.0,33.0,930.0,1.9,1112.0,3.0,1725.0,1907.0,335.0,2.1
West Gosford,1392.0,629.0,763.0,45.0,318.0,1.5,720.0,1.9,790.0,1400.0,280.0,1.1
West Hoxton,9130.0,4502.0,4628.0,30.0,2395.0,2.1,2531.0,3.7,1872.0,2500.0,450.0,2.2
West Pennant Hills,15967.0,7813.0,8154.0,41.0,4551.0,1.9,5339.0,3.1,2449.0,2600.0,480.0,2.1
West Pymble,5151.0,2500.0,2651.0,39.0,1395.0,2.0,1760.0,3.1,2512.0,3000.0,618.0,1.9
West Ryde,11867.0,5851.0,6016.0,35.0,3225.0,1.7,4957.0,2.5,1392.0,2167.0,340.0,1.3
West Wallsend,1714.0,835.0,879.0,37.0,499.0,1.9,687.0,2.7,1057.0,1517.0,275.0,1.9
West Wollongong,4447.0,2185.0,2262.0,35.0,1171.0,1.8,1914.0,2.5,1068.0,1928.0,240.0,1.5
Westleigh,4481.0,2221.0,2260.0,41.0,1308.0,1.9,1543.0,3.0,2339.0,2584.0,546.0,2.0
Westmead,14171.0,7130.0,7041.0,31.0,3667.0,1.6,5497.0,2.6,1475.0,2000.0,360.0,1.2
Wetherill Park,6026.0,3009.0,3017.0,38.0,1697.0,1.9,1917.0,3.2,1309.0,1842.0,385.0,1.9
Whalan,5925.0,2888.0,3037.0,32.0,1514.0,2.1,2096.0,2.9,793.0,1517.0,190.0,1.3
Whitebridge,2567.0,1232.0,1335.0,40.0,723.0,1.9,992.0,2.7,1412.0,1846.0,300.0,1.9
Wiley Park,9698.0,5048.0,4650.0,30.0,2393.0,1.9,3434.0,3.0,876.0,1600.0,295.0,1.3
Willmot,2478.0,1251.0,1227.0,29.0,616.0,2.2,848.0,3.0,774.0,1400.0,185.0,1.3
Willoughby,5921.0,2854.0,3067.0,38.0,1570.0,1.8,2370.0,2.6,2124.0,3000.0,470.0,1.5
Willoughby East,1819.0,913.0,906.0,38.0,481.0,2.0,601.0,3.2,2691.0,3000.0,610.0,1.7
Windale,3095.0,1456.0,1639.0,38.0,794.0,1.9,1416.0,2.3,566.0,1300.0,132.0,1.1
Windang,2598.0,1343.0,1255.0,51.0,712.0,1.8,1277.0,2.1,677.0,1842.0,200.0,1.3
Winmalee,6593.0,3219.0,3374.0,38.0,1890.0,2.0,2382.0,2.9,1692.0,2000.0,330.0,2.0
Winston Hills,11184.0,5434.0,5750.0,39.0,3206.0,1.9,4021.0,2.8,1682.0,2400.0,410.0,1.8
Wollongong,16718.0,8598.0,8120.0,32.0,3702.0,1.6,8937.0,2.0,966.0,1800.0,280.0,1.2
Wollstonecraft,8012.0,3784.0,4228.0,35.0,2128.0,1.5,4356.0,2.0,2235.0,2600.0,466.0,1.2
Wombarra,864.0,414.0,450.0,43.0,240.0,1.8,403.0,2.6,1780.0,2200.0,370.0,1.7
Woodbine,2639.0,1305.0,1334.0,33.0,745.0,1.9,908.0,3.0,1419.0,1842.0,310.0,1.9
Woodcroft,10852.0,5296.0,5556.0,37.0,3102.0,1.9,4077.0,2.8,1344.0,1500.0,280.0,1.9
Woodpark,1324.0,667.0,657.0,34.0,375.0,1.9,450.0,3.1,1285.0,2167.0,360.0,1.8
Woodrising,1194.0,589.0,605.0,33.0,337.0,1.9,423.0,2.9,1200.0,1473.0,290.0,1.9
Woollahra,7180.0,3239.0,3941.0,40.0,1773.0,1.7,3739.0,2.1,2173.0,3033.0,550.0,1.3
Woolloomooloo,3716.0,2066.0,1650.0,36.0,687.0,1.5,2466.0,1.7,1383.0,2325.0,420.0,0.7
Woolooware,4210.0,2053.0,2157.0,38.0,1148.0,1.9,1674.0,2.7,1627.0,2400.0,330.0,1.7
Woolwich,815.0,365.0,450.0,49.0,210.0,2.0,327.0,2.5,2359.0,3600.0,390.0,1.8
Woonona,11442.0,5474.0,5968.0,40.0,3139.0,1.8,4751.0,2.5,1237.0,2167.0,260.0,1.6
Woronora,2220.0,1150.0,1070.0,39.0,630.0,2.0,792.0,3.0,1907.0,2600.0,380.0,2.0
Woronora Heights,2980.0,1531.0,1449.0,36.0,814.0,2.1,866.0,3.5,2581.0,2167.0,570.0,2.5
Woy Woy,10114.0,4792.0,5322.0,48.0,2646.0,1.7,4945.0,2.2,795.0,1733.0,240.0,1.2
Woy Woy Bay,432.0,211.0,221.0,48.0,121.0,1.7,197.0,2.6,1481.0,2299.0,275.0,2.0
Wyoming,9904.0,4660.0,5244.0,42.0,2600.0,1.9,4092.0,2.5,982.0,1759.0,265.0,1.5
Wyong,3632.0,1797.0,1835.0,45.0,949.0,1.8,1762.0,2.2,711.0,1649.0,220.0,1.3
Wyongah,1951.0,972.0,979.0,36.0,536.0,1.9,753.0,2.8,1153.0,1668.0,250.0,1.8
Yagoona,16003.0,7953.0,8050.0,35.0,3985.0,2.1,5341.0,3.1,980.0,1950.0,300.0,1.6
Yarrawarrah,2983.0,1475.0,1508.0,38.0,865.0,1.9,993.0,3.1,2151.0,2167.0,430.0,2.3
Yattalunga,321.0,162.0,159.0,41.0,98.0,1.7,111.0,3.1,1650.0,1500.0,223.0,2.9
Yennora,1404.0,683.0,721.0,41.0,311.0,2.3,490.0,2.8,644.0,1733.0,132.0,1.2
Yowie Bay,3167.0,1559.0,1608.0,43.0,898.0,2.0,1149.0,2.9,2009.0,2539.0,550.0,2.1
Zetland,3812.0,1990.0,1822.0,31.0,937.0,1.4,1999.0,2.1,1870.0,2557.0,565.0,1.2
