,People,Male,Female,Median age,Families,Average children per family,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Kingsgrove,11516.0,5647.0,5869.0,40.0,3293.0,1.8,4278.0,2.9,1257.0,2500.0,360.0,1.6
Kingswood,2354.0,1056.0,1298.0,44.0,585.0,1.9,979.0,2.4,1351.0,1746.0,270.0,1.6
Kirrawee,8977.0,4290.0,4687.0,39.0,2473.0,1.8,3684.0,2.6,1387.0,2496.0,330.0,1.6
Kirribilli,3668.0,1767.0,1901.0,39.0,843.0,1.5,2522.0,1.7,1976.0,2800.0,450.0,0.9
Kogarah,12764.0,6341.0,6423.0,33.0,3385.0,1.6,5200.0,2.6,1238.0,2032.0,360.0,1.2
Kogarah Bay,2061.0,1010.0,1051.0,40.0,578.0,1.9,706.0,3.1,1661.0,2817.0,510.0,1.9
Koolewong,794.0,402.0,392.0,46.0,225.0,1.9,393.0,2.4,1237.0,2040.0,285.0,1.6
Koonawarra,3633.0,1782.0,1851.0,35.0,1027.0,2.0,1355.0,2.7,845.0,1517.0,206.0,1.7
Kotara,3916.0,1918.0,1998.0,39.0,1135.0,1.8,1602.0,2.6,1297.0,1863.0,325.0,1.7
Kotara South,1144.0,568.0,576.0,39.0,351.0,1.8,463.0,2.7,1135.0,1900.0,170.0,1.8
Kurnell,2213.0,1104.0,1109.0,37.0,628.0,1.9,803.0,3.0,1597.0,2600.0,378.0,2.1
Kyeemagh,789.0,382.0,407.0,43.0,228.0,1.8,333.0,2.7,1485.0,2900.0,510.0,1.7
Kyle Bay,837.0,417.0,420.0,41.0,237.0,1.9,291.0,3.2,2236.0,3379.0,530.0,2.1
La Perouse,418.0,204.0,214.0,41.0,108.0,1.8,166.0,2.8,1037.0,4333.0,120.0,1.4
Lake Haven,3369.0,1535.0,1834.0,47.0,907.0,1.8,1572.0,2.2,698.0,1595.0,220.0,1.4
Lake Heights,3259.0,1625.0,1634.0,41.0,914.0,1.8,1405.0,2.5,895.0,1850.0,230.0,1.5
Lake Illawarra,3087.0,1491.0,1596.0,43.0,840.0,1.7,1556.0,2.2,707.0,1430.0,200.0,1.3
Lakelands,2923.0,1438.0,1485.0,28.0,807.0,1.9,1153.0,2.8,1578.0,2297.0,320.0,1.8
Lakemba,15508.0,8157.0,7351.0,30.0,3766.0,1.9,5343.0,3.0,849.0,1495.0,300.0,1.2
Lalor Park,6981.0,3434.0,3547.0,36.0,1874.0,1.9,2894.0,2.6,1017.0,1863.0,200.0,1.4
Lambton,5003.0,2353.0,2650.0,37.0,1344.0,1.8,2199.0,2.4,1141.0,1733.0,260.0,1.5
Lane Cove,9474.0,4428.0,5046.0,38.0,2509.0,1.7,4230.0,2.4,1942.0,2600.0,420.0,1.4
Lane Cove North,9337.0,4477.0,4860.0,35.0,2454.0,1.6,4306.0,2.3,1837.0,2500.0,400.0,1.3
Lane Cove West,2251.0,1079.0,1172.0,38.0,608.0,1.9,839.0,2.9,2540.0,3467.0,470.0,1.6
Lansvale,2429.0,1274.0,1155.0,38.0,646.0,2.0,825.0,3.1,1074.0,1850.0,290.0,1.9
Lapstone,911.0,459.0,452.0,43.0,280.0,1.8,356.0,2.7,1725.0,2167.0,345.0,1.8
Lavender Bay,852.0,400.0,452.0,36.0,198.0,1.5,521.0,1.9,1947.0,3000.0,421.0,1.1
Leichhardt,3384.0,1638.0,1746.0,30.0,877.0,2.0,1314.0,2.7,846.0,1495.0,240.0,1.5
Leonay,2421.0,1215.0,1206.0,40.0,733.0,1.9,882.0,2.9,1902.0,2167.0,400.0,2.1
Lethbridge Park,4655.0,2267.0,2388.0,32.0,1184.0,2.1,1709.0,2.8,759.0,1517.0,195.0,1.3
Leumeah,9419.0,4596.0,4823.0,35.0,2612.0,1.8,3726.0,2.6,1144.0,1733.0,260.0,1.5
Lewisham,881.0,453.0,428.0,41.0,256.0,1.7,405.0,2.5,1137.0,1517.0,250.0,2.1
Liberty Grove,2048.0,1035.0,1013.0,32.0,578.0,1.6,793.0,2.8,1924.0,2400.0,500.0,1.4
Lidcombe,16670.0,8473.0,8197.0,33.0,4377.0,1.8,5578.0,3.1,1230.0,2000.0,370.0,1.4
