,Separate house,"Semi-detached, row or terrace house, townhouse etc",Flat or apartment,Other dwelling,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)",Flat or apartment (%),Other dwelling (%),SSC_CODE
Hamilton North,337.0,23.0,7.0,0.0,91.8,6.3,1.9,0.0,11840
Hamilton (NSW),1051.0,495.0,173.0,30.0,59.5,28.0,9.8,1.7,11838
New Lambton,3110.0,541.0,329.0,5.0,77.9,13.6,8.2,0.1,12942
Lambton,1504.0,290.0,147.0,5.0,76.9,14.8,7.5,0.3,12264
Jesmond,511.0,304.0,271.0,0.0,46.9,27.9,24.9,0.0,12023
Maryland (Newcastle - NSW),2390.0,210.0,9.0,0.0,91.5,8.0,0.3,0.0,12514
Fletcher (NSW),1471.0,21.0,0.0,0.0,98.6,1.4,0.0,0.0,11533
Minmi,228.0,9.0,0.0,0.0,95.0,3.8,0.0,0.0,12638
Warabrook,474.0,192.0,27.0,0.0,68.1,27.6,3.9,0.0,14140
Mayfield West,605.0,113.0,51.0,0.0,78.4,14.6,6.6,0.0,12536
Mayfield (Newcastle - NSW),2871.0,576.0,305.0,34.0,75.4,15.1,8.0,0.9,12530
Mayfield East,580.0,104.0,25.0,0.0,81.5,14.6,3.5,0.0,12534
Merewether Heights,455.0,12.0,0.0,0.0,97.4,2.6,0.0,0.0,12574
Merewether,2603.0,816.0,858.0,3.0,60.6,19.0,20.0,0.1,12573
The Junction,202.0,145.0,92.0,0.0,46.0,33.0,21.0,0.0,13827
Cooks Hill,270.0,812.0,526.0,0.0,16.7,50.4,32.6,0.0,11019
Bar Beach,196.0,87.0,224.0,0.0,38.4,17.1,43.9,0.0,10187
Newcastle,30.0,58.0,1175.0,8.0,2.3,4.5,91.4,0.6,12949
The Hill,129.0,213.0,551.0,3.0,14.3,23.6,61.2,0.3,13826
Newcastle East,43.0,160.0,239.0,0.0,9.7,36.2,54.1,0.0,12950
Carrington (Newcastle - NSW),517.0,228.0,80.0,0.0,61.5,27.1,9.5,0.0,10830
Shortland,1222.0,306.0,19.0,0.0,78.4,19.6,1.2,0.0,13542
Birmingham Gardens,694.0,70.0,68.0,0.0,83.1,8.4,8.1,0.0,10377
Sandgate (NSW),58.0,0.0,0.0,3.0,87.9,0.0,0.0,4.5,13474
North Lambton,1051.0,93.0,69.0,0.0,86.4,7.6,5.7,0.0,12993
Stockton (NSW),1234.0,111.0,145.0,3.0,82.0,7.4,9.6,0.2,13662
Fern Bay,1162.0,8.0,5.0,0.0,98.9,0.7,0.4,0.0,11501
Fullerton Cove,155.0,63.0,0.0,0.0,70.1,28.5,0.0,0.0,11575
Wallsend,3949.0,667.0,253.0,28.0,80.4,13.6,5.2,0.6,14118
Georgetown (NSW),690.0,27.0,77.0,3.0,86.6,3.4,9.7,0.4,11603
Waratah West,964.0,85.0,37.0,0.0,88.0,7.8,3.4,0.0,14142
Waratah (NSW),1111.0,324.0,346.0,7.0,61.7,18.0,19.2,0.4,14141
Wickham (NSW),142.0,250.0,54.0,22.0,29.2,51.3,11.1,4.5,14285
Maryville,424.0,148.0,41.0,0.0,69.2,24.1,6.7,0.0,12518
Tighes Hill,550.0,39.0,51.0,0.0,85.0,6.0,7.9,0.0,13863
Islington,496.0,237.0,69.0,12.0,60.3,28.8,8.4,1.5,11990
Ballina,1764.0,1540.0,315.0,205.0,45.9,40.1,8.2,5.3,10162
West Ballina,860.0,239.0,49.0,106.0,68.4,19.0,3.9,8.4,14240
East Ballina,1324.0,671.0,189.0,83.0,58.2,29.5,8.3,3.6,11345
Skennars Head,357.0,47.0,4.0,11.0,84.6,11.1,0.9,2.6,13554
Alstonville,1807.0,431.0,36.0,7.0,78.7,18.8,1.6,0.3,10046
Wollongbar,872.0,82.0,86.0,0.0,83.4,7.8,8.2,0.0,14357
Wardell,236.0,0.0,6.0,33.0,85.8,0.0,2.2,12.0,14144
East Wardell,98.0,0.0,5.0,0.0,95.1,0.0,4.9,0.0,11365
Meerschaum Vale,126.0,0.0,0.0,0.0,97.7,0.0,0.0,0.0,12556
Keith Hall,42.0,0.0,0.0,0.0,80.8,0.0,0.0,0.0,12086
Fernleigh,83.0,0.0,0.0,0.0,96.5,0.0,0.0,0.0,11508
Tintenbar,251.0,4.0,0.0,0.0,98.4,1.6,0.0,0.0,13878
Cumbalum,453.0,20.0,0.0,0.0,94.6,4.2,0.0,0.0,11154
Brooklet,76.0,0.0,6.0,6.0,86.4,0.0,6.8,6.8,10598
Knockrow,67.0,0.0,3.0,0.0,95.7,0.0,4.3,0.0,12178
Newrybar,150.0,0.0,3.0,8.0,93.2,0.0,1.9,5.0,12957
Alstonvale,147.0,3.0,0.0,0.0,98.0,2.0,0.0,0.0,10045
Ewingsdale,237.0,3.0,0.0,13.0,92.2,1.2,0.0,5.1,11474
Coorabell,142.0,0.0,0.0,6.0,95.9,0.0,0.0,4.1,11051
Possum Creek,95.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13252
Bangalow,668.0,16.0,10.0,3.0,94.9,2.3,1.4,0.4,10174
Coopers Shoot,87.0,3.0,0.0,0.0,96.7,3.3,0.0,0.0,11049
Skinners Shoot,24.0,0.0,0.0,8.0,66.7,0.0,0.0,22.2,13556
Talofa,34.0,3.0,0.0,0.0,91.9,8.1,0.0,0.0,13739
Nashua,89.0,0.0,0.0,0.0,95.7,0.0,0.0,0.0,12914
Federal (NSW),231.0,0.0,3.0,3.0,97.5,0.0,1.3,1.3,11499
Brunswick Heads,425.0,66.0,154.0,100.0,55.9,8.7,20.3,13.2,10621
Ocean Shores,1761.0,142.0,95.0,3.0,87.3,7.0,4.7,0.1,13070
Tyagarah,50.0,0.0,0.0,0.0,86.2,0.0,0.0,0.0,13993
New Brighton,123.0,3.0,0.0,0.0,97.6,2.4,0.0,0.0,12939
South Golden Beach,264.0,10.0,9.0,3.0,92.3,3.5,3.1,1.0,13581
Wooyung,38.0,0.0,0.0,13.0,74.5,0.0,0.0,25.5,14418
Byron Bay,1138.0,235.0,321.0,107.0,61.8,12.8,17.4,5.8,10733
Suffolk Park,933.0,288.0,27.0,18.0,71.9,22.2,2.1,1.4,13684
Broken Head,85.0,0.0,0.0,13.0,84.2,0.0,0.0,12.9,10591
Woodburn (Richmond Valley - NSW),257.0,7.0,3.0,0.0,96.3,2.6,1.1,0.0,14379
Broadwater (Richmond Valley - NSW),196.0,0.0,0.0,47.0,79.4,0.0,0.0,19.0,10580
Evans Head,650.0,392.0,128.0,58.0,52.8,31.8,10.4,4.7,11469
Swan Bay (Richmond Valley - NSW),67.0,3.0,0.0,0.0,95.7,4.3,0.0,0.0,13705
Lennox Head,1606.0,569.0,89.0,11.0,69.9,24.8,3.9,0.5,12303
Myocum,328.0,0.0,0.0,16.0,92.7,0.0,0.0,4.5,12877
Billinudgel,62.0,3.0,10.0,4.0,78.5,3.8,12.7,5.1,10355
Yelgun,28.0,0.0,3.0,3.0,82.4,0.0,8.8,8.8,14499
Main Arm,185.0,0.0,0.0,7.0,94.9,0.0,0.0,3.6,12445
Upper Main Arm,91.0,0.0,0.0,6.0,93.8,0.0,0.0,6.2,14035
Mullumbimby,1184.0,38.0,78.0,27.0,88.6,2.8,5.8,2.0,12828
Mullumbimby Creek,168.0,0.0,0.0,3.0,98.2,0.0,0.0,1.8,12829
Wilsons Creek,130.0,0.0,0.0,6.0,92.9,0.0,0.0,4.3,14310
Goonengerry,119.0,0.0,0.0,5.0,86.9,0.0,0.0,3.6,11712
Yorklea,128.0,0.0,0.0,3.0,97.7,0.0,0.0,2.3,14517
Casino,3556.0,71.0,497.0,85.0,84.2,1.7,11.8,2.0,10843
North Casino,295.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12987
Bonalbo,140.0,3.0,0.0,0.0,95.9,2.1,0.0,0.0,10463
Coraki,412.0,10.0,5.0,3.0,94.5,2.3,1.1,0.7,11063
Ellangowan (NSW),104.0,0.0,0.0,5.0,95.4,0.0,0.0,4.6,11400
Goonellabah,3837.0,846.0,179.0,3.0,78.6,17.3,3.7,0.1,11711
Kyogle,777.0,11.0,55.0,10.0,89.7,1.3,6.4,1.2,12229
Geneva,272.0,0.0,3.0,0.0,98.9,0.0,1.1,0.0,11599
Lillian Rock,78.0,0.0,0.0,3.0,96.3,0.0,0.0,3.7,12323
New Park,39.0,0.0,0.0,11.0,78.0,0.0,0.0,22.0,12945
Cawongla,73.0,0.0,0.0,4.0,94.8,0.0,0.0,5.2,10864
East Lismore,1429.0,283.0,134.0,7.0,76.6,15.2,7.2,0.4,11358
Lismore (NSW),949.0,171.0,208.0,25.0,69.8,12.6,15.3,1.8,12344
Lismore Heights,649.0,203.0,38.0,0.0,72.9,22.8,4.3,0.0,12345
South Lismore,587.0,12.0,60.0,15.0,86.7,1.8,8.9,2.2,13589
Girards Hill,456.0,12.0,96.0,0.0,80.9,2.1,17.0,0.0,11631
North Lismore,287.0,0.0,0.0,3.0,97.3,0.0,0.0,1.0,12994
Loftville,14.0,0.0,0.0,120.0,10.4,0.0,0.0,89.6,12372
Modanville,202.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12655
Clunes (NSW),293.0,0.0,0.0,10.0,94.5,0.0,0.0,3.2,10939
The Channon,130.0,0.0,0.0,3.0,97.7,0.0,0.0,2.3,13816
Rosebank,148.0,0.0,0.0,3.0,96.1,0.0,0.0,1.9,13401
East Coraki,72.0,0.0,0.0,3.0,96.0,0.0,0.0,4.0,11347
Tregeagle,150.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13933
Wyrallah,144.0,0.0,0.0,3.0,98.0,0.0,0.0,2.0,14449
South Gundurimba,113.0,0.0,0.0,3.0,97.4,0.0,0.0,2.6,13585
Caniaba,200.0,0.0,0.0,0.0,96.2,0.0,0.0,0.0,10790
Keerrong,43.0,3.0,0.0,0.0,93.5,6.5,0.0,0.0,12083
Tullera,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13956
Bexhill,77.0,0.0,3.0,87.0,46.1,0.0,1.8,52.1,10333
Richmond Hill (NSW),296.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13361
McLeans Ridges,163.0,0.0,3.0,0.0,98.2,0.0,1.8,0.0,12545
Eltham (NSW),85.0,0.0,3.0,26.0,74.6,0.0,2.6,22.8,11409
Nimbin,556.0,8.0,13.0,29.0,90.7,1.3,2.1,4.7,12965
Stony Chute,59.0,0.0,0.0,3.0,95.2,0.0,0.0,4.8,13667
Tuntable Creek,76.0,0.0,0.0,3.0,96.2,0.0,0.0,3.8,13971
Coffee Camp,80.0,3.0,0.0,3.0,93.0,3.5,0.0,3.5,10958
Jiggi,127.0,0.0,0.0,4.0,96.9,0.0,0.0,3.1,12026
Dunoon,255.0,0.0,0.0,3.0,98.8,0.0,0.0,1.2,11325
Fingal Head,146.0,12.0,15.0,4.0,81.1,6.7,8.3,2.2,11519
Casuarina (NSW),547.0,147.0,147.0,0.0,64.5,17.3,17.3,0.0,10851
Kingscliff,1671.0,485.0,641.0,15.0,59.1,17.2,22.7,0.5,12154
Chinderah,298.0,10.0,0.0,455.0,38.2,1.3,0.0,58.3,10905
Cudgen,220.0,59.0,3.0,3.0,77.2,20.7,1.1,1.1,11143
Murwillumbah,2041.0,227.0,376.0,0.0,76.8,8.5,14.2,0.0,12866
South Murwillumbah,346.0,0.0,23.0,29.0,86.9,0.0,5.8,7.3,13593
Bray Park (NSW),282.0,8.0,5.0,0.0,95.6,2.7,1.7,0.0,10552
Mount Burrell,86.0,0.0,0.0,4.0,95.6,0.0,0.0,4.4,12749
Crystal Creek (NSW),83.0,0.0,3.0,3.0,93.3,0.0,3.4,3.4,11138
Stokers Siding,227.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13664
Upper Crystal Creek,68.0,0.0,3.0,6.0,84.0,0.0,3.7,7.4,14021
Nobbys Creek,96.0,0.0,3.0,0.0,97.0,0.0,3.0,0.0,12968
Kynnumboon,49.0,0.0,0.0,3.0,94.2,0.0,0.0,5.8,12228
Fernvale (NSW),79.0,0.0,0.0,0.0,96.3,0.0,0.0,0.0,11511
Reserve Creek,43.0,0.0,0.0,4.0,91.5,0.0,0.0,8.5,13353
Nunderi,224.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13042
Uki,238.0,0.0,0.0,3.0,97.5,0.0,0.0,1.2,14000
Bogangar,720.0,286.0,111.0,3.0,63.9,25.4,9.8,0.3,10439
Cabarita Beach,15.0,0.0,16.0,7.0,39.5,0.0,42.1,18.4,10737
Pottsville,1763.0,424.0,88.0,37.0,75.7,18.2,3.8,1.6,13257
Burringbar,280.0,3.0,0.0,6.0,95.9,1.0,0.0,2.1,10713
Hastings Point,50.0,9.0,27.0,150.0,15.4,2.8,8.3,46.2,11868
Tweed Heads,1207.0,974.0,1439.0,19.0,33.0,26.6,39.3,0.5,13984
Tweed Heads West,1361.0,530.0,561.0,118.0,52.7,20.5,21.7,4.6,13986
Bilambil Heights,1068.0,62.0,58.0,3.0,89.7,5.2,4.9,0.3,10348
Bilambil,117.0,23.0,0.0,0.0,83.6,16.4,0.0,0.0,10347
Glengarrie,26.0,0.0,0.0,26.0,50.0,0.0,0.0,50.0,11666
Banora Point,3956.0,2241.0,172.0,3.0,62.0,35.1,2.7,0.0,10185
Terranora,899.0,0.0,0.0,0.0,99.7,0.0,0.0,0.0,13802
Tweed Heads South,1567.0,986.0,493.0,219.0,47.8,30.1,15.0,6.7,13985
Griffith (NSW),4879.0,390.0,791.0,71.0,79.2,6.3,12.8,1.2,11782
Yoogali,324.0,3.0,13.0,0.0,94.5,0.9,3.8,0.0,14516
Bilbul,173.0,0.0,0.0,0.0,98.3,0.0,0.0,0.0,10349
Yenda (NSW),502.0,5.0,29.0,0.0,93.1,0.9,5.4,0.0,14504
Beelbangera,133.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10251
Hillston,470.0,0.0,27.0,18.0,90.6,0.0,5.2,3.5,11912
Whitton,174.0,0.0,0.0,3.0,96.7,0.0,0.0,1.7,14280
Hanwood,380.0,3.0,8.0,0.0,94.3,0.7,2.0,0.0,11850
Coleambally,418.0,0.0,28.0,7.0,92.3,0.0,6.2,1.5,10964
Darlington Point,408.0,3.0,7.0,3.0,96.9,0.7,1.7,0.7,11215
Carrathool,72.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,10827
Goolgowi,146.0,0.0,3.0,0.0,93.0,0.0,1.9,0.0,11705
Lake Wyangan,274.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12255
Leeton,2673.0,184.0,196.0,26.0,86.1,5.9,6.3,0.8,12293
Yanco,210.0,19.0,15.0,0.0,85.0,7.7,6.1,0.0,14460
Corbie Hill,73.0,0.0,0.0,0.0,96.1,0.0,0.0,0.0,11068
Merungle Hill,77.0,0.0,0.0,3.0,96.2,0.0,0.0,3.8,12590
Narrandera,1517.0,36.0,64.0,12.0,92.7,2.2,3.9,0.7,12906
Gillenbah,35.0,0.0,0.0,3.0,92.1,0.0,0.0,7.9,11622
Tumbarumba,681.0,15.0,11.0,7.0,94.7,2.1,1.5,1.0,13961
Khancoban,122.0,0.0,0.0,0.0,97.6,0.0,0.0,0.0,12111
Tumut,2122.0,103.0,113.0,0.0,90.2,4.4,4.8,0.0,13966
Batlow,498.0,7.0,5.0,3.0,95.4,1.3,1.0,0.6,10232
Talbingo,89.0,0.0,0.0,3.0,96.7,0.0,0.0,3.3,13730
Adelong,354.0,3.0,14.0,3.0,93.9,0.8,3.7,0.8,10018
Cootamundra,2518.0,117.0,67.0,15.0,92.4,4.3,2.5,0.6,11053
Wallendbeen,96.0,0.0,0.0,3.0,97.0,0.0,0.0,3.0,14113
Gundagai,587.0,27.0,18.0,23.0,88.4,4.1,2.7,3.5,11803
South Gundagai,289.0,3.0,3.0,0.0,98.0,1.0,1.0,0.0,13584
Junee,1366.0,42.0,42.0,0.0,93.8,2.9,2.9,0.0,12046
Temora,1692.0,38.0,112.0,21.0,90.4,2.0,6.0,1.1,13784
Lake Albert (NSW),2087.0,11.0,86.0,0.0,95.4,0.5,3.9,0.0,12238
East Wagga Wagga,73.0,0.0,0.0,10.0,84.9,0.0,0.0,11.6,11364
Kooringal (NSW),2280.0,17.0,532.0,4.0,80.4,0.6,18.8,0.1,12193
Gumly Gumly,96.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,11800
Tatton,729.0,0.0,76.0,0.0,90.6,0.0,9.4,0.0,13775
Estella,656.0,110.0,3.0,0.0,85.3,14.3,0.4,0.0,11444
Boorooma,250.0,3.0,4.0,0.0,94.0,1.1,1.5,0.0,10501
North Wagga Wagga,213.0,0.0,5.0,4.0,94.7,0.0,2.2,1.8,13014
Springvale (Wagga Wagga - NSW),481.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13628
Lloyd,263.0,5.0,15.0,0.0,92.9,1.8,5.3,0.0,12365
Bourkelands,923.0,11.0,48.0,0.0,94.0,1.1,4.9,0.0,10523
Glenfield Park,1726.0,83.0,54.0,75.0,89.1,4.3,2.8,3.9,11665
Tolland,1070.0,5.0,217.0,0.0,82.6,0.4,16.8,0.0,13887
Mount Austin,1406.0,66.0,64.0,3.0,91.4,4.3,4.2,0.2,12748
Turvey Park,1173.0,41.0,18.0,8.0,94.4,3.3,1.4,0.6,13983
Ashmont,1182.0,0.0,238.0,0.0,83.0,0.0,16.7,0.0,10101
Wagga Wagga,1696.0,552.0,760.0,41.0,55.4,18.0,24.8,1.3,14083
Ladysmith,122.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12233
The Rock,428.0,3.0,0.0,0.0,98.6,0.7,0.0,0.0,13838
Forest Hill (NSW),604.0,0.0,70.0,17.0,86.9,0.0,10.1,2.4,11544
Lockhart,396.0,0.0,21.0,7.0,93.4,0.0,5.0,1.7,12369
Uranquinty,317.0,0.0,0.0,0.0,99.1,0.0,0.0,0.0,14055
Gobbagombalin,152.0,0.0,0.0,0.0,98.1,0.0,0.0,0.0,11689
Coolamon,704.0,3.0,21.0,0.0,95.9,0.4,2.9,0.0,11025
Tarcutta,149.0,0.0,0.0,7.0,90.9,0.0,0.0,4.3,13763
Berry,842.0,96.0,55.0,8.0,82.2,9.4,5.4,0.8,10322
Kangaroo Valley,273.0,0.0,8.0,27.0,85.0,0.0,2.5,8.4,12061
Barrengarry,48.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,10213
Upper Kangaroo River,44.0,0.0,0.0,0.0,93.6,0.0,0.0,0.0,14030
Bellawongarah,37.0,0.0,0.0,0.0,92.5,0.0,0.0,0.0,10267
Beaumont (NSW),40.0,0.0,0.0,0.0,90.9,0.0,0.0,0.0,10242
Jaspers Brush,130.0,0.0,3.0,0.0,97.7,0.0,2.3,0.0,12002
Shoalhaven Heads,879.0,138.0,85.0,264.0,64.2,10.1,6.2,19.3,13540
Callala Bay,788.0,45.0,0.0,0.0,94.3,5.4,0.0,0.0,10757
Callala Beach,306.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10758
Myola (NSW),29.0,0.0,0.0,12.0,64.4,0.0,0.0,26.7,12878
Orient Point,233.0,0.0,4.0,0.0,98.3,0.0,1.7,0.0,13096
Culburra Beach,1036.0,78.0,19.0,8.0,90.3,6.8,1.7,0.7,11146
Greenwell Point,474.0,3.0,19.0,31.0,89.4,0.6,3.6,5.8,11769
Huskisson,199.0,90.0,57.0,6.0,55.6,25.1,15.9,1.7,11966
Vincentia,1215.0,73.0,66.0,0.0,89.5,5.4,4.9,0.0,14075
Bomaderry,1999.0,464.0,124.0,94.0,74.4,17.3,4.6,3.5,10453
North Nowra,1891.0,148.0,55.0,3.0,90.0,7.0,2.6,0.1,13000
Bangalee (NSW),222.0,0.0,0.0,0.0,94.5,0.0,0.0,0.0,10173
Cambewarra Village,378.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10764
Worrigee,1542.0,92.0,9.0,0.0,93.9,5.6,0.5,0.0,14423
Nowra,2892.0,472.0,161.0,41.0,79.9,13.0,4.4,1.1,13028
Nowra Hill,350.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13029
West Nowra,455.0,52.0,0.0,0.0,89.2,10.2,0.0,0.0,14248
Terara,70.0,0.0,0.0,18.0,63.6,0.0,0.0,16.4,13795
South Nowra,558.0,52.0,4.0,4.0,89.1,8.3,0.6,0.6,13594
St Georges Basin,970.0,84.0,10.0,27.0,88.9,7.7,0.9,2.5,13636
Worrowing Heights,197.0,17.0,0.0,0.0,92.1,7.9,0.0,0.0,14424
Basin View,509.0,14.0,34.0,0.0,91.4,2.5,6.1,0.0,10223
Sanctuary Point,2763.0,80.0,35.0,20.0,95.2,2.8,1.2,0.7,13472
Erowal Bay,243.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11436
Old Erowal Bay,391.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13075
Sussex Inlet,1346.0,47.0,59.0,128.0,84.7,3.0,3.7,8.1,13700
Swanhaven,42.0,0.0,0.0,37.0,53.2,0.0,0.0,46.8,13709
Cudmirrah,95.0,0.0,0.0,23.0,80.5,0.0,0.0,19.5,11145
Falls Creek (NSW),299.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11487
Tomerong,353.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13894
Woollamia,204.0,0.0,0.0,7.0,96.7,0.0,0.0,3.3,14405
Ulladulla,2219.0,308.0,70.0,117.0,81.3,11.3,2.6,4.3,14003
Kings Point,212.0,4.0,0.0,0.0,98.1,1.9,0.0,0.0,12153
Burrill Lake,539.0,44.0,0.0,3.0,91.5,7.5,0.0,0.5,10712
Dolphin Point,65.0,3.0,0.0,3.0,91.5,4.2,0.0,4.2,11269
Milton (NSW),488.0,54.0,3.0,24.0,84.6,9.4,0.5,4.2,12630
Mollymook Beach,925.0,75.0,31.0,3.0,89.5,7.3,3.0,0.3,12670
Narrawallee,478.0,3.0,19.0,0.0,95.6,0.6,3.8,0.0,12909
Mollymook,362.0,24.0,30.0,8.0,85.4,5.7,7.1,1.9,12669
Manyana,230.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12482
Fishermans Paradise,186.0,0.0,0.0,0.0,98.4,0.0,0.0,0.0,11523
Lake Tabourie,260.0,0.0,0.0,3.0,98.9,0.0,0.0,1.1,12254
Lake Conjola,193.0,0.0,0.0,3.0,98.5,0.0,0.0,1.5,12244
Bawley Point,266.0,0.0,0.0,20.0,93.0,0.0,0.0,7.0,10235
Kioloa,113.0,0.0,0.0,4.0,94.2,0.0,0.0,3.3,12165
Bowral,3418.0,541.0,99.0,11.0,83.4,13.2,2.4,0.3,10536
Burradoo,901.0,19.0,0.0,0.0,96.2,2.0,0.0,0.0,10701
Woodlands (Wingecarribee - NSW),88.0,0.0,0.0,3.0,96.7,0.0,0.0,3.3,14388
Balmoral (Wingecarribee - NSW),143.0,0.0,0.0,0.0,97.9,0.0,0.0,0.0,10167
Hill Top (Wingecarribee - NSW),848.0,0.0,6.0,4.0,98.0,0.0,0.7,0.5,11905
Colo Vale,516.0,0.0,0.0,0.0,98.7,0.0,0.0,0.0,10985
Alpine,38.0,0.0,0.0,3.0,92.7,0.0,0.0,7.3,10044
Mittagong,1888.0,159.0,105.0,41.0,85.5,7.2,4.8,1.9,12653
Willow Vale (Wingecarribee - NSW),237.0,0.0,3.0,0.0,98.8,0.0,1.2,0.0,14307
Renwick,200.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13350
Welby,270.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,14219
Braemar,149.0,0.0,7.0,0.0,95.5,0.0,4.5,0.0,10545
Moss Vale,2716.0,305.0,79.0,54.0,85.4,9.6,2.5,1.7,12739
Berrima,241.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10320
New Berrima,219.0,0.0,0.0,0.0,98.6,0.0,0.0,0.0,12938
Robertson (NSW),649.0,0.0,0.0,0.0,98.2,0.0,0.0,0.0,13374
Avoca (NSW),70.0,3.0,0.0,0.0,95.9,4.1,0.0,0.0,10113
Bundanoon (NSW),1069.0,15.0,9.0,4.0,97.1,1.4,0.8,0.4,10670
Wingello,209.0,3.0,0.0,0.0,98.6,1.4,0.0,0.0,14330
Exeter (NSW),380.0,0.0,0.0,0.0,98.4,0.0,0.0,0.0,11475
High Range,122.0,0.0,0.0,8.0,93.8,0.0,0.0,6.2,11900
Canyonleigh,139.0,0.0,0.0,3.0,97.9,0.0,0.0,2.1,10799
Baulkham Hills,9016.0,1844.0,1157.0,6.0,74.8,15.3,9.6,0.0,10233
Bella Vista,1812.0,361.0,0.0,0.0,83.3,16.6,0.0,0.0,10263
Glenhaven,1662.0,368.0,98.0,0.0,78.1,17.3,4.6,0.0,11667
Castle Hill (NSW),9418.0,1559.0,1626.0,3.0,74.6,12.3,12.9,0.0,10847
West Pennant Hills,4609.0,365.0,83.0,0.0,91.1,7.2,1.6,0.0,14249
Cherrybrook,4677.0,922.0,182.0,3.0,80.7,15.9,3.1,0.1,10898
Kellyville,7294.0,596.0,104.0,0.0,90.8,7.4,1.3,0.0,12088
Kenthurst,1371.0,36.0,15.0,7.0,95.2,2.5,1.0,0.5,12100
Glenorie,989.0,3.0,3.0,3.0,98.1,0.3,0.3,0.3,11673
Maroota,180.0,0.0,0.0,0.0,98.4,0.0,0.0,0.0,12500
Cattai,227.0,0.0,3.0,0.0,96.6,0.0,1.3,0.0,10859
South Maroota,149.0,0.0,0.0,8.0,94.9,0.0,0.0,5.1,13592
Dural (Hornsby - NSW),1922.0,225.0,108.0,68.0,82.3,9.6,4.6,2.9,11328
Annangrove,366.0,4.0,0.0,0.0,97.9,1.1,0.0,0.0,10062
Galston,875.0,69.0,67.0,8.0,85.4,6.7,6.5,0.8,11582
Arcadia (NSW),409.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,10072
Bilpin,211.0,0.0,0.0,0.0,98.1,0.0,0.0,0.0,10358
Lower Macdonald,113.0,0.0,0.0,0.0,96.6,0.0,0.0,0.0,12408
Bowen Mountain,506.0,0.0,0.0,0.0,99.4,0.0,0.0,0.0,10528
Grose Vale,366.0,0.0,0.0,0.0,98.4,0.0,0.0,0.0,11785
Grose Wold,177.0,0.0,0.0,3.0,96.2,0.0,0.0,1.6,11786
Kurrajong,940.0,15.0,13.0,0.0,96.8,1.5,1.3,0.0,12218
Kurrajong Hills,207.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12220
Kurrajong Heights,440.0,0.0,0.0,0.0,99.3,0.0,0.0,0.0,12219
Kurmond,267.0,0.0,6.0,0.0,96.7,0.0,2.2,0.0,12215
East Kurrajong,603.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,11356
Wilberforce (NSW),891.0,7.0,0.0,38.0,93.7,0.7,0.0,4.0,14288
Freemans Reach,620.0,0.0,0.0,0.0,99.5,0.0,0.0,0.0,11564
Sackville,84.0,0.0,0.0,8.0,91.3,0.0,0.0,8.7,13458
Ebenezer (NSW),282.0,0.0,0.0,3.0,97.9,0.0,0.0,1.0,11371
Glossodia,870.0,0.0,0.0,3.0,99.7,0.0,0.0,0.3,11684
Tennyson (NSW),118.0,0.0,0.0,0.0,95.9,0.0,0.0,0.0,13789
Vineyard,274.0,76.0,9.0,34.0,68.0,18.9,2.2,8.4,14076
McGraths Hill,774.0,42.0,22.0,0.0,92.4,5.0,2.6,0.0,12542
Maraylya,347.0,5.0,0.0,0.0,98.6,1.4,0.0,0.0,12484
Oakville,567.0,0.0,6.0,3.0,96.9,0.0,1.0,0.5,13060
Pitt Town,880.0,6.0,18.0,6.0,96.7,0.7,2.0,0.7,13226
Pitt Town Bottoms,12.0,0.0,0.0,9.0,57.1,0.0,0.0,42.9,13227
Rouse Hill,1366.0,774.0,83.0,68.0,59.5,33.7,3.6,3.0,13429
