,Separate house,"Semi-detached, row or terrace house, townhouse etc",Flat or apartment,Other dwelling,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)",Flat or apartment (%),Other dwelling (%),SSC_CODE
Old Bar,1376.0,242.0,113.0,12.0,77.2,13.6,6.3,0.7,13073
Black Head,219.0,148.0,10.0,3.0,57.6,38.9,2.6,0.8,10384
Red Head,157.0,6.0,12.0,34.0,75.1,2.9,5.7,16.3,13329
Rainbow Flat,234.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13305
Hallidays Point,182.0,0.0,0.0,3.0,98.4,0.0,0.0,1.6,11832
Wallabi Point,225.0,16.0,10.0,0.0,89.6,6.4,4.0,0.0,14099
Tallwoods Village,232.0,28.0,10.0,0.0,85.9,10.4,3.7,0.0,13737
Taree,5046.0,731.0,626.0,17.0,78.1,11.3,9.7,0.3,13764
Cundletown,685.0,18.0,0.0,26.0,93.6,2.5,0.0,3.6,11161
Taree South,99.0,0.0,0.0,20.0,76.7,0.0,0.0,15.5,13765
Pampoolah,137.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13142
Tinonee,389.0,9.0,5.0,0.0,94.6,2.2,1.2,0.0,13876
Harrington,1071.0,162.0,18.0,102.0,79.2,12.0,1.3,7.5,11858
Moorland (NSW),186.0,0.0,0.0,3.0,98.4,0.0,0.0,1.6,12714
Upper Lansdowne,210.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,14033
Lansdowne (Mid-Coast - NSW),217.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12273
Elands,82.0,3.0,0.0,0.0,96.5,3.5,0.0,0.0,11388
Killawarra (NSW),52.0,0.0,0.0,0.0,94.5,0.0,0.0,0.0,12132
Krambach,142.0,0.0,0.0,3.0,95.3,0.0,0.0,2.0,12202
Firefly,103.0,0.0,0.0,0.0,97.2,0.0,0.0,0.0,11521
Wingham,1879.0,102.0,57.0,17.0,91.0,4.9,2.8,0.8,14332
Thurgoona,2692.0,58.0,0.0,3.0,97.4,2.1,0.0,0.1,13856
East Albury,1896.0,469.0,71.0,0.0,77.7,19.2,2.9,0.0,11344
North Albury,1960.0,392.0,0.0,13.0,82.5,16.5,0.0,0.5,12977
Lavington,3766.0,1162.0,116.0,42.0,73.8,22.8,2.3,0.8,12287
Glenroy (Albury - NSW),1055.0,104.0,9.0,3.0,89.9,8.9,0.8,0.3,11678
Hamilton Valley,178.0,6.0,0.0,0.0,94.7,3.2,0.0,0.0,11842
Albury,1242.0,592.0,101.0,15.0,63.4,30.2,5.2,0.8,10027
South Albury,316.0,251.0,61.0,0.0,50.1,39.8,9.7,0.0,13573
West Albury,1264.0,211.0,0.0,0.0,85.7,14.3,0.0,0.0,14239
Jindera,670.0,15.0,3.0,0.0,97.4,2.2,0.4,0.0,12032
Holbrook,613.0,12.0,25.0,3.0,92.9,1.8,3.8,0.5,11920
Table Top,417.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13722
Gerogery,185.0,0.0,0.0,0.0,98.4,0.0,0.0,0.0,11605
Culcairn,508.0,6.0,4.0,6.0,96.9,1.1,0.8,1.1,11147
Henty (NSW),445.0,15.0,0.0,5.0,92.9,3.1,0.0,1.0,11892
