,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%)
Mosman,6426.0,3478.0,511.0,58.1,31.4,4.6
Mount Annan,1844.0,129.0,25.0,91.0,6.4,1.2
Mount Colah,1897.0,259.0,32.0,84.9,11.6,1.4
Mount Druitt,2855.0,639.0,106.0,75.4,16.9,2.8
Mount Hutton,824.0,255.0,29.0,72.7,22.5,2.6
Mount Keira,402.0,62.0,11.0,82.9,12.8,2.3
Mount Kembla,259.0,49.0,8.0,81.7,15.5,2.5
Mount Lewis,270.0,49.0,9.0,80.8,14.7,2.7
Mount Ousley,512.0,125.0,13.0,77.6,18.9,2.0
Mount Pleasant,264.0,49.0,6.0,79.8,14.8,1.8
Mount Pritchard,2272.0,503.0,58.0,77.4,17.1,2.0
Mount Riverview,892.0,145.0,13.0,84.4,13.7,1.2
Mount Saint Thomas,412.0,151.0,26.0,67.0,24.6,4.2
Mount Warrigal,1582.0,223.0,22.0,85.3,12.0,1.2
Narara,2180.0,389.0,73.0,80.8,14.4,2.7
Narellan,984.0,183.0,35.0,80.9,15.0,2.9
Narellan Vale,1917.0,175.0,36.0,87.8,8.0,1.6
Naremburn,1302.0,579.0,164.0,60.2,26.8,7.6
Narrabeen,1546.0,1098.0,165.0,52.2,37.1,5.6
Narraweena,1410.0,510.0,47.0,70.3,25.4,2.3
Narwee,1050.0,378.0,31.0,69.7,25.1,2.1
Neutral Bay,2205.0,1928.0,521.0,43.1,37.7,10.2
New Lambton,2429.0,1292.0,170.0,61.2,32.5,4.3
New Lambton Heights,697.0,92.0,21.0,83.4,11.0,2.5
Newcastle,229.0,241.0,108.0,31.0,32.6,14.6
Newcastle East,154.0,186.0,67.0,34.0,41.1,14.8
Newcastle West,11.0,51.0,3.0,16.7,77.3,4.5
Newington,307.0,57.0,16.0,76.0,14.1,4.0
Newport,2476.0,784.0,122.0,69.2,21.9,3.4
Newtown,2630.0,2052.0,885.0,43.0,33.5,14.5
Niagara Park,637.0,155.0,23.0,77.3,18.8,2.8
Norah Head,289.0,70.0,12.0,71.2,17.2,3.0
Noraville,679.0,273.0,34.0,67.6,27.2,3.4
Normanhurst,1138.0,338.0,47.0,73.4,21.8,3.0
North Avoca,600.0,155.0,30.0,74.4,19.2,3.7
North Balgowlah,907.0,155.0,25.0,82.5,14.1,2.3
North Bondi,2008.0,945.0,358.0,55.2,26.0,9.8
North Curl Curl,847.0,190.0,52.0,76.2,17.1,4.7
North Epping,1172.0,212.0,25.0,81.6,14.8,1.7
