,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%)
Balgowlah,1686.0,720.0,144.0,63.3,27.0,5.4
Balgowlah Heights,881.0,152.0,12.0,82.1,14.2,1.1
Balgownie,1720.0,396.0,58.0,76.8,17.7,2.6
Balmain,2243.0,1404.0,334.0,52.0,32.6,7.7
Balmain East,460.0,273.0,70.0,53.7,31.9,8.2
Bangor,1496.0,159.0,13.0,88.4,9.4,0.8
Banksia,764.0,155.0,26.0,77.7,15.8,2.6
Bankstown,6038.0,1533.0,267.0,73.5,18.7,3.3
Bar Beach,298.0,233.0,54.0,46.0,36.0,8.3
Barden Ridge,986.0,30.0,9.0,95.3,2.9,0.9
Bardwell Park,607.0,160.0,22.0,75.1,19.8,2.7
Bardwell Valley,492.0,163.0,13.0,71.9,23.8,1.9
Barnsley,506.0,70.0,14.0,84.3,11.7,2.3
Barrack Heights,1808.0,381.0,42.0,79.1,16.7,1.8
Barrack Point,152.0,69.0,7.0,62.3,28.3,2.9
Bass Hill,2166.0,596.0,33.0,75.2,20.7,1.1
Bateau Bay,3043.0,1146.0,85.0,70.0,26.4,2.0
Baulkham Hills,9335.0,1403.0,238.0,83.6,12.6,2.1
Bayview,830.0,361.0,15.0,67.1,29.2,1.2
Beacon Hill,1670.0,230.0,44.0,84.0,11.6,2.2
Beaconsfield,181.0,84.0,21.0,59.9,27.8,7.0
Beecroft,2337.0,351.0,49.0,83.8,12.6,1.8
Belfield,1463.0,472.0,29.0,72.7,23.5,1.4
Bella Vista,1178.0,55.0,23.0,93.0,4.3,1.8
Bellambi,1138.0,450.0,41.0,67.5,26.7,2.4
Bellevue Hill,2276.0,1046.0,300.0,57.8,26.5,7.6
Belmont,1677.0,814.0,73.0,63.8,31.0,2.8
Belmont North,1548.0,406.0,33.0,76.3,20.0,1.6
Belmont South,321.0,113.0,15.0,69.9,24.6,3.3
Belmore,2983.0,860.0,139.0,69.1,19.9,3.2
Belrose,2064.0,441.0,25.0,81.0,17.3,1.0
Bensville,473.0,64.0,8.0,84.9,11.5,1.4
Berala,1920.0,529.0,80.0,73.4,20.2,3.1
Berkeley,2009.0,568.0,26.0,75.5,21.3,1.0
Berkeley Vale,2513.0,615.0,70.0,76.9,18.8,2.1
Berowra,1169.0,173.0,22.0,81.5,12.1,1.5
Berowra Heights,1481.0,152.0,26.0,88.0,9.0,1.5
Beverley Park,550.0,146.0,18.0,74.8,19.9,2.4
Beverly Hills,2360.0,654.0,63.0,73.2,20.3,2.0
Bexley,4413.0,1283.0,201.0,71.4,20.8,3.3
Bexley North,1035.0,303.0,20.0,73.1,21.4,1.4
Bidwill,1094.0,178.0,32.0,79.0,12.9,2.3
Birchgrove,785.0,354.0,103.0,60.7,27.4,8.0
Birmingham Gardens,454.0,184.0,66.0,63.1,25.6,9.2
Birrong,701.0,160.0,19.0,71.1,16.2,1.9
Blackalls Park,797.0,202.0,19.0,77.5,19.6,1.8
Blackbutt,821.0,165.0,15.0,80.2,16.1,1.5
Blackett,885.0,133.0,22.0,81.7,12.3,2.0
Blacksmiths,481.0,256.0,16.0,61.2,32.6,2.0
Blacktown,9800.0,2416.0,377.0,75.0,18.5,2.9
Blackwall,472.0,240.0,13.0,63.3,32.2,1.7
Blairmount,85.0,11.0,3.0,85.0,11.0,3.0
Blakehurst,1386.0,326.0,21.0,77.9,18.3,1.2
Blaxland,1937.0,430.0,67.0,78.7,17.5,2.7
Blue Bay,243.0,126.0,12.0,60.3,31.3,3.0
Blue Haven,1325.0,228.0,37.0,81.9,14.1,2.3
Bolton Point,581.0,151.0,9.0,75.6,19.6,1.2
Bondi,1863.0,1290.0,517.0,44.0,30.5,12.2
Bondi Beach,2109.0,1643.0,699.0,38.5,30.0,12.8
Bondi Junction,1720.0,1077.0,395.0,46.3,29.0,10.6
Bonnet Bay,657.0,41.0,6.0,91.9,5.7,0.8
Bonnyrigg,2157.0,233.0,27.0,87.5,9.5,1.1
Bonnyrigg Heights,1681.0,73.0,15.0,93.0,4.0,0.8
Booker Bay,366.0,229.0,24.0,57.5,36.0,3.8
Boolaroo,327.0,142.0,14.0,67.6,29.3,2.9
Booragul,390.0,150.0,3.0,70.4,27.1,0.5
Bossley Park,3656.0,289.0,26.0,90.4,7.1,0.6
Botany,1896.0,563.0,110.0,70.0,20.8,4.1
Bow Bowing,440.0,44.0,7.0,88.9,8.9,1.4
Bradbury,2455.0,489.0,72.0,79.4,15.8,2.3
Broadmeadow,355.0,234.0,57.0,53.4,35.2,8.6
Bronte,1646.0,783.0,251.0,57.3,27.2,8.7
Brookvale,599.0,202.0,41.0,67.2,22.7,4.6
Budgewoi,826.0,417.0,38.0,61.9,31.2,2.8
Buff Point,931.0,336.0,37.0,69.8,25.2,2.8
Bulli,1474.0,429.0,58.0,73.0,21.2,2.9
Burwood,2553.0,1044.0,329.0,60.2,24.6,7.8
Burwood Heights,226.0,34.0,9.0,82.5,12.4,3.3
Busby,1027.0,211.0,19.0,79.9,16.4,1.5
Cabarita,350.0,67.0,9.0,78.5,15.0,2.0
Cabramatta,4649.0,1189.0,227.0,73.0,18.7,3.6
Cabramatta West,1588.0,251.0,37.0,82.3,13.0,1.9
Cambridge Gardens,581.0,76.0,14.0,84.7,11.1,2.0
Cambridge Park,1663.0,369.0,49.0,77.7,17.2,2.3
Camden,746.0,407.0,36.0,60.9,33.2,2.9
Camden South,1323.0,209.0,18.0,84.6,13.4,1.2
Cammeray,1469.0,944.0,253.0,51.0,32.8,8.8
Campbelltown,2556.0,880.0,135.0,68.9,23.7,3.6
Camperdown,776.0,583.0,249.0,44.1,33.1,14.2
Campsie,5245.0,1323.0,282.0,72.0,18.2,3.9
Canada Bay,332.0,100.0,20.0,69.5,20.9,4.2
Canley Heights,2394.0,373.0,46.0,83.9,13.1,1.6
Canley Vale,2339.0,608.0,94.0,70.6,18.4,2.8
Canterbury,1316.0,389.0,90.0,68.0,20.1,4.6
Canton Beach,258.0,245.0,19.0,46.9,44.5,3.5
Cardiff,1399.0,544.0,68.0,68.4,26.6,3.3
Cardiff Heights,506.0,149.0,13.0,74.9,22.0,1.9
Cardiff South,753.0,227.0,33.0,73.2,22.1,3.2
Caringbah,5665.0,1865.0,234.0,71.1,23.4,2.9
Carlingford,5321.0,931.0,132.0,81.5,14.3,2.0
Carlton,2448.0,760.0,130.0,70.1,21.8,3.7
Carramar,692.0,370.0,43.0,57.4,30.7,3.6
Carrington,371.0,290.0,57.0,50.2,39.2,7.7
Carss Park,321.0,97.0,4.0,73.8,22.3,0.9
Cartwright,534.0,280.0,21.0,59.6,31.3,2.3
Castle Cove,658.0,118.0,14.0,78.8,14.1,1.7
Castle Hill,8295.0,1435.0,154.0,82.2,14.2,1.5
Castlecrag,775.0,147.0,7.0,80.6,15.3,0.7
Casula,2974.0,519.0,55.0,81.7,14.3,1.5
Caves Beach,1190.0,237.0,16.0,80.7,16.1,1.1
Cecil Hills,1413.0,63.0,17.0,91.5,4.1,1.1
Centennial Park,409.0,488.0,122.0,35.4,42.2,10.6
Charlestown,3238.0,1051.0,128.0,72.1,23.4,2.8
Charmhaven,622.0,162.0,23.0,76.5,19.9,2.8
Chatswood,2513.0,880.0,261.0,64.2,22.5,6.7
Chatswood West,2044.0,616.0,186.0,68.8,20.7,6.3
Cheltenham,563.0,67.0,7.0,86.1,10.2,1.1
Cherrybrook,5017.0,497.0,40.0,88.8,8.8,0.7
Chester Hill,2427.0,732.0,75.0,72.5,21.9,2.2
Chifley,801.0,219.0,27.0,73.4,20.1,2.5
Chippendale,519.0,507.0,282.0,32.8,32.1,17.8
Chipping Norton,2414.0,297.0,51.0,84.6,10.4,1.8
Chiswick,358.0,160.0,53.0,60.4,27.0,8.9
Chittaway Bay,556.0,134.0,13.0,79.5,19.2,1.9
Chittaway Point,213.0,55.0,13.0,73.2,18.9,4.5
Church Point,341.0,52.0,3.0,83.0,12.7,0.7
Claremont Meadows,932.0,104.0,17.0,87.6,9.8,1.6
Claymore,810.0,110.0,13.0,79.8,10.8,1.3
Clontarf,445.0,59.0,12.0,77.9,10.3,2.1
Clovelly,1133.0,469.0,168.0,60.3,25.0,8.9
Coal Point,504.0,103.0,9.0,79.6,16.3,1.4
Coledale,263.0,50.0,6.0,78.5,14.9,1.8
Collaroy,3528.0,956.0,209.0,73.0,19.8,4.3
Colyton,2168.0,370.0,64.0,80.7,13.8,2.4
Como,1051.0,178.0,26.0,83.0,14.0,2.1
Concord,3527.0,892.0,145.0,75.0,19.0,3.1
Concord West,1477.0,371.0,59.0,75.6,19.0,3.0
Condell Park,2236.0,483.0,56.0,78.2,16.9,2.0
Coniston,454.0,242.0,36.0,59.3,31.6,4.7
Connells Point,801.0,154.0,21.0,80.3,15.4,2.1
Coogee,3068.0,1859.0,735.0,47.9,29.0,11.5
Cooks Hill,532.0,433.0,200.0,42.9,34.9,16.1
Copacabana,754.0,163.0,26.0,77.2,16.7,2.7
Cordeaux Heights,1289.0,81.0,10.0,91.9,5.8,0.7
Corrimal,2633.0,1050.0,123.0,67.4,26.9,3.1
Cranebrook,3460.0,442.0,71.0,84.9,10.9,1.7
Cremorne,2460.0,2028.0,417.0,46.5,38.3,7.9
Cremorne Point,445.0,330.0,56.0,47.0,34.9,5.9
Cringila,590.0,161.0,18.0,74.4,20.3,2.3
Cromer,1893.0,412.0,35.0,79.6,17.3,1.5
Cronulla,4152.0,2795.0,559.0,51.8,34.8,7.0
Croudace Bay,128.0,23.0,3.0,82.6,14.8,1.9
Crows Nest,807.0,589.0,156.0,48.2,35.2,9.3
Croydon,2239.0,652.0,166.0,69.7,20.3,5.2
Croydon Park,2714.0,956.0,130.0,68.9,24.3,3.3
Curl Curl,465.0,150.0,36.0,69.6,22.5,5.4
Currans Hill,1216.0,129.0,37.0,85.3,9.0,2.6
Daceyville,276.0,258.0,24.0,48.0,44.9,4.2
Daleys Point,157.0,54.0,3.0,70.7,24.3,1.4
Dapto,3073.0,818.0,57.0,76.5,20.4,1.4
Darling Point,960.0,891.0,137.0,42.5,39.5,6.1
Darlinghurst,1273.0,1963.0,501.0,26.2,40.3,10.3
Darlington,347.0,224.0,171.0,43.0,27.8,21.2
Davidson,717.0,57.0,6.0,90.9,7.2,0.8
Davistown,550.0,192.0,19.0,71.5,25.0,2.5
Dawes Point,29.0,59.0,9.0,24.6,50.0,7.6
Dean Park,818.0,91.0,14.0,87.2,9.7,1.5
Dee Why,4289.0,2331.0,467.0,57.3,31.2,6.2
Denistone,927.0,185.0,25.0,79.4,15.9,2.1
Denistone East,523.0,115.0,24.0,76.5,16.8,3.5
Denistone West,202.0,31.0,0.0,85.6,13.1,0.0
Dharruk,720.0,111.0,19.0,82.7,12.7,2.2
Dolans Bay,312.0,40.0,3.0,86.7,11.1,0.8
Dolls Point,296.0,262.0,24.0,46.1,40.8,3.7
Doonside,3470.0,587.0,93.0,82.1,13.9,2.2
Double Bay,711.0,484.0,140.0,45.7,31.1,9.0
Dover Heights,897.0,202.0,28.0,74.8,16.8,2.3
Drummoyne,2530.0,1328.0,345.0,54.0,28.4,7.4
Dudley,664.0,138.0,16.0,80.0,16.6,1.9
Dulwich Hill,3158.0,1424.0,334.0,61.2,27.6,6.5
Dundas,2490.0,930.0,114.0,67.9,25.4,3.1
Dundas Valley,1737.0,591.0,75.0,68.7,23.4,3.0
Dural,1002.0,248.0,23.0,76.7,19.0,1.8
Eagle Vale,1446.0,160.0,37.0,85.0,9.4,2.2
Earlwood,4458.0,988.0,112.0,76.0,16.8,1.9
East Gosford,871.0,642.0,54.0,54.4,40.1,3.4
East Hills,694.0,245.0,18.0,71.2,25.1,1.8
East Killara,806.0,77.0,10.0,87.2,8.3,1.1
East Lindfield,920.0,210.0,8.0,79.2,18.1,0.7
East Ryde,665.0,107.0,6.0,84.0,13.5,0.8
Eastern Creek,139.0,26.0,6.0,75.5,14.1,3.3
Eastlakes,1810.0,658.0,112.0,66.5,24.2,4.1
Eastwood,3722.0,1019.0,201.0,72.9,20.0,3.9
Edensor Park,2309.0,149.0,30.0,90.9,5.9,1.2
Edgecliff,536.0,755.0,121.0,34.9,49.1,7.9
Edgeworth,2121.0,548.0,50.0,76.6,19.8,1.8
Elanora Heights,1038.0,148.0,21.0,84.0,12.0,1.7
Elderslie,751.0,176.0,24.0,77.7,18.2,2.5
Eleebana,1661.0,247.0,18.0,85.3,12.7,0.9
Elermore Vale,1326.0,280.0,36.0,80.0,16.9,2.2
Elizabeth Bay,743.0,1522.0,199.0,25.3,51.9,6.8
Emerton,570.0,125.0,19.0,77.2,16.9,2.6
Empire Bay,403.0,129.0,13.0,70.6,22.6,2.3
Emu Heights,898.0,99.0,22.0,86.8,9.6,2.1
Emu Plains,2138.0,623.0,59.0,72.8,21.2,2.0
Enfield,613.0,193.0,32.0,68.7,21.6,3.6
Engadine,5171.0,689.0,102.0,85.4,11.4,1.7
Enmore,729.0,544.0,208.0,44.3,33.1,12.6
Epping,4881.0,1328.0,301.0,72.9,19.8,4.5
Erina,1212.0,609.0,31.0,64.2,32.2,1.6
Ermington,2631.0,841.0,93.0,70.6,22.6,2.5
Erskine Park,1796.0,113.0,16.0,91.4,5.8,0.8
Erskineville,1102.0,690.0,368.0,48.0,30.0,16.0
Eschol Park,721.0,110.0,13.0,83.1,12.7,1.5
Ettalong Beach,1090.0,663.0,77.0,56.4,34.3,4.0
Fairfield,3582.0,869.0,161.0,74.7,18.1,3.4
Fairfield East,547.0,136.0,27.0,75.9,18.9,3.7
Fairfield Heights,1354.0,324.0,24.0,77.5,18.5,1.4
Fairfield West,2672.0,336.0,51.0,85.7,10.8,1.6
Fairlight,1440.0,695.0,181.0,58.0,28.0,7.3
Fairy Meadow,1745.0,754.0,104.0,63.9,27.6,3.8
Farmborough Heights,1049.0,133.0,19.0,86.7,11.0,1.6
Faulconbridge,1080.0,252.0,35.0,77.0,18.0,2.5
Fennell Bay,603.0,146.0,12.0,78.3,19.0,1.6
Figtree,2810.0,654.0,85.0,77.6,18.1,2.3
Five Dock,1985.0,708.0,129.0,67.3,24.0,4.4
Fletcher,209.0,12.0,3.0,92.5,5.3,1.3
Flinders,754.0,133.0,15.0,82.5,14.6,1.6
Floraville,371.0,77.0,6.0,80.3,16.7,1.3
Forest Lodge,464.0,335.0,179.0,42.3,30.6,16.3
Forestville,2047.0,533.0,49.0,75.2,19.6,1.8
Forresters Beach,645.0,122.0,21.0,79.0,15.0,2.6
Frenchs Forest,3522.0,409.0,55.0,86.7,10.1,1.4
Garden Suburb,457.0,62.0,11.0,85.9,11.7,2.1
Gateshead,960.0,332.0,24.0,70.0,24.2,1.7
Georges Hall,2161.0,296.0,40.0,85.2,11.7,1.6
Georgetown,483.0,279.0,45.0,58.5,33.8,5.5
Girraween,983.0,267.0,42.0,74.1,20.1,3.2
Gladesville,2738.0,1378.0,213.0,61.3,30.8,4.8
Glebe,2220.0,1862.0,502.0,43.3,36.3,9.8
Glen Alpine,1094.0,45.0,9.0,94.1,3.9,0.8
Glenbrook,1343.0,335.0,39.0,76.8,19.2,2.2
Glendale,876.0,287.0,19.0,72.9,23.9,1.6
Glendenning,1191.0,114.0,32.0,86.4,8.3,2.3
Glenfield,1660.0,417.0,47.0,74.9,18.8,2.1
Glenhaven,1537.0,90.0,9.0,92.4,5.4,0.5
Glenmore Park,4547.0,379.0,112.0,86.6,7.2,2.1
Glenning Valley,195.0,25.0,3.0,85.9,11.0,1.3
Glenwood,2554.0,186.0,46.0,88.8,6.5,1.6
Gordon,1651.0,327.0,37.0,78.5,15.5,1.8
Gorokan,1981.0,1024.0,90.0,62.7,32.4,2.8
Gosford,538.0,490.0,100.0,43.6,39.7,8.1
Granville,4788.0,1463.0,193.0,70.3,21.5,2.8
Grays Point,784.0,78.0,9.0,88.5,8.8,1.0
Green Point,1767.0,518.0,49.0,75.0,22.0,2.1
Green Valley,2814.0,230.0,36.0,89.4,7.3,1.1
Greenacre,4865.0,1296.0,97.0,75.2,20.0,1.5
Greenfield Park,1322.0,108.0,13.0,89.8,7.3,0.9
Greenwich,1244.0,466.0,142.0,64.3,24.1,7.3
Greystanes,5984.0,841.0,124.0,83.9,11.8,1.7
Guildford,2570.0,821.0,116.0,70.2,22.4,3.2
Guildford West,1054.0,234.0,42.0,76.8,17.0,3.1
Gwynneville,424.0,229.0,105.0,53.7,29.0,13.3
Gymea,1825.0,656.0,124.0,68.1,24.5,4.6
Gymea Bay,1770.0,234.0,38.0,85.0,11.2,1.8
Haberfield,1818.0,440.0,80.0,75.7,18.3,3.3
Halekulani,653.0,293.0,35.0,65.8,29.5,3.5
Hamilton,876.0,699.0,207.0,47.5,37.9,11.2
Hamilton East,250.0,109.0,31.0,63.0,27.5,7.8
Hamilton North,211.0,137.0,26.0,54.9,35.7,6.8
Hamilton South,919.0,681.0,52.0,53.1,39.4,3.0
Hammondville,871.0,183.0,26.0,78.9,16.6,2.4
Harrington Park,847.0,41.0,7.0,93.9,4.5,0.8
Harris Park,1502.0,619.0,161.0,59.3,24.5,6.4
Hassall Grove,1102.0,77.0,20.0,90.0,6.3,1.6
Haymarket,490.0,211.0,214.0,35.9,15.5,15.7
Heathcote,1592.0,339.0,34.0,79.7,17.0,1.7
Hebersham,1462.0,191.0,25.0,82.0,10.7,1.4
Heckenberg,735.0,123.0,15.0,82.3,13.8,1.7
Henley,110.0,27.0,4.0,76.9,18.9,2.8
Highfields,177.0,72.0,7.0,67.8,27.6,2.7
Hillsborough,196.0,32.0,4.0,84.8,13.9,1.7
Hillsdale,1496.0,495.0,106.0,68.1,22.5,4.8
Hinchinbrook,2485.0,192.0,36.0,89.5,6.9,1.3
Holmesville,433.0,87.0,4.0,82.0,16.5,0.8
Holsworthy,715.0,68.0,9.0,88.3,8.4,1.1
Homebush,1062.0,246.0,66.0,74.8,17.3,4.6
Homebush West,663.0,251.0,46.0,66.4,25.2,4.6
Horningsea Park,737.0,49.0,13.0,90.5,6.0,1.6
Hornsby,4875.0,1814.0,329.0,65.9,24.5,4.5
Hornsby Heights,1665.0,192.0,28.0,86.1,9.9,1.4
Horsley,1486.0,118.0,19.0,89.7,7.1,1.1
Hoxton Park,848.0,61.0,17.0,89.6,6.4,1.8
Hunters Hill,1977.0,637.0,70.0,71.3,23.0,2.5
Huntleys Point,51.0,4.0,0.0,100.0,7.8,0.0
Hurlstone Park,1327.0,372.0,64.0,72.7,20.4,3.5
Hurstville,5026.0,1433.0,387.0,67.6,19.3,5.2
Hurstville Grove,604.0,117.0,13.0,81.4,15.8,1.8
Illawong,1992.0,125.0,12.0,91.0,5.7,0.5
Ingleburn,3812.0,981.0,137.0,74.5,19.2,2.7
Ingleside,233.0,91.0,10.0,67.0,26.1,2.9
Islington,325.0,269.0,83.0,46.2,38.2,11.8
Jamisontown,1260.0,435.0,49.0,70.3,24.3,2.7
Jannali,1374.0,488.0,47.0,69.9,24.8,2.4
Jesmond,528.0,364.0,136.0,48.9,33.7,12.6
Jewells,774.0,93.0,7.0,87.7,10.5,0.8
Kahibah,711.0,253.0,22.0,70.7,25.1,2.2
Kanahooka,1316.0,301.0,17.0,78.0,17.8,1.0
Kangaroo Point,165.0,14.0,0.0,90.7,7.7,0.0
Kanwal,1034.0,284.0,29.0,75.4,20.7,2.1
Kareela,772.0,56.0,8.0,91.4,6.6,0.9
Kariong,1623.0,225.0,38.0,84.3,11.7,2.0
Kearns,699.0,102.0,10.0,83.7,12.2,1.2
Keiraville,898.0,326.0,91.0,66.5,24.1,6.7
Kellyville,3574.0,264.0,50.0,89.1,6.6,1.2
Kembla Grange,32.0,6.0,0.0,69.6,13.0,0.0
Kensington,2181.0,947.0,542.0,54.2,23.5,13.5
