,Catholic,Eastern Orthodox,Anglican,No Religion,Assyrian Apostolic,Presbyterian and Reformed,Hinduism,Sikhism,Uniting Church,Islam,Latter-day Saints,Buddhism,"Christian, nfd",Pentecostal,Judaism,Baptist,Miscellaneous Religions,Oriental Orthodox,Seventh-day Adventist,Catholic (%),Eastern Orthodox (%),Anglican (%),No Religion (%),Assyrian Apostolic (%),Presbyterian and Reformed (%),Hinduism (%),Sikhism (%),Uniting Church (%),Islam (%),Latter-day Saints (%),Buddhism (%),"Christian, nfd (%)",Pentecostal (%),Judaism (%),Baptist (%),Miscellaneous Religions (%),Oriental Orthodox (%),Seventh-day Adventist (%)
Daceyville,415,82,190,150,,,,,,,,,,,28,,,,,35.6,7.0,16.3,12.9,,,,,,,,,,,2.4,,,,
Daleys Point,158,,138,101,,,,,30,,,,,,,29,,,,26.8,,23.4,17.1,,,,,5.1,,,,,,,4.9,,,
Dapto,"2,962",,"3,112","1,824",,396,,,587,,,,,,,,,,,27.6,,29.0,17.0,,3.7,,,5.5,,,,,,,,,,
Darling Point,810,107,827,795,,,,,,,,,,,440,,,,,20.7,2.7,21.1,20.3,,,,,,,,,,,11.2,,,,
Darlinghurst,"1,898",,"1,052","3,643",,,,,,,,423,,,174,,,,,18.9,,10.5,36.2,,,,,,,,4.2,,,1.7,,,,
Darlington,310,,131,"1,080",,,,,,45,,100,,,,,,,,13.8,,5.8,48.1,,,,,,2.0,,4.5,,,,,,,
Davidson,624,,689,543,,76,,,107,,,,,,,,,,,25.8,,28.5,22.5,,3.1,,,4.4,,,,,,,,,,
Davistown,593,,743,470,,89,,,124,,,,,,,,,,,24.8,,31.0,19.6,,3.7,,,5.2,,,,,,,,,,
Dawes Point,113,,96,151,,19,,,,,,22,,,,,,,,20.8,,17.7,27.9,,3.5,,,,,,4.1,,,,,,,
Dean Park,"1,152",156,496,334,,,,,,175,,,,,,,,,,37.1,5.0,16.0,10.8,,,,,,5.6,,,,,,,,,
Dee Why,"5,365",,"3,153","4,672",,,,,659,,,767,,,,,,,,27.0,,15.9,23.6,,,,,3.3,,,3.9,,,,,,,
Denistone,"1,189",,461,884,,160,,,134,,,,,,,,,,,33.4,,12.9,24.8,,4.5,,,3.8,,,,,,,,,,
Denistone East,720,,271,471,,83,,,,,,92,,,,,,,,34.3,,12.9,22.4,,4.0,,,,,,4.4,,,,,,,
Denistone West,291,,142,197,,,,,55,,,29,,,,,,,,31.9,,15.6,21.6,,,,,6.0,,,3.2,,,,,,,
Dharruk,836,,517,254,,,,,90,267,,,,,,,,,,30.2,,18.7,9.2,,,,,3.3,9.7,,,,,,,,,
Dolans Bay,193,31,142,86,,20,,,,,,,,,,,,,,34.8,5.6,25.6,15.5,,3.6,,,,,,,,,,,,,
Dolls Point,518,311,242,231,,,,,,56,,,,,,,,,,29.1,17.5,13.6,13.0,,,,,,3.1,,,,,,,,,
Doonside,"4,404",,"1,857","1,422",,,719,,,673,,,,,,,,,,33.7,,14.2,10.9,,,5.5,,,5.1,,,,,,,,,
Double Bay,"1,023",153,896,958,,,,,,,,,,,529,,,,,21.8,3.3,19.1,20.4,,,,,,,,,,,11.3,,,,
Dover Heights,475,194,209,420,,,,,,,,,,,"2,101",,,,,12.1,4.9,5.3,10.7,,,,,,,,,,,53.3,,,,
Drummoyne,"3,877",677,"1,742","2,278",,363,,,,,,,,,,,,,,34.1,6.0,15.3,20.0,,3.2,,,,,,,,,,,,,
Dudley,590,,531,568,,77,,,170,,,,,,,,,,,26.0,,23.4,25.1,,3.4,,,7.5,,,,,,,,,,
Dulwich Hill,"3,472","1,140","1,105","3,596",,,,,,,,500,,,,,,,,26.8,8.8,8.5,27.7,,,,,,,,3.9,,,,,,,
Dundas,"1,133",,478,760,,,,,,,,202,,,,,192,,,29.2,,12.3,19.6,,,,,,,,5.2,,,,,4.9,,
Dundas Valley,"1,374",,623,952,,219,,,,,,194,,,,,,,,29.7,,13.5,20.6,,4.7,,,,,,4.2,,,,,,,
Dural,"2,331",,"1,586","1,113",,,,,326,,,,,,,216,,,,31.7,,21.5,15.1,,,,,4.4,,,,,,,2.9,,,
Eagle Vale,"1,999",,"1,135",633,,,,,,308,,198,,,,,,,,35.0,,19.9,11.1,,,,,,5.4,,3.5,,,,,,,
Earlwood,"5,588","4,631","1,078","2,225",,,,,,,,526,,,,,,,,33.4,27.6,6.4,13.3,,,,,,,,3.1,,,,,,,
East Gosford,"1,098",,893,712,,143,,,177,,,,,,,,,,,28.1,,22.9,18.2,,3.7,,,4.5,,,,,,,,,,
East Hills,998,170,780,366,,,,,,150,,,,,,,,,,30.5,5.2,23.8,11.2,,,,,,4.6,,,,,,,,,
East Killara,581,,409,849,,,,,142,,,171,,,,,,,,20.2,,14.2,29.4,,,,,4.9,,,5.9,,,,,,,
East Lindfield,743,,906,872,,,,,135,,,,,,142,,,,,20.5,,25.0,24.0,,,,,3.7,,,,,,3.9,,,,
East Ryde,856,78,380,448,,,,,98,,,,,,,,,,,36.7,3.3,16.3,19.2,,,,,4.2,,,,,,,,,,
Eastern Creek,281,,124,110,,35,,,34,,,,,,,,,,,35.2,,15.5,13.8,,4.4,,,4.3,,,,,,,,,,
Eastlakes,"1,798",797,412,698,,,,,,"1,317",,,,,,,,,,26.0,11.5,6.0,10.1,,,,,,19.0,,,,,,,,,
Eastwood,"3,504",,"1,584","4,658",,881,,,,,,"1,096",,,,,,,,21.6,,9.8,28.8,,5.4,,,,,,6.8,,,,,,,
Edensor Park,"4,635",563,,524,459,,,,,,,"1,460",,,,,,,,49.1,6.0,,5.6,4.9,,,,,,,15.5,,,,,,,
Edgecliff,475,50,348,529,,,,,,,,,,,123,,,,,24.0,2.5,17.6,26.7,,,,,,,,,,,6.2,,,,
Edgeworth,"1,409",,"1,806","1,226",,262,,,550,,,,,,,,,,,22.5,,28.9,19.6,,4.2,,,8.8,,,,,,,,,,
Elanora Heights,"1,035",,"1,022",817,,,,,213,,,,,103,,,,,,26.9,,26.5,21.2,,,,,5.5,,,,,2.7,,,,,
Elderslie,"1,275",,"1,424",613,,112,,,224,,,,,,,,,,,30.0,,33.5,14.4,,2.6,,,5.3,,,,,,,,,,
Eleebana,"1,327",,"1,370","1,051",,251,,,468,,,,,,,,,,,24.1,,24.9,19.1,,4.6,,,8.5,,,,,,,,,,
Elermore Vale,"1,231",214,"1,215",845,,,,,450,,,,,,,,,,,23.7,4.1,23.4,16.3,,,,,8.7,,,,,,,,,,
Elizabeth Bay,994,,703,"1,726",,,,,,,,153,,,113,,,,,19.5,,13.8,33.9,,,,,,,,3.0,,,2.2,,,,
Emerton,672,,409,323,,,,,119,130,,,,,,,,,,28.1,,17.1,13.5,,,,,5.0,5.4,,,,,,,,,
Empire Bay,647,,711,401,,67,,,86,,,,,,,,,,,28.4,,31.2,17.6,,2.9,,,3.8,,,,,,,,,,
Emu Heights,"1,177",,896,564,,99,,,105,,,,,,,,,,,35.0,,26.6,16.8,,2.9,,,3.1,,,,,,,,,,
Emu Plains,"2,465",,"2,308","1,156",,298,,,263,,,,,,,,,,,30.4,,28.5,14.3,,3.7,,,3.2,,,,,,,,,,
Enfield,"1,138",224,197,392,,,,,,,,135,,,,,,,,42.1,8.3,7.3,14.5,,,,,,,,5.0,,,,,,,
Engadine,"5,383",,"4,831","2,909",,522,,,699,,,,,,,,,,,31.9,,28.6,17.2,,3.1,,,4.1,,,,,,,,,,
Enmore,589,185,265,"1,514",,,,,,,,129,,,,,,,,16.5,5.2,7.4,42.4,,,,,,,,3.6,,,,,,,
Epping,"3,910",,"2,601","5,419",,"1,405",,,,,,"1,061",,,,,,,,19.3,,12.9,26.8,,6.9,,,,,,5.2,,,,,,,
Erina,"1,171",,"1,390",629,,197,,,251,,,,,,,,,,,25.3,,30.0,13.6,,4.3,,,5.4,,,,,,,,,,
Ermington,"3,052",,"1,236","1,468",,361,,,,452,,,,,,,,,,32.2,,13.1,15.5,,3.8,,,,4.8,,,,,,,,,
Erskine Park,"2,797",,"1,388",725,,,,,186,176,,,,,,,,,,42.0,,20.8,10.9,,,,,2.8,2.6,,,,,,,,,
Erskineville,"1,401",194,723,"3,099",,,,,,,,243,,,,,,,,20.4,2.8,10.6,45.2,,,,,,,,3.5,,,,,,,
Eschol Park,943,58,605,346,,,,,,85,,,,,,,,,,35.5,2.2,22.8,13.0,,,,,,3.2,,,,,,,,,
Ettalong Beach,"1,246",,"1,355",785,,166,,,164,,,,,,,,,,,26.9,,29.3,17.0,,3.6,,,3.5,,,,,,,,,,
Fairfield,"5,870",,,"1,202","1,170",,,,,"1,664",,"2,225",,,,,,,,34.5,,,7.1,6.9,,,,,9.8,,13.1,,,,,,,
Fairfield East,"1,314",,262,461,,,,,,773,,"1,240",,,,,,,,25.9,,5.2,9.1,,,,,,15.2,,24.4,,,,,,,
Fairfield Heights,"2,378",,,421,703,,,,,486,,873,,,,,,,,35.8,,,6.3,10.6,,,,,7.3,,13.1,,,,,,,
Fairfield West,"3,976",616,765,894,,,,,,,,"1,949",,,,,,,,37.0,5.7,7.1,8.3,,,,,,,,18.1,,,,,,,
Fairlight,"1,360",,"1,233","1,677",,165,,,152,,,,,,,,,,,24.8,,22.5,30.5,,3.0,,,2.8,,,,,,,,,,
Fairy Meadow,"2,076",,"1,072","1,316",,,,,278,335,,,,,,,,,,31.5,,16.3,20.0,,,,,4.2,5.1,,,,,,,,,
Farmborough Heights,"1,311",274,887,694,,,,,186,,,,,,,,,,,31.4,6.6,21.2,16.6,,,,,4.4,,,,,,,,,,
Faulconbridge,924,,867,"1,016",,,,,188,,,,186,,,,,,,23.1,,21.7,25.4,,,,,4.7,,,,4.7,,,,,,
Fennell Bay,328,,397,273,,48,,,139,,,,,,,,,,,22.3,,27.0,18.5,,3.3,,,9.4,,,,,,,,,,
Figtree,"2,981",904,"2,374","1,736",,,,,478,,,,,,,,,,,28.0,8.5,22.3,16.3,,,,,4.5,,,,,,,,,,
Five Dock,"4,258",418,927,"1,388",,,,,,,,194,,,,,,,,48.7,4.8,10.6,15.9,,,,,,,,2.2,,,,,,,
Fletcher,666,,731,468,,,,,174,,,,,,,69,,,,24.4,,26.8,17.1,,,,,6.4,,,,,,,2.5,,,
Flinders,"1,665",619,"1,085",771,,,,,179,,,,,,,,,,,32.0,11.9,20.9,14.8,,,,,3.4,,,,,,,,,,
Floraville,338,,478,273,,68,,,144,,,,,,,,,,,21.9,,31.0,17.7,,4.4,,,9.3,,,,,,,,,,
Forest Lodge,478,51,294,"1,225",,,,,,,,90,,,,,,,,17.6,1.9,10.8,45.0,,,,,,,,3.3,,,,,,,
Forestville,"1,987",,"1,661","1,773",,237,,,342,,,,,,,,,,,25.4,,21.2,22.6,,3.0,,,4.4,,,,,,,,,,
Forresters Beach,683,,665,542,,,,,80,,,,86,,,,,,,27.3,,26.6,21.7,,,,,3.2,,,,3.4,,,,,,
Frenchs Forest,"3,430",,"3,288","2,888",,362,,,624,,,,,,,,,,,26.0,,24.9,21.9,,2.7,,,4.7,,,,,,,,,,
Garden Suburb,512,,386,355,,87,,,171,,,,,,,,,,,26.6,,20.0,18.4,,4.5,,,8.9,,,,,,,,,,
Gateshead,826,,980,814,,103,,,215,,,,,,,,,,,23.1,,27.4,22.8,,2.9,,,6.0,,,,,,,,,,
Georges Hall,"3,055","1,055","1,051",493,,,,,,"1,005",,,,,,,,,,35.2,12.2,12.1,5.7,,,,,,11.6,,,,,,,,,
Georgetown,568,70,458,471,,,,,117,,,,,,,,,,,28.4,3.5,22.9,23.5,,,,,5.8,,,,,,,,,,
Girraween,"1,320",,387,362,,,"1,291",,,210,,,,,,,,,,28.1,,8.2,7.7,,,27.5,,,4.5,,,,,,,,,
Gladesville,"3,909",604,"1,825","2,272",,,,,316,,,,,,,,,,,35.6,5.5,16.6,20.7,,,,,2.9,,,,,,,,,,
Glebe,"2,344",245,"1,244","3,915",,,,,,,,569,,,,,,,,21.1,2.2,11.2,35.2,,,,,,,,5.1,,,,,,,
Glen Alpine,"1,692",,937,374,,,,,126,162,,,,,,,,,,38.9,,21.6,8.6,,,,,2.9,3.7,,,,,,,,,
Glenbrook,"1,305",,"1,113","1,165",,,,,268,,,,197,,,,,,,26.4,,22.5,23.5,,,,,5.4,,,,4.0,,,,,,
Glendale,824,,851,620,,113,,,220,,,,,,,,,,,25.1,,25.9,18.9,,3.4,,,6.7,,,,,,,,,,
Glendenning,"1,972",,594,462,,,355,279,,,,,,,,,,,,39.3,,11.8,9.2,,,7.1,5.6,,,,,,,,,,,
Glenfield,"1,943",,"1,149",854,,,548,,,583,,,,,,,,,,25.7,,15.2,11.3,,,7.3,,,7.7,,,,,,,,,
Glenhaven,"1,998",,"1,483",912,,,,,330,,,,,201,,,,,,32.8,,24.3,15.0,,,,,5.4,,,,,3.3,,,,,
Glenmore Park,"7,619",,"5,232","2,715",,454,,,515,,,,,,,,,,,37.6,,25.8,13.4,,2.2,,,2.5,,,,,,,,,,
Glenning Valley,593,,547,399,,62,,,97,,,,,,,,,,,28.9,,26.7,19.5,,3.0,,,4.7,,,,,,,,,,
Glenwood,"4,643",,"1,831","1,419",,,"1,331","1,033",,,,,,,,,,,,30.3,,11.9,9.3,,,8.7,6.7,,,,,,,,,,,
Gordon,"1,181",,"1,342","1,706",,293,,,481,,,,,,,,,,,17.9,,20.4,25.9,,4.4,,,7.3,,,,,,,,,,
Gorokan,"2,048",,"2,380","1,478",,286,,,285,,,,,,,,,,,26.7,,31.0,19.2,,3.7,,,3.7,,,,,,,,,,
Gosford,731,,609,825,,,,,94,,,115,,,,,,,,21.6,,18.0,24.3,,,,,2.8,,,3.4,,,,,,,
Granville,"3,598",,,"1,566",,,"1,596",,,"2,459",,697,,,,,,,,25.7,,,11.2,,,11.4,,,17.6,,5.0,,,,,,,
Grays Point,747,,803,612,,,,,125,,,,,,,98,,,,26.7,,28.8,21.9,,,,,4.5,,,,,,,3.5,,,
Green Point,117,,180,129,,,,,21,,,,21,,,,,,,19.9,,30.7,22.0,,,,,3.6,,,,3.6,,,,,,
Green Valley,"4,021","1,028",,782,,,,,,"1,329",,"2,226",,,,,,,,32.5,8.3,,6.3,,,,,,10.7,,18.0,,,,,,,
Greenacre,"5,942","1,935","1,076",992,,,,,,"9,031",,,,,,,,,,25.6,8.3,4.6,4.3,,,,,,38.9,,,,,,,,,
Greenfield Park,"1,945",250,,287,526,,,,,,,842,,,,,,,,40.9,5.3,,6.0,11.1,,,,,,,17.7,,,,,,,
Greenwich,"1,281",,"1,097","1,464",,161,,,154,,,,,,,,,,,24.7,,21.2,28.3,,3.1,,,3.0,,,,,,,,,,
Greystanes,"10,681","1,233","2,938","1,661",,,,,,"1,012",,,,,,,,,,49.2,5.7,13.5,7.7,,,,,,4.7,,,,,,,,,
Guildford,"6,083",821,"1,360","1,370",,,,,,"5,401",,,,,,,,,,30.6,4.1,6.9,6.9,,,,,,27.2,,,,,,,,,
Guildford West,"1,757",210,594,323,,,,,,648,,,,,,,,,,39.7,4.8,13.4,7.3,,,,,,14.7,,,,,,,,,
Gwynneville,640,176,360,708,,,,,,284,,,,,,,,,,22.6,6.2,12.7,25.0,,,,,,10.0,,,,,,,,,
Gymea,"2,258",241,"1,943","1,259",,,,,248,,,,,,,,,,,31.5,3.4,27.1,17.5,,,,,3.5,,,,,,,,,,
Gymea Bay,"2,105",,"2,086","1,112",,184,,,347,,,,,,,,,,,30.6,,30.4,16.2,,2.7,,,5.0,,,,,,,,,,
Haberfield,"3,322",233,599,"1,253",,,,,189,,,,,,,,,,,50.0,3.5,9.0,18.8,,,,,2.8,,,,,,,,,,
Halekulani,641,,845,441,,72,,,80,,,,,,,,,,,26.4,,34.8,18.2,,3.0,,,3.3,,,,,,,,,,
Hamilton,"1,018",243,678,"1,139",,,,,198,,,,,,,,,,,25.0,6.0,16.6,28.0,,,,,4.9,,,,,,,,,,
Hamilton East,245,64,167,238,,,,,44,,,,,,,,,,,27.2,7.1,18.6,26.4,,,,,4.9,,,,,,,,,,
Hamilton North,213,,176,267,,,,,47,,,,,,,28,,,,24.0,,19.9,30.1,,,,,5.3,,,,,,,3.2,,,
Hamilton South,"1,116",185,815,850,,,,,239,,,,,,,,,,,27.7,4.6,20.2,21.1,,,,,5.9,,,,,,,,,,
Hammondville,946,162,852,383,,,,,111,,,,,,,,,,,29.1,5.0,26.2,11.8,,,,,3.4,,,,,,,,,,
Harrington Park,"3,032",202,"2,152",826,,,,,190,,,,,,,,,,,39.7,2.6,28.2,10.8,,,,,2.5,,,,,,,,,,
Harris Park,767,,,436,,,"1,874",288,,503,,,,,,,,,,15.1,,,8.6,,,37.0,5.7,,9.9,,,,,,,,,
Hassall Grove,"1,741",,579,350,,,266,,,325,,,,,,,,,,39.6,,13.2,8.0,,,6.1,,,7.4,,,,,,,,,
Haymarket,669,,,"1,491",,128,,,,,,"1,432",136,,,,,,,12.4,,,27.7,,2.4,,,,,,26.6,2.5,,,,,,
Heathcote,"1,740",,"1,753","1,017",,167,,,381,,,,,,,,,,,29.1,,29.3,17.0,,2.8,,,6.4,,,,,,,,,,
Hebersham,"1,775",,970,652,,,,,185,463,,,,,,,,,,32.6,,17.8,12.0,,,,,3.4,8.5,,,,,,,,,
Heckenberg,754,,375,247,,,,,,485,,364,,,,,,,,25.3,,12.6,8.3,,,,,,16.3,,12.2,,,,,,,
Henley,163,37,68,93,,,,,15,,,,,,,,,,,35.3,8.0,14.7,20.1,,,,,3.2,,,,,,,,,,
Highfields,313,,227,225,,27,,,82,,,,,,,,,,,29.8,,21.6,21.4,,2.6,,,7.8,,,,,,,,,,
Hillsborough,142,,222,122,,26,,,65,,,,,,,,,,,21.3,,33.3,18.3,,3.9,,,9.7,,,,,,,,,,
Hillsdale,"1,401",249,386,729,,,,,,759,,,,,,,,,,28.2,5.0,7.8,14.7,,,,,,15.3,,,,,,,,,
Hinchinbrook,"3,953",810,792,,,,,,,"1,026",,"1,035",,,,,,,,37.2,7.6,7.5,,,,,,,9.7,,9.7,,,,,,,
Holmesville,262,,369,298,,78,,,122,,,,,,,,,,,18.4,,25.9,21.0,,5.5,,,8.6,,,,,,,,,,
Holsworthy,"1,411",,910,815,,,489,,,232,,,,,,,,,,27.9,,18.0,16.1,,,9.7,,,4.6,,,,,,,,,
Homebush,"1,355",,287,944,,,"1,272",,,,,360,,,,,,,,21.9,,4.6,15.2,,,20.5,,,,,5.8,,,,,,,
Homebush West,841,,,"1,314",,,"1,167",,,257,,597,,,,,,,,14.5,,,22.7,,,20.2,,,4.4,,10.3,,,,,,,
Horningsea Park,"1,410",325,347,270,,,,,,291,,,,,,,,,,38.5,8.9,9.5,7.4,,,,,,7.9,,,,,,,,,
Hornsby,"4,092",,"2,757","4,967",,,"1,111",,,,,884,,,,,,,,20.6,,13.9,25.0,,,5.6,,,,,4.5,,,,,,,
Hornsby Heights,"1,578",,"1,448","1,419",,,,,367,,,,,,,156,,,,25.5,,23.4,22.9,,,,,5.9,,,,,,,2.5,,,
Horsley,"2,120",345,"1,870","1,181",,,,,433,,,,,,,,,,,30.1,4.9,26.6,16.8,,,,,6.2,,,,,,,,,,
Hoxton Park,"1,634",,329,276,,,377,,,352,,,,,,,,,,38.8,,7.8,6.6,,,9.0,,,8.4,,,,,,,,,
Hunters Hill,"3,538",348,"1,544","1,564",,,,,,,,,,,322,,,,,39.3,3.9,17.2,17.4,,,,,,,,,,,3.6,,,,
Huntleys Point,40,14,21,19,,,,,16,,,,,,,,,,,29.4,10.3,15.4,14.0,,,,,11.8,,,,,,,,,,
Hurlstone Park,"1,536",611,368,"1,014",,,,,,,,181,,,,,,,,32.7,13.0,7.8,21.6,,,,,,,,3.9,,,,,,,
Hurstville,"3,905","1,958","1,624","9,260",,,,,,,,"2,615",,,,,,,,15.0,7.5,6.2,35.6,,,,,,,,10.0,,,,,,,
Hurstville Grove,686,418,330,383,,,,,,,,74,,,,,,,,28.7,17.5,13.8,16.0,,,,,,,,3.1,,,,,,,
Illawong,"2,276",735,"1,635",900,,,,,326,,,,,,,,,,,31.1,10.0,22.3,12.3,,,,,4.4,,,,,,,,,,
Ingleburn,"4,061",,"2,687","1,729",,,692,,,856,,,,,,,,,,29.2,,19.3,12.4,,,5.0,,,6.2,,,,,,,,,
Ingleside,371,27,239,220,,,,,51,,,,,,,,,,,33.1,2.4,21.3,19.6,,,,,4.5,,,,,,,,,,
Islington,371,,264,666,,,,,51,,,45,,,,,,,,20.5,,14.6,36.9,,,,,2.8,,,2.5,,,,,,,
Jamisontown,"1,637",,"1,440",786,,174,,,148,,,,,,,,,,,31.2,,27.5,15.0,,3.3,,,2.8,,,,,,,,,,
Jannali,"1,740",209,"1,452","1,151",,,,,298,,,,,,,,,,,29.2,3.5,24.4,19.3,,,,,5.0,,,,,,,,,,
Jesmond,508,,431,609,,,,,133,186,,,,,,,,,,19.5,,16.5,23.4,,,,,5.1,7.1,,,,,,,,,
Jewells,744,,868,566,,,,,243,,,,,,,124,,,,23.9,,27.8,18.2,,,,,7.8,,,,,,,4.0,,,
Kahibah,510,,499,503,,74,,,175,,,,,,,,,,,24.5,,23.9,24.1,,3.6,,,8.4,,,,,,,,,,
Kanahooka,"1,402",,"1,523",730,,230,,,364,,,,,,,,,,,27.1,,29.5,14.1,,4.4,,,7.0,,,,,,,,,,
Kangaroo Point,125,120,97,64,,,,,,24,,,,,,,,,,21.7,20.8,16.8,11.1,,,,,,4.2,,,,,,,,,
Kanwal,937,,"1,332",598,,124,,,151,,,,,,,,,,,24.2,,34.4,15.4,,3.2,,,3.9,,,,,,,,,,
Kareela,"1,031",233,902,489,,,,,133,,,,,,,,,,,31.0,7.0,27.1,14.7,,,,,4.0,,,,,,,,,,
Kariong,"1,640",,"1,772","1,289",,201,,,271,,,,,,,,,,,25.4,,27.5,20.0,,3.1,,,4.2,,,,,,,,,,
Kearns,"1,048",,719,300,,,,,75,138,,,,,,,,,,37.9,,26.0,10.9,,,,,2.7,5.0,,,,,,,,,
Keiraville,700,136,578,954,,,,,124,,,,,,,,,,,20.9,4.1,17.3,28.5,,,,,3.7,,,,,,,,,,
Kellyville,"7,137",,"3,749","2,315",,,,,726,,,,,685,,,,,,35.1,,18.4,11.4,,,,,3.6,,,,,3.4,,,,,
Kembla Grange,58,9,59,41,,17,,,,,,,,,,,,,,26.4,4.1,26.8,18.6,,7.7,,,,,,,,,,,,,
Kensington,"3,025",858,"1,193","3,359",,,,,,,,754,,,,,,,,23.7,6.7,9.3,26.3,,,,,,,,5.9,,,,,,,
Kilaben Bay,336,,389,228,,,,,103,,,,39,,,,,,,25.1,,29.1,17.0,,,,,7.7,,,,2.9,,,,,,
Killara,"1,882",,"2,026","2,251",,363,,,581,,,,,,,,,,,20.3,,21.8,24.2,,3.9,,,6.3,,,,,,,,,,
Killarney Heights,"1,057",,956,"1,117",,176,,,188,,,,,,,,,,,23.7,,21.5,25.1,,4.0,,,4.2,,,,,,,,,,
Killarney Vale,"2,038",,"2,232","1,134",,239,,,259,,,,,,,,,,,29.3,,32.1,16.3,,3.4,,,3.7,,,,,,,,,,
Kincumber,"1,918",,"1,984","1,179",,224,,,378,,,,,,,,,,,28.1,,29.0,17.2,,3.3,,,5.5,,,,,,,,,,
Kincumber South,178,,217,95,,32,,,42,,,,,,,,,,,26.2,,31.9,14.0,,4.7,,,6.2,,,,,,,,,,
Kings Langley,"3,312",261,"2,033","1,234",,,,,366,,,,,,,,,,,35.7,2.8,21.9,13.3,,,,,3.9,,,,,,,,,,
Kings Park,"1,159",97,676,501,,,,,136,,,,,,,,,,,34.6,2.9,20.2,15.0,,,,,4.1,,,,,,,,,,
Kingsford,"3,086","1,561","1,053","3,756",,,,,,,,947,,,,,,,,21.9,11.1,7.5,26.6,,,,,,,,6.7,,,,,,,
Kingsgrove,"3,342","2,828",917,"1,391",,,,,,646,,,,,,,,,,29.0,24.6,8.0,12.1,,,,,,5.6,,,,,,,,,
Kingswood,308,,395,147,,60,,,66,,,,,,,,,,,27.2,,34.8,13.0,,5.3,,,5.8,,,,,,,,,,
Kirrawee,"2,654",,"2,497","1,466",,290,,,370,,,,,,,,,,,29.6,,27.8,16.3,,3.2,,,4.1,,,,,,,,,,
Kirribilli,868,,624,"1,080",,,,,90,,,85,,,,,,,,23.7,,17.0,29.5,,,,,2.5,,,2.3,,,,,,,
Kogarah,"2,549","1,612",,"2,322",,,"1,266",,,"1,032",,,,,,,,,,20.0,12.6,,18.2,,,9.9,,,8.1,,,,,,,,,
Kogarah Bay,622,536,245,198,,,,,,,,,,,,,,78,,30.2,26.0,11.9,9.6,,,,,,,,,,,,,,3.8,
Koolewong,218,,214,162,,29,,,33,,,,,,,,,,,27.4,,26.9,20.4,,3.6,,,4.1,,,,,,,,,,
Koonawarra,909,,"1,090",801,,90,,,138,,,,,,,,,,,25.0,,30.0,22.0,,2.5,,,3.8,,,,,,,,,,
Kotara,981,,942,900,,142,,,300,,,,,,,,,,,25.1,,24.1,23.0,,3.6,,,7.7,,,,,,,,,,
Kotara South,289,,275,247,,44,,,88,,,,,,,,,,,25.2,,24.0,21.6,,3.8,,,7.7,,,,,,,,,,
Kurnell,653,,787,417,,49,,,58,,,,,,,,,,,29.5,,35.6,18.8,,2.2,,,2.6,,,,,,,,,,
Kyeemagh,229,262,63,61,,,,,,50,,,,,,,,,,29.0,33.2,8.0,7.7,,,,,,6.3,,,,,,,,,
Kyle Bay,205,189,142,117,,,,,,,,26,,,,,,,,24.5,22.6,16.9,14.0,,,,,,,,3.1,,,,,,,
La Perouse,77,36,130,80,,,,,13,,,,,,,,,,,18.4,8.6,31.0,19.1,,,,,3.1,,,,,,,,,,
Lake Haven,949,,"1,108",452,,103,,,141,,,,,,,,,,,28.2,,32.9,13.4,,3.1,,,4.2,,,,,,,,,,
Lake Heights,"1,351",431,407,373,,,,,,127,,,,,,,,,,41.4,13.2,12.5,11.4,,,,,,3.9,,,,,,,,,
Lake Illawarra,929,,747,623,,97,,,95,,,,,,,,,,,30.1,,24.2,20.2,,3.1,,,3.1,,,,,,,,,,
Lakelands,449,,376,233,,47,,,144,,,,,,,,,,,29.8,,24.9,15.5,,3.1,,,9.5,,,,,,,,,,
Lakemba,"2,072",959,,828,,,,,,"8,031",,666,,,,,,,,13.4,6.2,,5.3,,,,,,51.8,,4.3,,,,,,,
Lalor Park,"2,099",,"1,512","1,066",,268,,,,241,,,,,,,,,,30.1,,21.7,15.3,,3.8,,,,3.5,,,,,,,,,
Lambton,"1,372",,"1,159","1,028",,164,,,309,,,,,,,,,,,27.4,,23.2,20.5,,3.3,,,6.2,,,,,,,,,,
Lane Cove,"2,724",,"1,650","2,392",,,,,319,,,282,,,,,,,,28.8,,17.4,25.2,,,,,3.4,,,3.0,,,,,,,
Lane Cove North,"2,230",,"1,446","2,488",,,,,323,,,314,,,,,,,,23.9,,15.5,26.6,,,,,3.5,,,3.4,,,,,,,
Lane Cove West,703,68,471,501,,66,,,,,,,,,,,,,,31.2,3.0,20.9,22.3,,2.9,,,,,,,,,,,,,
Lansvale,651,,285,228,,,,,,137,,613,,,,,,,,26.8,,11.7,9.4,,,,,,5.6,,25.3,,,,,,,
Lapstone,242,,187,211,,40,,,56,,,,,,,,,,,26.5,,20.5,23.1,,4.4,,,6.1,,,,,,,,,,
Lavender Bay,227,,113,261,,,,,33,,,20,,,,,,,,26.6,,13.2,30.6,,,,,3.9,,,2.3,,,,,,,
Leichhardt,"4,127",429,"1,562","4,523",,,,,,,,298,,,,,,,,30.5,3.2,11.6,33.5,,,,,,,,2.2,,,,,,,
Leonay,790,,706,371,,73,,,102,,,,,,,,,,,32.6,,29.2,15.3,,3.0,,,4.2,,,,,,,,,,
