,Catholic,Eastern Orthodox,Anglican,No Religion,Assyrian Apostolic,Presbyterian and Reformed,Hinduism,Sikhism,Uniting Church,Islam,Latter-day Saints,Buddhism,"Christian, nfd",Pentecostal,Judaism,Baptist,Miscellaneous Religions,Oriental Orthodox,Seventh-day Adventist,Catholic (%),Eastern Orthodox (%),Anglican (%),No Religion (%),Assyrian Apostolic (%),Presbyterian and Reformed (%),Hinduism (%),Sikhism (%),Uniting Church (%),Islam (%),Latter-day Saints (%),Buddhism (%),"Christian, nfd (%)",Pentecostal (%),Judaism (%),Baptist (%),Miscellaneous Religions (%),Oriental Orthodox (%),Seventh-day Adventist (%)
Barrack Point,197,,169,111,,14,,,23,,,,,,,,,,,31.3,,26.9,17.6,,2.2,,,3.7,,,,,,,,,,
Bass Hill,"2,526",768,798,,,,,,,"1,638",,486,,,,,,,,30.9,9.4,9.8,,,,,,,20.0,,5.9,,,,,,,
Bateau Bay,"3,542",,"3,578","1,948",,372,,,582,,,,,,,,,,,30.1,,30.4,16.6,,3.2,,,4.9,,,,,,,,,,
Baulkham Hills,"10,440",,"6,371","5,419",,,"1,334",,"1,487",,,,,,,,,,,30.8,,18.8,16.0,,,3.9,,4.4,,,,,,,,,,
Bayview,659,,"1,029",641,,113,,,162,,,,,,,,,,,21.3,,33.3,20.7,,3.7,,,5.2,,,,,,,,,,
Beacon Hill,"2,305",,"1,455","1,391",,207,,,210,,,,,,,,,,,33.4,,21.1,20.2,,3.0,,,3.0,,,,,,,,,,
Beaconsfield,243,,74,239,,,,,,33,,44,,,,,,,,26.9,,8.2,26.4,,,,,,3.7,,4.9,,,,,,,
Beecroft,"2,121",,"1,821","1,940",,544,,,480,,,,,,,,,,,24.0,,20.6,22.0,,6.2,,,5.4,,,,,,,,,,
Belfield,"2,640",649,378,589,,296,,,,,,,,,,,,,,43.7,10.7,6.3,9.8,,4.9,,,,,,,,,,,,,
Bella Vista,"2,272",,981,829,,,627,,,,,,,473,,,,,,31.1,,13.4,11.3,,,8.6,,,,,,,6.5,,,,,
Bellambi,"1,097",,979,824,,145,,,188,,,,,,,,,,,27.4,,24.4,20.6,,3.6,,,4.7,,,,,,,,,,
Bellevue Hill,"1,800",303,"1,559","2,063",,,,,,,,,,,"2,481",,,,,16.7,2.8,14.5,19.2,,,,,,,,,,,23.0,,,,
Belmont,"1,435",,"1,812","1,162",,276,,,578,,,,,,,,,,,22.4,,28.2,18.1,,4.3,,,9.0,,,,,,,,,,
Belmont North,"1,434",,"1,817","1,178",,237,,,633,,,,,,,,,,,22.1,,28.0,18.2,,3.7,,,9.8,,,,,,,,,,
Belmont South,286,,344,201,,40,,,102,,,,,,,,,,,23.8,,28.6,16.7,,3.3,,,8.5,,,,,,,,,,
Belmore,"3,356","2,489",,"1,256",,,,,,"1,450",,801,,,,,,,,26.7,19.8,,10.0,,,,,,11.5,,6.4,,,,,,,
Belrose,"2,099",,"2,330","1,378",,268,,,516,,,,,,,,,,,25.3,,28.1,16.6,,3.2,,,6.2,,,,,,,,,,
Bensville,779,,717,406,,93,,,93,,,,,,,,,,,29.9,,27.5,15.6,,3.6,,,3.6,,,,,,,,,,
Berala,"1,939",,411,"1,357",,,,,,"1,472",,"1,411",,,,,,,,22.0,,4.7,15.4,,,,,,16.7,,16.0,,,,,,,
Berkeley,"2,311",558,"1,568","1,117",,,,,,309,,,,,,,,,,31.1,7.5,21.1,15.0,,,,,,4.2,,,,,,,,,
Berkeley Vale,"2,318",,"2,497","1,703",,272,,,326,,,,,,,,,,,27.3,,29.4,20.1,,3.2,,,3.8,,,,,,,,,,
Berowra,"1,075",,"1,185","1,037",,,,,270,,,,134,,,,,,,23.3,,25.6,22.4,,,,,5.8,,,,2.9,,,,,,
Berowra Heights,"1,215",,"1,353","1,265",,139,,,294,,,,,,,,,,,23.8,,26.5,24.8,,2.7,,,5.8,,,,,,,,,,
